sagarbjálki	(handv.)langa stykkið á bogasag
svávuldioksid	(evnafr.)litleyst gass ið rýkur ramt(nýttt.d.til at gera svávulsýru avel.at sóttreinsa við, teknSO2)[da.svovldioxid,en.sulphur dioxide]
svávulkis	(jarðfr.)steinslag ið er samband av svávli og jarni, krákugull
svávulsúrur	(evnafr.)við svávulsýru í
svávulsýra	(evnafr.)sterk etjandi flótandi sýra ið hevur í særm.a.svávul(teknH2SO4)[da.svovlsyre,en.sulpheric acid]
svávulvetni	(evnafr.)sambinding av svávuli og vetni(teknH2S)[da.svovlbrinte]
sveigarmur	(tøkni) [da.svingarm]
sveigbremsa	(tøkni) [da.svingbremse,en.slewing brake]
sveigbugur	(alisfr.) [da.svingningsbue]
sveigferð	(tøkni)ferð ið e-t sveiggjar við[da.svinghastighed,en.slewing speed]
sveiggir	(tøkni) [da.svinggear,en.slewing gear]
sveiggj	(alisfr.)pendul[da.pendul,en.pendulum]
sveighjól	(tøkni)tungt hjól ið melur(nýttt.d.í stórum motorum til at fáa javna ferð),sveivhjól, svinghjól[da.svinghjul,en.flywheel]
sveigkraft	(tøkni)kraft ið er í sveiggi[da.svingkraft,en.slewing force]
sveigkrani	(tøkni)krani ið kann sveiggja[da.svingkran,en.whirley crane]
sveigmotorur	(tøkni) [da.svingmotor,en.slewing motor]
sveigorka	(alisfr.)orka ið eitt sveig gevur[da.svingningsenergi,en.slewing force (?)]
sveigramma	(tøkni)ramma ið kann sveiggja[da.svingramme,en.swingframe]
sveigringur	(alisfr.) [da.svingningskreds,en.oscillatory circuit]
sveigritil	(alisfr.)tól ið skrásetur sveiggingar[da.oscillograf]
sveigtíð	(alisfr.)tíð at sveiggja eitt sveiggj (1)[da.svingningstid]
sveigvídd	(alisfr.)frástøða frá miðpunktsstøðu til útstøðu/ytristøðu í eini sveigrørslu[da.amplitude,en.amplitude]
sveipur	(alisfr.)tað ið vísari á mátitóli fer(tá ið tendrað verður)[da.udslag,en.deflection]
sveisa	(handv.)sjóða 2(4)[da.svejse,en.weld]
sveisari	(handv.)ein ið arbeiðir við at sveisa, sjóðari[da.svejser,en.welder]
sveisiborð	(tøkni)borð sum sveisað verður við[da.svejsebord,en.welding table]
sveisibrennari	(tøkni)sveisingartól nýtt til at skera jarnel.stál við, sjóðingarbrennari[da.svejsebrænder,en.welding torch]
sveisifuga	(tøkni) [da.svejsefuge,en.weld groove]
sveisimetal	(tøkni), sjóðingarmetal[da.svejsemetal,en.weld metal]
sveising	(handv.)1tað at sveisa, sjóðing[da.svejsning,en.welding]2e-t ið sveisað er
sveisingarhøll	(tøkni)(arbeiðs)høll har ið sveisað verður[da.?svejsehal]
sveisingarskjól	(handv.)skjól(veggur) til verndar í sveising[da.svejseafskærmning,en.welding curtain]
sveisingartól	(handv.)tól til at sveisa við[da.svejseapparat,en.welder, welding apparatus]
sveisiprofilur	(tøkni) [da.svejseprofil,en.welding neck]
sveisiseymur	(jarnsm.) [da.svejsesøm,en.welding seam]
sveisistikkkontakt	(tøkni)stikkkontakt til sveisitól[da.svejsestikkontakt,en.welding outlet]
sveisitráður	(handv.)?tráður nýttur í sveising[da.svejsetråd,en.welding wire, welding rod]
sveisitæring	(tøkni) [da.svejsetæring,en.weld decay]
sveisitøkni	(tøkni)tøkni viðv. sveising[da.svejseteknologi,en.welding technology]
sveivásur	(tøkni)mondulásur,sveivásurin røkkur væl fram um motorin[da.krumtapsaksel,en.crankshaft]
sveivhjól	(tøkni)sveighjól[da.svinghjul,en.flywheel]
sveivhúsi	(tøkni)mondulhúsi[da.krumtaphus]
sveivlega	(tøkni)mondullega[da.krumtapleje]
sveivur	(tøkni)krummtappur, mondul (2)[da.krumtap,en.crank]
svigil	(tøkni)krappi[da.kragbjælke, kragsten]
svinghjól	(tøkni)(á motori)sveivhjól[da.svinghjul,en.flywheel]
svølgrúm	1(lívfr.)aftasti partur í munnholuni(pharynx)2(handv.)hol á høvli sum jarnið stendur í
svørður	(jarðfr.)seigt jaður av trevjum og rótum har ið gras og mold møtast, ovasta lag í gróðrarlendi,fáa torvið undan svørðinum;rutt í svørðin,síryðja[da.grønsvær]
sylindaraformaður	(byggiv.)formaður P|el.| dánaður sum sylindari[da.cylinderformet,en.cylindrical]
sylindaraformur	(byggiv.)?formur sum sylindari[da.cylinderform]
sylindarafóðring	(tøkni)fóðring í synlindara[da.cylinderforing,en.liner]
sylindarakamar	(tøkni) [da.cylinderkammer,en.cylinder chamber]
sylindaralás	(tøkni)lás har ið láskassin er formaður sum sylindari[da.cylinderlås,en.mortise lock]
sylindaraskrúva	(tøkni)maskinskrúva við høvdi sum sylindari og sekskantaðum holi til skrúvulykil (umbrakolykil) P|el.| við sporum til skrúvublað[da.cylinderskrue,en.cheese head screw]
sylindaraventilur	(tøkni)ventilur har ið virkni parturin er dánaður sum sylindari[da.cylinderventil]
sylindari	1(tøkni)runt holrúm í guvumaskinuel.bensinmotori sum stempul (3) gongur upp og niður í, strokkur (1)[da.cylinder,en.cylinder]2(støddfr.)skap í sniði sum rør og við tveimum javnfjarum rundum endum, strokkur (2)[da.cylinder,en.cylinder]
syll	1(húsasm.)stórviður ið er undirgrind og yvirgrind í húsum,kneppa syllar;(skemt.)har er langt millum syllar(nar)(sagt um ein ið hevur lítið til, er óvitigur);sbr.undirsyll,yvirsyll[da.fodrem (?)]2(jarðfr.)grótbræðing skotin inn í samankoming millum fláir(fylgir fyri tað mesta lagskipan teirra);sms. t.d.bruna-,lang-,skilarúms-,skota-,tvør-,vev-
syllarendi	(húsasm.)endi á syll
syllargrót	(jarðfr.)(stabba)grót í syll (2)
syllarhøvd	(húsasm.)syllaroyra,húgvan liggur á syllarhøvdinum
syllarlisti	(húsasm.)?listi til syll at hvíla niðurá?[da.syldliste,en.sill plate]
syllaroyra	(húsasm.)endi á syll(har syllin er groypt við aðra syll)
systurfelag	(oljuv.,búsk.)dótturfelag hjá sama móðurfelag sum eitt annað
systurskip	(skip.)skip av somu stødd og við sama sniði sum eitt annað(ofta smíðað á somu skipasmiðju)
sýl	(handv.)amboð við hvøssum oddi(nýtt til at bora hol í træ, leðuro.tíl.við),sýlur[da.spidsbor]
sýling	(handv.)felling[da.sinkeforbindelse]
sýlingarhøvil	(handv.)fellingarhøvil[da.grathøvl]
sýlingartappur	(handv.)fellingartappur[da.sinketap]
sýnisglas	(tøkni) [da.skueglas]
sýra	(evnafr.)evnasamband ið inniheldur vetni(etjandi og við súrum smakki),súrligur løgur;sms. t.d.amino-,ediks-,fiti-,maga-,meyru-,salpetur-,salt-,svávul-[da.syre]
sýrlingur	(evnafr.)evni við einum súrevnisatomi minni enn samsvarandi sýra(t.d.svávulsýrlingur, teknH2SO3)
sýrubað	(evnafr.)sýruløgur til at stingael.leggja (metal)lut í(sum liður í evnafrøðiligari tilgongd)
sýrudyggur	(evnafr.)ið sýra 1(2) ikki rínur við
sýrutættleiki	(tøkni)tættleiki av sýru[da.syretæthed,en.acid density]
sýruviðgerð	(tøkni)tað at viðgera P|t.d.| træ við sýru[da.syrebehandling,en.acidizing]
sævarflái	(jarðfr.) [da.abrasionsflade]
søkkkassi	(tøkni)søkkkista, betongkista[da.sænkekasse,en.caisson]
søkkkista	(tøkni)(stór) kista úr betongi nýtt til útfyllingar í bygging í sjógvi, søkkkassi, betongkista[da.sænkekasse,en.caisson]
sølugass	(tøkni,oljuv.)gass klárt at selja[da.salgsgas,en.pipeline gas]
sølugasskompressari	(tøkni)kompressari til sølugass[da.salgsgaskompressor,en.pipeline gas compressor]
sølugasskølari	(tøkni,oljuv.)útbúnaður til at halda sølugassi køldum[da.salgsgaskøler,en.pipeline gas cooler]
sølugassrørleiðing	(tøkni,oljuv.)rørleiðing til sølugass[da.salgsgasrørledning,en.export gas pipeline]
