o1	(málfr.)sjálvljóðsstavur (nevndur[o:])
ovvit	1serstakt vit og skil, serliga góðar gávur,einki ovvit krevst til at gera tað2ein ið er serliga vitugur, flogvit,hann er einki ovvit, men býttur er hann heldur ikki
oy1	tvíljóðsstavir (nevndir[ɔi])
oy2	(kvæð.,stn.)oyggj;sms. t.d.Borð-,Eystur-,Fugl-,Kals-,Kun-,Nóls-,Sand-,Skúv-,Streym-,Suður-,Svín-,Við-
oy3	mðlv(til at vísa bilsni, gleði, samkenslu, pínu, sorgo.s.fr.),oy, oy, hann var um at gráta;oy, eg veit fullvæl, at mín neyðar trani er ein meinbogi
oyða1	1oyðið øki, oyðin staður,teir hildu lív í tveimum kúm og hestum í hesari oyðuni;teir drógu upp og løgdu aftur, men sama oyðan(fiskaloysi)2oyðið pláss í bergi(har fuglurin er oyddurel.rikin burtur),pláss í bergi við ongum búfugli(men oyðifugli um náttina)3leið uttan fyri mið har einki ýti er at halda seg til,stórur fiskur, sum er veiddur úti í oyðuni4oyðimørk;sms. t.d.eyr-,sand-,stein-
oyða2	1leggja í oyði, oyðileggja, beina fyri, týna,oyða rottuna í oynni2spilla burtur, søpla burtur,oyða arv;oyða burtur;oyða tíðina burtur(spilla);oyða pening(blaka burtur);oyða upp;oyða útavoyða, ørdrepa;sms. t.d.al-,av-
oyðari	1oyðsl (2), oyðiland, amari,aftan á ein samlara skal ein oyðari komaamari kemur aftan á sparara2(herm.)skjótsiglandi krígsskip(ið skal oyða før hjá fígginda)
oyðdráp	tað at oyðdrepa
oyðdrepa	beina fyri, oyða 2(1), týna, ørdrepa,verður lomvigin oyðdripin, so byggir fuglur aldrin aftur har
oyðeta	(um dýr)eta upp, súlunda,oyðeta grasið av jørðini
oyði	tað at vera oyðin,leggja í oyðioyðileggja;staðurin verður lagdur í oyði;tað var tað turra oyði(fiskaoyði, fiskaloysi);sms. t.d.fiska-,fiski-
oyðiberg	berg har ið eingin fuglur eigur,av omanlopi er har nú oyðiberg
oyðibygd	bygd ið fólkið er flutt burtur úr, fólkaoyðin bygd
oyðidrepa	oyðdrepa,bara fá pláss í bjørgunum, sum eru oyðidripin
oyðifuglur	bjargafuglur ið ikki verpur, geldfuglur, fleygafuglur,aftan á ræningina kemur oyðifuglurin í bergið
oyðigarður	útl. garður oyðin við fólk, fólkatómur garður,oyðigarðarnir vóru nógvir í tali beint eftir svartadeyða
oyðijørð	jørð ið liggur oyðin og óvelt, óbygt lendi, oyðilendi,tað var loyvt monnum at taka upp oyðijørð
oyðiland	1oyðið og óbygt land, oyðistaður,tí fór eg í oyðilond2(um fólk)ein ið er argur at søpla burtur(t.d. pening, lutiro.tíl.),oyðsl (2), amari,eitt oyðiland
oyðilandsvætti	oyðiland (2),hatta eru tey oyðilandsvætti, ið eru
oyðilegging	tað at oyðileggja, oyðing, týning, herverk,kríggið hevði ómetaligar líðingar og oyðileggingar við sær
oyðileggja	leggja í oyði, gera til einkis, oyða 2, spilla, týna
oyðilendi	ódyrkað lendi, oyðið landslag,velta oyðilendi(ið ikki er velt áður)
oyðimási	(fugl.)mási ið ikki byggir (4)
oyðimold	mold ið ongantíð er velt
oyðimørk	óbygt og oyðið lendi, bert landslag(við lítlumel.ongum gróðri),oyða 1(4);sms. t.d.sand-
oyðin	við ongum, óbygdur, berur, tómur,jørðin var oyðin og tóm;bergið er oyðið við fugl;húsið er oyðið(mannleyst);sms. t.d.fólka-,fugla-,guds-,hálv-,mann-
oyðing	tað at oyða 2, oyðilegging, týning, sorl, herverk,oyðing Jerúsalems;vit frætta um orrusturnar og oyðingarnar;sms. t.d.rottu-
oyðingarhugur	hugur at oyðileggja, týningarhugur,hann var fullur av oyðingarhugi
oyðingarverk	oyðilegging, herverk,stormurin framdi sítt oyðingarverk við sama lag
oyðini	(skaldsk.)oyðin,í oyðini høll(oydnari)
oyðioyggj	óbygd oyggj,teir, sum søkja drangar og oyðioyggjar, fara til báts
oyðipallur	pallur oyðin við fugl, oyðirók,allar oyðipallar tekur fleygafuglurin undir seg
oyðipláss	pláss (5) har ið eingin býr, oyðin staður,hann skuldi fáa oyðiplássið at liva og blóma
oyðirók	óbygd rók í fuglabergi, rók oyðin við fugl
oyðisandur	sandoyðimørk
oyðiskógur	oyðin skógur, óbygt skógarlendi,so langt eygað rakk, sást ikki annað enn oyðiskógur;(kvæð.)burt á oyðiskóg
oyðiskrápur	(stb.)1geldskrápur2geldkokkur
oyðistaður	(bíbl.)oyðin staður, oyðipláss,hann fór burtur á ein oyðistað og helt bøn har
oyðistrond	oyðin og óbygd strond,leggja at á onkrari oyðistrond
oyðisúla	(fugl.)súla til hon er fýra ára gomul
oyðræna	ræna so at oyðið verður í fuglabergi, blóðræna (2)
oyðsl	1tað at oyðsla, oyðslan2ein ið oyðslar, oyðiland (2), amari,eitt oyðsl
oyðsla1	(um konufólk)oyðsl (2),hon er eingin oyðsla
oyðsla2	nýta óneyðuga nógv av e-m, spillael.søpla burtur
oyðslan	tað at oyðsla, oyðsl (1)
oyðslari	ein ið er ringur at oyðsla, oyðari (1), skrutt 1,tað oyðslarans lív, á hesum skipi varð ført
oyðslusamur	oyðslutur
oyðslusemi	tað at vera oyðslusamur, oyðsl (1),oyðslusemi við lít
oyðslutur	ið oyðslar illa, oyðslusamur, amutur
oyðublað	blað at fylla útel.seta inn í upplýsingar av ymsum slag, útfyllingarblað, umsóknarblað,ognaruppgerðin er eitt oyðublað
oyðuleið	fiskileið uttan fyri ytstu havmið(so langt til havs at ýti ikki tekst á landi),teir róðu út á ytstu havmið ella oyðuleiðir;sbr.oyða 1(3)
oyður	(gl.,sj.)oyðin, eyður,lat teirra bústað verða oyðan
oygdur	sms. t.d.bjart-,blá-,blíð-,brún-,dimm-,djarv-,djúp-,ein-,fjar-,gjøll-,góð-,grá-,hvass-,kát-,kyk-,mor-,opin-,rang-,rædd-,stór-,tóm-,tætt-,út-
oyggj	1land við sjógvi í allar ættir(størri enn hólmur og sker),á oynniovast áel.uppi á oynni;hann á oynna til Havnar(eftir fjøllum);vit mugu á oynna við tær til doktaran;tvær bygdir eru í oynni;vera burtur í oyggj(í aðrari oyggj, av oynni);løgið at hann skuldi av oyggj at fáa sær konu;oyggjanna millum;undir oynni(á sjónum í báti)undir bjørgum,tað er brim undir oynni;teir róðu runt um oynna2fólkið í eini oyggj,øll oyggin kom, alt, sum ragga kundi3(flutt m.,niðr.)stórt og menniligt konufólk, snekkja,hon var tjúkk sum ein oyggj4(ným.)mark millum tvær koyribreytir við ferðslu báðumegin við;sbr.vegøksl;sms. t.d.flot-,gos-,granna-,hálv-,oyði-,út-
oyggjabúgvi	ein ið býr í oyggjasamfelag,hjá einum oyggjabúgva er altíð áhugavert at koma til onnur oyggjasamfeløg
oyggjaflokkur	flokkur av oyggjum,ein lítil oyggjaflokkur
oyggjafólk	fólk ið býr í oyggjumel.oyggjalandi
oyggjagleiv	(skemt.,speis.)ein ið ferðast nógv um landið, landastrok
oyggjahav	(landafr.)hav við mongum smáoyggjum[da.arkipelag]
oyggjaland	land av oyggjum,Føroyar eru oyggjaland
oyggjaleikir	ítróttastevna fyri oyggjatjóðir[en.Island Games]
oyggjarbátur	(Hvlb.)bátur sum brúktur varð at fara til Lítlu Dímunar við(Oyggin er Lítla Dímun)
oyggjarbrúdleyp	brúdleyp sum øll oyggin (2) er boðin í;sbr.sóknarbrúdleyp
oyggjarendi	endi á oyggj,sjóvarilskan við oyggjarendarnar gjørdist ov stór fyri opnar bátar;eingi líkindi at fara út um oyggjarendarnar í dag
oyggjaríki	ríki av oyggjum
oyggjarkyrra	(stb.)kyrra so at farandi er í oyggj
oyggjarmaður	maður íel.úr somu oyggj(sum ein sjálvur),vit eru oyggjarmenn;sbr.bygdarmaður (2)
oyggjarnavn	navn á oyggj
oyggjarskeggi	ein sum býr í oyggj, oyggjarbúgvi
oyggjarviður	(stb.)bóndaviður, bóndatræ
oyggjasamfelag	oyggjaland
oyggjaveðurlag	(landafr.)veðurlag í oyggjalondum, havveðurlag
oygla	hyggja við grommumel.brellutum eygum (at e-m),oygla eitt burtur frá e-mstara at e-m við øvundareygum
Oyndarfjørður	(stn.)bygd í Eysturoynni,í/úr Oyndarfirði,til Oyndarfjarðar
oyndfirðingur	fólk íel.úr Oyndarfirði
oyra1	oyri 1
oyra2	1yrkisgagn at hoyra við(hjá fólki og dýrum),góð oyru;ring oyru;stór oyru;lánael.læna e-m oyralurta eftir e-m;lurta við hálvum oyralurta hálvavegna;hava oyra við (e-m)lurta eftir (e-m);hav eitt oyra við teimum, meðan teir spæla í kjallaranum;har sum einki er fyri oyrað annað enn spógvalát(hoyrist);leggja e-t fyri oyruni á e-mlata e-n hoyra e-t;berast e-m fyri oyruhoyra, frætta;hann er í skuld upp um bæði oyru;halda í oyruni á e-mansa væl eftir at ein ber seg rætt at;liggja í oyrunum (á e-m)staðiliga og støðugt minna á,hon lá í oyrunum á honum, at hann mátti vera ein góður og lýðin smádrongur;(tilt.)tað svíður ikki at hjartanum, ið oyrað ikki hoyrir;munnurin aftur at oyrunum(um ein, ið skræðir seg);(orðt.)tunn eru móður oyrumóðir hoyrir væl hvat (barni) bagir,lava við oyrunumel.lava oyruni (niður)vera hámur, illa við;flóna um oyruniverða illa við;geva e-m ein undir oyrað(ein undir vangan);lýttael.lýða e-m (e-t) í oyraðsiga ljódliga so at onnur ikki hoyra;stinga e-m e-t í oyrasiga e-m e-t í loyndum2førleiki at hoyra, tað at hoyra, hoyrn,hava oyra fyri tónleiki;tað var komið fyri oyruni á teimumtey høvdu frætt, hoyrt graml um;fyri alla manna oyrummeðan øll hoyra3honk, hald (9) á síðuni á ílati(t.d. dylluel.krukku)4horn á nót,á nót eru grunnur, flotlína, kálvi, kjálki og oyra;sms. t.d.bekkjar-,bitar-,bjálka-,garnmørs-,manna-,mál-,ólis-,seingjar-,skølings-,stál-,stein-,syllar-,válgars-
oyra3	11/100 av krónu2(lítil) pengi, myntur,har kom ein fátæk einkja og legði tveir smápeningar, sum er eitt oyra;upp á oyraðheilt neyvt,eg kann ikki siga tær upp á oyrað, hvussu nógv tú skyldar;sms. t.d.eitt-,fimm-,gjald-,kopar-,tíggju-,tvey-
oyrabolli	bolli 2(1) ið kostaði eitt oyra,eitt fat við oyrabollum
oyrabrósk	(lívfr.)brósk í oyralepa
oyrafika	1tað at takael.royta í oyra (á e-m), ein undir vangan, lúsingur2(skip.)stertur á viðferðini aftan á (breið)fokku,hann loysti kvikliga oyrafikuna
oyrahol	(lívfr.)op inn í oyra, oyrnahol
oyraklaffur	klaffur fyri oyra(at verja fyri óljóði, kuldao.tíl.)
oyralepi	oyrnalepi
oyralippa	niðasti (bleyti) partur á oyralepanum
oyralust	1op inn í oyra, gong inn at ljóðhinnu, lust2tað feita um oyrað(á seyðarhøvdi)3rótel.tað niðasta av avskornum oyra(Sv)
Oyrarbakki	(stn.)bygd í Eysturoynni,á/av Oyrarbakka,til Oyrarbakka
oyrarmaður	1maður áel.av Oyri2(stb.)norðoyrarmaður3(stb.)norðdepilsmaður
Oyrarsund	1sund millum Sælands og Skáni2(ným.)føroyskt navn á studentagarði á Amager,tey búgva á Oyrarsundi[da.Øresundskollegiet]
oyraskógvur	(sj.,gl.)spenniskógvur,hann var í fastkneptum koti og oyraskóm
oyrasnippur	oyralippa
oyrastong	stong ið heldur oyrunum á (seiða)nót sundur, oyrnastong, oyratræ(stendur upp og niður í sjónum)
oyratog	tog á oyranum á seiðanót
oyratræ	oyrastong
oyratøppur	lurtitól at hava í oyranum(t.d. hjá sjónvarpsfólki)
oyravaks	brúnligt vakskent flot úr kertlum í oyralust, oyrnavaks
oyrhúgva	(stb.)húgva ið gongur niður um oyruni
Oyri	bygd í Eysturoynni,á/av Oyri,til Oyrar
oyri1	slættiel.tangi (av eyriel.sandi) fram við strondiniel.út í sjógv, oyra 1(serst. við áarósa);sms. t.d.sand-,vatn-
oyri2	(søg.)peningur (1/8 mørk)
oyring	endi á bjálka groyptur niður í syll,oyringarnar vóru slitnar av bjálkunum í dansistovuni
-oyringur	sístand-
oyrlittur	(seyðal.)oyrnalittur
oyrnabruni	(lækn.)bruni í oyraserst.miðoyra
oyrnadropar	(lækn.)flótandi heilivágur til at dryppa í oyruni(otoguttae)
oyrnagull	(bíbl.)oyrnaringur, oyrnaprýði
oyrnahol	(lívfr.)oyrahol
oyrnahúgva	(stb.)húgva við oyraklaffum, oyrhúgva
oyrnalepi	(lívfr.)oyrað uttan, oyralepi
oyrnaleysur	1við ongum oyrum,Óli oyrnaleysi2ið ikki hoyrir, deyvur,ljóðið í honum vekur undran hjá øllum, sum eru ikki oyrnaleys
oyrnalippa	oyralippa
oyrnalittur	(seyðal.)við liti um oyruni(t.d. um hvítan seyð)
oyrnalokkur	prýði í oyranum;sbr.oyrnaringur
oyrnalust	(lívfr.)1op inn í oyra, oyralust (1),kópur fær latið aftur bæði oyrnalustir og nasagluggar, tá ið hann kavar2oyralust (2),tað besta á seyðarhøvdinum er oyrnalustin og eygað
oyrnalækni	(lækn.)serlækni í oyrnasjúkum
oyrnamørur	mørur (1) um oyrað,á seyðarhøvdi eru eygnamørur og oyrnamørur
oyrnaringur	lítil gyltur ringur 1(1) í oyra(til prýðis);sbr.oyrnalokkur
oyrnarust	(á neyti)stykkið uttan um oyrað(frá geilatíkunum og aftureftir)
oyrnasjúka	(lækn.)sjúka í oyrunum
oyrnastavur	stavur í keraldi sum oyra er í
oyrnastingir	(lækn.)verkur í oyrael.oyrum
oyrnastong	oyrastong
oyrnastykki	oyrnarust
oyrnatræ	oyratræ, oyrastong
oyrnavaks	(lækn.)oyravaks
oyrnavágur	(lækn.)vágur 2(1) úr oyranum
oyrnavernd	(lækn.)hoyrnarvernd
-oyrt	símis-
oys	(at vísa harm, undran, gleðio.tíl.)ádú, nei álvara, dekan fari,oys, hvat er hent?;oys tit eru fittsum tit eru fitt!
oysa1	ílat(ymist til støddar)við skafti at oysa við, oysari
oysa2	1taka e-t flótandi úr e-m við oysuel.eyskari, tøma,oysa bát(in);oysa bát uppoysa bát sum er fyltur við sjógv(so at hann flýtur væl aftur);oysa uppúrtaka súpimat upp úr potti;sbr.leggja uppúr;teir tóku at oysa, men einki batti – báturin sakk2floyma, fossa, streyma,regnið oysti niður(díkti);oysa (ein) undirdíkja (ein) undir (í vatni, skarnio.tíl.);oysa (e-n) undir í ókvæmisorðum;menninir róðu, og sjógvurin oysti enn frekari inn á teir;oysandi regn;regnið østi áirnar upp, so tær komu bóltandi og oysandi oman úr fjøllunum;hann kom oysandi inn(garterandi)3oysa útsøpla burtur;oysa út pengar4(um ross)sláa afturúr (sær), renna gumpin upp úr sær,rossið oysti;ryssan hevur ikki nógva mjólk og oysir fylið frá sær5deila, skelda,hon fór at oysa um skarnsungarnar;sms. t.d.turr-
oysari	oysa 1
oysing	1tað at oysa,helst hava gingið fleiri tímar við hesari pumping og oysing2(lækn.,stb.,sj.)oysingarkensla av nógvum hita ið breiðir seg í kroppinum(ofta við sveitta),konan gramdi seg fyri læknanum um, at hon hevði sovorðnar oysingar[da.hedeture]
oysregn	(sera) nógv regn, sturtningur, grimdarregn, glopraregn, áarføri (2),í oysregni og stormi
oysregna	regna (sera) illa, stoyta niður
ozon	(alisfr.,evnafr.)litleyst eitrað loftevni(avleiðing av at súrevni og ljósgeislar frá sólini møtast)(teknO₃)
ozonlag	(alisfr.,evnafr.)lag av ozon í lofthavinum kring jørðina(ið virkar sum ein skjøldur móti ultraviolettum strálingum)
o.ø.	stytting fyriog øðrum
