L	rómv. taltekn fyri 50
lundagørn	gørn úr lunda,teir høvdu feitar lundagarnar til agns
lundahálsur	hálsur av lunda;sbr.kolari
lundahola	hola har ið lundi eigur
lundahøvd	høvd áel.av lunda
lundakrókur	(bjarg.)træ við króki at draga lunda úr holuni við;sbr.lundasneis
lundakveistur	kveistur av lundaveingjum,lundakveistrar vóru tríggjar bløkur lagdar saman, tí annars vóru teir ov veikir
lundaland	pláss (ít.d.valllandiel.skor) har ið lundi eigur;sbr.fuglaland
lundalús	(dj.)lús á lunda(Exodes uriae)
lundanavari	navari at grava lundaholur við,lundanavarar vórðu smíðaðir sum tuflutvari, og holið eftir teimum mundi vera einar 4 tummar í tvørmát
lundanet	net í lundastong
lundanev	nev av lunda
lundapennur	(gl.)stálpennur líkur lundanevi, skeivur pennur;sbr.krákupennur
lundapisa	(fugl.)pisa hjá lunda
lundapláss	lundaland,urðin er størsta lundaplássið í oynni
lundararmingi	(plfr.)slag av arminga (2)(Lysimachia nemorum)
lundaringur	ringur av lunda á flogi, lundi ið flýgur í ring
lundarúgva	rúgva av veiddum lunda
lundasessur	sessur har ið maður fær sitið og fleygað lunda, fleygasessur
lundasetur	(stn.)staður har ið lundi vanliga situr
lundasild	(fisk.)nebbasild
lundasina	(plfr.)serligt frábrigdi av reyðvingli(veksur serst. í fuglabjørgum)(Festuca rubra forma fraterculis);sbr.sina
lundaskor	skor har ið lundi eigur
lundaskrubb	(sj.)bjargaskrubb
lundasneis	sneis við króki á endanum til at draga lunda við;sbr.lundakrókur
lundastong	(bjarg.)fleygastong til lunda
lundatíð	tíðin tá ið menn fleyga lunda, dráttartíð,besta lundatíð var
lundatorva	1torva 1(3) har ið lundi eigur2flokkur av lunda á sjónum
lundaurð	urð har ið lundi eigur
lundavongur	vongur áel.av lunda(m.a. nýttur til kveistur)
lundavørða	fimm lundar bundnir saman um hálsin, vørða 1(1);sbr.kneppa 1
lundi	fuglur av svartfuglaætt(svartur og hvítur, høgt og litfagurt nev, reyðar føtur),karkarassur, karkareyði(Fratercula arctica),draga lundataka lunda í holuni;sbr.dráttur (5);(tilt.)hann sæst ikki heldur enn lundi á jólanátt(um e-n ið sjáldan sæst);(tilt.)sum lundi sligin á neviðsera hámur, lotur;lundin darvar mannin(í gongu);lundin sigur á, á!;fyltur lundi,sífylla 2;errin sum lundi;fara burtur at (el.á) lundafara at fleyga lunda;sms. t.d.bakka-,beltis-,breiðingar-,bú-,byggingar-,dimmi-,dráttrar-,setu-,spritu-,strá-,stroka-,toppa-,urðar-
lundir	sbr.leysalundir,rygglund
lundur	(sj.,kvæð.)lund 1,tá skalv bæði leyv og lundur;Ása gár í grønan lund
lunga	(lívfr.)annað av tveimum lívgøgnum í bróstholu at draga andan við,spyrja lunguni burtur úr fólkivera nærspurin, tráspyrja fólk;hoppa sum lunga yvir matigera seg upp (fyri øðrum), gera seg størri enn ein er;sms. t.d.leysa-,møði-,møðu-,skamm-
lungablað	(lívfr.)tað tynsta á lunga
lungabløðra	(lívfr.)lítil bløðra í lunga(tekur upp súrevni og letur frá sær koltvísúrni),lungabløðrurnar eru um tvær milliónir í tali í hvørjum lunga
lungabroddur	(lívfr.)avgangandi endi á lunga
lungalepi	(lívfr.)lungablað
lungaurt	(plfr.)planta í slektiniPulmonaria
lungnabruni	(lækn.)bruni í lungunum
lungnahinna	(lívfr.)tunn hinna uttan á lungunum og innan í bróstholuni(pleura)
lungnakrabbi	(lækn.)krabbamein í lungum
lungnapípa	(lívfr.)rør (tvey í tali) úr barka út í lunguni(ið greinir seg alt smærri),barkin tekur seg sundur í tvær stórar lungnapípur, eina út í hvørt lunga
lungnasjúka	(lækn.)sjúka í lungum
lungnasótt	(lækn.)lungnatuberklar
lungnatuberklar	(lækn.)tuberklar í lungum, bróstsjúka, tæringur(tuberculosis pulmonum, phthisis pulmonum)
lunka	hita eitt sindur, fløva,hann lunkar sær tað, sum eftir er í pottinum;vatnið er lunkað
lunki	lítil hiti, fløvi (1), flóni,leggja ein lunka í;í køkinum er komfýrurin, so har er altíð ein lunki
lunnaskjól	(stb.)garður (skjól) til bát tá ið hann stendur á lunni,báturin stóð í lunnaskjóli;teir drógu bátin niðan undir lunnaskjólið;sbr.lunnbót
lunnatoskur	(Svk.)partur av veiðu latin til at halda støðna, lunnaro.tíl.fyri
lunnatræ	træ til lunn,til støddar sum eitt hálvt lunnatræ
lunnavagnur	(skaldsk.)sporvagnur
lunnavæta	(Suð.)væta latin á lunn at lætta um drátt (1),(skemt.)ansa tær, so tú ikki verður til lunnavætu(sagt við e-n ið verður tikin av fótum í drátti og kann koma undir kjølin)
lunnbót	(N-Ey.)tvey garðløg við lynning ímillum(til at draga bát framí tá ið hann ikki stendur í neysti),taka bátin fram í lunnbótina;sbr.lunnaskjól
lunnbrá	(stb.)lynning (2),heima á lunnbránum
lunnildi(r)	(sj.,stb.)lunnindi(r)
lunnindabygd	bygd við lunnindum(úr fjalli í fjøru),á Hvítanesi er ikki lunnindabygd, har liggja eingi lunnindi til
lunnindabøur	lunnindajørð
lunnindajørð	jørð við lunnindum
lunnindi(r)	serrættindi ið fylgja við jørðel.jarðarogn,fuglurin lá til jørðina sum lunnindi(r);við lutum og lunnindumvið øllum rættindum(ið liggja til jørðina)
lunnur	træ at draga bát eftir,taka bát av lunni;taka bát upp á lunn(taka flóðfrían);seta bát til luns;báturin stendur til luns(við lunnum undir kjølskoytunum aftan og framman);hann stendur illa til luns;hvussu stendur hann til luns har afturi?;hann var raskur og sterkur og legði ikki lunnar undir seg(lívdi sær ikki);(tilt.)tað gekk sum eftir smurdum lunni(óføra væl);(tilt.)hon hevur ikki altíð havt smurdar lunnar(um konu ið ikki altíð hevði havt lætt lív);(skemt.)leggja sær ein lunnloysa sær buksurnar í fjøruni;(flutt m.)leggja lunnar undir e-thjálpa til at fremja, styðja, stuðla,Svabo legði lunnar undir føroyska orðasavning;(tilt.)ikki verða lunnar lagdir undir hannhann verður illa viðfarin;sms. t.d.bak-,eiki-,fóta-,fram-,leysa-,mið-,setnings-,skora-,spor-,støðu-,svøðingar-,uppisetur-
lupin	(plfr.)planta í slektiniLupinus
lupra	(Nóls.)bróta, oyðileggja, petta sundur,lupra e-t sundur;sbr.lupur
lupsutur	(Suð.)væl í holdum, tjúkkur, feitur, lubbutur, kvapsutur
lupu	síleypa
lupur	sbr.lumbur 1,lupra
lurkur	1gassi, stavur(t.d. at sláa við)2stórur smáfiskur, smáur toskur(minni enn 18 tummar)
lurrutur	(stb.)illa til passar
lurt	1útvarpslurt, útvarpstól2(lækn.)ljóðfangandi lurtirør at kanna virkiserst.hjá hjarta og lungum við, læknalurt[da.stetoskop]
lurta	1lýða á, royna at hoyra e-t,lurta eftir e-m;lurta ikki eftir honum!trúgv honum ikki2(stb.)teska, lýða (3) e-m í oyrað,kom higar, so skal eg lurta tær tað
lurtarafelag	felag av útvarpslurtarum
lurtaragjald	fast gjald sum fólk rinda fyri at hoyra útvarp,Rás 2 fær ongan almennan stuðul og kann heldur ikki krevja lurtaragjald
lurtari	ein ið lurtar(serst. eftir útvarpi), áhoyrari;sbr.hyggjari;sms. t.d.útvarps-
lurti	(gl.)(útvarps)lurtari
lurting	tað at lurta
lurtingarfiskur	(stb.)smáur fiskur ið valla kennist tá ið hann tekur
lurtingur	(fisk.)smáfiskur
lurvutur	1(um klædnaburð)kloddutur, fesjutur2lorkutur, klombrutur
lust	op inn í oyraserst.á kópi, oyr(n)alust
luta	kasta lut (um), avgreiða við lutakasti,báðir vildu hava jørðina, so teir lutaðu, og heimaparturin líknaðist Tróndi;luta burturlata av hondum við eydnuspæliel.lutakasti;bingo verður í kvøld, og burturlutaðar verða tíggju uttanlandsferðir;tað varð lutað um tað(lutur kastaður);luta sundurbýta,misjavnt er sundurlutað millum manna;luta (e-m) tillata (e-m) í lut, veita;hann fekk nógv tillutað(í sín part);luta gleðina við e-nsamgleðast við e-m;luta útluta sundur í fleiri lutir;lutastfalla (e-m) í lut, ognast, líknast (e-m),hann hevði tikið størri vídd, enn honum lutaðist
lutafelag	(búsk.)(vinnuligt) limafelag ofta við avmarkaðum innskoti, jøvnum atkvøðurætti og avmarkaðari samábyrgd(styttlf.)[da.andelsselskab, andelsforening]
lutaíbúð	íbúð í einum lutaíbúðarfelag
lutaíbúðarfelag	felag sum eigur hús ið limirnir hava íbúð í
lutakast	tað at kasta lut (um e-t),valdur við lutakasti
lutalað	(Suð.)lutstøði
lutaleikur	1(skúl.)spæl har ið fólk spæla ymiskar leiklutir sum eru vanligir í gerandisdegnum(til at gera luttakararnar tilvitaðar um teir)2(spæl)(terninga)spæl har ið ein leikar sum ávísur (hugsaður) persónur við eginleikum hansara[da.rollespil]
lutankann	(stb.)(seyðamark)hamarsmerki, lútankann
lutapeningur	peningur hjá luthava í lutafelag
lutaprógv	prógv um limaskap í lutafelag
lutarstøði	lutstøði
lutaseðil	seðil sum váttan um luttøku í eydnuspæli, happadráttio.tíl.
lutastað	lutastaður
lutastaður	torvlutastaður
luteigandi	(bíbl.)sum eigur lut í (e-m)
luteind	partur, lutur av størri heild[da.element]
lutevni	(evnafr.)evni ið er parturel.lutur í samansettum evni,vetni og súrevni eru lutevni í vatni
lutfall	tað hvussu e-t er í mun til e-t annað, samanburður millum støddirel.partar í heild, munalag[da.proportion]
lutfalsligur	sum er í lutfalli til, upp á seg, til tað,lutfalsligur kostnaður;hj-liga,fyrisitingin var felags og lutfalsligur líknað á deildirnar;lutfalsligur stórur/lítil
lutfalsrokning	(støddfr.)slag av rokning har ið ein við trimum givnum tølum skal finna tað fjórða,lutfalsrokning er t.d.: tá ið 3 kg kosta 9 kr, hvussu nógv kosta so 8 kg?
lutfalsval	(stjm.)val ið gevur flokkum umboðan eftir atkvøðutali
lutglas	(lækn.)lítil glaspláta sum lutur til sjóneykukanningar verður lagdur á[da.objektglas]
luthavandi	sum eigur lut í (e-m),hann vil gera tygum luthavandi í náði síni
luthavi	ein ið eigur lutapening í lutafelag,luthavi í ognarfelag
lutherdómur	(átr.)evangelisk kirkjulæra grundað á læru Luthers
lutherskur	(átr.)viðv. trúarlæru Luthers,hin lutherska trúgvin;tann lutherska kirkjan
luti	sms. t.d.meiri-,minni-,undir-,yvir-
lutkast	(sj.)lutakast
lutleiki	tað at vera lutligur,móts.sjálvleiki[da.objektivitet]
lutleysur	ið ikki heldur við øðrum partinum, partleysur, uttanveltaður[da.neutral]
lutligur	óheftur av kenslumel.persónligum metingum, evnissamur,móts.sjálvligur[da.objektiv]
lutloysi	tað at vera lutleysur
lutræna	(stb.)lata verða við skerdan lut í býti,teir lutrændu pápan(í fuglabýti)teir lótu ikki pápan fáa sín part í býtinum
lutræning	kv6í osb.verða fyri lutræningverða við skerdan lut í býti, verða fyri vanbýti
lutstøði	støði undir torvluti, lutalað
lutta	lukta,einki fjalist fyri honum, sum hann gongur og luttar allastaðni(sneytar)
luttak	(gl.)luttøka
luttaka	taka lut, vera við,luttaka í e-m
luttakari	ein ið tekur lut (í e-m)
luttur1	luktur,ramur luttur
luttur2	(tónl.)streingjaljóðføri
luttøka	tað at taka lut (í e-m)
luttøkuføri	(løgfr.)gegni
luttøkuførur	(løgfr.)gegnigur (2)
luttøkuháttur	(málfr.)1(gl.)lýsingarháttur2(ným.)tátíðar lýsingarháttur í hvørkikyni nýttur í samansettum sagnorðabendingum(supinum),"skrivað" í "eg havi skrivað" er dømi um luttøkuhátt
luttøkutal	(støddfr.,sj.)valdur 1
lutu	síljóta
lutur	1e-t ítøkiligt, ting,lutir og lunnindi,sílunnindi(r)2eitt av fleiri sum verður kastaðel.drigið til tess at lata tilvild ráða býtiel.avgerð,kasta lut (um e-t);(sj.)kasta undir lutkasta lut um;sbr.lutakast3partur (av e-m),(kvæð.)hann kleyv hesa grein sundur í lutir tvá;eiga lut í e-mvera uppií,hann átti lut í hesum óregluliga handli4torvlutur5tvøstlutur6tað ið líknast e-m,falla í eins lut;falla e-m í lut,(skaldsk.)hin heilagi friður mær falli í lut;verða við skerdan lut(í býti)verða fyri vanbýti, fáa minni enn tað ið ein eigur at fáa;(bíbl.)Maria hevur valt hin góða lutin;(tilt.)ongum luti av at takaikki annaðel.meir at vænta vegna vánaligar umstøður7taka lut (í e-m)vera við uppi í e-m, luttaka8(flutt m.)viðurskifti, umstøður,royndur lutursannroynd;í øllum/mongum lutumel.í allar/mangar lutirí øllum/mongum (førum),hann roknaði út, hvussu hann í øllum lutum skuldi fara fram;hann var undangongumaður í allar lutir;sms. t.d.arva-,gagn-,lands-,leik-,leysa-,ognar-,prent-,stak-
lutverk	(sj.)leiklutur
lutvísliga	lutvíst
lutvísur	fyri ein part, partvísur,lutvís mánamyrking;hjlutvíst
lúðrablástur	tað at blása í lúður 1, hornblástur
lúðraljóð	ljóð úr lúðrum 1
lúður1	serstakt blásturljóðføri, horn (2);sms. t.d.mjørka-,toku-
lúður2	kvørnarlúður,hon hevur borið av lúðrinum
lúðurhorn	lúður 1, horn (2),pápin blæsur í lúðurhorn(í skjaldri)
lúgva1	ein av fýra kílum í kollinum á (vás)hettu
lúgva2	siga ósatt, fara við ósannindum;(tilt.)hann lýgur, sum fuglurin flýgurel.tey lúgva, sum fuglarnir flúgva(lúgva illa);lúgva fyri (e-m);lúgva e-n fullanfylla e-m við lygnum;lúgva upp á e-n(royna at skaða e-n við at) siga ósatt um e-n;lúgva e-n út á sjógvlúgva illa fyri e-m;hann lýgur sær ikki pápa til(er meinlíkur pápa sínum);(flutt m.)vera villleiðandi, villa
lúgva3	møða, pøsa,hann syfti ikki afturímóti og ætlaði á henda hátt at lúgva Toftabóndan;(orðt.)eitt lúgvar, annað brýtur(sagt t.d. um e-t ið hóttafall er komið á);sbr.bráka;lúgvastmaktast, leggjast fyri;(orðt.)umsíðirel.eina ferð lúgvast kúgv í mýri,síkúgv;lúgvaðurútlúgvaður, viknaður,hann var lúgvaður og orkaði ikki meira;(flutt m.)fyrr var bergið fast, men nú er tað lúgvað(viknað)
lúgvasligur	stríggin, strævin,í tí lúgvasliga stríði spardi hann seg ikki
lúgvisamur	tungur, strævin, stríggin,tað er so lúgvisamt at ganga í sovorðnum veðri
lúka1	1lemmurel.lítil hurð, loka at draga fyriel.leggja niður yvir op,hann skeyt lúkuna fyri gluggan;fara undir lúkuel.lúkuna(undir dýnuna, í song)2(á skipi)lastarlúka,hon var undir lúkurnar við lýsitunnum;skalka lúkurnar3ferhyrntur klaffur frammanfyri á føroyskum mannfólkabuksum(at kneppa niðurfrá)41báðar hendur hildnar saman lítlafingursmegin, krumma 1, geykn,upp í lúkuna2tað sum rúmast í lúkuni 1(4,1),ein lúka av te51kúputur lógvi,upp í lúkuna á vinstru hond2tað sum rúmast í lúkuni 1(5,1)
lúka2	1bera so í bandið at e-t gerst veruleikiel.verður loyst á nøktandi hátt,eg havi lokið verkið;lúka prógvtaka prógv;lúka treytir, krøv(uppfylla, klára);hann lúkaði ikki treytirnar;dagurin er lokin(at enda komin)2(gl.)gjalda, greiða 2(5),lúka skatt;(kvæð.)gullið skal eg tær lúka
lúka3	reinsa fyri illgresi,lúka kál;akurin er lokin
lúka4	(gl.)tæga ull og snara hana í tráð við fingrunum,lúka garn, tógv, ull;sbr.loka 3(NW Fær. Oldth.503)
lúking	tað at lúka (t.d.veltu)
lúkingarjarn	amboð at lúka illgresi við
lúkst	alla leið, heilt, pums 2,hon bóltaði líka úr lemminum og lúkst í kjallaran
lúkukarmur	(skip.)karmur (1) um lastarlúku
lúkulummi	lummi 1 í lúku 1(3),knívin við hornskeiðini høvdu teir í lúkulummanum ella í reim um beltið
lúna1	herðindi av ringum lag, lúni, ríggja 1(2),ganga við lúnu;hann er á lúnuni;vanl.flt:lúnur:hava lúnur;nú eru lúnurnar á honum;hann er fullur av lúnum
lúna2	vera múlatrútin, hava gron,ganga/sita og lúnael.lúnast
lúni	(Suð.)lúna 1,hava lúna;ganga við lúna
lúnning	(skip.)borðstokkur, skerstokkur
lúnskin	(sj.)lúnskur
lúnskni	tað at vera lúnskin
lúnskur	lúrin, óálítandi,menniskjurnar vóru lúnskar
lúnubjølgur	lúnupisa, lúnutrog,tín lúnubjølgur
lúnubragd	1lúnut lag, lúna 1(Sv)2lúnut fólk(Sv)
lúnugrúkur	lúnuskøltur, lúnupisa, lúnutrog
lúnukeili	(stb.)lúnuskøltur
lúnukendur	lúnutur
lúnukongur	1lúnut fólk2(sj.)fiskur ið melur um agnið men tekur ikki
lúnukráka	lúnupisa
lúnulag	lúnutel.ringt lag,eg veit ikki hví, tað er sovorðið lúnulag á klokkuni(hon stendur)
lúnupisa	eitt ið altíð lúnast, ríggjuskøltur(serst. um børn),tú ert tann lúnupisan, ið er
lúnur	sílúna 1
lúnuskortur	lúnuskøltur,hatta er tann lúnuskorturin, ið er
lúnuskøltur	lúnut fólk, lúnukongur (1)
lúnusterta	(stb.)lúnut konufólk, sterta
lúnustertur	lúnuskøltur
lúnutrog	lúnuskøltur,títt lúnutrog
lúnutrútin	lúnutur, múlatrútin
lúnutrýni	lúnuskøltur
lúnutur	sum hevur lúnur 1el.ofta er í ringum skørum, (múla)trútin, ríggin, ríggjutur
lúr	hí osb. sumliggja upp á lúrel.liggja á lúri (eftir e-m)lúra (eftir e-m)
lúra	1í loyndum hyggja at (el.lurta eftir) e-m,lúra eftir e-m;hann átti eina hálvmørk, sum Klæmint lúrdi eftir at fáa(royndi eftir);lúra seg fram at e-mel.inn á e-n(sníkja seg)2lumpa, lokka, svíkja,eg lúrdi hann3(sj.)lúra avverða liggjandi í koyggjuni aftan á útpurring
lúrari	ein ið lúrir
lúrin	listilærdur, svikafullur, lúnskur, illgrundaður,ein lúrin jassur;vesturættirnar eru lúrnar(ringar at rokna út til veður)
lúring	tað at lúra
lúringardagur	dagur við góðveðri um morgunin men sum endar við ódnarveðri
lúrinskapur	tað at vera lúrin
lúrivakt	(sjóm.)(á trolara)triðja vaktin ið ikki var til arbeiðis men tó var tøk;sbr.deksvakt,frívakt
lúrur	1blundur, dúrur, fugladúrur,fáa sær ein lúr2stutt íhald millum hvirlurel.tvey illveður, skái,tað var ein lúrur, men loftið var vánaligt;sms.kvøld-
lúrutur	(stb.)lúrin, illgrundaður
lús	1(dj.)lítið veingjaleyst blóðsúgvandi skordýr(sníkur á fólki og djórum)(í hópinumAnoplura),hava lýs;fullur í lúsum;hann krykur í lúsum,síkrykja;tá var ikki lúsin turr á kroppinum(var dýggjvátur);(orðt.)tungt er at hoyra lús hosta og loppu goyggja,síloppa;(tilt.)vera sum lús millum tvær neglvera í tvístøðu millum tveir partar,landsstýrismaðurin kennir seg sum lús millum tvær negl: Øðrumegin standa forsmáddir fiskifrøðingar og hinumegin vinnan, sum ikki vil finna seg í skerjingum;(tilt.)eg eri sum lúsin, fari avstað, tá ið eg havi fingið;(orðt.)sárt bítur soltin lús(svong);(skemt.)liggja við lúsinivera hundasjúkur;drepa lúsinaroyna at arbeiða seg frískan aftur eftir at hava verið drukkin;hava okkurt at drepa lúsina við(t.d.fara til útróðrar, velta);ganga við lúsiniganga drukkin meir enn ein dag2(handv.)tøppur ít.d.kvistholi;sms. t.d.blað-,feigdar-,fiska-,flat-,fugla-,før(i)-,grót-,grunn-,hoy-,konga-,lunda-,seyða-,skrid-,tara-
lúsa1	1ringur, vánaligur, óreinur (2),umborð á hesum lúsa bukkunum;eitt lúsa hol2skallutur (3),lúsa 15 krónur
lúsa2	(handv.)tippa, tetta hol (t.d.kvisthol)
lúsabotnur	botnur har ið nógvar lýs eru á fiskinum,á lúsabotni fekst ikki fiskur(tá ið tú dregur upp er agnið avtakið við fiskalúsum)
lúsabukka	(sjóm.)gomul vánalig bukka (2)
lúsadæmi	gráligt dæmi á fólki sum hevur lýs
lúsafríur	við ongum lúsum,seyðurin var púra lúsafríur
lúsagras	(plfr.)slag av javna(Lycopodium)
lúsahólkur	(stb.)lúsakjálki
lúsahundur	lúshundur
lúsakambur	fínkambur(at kemba lýs úr hárinum við),tættkambur
lúsakjálki	(niðr.)óflýggjaligt fólk, kjálki (7), bartrog, forherðingur,tín lúsakjálki!
lúsakongur	(stb.)lúsaskarvur (4)
lúsakrabbi	(dj.)ávíst krabbaslag(Hyas)
lúsakroppur	lúshundur, lúsakjálki
lúsakulla	lægdin oman fyri óstbeinið(RKR Heimaráð99)
lúsaleingja	(stb.)lúsakroppur,tín lúsaleingja
lúsamunkur	1fólk sum hevur lýs2(ungur) lúsutur lundi(ofta fullur í stórum lúsum um hálsin)
lúsamurgur	(stb.)lundi við lúsum
lúsaórøkja	(plfr.)slag av órøkju(Pedicularis palustris)
lúsaposi	(fólktr.)lúsaprilla,hvørt fólk hevði lúsaposa undir herðablaðnum, har lýsnar komu út
lúsaprilla	(fólktr.)vøkstur skapaður sum prilla har ið lýsnar skuldu halda til,hann, sum hevði lúsaprillu, fekk ikki lýs út um kroppin, tær fóru í lúsaprilluna
lúsareiður	lýs í stórum tali í hópi saman(uppi á fólki)
lúsasalva	salva fyri lýs, grásalva;(tilt.,sjóm.)ikki eiga fyri lúsasalvueinki eiga;teir fingu ikki fyri lúsasalvueinki vignaðist við fiskiskapinum
lúsasár	sár eftir lúsabit, geit 2(2)
lúsaseyður	seyður við lúsum
lúsaskarvur	1lúsutur skarvur,báturin kavar sum ein lúsaskarvur(vátur frammaná)2olmussudýr3(niðr.)lúsakjálki,forbannaði lúsaskarvur4ein ið er fullur í lúsum
lúsaskølingur	lúsakjálki
lúsavætti	fólk sum hevur lýs
lúsetin	etin av lúsum(um fisk á línu)
lúshundur	beist, bakbeist, kjálki (7),forbrendi lúshundur!
lúsingur	hart dygt slag (undir vangan), ein undir vangan, kinnpústingur, leðrari, kvikil,hann fekk nakrar lúsingar
lúsoyra	(bát.)árundað horn á rimini við stavnin(til prýðis),músaoyra, devulsoyra
lúsungi	ótangi, óvætti
lúsutur	fongdur við lýs, fullur í lúsum
lúta1	1hallael.boyggja seg framyvir, vera hokin framyvir,lúta við høvdinum;lúta framyvir;(orðt.)lágt má hann lúta, ið høsnareyv skal kyssa,síhøsnareyv2(flutt m.)verða við undirlutan,lúta fyri deyðanum, sóttinio.tíl.;(tilt.)hann má lúta, ið minni márhann verður við undirlutan ið minni orkar;hvørgin vil fyri øðrum lúta(í bardaga)
lúta2	viðgera við lúti, lútviðgera
lútankann	(seyðamark)lutankann
lútkendur	(evnafr.)við eginleikum hjá lúti (1),móts.súrur,vita, um ein væta er súr, hvørkislig ella lútkend[da.basisk]
lútligur	(evnafr.)lútkendur(pH>7)
lútur	1(evnafr.)evnasamband ið saman við sýru ger ymisk sløg av salti2vatn at vaska íel.við, sápuvatn,gera sterkan lút
lútvakshattur	(plfr.)slag av vakshatti(Hygrocybe nitrata)
lútviðgera	lúta 2
lyfta1	lyftiútbúnaður(serst. í høgum húsum)til at flyta fólk og vørur upp og niður við[da.elevator]
lyfta2	1taka uppfrá, hevja,lyfta e-nel.e-m;hann lyfti honum ikki;lyfta e-nel.e-m uppfrá;(tilt.)ikki lyfta hond frá síðueinki gera til nyttu,eg havi ikki lyft hond frá síðu í allan dag;lyfta og lætta e-mhjúkla, húgla um e-n;lyfta høvdiðel.høvdinum;lyfta upp(um hús)hækka ovaru hæddina,teir lyftu húsið upp;húsini er upplyft2(flutt m.)gjalda,lánini vóru tung at lyfta
lyfti	tað at lova (t.d.at gera) e-t, tað ið er lovað e-m, heiti (4)
lyfting1	tað at lyfta
lyfting2	(søg.,skip.)stýrimanspallur afturi í skut á (víkinga)skipi,(kvæð.)hatta er ikki faðir mín, í lyftingini situr
lygi	(sj.)lygn
lygiboð	1ósonn boð2fólk ið ber ósonn tíðindi, lygivætti
lygiorð	ósonn orð, ósannindi,(bíbl.)lat fals og lygiorð vera langt frá mær
lygiprofetur	(bíbl.)ósannur, falskur profetur
lygisjúka	(sálfr.,lækn.)tað at vera lygisjúkur
lygisjúkur	(sálfr.)við sjúkligum hugi til at lúgva
lygisøga	ósonn søga, skrøgg
lygitala	(bíbl.)lygnarorð
lygitíðindi(r)	ósonn tíðindi
lygivitni	(bíbl.)vitni ið sigur ósatt
lygivætti	ein sum lýgur illa, lygnari, lygnarhol
lygn1	1tað ið ósatt er, ósannindi, lygi,tann svarta(sta) lygn;kolsvørt lygn;tann bláa lygn2(sj.)hvítur blettur á nagli, nornaspor;sms. t.d.neyð-
lygn2	lygna 1
lygna1	1(á sjónum)svartur slættur blettur, blika 1, lygni2skái (á sjónum), lygni,hann er úti hvørja lygnu;tað er ein lygna um kvøldið, men so vindar hann aftur
lygna2	1kyrra 2(2), slætna, verða kyrrurel.slættur,veðrið var av tí besta, lygnir á hvørjum tanga2blika 2(á avmarkaðum øki),tað lygnir úti á firðinum(er stilt í støðum);seinnapartssólin lokkaði og lygndi;(tilt.)alt lygnir og lærdýrdarveður á sjógv og landi3lygna við eygunumsita hálvblundandi (og fylgja við meðan onnur tala), hyggja við hálvopnum eygum4lygna seg(um fugl)steðga á í flognum(áðrenn hann stoytir sær eftir sild o.tíl.),likkan lygnir seg
lygnarhol	lygivætti
lygnari	lygivætti;(tilt.)ein lygnari ger so nógvar(t.e. ósonn tíðindi verða tikin uppaftur av øðrum);(tilt.)lygnari skal hava gott minni
lygnarorð	ósonn tala, ósannindi
lygni1	1lygna 1(1),eitt lygni er ein svartur blettur á sjónum;eitt lygni av olju(á sjónum)2lygna 1(2),hatta var lygnið, vit høvdu brúk fyri, men ikki brúktu(skái at sleppa av aftur oynni);sms. t.d.svart-
lygni2	(sj.,stb.)lygna 1
lygnsmansboð	ósonn boð, lygiboð,bera lygnsmansboðsiga ósatt,t.d.siga skeivt upp eftir øðrum,nú komi eg kanska at bera lygnsmansboð;ganga við lygnsmansboðumlúgva upp á annan;øll tey lygnsmansboð, sum blaðið breiðir út
lykil	1amboð til at læsa og lata upp lás2amboð til at skrúva (tátta, loysa)t.d.møttriko.tíl.við,skrúvulykil;skiftilykil3(tónl.)tekn fremst á nótablaði(ið sýnir ávísan tóna og gevur hvørjum nóta serstaka tónahædd),g-lykil;sms. t.d.hjals-,kistu-
lykilorð	orð ið kann loysa upp fyri e-m gátufullum, truplumel.duldum
lykilsorð	(teld.)orð ið vísir át.d.ávísar upplýsingar í kervi[en.keyword]
lykilstøða	serstakliga týðandi støða
lykilsøga	(bókm.)skaldsøga har ið fólk og staðir úr veruliga lívinum eru fjald aftan fyri dulnevni
lykkja1	1lokað bukt á tráðio.tíl.;(tilt.)toyggja úr hvørjari lykkjutoga á tamb;binda fyri (um) lykkjubinda um kapp, kappbinda2lítil bukt(til at festa hekti í),krókur og lykkja;(tilt.)tey eru sum krókur og lykkja(um tvey ið altíð eru saman)3kongur 2(2), bukt (3)4(bát.)róðurlykkja, stýrislykkja(á bátsróðri)5leingja av tvøsti at heingja upp til turkingar, tvøstlykkja,lykkja av tvøsti6(stn.)inngirdur bøur, gerði
lykkja2	liggja skeivur, hylkja(t.d. um grótlaðing),hetta lykkir alt ov nógv
lykkja3	(Suð.)skera, rista (tvøst) í lykkjur,hann lykkjaði tvøstið upp
lykkjuknútur	knútur við einariel.tveimum lykkjum ið losnar tá ið togað verður í, renniknútur;sbr.sloyfa
lykkjuskjótast	liðast og snarast ymsar vegir(t.d. av smædni, ringari samvitskuo.tíl.),hann stóð og lykkjuskeytst við borðið;lykkjuskotinskeivur, krókutur, buktutur,eitt lykkjuskotið træ;vaðmalið er lykkjuskotið(ovtøvt)
lykkur	kinkur (á stáltráði),lykkur kemur á stáltráðin
lyklabiti	k1(stb.)lyklabitarmúsatrappur
lyklahol	(í lási)hol fyri lykli
lyklahonk	lyklaringur
lyklakippa	lyklatyssi, kippa 1(1)
lyklapungur	hylki (t.d.úr leðri) ið lyklar eru goymdir í festir í eyguel.krókar
