H	rómv. taltekn fyri 200
hvalstøð	hvalastøð
hvalur	(dj.)fiskalíkt súgdjór ið livir í havinum(Cetacea)1grindahvalur,frá høvdinum skalt tú hvalin skera;grindin var hálvtannað hundrað hval(ir);vera sum hvalurin í havinumliva væl;leika í sum ein særdur hvalur;(leypa avstað) sum ein stungin hvalur(við nógvari ferð)2stórhvalur,skjóta hval;vit vóru neyðtrongdir av einum hvali;sms. t.d.bóghvítu-,dráps-,grinda-,gyllins-,jarðar-,kongs-,mastrar-,ná-,parta-,reka-,skaða-,smá-,stór-,tann-,vaktar-
hvalvág	vágel.vík løggild til grindadráp, hvalvágur,Miðvágur var góð hvalvág;sungið varð, tá ið farið var avstað aftur av hvalvágunum í grindaferðum
hvalvágur	hvalvág
hvalvákn	vákn (1) til grindadráp
hvalváknablað	blað á hvalvákni
hvalváknastaki	stakiel.skaft á hvalvákni, váknastong
hvalváknastong	hvalváknastaki
hvalvápn	(sj.)hvalvákn
Hvalvík	(stn.)1bygd í Norðstreymoy,í/úr Hvalvík,til Hvalvíkar2gl. navn á Sandvík
hvalvíkingur	fólk íel.úr Hvalvík
hvalæti	(dj.)slag av sjósnigli við ongari skel(Clione limacina)
hvammur	lítil dalur, deld(serst. inn í brekku el. líð),í Hvammi
hvannabøkkur	bøkkur vaksin við hvonnum
hvannabøli	staður har ið bjargahvannir vaksa
hvannafótur	hvannfótur
hvannafræ	fræ av hvonnum,teir, sum sáa hvannafræ, fáa ikki eydnu(tóku tí ofta hvannrót)
hvannagrand	grand (4)
hvannakassi	(stb.)hvannabøli
hvannakimbil	bundi av hvonnum, kimbil (1),so skar eg handa lítla hvannakimbilin til hansara
hvannakreppa	(stb.)hvannakreppingar
hvannakreppingar	ring búk-el.spýggjuilska av at oveta seg av (óbúnumel.ódrevjaðum) hvonnum,etið nú ikki ov nógvar hvannir, so tit fáa hvannakreppingar
hvannakrymp	magakrymp av at oveta seg av hvonnum, hvannakreppingar
hvannaland	(stb.)hvannabøli
hvannaroykur	roykur (2) av hvonnum,hvannaroykurin er kvæmur
hvannarót	hvannrót,menn fingu sær upp í munnin av hvannarót, tá ið teir fóru út um morgunin(fyri alla sjúku)
hvannasár	hvannsár
hvannastuldur	tað at stjala hvannir,hvannastuldur er ringur at dylja
Hvannasund	(stn.)bygd í Viðoynni,í/úr Hvannasundi,til Hvannasunds
hvannasundsmaður	maður íel.úr Hvannasundi
hvannatjóvur	ein ið stjelur hvannir
hvannatorva	torva 1(3) við hvonnum(í bergiel.bakka)
hvannbøli	hvannabøli
hvannfótur	(plfr.)fótur (8) á hvonn
hvanngarður	garður við hvonnum,heimahvonn dyrkað í hvanngørðum
hvanngørn	(stb.,fisk.)skúvgørn
hvannir	síhvonn
hvannjóli	(stb.)hvannjólur
hvannjólur	jólur á hvonn,bæði leggur, hvannjólur og blaðstelkur verða etnir;fyrr skuldi hann svølta, til hann trænaði burt sum gamal hvannjólur, enn hann skuldi taka vatn av teirra hondum
hvannkálvur	eftirgróður av hvonn
hvannkreppa	hvannakreppa
hvannkreppingur	hvannakreppingar
hvannkrymp	hvannakrymp
hvannleggur	leggur (3) á hvonn
hvannrók	rók vaksin við hvonnum,(stn.)Hvannrókin Stóra
hvannrót	rót á hvonn,hvannrót upp á duratræ, tá ið smittusjúka var(gl. heimaráð)
hvannsár	munnsár av at eta hvonn, hvannasár,tann ið etur hvonn kann fáa hvannsár, smábløðrur og sár á varrarnar og rundan um munnin;drevjan var góð at turka sær um munnin við fyri ikki at fáa hvannsár
hvannstelkur	hvannleggur
hvanntyssi	hvannir ið vaksa tætt saman
hvapp	síhveppa
hvappur	kvikur, knappur 2(2),hon var køstug og hvøpp sum ein fuglur;hjhvaptknappliga, brádliga,kavaælið kom so hvapt sum eitt skot;tað galt um ikki at rippa seiðin ov hvapt leysan úr vatnskorpuni
hvar	1hj(spyrjandi)1á hvørjum stað,hvar er grindin?;hvar eru børnini?;mamman spurdi, hvar ið hann hevði verið2hvagar,hvar fert tú?2sb:hvarel.hvar ið,eg veit ikki, hvar hann er;(orðt.)eingin veit á morgni at siga, hvar hann á kvøldi gistir3víða hvarvíða um, nógvastaðni
hvarmur	jaðari á eygnaloki, eygnabarmur, eygnahvarmur, eygnavarmur, eygnavarmi, eygvermi, vermi;sms. t.d.eygna-
hvarv1	1tíð (um leið),í tí hvarvinumum tað mundið, um tað passið, tá,gásin er í tí hvarvinum at fara at leggjast(bøla);kúgvin verður í hvarvinum at kálva á jólum(fer at kálva um jóltíðir);alt var í sama hvarvinum(hendi samstundis);um tað hvarv(ið)um leið (tá),tað var um tað hvarvið, tá ið eg var føddur;hann man vera 22 ára gamal ella um tað hvarvið2øki,bæði á tí andliga og tí evnisliga hvarvinum;arbeiðsmegi og arbeiðsskil átti hon fram um tey flestu av teimum hvørvum, sum vóru hennara3vend, umskifti,hetta mikla hvarvið í búskaparligu søgu okkara4stríggið arbeiði, vás(Sv)5(stn.)Hvarvið(syðst á Grønlandi);sms. t.d.hita-,tíðar-,um-
hvarv2	síhvørva
hvarva	(stb.)mala, reika,sólin hvarvar á luftini
hvassagras	(plfr.)slekt í grasætt(Nardus),rísið hvassagras(N. stricta)
hvassan	hvassliga,hon hugdi hvassan upp á hana
hvassasprek	(fisk.)slag av flatfiski, stórikjaftur(Hippoglossoides platessoides)
hvasseggjaður	við hvassari egg 1(1)
hvasskendur	rættiliga hvassur,hitt omanlopna grótið er hvasskent
hvasskvoysa	(fisk.)slag av flatfiski(við spískum tindum)(Psetta maxima)
hvassleiki	tað at vera hvassur,eyguni vóru mødd og høvdu mist sín hvassleika
hvassligur	1heldur hvassurel.skarpur,andlitið var langleitt og hvassligt(skarpleitt);(flutt m.)hvassligur á málinum;hvasslig orð2(um hund)heldur glúpskur, harður;hj-ligastrangliga, harðliga,svara e-m hvassliga aftur;hyggja hvassliga inn í eyguni á e-m;hann læði hvassliga;í vesturheiminum skilja vit hvassliga millum átrúnarligt og verðsligt(skilliga)
hvasslyntur	harðlyntur, snarpur (3)
hvassmæltur	hvassur (6) á málinum
hvassorðaður	ið nýtir hørð orð
hvassoygdur	við hvøssumel.strongum eygum,hann kólaði hvassoygdur;ein bragdligur, hvassoygdur skipari
hvasssíl	(fisk.,Vágar)kombikk (1)
hvasstentur	1við hvøssum tonnum,longurnar eru so hvasstentar;sagin er hvasstent2(plfr.)hvasstent blaðblað við spískum tonnum og rundum innvikum
hvassur	1(um eggjarn o.tíl.)sum bítur væl, beittur, bitgóður, bitur,hvassur knívur;hvøss klógv;hvassar tenn;hann dugir væl at halda hvast(hava væl brýnd eggjørn);vit víkja einans fyri hvøssum(fyri vápnum);(sjónavn)hvast við lærknívur;hvast gróteggjagrót;(kvæð.)laksið rennur so í streymi eftir hvøssum gróti;lína tolir ikki at ganga á hvøssum2óslættur, rúðrutur, skrubbutur(at nema við),hvassur á skræðuni;hava hvast hold;hendur hvassar sum skøtuskinn3(um skap)sum stendur framúr, við kanti,hvast enni;hvøss (fjalla)røð;hvast horn(krapt)4(um veður, streym o.a.)harður, harðførur;hvast veður(við heglingsælum);hvast ælel.skúrurheglingsæl;(kvæð.)hvassur var tann skúrur;hvassar glaður;har kom ein meldurglaða, so hvøss, at hon hvølvdi bátin;har er suðurrákið eisini hvast5(veðurfr.)hvassur vindurvindferð 13,9 - 17,1 m/sek.(millum strúk í vindi og skrið),(veðurfr.)hvassur stormurvindferð 24,5 - 28,4 m/sek.(millum storm og kolandi storm)6illur, strangur, hvasslyntur, harðligur,spurdi hon, kundi hann vera hvassur og bíta hana av;ternan er ein yndisligur fuglur, men hvøss kann hon vera;í hvøssum orðastríði;prestur gav kortspælarunum eina hvassa áminning;har gjørdist óføra hvassur bardagi(harður);tað kom til hvast stríð;hon sá ógvuliga hvøss út(strong, ilsk);hvast fólkeitt ið er bítsk, illbit (2);hvassur á málinum;hvassur í orðum;hava hvassa tungu;hava hvøss eygu7sørur, starvur,heilt hvassur fyri pengar kundi tú heldur ikki fara frá landi;hann er púra hvassur(hevur ikki mál at kvøða við);hann kom hvassur aftur(krøktur);(stb.)fáa línu hvassa(við ongum fiski);hann er hvassur(hevur lítið vit, er fávitskutur);sms. t.d.brand-,bráð-,egg-,eitur-,hala-,hár-,knív-,ó-
hvast	(sjónavn)knívur, hvast við lær,hvastið lá eftir á remmuni
hvat	1(spyrjandi)1hvat slag av,hvat dagur?;hvat vilt tú?;hvat veit hann í?:hann spurdi, hvat fólk har var komið;eg vildi kunnað víst honum, hvat maður eg eri;hvør maður mátti gera upp, hvat jørð hann hevði;hvat tíðindi eru heiman?;(tlm.)hvat (...) fyri?hvat,hvat fyri bók er hetta?el.hvat er hetta fyri bók?2á hvønn hátt, hvussu,hvat er ættin?;hvat so?hvat um tað?,(barn.)hvat hendi síðan? hvat meira?(ótolin spurningur t.d. tá ið sagt verður frá søgu);hvat um tað?hví ikki?;teir eru rættir menn, hvat tá?;hann er í pussinum í kvøld, hvat annað?(hví ikki?);heldur enn eg veit ikki hvat(so eiðasørt);tað er ikki stirðil skaptur í honum, heldur enn eg veit ikki hvat;sum eitt eg veit ikki hvat(eitt ótýggi)2(afturbeint)hvatel.hvat ið:eingin veit, hvat endin verður á teimum;eg veit ikki, hvat eg skal gera;ið hvathvat enn,lítið nyttar, ið hvat tey fáa(hvussu mikið tey munnu fáa);(kvæð.)hvat heldur ... ellael.hvat ... ellaannaðhvørt ... ella,hvat heldur tú ert í víggi staddur ella í búnum talvi;hvat skulu við við skipum fara ella við hestaliði3í osb.mangt og hvat,símangur4hj1sum (6),hvat tær eru ríkar og vakrar;á, hvat hatta er fitt2hvussu,tað gjørdi Pætur ikki, hvat illur hann var(hvussu illur)
hvatligur	1knappur, kvikur2(gl.)sum tolir lítið av, snarførur, bráðsintur;hj-ligaknappliga, kvikliga,svara hvatligur aftur
hvatmæltur	hvattalandi
hvatt	(seyðamark)stývt omanav og oyrað lagt saman og sneitt av báðumegin;sbr.hvøtt
hvattalandi	sum talar hvatliga og í stoytum, stankandi, støkkin
hvattisliga	(stb.)hvatliga,svara hvattisliga aftur
hválur	(stn.)válur, hólur,Innarihválur, Uttarihválur
hválv	1e-t sum hválvir(serst. um hválvað helli),innast í botninum var eitt djúpt hválv ella helli;Snæbjørn hevði fangað teir(t.e. dúvuungarnar)í einum hválvi í berginum;kavin hekk sum eitt hválv upp yvir túninum(t.e. í stórkava tá ið túnini vóru grivin)2(á húsi)bogaskapað loft(serst. á kirkju);sms. t.d.boga-,himin-,himmal-,himna-,kross-,kúpu-,mið-,porturs-,tunnu-
hválva	mynda hválv,hitt æviga hválvdi seg uppi yvir mær
hválvaður	við hválvi,loftið er hválvað,sbr.kúputur
hválvdur	hválvaður
hválvloft	hválvað loft
hvápt	(Suð.)knappliga, hvapt,maðurin doyði hvápt
hvein	síhvína
hveita	(Suð.,fisk.)kalvi,teir fingu ikki so mikið sum eina hveitu;(stn.)Hveitumiðið
hveiti	1(plfr.)kornplanta í slektiniTriticum2(malið) korn av hveiti (1),(orðt.)hatta er ikki hveiti á hansara kvørn(fellur honum ikki);(orðt.)hansara kvørn melur ikki altíð hveiti(sagt um ein sum er ójavnt sintur og hevur misjavnt orðalag);(orðt.)hvat skal hveiti í hunds búk?(um e-t ið verður hildið at vera ov gott til e-n);sms.bók-
hveitiakur	(bún.)akur við hveiti
hveitibolli	bolli 2(1) av hveitimjøli
hveitibreyð	breyð av hveitimjøli, fínabreyð, fransbreyð
hveitidrýlur	drýlur av hveitimjøli, fínadrýlur
hveitikorn	korn av hveiti
hveitimjøl	mjøl av hveiti
hveitumagi	(stb.)kalvamagi
hveituravi	(sj.)kalvaravi
hvella	(sj.)vella (1), spríkja,hvella uppúr(um keldu)
hveppa1	hvøkka,hvør maður hvapp;hann hvapp viðel.hvapp saman(hvakk við)
hveppa2	flyta knappliga og í stoytum, kreppa, rykkja, kippa 2(2),Heykur rýtur, smágoyr í svøvni og hveppir labbarnar;hann hvepti økslina eitt sindur;hveppa segel.hveppastknappliga taka seg aftur, skrykkja seg saman, hvøkka,hann hvepti seg og vriðaði seg;hon hvepti seg saman;sílini lógu og hveptust í grasinum;hveppast við:stundum smágoyðu teir og hveptust við;hveppa seg viðaftra seg,um 1659 sæst løgtingið hveppa seg við at nýta norsku løgbókina
hveppin	1sum hveppir seg, støkkin, styggur,hann bar orð av at vera heldur hveppin maður(styggligur);Petur er hveppin í fyrstuni(tá ið hann verður rakaður);eg eri so dekans hveppin, bara nakar rørir við meg(gevi meg knappliga undan);eg sat so óstillur, at hundarnir vóru heilt hvepnir fyri mær;(flutt m.)danir hava verið sera hvepnir fyri øllum, ið nemur við Noreg(erkvisnir, smásárir);hveppin við (e-t)ið ræðistel.firnast fyri (e-m)2(um bát)leysur á kjølinum
hvepping	tað at hveppa, krepping,hveppingar fóru gjøgnum skinnið á ærini
hveppisligur	heldur hveppin,hundurin er so hveppisligur
hvepputur	hveppin,at leiða ær er so vandamikið, tær eru so hvepputar, kunnu rúka avstað knappliga
hvess	harðlig ábreiðslael.átala, skortfleingja,hann gav honum eitt hvess
hvessa	1gera hvassan, brýna,hvessa haka;pápi hvesti kvørnir fyri fólk;sum tá ketta hvessir klørnar;(tilt.)fara at hvessa tennillsemjast;(flutt m.)lagið teirra millum fór neyvan at skifta, snarari fór tað at hvessast móti endanum(harðna)2(um vind)vaksa,hann hvessir kuldavindin;heglingurin hvesti úr honum;hann hvessir seg upp undir høgættheglingsæl ganga,sbr.hvassur (4)3(um sjógv)lógvin hvessirtað brestir í óløgunum(upp undir veðurskifti)4tala harðliga, glepsa (2),hvessa á tonnskera á tonn;"oysið", hvesti hann á menninar í eysrúmi;traðkar tú á halan á honum, so hvessir hann frá sær;bóndin hvesti í Jákup(gav honum hvøss orð);"gakk í hundsreyvina við tær!" hvessir konan í5glepsa,hundurin hvesti í mannin;sms. t.d.bráð-,ó-
hvessi	(sjónavn)eggjarn,tey hvessir - knívar og annað -, ið inni vóru, hevði hon(t.e. kópakonan)beint aftur í kistuna, har bjálvin var goymdur
hvessing	brýning (2)(á t.d. grótbori),hvessingin er ov bráð(stutt, kubbut);tann føroyska hvessingin hevur fýra hyrnur
hvessingur	(dj.)slag av smáhvali(Tursiops tursio)(er ofta uppi í grindum)
hvessireim	reim at hvessa við(t.d. rakiknívar)
hvessur	1stingur,gav henni ein slíkan hvess við korðuni2hvess,barnið fekk ein hvess
hvetj	(stb.)hvøtja 1
hvetja	(stb.)1hvøtja 22reka til spekingar,hvetja seyð
hvilvt	(stn.)lítil vallaður botnurel.kassur, vallað gjógv,frammi í Hvilvt
hvin	1snjalt ljóð, rin, níst, gníst,sker í eitt eymkiligt hvin;vit hoyra hvinið av kanónkúlum gjøgnum luftina2ein ið altíð hvínurel.grenjar,hatta er eitt hvin
hvinmæltur	hvinutur á málinum, klænmæltur
hvinu	síhvína
hvinus	(góðn.)(í sornhúsi)kveistur
hvinutur	hvínandi
hviril	1miðdepil í hársvørði sum hárið gongur útfrá í allar ættir,summi fólk hava tveir hvirlar í nakkanum;neyt hava hviril í pannuni;eg skal taka í hvirilin á tær(í herðatoppin)2(plfr.)tættstødd bløð niðri við jørð, blaðhviril3(gl.,sj.)meldurhvirla
hvirla1	1harðligt vindblak, kastivindur,hvirlurnar komu ýlandi oman ímillum fjøllini;hvirlurnar brustu millum skørðini og froystu hyljar og áarløkir upp;ein hvirla var so strong, at hon mundi tikið hann av fótum;so streyk hann avstað sum ein hvirla at bera boð í bý(sum eitt fok)2(sj.)meldurhvirla3(ným.)húshaldstól at skera, karva og morla (mat) við[da.foodprocessor];sms. t.d.meldur-,snurli-
hvirla2	fara sum ein hvirla, fara (snarandi) við ferð,vatnið ringir seg kring klettarnar og hvirlar seg saman;útsynningurin kann við hvørt koma hvirlandi niðan gjøgnum ánna;guvan fer hvirlandi upp í loft
hvirlublak	harðligt vindblak, hvirla
hvirlubrestur	brestur frá hvirlu
hvirlusmellur	hvirlubrestur
hvirlutur	við hvirlumel.vindbløkum(Sv)
hvirluvindur	kí osb.sum ein hvirluvindurflogkvikur,hon kom sum ein hvirluvindur;hann var sum ein hvirluvindur(kvikur, skjótur)
hvisja	(stb.)hviskra, suða, súsa, skava(t.d. um vindel.mýs),fara hvisjandi
hviskra	(sj.)(um vind)suða, hvína, hvista,vindurin hviskraði í tekjuni
hvist	(stutt) súsandi ljóð(sum frá veingjum),tú kanst hoyra hvistið frá hvirlunum;hvistið í grasinum
hvista	1(serst. um vind)súsa, suða,vindurin hvistaði undir hoyggið;ein hvirla kom hvistandi;dimmleittir garðar fóru hvistandi út eftir fjørðinum;hann hvistar á(um knapplig vindkøst);hvista undir (e-n)hurta undir2skunda sær, kvika sær,hvista niðan brekkurnar;tjøldrini hvistaðu aftur og fram(flugu kvikliga);hann fór hvistandi aftaná3sláa leysliga(til at harta),hvista e-n á fingrarnar4reka frá sær, kísta,hon hvistaði hann burtur5sópa,hon hvistar roykin burtur;teir hvistaðu niður(t.e. dripnar rituungar av rókini)
hvistan	(sj.)súsan, suðan(av vindi móti húsum),ein sovorðin hvistan av vindi
hví	(spyrjandi)av hvørji orsøk?,hví fórt tú?;hví grætur tú?;hví ikki?;hví tá?;hví tí?;eg veit ikki, hví tey fóru
hvía	spyrja hví,statt ikki og hvía og hvía!(sagt við fólk sum ofta spyrja hví)
hvíla1	1(kvæð.)song2hvíld,hann setti hana til at veva og loyvdi henni onga hvílu;(bíbl.)tá ið eg havi lagt meg til hvílu hjá fedrum mínum
hvíla2	gera (seg) ómóðan(við einki at gera),fáa sær hvíld(aftan á arbeiði, stríð),rinda møði,seta seg niður at hvíla;har plagdu teir at leggja av sær(t.e. byrði)at hvíla;eg var hvíldur, hevði sitið aftur í rong;hvíla undir flag(í moldum, í grøvini);har skulu beinini hvíla(skal jarðast har);búgvin at hvíla(um kvinnu)komin til at eiga;(sj.)hvíla av e-mstava frá, koma av,navnið hvílir av tí;(flutt m.)fyrr í tíðini hvíldi so nógv á konufólkunum(lá nógv á konufólkunum);tað hvílir á okkum føroyingum, at vit ikki aftur leggja løgtingið upp í haft(er skylda okkara);tað er ein banning, ið hvílir á mær;hvíla á1fáa sær eina lítla hvíld, steðga á2(um vind)maka, linna,hann fer at hvíla á;hvílastfáa hvíld, hvíla seg,tann, ið ungur er, hvílist skjótt;hvíla segfáa sær eina hvíld,hann hvíldi seg niður á puttin;hvíla seg fram á hakan
hvíld	tað at hvíla(st);sms. t.d.náttar-,sunnudags-,svøvn-,vápna-,veður-
hvíldarár	(bíbl.)sjeynda hvørt ár hjá gýðingum tá ið jørðin ikki skuldi verða velt, hvíluár[da.sabbatsår]
hvíldardagur	(bíbl.)dagur tá ið ikki verður arbeitt, hvíludagur
hvíldarferð	ferð til at hvíla seg(eftir sjúku, overvan o.a.),hann er farin hvíldarferð í suðurlond
hvíldarheim	bústovnur har ið fólk kunnu hvíla(til tess at koma fyri seg eftir sjúku, skurðviðgerð o.a.)
hvíldarhús	(kvæð.)gistingarhús, herbergi (1),fann upp á eitt hvíldarhús
hvíldarleysur	uttan hvíld, uttan ró 1,so flakkaði hann hvíldarleysur frá stað til staðar
hvíldarloysi	tað at vera hvíldarleysur
hvíldarløta	løta við hvíld,soleiðis sótu teir manga hvíldarløtuna og mintust á sínar smápiltadagar;prátið gekk dúgliga hvíldarløturnar
hvíldarstaður	(bíbl.)staður at hvílast,fylgja e-m til seinasta hvíldarstað(til gravar)
hvíldarsteðgur	steðgur at hvíla í
hvíldarstólur	armstólur
hvíldarstund	hvíldarløta
hvíldarsvøvnur	svøvnur ið gevur hvíld,hann fekk ikki hvíldarsvøvn
hvíldarsælur	(skaldsk.)friðsamur
hvíldsælur	hvíldarsælur
hvílingarpláss	pláss (við mannagøtu) har ið vanligt var at hvíla(t.d. við torvleypi),næsta hvílingarplássið var heimi á Skriðu;tá ið fjallmenninir komu til hvílingarplássið, settu teir seg niður
hvílingarstað	hvílingarpláss,vit hava føst hvílingarstøð
hvílingarsteinur	steinur at hvíla á(serst.fram við mannagøtu)
hvíluár	(bíbl.)hvíldarár
hvíludagur	(bíbl.)hvíldardagur,minst til at halda hvíludagin heilagan
hvíluleysur	hvíldarleysur
hvílustólur	hvíldarstólur
hvína	geva hvin frá sær, rína, nísta, gnísta,rína og hvína;hvína sum stungin grísur;tað hvein í veðurhananum á kvistinum;tað hvein í búkinum;steinurin kom við sovorðnari ferð niður gjøgnum bergið, so tað hvein eftir í
hvínan	tað at hvína, hvin
hvíta1	(mjólk.)1(gl.)undirløgd mjólk uppheitt við makligan varma, hvítingur (2)(so at blondan setur frá),skyr og hvíta2(ným.)slag av tjúkkari súrgaðari mjólk[da.ymer]
hvíta2	sýnast hvítur (av skúmi),tað hvítti á aldurygginum;tað sást hvíta frá stevninum(froyða);tað hvítir ikki við landið(er svart við landiðel.klettin, er deyðkyrt);lít tær út á Lítlu Dímun, har hvítir ei við tanga;tað hvítir ikki upp á land;tað hvítir ikki í klettin(svart við landið);ikki skuldi hvíta í, tá farið varð eftir skarvum(mátti vera kyrt);tað hvítir ikki úr kúnnikúgvin er slept
hvítabjørn	(dj.)(nærum) hvítt bjarnarslag(sum livir í kuldalondum),ísbjørn(Ursus maritimus)
hvítagn	agn (2) hvítumegin av kalva
hvítagull	(evnafr.)dýrt stálgrátt metal, platin
hvítamessing	gýtt (2)
Hvítanes	(stn.)bygd í Suðurstreymoy,á/av Hvítanesi,á Hvítanes
hvítanesmaður	maður áel.av Hvítanesi
hvítanýra	(fríðk.)eista(serst. á veðri og tarvi),bøllingur
hvítarót	(plfr.)grønmetisplanta við hvítari rót í slektiniBrassica,mairót
hvítaskógvur	hvítur løriftsskógvur;sbr.svartaskógvur
hvítaskøta	(fisk.)skøtuslag(Raja lintea)
hvítaváð	(gl.,kirkj.)hvít skírnarklæði(í katólskari tíð)
hvítbotnaður	1við hvítum botni,hvítbotnaðir gummiskógvar2(skip.)við hvítum tríhyrningi í vatnganginum fram ímóti stevninum,hvítbotnað slupp,sbr.reyðbotnaður
hvítbók	(stjm.)savn av skjølum (í hvítari permu) um politisk mál(sum ríkisstjórn gevur út)
hvítdæmdur	við hvítumel.ljósum dæmi,hon var móð og hvítdæmd
hvítfiskur	1(sj.,fisk.)ljósur toskafiskur2(dj.)hvíttel.ljóslitt hvalaslag(Delphinapterus leucas)
hvítfylgi	(stb.)flokkur av fugli ið hokkast uppi yvir silda-el.seiðatorvu
hvítgás	hvít gás,(gáta)eg veit eitt hús fult av hvítgásum, reyð leikar mitt íel.ein skopan reyð(muðurin, tenninar, tungan)
hvíthara	(dj.)snjóhara
hvítholdaður	við hvítum holdi
hvíthærdur	við hvítnaðum hári(vanl. av elli)
hvíti	1(sj.)hvítleiki, hvítur blettur,sum teir sótu og fiskaðu, sóu teir ein hvíta niðri í sjónum2eggjahvíti3tað hvíta í eyganum,hann blunkaði og vendi hvítanum í eyganum út;sms. t.d.drunn-,eggja-,eygna-,fræ-,vel-
hvítibúkur	(fugl.,gl.)hvítkjógvi
hvítil	(gl.)hvít rekkjuváð,serst.tjúkt tætt vovið ullteppi teir breiddu oman yvir seg tá ið teir lógu úti í bjørgunum um náttina;rógva undir hvítli1(spæl)sita og rugga undir einari rekkjuváð(um børn)2koma við spotsglósum, skjóta undir vatni
hvítingsbróðir	(fisk.)lítil gráligur fiskur av toskaætt, toskasild, stinksild(Trisopterus esmarki)
hvítingsknetti	knetti av hvítingi,annan jóladag var døgurðin sum oftast hvítingsknettir
hvítingur	1(fisk.)fiskaslag(Merlangius merlangus),bótarleys súpan og hvítingur gav vissan og skjótan deyða2(mjólk.)hvíta(JCP Hests.23)3litloysingur(albino)
hvítkál	(plfr.)slag av káli(Brassica oleraceael.capitata);sbr.kálhøvd
hvítkjógvi	(fugl.)vanligur kjógvi hvítur undir búkinum
hvítkjói	(fugl.)hvítkjógvi
hvítklæddur	1í berari skjúrtu, einklæddur,ganga hvítklæddur;hvítklæddir standa nakrir av húskøllunum2klæddur í hvítt,(flutt m.)fjøllini stóðu við hvítklæddum tindum
hvítleiki	tað at vera hvítur,hvítleikin í holdi hennara
hvítleittur	hvítdæmdur,hvítleittur morgunhimmal
hvítleykur	(plfr.)slag av nýtsluplantu við sterkum royki og smakki(Allium sativum)
hvítligur	sum ber á hvítt
hvítmylingur	hvítmylja 1,eg helt meg síggja hvítmylingar úti á fjørðinum
hvítmylja1	alda ið tað hvítir á(beint áðrenn tað fer at glaða),tað eru hvítmyljur á fjørðinum
hvítmylja2	(um aldu)hvíta á kambinum,tað hvítmyljar á sjónum(hvítir á aldunum);tað var so mikið av vindi, at hann hvítmyljaði sjógvin
hvítna	gerast hvítur,nú tók aftur at hvítna frammi við bøgirnar á bátinum;tú skert á vælindið, til tað hvítnar, áðrenn tú gert knút á;ketilin hvítnar upp undir frost(undir botninum);hamrarnir vóru farnir at myrkna aftur, brekkurnar vóru hvítnaðar(av kavafølvi);(skaldsk.)nú hvítna tindar fjøllum á
hvítnýra	hvítanýra
hvítoygdur	glaroygdur
hvítravnur	(fugl.)ravnur við hvítum flekkum(Corvus corax varius),hvítravnur livdi bara í Føroyum, er nú útdeyður(MáR Fuglab.18)
hvítrevur	(dj.)slag av hvítum revi(ið livir í kuldalondum)(Alopex lagopus)
hvítrondutur	við hvítum rondum (1),sebran er hvít- og svartrondut av múlanum í hala og hógvar
hvítrygna	(dj.)øða við gulum mati;sbr.reyðrygna
hvítsápa	hvítel.ljós handsápa;sbr.grønsápa
hvítseiður	(stb.,fisk.)lýrur
hvítsjógvaður	(sj.)við sjógvum sum tað hvítir á,havið var hvítsjógvað og stóð í eini skriðu
hvítskeggjutur	við hvítum skeggi (av elli)
hvítskúraður	skúraður hvítur(serst. um við),hvítskúrað gólv;bróstini eru hølvaður og pløgdur viður og eins og gólvið hvítskúrað
hvítsukur	molasukur
hvítsúla	(fugl.)fullvaksin hvít súla(Sula bassana),eftir mikkjalsmessu rýma bæði grásúlan og hvítsúlan;hina gomlu, hvítsúluna, taka teir um várið
hvítta	smyrja hvítan, kálka,loft verður hvíttað, veggir, bróst og hurðar verða málað;hvíttaðir betongmúrar
hvítumegin	á hvítu síðuni, (hvíta síðan)(serst. á flatfiski),flatfiskur skal verða ísaður við hvítumegin upp;tað skygdi sum silvur undir bakkanum, tá ið tær(t.e. maðkapirrurnar)vendu hvítumegin upp;skøtuskógvar, ið vóru seymaðir úr hvítumegin, vórðu fagurt gulir;(flutt m.)liggja (við) hvítumegin upp(fyrilagstur, lagstur í seingina);okkara besti maður liggur við hvítumegin upp(í seingini);sbr.svørtumegin
hvítunýra	hvítanýra,tey søgdu hvítunýruni í staðin fyri nossuni
