S	rómv. taltekn fyri 70
stríputur	við strípum, ríputur
strítt	sístríður
strok	1strúkandi rørsla,lat meg geva líggjanum eitt strok við spóninum;so stillhentur, at hann í einum stroki kundi gera tað liðugt, ið aðrir nýttu nógv strok til2tað at fara við ferð,hann fór við stroki heimeftir;hevði tú sæð strokið á honum heimeftir;fáa strok á seg(ferð);halda eftir fyri at strok ikki skuldi koma á bátin(glið)3rend,eg væntaði, hann gjørdi eitt strok til Suðuroyar, nú hann var í Føroyum4strúkur í vindi, nógvur vindur, stormur,strok í vindi;eg firrist ei storm og strok5valtran, flakkan,fara til stroksrýma, halda til beins;børnini vóru longu farin til stroks;so fór hesturin aftur til stroks;er tað einki annað, ið hevur drivið tykkum til stroks í morgun?6(bjarg.)fara áel.fyri strokfara við ferð oman móti upsini og útav;hann fór á strok(datt oman);har fór eg eina ferð á strok(á glið);strok kom á línunalínan fór við strúkandi ferð(tann sum sat undir misti takið)7øki, umráði(serst. bratt øki),alt strokið úr fjalli í fjøru8fólk (el.dýr) ið reikar um,hon er eitt strok9(ítr.)slag av skíðítrótti(skreiðing beint undan brekku)[no.utfor]10(jarðfr.)stroklinja,kolaflógvin gongur sum ein onnur grótflógv við sama halli og stroki;sms. t.d.boga-,bygda-,geila-,glaðu-,húsa-,landa-,túna-,úti-,vilja-,vind-
stroka	1(brádligur) hvassur vindur, vindblak,skipið fekk eina stroku(so einki gjørdist við segl)2tað at halda avstað av ræðslu(t.d.um seyð ið hundur eltir),seyðurin fekk eina stroku3(um fólk)hørð ábreiðsla, skeld, skola,hann fekk eina stroku
strokafyl	(skemt.)ein ið ongantíð er inni, geilastrok,tú ert eitt strokafyl
strokahundur	hundur ið strýkur (10),vit fingu durafjórðingin sum strokahundar
strokalundi	lundi sum strýkur fram við landinum(flýgur ikki í ring)
strokan	1strúkur í vindi, strok (4),strokan í vindi2toyggj (1), skortfleingja (1),hevði pápi tín sæð teg, hevði tú fingið eina strokan av honum3høgg, slag 1(1), sipan (1)(Sv)
strokavætti	1flakkari, rekavætti, landastrok,lógin var ikki soleiðis fyri búfast fólk, meira fyri strokavætti, sum hópurin var av tá í tíðini2(stb.)fólk ið er herviligt at strúka, geilastrok
strokfuglur	(fugl.,sj.)ferðafuglur (2)
strokhavhestur	(fugl.,stb.)havhestur sum strýkur fram við bakkanum(ikki sama flúgvingarlag sum gamal havhestur)
strokin	sístrúka
strokkur	1(tøkni)sylindari (1)2(støddfr.)sylindari (2);sms. t.d.kirnu-,silda-
stroklinja	(jarðfr.)mát millum hallandi fláir og sannael.hugsaða vatnskorpu, strok (10)
strokljóðføri	(tónl.)ljóðføri ið spælt verður á við boga (4), strúkiljóðføri, stroktól
strokmál	strokiðel.ikki rokað mál 2(4),tað er ikki strokmál, tað er høgt rokað
stroksjúka	(lækn.)sjúkligur hugur at flakka(poriomania)
strokskot	skot ið ikki rakar beint men ber leysliga við
stroktól	(tónl.)strokljóðføri
strokungi	(fugl.)havhestur ið ikki hevur vorpið
strokvindur	(sj.)strúkur í vindi
Strond	(stn.)bygd í Borðoynni,á/av Strond,(norður) á Strond
strond	rond á landi ið myndar mark millum land og sjógv (el.vatn), sjóvarstrond, fjøra (2);sbr.sjóvarmáli;(kvæð.)gingu teir frá strondum niðan;(skaldsk.)mangan dvaldi eg við strond;við strondina stóð eg, tá ódnin brast á;sms. t.d.baði-,hellu-,kletta-,oyði-,sjúrðar-,sævar-,út-,vatn-,vestur-
strong	sístrangur
strongd	(lækn.)djúp likamlig og/ella sálarlig møði, overving(ofta í sambandi við tunga arbeiðsbyrðiel.tíðarneyð)[en.stress]
strongdi	sístreingja
strongdur	(lækn.)merktur av strongd
strongur	1(úttandur) snórur (úr lívrunnum evni)el.metaltráður, band (1), snórur (1)1rokkastrongur,ikki fyriel.at leggja um streinginpúrt eingin ull;har var ikki fyri streingin(um seyð ið hevði kastað alla ullina)2(gl.)turkaður soymi(tægaður sundur nýttur at seymat.d.húðarskógvar við)3bogastrongur,(kvæð.)strongur av stinnum stáli4strongur (1) á ljóðføri,streingir skulu spennast, so teir ljóða væl saman;(flutt m.)taka til teir hørðu streingirnar(hørð brøgd, harðskap)5(kvæð.)togel.reip á skipi2mjátt strekki við hørðum ráki,við landoddar og aðrastaðni, sum streymar renna hvør inn í annan, gerast streingir og íður;skrubbut var í streinginum;strongurin er um at reisa seg3sin (3)(serst. á veðurlambi);sms. t.d.boga-,bulka-,egg-,eistna-,fiól-,grinda-,harpu-,hjarta-,klokku-,legg-,mønu-,nalva-,nýra-,renni-
stropað	(um fuglaegg)við samanrunnum reyða og hvíta,eggið er stropað(í stropa)
stropaprilla	(bjarg.)prilla 1(1) til at bróta egg í, stroparoð
stroparoð	stropaprilla
stropi	1tað at reyði og hvíti eru lopin saman(eftir at fuglur hevur ligið á eina tíð),eggið er í stropa(reyði og hvíti eru farin at leypa saman)2(plfr.)svínasólja, skriðsólja
stroppalív	(stb.)undirlív (2), knappalív
stroppaposi	(sjóm.)trolposi ovurfullur av fiski(leysur stroppur lagdur um)
stroppur	lykkja 1(1), honk 1(1)
stroya1	(handv.,sj.)lekt
stroya2	spreiða (út) í smáum nøgdum, spjaða, sáa (2), breiða 2(1), sanda, sandra,stroya sukur á;stroya salpetur á bøin;sms. t.d.salt-,sand-
stroyggj	1lítið æl við (stórum) ótøttum dropum2sirm, surk, driv (1)3eitt lítið sindur, dism (2),eitt stroyggj av stoyttum pipari;sms. t.d.kava-,æl-
stroyggja	1regna við (stórum) ótøttum dropum,tað er farið at stroyggja;í dag liggur hann á høgum vestri og stroyggjar upp ímillum2regna fínliga, sirma 2(1),tað stroyggjaði3(stb.)í osb.hann stroyggjar sær vælveðrið heldur sær væl (turt)(helst í hoyna)
stroyggjaregn	(sj.)stroyggj (2),kvøldini eru køld og slavin við stroyggjaregni
stroyma	streyma,friður tín inn í mítt hjarta stroymir
-stroymi	síand-
stroymt	sbr.streymað,streymt;sms. t.d.and-
strutsur	(fugl.)slag av stórvaksnum fugli ið livir í hitalondum(Struthio camelus),strutsur er størsti núlivandi fuglur
strúgva	reinsa gras og strúgva burtur úr hálmi,strúgva burtur úr (hálminum)
strúgvadrøtli	(stb.)strúgvadøttur
strúgvadøttur	strúgvi samanbundin við kornbendlum, strúgvadrøtli,strúgvadøtt turkaðu teir í varðahjalli;hon bar strúgvadøttir í eitt gróthús
strúgvahond	lítil strúgvadøttur
strúgvari	amboð at strúgva við(kambur við grovum ótøttum tindum),strúgvijarn
strúgvarúgva	rúgvael.dungi av strúgva
strúgvi	1illgresi og gras í hálmi(kembdur burturúr tá ið akur verður skorin),gras vaks ofta upp saman við korninum, kallaðu tað strúgva;á gólvið hevði hann borið eyr og lagt strúgva útyvir;koma upp í ein strúgva(fløkju, føsil);skúlamálini í síni heild eru komin upp í ein strúgva;hárið stóð sum strúgvi um høvdið á honum2(um fólk)í osb.vera uppi í strúgva(uppi á floti, fjáltrutur, bangin)
strúgvijarn	strúgvari
strúka	1slættat.d.við hondini,strúka hárið upp;hann streyk sveittan av enninum;strúka e-m um ennið(kína);strúka (e-m) eftir bakinum2slætta 2(1) við strúkijarni,strúka klæði3lata glíða eftir,strúka pensil eftir e-m4taka burtur, strika út,strúka burturavgera lættliga reint;strúka burtur av (e-m)vaskael.turka leysliga5hvessa eitt lítið, svarva (2),strúkael.strúka eftir (e-m);strúka eftir líggjanum6hava við at gera, flætta við, hitta,ikki vera mjúkur at strúkaikki lukkuligur at koma í hóslag við;flundrurnar eru ikki mjúkar at strúka7taka av, strika 3(3),menninir struku húgvuna av8(sj.,skaldsk.)strika 3(1),segl á bunka strúka9fara við ferð, renna, leypa,strúka avstað;hon streyk av húsum;garðar av lomviga og ritu struku gjøgnum sundið;fara strúkandi;glaðurnar komu strúkandi(við ferð)10reika um, flakka (1),børnini strúka so illa;strúka um geilarnar;neytini strúka um allan hagan11(tónl.)spæla á strokljóðføri,strúka fiól
strúkari	(tónl.)tónleikari ið leikar á strokljóðføri
strúkiborð	strúkibretti
strúkibretti	brettiel.smøl pláta til at strúka (2) á, strúkiborð
strúkijarn	tól (við flatari undirsíðu og handfangi) til at strúka klæði við
strúkiljóðføri	(tónl.)strokljóðføri
strúking	1tað at strúkaserst.klæði2tað at strúka (4), útstriking
strúkur	1hvassur vindur, strok (4), strokan (1),strúkurel.ein strúkur í vindi2(veðurfr.)strúkur í vindivindferð 10,8 - 13,8 m/sek.(millum stívt andøvsgul og hvassan vind)
-strúpi	síranga-
strútafat	fat við strúti
strútakanna	kanna við strúti
strútakoppur	koppur við strúti
strútakrúss	krúss við strúti, tútakrúss
strúthúgva	húgva við strútiel.skugga (2), tútahúgva
strútur	1tútur (1)2(tøkni)dysa3geiri (1)el.skuggi framman á hettu 1(1), tútur (2)4stavnur framman á stavnhettu5í osb.seta strútrenna munnin framel.út(til at sýna misnøgdel.firtni),nú er strútur á honum(ringt lag)
strútvaksin	skapaður sum strútur (1)
strykki	(gl.,sj.)(stór) á
strykkja	strykki(FA338)
strýggj	1grovar vánaligar trevsur av hampiel.tíl.,pilturin royndi at fjala seg aftan fyri ein lagd av strýggi2grov (ullar)hár,ærin hevði nøkur hvít strýggj í síðuni3rusk (2) frá hálmi, hoyggio.tíl., bos4(stb.)vaksa upp í strýggjgerast langur og klænur, renna upp í slokk
strýggja	trevsa av hári, frísa 1(1)
strýggjuhár	strýggjut hár
strýggjutur	við strýggjum, frísutur,ullin er ov hørð ella ov strýggjut
strýkur	sístrúka
strýpi	strýpibiði(Sv)
strýpibiði	mjólkarbiði, strýpi(Sv)
strýta	(støddfr.)runt skap ið gongur út í spísk, keyla (1)
strýtustubbi	(støddfr.)strýta avskorin í erva, stývd strýta
stræta1	ein ið gongur úti og strætar, flogsa 1(1), strok (8), geilastrok(Sv)
stræta2	rankast, streyla, slentrast, renna húsamál,ganga og stræta;ungdómurin gongur úti og strætar
strætan	tusk, rensl (1), ferðan (2), reikan, valtran,strætan um geilarnar
stræti	smøl steinsett gøta, trongt tún,trongar gøtur og skýmlig stræti;her er sum á strætinum(gongd aftur og fram um dyrnar)
strævin	ið veldur mikla (kropsligael.andliga) møði, strevin, stravin, stríggin, møðsamur, trupul, knossutur,strævið lív;lomvigurnar vóru strævnar at royta;strævin tíð;strævið barn(óstýriligt)
strøttlingur	1lítil (fløkt) snælda, soytil, gørtur (1), piltur (2), piltateinur2(stb.)smáur fiskur (serst.av toskaslag)
strøttur1	(stb.)smáfiskamið nær landi, plinkur, strát
strøttur2	(stb.)1bein, gongulimir,hatta eru tær strøtturnar, ið eru2(á rossi)strøtturnarafturbeinini frá hógvunum upp á vaðhornini
stubba	gera stuttanel.styttri, stytta, snøgga,stubba av;stubba endan av teimum grovu fjaðrunum;stubba av hárinum;stubba omanavsláa (gras) illa
stubbafløska	fløska við ongum hálsi(til øl, sodavatno.tíl.),ikki er loyvt at flyta inn drykkir í stubbafløskum til Føroya
stubbarør	rørstubbi til at koyra sigarettstubbar í
stubbavel	1avstubbað vel á (ungari) hønu(vanligt var at stubba av velinum á høsnarungum fyrstu ferð teir høvdu vorpið)2(flutt m.)stutt skjúrt3(flutt m.)konufólk í ov stuttum skjúrti,hon gongur sum stubbavel
stubbi	1e-t stutt, petti (2), brotpetti,(kvæð.)setti stubbarnar niður í jørð(eftir at føturnir vóru avhøgdir);stubbi úr brævi2bandstubbi, snørisstubbi, togstubbi, endi (2), spotti3groddi (1), naddi, stumpur4stutt grein 1(5), lítil ritroynd5(fisk.)smávaksin fiskasløg(Gobiidae);sms. t.d.áar-,blýants-,fjalar-,garðs-,greinar-,lag-,línu-,seglgarns-,sigarett-,søgu-,tráð-,vegar-
stubbingur	(sj.)vøttur fram á fingrar, kubbi (6), kubbingur (2)
stubbuleggald	stutt leggald (1),hon var í svørtum sokkum við ongari il undir, hetta kallaði omma stubbuleggøld;summar skóleysar, men flestar í stubbuleggøldum;sbr.stokkaleggald
stubbutur	tjúkkur og stuttur, (ov) stuttur, kubbutur,ein bilur heldur stubbutur til báðar endar
studda	1(sj.)styðja,hann studdaði meg upp á rókina2stuðla,studda e-m til;studda upp undir tað, ið gott er3studdaðurfermdur, løddur,báturin var væl studdaður(um hálvsettur)
studdi	sístyðja
studentafelag	yrkis- og áhugafelag fyri studentar
studentagarður	bústaður ætlaður studentum í lestrartíðini,Garður er kendur studentagarður í Keypmannahavn[da.kollegium]
studentahúgva	eyðkennishúgva hjá pisum (3)(vanl. borin eftir nýlokið studentsprógv)
studentaligur	(við atburði) sum eyðkennir studentar
studentanelikur	(plfr.)slag av prýðisplantu(Dianthus barbatus)
studentaskúli	(skúl.)skúli við denti á bókligum lærugreinum trý ár eftir fólkaskúla(endar við studentsprógvi)
studentsprógv	(skúl.)prógv eftir lokið nám á studentaskúla(veitir atgongd at hægri lærustovnum),lúka studentsprógv
studentstíð	tíð sum studentur (2)
studentur	1ein ið hevur lokið studentsprógv2ein ið lesur á hægri lærustovni, lesandi;sms. t.d.lækna-
studera	1kanna gjølla2lesa 1(3)
studering	tað at studera, hægri lestur
studla	s30í osb.studla e-m tilstuðla e-m til
studling	tað at studla, eggjan
studna	(sj.)styðja,eg ætli mær at studna hann tað, eg kann;báturin var væl studnaður(væl av fiski í honum, kjølfestur)
studnaður	1(sj.)stuðul (2), styrkur, hjálp2(stb.)studni (2),vit skulu bera okkum studnað í bátin, áðrenn vit fara
studni	1(gl.)studnaður2(stb.)kjølfesta,legg ein studna í bátin(t.d.ein stein);báturin hevði fingið ein studna av fiskinum
studningsblað	1oyðublað til umsókn um studning2(plfr.)háblað undir grein, sprotael.blómu
studningslán	(búsk.)lán ið hitt almenna rindar rentur av;sbr.rentustudningur
studningur	1(peningaligur) stuðul (2), styrkur (2),søkja studning;fáa studning;veita studning til skipasmíð2e-t ið styðjarel.festir, stuðul (6)3(tá ið gingið verður upp í berg)tað at hin aftari styðjar hin fremra uppeftir(píkurin á stranganum verður stungin í buktina á lundabandinumel.í buksukvarðan á honum ið gongur upp)4uppgonga (í berg) við studningi (3)5hæddin ið maður í senn verður styðjaður upp við stranga6(á báti)kjølfesta 1, barlast,tit mugu hava væl av studningi í bátinum;báturin hevði góðan studning og tí kundu vit hava segl á;sms. t.d.bak-,barna-,blokk-,lestrar-,mjólkar-,rentu-,ríkis-
stuða	(gl.)studda (1);sístoða
stuði	(stb.)1stuðul (1), hjálp (1),tað er eingin stuði í hasum2barlast, kjølfesta 1, studningur (6),báturin hevði fingið ein lítlan stuða, tá ið nakað av fiski var komin í hann
stuðla	1í osb.stuðla e-m tileggja e-m til, halda e-m til;stuðla til ósemju(eggja)2veita stuðul, hjálpa, styðja (2),stuðla e-nel.e-m
stuðlabelti	silvurbelti hjá brúður(samankrøkt av silvurplátum)
stuðlaberg	(jarðfr.)berg við steyrrættum stólpum, stabbagrót,stuðlaberg í Froðba
stuðli	stuðul (6), stólpi;sms. t.d.leyps-,songar-,vøggu-
stuðlur	stuðli,stuðlur á leypi;sms. t.d.leyps-,vøggu-
stuðul	1e-t at styðja seg til,tað var ein góður stuðul2hjálp (serst.fíggjarlig), studningur, styrkur,stuðul frá tí almenna3undirtøka, viðhald,fáa stuðul fyri sínum sjónarmiðum4ein ið stuðlar, viðhaldsfólk(t.d.hugsjón, felago.tíl.),hugsanin hevur nógvar stuðlar5ein ið er øðrum til hjálpar,ein næmingur hevur stuðul(stuðulslærara);vera stuðul hjá evnaveikum6stytta, stólpi, stuðli(á leypi, song, trælykto.tíl.)7stuðlarsterk og førlig bein,lítlibeiggi hevur fingið stuðlarnar undir seg(er farin at ganga);nú er best, tú setur stuðlarnar undir teg(kvikar tær, bert skjótt at);hann hevði fingið stuðlarnar undir seg og gekk sum ein gammur(ferð á)8(bókm.)fyrsti stavur í orði (vanl.tveimum) ið hevur stavrím við høvuðstav í næstu reglu(í norrønum skaldskapi),í ørindisreglunum "Frítt tú vart í fornum tíma, fagra jøkilsland!" eru "f" í "frítt" og "fornum" stuðlar og "f" í "fagra" høvuðstavur;sbr.høvuðstavur;sms. t.d.grund-,handar-,hásætis-,leyps-,strá-,vøggu-
stuðulsfelag	felag av fólki ið styðjar ávíst endamálel.virksemi(t.d.ítróttafelag)
stuðulsflokkur	(stjm.)politiskur flokkur ið ikki er við í stjórn men sum stuðlar henni í avgerandi málum,stjórnarflokkarnir og stuðulsflokkurin fáa sambært veljarakanningini ein tinglim fleiri enn andstøðuflokkarnir
stuðulsfólk	stuðul (5)(hjá brekaðumel.álvarsliga sjúkum fólki),stuðulsfólk til heimabúgvandi børn við serligum tørvi vegna sálarligt ella likamligt brek
stuðulsleikari	(ítr.)ein av teimum berandi kreftunum á liði,liðið hevur mist fleiri av sínum stuðulsleikarum frá í fjør
stuðulslimur	limur ið styðjar felagel.felagsskap(men ikki er virkin limur),stuðulslimur í fótbóltsfelag
stuðulslærari	(skúl.)lærari ið er øðrum lærara til hjálpar (í skúlastovu), hjálparlærari
stuðulsskipan	skipan ið stuðul (2) verður veittur eftir
stuðulstavur	(bíbl.)e-t at styðja seg við
stuðulstiltak	tiltak ið hevur til endamáls at veita stuðul (2)
stuðulsveiting	tað at veita stuðul (2), veittur stuðul
stukku	sístøkka
stuldur	tað at stjala, tjóvskapur;sms. t.d.hungurs-,hvanna-,róta-,seyða-,torv-,veiði-
stuldursmál	(løgfr.)revsimál um stuldur
stulka	(kvæð.)genta,drekin rópar á stulkuna
stumbla	ganga óstøðugur, vingla, skinkla (2), støpla, stakra, stumla,nú stumblaði hann um ein bakka;tann fulli maðurin stumblaði avstað
stumbul	óstøðug gongd (1)(Sv)
stumla	stumbla,hann stumlar aftur í hellið
stummur	1við tiptari nøs,stummur í nøsini2heilt myrkur, almyrkur,tað er stumt í mjørka(kavtroðið, kjaftsvart);á stummari nátt(bølamyrkari);tann stumma náttbølaniða
stump	(stb.)skump, skúgv
stumpa	koyra undir, skumpa (1), skúgva 1, fíra (1),hon hevði stumpað hana í ánna;stumpa undir e-n;lambið stumpar upp undir júgrið(meðan tað sýgur)
stumpabreyð	(kvæð.)(súrgað) breyð bakað í ovni,tólv tunnur av stumpabreyði
stumpasirs	leivdir av sirsi
stumpur	1lítið stykkiel.petti (av e-m), stubbi2(barn.)afturpartur (2), rumpa (1),fáa ein smekk í stumpin
stun	tað at stuna, stynjan, venan, eymk
stuna	1eymkael.gevael.vena seg, stynja, tiva,sita og stuna;vit hoyrdu stormin stuna2gangael.renna við ferð, fara við skund,nøkur ungneyt fara stunandi omaneftir;hann gongur og stunar aftur og fram
stund	lítil løta, bil 1(1), eygnabragd (2), bragd (4),(skaldsk.)eg livdi ei stoltari stund;um stund1eitt stutt skifti2í løtuni, nú,titar títt um stund;í stundinialt fyri eitt, í løtuni, við tað sama, straks;geva sær stundir(taka sær neyðuga tíð);hava stundir(tíð);leivast henni stundir at...fær hon tíð at...;altíð og stundí heilum, støðugt, javnan;ofta og stundjavnt og samt, tíðum;stund um stundav og á, stundum;um skamma stundum stutta tíð;sms. t.d.aftan-,bana-,bøna-,deyða-,enda-,gitnaðar-,gleði-,gævu-,hand-,hevndar-,hvíldar-,klokku-,morgun-,neyðar-,ó-,royndar-,skilnaðar-,terra-,vanda-,váða-
stunda	1vera altráur (eftir), bíða við longsli, leingjast, tráa, trákkast,stunda á e-tel.eftir e-m;hon stundar á tín fundhenni leingist at hitta teg;stardu stundandi út í rúmið(langtandi)2(stb.)munga (eftir e-m),gev honum ein bita, sært tú ikki, hvussu hann situr og stundar;sit ikki har og stunda frá mær3stunda tilnærkast, líða at,sólin stundar til útsynning;nú stundar veturin til;leygardag stundar halgan til
stundan	tað at stunda (1), langtan, longsil, trá
stundardagur	k42í osb.ikki tann stundardagongantíð, aldri,hon skuldi ikki smakka hýsu aftur tann stundardag, hon livdi(JCP Hests.58)
stundari	(sjóm.)fyrsti fiskur ið maður fær(letur hann liggja hjá sær til at varðveita fiskieydnuna),tráari (2), alari (2)
stundarsettur	óreinsettur, dekanssettur,set teg niður, stundarsett, og gakk ikki har og starta aftur og fram!
stundi	sístynja
stundisligur	sum er á ávísum stað ásetta tíð, stundvísur,hann er altíð stundisligur;hj-ligarættstundis, stundvísliga,fundurin byrjar stundisliga
stundum	við hvørt, av og á, onkuntíð, ímillumat,stundum á sprongd og stundum á svongdymist um at bresta (av ováti) og ymist um at svølta
stundvísi	tað at vera stundvísur
stundvísliga	í rættari tíð, stundisliga
stundvísur	stundisligur,fyristøðumaðurin var altíð stundvísur á skrivstovuni
stunga	1húðarseil bregdað um húk til at festa teymin í, ongulsál,knýta í stungu;sbr.húðarstunga (1)2lykkja 1(1) av neytahúð kílað í hol í vaðsteiniel.línusteini;sbr.húðarstunga (2)3lykkja (2) á slíðrum til at draga reim útí4tað ið er skøvaðel.rist í e-t(t.d.bókstaviro.tíl.í harðan yvirflata),koparstunga5(stb.)afturleistur á skóleisti;sms. t.d.leður-,nál-
stungu	sístinga
stunguhol	(á vaðsteini)hol fyri stungu (2)
stuni	stun, stynjan(Sv)
sturta	1stoyta (6), hvølva (2),sturta seyð við stavileggja stav á hálsin á seyði(so at hann dettur og kann takast),sturta torv(stoyta úr leypiel.sekki)2stoytast,hann sturtaði eftir høvdinum;seyðafylgi komu sturtandi(við ferð)
sturtna	s30í osb.sturtna seg (út av hamrinum)stoyta sær;sturtnastdetta, stoytast,alt mól undir mær, og eg mundi sturtnast útav;hann var sturtnaður fyri borð og sást ikki aftur
sturtningur	oysregn
stuttasponn	longd millum fremstafingur og tummil útspílaðar(nýtt sum mát, o.u. 6 tummar),lítlasponn
stuttastong	(speis.)lundakrókur,hatta man hann hava fingið við stuttustong(hildin at hava drigið har hann ikki átti)
stuttbeintur	við stuttum beinum, beinstuttur, stuttleggjaður, lágføttur, lágbeintur
stuttbermdur	(bát.)við stuttum barmi,bátur kann vera stuttbermdur;sbr.barmur (5)
stuttbuksur	stuttar buksur,móts.langbuksur;sbr.knæbuksur
stuttbylgja	(útv.)bylgjulongd(ir) millum 100 m og 10 m (t.e.tídd frá 3 til 30 MHz),senda á stuttbylgju
stuttbyrsa	skammbyrsa
stuttfilmur	stuttur filmur (2)(ikki longri enn 30 min.)
stuttfloygd	í stuttum skjúrti,eg eri so stuttfloygd
stuttformur	(málfr.)stuttsnið
stuttfreistaður	við stuttari freist, í stutt tíðarskeið,móts.langfreistaður,stuttfreistað lán
stutthala	(sjónavn)ær
stutthylur	(ítr.)25 metrar langur svimjihylur
stutthyrntur	(um seyð)við stuttum hornum
stutthærdur	við stuttum hári,móts.síðhærdur
stuttkliptur	kliptur stutt, við stuttum hári,hon er stuttklipt
stuttkloyvdur	við stuttum beinum, stuttbeintur, lágføttur,breiðvaksin maður, stuttkloyvdur og bulmikil;sbr.kloyva 2
stuttkomin	stutt (á leið) komin(í menning),móts.framkomin (3),munur millum búskaparliga stuttkomin og framkomin lond
stuttleggjaður	1stuttbeintur, lágbeintur2(um stivlar)við stuttum leggjum
stuttleika-	sms. t.d.-bátur,-dagur,-far,-ferð,-lestur,-lív,-sigling,-søga,-veiða
stuttleika	halda (særel.e-m) at gaman, halda (e-m) á gleimi, stytta (e-m) stundir, skemta,stuttleika e-m;stuttleika sær (við e-m);ungdómurin stuttleikaði sær við dansi og sangi
stuttleikaskattur	(búsk.)skattur (1) av almennum skemtanum(t.d. dansi)
stuttleiki	tað at stuttleika (sær/e-m), e-t ið stuttleikar, gaman, gleimur, frøi, gleði, kæti,til stuttleika (el.tlm.stuttleikar)til gamans;hava stuttleika í e-mhalda e-t vera stuttligt;stuttleiki skal vera uppií, har sum ungt fólk kemur saman;ein stuttleiki;tað hevði verið ein stuttleiki(stuttligt);fáa sær ein stuttleika (burtur úr e-m);sms. t.d.fólka-
stuttleittur	við stuttum andliti,móts.langleittur,hann var stuttleittur og bøllutur í andliti
stuttligur	1ið elvir stuttleika, ið stuttleiki er í, skemtiligur, skemtingarsamur, skemtisamur,hon er altíð so stuttlig(skemtingarsom);tað er stuttligt at honum, tá ið hann fer at herma(hann er skemtiligur);hann hevur stuttligt í at...(stuttleika av);tað var so stuttligt í henni(at tosa við hana og hoyra hana);siga frá stuttligum søgum2ið hevur gleði við sær, ið kemur væl við, hugaligur,stuttligt arbeiði;tað var stuttligt, at tú komst;tað er ikki stuttligt at hoyra;hj-liga
stuttlívaður	ið livir stutt,móts.langlívaður
stuttmintur	ið minnist stutt, gloymskur, snargloymdur, kortmintur,móts.langmintur,eg skal vera so stuttmintur;sbr.ómintur,minnisleysur
stuttmýltur	(um ross)við stuttum múla
stuttnevni	(málfr.)stytt navn,Magga er stuttnevni fyri Margreta
stuttnøs	(sjónavn)ketta,ketta mátti ikki nevnast á útróðri, teir søgdu stuttnøs
stuttorðaður	ið nýtir fá orð, fáorðaður, fámæltur, orðfáur, orðalítil,tað, sum søgan mælir um sjálva ferðina, er stuttorðað;stuttorðaður stílur
stuttorv	stutt líggjaorv
stuttrúmdur	(bát.)ið hevur stutt ímillum bekkirnar, illa rúmdur
stuttrøð	(sjv.)stutt raðsending(í fáum pørtum)
stuttrøkin	ið ger stutt av, skjótførur,gott í teg, ver stuttrøkin
stuttskeftur	við stuttum skafti,stuttskeft øks
stuttskorin	stuttur,í stuttskornum koti
stuttskortaður	(stb.)við stuttum skorti,stuttskortaður seyður
stuttskygdur	lítið framsíggin, grunnskygdur, trongskygdur, grunnur 2(2),ein stuttskygdur og grískur pengapolitikkur
stuttskygni	tað at vera stuttskygdur, grunnskygni, trongskygni,smásinni og stuttskygni
stuttsnið	(málfr.)stutt orðsnið, stuttformur,"fløga" er stuttsnið av "ljómfløga"
stuttstavaður	(málfr.)ikki skrivaður fult, styttur,"til dømis" er stuttstavað "t.d."
stuttstelkaður	(plfr.)við stuttum stelki
stuttsýntur	(sj.)stuttskygdur
stuttsøga	(bókm.)stutt søga við einfaldari søgugongd og fáum persónum(ofta avmarkað til eina hending),smásøga[en.short story];sbr.skaldsøga
stuttsøgusavn	stuttsøgur savnaðar í bók, søgusavn
stuttur	1við lítlari longd, ikki langurel.síður, skammur 2(1),móts.langur,síður,stuttur kjóli;stuttar buksurstuttbuksur;brúka stutt(kjólar, skjúrto.tíl.);stutt tjóður;stutt er at ganga í næstu bygd;tað var stutt ímillum teirra;í stuttum sagtí fáum orðum;í styttra lagiheldur stuttur, ikki nóg langur;stigin er í styttra lagi2(um tíð)sum ikki varir leingi, ódrúgvur, skammur 2(2),stutt eftir hetta;søgan er stutt;fyri stuttumel.stutt síðanfyri kortum, nýliga;eitt stuttstutta tíð;tey høvdu verið har eitt stutt;stutt løtabil, andartak;stutt er ímillum æliniælini eru tøtt;dagarnir eru stuttir;vit halda stuttan steðg;prísirnir eru fleirfaldaðir eftir stuttari tíð;hjstutt,húsini eru stutt haðani(skamt);enn er ov stutt fráliðið;stutt sagtí fáum orðum sagt;sms. t.d.arm-,bein-,bul-,erma-,hala-,háls-,kjal-,kjálka-,kjøl-,krika-,lær-,miðal-,miðju-
stuttvaksin	stuttur á vøkstri, lágur, smávaksin
stúgva	trunka saman, stúva, stappa,summi árini stúgvaði várfiskurin seg inn á hvønn fjørð(kom í stórum torvum);stúgva saman;skýbøklarnir høvdu verið samanstúgvaðir í vestri;fólk stúgvaðist niðri á keypstaðarbrúnum, tá ið skipið sigldi inn;stúgvandi fullurrokaður, á tremur, á kjaft,dekkið var stúgvandi fult alla tíðina;krambúðin var stúgvandi full av fólki
stúgvur	1e-t stutt, stubbi2lítil stutt pípa, knavi (2), pípustúgvur3leivd av hoyggj um várið;sbr.stovnur (2)4(seyðamark)miðjulutað úr stúgv,símiðjulutað5akurin stendur á stúvnum(óskorin)
