M	rómv. taltekn fyri 1000
mótstøðufastur	ið er væl mótstøðuførur
mótstøðuføri	(lækn.)tað att.d.bakteriur og virus ikki verða ávirkað av heilivági[da.resistens]
mótstøðuførur	(lækn.)sum hevur mótstøðuføri (ímóti e-m)
mótstøðulið	(ítr.)lið av mótstøðuleikarum
mótstøðumaður	maður ið stendur ímóti (e-m), maður sum er ósamdur við e-n, andstøðingur
mótstøðumegi	megiel.evni at standa ímóti,hann hevði mist nógva mótstøðumegi, meðan hann lá sjúkur
mótstøðurørsla	(stjm.)skipað rørsla (2) ímóti fremmandari stjórn ella hersetingarvaldi
mótsyfta	(í glímu)baksyfta
mótsøgn	1tað at e-t ikki samsvarar, tað at siga ímóti, andsøgn2tvørsøgn;sms. t.d.sjálv-
móttakari	1ein ið tekur ímóti e-m, viðtøkumaður2(útv.,sjv.)móttøkutól
móttelvari	ein ið telvir ímóti (e-m),ein bágin móttelvari
móttiltak	tiltak (1) ímóti e-m
móttøka	1tað at taka ímóti (t.d.vørum)2almenn (hátíðarlig) samkoma(í sambandi við t.d. merkisdag),móttøka verður í sambandi við 90 ára stovningardagin hjá fyritøkuni3stað har ið tikið verður ímóti (vørum, fólkiel.tíl.),móttøkan er stongd
móttøkiligur	sum tekur við e-m, sum tekur e-t upp í seg, móttøkubúgvin,eitt sjáldsama móttøkiligt sinni
móttøkubúgvin	móttøkiligur
móttøkutól	(útv.,sj.)tól at taka ímóti fjarriti, útvarps- og sjónvarpssendingum, móttakari (2),móts.sendari (2)
mótugur	mótigur(Sv)
mótur	(stb.)móti,mótur kvøldi
mótvalevni	(stjm.)valevni sum býður seg fram ímóti øðrum valevni
mótvegis	(framman) fyri, áraka, hinumegin, andsýnis, yvirav,mótvegis e-m
mótveiting	tað at veita aftur ímóti
mótvekt	e-t sum vigar upp ímóti e-m
mótverja	verja ímóti e-m,reisael.seta seg til mótverjuhalda ímóti, verja seg
mótvild	mótvilji
mótvilji	móthugi, mótvild, mótboð, óhugur
mótvindur	vindur ímóti, mótbyrur, andveður,móts.undanvindur
móur	(gl.,stb.)mógvur,hetta hevur verið góður móur
móvatn	vatn sum kemur uppel.rennur í mólendi
mua	1(barn.)kúgv2(á hvonn)bestibiti (1)3býttlingur, neyt 1(2),tykkara muur;sms. t.d.geisla-,hesta-,kálva-,kjálka-,kossa-,rossa-
mubbur	fámælt fólk, dólgur,hann sat sum ein mubbur, hugdi ikki upp
mudda	1skera við (lítlum) bitleysum knívi, molgra2(stb.)hótta,standa og mudda
muddur	lítil knívur, frensageldari (1);sbr.músageldari;sms. t.d.felli-,flidna-,geldi-,tálgar-,telgi-
muður	munnur, gákur, kjaftur, mussi, flíggj (4),ovari muðuryvirmunnur;niðari muðurundirmunnur;tað er antin muður ella gruðurannaðhvørt er fiskur á ella fast í botni;sms. t.d.bit-,drekka-,kaffi-,manna-,skarns-,sólju-,te-,tvør-,undir-,yvir-
muffa	1(gl.)kubbi 1(5)2rørpetti uttan um tvey rør til tess at binda tey saman;sms. t.d.frynsa-
muga	mega
muggur	(stb.)havhestur
muhamedanskur	(átr.,gl.)muslimskur
muhamedsmaður	(átr.,gl.)muslimur
muldi	símylja
mulgra	morla, mjølva sundur, mola,mulgra sundur
mulna	(stb.)molna,fiskurin mulnar sundur millum fingrarnar
mulnutur	(stb.)ið lættliga mulnar sundur,fiskurin er so mulnutur
mulpa	tyggja leingi áðrenn svølgt verður(við ongum matarlysti),eta seint, mýla (2),situr hatta og mulpar og mulpar;gongur hann og mulpar allan dagin
multa	(fisk.)fiskur av multuætt(heldur sær inni á firðum og ósum meðan hann er við Føroyar),grámulta, pusalaknektur(Chelon labrosus)
muna1	gera mun, síggjast munur á, rína við, hava ávirkan á,tað munti (ikki) minni;muna ov lítiðikki røkka til;munandisum munur er í, munagóður, munaverdur
muna2	goymael.varðveita í minninum, huga, minnast,grátum ikki, frændi, munum heldur longur;muna e-m e-t aftur1(samsýna, endurgjalda)2(hevna),fái eg fatur á hasum skálkinum, skal eg muna honum tað aftur
munadyggur	sum munur er í, sum munar, munandi[da.effektiv]
munagirnd	kv2í osb.hava munagirnd áel.eftir e-mmunga eftir e-m
munagóður	sum munar, munandi, munadyggur, munaligur,munagóð úrslit
munalag	lutfall
munaleysur	sum ikki ger mun, uttan týdning, týdningarleysur, munarleysur,alt var vorðið mær munaleyst
munaligur	munagóður, munandi;hj-liga
munalítil	sum munar lítið, munaleysur
munamikil	sum munar nógv, munadyggur, árinamikil,á ein munamiklan hátt
munan	ávirkan, árin, virknaður
munandi	símuna 1
munardepil	(alisfr.)depilel.punkt har ið kraft (2) virkar[da.angrebspunkt]
munarhjáorð	(málfr.)hjáorð ið lýsir munel.stig,munarhjáorð eru t.d. heilt, stórliga, óføra, avbera og sera
munarleysur	munaleysur
munarlinja	(alisfr.)linja sum kraft (2) virkar eftir[da.angrebslinie]
munaverdur	munagóður, munandi,einki munavert
mund	tíð 1(4), hvarv 1(1),um tað mundiðum ta tíðina, um tað passið, um tað leitið;sms. t.d.middags-,sam-
munda1	fáa tvørtur um (e-t) við hondini,eg mundi tað ikki;munda tvørtur um skøvningin
munda2	medda, miða, sikta,munda at e-m;munda sær (at leypa)el.mundaststanda og gera seg til at herja áel.leypa, standa og ivast um ein skal leypa;hann stóð leingi og mundaði sær, áðrenn hann leyp
mundur	(bíbl.)gjald fyri brúður,greiða mund;sms. t.d.ditti-
munga	fegin vilja hava, hava hug á, brellast, stunda (2),munga eftir e-m;(gl.)mungael.munga frá e-mynskja sær tað ið ein annar etur, hundska 2
mungát	(søg.)heimabryggjaðel.innlendskt øl
mungin	sum mungar (eftir e-m), brellin, helrógvin,hann er so mungin;sms. t.d.søt-
mungubiti	mungupetti
mungupetti	ein sum mungar, mungubiti
mungur	tað at munga, brell, hundska 1(2),hava mung;fáa mung;loypa mung á e-n(brell)
mungutur	ið mungar illa, brellutur
munja	(Suð.)munna 1,tað er týdningarmikið, at okkara yngstu trívast í gerandisdegnum, tað munja vit øll vera á einum máli um
munkadagur	(stb.)dagur við ólagaligum veðri, illveðursdagur við nógvum avfalli(ikki útiverandi),hetta var ein ordiligur munkadagur
munkaður	(kortsp.,stb.)sum einki stig fær(í sjavsi),nú situr tú munkaður;nú ert tú munkaður;sbr.munkur (4)
munkahetta	(plfr.)planta í slektiniAconitum
munkakleystur	kleystur fyri munkar
munkaprestur	(gl.)slag av niðrispæli
munkaregla	(átr.)felagsskapur av munkum
munkaskipan	munkaregla
munkasólja	(plfr.)kirkjubøsólja
munkur	1maður ið er limur í munkareglu(býrvanl.í kleystri);sbr.nunna2lúsamunkur3bátsseymur við skeivum høvdi,nógvur munkur í bátsseyminum4(kortsp.)verða munkur (á krossi)einki stig fáa í sjavsi;hann kom munkur aftur(við ongum, hundasjúrður, sum av torvheiðum);sms. t.d.biddara-,grá-
munligur	munaligur(Sv)
munna1	1(í sambandi við navnhátt at lýsa e-t hugsandi og komandi)hann man ikki (fara at) komahann kemur neyvan;tað man hann sannatað fer hann ivaleyst at sanna;mundi tað verða honum og øðrum til meina;teir hugsa við sær, at hesi bæði tó ikki mundu vera so veik(ivaleyst, helst, uttan iva);systirin grunaði væl á svarinum, Eirikur gav henni, at hann mundi hava dripið Símun(ringan, mestan, óivað);grindin mundi kenna á sær;hvat man hann gera?;munnu tey vera komin?;sum vera maneyðvitað, sjálvandi2í osb. sumeg mundi dottiðeg var um at detta3(stb.)mega,vit munnu fáa amboð, tað munnu vit(hava stórliga brúk fyri amboðum)
munna2	1drekka (eitt sindur), smakka (4), leska (2),hann setti seg at munna av fløskuni;teir munna tað krútsterka kaffið;hesa ferð drukku vit ikki úr, men munnaðu, sum best bar til;munna segfáa sær ein munnel.eina løgg av og á,hann munnaði kaffið niður í seg;(stb.)munnastfáa sær ein bitael.ein drekkamunn ímillum máltíðirnar;hon er so hervilig at munnafær sær drekka í heilum2(stb.)kulka (í seg), elgja (í seg), kelka (í seg);hann munnar brennivínið í seg;statt ikki og munna vatn niður í teg3(gl.)mussa, kyssa, mynna,munnastkyssast, mussast4(plfr.,sj.)spíra, næla5(sj.)munna útrenna út,sjálv rennan munnar út sunnan fyri kirkjuna
munnagátt	(jarðfr.)grynna í fjarðarmunna
munnahella	sornhella, munnasteinur
munnasteinur	sornhella
munnbein	(lívfr.)annað av tveimum beinum ið tenninar í ovara munni eru festar í(maxilla)
munnbeiskur	l24(sjónavn)hin munnbeiskikópur
munnbera	1bera í munn, smakka,munnbera eitt;munnbera segeta, fáa sær;tað er ikki munnberandiikki etandi, óetandi;hetta er munnberandismakkar væl2kyssa,saktans mátti tú munnborið hana;hatta ólukkudýrið er komið so upp í árini, og ikki er hatta munnborið enn
munnbiti	biti (1), gloypur, leskur, tugga (1), munnsmakkur,tað er munnbiti, ið dugir;sker fleskið í munnbitar
munnbíla	(kvæð.)slag av øks við serstakari egg;sbr.øksarkjaftur
munnborin	borin á mannamunni,munnborin frásøgamunnsøgn
munnbærur	sum kann etast, etandi, munnberandi,tað er ikki munnbært
munnfimur	fimur í munninum, munnfittur,hon er so munnfim, at hon kann siga sjey ferðir "Kolturs torvkongul", meðan Magnus bindur tveingirnar
munnfittur	orðfimur
munngin	(Suð.)munnviki, gin (3)
munngoymdur	goymdur á mannamunni, munnliga goymdur,hitt mikla munngoymda ríkidømi av søgnum
munngron	kví osb. sumhar er munngron á(um gronut fólk)
munnharpa	(tónl.)lítið blásturljóðføri
munnhavin	sum hevur nógv á munni, søgvísur, opinskáraður,ikki plagar tú at vera so munnhavin
munnhola	hválvið millum tenn og svølgrúm(har matur verður tugdur og málljóð verða gjørd)
munnhøggast	deilast, skeldast, keglast, munnkýtast, sjabbast (2)
munni	1(vítt) op, kjaftur (4),teir veltu ein stóran stein fyri munnan2sorn(s)munni3(á epli)eyga (5),liggja í munnabyrja at spírael.næla, komast(t.d.um korn, epli);komið í munnafarið at spírael.næla, útrunnið;sms. t.d.berghols-,dals-,epla-,fjarðar-,gjáar-,gravar-,havnar-,hellis-,hjalla-,holu-,látur-,líðar-,lívmóður-,maga-,ósa-,pall-,rættar-,skeiðar-,vágs-,víkar-
munnkátur	raskur í munninum, mælskur, ógvorðaður, orðbrosin, munnlættur
munnklovi	kinnklovi, munnkrókur, munnviki, gin (3)
munnkrókur	(stb.)munnklovi
munnkuldi	(um fólk)kuldi um munnin, kjaftkuldi
munnkýtast	trætast, keglast, orðkýtast,sitið ikki so og munnkýtist
munnkýtingur	ein sum situr og trætir og altíð skal hava rætt, orðkýtingur
munnleður	h13e:mýkja munnleðriðgeispa;hava gott munnleðurhava gott mussaskøði, vera munnfimur
munnlestur	(serst. um deyv)tað at hyggja at munninum á einum øðrum til tess at síggja hvat hann sigur, varralestur
munnligur	borin fram á mannamunni,móts.skrivligur,munnlig frásøgn;skrivað upp eftir munnligari varðveitslu;hj-liga
munnlimur	(dj.)kjaftlimur
munnlittur	(seyðal.)við liti um munnin, múllittur
munnlættur	orðhavin, tungulættur, munnkátur,hann var so munnlættur;nakrir munnlættir óargadreingir
munnmæli	(sj.)orðtak
munn- og kleyvasótt	(lækn.)smittandi sjúka hjá kríatúrum við bløðrum um munn og kleyvar(kann í einstøkum førum smitta fólk)
munnpengar	(gl.)bót fyri at brúka munn,gjalda munnpengar;tú fært munnpengar, um tú ikki tigur
munnraskur	munnfittur,í Havn, har Føroya munnraskastu menn búgva
munnráki	ráki, vætael.spýtt í munninum, flot (6)
munnreystur	reysturel.djarvur í orðum(men ikki í gerðum),kjaftreystur,tann munnreystasti er sjáldan djarvastur
munnrim	(stb.)kjaftrim(á leypi)
munnríkur	(stb.)sum brúkar nógv orð, orðaríkur
munnsár	sár á vørr og á húðini um munnin(Herpes simplex labialis)
munnsjabba	træta,fyrst fóru teir at munnsjabbast, síðan fóru teir at berjast
munnskeftur	(stb.)munnfimur, munnfittur,hann er so væl munnskeftur til hatta og hatta
munnskelmur	(stb.)eitt ið altíð brúkar seg og ongantíð tigur
munnskemd	ein ið brúkar seg illa, ein ið nýtir skemdarorð,hann er ein munnskemd
munnskvaldur	møsn, tvætl, skvaldur, blarv
munnskøði	mussaskøði,hann hevði eitt slíkt munnskøði, at eingin hevði hoyrt tess maka fyrr
munnsleip	kjak (2)
munnsleipast	brúka seg, kjakast
munnsmakkur	smakkur av e-m, lítið av matarkendum í munnin, munnbiti, leskur, biti (1),fáa ein munnsmakk
munnsnildir	máliska, tiltak(ein í heilum nýtir),eg hevði fingið tað til munnsnildir
munnsopi	sopi av e-m flótandi, lítil slurkur, dropi (2), munnur (2),gev mær ein munnsopa at drekka
munnstillur	sum ikki sigur ov nógv, sum dugir at tiga,hann er munnstillur maður
munnstykki	stykki(t.d.á pípu, blásturljóðføri)havt í munni
munnsøgn	munnborin søgn, mannasøgn
munntami	máliska sum ofta verður nýtt, nógv slitið tiltak,hann hevði tað til munntami
munnturrur	við ongum drekkael.mati, óleskaður, turrmunnaður,tú fert ikki munnturrur út aftur
munnur	1op framman á høvdi (á fólkiel.djóri), varrarnar og opið ímillum teirra, muður, kjaftur,bera í munneta;leggja í munninmata 1;(kvæð.)signað veri móðirin, sum bitan í munnin legði;(um mat)inn í munninein biti;vinna sær og sínum inn í munnin til veturin;(um drykk)upp í munninein sopi;sita við turran munneinki fáa at etael.drekka;hava á munnisiga, tala, mæla, halda fyri, hava á orði;lata av munnisiga;tað leyp honum av munni(honum var sigandi);halda fyri munnisiga;hava fyri munni(berast á at) siga;Sjúrður hevði fyri munni á særSjúrði var sigandi, tað glapp út úr Sjúrði;(skaldsk.)mæla fyri munnilata av tungu falla, siga;drepa burtur úr munnitiga burtur, svara hissini;hava ringan munntosa ónæriligt, vera munnvargur;ikki deyður í munninumsum brúkar ljót orð;hon hevði næstan altíð gott í munninum(nýtti sjáldan ógvislig orð);fáa munnin á e-nkoma til orða við e-n, fáa e-n í tal;seta munnin á (e-n)loysa av (at deila), skerael.hvessa á tonn;hann skuldi seta munnin fyri seg ímóti honum(geva seg til at brúka geilatíkina ímóti honum);vera á munnitosað um;taka (upp í) fullan munn(in)(skróla);(tilt.)hevði tú dugað at sitið so væl á munninum sum á drunninumhevði tú dugað tær at tagt;tað skipar fyri munni mínumtað liggur mær á tunguni;lættur í munninummunnlættur;sum við ein munneinmælt;hava nógv á munnigera av, reypa, skrøgga, vera orðførur;halt munnin til á tær(tig)2sopi, løgg 1(2), koppur (2),tú skalt fáa ein heitan munn;ein munnur av kaffi;sms. t.d.argja-,bit-,drekka-,fólka-,kaffi-,manna-,te-,tvør-,undir-,yvir-,øl-
munnvargur	ein sum brúkar seg illa, varghundur (1),skiparin var munnvargur(sera ófólkaligur í munninum)
munnvegin	(lækn.)(inn) ígjøgnum munnin;sbr.nasavegin
munnviki	kinnklovi, munnklovi, viki (2),eitt lítið bros kom í munnvikarnar á honum
munsa	mussa(Sv)
munsaskøði	mussaskøði(Sv)
munur	1ójavni, mismunur, skilmunur, broyting,ein munur var í títað var frægari;tað er stórur munur at síggja;tað var minni munurin;(tilt.)tað er átari, ið ger mun á eggi;tað er munur í minni(ikki neyðugt at taka so rívan til);tað er munur á monnumt.d.hann er raskari, ríkari, sterkari enn ...;hon gjørdi ongan mun á teimum(fór eins við teimum);tað ger ongan muntað hevur einki at týða;ikki sæst munur á;tað er munur ánógv er í millum, ólíka er;gera mun áskilja ímillum;síggja mun á e-m2ávirkan, árin,góður (ringur) munur;til munarel.til munsso tað munar;gera munmuna;alt ger mun;lítið er tað, ið mun ger;tað ger mær ongan muntað kemur mær ikki við, mær tað sama;tað ger ikki mun(hevur ongan týdning);sum munur er ísum munar nakað3partur, stigmunur,ein mun størri(eitt sindur);ein mun lægri;í stóran munnógv, uppaftur (2);hava munin(í samanburði)vera eitt sindur størri, betrio.s.fr.;munin betrivæl betri;í kaldara munií kaldara lagi;grasið var í vátara muni, tá ið eg koyrdi tað í brunnin(í vátara lagi)4lutfall, samanburður, munalag,í mun tilafturímóti;tarin varð býttur í mun til jørðina5(búsk.)javnvág (2)6dýrgripur, virðisgripur;sms. t.d.aðal-,aldurs-,býtis-,daga-,dygdar-,fyri-,føri-,góðsku-,helvtar-,hæddar-,jarðar-,kassa-,klædna-,longdar-,manna-,orða-,prís-,sinnis-,spennings-,stætta-,støddar-,trýst-,vakstrar-
mura1	(plfr.)slekt í rósuætt, murugras(Potentilla);sms. t.d.børku-,díki-,gása-,gull-
mura2	1lyndiseyðkenni, skaplyndi, lyndisháttur, lyndi,hava góða muruvera grundargóður;ring muraillmura;sbr.illmuraður2(stb.)stimbur, seiggi(sum býr í e-m),tjóðin livdi mest sum av muruni(í neyðartíðini);tað er bara muran, ið heldur tær uppi(sagt við sjúkligt fólk)
mureldur	ljósfyribrigdi í sjónum elvt av murtni
murga	(stb.)illvætti av einum konufólki, óhirja
murgur	(stb.)illvætti av einum mannfólki, ómenni;sms.lúsa-
murild	(plfr.)gásamura
murkn	murtn
murlutal	h5í osb.í murlutalií stórum tali, sum murran
murpa	kv1e(Gj.)kasta murpusteina vørpu
murr	tað at murra
murra1	kv1eí osb. sumsum murranel.sum í murrunií stórum tali, í murlutali(t.d.um fisk)
murra2	(plfr.)gásamura
murra3	1(um dýr og fugl)láta serstakt hurrandi ljóð, urna, mjarra, grenja, hurra, kurra,kettan murrar;hundurin murrar;tá ið mýrisnípa fer at murra, verður toka ella vátt veður2láta spakuliga fyri seg sjálvan, njóra, lilja,ganga og murra
murrandi	hjí osb.murrandi fulluryðjandi fullur, morandi fullur;tað var murrandi fult av fólki(uddi)
murrikrutt	(fisk.)slag av ulku(Triglops murrayi)
murrukavi	fínur, turrur kavi sum rýkur, rokkavi, hýggjukavi, murukavi
mursn	(óregl.)->murtn
murta	(Suð.,barn.)fiska murt
murtaberg	sbr.seiðaberg
murtakyrra	sera góð kyrra, deyðakyrra,tað er murtakyrratað stendur við klettin
murtalongd	(skemt.)í osb. sumikki meir enn ein murtalongd(um stutta longd á e-m),breiddin á stykkinum er ikki meir enn ein murtalongd;sbr.spinalongd
murtatráða	tráða at fiska murt við
murtl	murtn
murtn	1æti og annað smákykt sum rekur í sjónum2smárusk av tarael.jøkli sum rekur í sjónumel.legst upp á land;kóka upp í murtnovkóka, kóka sundur, kóka upp í dravel.dugg;sms. t.d.tara-,urðar-
murtnabrúgv	(stb.)brúgv (4) av murtni (2)
murtongul	ongul at fiska murt við,eg hevði ikki ætlað at latið meg syfta á murtongli(lata seg undirmeta);andlitið var skarpt og tunt, har var ikki fyri murtongulin at fáa
murtur	1lítil seiður, seiðamurtur, smámurtur, pálur,fiska murtmurta;hvør murturhvør tann einasti fiskur;ikki ein murturikki ein tann einasti fiskur;(tilt.)nógvir murtar um agniðnógvir um boðið2kynslimur á mannfólki;sms. t.d.bein-,berggyltu-,eld-,fiska-,gillu-,grá-,hýsu-,pisu-,rak-,støðu-,ternu-,toska-
murubrek	(sálfr.,lækn.)órættvorðin mura 2, skaplyndisbrek(psychopathia)
murubrekaður	(sálfr.,lækn.)við murubreki
murubreklingur	(sálfr.,lækn.)fólk við murubreki
murugras	(plfr.)mura
murukavi	(stb.)murrukavi
mururunnur	(plfr.)prýðisrunnur í slektiniPotentilla
musikalskur	1sum hevur ans fyri tónleiki, tónanæmur2viðv. tónleiki
musikkskúli	(skúl.)tónlistarskúli
musikkur	tónlist, tónleikur, ljómleikur
-musk	síæl-
-muska	síæl-
muskatt	krydd av frænum í fruktini av muskatttrænum
Muskó	(gl.,stn.)Moskva,fólkið var sum í Muskó(stór mannfjøld)
muslimskur	(átr.)sum trýr á Allah, muhamedanskur,muslimsk trúgv;sbr.islamskur
muslimur	(átr.)ein ið trýr á Allah, muhamedsmaður
mussa	kyssa, munna 2(3), mynna, munsa,(tilt.)hatta man vera, sum tá ið (sjey ára) gamal hestur mussar mammu sína(um kaldan koss);mussa ímótimuta ímóti, svara aftur, mótmæla, bussa ímóti;mussastkyssast, mynnast
mussan	tað at mussa, kyssing, mussing,mussan, fevnan og kínan
mussareyður	reyður um munnin,mussareyð genta
mussaskøði	munnur, málbein,hann hevur gott mussaskøði(er væl skorin fyri tunguband(ið));sit ikki har og brýn mussaskøðið(brúka munn)
mussi	(barn.)munnur, mussur
mussiligur	kyssiligur
mussing	tað at mussa, mussan, kyssing
mussisjúka	(lækn.)smittandi sjúka serst. í munni(mononucleosis infectiosa)
mussulin	fínt ullar-el.bummullarevni
mussur	1kossur 12(barn.)munnur, mussi
muta	1mutla, mølma,muta um e-t2muta ímótihava ímóti, andøva ímóti, siga ímóti, mótmæla3mutastdeilast, keglast, trætast,mutast um e-t
mutan	tað at muta (ímóti),har var eingin mutan ímóti
mutl	tað at mutla, mutlan, tutl (1), tutlan
mutla	tosa spakuliga og ótýðiliga, teska, mølma,mutla fyri seg sjálvan;áin mutlar og tutlar;mutla ímótimuta ímóti;sms. t.d.ill-
mutlan	tað at mutla, mutl, tutlan,har var tutlan og mutlan
mutra	geva mutur
mutur	1gáva, peninguro.s.fr.sum ein í loyndum gevur til tess at ávirka e-n til egnan fyrimun,taka ímóti mutri2(stb.)fíggjarsvik, svik,har var mutur í hjá honum3fara fyri mutur og skuturel.fyri skutur og muturfara fyri skeytið, fara fyri einki, spillast
mutursspiltur	spiltur av mutri,embætisstættin var mutursspilt
muungi	nýlagdur nósi(Sv)
múgva	sms. t.d.fólka-,manna-sbr.múgvandi
múgvaður	(sj.)múgvandi,múgvaður maður
múgvandi	sum eigur nógv, ríkur, fíggjaður, múgvin,móts.ómúgvandi,múgvandi maður
múgvi	(kvæð.)múgva (1)
múgvin	(sj.)múgvandi,múgvin maður
múgvinskapur	tað at vera múgvandi, ríkidømi
múla	(sj.,stb.)kjaftbróta,hatta skuldi verið múlað, sum tað leikar í
múlaband	1gríma 1(3)2(flutt m.)forðanel.bann sum ger at ein ikki sleppur at tosa frítt,hann hevur fingið múlaband(er teptur)
múlabein	múlbein
múlabinda	(flutt m.)seta klombur á munnin (kjaftin) á (e-m), klombra munnin (kjaftin) á (e-m), geva múlaband, múlbinda
múlabundin	múlbundin,sum eitt múlabundið ross
múlamaður	maður íel.úr Múla
múlasíður	í ringum lag, múlatrútin,hann sat so múlasíður
múlaskoyti	nebbaskoyti
múlasneis	(stb.)sviðusneis
múlatrantur	(gl.)múlatrút,ein rættur múlatrantur
múlatrút	(gl.)múlatrútið fólk
múlatrútin	í ringum lag, múlasíður, lúnutur, trótin, trútin, púsin
múlatrýni	í osb.hava múlatrýni(um børn)vera múlatrútin, hava gron, lúnast
múlbein	h3í osb.halt múlbeinið samanhalt gákin til á tær, halt munn
múlbinda	múlabinda
múlbundin	(um fólk)forðaður í at tala, sum hevur fingið múlaband, múlabundin,hann sat so múlbundin
múldjór	(dj.)avkom undan asna og ryssu, asnaross, múldýr
múldýr	(dj.)múldjór
múlesil	(dj.)avkom undan asna og hesti
múlgráur	(seyðal.)gráur um múlan
múlhvítur	(seyðal.)hvítur um múlan,ærin er múlhvít
Múli	(stn.)bygd í Borðoynni,í/úr Múla,til Múla
múli	1tað fremsta á høvdi á rossiel.seyði(uttan um munn og nasar);liggja við mold á múla(jarðaður);molda múla1doyggja2(stb.)einki siga2e-t ið stendur fram úr lendi,(stn.)Uppi á Múlanum3byrsumúli, byrsukjaftur4(á tráðu)nebbi (1), nóri (1), rámúli5ytri endi á ár;sms. t.d.bryggju-,havnar-,hunds-,rá-,virkis-
múllitaður	(seyðal.,stb.)múllittur
múllittur	(seyðal.)við (øðrum) liti um múlan, munnlittur
múlmorreyður	(seyðal.)morreyður um múlan
múlsvartur	(seyðal.)svartur um múlan
múlutur	múlatrútin, múlasíður, trútin (2), trótin
múnja1	reyð máling ið verjir fyri rusti
múnja2	smyrja við múnju
múra	laða við múrsteini
múrari	ein ið hevur til arbeiðis at múra
múrgirdur	umgirdur við múri
múrskeið	lítil tríhyrnt skeið at múra við
múrsnøs	(byggil.)nasiel.hill á múriel.veggi ið bert.d.súlu, hválvel.standmynd[da.konsol]
múrsteinur	1steinur úr brendum leiri at múra við, tigulsteinur2slag av ferhyrntari køku
múrur	laðaðurel.stoyptur veggur;bróta múrgl. niðrispæl;vit máttu sita sum múrar(pinnastill);sms. t.d.borgar-,ljóð-,staðar-,toll-,virkis-
mús	1lítið gnagdýr við longum hala og stórum oyrum(líkist rottu men nógv minni)(Mus),har var hvørki mús ella kattur inni(eingin);hava mýs(lúna);kvirrur sum ein músdeyðakvirrur;(tilt.)sum mús í tómari tunnuí alt ov víðum klæðum;(tilt.)tað munar ikki heldur enn mús pissar í sjógvin(ger lítlan mun);(fólktr.)leggja mús upp í ættina(at ættin skuldi vara við)2(lívfr.)brósk sum er losnaðt.d.í knæliðiel.albogaliði,hava mús á knænum3(teld.)lítið tól til at stýra vísa á telduskíggja við;sms. t.d.bjarga-,flog-,haga-,heima-,lív-,trant-
músa	1fanga mýsel.rottur(Sv)2(stb.)knúsa smátt,grótið verður so sundurmúsað
músabiti	1feitur biti í skerpitjógvi(um smørsinuna),keisaraeyga, konubiti, pávaeyga(RJ Royvið81)2(stb.)tað fremsta á válgara
músabróðir	(fugl.)slag av smáfugli(morreyður oman á bakinum og gráligur undir búkinum við svørtum rondum),mortítlingur, vatnskalli (1), vatnskøltur (1)(Troglodytes troglodytes)
músafella	fella 1 at fanga mýs í
músafríur	fríur fyri mýs,músafríur hjallur
músageldari	pinkulítil muddur
músahol	hol eftir músum
músahola	hola hjá músum
músahvølpur	(barn.,stb.)mýslingur,so stillur sum músahvølpurpinnastillur
músakattur	kattur góður at fanga mýs
músakorn	fagurreytt eitrað korn at leggja fyri mýs(crimidon)
músalortur	lortur undan músum
músamotta	(teld.)undirlag undir mús (3)
músaoyra	(bát.,stb.)lúsoyra
músareiður	reiðurel.bøli hjá mús,(gáta)fær staðið í músareiðri, men ikki ligið á oksabási(fjallstavur, fleygastong)
músarlabbi	labbi á mús
músarskaði	skaði av mús (3)(á teldu)
músartonn	1(handarb.)bindingarmynstur (perlubinding)2músartennkantur líkur sagartonnum át.d.blondu 2el.knipplingi
músaskarn	músalortur
músatitan	titan av músum,droparnir hoyrast sum músatitan inn á skjøldurin
músatrappa	1skurðir á tvøran í kjøtbita til at lætta um hjá børnum at bíta av, lyklabiti2(spæl)long pappírsál samanløgd á ávísan hátt(MJ Barnaspøl28)
músatættur	so tættur at mýs sleppa ikki ígjøgnum,músatættur hjallurtætthjallur
músetin	etinel.gnagaður av músum,tjógvið er músetið
músli	bland av ymsum kornsløgum(t.d.havra, mais)og harafturat nøtum og rosinum, havt til ábit saman við mjólk
músutur	(seyðal.)gulutur
músvákur	(fugl.)slag av ránfugli(Buteo buteo)
mvg	stytting fyrimeirvirðisgjald
Mykines	(stn.)1vestasta oyggj í Føroyum,í/úr Mykinesi;(vestur) í Mykines;til Mykinesar2bygdin í Mykinesi
mykineskarsi	(plfr.)eygnagras
mykineskyrra	(stb.)nóg góð kyrra til at lendandi er í Mykinesi
mykinesmaður	maður íel.úr Mykinesi
mykinesoksi	oksi (ið hevur gingið) í Mykineshólmi(tiltikin góður)
mykja1	skarn frá neytum, kúmykja, neytamykja, neytaskarn;sms. t.d.gróðrar-,tarvs-
mykja2	s30í osb. sumseyðurin mykjartað loðar saman undan seyðinum
mykjudyngja	dyngja av mykju
mykjukøstur	køstur tilel.við mykju
mykjulaga	(stb.)mykjuløga
mykjuløga	tað sum ein kúgv skítur í senn, neytalortur,á gøtuni lá ein mykjuløga
mykjuroykur	roykur (2) av mykju
mykjutøð	tøð undan neytum, neytatøð, fjóstøð;sbr.skerpitøð
myla	(stb.)mylja (1)
mylda	1slætta veltu eftir sáing,tá ið liðugt var at saksa, varð tikið til kláruna, og væl varð veltan myldað2mola sundur, mylgra(Sv)
myldari	(sj.)klárur 1(1)
mylding	tað at mylda,myldingin festi moldina
