n	(málfr.)hjáljóðsstavur (nevndur[ɛn:])
nónstíð	(gl.)tíðin um nón, nóntíð,um nónstíð
nóntíð	(gl.)nónstíð
nópur	1álkunópur2(skemt.)nøs,hatta er ein ógvuligur nópur, hatta hevur
nóra	(plfr.)slekt í neliksætt(Minuartia);sms.fjalla-
nóri	(sj.)1nebbi(á tráðu),múli (4)2nasi(í bjørgum),á handa nóran fara teir at leggja línuna
nósi	(nýlagdur) kópahvølpur;sbr.svidningur
-nósin	síkapp-
-nósutur	síkapp-
nót	slag av fiskireiðskapi (stórt garn (3)el.net (1)) sum verður drigið gjøgnum sjógvin,kasta nótveiða seið við nót(nótin verðurvanl.sett úr báti og drigin inn á land),høvuðsheitini á nót eru grunnurin, flotlínan, kálvin, kjálkin og oyrað;skip royna við nót;sms. t.d.eiturkoppa-,grinda-,ring-,seiða-,síla-,snurpi-,ullar-
nótabendil	(tónl.)fimm javnfjarar reglur og gloppini teirra millum sum nótar verða skrivaðir á
nótablað	(tónl.)blað (2) við nótum
nótabók	(tónl.)bók við nótum
nótafastur	(tónl.)sum syngur reint, sum dugir at halda nótan, sum ikki fer av nótanum
nótahálsur	(tónl.)loddrætta strikan á nóta
nótahøvd	(tónl.)rundur partur á nótatekni
nótaleysur	við ongum máli at syngja við
nótaprikkur	(skemt.)ein ið ongan nóta hevur, ein ið ikki dugir at syngja,hann er nótaprikkur
nótarbátur	1opin bátur nýttur til nótarkast2nótarskip,nótarbátarnir fáa nógva sild norðanfyri
nótarboð1	boð um at koma at kasta nót(eftir seiði),gera nótarboð;koma við nótarboðum
nótarboð2	(stb.)nótarlína
nótardagur	dagur tá ið menn kasta nót,triði jóladagur var ofta nótardagur
nótarfelag	felagsskapur um seiðanót
nótarfiskur	fiskur veiddur við nót
nótarformaður	formaður við nótarkast
nótargarn	garn til at riða nót av,fittir í hondunum til at riða nótargarn og at bøta nót;at nótargarn varð spunnið á hampasnældu, haldi eg meg hava hoyrt
nótarkast	tað at kasta nót,stór nótarkøst vórðu drigin inn í Bugin
nótarkálvi	kálvi (3) á nót
nótarkikari	seiðakikari,nótaformaðurin liggur við nótarkikara og hyggur eftir seiði
nótarkyrra	nóg góð kyrra til at kasta nót
nótarleypur	leypur við fýra rimum(nýttur við nótarkast sum mál til at mála sundur partarnar við)
nótarlína	tog sum nót verður drigin við, nótarboð 2
nótarnál	nál at riða nót við
nótarpartur	1partur í seiðanót,hann átti sess á bát, nótarpart og nakrar gyllin í jørð2partur av veiðu sum lutast honum ið eigur nótina,hevði nótin fingið eini 100 trog, var nótarparturin eini 8 trog
nótarseiður	seiður fingin við nót;sbr.dyrgingarseiður
nótarskip	(skip.)skip ið roynir við nót
nótarskølingar	skølingar (1) at nýta við nótarkast(fyri ikki at glíða á helluni)
nótartrog	trog at taka seið upp úr nótini við(og at bera hann niðanfrá í),seiðatrog,tveir og tveir ganga menn við nótartrogi ímillum sín og bera seiðin niðanfrá
nótartrøll	(sj.)e-t (t.d.kalviel.kópur) ið kemur í nótina og skræðirel.ger ónáðir
nótavirði	(tónl.)longd á nóta
nóti	(tónl.)1skrifttekn ið sýnir hædd og longd á tóna2tónalag,eg dugi ikki nótan;syngja og spæla eftir nótum;halda nótansyngja reint;ikki fara av nótanumvera nótafastur
nr.	stytting fyrinummar
nubba	(stb.)nápa,hinir dugdu forbankað væl at nubba, teir kláraðu at stjala alt
nudla1	biti av makaronni í líki sum stjørna, ringuro.tíl.
nudla2	(stb.)nulva
nudlingur	(stb.)nulvingur
nuða	(óregl.)->noða 2
nugga1	slag av góðgæti avm.a.malnum mandlum[fr.nougat]
nugga2	(um børn og lomb)súgva boppu
nuggur	(stb.)mistrivningur ið tikin verður í skurð;sms. t.d.mammu-(RJ Greivab.59)
null	(støddfr.)talið 0, taltekn sum skilur ímillum positiv og negativ tøl
nulla	nudla 2
nullingur	nudlingur
nullmark	mark ið merkir null(át.d.hitamátara)
nullpunkt	(støddfr.)punkt á tallinju har ið talið null (0) stendur
nulva	1gera nulvingar, balla 2(4), klúka2tøva eitt lítið sindur(á tóvarafjøl el. millum hendurnar),nulva hosur;eg fari at nulva eitt sindur millum hendurnar3(kvæð.)svimja bóltandi ymist undir og á,tá kom nísa nulvandi
nulvingarhoyggj	hoyggj sum er nóg turt til at nulva (1),gott/ringt nulvingarhoyggj
nulvingur	1ballingur (1),nulvingur vardi seg betur enn klúkur;tað liggur í nulvingi2nulvingarnyðruskýggj
nummar	1(tal ið sýnir) pláss í røð(styttnr.),framhald í næsta nummari av blaðnum;vit búgva í nummar 10(húsanummar);gerast nummar trý í kapping;(um stødd á klæði, skóm o.tíl.)nummar 39 í skóm2(skemt.)fáa eitt nummarhava samlegu
nummarkall	upplýsingartænasta um telefonnummur
nummarpláta	(á akfari)jarnpláta við skrásetingarnummari(vanl. aftan og framman),nummarspjaldur
nummarrað	nummarrøð
nummarrøð	røð (3)el.raðfylgja við numrum ið koma hvørt eftir annað, nummarrað,í nummarrøð
nummarspjaldur	nummarpláta
nunna	(átr.)ógift kvinna ið býr í nunnukleystri
nunnukleystur	(átr.)kleystur fyri nunnur,(kvæð.)hon gav seg í nunnukleystur
nunnuregla	(átr.)átrúnaðarlig regla 1(5) fyri nunnur
nurra	(sj.)1skera uggarnar av fiski tá ið kruvt verður2(óvand.)mogga (1)
nurtu	sínerta
nurva	(Suð.)1balla saman(t.d. tógv, klæði),nurva tað saman2nulva (1)
nurvingur	(Suð.)nulvingur
nussur	(barn.)kálvur
nuta	(gl.)marva, gnadda, máa (av),endin á rekatrænum er illa nutaður(slitin av at knylla ímóti);kýrnar nutaðust(stangaðust í spølni, hornaðust)
nutu	sínjóta
nuvla	nulva(Sv)
nú	1á hesari stund, í hesi løtu, um hesa tíðina, í hesum døgum,bussurin fer nú;nú á døgum;nú er illa vorðið;kom nú avstað;nú (ið) teir koma fyri dyrnar, er stongt(tá ið)(nýtt sum sambinding);eitt nútil dømis, t.d.;nú fyrstaikki fyrr enn nú, nústani;nú, hvussu er vorðið?;nú, núnú er nóg mikið, halt nú uppat, tig2kortini, tó, í minsta lagi(herðingarveikt),eg haldi nú, at hann kundi sagt frá;tað kom nógv burturúr, men nú høvdu vit eisini gott fólk;tað er nú ikki verri enn ilt3nú so(sagt tá ið e-r gerst (eitt sindur) ovfarin av e-m ið annar hevur sagt)
núgaldandi	sum er í gildi nú,núgaldandi sáttmálin
núgv	(gl.)nú
núgva	1(bát.)tað ovasta og fremsta á stavni, núpur (2),(stb.)frammi á núgvuframmi í rong;longdin á bátinum millum stavnarnar ella millum núgvurnar, sum sagt verður2(stn.)(fjalla)toppur, (lítil) høvdi,Núgvan;Núgvunes
núleiki	tað at vera núligurel.tíðarbærur, tað at e-t er núligt[da.aktualitet]
núliðin	sbr.táliðin
núligur	løtubærur;sbr.núleiki
núlivandi	ið nú er á lívi
núpur	1(stn.)nípa2(bát.)núgva (1)
nústa	nústani
nústani	ikki fyrr enn nú, nú fyrsta 2, fyri løtu síðani, nýliga, stutt síðani,hann var nústani heim komin;hví kemur tú nústani?
nútíð	1tíðin nú, samtíð,í nútíðini;í nútíðar viðurskiftum2(málfr.)sagnorðsbending ið sigur frá e-m ið nú erel.fer fram nú(eis.um framtíðel.tað ið varir við)(presens),"hann svevur";"vit hittast í morgin";"hann er ljóshærdur"
nútíðar-	sms. t.d.-bókmentasøga,-fólk,-granskari,-hugsan,-hugsjón,-maður,-mál,-menniskja,-samfelag,-yrking
nútíðarbærur	sum hoyrir til ta nýggjastu tíðina, ið hoyrir nútíðini til, nútíðarhóskandi, nýtíðarbærur
nútíðareyga	h1í osb. sumsæð við nútíðareygumsamanborið við nútíðina, sum vanligt er nú;sædd við nútíðareygum vóru hetta eingi stór bóndahús
nútíðarhóskandi	tíðarhóskandi nú, nútíðarbærur,nútíðarhóskandi amboð
nútíðarligur	viðv. nútíðini, í samsvari við nútíðina, løtubærur,bókin hevur ein nútíðarligan og ein søguligan part
nútíðarmál	snið ið mál 1(2) hevur nú, mál(snið) nú í tíðini,føroyskt nútíðarmál
nútíðarsøga	1søga (3) um tað ið nýliga er hent2(stutt)søga við evni úr nútíðini
nútímans	sum hoyrir til tað nýggjasta á sínum øki, nýmótans,eitt nútímans frystihús;nútímans hentleikar
núva	(sj.)1(bát.)núgva (1)2drýlendi,tað er ikki núva í húsinum3seta á núvunadetta fram eftir rommum(í tuflum)
núverandi	sum er í løtuni, ið finst nú
n.v.	stytting fyrinevndarinnar vegna
nyðra	1fín ull innan undir broddi, rót (5),sker ikki í nyðruna, segði pápi mín javnan í várgongu2ullarlagdur, ullarnispa, nispa,hann fann nakrar nyðrur3tað ið eftir sat á tókombunum tá ið toghárið var drigið av(og sum spunnið varð á hjólrokki til veft),ull ið er eftir í kørðunum tá ið broddurin (til tog) er tikin úr4skýggj líkt nyðru (2),hann setur nyðrur á luftina;sbr.nyðruluft,nyðruskýggj5(skemt.)lítil maður,ein sovorðin nyðra;sbr.nyðruvongur
nyðrufípa	(plfr.,sj.)mýrifípa
nyðruluft	luft við smáum skýggjum líkum nyðrum (2)
nyðrunappa	nappa serstakliga væl(so bert tað alrafínasta er eftir),dúnnappa
nyðruskýggj	ljóst skýggj líkt nyðru (2)(altocumulus)
nyðrutógv	1(sj.)nyðra,luftin sær út sum nyðrutógv(nyðruluft)2fínt garn (1)(Sv)
nyðrutósull	1nyðra (1)(Sv)2fínt garn (1)(Sv)
nyðrutur	(um luftina)við skýggjum ið líkjast nyðrum (2), við nyðruskýggjum(ið knappliga kunnu koma á klára og bláa luft),nyðrut luft
nyðruull	nyðra (1)
nyðruvongur	visaligt fólk, meiðvongur
nykbrandur	fallandi loftsteinur sum gerst gløðandi í lofthavinum uttan um jørðina(og dregur ljósrípu eftir luftini);sbr.stjørnuskot
nykil1	hoyggj í des sum hevur havt so sterkan yl at tað er brent(Sv)
nykil2	lykil(Sv)
nykk	tað at nykkja (í e-t), rykk
nykking	e-t ið er nykt,allar nykkingarnar á róðrinum farnar,sínykkja (2)
nykkja	1toga knappliga, rykkja, gera rykk (í e-t),nykkja árykkja knappliga í snørið2klinka, njóða,nykkja seym3nykkja e-n við e-mbrigsla e-m e-t;nykkja niður á e-nspilla e-n út, tala ilt um e-n, hava at e-m;hann skal altíð sita og nykkja niður á hini og tolir ikki hálvdrigið orð sjálvur
nykkjutur	(um fisk)sum rykkir í snørið(meðan drigið verður),hasin toskurin hevur verið nykkjutur
nykkunagli	(bleytur) nagli til at klinkat.d.gjarðir við
nykkur	1nykk2kinkur (1), lykkur,nykkur á stáltráði
nykubrandur	nykbrandur
nykur	(fólktr.)skapningur líkur hesti ið segðist liva í áum og vøtnum(kann umskapa seg til onnur ferføtt dýr og til fólk),(tilt.)naskur sum nykur;(tilt.)sterkur sum nykurin(sera sterkur)(FA334;FFÆ197)
nykurt	(plfr.)slekt í nykurtarætt(Nymphaea),hvít nykurt(N. alba)
nykurtarætt	(plfr.)ætt av hulfræingum ið eru tvínælingar(Nymphaceae)
-nyrðingur	síland-,út-
nytra1	(fisk.)kvørn (3) í fiskahøvdi;sbr.nytur
nytra2	spæla við nytrur(spæl millum tvey har sum tað ráddi um at gita hvussu mangar nytrur hitt hevði í nevanum),tey brúktu kvørnir úr toskarhøvdum at nytra við(MJ Barnaspøl42)
nytruleggald	leggald við nytrum
nytruleika	(sj.,stb.)í osb. sume-t fer í nytruleikur(í smæsta knús),fløskan fór út av trappuni og í túnið, hon fór í nytruleikur
nytrupungur	pungur til at goyma nytrur í
nytta1	e-t ið er e-m til fyrimunarel.gagnar e-m, gagn, dugur,gera e-t til nyttuarbeiða;hann ger einki til nyttu(ger einki);drongurin ger góða nyttu(hjálpir væl til);fáa nyttu burtur úr e-m;til onga nyttutil fánýtis;sms. t.d.bú-,garð-,ó-
nytta2	gerael.vera til nyttu 1, duga, gagna, hjálpa(ofta nýtt noktandi),tað nyttar ikki at nokta;ikki nyttaði at hugsa um tað;ikki nyttar at tosa hann frá tí;tað nyttar ikki at halda á;filmurin nyttar einki(er vánaligur);drongurin nyttar einki til arbeiðis(eingin dugur í honum);eg nytti einki longur(orki einki)
nyttuleysur	ið einki nyttarel.munar, sum ongan munel.onga nyttu ger, sum einki batar,tað er nyttuleyst at tosa við hann
nyttuligur	ið nytta kann fáast úr, sum ger nyttu, ið kemur (e-m) til gagnsel.kann nýtast (til e-t), dygdargóður, gagnligur,nyttulig tiltøk
nyttuloysi	e-t ið onga nyttu er til, e-t ónyttigtel.ónyttuligt,oyðsla lívið burtur í nyttuloysi
nyttulutur	lutur ið er til nyttuel.gagns,móts.prýðislutur
nyttuverk	gagnsverk,gera nyttuverk;vissan um at hava greitt nyttuverk úr hondum
nyttuvøkstur	gagnplanta, nýtsluplanta,hvonnin var nyttuvøkstur her á landi
nytur	(uppr. flt. avnøt)nytrur,í osb.nytur í hendi(í ramsu í sambandi við spælið at nytra)
ný-	(um e-t ið nýliga er gjørt el. farið fram)sms. t.d.-bakaður,-brotin,-brýndur,-bræddur,-bygdur,-flettur,-floygdur,-folaður,-frættur,-funnin,-føddur,-giftur,-gjørdur,-klaktur,-kliptur,-kókaður,-málaður,-rakaður,-rikin,-royttur,-skapaður,-skaptur,-skorin,-smíðaður,-stovnaður,-tjøraður,-turkaður,-tvigin,-uppúrlagdur,-vaknaður,-vaskaður,-veiddur,-vorðin,-vorpin
nýár	nýggjár
nýborin	nýliga borin í heim, nýføddur,(skaldsk.)sum nýborið vár
nýbrot	nýtt frambrott.d.í bókmentum og list;nýbrotið í norðurlendskum bókmentumbókmentalig nýgerð í Norðurlondum um 1870
nýbygd	1staður har ið fólk nýliga hevur sett seg niður, niðursetubygd2staður í fremmandum landi har ið landnámsmenn hava sett seg niður,nýbygdirnar í Amerika
nýbygging	tað at byggja av nýggjumel.nýttt.d.hús
nýbygningur	(skip.)skip í gerð
nýbýli	nýbygd,reisa nýbýli
nýbýlismaður	maður ið hevur sett seg niður í óbygdum, niðursetumaður (1), búreisingur
nýdyrking	tað at bróta upp úr nýggjum
nýðingur	1sera stórur grindahvalur,36 hvalir doyðu, tann minsti var 18, tann størsti 28 skinn, tað vóru alt nýðingar2(stb.)stórur døglingur
nýfikin	spentur uppi íel.grammur eftir øllum nýggjum, púra býtturel.burtur í e-m nýggjum, nýfjeppin, fjeppin
nýfikinskapur	tað at vera nýfikin, nýfikni
nýfikkin	nýfikin
nýfikni	nýfikinskapur
nýfingin	nýliga finginel.veiddur,nýfingin fiskur
nýfjeppin	nýfikin, fjeppin,fólkið er so nýfjeppið eftir øllum nýmótans;kettan er nýfjeppin;nýfjeppin sum skarvur í nýggjari urð
nýfjøppin	nýfjeppin(Sv)
nýfrælsur	sum nýliga hevur fingið frælsi, nýliga vorðin frælsur,tær nýfrælsu smátjóðirnar
nýføddur	nýliga føddur,nýføtt barn
nýføðingur	nýføtt barn
nýføroyskur	nútíðarføroyskur,nýføroyskur skaldskapur tók seg upp við tjóðskaparrørsluni síðst í 1800-árunum(samanborin við kvæðini)
nýgerð	e-t nýtt ið erel.verður gjørt, e-t nýgjørt, nýskapan,tøkini eru tung, tá ið farast skal undir nýgerðir;málslig nýgerðnýggjyrði
nýggindi	e-t nýliga hentel.komið,eini nýggindi[da.novitet]
nýggja	s30í osb.nýggja uppafturgera (sum) nýggjan aftur, taka uppafturel.fram aftur av nýggjum, endurnýggja, uppnýggja;nýggja uppaftur gomul minni;tað av gomlum stólpum og øðrum, sum ikki kundi nýggjast uppaftur, er goymt og varðveitt;hví skulu fólk altíð ganga og nýggja tað uppaftur, sum er farið?
nýggjár	byrjan at nýggjum ári, áramót, ársskifti(eis.um ársins fyrstu dagar),á nýggjárinum;halda nýggjár;gott nýggjár;millum jóla og nýggjárs
nýggjársaftan	síðsti dagur í árinum, 31. desember;sbr.gamlaárskvøld
nýggjársbál	(stórt) bál brent nýggjársaftan
nýggjársbygd	(gl.)bygd ið hevði høvuðsdansikvøld nýggjárskvøld(ofta við nógvum gestum),nýggjársbygdir vóru t.d. Vík og í Lamba;sbr.jólabygd,kyndilsmessubygd,trettandabygd
nýggjársdagur	fyrsti dagur í árinum, 1. januar,annar nýggjársdagur2. januar
nýggjárseldur	(sj.)nýggjársbál
nýggjárshald	tað at (hátíðar)halda nýggjár,nýggjárshaldið byrjar á midnátt
nýggjárskvøld	kvøldið nýggjársdag
nýggjársleiti	nýggjárstíð,um nýggjársleitið
nýggjárslyfti	lyfti ið ein gevur (sær sjálvum) á nýggjárinum,nýggjárslyftið var, at hann skuldi leggja av at roykja
nýggjársmorgun	morgun nýggjársdag
nýggjársnátt	náttin fyri nýggjársdag
nýggjársrøða	røða sum kongur, drotning, forseti, forsætisráðharri, løgmaðuro.s.fr.heldur fyri allari tjóðini og sum verður send í sjónvarpi og útvarpi á nýggjárinum
nýggjárstíð	tíðin um nýggjárið, nýggjársleiti
nýggjárstrøll	arbeiði sum farið var undir fyri nýggjár men ikki fekst liðugt til høgtíðina(t.d. bundið plagg);sbr.jólatrøll,tjúgundatrøll,trettandatrøll(Varð. 12121)
nýggjur	1sum ikki hevur verið (til) áður, nýliga gjørdurel.komin (fram), ónýttur,móts.gamal,nýggj hús;nýtt skip;hann var í nýggjum frá uttast til innast(nýggjum klæðum);nýggj jørð(ikki forn);í nýggjum bø(nýliga innløgdum og veltum);av nýggjumeina ferð enn, um aftur;byrja av nýggjum;bróta, velta (sj.gera) upp úr nýggjum,síbróta upp2sum er øðrvísi enn tað ið var áður, nýkomin,nýggir siðir og skikkir3seinastur, síðstur(í røðini),nýggjastu tíðindini;nýggjasta fløgan4sum kemur eftirel.í staðin fyri annað av sama slagi,tað nýggja landsstýrið5feskur,nýggj epli;sms. t.d.bran-,spildur-
nýggjyrði	nýtt orð, nýgjørt orð(at seta í staðin fyri eitt útlendskt),gamalt orð við nýggjari merking,"snyril" og "stinni" eru dømi um nýggjyrði
nýgingið	l hí osb.har var nýgingiðhar hevði fólk nýliga gingið
nýgróður	nýggjur gróður, nývaksið gras,nú legst seyðurin á nýgróðurin
nýgýta	(fisk.)yngul hjá síli, (lítil) maðkadrumbur, nýgýtt
nýgýtt	(nýtt sum navnorð)(fisk.,stb.)nýgýta,hesi kallaðu vit bleikju, maðkadrumb, pirru og nýgýtt alt eftir støddini
nýhending	hending sum nýliga er farin fram
nýhent	sum nýliga er hentel.farið fram
nýhugsan	tað at hugsa av nýggjum um e-t(so at e-t nýtt (úrslit) spyrst burturúr),móts.vanahugsan,tað krevst nýhugsan í fiskivinnuni, so at aðrar vørur enn tær vanligu kunnu koma á marknaðin
nýkálvaður	1nýliga kálvaður,nýkálvaður kálvur2nýkálvað(um kúgv)sum nýliga hevur kálvað
nýkomin	1nýliga komin,ungarnir vóru nýkomnir úr reiðrinum;tey nýkomnu(fólkini)2(um rák)ið nýliga hevur tikið seg upp,so at rógva norður við nýkomnum vestfalli
nýkomingur	1ein ið er nýkomin2ein ið hevur arbeitt seg uppel.er komin sær (skjótt) fram(tó uttan at hava hóskandi atburð, mentan o.tíl.),nýlingur
nýlagdur	1(um unga)sum nýliga er lagdurel.føddur,nýlagdur hvølpur2(um kava)nýlagstur,nýlagdur kavi
nýlagstur	1sum nýliga hevur lagt seg (t.d.at sova),hann er nýlagstur2sum nýliga er komin niður, nýlagdur (2),nýlagstur kavi
nýland	hjáland,Frakland vann sær stór nýlond í Norðuramerika
nýlembt	ið nýliga er lembt,lambið var nýlembt;ein ær hevði mist nýlembt(nýlembt lamb)
nýlendi	lendi har ið kornel.epli hevur verið velt í árið fyri, korn-el.eplavelta frá árinum fyri(farið at verða grasvaksið),hann sló eitt nýlendi;nýlendini vóru altíð tað seinasta, ið sligið varð
nýlendishoyggj	(grovt) vánaligt hoyggj av nýlendi,tað fyrsta hoyggið, ið borið varð, var nýlendishoyggið, tað var tað grovasta hoyggið og skuldi tí niðast í støðið;til kjalingarhoyggj varð brúkt grovt nýlendishoyggj
nýlendisstykki	jarðarstykki í nýlendi
nýliðin	(um tíð)sum nýliga er liðinel.farin afturum,í nýlidnari tíð
nýliga	fyri stuttari tíð síðan, stutt síðan, fyri stuttum, fyri kortum,tey eru nýliga gift
nýlingur	nýkomingur (2)
nýmalin	nýliga malin,nýmalið kaffi
nýmálsligur	(skúl.)viðv. tungumálum sum nútíðarenskum, -týskum og -fronskum(móts. t.d. latíni og grikskum),nýmálsligt studentsprógv;nýmálsligur studentur,móts.gamalmálsligur
nýmáni	(stjfr.)nýtendraður máni;sbr.tendra (4)
nýmeta	meta av nýggjum
nýmeting	nýggj meting, meting av nýggjum, endurskoðað meting, endurmeting
nýmjólk	nýmjólkað mjólk, ósúrnað mjólk
nýmjólkað	(nýtt sum navnorð)(stb.)nýmjólk,kom og fá tær nýmjólkað;mær dámar ikki nýmjólkað;ein dryppur av nýmjólkaðum
nýmótans	nútímans,nýmótans útgerð
nýnorskur	1viðv. øðrum av teimum báðum almennu málunum í Noregi sum er vaksið fram av skriftmálinum ið Ivar Aasen gjørdi við grundarlagi í norskum málførum,nýnorsktnýnorskt mál;nýnorskar bókmentir;nýnorsk stavseting,sbr.bókmál (1),landsmál (2)2(málfr.)viðv. norskum máli í nýggjari tíð (eftir 1500),nýnorskt(mótvegis fornnorskum)
nýra	(lívfr.)(á fólki og dýrum)yrkisgagn (tvey í tali) aftantil í búkholuni sum úrskilur land 2(renes);sms. t.d.hvíta-,kola-,vitu-
nýrabørkur	(lívfr.)tann uttari vevnaðurin í nýrunum
nýraflutningur	(lækn.)tað at flyta nýra úr einum fólki í annað
nýragrús	(lækn.)fínt grús ið gerst í nýrum, ørsmáir nýrasteinar
nýrakoka	(lívfr.)traktvaksin kulla haðan ið landið setur úr nýrunum oman í landræsið(pelvis renis)
nýrakol	(jarðfr.)slag av føroyskum koli(skeljut og hart í benið)(vitrit);sbr.strípukol
nýrakollur	(lívfr.)hjánýra
nýralás	(gl.)slag av heingilási
nýrasneis	nýru og sperðil av seyði spritað upp á sneis (og kókað);sbr.sperðilssneis
nýrasperðil	sperðil fyltur við nýrum, lundumo.ø.umframt tálg
nýrasteinur	(lækn.)pínufull sjúka av steini í nýrunum og/ella landræsinum(elvd av úrskiljing av søltum úr landinum)
nýrastrongur	(lívfr.)landræsi
nýravaksin	(plfr.)við sniði sum nýra,nýravaksið blað
nýreising	nýggj reising (3), endurreising, endurnýggjan,við hesari yrking tekur við tann rætta nýreisingin
nýrmørur	(sj.)nýrumørur
nýrnabruni	(lækn.)bruni (5) í nýrum
nýroynd	tað at royna e-t nýtt, nýggj roynd,vit hava fingið ymsar nýroyndir uttanífrá
nýrómi	nýlagstur rómi(oman á mjólk),nýrómi út í kaffi;sbr.náttrómi
nýrumørur	tálgin um nýruni,nýrumørurin varð roknaður at vera besta tálg;tað var sum at skera í nýrumør(um smakkgóðan mat)
nýrygndur	ið nýliga hevur rygntel.gýtt,nýrygndur fiskur kom á várgrunnin
nýsilvur	silvurlitað málmbland av kopari, sinki og nikkli
nýskapan	tað at skapa e-t nýtt, e-t nýtt sum erel.verður skapað
nýskapanarhugaður	hugaður fyri nýskapan og broytingum
nýskipan	e-t ið erel.verður skipað av nýggjum, skipan av nýggjum,nýskipan av skúlanum
nýsligin	nýliga sligin,nýsligin hógvur;nýsligið gras;nýsligin myntur(nýgjørdur)
nýsloktur	l5í osb.sum nýsloktur kálvur,síkálvur
nýsoymdur	soymdur av nýggjum, umsoymdur,báturin er nýsoymdur
nýsta	(stb.)nústa(ni)
nýstani	(stb.)nústani
nýsur	sínjósa
nýta	1hava gagn av til ávíst endamál, hava til hjálpar tá ið e-t skal gerast, gera brúk av, hava nyttuel.fyrimun av(í e-m arbeiði),brúka,(orðt.)mangt er í neyðini nýttí neyð hjálpist ein við tað ið er fyri hond;nýtir tú mjólk út í drekka?;eg nýti ikki henda skógvin(fái ikki nýtt hann, sleppi ikki í hann, passi hann ikki);nýta ánýta høvið(Sv)2(stb.)nýtast,tú nýtir ikki at hyggja niður(tær nýtist ikki);gev mær nú posan aftur, nú nýtir tú hann ikki longur3nýtastvera (e-m) neyðugur, tørva, tarvast;e-m nýtist:tær nýtist ikki at óttast;ikki nýtist mær at siga meir;(skaldsk.)fiskurin bítur, nú nýtast raskar hendur;sms. t.d.gagn-
nýtaramót	(teld.)markamót ímillum nýtara og telduskipan[en.user interface]
nýtari	brúkari
nýtekning	tað at tekna nýggjan partapening
nýtendraður	(stjfr.)nýliga tendraður (4),nýtendraður máninýmáni
-nýti	síbú-,hús-
nýtikin	nýliga tikin,hann hevur nýtikið pottin niðurav(hevur júst tikið pottin av eldinum)
nýtiligur	ið (er so mikið góður at hann) kann nýtast, brúkiligur (1),teimum longdist eftir at fáa ein nýtiligan døgurða;ein nýtiligur bilur;hann hevði tikið tað sindrið av nýtiligum, í krambúðini var
nýting	gagnnýtsla
nýtíð	tíðin nú, tíðarbilið ið nú er, nýggjari tíð,nýtíðin;knappliga møttust miðøld og nýtíð
nýtíðar-	sms. t.d.-býur,-kendur
nýtíðarbærur	nútíðarbærur
nýtsla	tað at nýta, tað ið nýtt verðurel.nýtast kann, brúk,prísir fyri nýtslu av ljósi og hita;skúlin er tikin í nýtslu;danskar skúlabøkur eru enn í nýtslu í Føroyum;nýtslan (av rúsevnum) er nógv vaksin;hava til nýtsluhava eftir av pengum at nýta(tá ið tær føstu útreiðslurnar eru goldnar);sms. t.d.gagn-,ov(ur)-,rán-
nýtsluforrit	(teld.)forrit sum ein arbeiðir beinleiðis við,nýtsluforrit til bókhald
nýtslugjald	gjald fyri nýtslu(serst. av tænastu hjá hinum almenna)
nýtslugrót	grót ið nýtt verður (til e-t endamál)
nýtsluleiðbeining	skrivlig leiðbeining um hvussu e-t eigur at nýtastel.gerast, brúksreglur
nýtslulutur	lutur at nýta (til e-t endamál), brúkslutur,móts.prýðislutur
nýtsluplanta	planta ið kann nýtast til mat, klæðiel.annað gagnligt endamál;sbr.skreytplanta
nýtslurættur	rættur til (heiltel.lutvíst) at nýta e-t ið ein ikki eigur sjálvur, brúksrættur
nýtsluskattur	(búsk.)skattur lagdur á nýtsluvørur
nýtslustig	stig fyri hvussu e-t verður gagnnýttel.nýtt til fulnarel.á besta hátt,effektiviseringar kunnu gerast við t.d. at hækka nýtslustigið við færri tómum setrum
nýtslutíð	(gl.)tíð um várið og summarið tá ið ross vórðu nýtt til velting og torvarbeiði,í nýtslutíðini høvdu teir rætt at sleppa rossunum niðan um garðarnar(tá ið teir reiddu tøð)
nýtsluvirði	tað hvussu stórt gagnel.nytta fæstt.d.burtur úr e-m luti,hestavognurin hevur einki nýtsluvirði í dag
nýtsluvøra	vøra til nýtslu hjá fólki, brúksvøra,mjólk er neyðug nýtsluvøra
nýtsluøki	1(málfr.)samfelagsøki har iðt.d.ávís orð(snið) verða nýtt,har eru mong vanlig talumálsorð, tøkuorð og fremmandaorð, umframt hópin av yrkorðum við tilvísing til nýtsluøki2øki(2) har ið e-t ávíst er galdandiel.eyðkent av e-m serligum,hesi eitur hava ikki sama nýtsluøki, tí annað er ein ídnaðarúrdráttur og hitt er eitt slag av skordýraeitri
nýtt	sínýggjur
nýtulka	tulka av nýggjum
nýtur1	1sum (væl) kann nýtast, (væl) nýtiligur,nýt vápn2góður, rámandi, beinrakin,hann takkaði kongi við nýtum og blíðum orðum3(kvæð.)raskur, reystur, menskur, dugnaligur,tann hin nýti drongur;sms. t.d.fá-,ó-
nýtur2	sínjóta
nýturrur	nýliga tornaður,nýturt kjøt
nýur	(kvæð.)nýggjur
nýval	val í úrtíð(áðrenn valskeiðið er útrunnið)
nývaldur	valdur á fyrsta sinni, júst valdur,móts.afturvaldur,nývaldir tingmenn;hann er nývaldur í nevndina
nývelting	tað at velta ódyrkað lendiel.bróta upp úr nýggjum
