R	rómv. taltekn fyri 80
rundvaksin	við rundumel.bøllutum skapi,kroppurin á kópi er rundvaksin;steinurin er rundvaksin og sleipin
rundvelting	rundveltingarrumbul,rundveltingar, ið har vóru;sbr.rundveltur,ruðvelt
rundveltur	vendur upp og niður, hurl um burl,har var alt rundvelt og í einum ruðuleika;sbr.ruðvelt
runga1	(Suð.)rungur,hann hevði rungu á nøsini
runga2	1ljóða hart og hvølt, duna, glymja,hann kvað, so at tað rungaði eftirí2(stb.)fýlast á, finnast at, knarra um,hatta rungar altíð um okkurt
rungur	bunga, runga 1,rungur á nøsini
rungutur	við rungi (á nøsini)
-runi	sísam-,upp-,út-
runi1	(kvæð.)gøltur
runi2	(jarðfr.)grótbræðing(rennandi og storknað),lava 1
runing	(Suð.)run,tað er runing í sjónum
runkur	(sj.)hólpur, knortil, runnur (3)(serst. á samanrunnum beinbroti)
runnabláber	(plfr.)slag av bláberi (1)(Vaccinium corymbosum)
runnabládepla	(plfr.)slag av bládeplu(Veronica fruticans)
runnagirðing	girðing (1) av livandi runnum
runnaskógur	(bíbl.)skógur av runnum
runnastik	runnagirðing
runnatyssi	nakrir runnar ið vaksa tætt saman,til heimbýli vil ljónið hava sítt sev ella nøkur runnatyssir at fjala seg í
runnin	sírenna 2
runnu	sírenna 2
runnur	1(plfr.)trækendur vøkstur ið greinar seg niðri við jørðina,berjarunnur;tornarunnur;(tilt.)hatta átti at ligið undir rís og runni(um eitt forherðað)2(kvæð.,sj.)træ, bulur(1),sjaldan hevur góður kvistur sprottið av illum runni;(skaldsk.)eg veit ein kvist, sum blómar enn, er sprottin av góðum runni3(lækn.)vølur (1),tá ið beinstubbarnir eru um at renna saman, kennist runnur um brotið;børn høvdu runnar við skøvningarnar(av eingilsku sjúku)4(sj.)kvistur (2)5(sj.)rungur(á nøs);sms. t.d.berja-,giktar-,torna-
runs	(Suð.)rok, stríð,tá ið hetta runsið er av
Runsival	(stn.,kvæð.)dalur í Pýreneafjøllum(har ið tólvjavningar Karlamagnusar fullu í bardaga við heidningar),skulu so allir tólvjavningar ríða í Runsival;(tilt.)sum í Runsival(um hurlivasa, bardagao.tíl.)
runt	í kring, rundan,teir róðu runt um oynna
runubankur	(stb.)skitin fóturel.skógvur,koma inn í runubankum!
runublak	1blak 1 av runu(ið óvitar blakast við í leiki)2(flutt m.)skitin orð, útspilling,teir tveitast við runubløkum
runubloti	bloti av runu,túnið er ein runubloti
runudassi	(stb.)óviti sum hevur dálkað seg í runu (um afturpartin),gongur sum ein runudassi(skitin og tvitin)
runudálkaður	dálkaður í runu
runudíki	díki av runu
runudyndi	(Suð.)runudíki
runukaka	(spæl)runa dánað sum kaka,at gera runukakur vóru genturnar kringari til enn dreingirnir;baka runukakurgera kakur av runu og leggja tær at baka í sólini
runumubbur	(stb.)tøðhólkur
runusíl	síl ið dámar at róta í móru á botni
runutur	skitin av runu, runudálkaður,runutar gøtur;runutur karmur
runutún	(í tátti)runut tún
runuvatn	vatn skitið av runu
runuveit	veit við runu
rupa	(dj.)kongalús(Sv)
rupl	rupul,rupl í sjónum
rupla1	(Suð.)rukka, foyra,hann hevði bundið hosubandið so fast, at ruplurnar stóðu eftir
rupla2	grópa, róta, skrumla,tú ruplar alt um;rupla millum eplini við eini rívu, tá ið sólin sær, so doyr nakað av arvanum;rupla í eplunum til at fáa nálirnar av;rupla í eplunum, tá ið tú vaskar tey;tá ið okkurt epli lá omaná, bað mamma okkum rupla í pottinum
ruplaligur	ruplutur,tað verður nakað ruplaligt um fjørðin
ruplutur	(um sjógv)óslættur, drabbutur,ruplutur sjógvur;ruplut í sjónum;ruplut er útiá, enn verri undir landinum
rupul	óslætti, drabb,rupul í sjónum
rura	1(royna at) fáa at sovna við at njóra (el.vagga), bipa (2), bispa,rura e-n í svøvnel.blund;rura fyri e-m;hond, ið rurar, hond, ið ræður(móðirin)2rugga,títt leika stokkarnir, meðan hon rurar aftur og fram
ruran	tað at rura (1),gongdin av vøgguni og ruranin kom upp ímillum tosið
rus	(sj.)1óstortsligt arbeiði, rokan2órudd
rusa	(stb.)tvætla, møsna, práta,rusastbalast, rokast, hava gang;børnini rusaðust ofta inni hjá abbanum;um dagin rusaðust vit í fjøruni
rusk	1burturkast(t.d.frá húsarhaldum),órudd,bøurin lá mest sum undir í malargróti, kongafiskum, steinbítum og alskyns ruski;virki mugu gjalda fyri at lata rusk til brennistøðina;í øllum ruskinum har sum bakarnir eiga;(flutt m.)hann letst, sum øll eru rusk(lítið verd)2øgn av e-m lítilsverdum, busk, bos,fáa rusk í eygað;taka rusk úr eyga3illveður(serst. við vindi og regni)sirmið gjørdist til grovt rusk;hann gjørdi eitt lítið rusk;(skaldsk.)tá var vetur og vátakavi og rusk;sms. t.d.fiska-,hoy-,sólju-
ruska	1rykkja, ríva,ruska upp;ruska í e-n;ruska hold upp á segvera skjótur at fitna;ruska mat í segeta nógv og skjótt og hvat sum helst uttan at vera vandin;ruska avstaðfara skundisliga og uttan fyrilit(Sv);sbr.hárruska2gerast illveður, øtla,so ruskaði veðrið;út á dagin ruskaði hann lágt
ruskbilur	serliga útgjørdur bilur ið (regluliga) koyrir húsarhaldsrusk á brennistøð, skrellibilur, bukkubilur
ruskbingja	bingja til rusk (1)
ruskdagur	dagur við ruskveðri
ruskdungi	dungi við ruski (1)
ruskílat	ílat til rusk (1), ruskkassi
ruskkassi	ruskílat
ruskkoyring	(skipað) burturkoyring av ruski (1)
ruskmaður	skrellimaður
ruskovnur	brennistøð til rusk (1)
ruskposi	(plast)posi til (húshalds)rusk
ruskspann	ílat til burturkast, skrellispann
ruskstøð	brennistøð til rusk (1)
ruskubaldur	forsut og busut fólk, ótrivavætti(Sv)
ruskusligur	(gl.)1ófantaligur, skitligur2ódligur, líkasælur3ruskutur (1),ruskusligt í veðrinum;hj-liga,ruskusliga gjørdurófantaliga gjørdur
ruskutur	1ófantaligur, ilsligur, skrubbutur (2),veðrið var ruskut;teir høvdu ruskut um dagin, so nógv kom inn(í bátin)2ilskur, gruggutur, illfrýntur,risin er ógvuliga ruskutur3skitin,(skaldsk.)grátt og rátt og runuvátt rennur ruskut túnið;sms. t.d.hálv-,ill-
ruskveður	ruskut veður, illveður
rusl	1rusk (1), órudd2vánalig skrift, klór;sms.ó-
rusla	rísla
-rusla	síó-
rusp	óvandaliga gjørt arbeiði, skrumbl (2)
ruspa	1gera skjótt og óvandaliga,ruspa e-t frá hondini;hann ruspaði snørið inn(dró skundisliga);ruspa e-t saman2ríva, skava, rispa,ruspa eitt sindur í hoyggið3rísla, skriva óvandaliga,ruspað í skundi
russari	fólk íel.úr Russlandi
russasligur	(stb.)ófantaligur,í russasligum klæðum
russiskur	íel.úr Russlandi,russisktrussiskt mál
Russland	land í Evropa
russmaður	(gl.)russi
russur1	russi
russur2	ótrivavætti (2)
russutur	ófantaligur, óryggiligur,russut klæddur
russvølur	(sj.,stb.)lívvølur
rust	1ryggur á fjalli(skapaður sum kjølur),fjallarust,móti norðuri reisir Reynsatindur rustina sum ein hárygg upp úr sær;(kvæð.)vindur kom av rustum niður;áir og gjáir, rustir og bustir eru mark2(ovara og niðara) røð á hamarstjøli, kantur á bøksli,rust av bøkslum til homlubond;sbr.rustarspik3(stb.)fella rustseta á seinasta sjøtulin (á des);tá ið eg havi felt rust á mariumessu, sleppi eg undan hoyneyð
-rust	síheim-
rusta	tærast av rusti, rustetast,knívurin er rustaður;sbr.gravrustaður
rustagingin	(stb.)(illa) rustaður
rustalopin	(stb.)rustagingin,knívurin er rustalopin
rustari	(stb.)heimrust
rustarspik	spik av rust (2), sigg
rustblettur	blettur av rusti
rustdyggur	rustfríur
rustetast	rusta,(skaldsk.)lat ei rustetast brand
rustfríur	ið rustar ikki,rustfrítt stál
rustikustur	e-t illa rustað(t.d.byrsa, skipo.tíl.)
rustlittur	littur sum rustur
rustloysari	evni at loysa rust við
rustreyður	reyður sum rusturel.av rusti
rustrok	rok av rusti,rustrok úr klússinum
rustur	reyðbrúnt jaður á jarniel.stáli av sambandi við súrevni í ráari luft,reyður í rusti;sms.skelja-
rustverja	verja fyri rusti
rustviðgera	rustviðgera ímóti rusti
rustviðgerð	viðgerð ímóti rusti
rusutur	ófriðarligur, hámikil, ovurhýrdur,hon er so rusut, at eg vænti, hon verður skjótt rættiliga ør
rut	1leivdir av máltíð,serst.fiski2smáfiskur sum stendur ikki mál, óvanda fiskur,toskurin verður flaktur og tann stóra longan, men rutið fer sum ísfiskur
ruta1	farleið
ruta2	(sj.)stórt, óskotligt konufólk
ruta3	(sj.,stb.)smádeila, fýlast,altíð situr hann og rutar um okkurt
rutast	fáast við grovt arbeiði, rokast, baksast,hon rutast í øllum;tað ber ikki til, at eitt fólk fer við máli sínum sum við einum gomlum koti, tú rutast í gerandisdagar heima við hús
rutla	1(stb.)rupla,rutla í pottinum2rutlast viðfara so smátt at vakna, rumsast við, kvaklast
rutt	síryðja,riða
rutu	sírjóta,róta
rutubilur	stórur ferðabilur ið koyrir í rutu
rutubussur	bussur ið koyrir í rutu
-ruv	sískinn-
rúðrasker	(Suð.)gjarvaksið sker
rúðraskotin	(Suð.)við ósløttum holdi(eftir sárum ella døkkormum),poknutur, rúðrutur
rúðrasteinur	(Suð.)gjarvaksin steinur
rúðravaksin	(Suð.)gjarvaksin
rúðregg	(Suð.)(gásar)egg við rúðrutum, ósløttum skali
rúðrutur	1óslættur, ruflutur,rúðrut húð2(stb.)gjarvaksin,á eini rúðrutari støð
rúður1	(dj.)gjar,bora rúðurskava gjar;hatta situr sum eitt, ið borar rúður(um eitt ið dugir illa at binda)
rúður2	(gl.)knipplingar, spelverk
rúðurbori	(sjónavn)tjaldur
rúðurkragi	pípukragi(á prestakjóla)
rúðurpadda	(dj.)froskpadda
rúgva1	1stór nøgd av lutum ið liggja óskipaðirel.kastaðir hvør oman á annan, dungi, dyngja2nøgd, hópur, flokkur,teir fingu eina rúgvu(heilan hóp);nógvel.lítið í rúgvu(nógvel.lítið í nøgd)3(stb.)torvkrógv;sms. t.d.aksa-,fiska-,fólka-,grót-,hoy-,hyrni-,høvda-,strúgva-,tara-,torv-,ullar-
rúgva2	1leggja í rúgvu, savna saman, hópa,(bíbl.)alt ilt skal eg rúgva yvir teir;rúgva segel.rúgvast (saman)savnast í flokkel.hóp, hópast;teir rúgvaðu seg saman har frammi(í lugarinum);rúgvast uppkoma saman í rúgvu;rúgvaður:yrkingin er rúgvað við dirvi, reystleika og styrki(fylt)2taka rúmdel.pláss, skroyva,rúgva upp;var kornið vátt, rúgvaði tað meira upp
rúgvismikil	sírúgvusmikil
rúgvufóður	fóður ið rúgvar upp, vambarfylla,annað rúgvufóður eiga vit ikki enn hoyggj
rúgvuligur	ið rúgvar nógv, stórligur,ílatin ein ógvuliga rúgvuligan bjálva
rúgvulítil	ið rúgvar lítið, lítil í rúgvu
rúgvumikil	ið rúgvar nógv, stórur í rúgvu
rúgvusmikil	rúgvumikil
rúgvutal	h5:í rúgvutalií hópatali;teir duga rímur og søgur í rúgvutali
rúgvuvís	í osb.í rúgvuvísí stórum tali, í hópatali
rúilsi	(gl.)angur, iðran,rúilsi kom á hann
rúka	1geva royk frá sær;sbr.fumma 2;fuva;vesast;eldurin lá og reyk fram undir loga;tað rýkur úr skorsteini;tað var farið at rúka uppi í bygdini(fólk vaknað);frá skírhósdegi klokkan trý eftir middag og út um langafríggjadag skuldi ikki rúka;har tað reyk, skuldu tey hava loyvi at hava eina gás(í hvørjum húsi har ið fólk búði);rúka avsíavrokin2guva, dampa (2),tað rýkur upp úr pottinum;tað rýkur úr sandinum3lukta (2), anga,tað rýkur væl/illa;rósurnar rúka so væl;tað reyk ikki væl slíkar várdagar, tá allir køstar vóru ásettir;hann reyk av sóti;andin reyk av brennivíni;hann reyk sum ein tunna(illa)4lukta (1), tevja, snodda,rúka at (e-m);hon rýkur at mosanum;teir bæði ruku at mópotinum og smakkaðu á tað5fúka, gera rok (1),tað bæði rýkur og fýkur(er harðveður);tað reyk illa inn í bátin(av sjóroki);(kvæð.)tekur at rúka sandur og sjógvur;fossarnir rúka uppum(fúka upp, standa í andarisi);tað rýkur fyri brúdleypiel.brúðarpari(tá ið óveður er framman undan brúdleypi - gott merki),tað rýkur illa fyriel.undan teimum6fara (við ferð), skunda sær, flúgva (4),hann reyk av durunum;bóndin rýkur niðan á Rygg;árin reyk av(støktist av);høvdið rýkur av knóranum;(skaldsk.)bylgjurnar tær rúka avstað sum skjótasta hind;rúka á (e-n)leypa á, leggja á;rúka saman(at berjastel.deilast);(kvæð.)báðir ruku saman tá;prísirnir vóru roknir upp ígjøgnum(nógv hækkaðir)7rúkandi:rúkandi illveður;rúkandi stormur(kolandi);rúkandi ótol(øgiligt);rúkandi óðurí øðini;rúkandi ósamdir(fullkomiliga);kumpasin var so rúkandi skeiv(blóðskeiv)
rúllutur	(stb.)sum er í ringum lag, ið gevur ilt av sær,hann er so rúllutur
rúm	1pláss, øki, rúmd (1),ikki var rúm fyri teimum2kamar, herbergi, skemma3(bát.)tað ið er millum bekkir í bátiserst.eysrúm,tofturúm, bógrúm, siglurúm;hann tveitir longuna aftur í rúmið(eysrúmið);sms. t.d.anda-,ára-,korn-,manningar-,ó-,ranga-,rása-,rætta-,skila-,sperru-,svølg-,svøvn-,trong-
rúma1	hava rúm fyri,húsið rúmar teimum ikki;tað, sum rúmar øllum teimum kenslum, sum føroyingar bóru í hjarta;himlarnir rúma tær ikki;teir veiddu so nógv, at fiskaplássini í Havn rúmdu ikki rúgvunum;rúmastkunna fáa rúm, vera pláss fyri, ganga í;í skríninum rúmaðist allur posturin;har lá so tætt av eggjum, sum rúmdist;alt fólkið rúmtist ikki inni
rúma2	(bát.)gera rúm í báti,hann rúmaði bátin, so at bakskuturin kom at vera minni;rúma trongtgera rúmini trong(stutt aftur og fram);rúma sundurseta bekkir í
rúman	rúmt,sigla rúman
Rúmaríki	(kvæð.)Rómaríki
rúmasigling	(bát.)tað at sigla rúmt;sbr.rúmur (4)
rúmár	(bát.)ár 1 ið róð verður við á eysrúmsbekki,árarnar vórðu lagdar eftir bekkjunum, toftuárin uttast, síðan bógvárin, og innast rúmárin
rúmbekkur	(bát.)eysrúmsbekkur
rúmbúgvi	ein ið býr í búrúmiserst.á studentagarði
rúmd	1tað at rúma 1, rúm, pláss,húsini vóru smá, so har var eingin rúmd til avlops;her er bæði rúmd og líkindi fyri nógv meiri fólki;(Gj.)hann er so glaður, tí hann er sloppin á rúmd(um smádrong ið er sloppin út at ganga við pápa sínum)2tað ið rúmast í e-m, rúmtak3(stjfr.)hinar endaleysu víddir har ið stjørnurnar ferðast um, himmalrúmd,úti í rúmdini;(skaldsk.)rúmdar kalda tøgn;rúmdin endaleysa andar so kalt;sms. t.d.ára-,blað-,himmal-,himna-,húsa-
rúmdarbúni	verjubúni hjá rúmdarmanni
rúmdarfar	far til rúmdarferðir
rúmdarfari	rúmdarmaður
rúmdarferð	ferð í rúmdini (3)
rúmdarferja	far til ferðir út á rúmdarstøðir
rúmdarhylki	partur av rúmdarfari ið hýsir manningini
rúmdarmaður	maður ið ferðast í rúmdini, rúmdarfari[da.astronaut]
rúmdarskip	rúmdarfar
rúmdarstøð	støð ið sveimar (um jørðina) úti í rúmdini
rúmdarøld	tíðarskeið við rúmdarrannsóknum og -ferðum
rúmdur	(bát.)háttaður viðv. rúmum (3),báturin er ikki væl rúmdur(ov stutt millum bekkirnar);bátur minni enn tristur kann ikki hava meiri enn tríggjar bekkir, tí annars verður hann ov stutt rúmdur;báturin tann er øðrvísi rúmdur(rúmini eru øðrvísi)
rúmgóður	rúmur, rúmligur,ein rúmgóð, vøkur og bjørt kirkja
rúmhyrntur	(um seyð)gleivhyrntur
rúmi	k1e(stb.)í osb.á rúmanumá víðilsi, á víðum vølli,tann minni maðurin kundi standa seg móti tí sterka manninum, tá ið teir bardust á rúmanum
rúmka	gera rúmariel.rúmligari, víðka,ein rúmkar flippuna;so hvørt hann át, rúmkaði hann reimina eini tvey hol;hann roynir altíð at rúmka viðurskiftini hjá teimum fátæku;(skaldsk.)hann ræsurnar rúmkaði tær;vindurin rúmkar(verður rúmari, minni neyvur);vindurin var rúmkaður so mikið, at tað var mest sum undangonga;rúmka umrúmka nakað;so hvørt sum Ísland og Grønland vóru bygd, rúmkaði um;vit løgdu upp (fisk) at rúmka um skipið;hønan rúmkast(gerst rúm fram undir verping);hønan er rúmkað(frammi undir at verpa)
rúmkan	tað at rúmka, víðkan,rúmkan fyri andanum
rúmlendi	opið lendi, víðlendi,teir komu út á rúmlendi og á fagran vøll
rúmliga	stívliga, gott og væl,báturin var rúmliga hálvsettur;rúmliga hundrað metrar
rúmligur	1ið rúmar nógvum, við nógvum rúmi, rúmur, rúmsáttur, rúmgóður,hann hevur rúmligan kjallara;skúlin er ein hin prúðasti og rúmligasti í Føroyum2ríviligur, ivaleysur,...um vetrarfóðrið var knípið ella rúmligt3væl fyri fíggjarliga, múgvin,eg fari ikki so rúmlig av bygdini4(flutt m.)sum góðtekur ymiskleikael.frávik,borgarstjórakandidatur teirra umboðar ikki tey, sum vilja ein rúmligan og tíðarhóskandi høvuðsstað
rúmloysi	plásstrot,vegna rúmloysi
rúmmaður	(bát.)maður sum hevur sess á rúmbekki,nógvur sjógvur kom inn, so rúmmenninir ofta máttu leggja inn at oysa;(skaldsk.)brátt hann sendir annað froysið - oysið, rúmmenn, oysið!
rúmmál	(støddfr.)1tað rúm ið e-t fyllir(vanl. mált í litrum, rúmmetrumo.tíl.)2rúmtak
rúmmetur	(støddfr.)(hugsaður) terningur ein metur hvønn vegin[da.kubikmeter]
rúmmikil	rúmligur, rúmsáttur,skúlin er bæði rúmmikil og sterkur
rúmminka	(jarðfr.)minka til rúminnihald
rúmrót	(støddfr.)tal ið deilir ávíst tal tvær ferðir, triðjarót,3 er rúmrótin av 27;sbr.rót (8)
rúmsátta	(sj.)víðka,nú er trøðin rúmsáttað, so bøurin gongur einar 800-1000 m longri niðan
rúmsáttur	rúmligur, rúmmikil,har er rúmsátt inni;landið er nóg rúmsátt til teirra;koyggjan var bæði stór og rúmsátt;(flutt m.)hon mundi ikki hava tað so rúmsáttgóð ráð
rúmskinnaður	við rúmligum leysum skinni,hetta verður góð mjólkkúgv, hon er so rúmskinnað;summi seyðasløg eru merkiliga rúmskinnað;konan er tjúkk og rúmskinnað(kvapsut, glosut)
rúmskygdur	víðskygdur
rúmsmaður	(bát.,Suð.)rúmmaður,rúmsmenn draga á tolli
rúmsnar	(gl.)(rúmligt) snar á endanum á fjalltog til at draga seyð úr óføri við
rúmtak	tað ið rúmast í e-m, tað iðt.d.ílat tekur (16), rúmd (2)
rúmtal	(støddfr.)tal í triðja (veldi),rúmtalið til 3 er 27
rúmtilja	(bát.,stb.)fiskifjøl, fiskitilja
rúmtollur	(bát.)tollur ið hoyrir til rúmbekk
rúmtøkur	(um t.d. mynd)ið tekur upp rúm, í trimum royvildum,høggmyndir eru rúmtøkar
rúmur	1við góðum rúmi, víður, rúmgóður, rúmligur,eitt gott og rúmt land;(kvæð.)hann sær eftir rúmum havi stórar knørrir skríða;húðin skal vera rúm og gyrðin(á góðari mjólkkúgv),rúmt snarrúmsnar;rúmt snar verður gjørt á endan (á línuni);sigla fjørðin rúman(so at sæst inn í opnan fjørðin),í rúmari merking(víðari)2(um tíð)stívur, ivaleysur,í rúmari tíð(góðari);rúmt hálvt ár(gott og væl);(gl.)rúmt hálvga nónkl. 2 seinnapart3við góðum ráðum, í góðum korum,hann var ikki rúmur við pengum;hon situr ikki eftir í rúmum sessi við gomlu mammu síni og sjey faðirleysum børnum;vit høvdu tað ikki so rúmt tá á døgum(ikki nógv at taka av)4rúm sigling(frá tvørum vindi til beina undangongu);sigla rúmtel.rúman,móts.sigla neyvt,siglið so rúmt, at vit taka sjógvin til lærið5(um hønu)rúmframmi undir at verpa, eggrúm,móts.krympa (1)6lættur fyri andanum,hann hevur verið trongur, men nú er hann rúmariel.tað er rúmari nú hjá honum
rúmøkjast	vaksa í rúmd,sjógvurin rúmøkist
rún	1skrifttekn nýttt.d.í Norðurlondum í fornari tíð(rist í grótel.við),rista rúnir,sírista 22(gl.,kvæð.)rúnirgandur;ramar risti hann rúnirnar niður í Haka bát;kasta rúnir á e-n(ganda)
rúna	ganda,hann rann og rann, men ikki leið um fliðuna, hann var sum rúnaður fastur
rúnabelti	(kvæð.)belti við gandamátti,tak tú hetta rúnabelti, bint um tínar lendar
rúnabinda	binda við rúnum, ganda,hon rúnabant bøin, so at eingin steinur kemur niður á hann;rúnabundingandaður, gandbundin
rúnabjálvi	(kvæð.)bjálvi við gandamátti,Hermundur tekur tann rúnabjálva, sipar um sínar lendar
rúnabók	gandabók
rúnafrøði	(málfr.)frøðigrein um rúnir(runologia)
rúnafrøðingur	(málfr.)ein ið er lærdur í rúnafrøði
rúnagandur	(stb.)(sterkur) gandur,tann rami rúnagandur
rúnakelvi	kelvi (1) við rúnum ristum á
rúnakønur	kønur í rúnum
rúnalist	(kvæð.)gandakynstur,hon kann allar rúnalistir
rúnamaður	(kvæð.)maður kønur í rúnumel.gandi,talið varliga við teir rúnamenn
rúnamál	(kvæð.)fyndigt mál,hvørt eitt orð, hon talaði, tað fell sum rúnamál
rúnar-	rúna-
rúnarað	(málfr.)rað av rúnum;sbr.stavrað,eldra rúnaraðið;yngra rúnaraðið
rúnarista	áskrift rist við rúnum
rúnaristur	ristur við rúnum,alt stóð sum rúnarist í tonkunum
rúnarlogi	(kvæð.)gull(uppr. rínarlogi)
rúnarmálmur	(kvæð.)gull,skín so hennara gula hár, sum glógvar av rúnarmálmi(uppr. rínarmálmur)
rúnarætt	(sj.)rúnabundin rætt(RJ Greivab.72)
rúnarøð	rúnarað
rúnastavur	(kvæð.)rúnakelvi
rúnasteinur	steinur við rúnaristu
rúnaverk	(kvæð.)gandur,fóru so fram við rúnaverki, hvør sum mest kann gykla
rús	(sj.)rok, ófriður,nú vaknar biðilin av øllum hesum rúsi, ið roykstovuni er;(stb.,tilt.)har var hús for rús(óruddiligt og skitið inni);kneppael.knappa upp á rúskneppa skeivt(t.d.troyggju opna framman)
rúsa1	(sjóm.)slag av fellu til at veiða fisk, krabbadýro.a.í
rúsa2	valda rús,rúsa segfáa sær ein rús (av rúsdrekkael.rúseitri);rúsandidoyvandi;rúsandi drykkurrúsløgur;rúsaðurávirkaður av rúsevniel.rúsdrekka, við kenning
rúsa3	fara við ferð, renna við skund,rúsa fram;hann rúsaði fram við slíkari øði, at ...;hatta fer rúsandi sum høna til korns;í næsta bragdi rúsar hann á føtur
rúsast	(Suð.)rumsast,hann rúsast ikki við(vaknar ikki)
rúsdrekka	løgur við alkoholi, rúsløgur, drekkaløgur
rúsdrekkakort	(søg.)skamtanarkort til rúsdrekka
rúsdrekkakoyring	tað at koyra motorakfar ávirkaður av rúsdrekka
rúsdrekkaloyvi	skeinkiloyvi
rúsdrekkalóg	(løgfr.)lóg um rúsdrekkasølu
rúseitur	(lækn.)evni við rúsandi (doyvandi, dusandi) virknaði, drøgg 2(narkotikum)
rúsevni	(lækn.)rúsandi evni, rúseitur
rúsfríur	fríur fyri rúsevni,rúsfrítt umhvørvi
rúsløgur	rúsandi løgur, rúsdrekka, drekkaløgur
rúsur	tilstandur av ørskuel.sælu voldur av rúsevni (rúsdrekka, rúseitrio.tíl.)
rút	í osb.bólta rút(leikur)kúla seg saman og kasta seg framyvir niður á bakið(við høvdi og hondum fyri)
rútaglas	vindeygaglas
rútardrongur	(kortsp.)drongur (6) í rútara
rútaress	(kortsp.)ess í rútara
rútarfrúgv	(kortsp.)frúgv (4) í rútara
rútari	(kortsp.)litur í kortspæli eyðkendur við reyðum rútamyndaðum ferhyrningum
rútarkongur	(kortsp.)kongur 1(3) í rútara
rútaspræna	(á akfari)útbúnaður til at skola framrút við
rútaturkari	(á (ak)fari)viskari
rútavaskari	(á bili)útbúnaður at sproyta vatn upp á rútin, pissari (2)
rútur	1glas í vindeyga,hann lá og taldi rútarnar til tess at vera sanndroymin2ferhyrningur, puntur,rútarnirbindingarmynstur(HMD Bindm.31)3(á oyðublað)opið pláss at fylla út4(stb.,kortsp.)rútari,fimm í rúti;sms. t.d.aftur-,bak-,fram-,glas-,kolu-
rútutur	puntutur,rútut teppi
-ryðja	síút-
ryðja	1rudda,ryðja jørð (el.jarðir)rudda jørð fyri grót, henta bø;teir skuldu ryðja steinin burt(íbygdan stein),ryðja sær rásel.ræsurbróta sær slóð;(bíbl.)eins og vatn ryður sær rás;(kvæð.)hann ruddi fyri sær gongdel.geingi(ígjøgnum herin)2(kvæð.)fella, høgga niður(í bardaga),ruddu teir á Angulunds kropp fjøruti manna búkar3mala, skryðja (1),ryðja malt(Sv)4falla, leypa, rulla, skryðja (2), rigna (2),grót ruddi oman úr brekkuni;(kvæð.)oman ruddu dalirel.dalar og fjøll;(bíbl.)fjøllini ryðja í havdýpið oman;tenninar ruddu burtur úr teimum;støðið undir bóndasamfelagnum fór at ryðja undan;støvið ryður niður yvir hann;hann hevur rutt í svørðinel.nú er rutt í svørðintað er følvað so mikið at tað sæst á jørðini, smurt í svørðin;ryðja e-t niðurbinda leyst og skundisliga,ert tú longu liðug at binda? Ja, eg havi bara rutt tað niður5ryðja (e-t) av sær:hatta fekst tú rutt av tær(sagt um e-n ið skundar so so nógv at lesa at hann dettur um orðini)6(um egg á t.d. knívi)gerast skørðut(av tí at hon er ov hørð),rapa (3),eggin ryður;ein kundi ikki døma eggjarnið eftir eldeggini, tí hon kundi ryðja
ryðmold	soyr mold
ryðmoldin	(stb.)soyrur,ryðmoldin jørð
ryður	(kvæð.)slím ið verður harkað upp frá bróstinum,ryður í bróstið rennur
ryggás	møna 1(2)
ryggbeita	(sj.,stb.)beita skorin av rygginum á kalva,móts.búkbeita
ryggbrotna	verða ryggbrotin,einaferð ryggbrotnaði ein hestur
ryggbróta	bróta ryggin á,mýrisnípu skjýtur kjógvin seg niður á, so hon verður ryggbrotin;nú er útsynningur ryggbrotin(maktar ikki meir)
ryggbøra	(stb.)grótleypur
ryggdýr	(dj.)dýr við ryggi úr geislum(Vertebrata)
ryggfjøður	(fisk.)fjøður (3) á ryggi
-ryggiligur	síó-
rygging	alduryggur ið ikki brýtur,brotini vóru ikki av tí ringasta, men ryggingarnar vóru øgiligar
ryggja1	1gera ryggir(í eplaveltu),ryggja upp eplaveltu2(um aldu)hækka og ikki bróta, hevja (2), heyga,tað ryggjar á boðanum, hann er um at bróta3(sjóm.)taka ryggin úr(í fleking)
ryggja2	1valda harm, sorga,(kvæð.)mín hin vánda stjúkmóðir vildi meg so ryggja2vika,einki skal ryggja hennara veldi;tað ryggist ikki
ryggjaður	1(um neyt)við hvítari striku eftir rygginum(Sv)2(um veltu)við ryggjum,veltan er so tætt ryggjað
ryggjarbein	(fisk.)bein í ryggi
ryggjarblóð	(fisk.)blóð undir rygginum(t.e.nýruni)
ryggjarfattur	við føttum ryggi, lendafattur
ryggjarfjøður	(fisk.)ryggfjøður
ryggjargeisli	(lívfr.)geisli (1) í ryggi
ryggjari	(sjóm.)1ein ið tekur ryggin úr(í fleking)2flekingarknívur til at taka ryggin úr við
ryggjarspong	spong í ryggi
ryggjarstykki	stykki úr rygginum(á seyði),ryggjarstykkini eru hálsur, háryggur, mjóryggur og hárógva
ryggjarvøddi	(lívfr.)vøddi í rygginum
ryggjavelta	(stb.)hyppivelta
ryggjutur	(um neyt)hvítur eftir rygginum, mønuhvítur,ryggjut kúgv;sms. t.d.breiðryggjut,reyð-,svart-
ryggleingja	(stb.)miðleingja, bakleingja
ryggleysur	(dj.)við ongum ryggi,ryggleys dýr
rygglund	(fisk.)fiskur (3) næst rygginum(serst. á turrum fiski)
