P	rómv. taltekn fyri 400
prentligur	(prent.)viðv. prenti;hj-liga
prentlist	(prent.)listin at prenta (bøkuro.tíl.)
prentlutur	1e-t prentað2(postm.,gl.)postsending við prentaðum tilfari(t.d. bløð, hefti við lýsingum o.tíl.)
prentlýti	(prent.)(lítið) misprent
prentmiðil	(prent.)prentaður (fjøl)miðil(bløð, tíðarrit o.tíl.);sbr.loftmiðil
prentmót	(prent.)(metal)pláta at prenta myndel.tekst við, prentmynd[da.kliché]
prentmynd	(prent.)prentmót
prentsmiðja	(prent.)fyritøka ið prentar bøkur, bløðo.a.
prentsnið	sniðel.útsjónd á prenti
prentstaður	(prent.)staður har ið rit er prentað
prentstavur	(prent.)stoypturel.útskorin bókstavurel.annað tekn at prenta á pappír,hann misti sats og prentstavir á gólvið
prentsverta	(prent.)sverta til at prenta við
prentus	(sjóm.)prentis
prentverk	(prent.)tól til at prenta við,hann var í prentsmiðju síni og strevaðist við at fáa blaðið í prentverkið
prentvilla	villa í prentaðum teksti(íkomin í seting),misprent
prenur	amboð til at gerael.víðka hol við(t.d.tá ið togendi verður spleysaðurel.í brodering)
prep	(stb.)pirk (2),hava eitt lítið prep
presending	stórur (segl)dúkur at breiða út yvir e-tt.d.at líva fyri regni, sjógvio.tíl.
press	1pressaður kantur á buksubrókumo.tíl.,pressið í buksunum var sum ein knívsegg2trýst, farg 1
pressa1	1maskinael.amboð til at pressa e-t við, farg 12maskina til at prenta við,blaðið var liðugt at fara í pressuna3felagsheiti fyri bløð, tíðarrito.tíl.,pressan;tann fría pressan;fáa góða umrøðu í pressuni
pressa2	trýsta, persa 2, fergja,pressa klæði(slætta við pressijarni)
pressari	ein ið leggur nógv fyri, raskur maðurel.drongur, knassi,ein ordans pressari
pressijarn	(gl.)stórt tungt strúkijarn til at pressa klæði við
pressing	tað at pressa
pressuger	pressað ger til at baka við
prestadrýlur	(fisk.,skemt.)longukálvur,tak ikki handa prestadrýlin inn
prestadyr	(gl.)dyr inn í prestakamar
prestafluga	(dj.)rondut blómufluga, rondingur
prestafólk	prestur og kona hansara
prestafrúa	prestakona
prestagarður	embætisbústaður hjá presti
prestagjald	umdømi (1) ið sóknarprestur hevur at røkja, tænastuumdømi hjá presti
prestahald	presthald
prestajørð	prestjørð
prestakall	prestagjald
prestakamar	kamar ið prestur gistir í(tá ið hann er burtur í bygd í kirkjuørindum)
prestakjóli	(kirkj.)embætisbúni hjá presti(síður svartur kjóli)
prestakona	kona prests, prestafrúa, prestkona
prestakragi	1rundur pípukragi hjá presti2(plfr.)gulur prestakragislag av plantu(Doronicum caucasicum)
prestakyrra	(stb.,fólktr.)óvanlig kyrra(hildið varð at summir prestar dugdu at leggja niður sjógv)
prestaligur	sum ein prestur eigur at vera(í atburði, útsjónd o.tíl.),tað var nógv prestaligt við honum
prestaloysi	prestloysi,prestaloysi var í fimm ár
prestasetur	(gl.)1prestagarður,Jansagerði hevur ivaleyst verið prestasetur í katólskari tíð2presttilhald,prestasetur var í Lofti
prestaskapur	(samt.)allir prestarnir í ávísum landi(afturímóti leikfólki el. øðrum samfelagsstættum),prestaskapurin í Føroyum
prestaskúli	(søg.)skúli ið veitir prestalærdóm(á biskupssetri),biskupssetrini við sínum prestaskúlum
prestastev	(bjarg.,Skú.)ávíst stev tá ið teir draga línu 1(2), prestastig
prestastevna	(kirkj.)árlig stevnael.fundur fyri allar prestar
prestastig	prestastev
prestbátur	(gl.)bátur at skjútsa prest við
prestbygd	bygd har ið prestur býr
prestbøur	(bún.)bøur ið lá til prestaembæti
prestferð	(gl.)skjútsferð við presti
prestflutningur	(gl.)tað at skjútsa prest
prestfólk	prestafólk
presthagi	(bún.)hagi ið lá til prestaembætið,dalarnir fyri norðan lógu undir presthaganum
presthald	(gl.)viðurlag fyri at hýsa presti, prestahald
presthús	hús ið prestur gistir í
prestinna	(átr.)kvinnuligur heiðin prestur, gyðja
prestjørð	(bún.)jørð ið lá til prestaembætið, prestajørð,prestjørðin er ikki til longur, hon er gingin til festijørð
prestklæddur	klæddur sum prestur
prestkona	prestakona
prestleypur	(gl.)lokaleypur hjá presti(tá ið hann ferðaðist)
prestloysi	tað at eingin prestur er í ávísum prestagjaldi,tá var prestloysi her í oynni
prestlærdur	ið hevur lært til prest
prestmaður	(skemt.)prestur
prestsetur	prestasetur (1),prestsetrið í Jansagerði
prestsonur	sonur prest
prestsunnudagur	(stb.,kirkj.)sunnudagur tá ið prestur er í kirkjuni
presttal	(kirkj.,søg.)peningur ið altarsfólk læt presti
presttilhald	(kirkj.)tilhald hjá presti(burtur í bygd)
prestur	(kirkj.)fólk vígt til kirkjutænastu(oftast við gudfrøðiligum lærdómi),(tilt.)lesa/skriva sum ein presturduga væl at lesa/skriva;lesa fyri prestiganga til;fáa prestsins hond á høvdiðverða fermdur;sms. t.d.grinda-,her-,hjálpar-,høvuðs-,láns-,munka-,sjómanna-,sóknar-
prestveður	(gl.,stb.)veður at fara eftir presti(við bát)
prestvíga	(kirkj.)víga til prestel.til prestaembæti
prestvígsla	(kirkj.)tað at víga til prestel.til prestaembæti
presur	(stb.)skittur, óreinska, óhumska,á tann presur, eg kom upp til(um hund sum hevði gjørt bæði vátt og turt á gólvið);hatta liggur sum ein presur(um køst ið stendur og esjar)
pret	(stb.)list, kunstur 2, snildir,tað kann vera, at føroyskir arbeiðsmenn ikki duga so væl pretið sum hinir at ganga yvirmonnunum undir eygum
pretin	1erpin, hástórur,hann var bæði pretin og stoltur2vakurt ílatin, væl klæddur, fínur (5),tú situr so prúð og pretin fyri mær3pertin,bardagabuksur skuldu vera so pretnar
pretna	ernast upp,pretna uppel.pretnast;tá ið hann hevði etið, pretnaði hann upp;vit vóru nú komnir á heimliga leið, og menninir pretnaðust;so við og við pretnaðist hann
pretta	1erta, arga,pretta e-n við e-m(Sv)2kasta (e-m) fyri, brigsla, brigða(Sv)
prettin	argur at brigslael.skylda upp á onnur(Sv)
prev	(stb.)lítil kenning, pirr,hann hevði eitt lítið prev
priðari	1(stb.)lítil trænagli2(sjóm.)prikkari
priði	1broddur (1), oddur 1, lítil seymurel.naglio.tíl.,hann rendi ein priða í holdið á honum2(stb.)laðingarjarn
prik	1(lítil) stingur við nálo.tíl.;(flutt m.)geva e-m eitt prikprika e-n2lítil kenning, pirr,hann hevði eitt lítið prik3(kortsp.)lítil trumfur settur á
prika	1stinga (hol á) við nálel.e-m øðrum spískum,prika e-n í búkin;prika hol á e-t;prika fliðurstinga fliður2(kortsp.,skemt.)stinga (9)3smáarga, stinga skør
prikari	prikkari
prikka	gera prikkar, merkja við prikkum,prikka eina linju;eggið er prikkað við smáum og stórum blettum
prikkabeinur	(stb.)púra beinur, snórbeinur,klokkan var prikkabein
prikkafiskur	(fisk.)prikkutur djúphavsfiskur(prikkarnir eru ljósgøgn)
prikkari	(sjóm.)træskaft við jarnoddi at leggja fisk við(har ið illa slapst at annars),prikari,tá ið lastin var næstan full, varð fiskurin lagdur til høldar við prikkara;goggur, kvísl ella prikkari mugu ikki verða nýtt
prikkastrika	rað av prikkum ið mynda striku
prikkmørur	(gl.)slag av kjøtpylsu
prikkur	1lítið runt merki, blettur (1)2(stb.)anari(petroliumsglas við veiki);sms. t.d.hár-,hosu-,nóta-
prikkutur	við prikkum, blettutur;sms. t.d.brún-,dimm-
prilla1	1(bjarg.)ílat til at hava egg í(samanrykt roð, avskorin kíkur el. plastboya),eggjaprilla, eggjaroð,bóndin opnar prilluna og leggur eggini frá sær(sbr.Sv Indb.109)2(gl.)stavingarbók, stavingarprilla,(tilt.)abc-prilla lesur illa3ein ið dugir illa at lesa4(stb.)vágpirra5(skemt.,stb.)undirhøka,hava prillu undir høkuni;sms. t.d.lúsa-,lýsi-,stropa-
prilla2	pritla
primsigna	(søg.)víga bráðfeingis við krossmerki, signa bráðfeingis(heidning ið seinni skuldi verða skírdur)
primtal	(støddfr.)frumtal
primus	kókiamboð ið brennir guvað petrolium
primuslykt	(gl.)slag av lykt(olja pumpað upp í net ið fer at gløða)
prinsa	s30(skemt.)prinsa særtaka sær av løttum,tú hevur ligið og prinsað tær í tríggjar dagar
prinsessa	dóttir kongsel.drotningar, kongsdóttir, kvinna av kongsætt
prinsur	1sonur kongsel.drotningar, kongssonur, maður av kongsætt2(fugl.)ungur skarvur(áðrenn føturnir eru vorðnir svartir),skóleysi skarvur;sms. t.d.klodda-,krún-,posa-
pripni	tað at vera prippin, pripp
pripp	illvilji, agg, firtni,fáael.hava pripp (til e-n);nú var pripp í honum;pripp kom í hannhann gjørdist prippin
prippin	ið lættliga gerst firtin, ið tolir lítið av, smásárur, skjarrligur (1)
pripputur	(sj.)prippin
prisma	1(alisfr.)strenda (2)2(støddfr.)strenda (3)
pritla	erta, arga, forarga, reita,pritla undirpurra upp undir;eg pritlaði undir hann at bera skjótt at;menn gingu um í bygdini og pritlaðu undir at fáa tey á val
privat-	sms. t.d.-bilur,-fólk,-koyring,-lív,-maður
privatskúli	(skúl.)(fólka)skúli ið felagsskapurel.einstaklingur rekur, heimaskúli,móts.kommunuskúli
privatur	egin, sjálvs síns, einskildur, einstaklings-
príla1	1avfaksa2klippa, skera, snøgga, stubba,hann prílaði skeggið
príla2	í osb.(stb.)hann prílarel.nú prílar tað(tá ið tað er ófýsið veður í apríl)
príling	(stb.)ringt veður fyrst í apríl(boðar fyri góðum vári),tað vóru fleiri av teimum gomlu, sum trúðu upp á prílingina
prílmánaður	(tlm.)aprílmánaður
prílur	(tlm.)aprílmánaður,prílurin;prílurin bæði lívgar og drepur(seyð);prílurin hevur mangt eyga lagt saman
prílus	(stb.,skemt.)prílur
prís	(bíbl.)prísur (2)
prísa	1hálova, lova 2, lovprísa,prísa e-m (gl.e-n);prísa Gudi;Gud, vit prísa og takka tær2seta prís (1) á (vøru)
prísan	tað at prísa;sms. t.d.lov-,sælu-
prísansari	(búsk.)almennur tænastumaður ið hevur eftirlit við (vøru)prísi og príslegu
prísansing	(búsk.)tað at ansa eftir prísum
prísáseting	(búsk.)tað at seta prís á vørur
príseftiransing	(búsk.)tað at hava eftirlit við (vøru)prísi og príslegu
príseftirlit	(búsk.)almennur stovnur (3) ið hevur eftirlit við (vøru)prísi og príslegu
príshækkan	(búsk.)1tað at vøruprísir, tænasturo.tíl.verða dýrari2so mikið sum prísurin hækkar, tað ið prísur verður hægri
prísískoyti	prísviðbót
príslag	(búsk.)príslega,príslagið hækkaði
príslega	(búsk.)legael.stig ið prísurin er á, tað hvør prísurin er, príslag, prísur (1),høg/lág príslega
prísliga	viðv. prísum
príslisti	listi við vørum og prísi teirra
príslækkan	(búsk.)1tað at vøruprísur lækkar og tænasturo.tíl.verða bíligari2so mikið sum prísurin lækkar, tað ið prísurin verður lægri
prísmerkja	seta merki við prísi á (vøru),prísmerktar vørur
prísmunur	munur á prísi á somu vøru ymsastaðni ella ymsar tíðir
prísráð	(búsk.)alment ráð sum hevur eftirlit við prísi,senda kæru til prísráðið
príssteðgur	(búsk.)(fyribils) forboð fyri at hækka prís;sbr.vinningssteðgur
prístal	(búsk.)tal ið sýnir gongdinael.broytingarnar í prísleguni í ávísum tíðarskeiði
prístalsviðbót	(búsk.)(lønar)ískoyti latið tá ið prístalið fer upp um ávíst mark
prístalsviðgera	(búsk.)javna lønir við støði í prístalinum
prísur1	1tað sum e-t kostar, gjald ið verður goldið fyri e-t, kostnaður,fáa góðan/ringan prís (fyri vøru);rognini plagdu at vera í góðum prísi2æra, heiður, frægd, prís;sms. t.d.avreiðingar-,dags-
prísur2	mongd av snúsi ið verður stungin í munnin í senn,gev mær ein prísgev mær upp í nevið
prísviðbót	(búsk.)prísískoyti frá tí almenna(t.d. til mjólkarprís, fiskaprís o.tíl.)
professari	(skúl.)lærari á hægsta starvsstigi(á lærdum háskúla)
profetera	(bíbl.)bera boð um framtíðarhendingar, boða (3), spáa
profetur	(bíbl.)ein ið boðar Guds vilja, spámaður, síggjari;sms. t.d.svika-
promilla	1(støddfr.)ein av túsund, túsundapartur(tekn 0/00)2innihald av alkoholi í blóðinum(mált í 0/00)
promillumark	hámark fyri hvussu nógv alkohol ein bilførari hevur loyvi at hava í blóðinum,Ferðslutrygd mælir til at lækka promillumarkið úr 0,5 niður í 0,2
proppa	stappael.fylla í e-t sum propp, seta propp í,høvdaull varð nýtt at proppa við, tá ið løðast skuldi;(flutt m.,kvæð.)hønan skavar gólvsópið, proppar sína kjós;proppa seg (við e-m)eta seg steinmettan
propptrekkjari	amboð at taka propp av fløsku við, upptrekkjari, upplatari, fløskuopnari, tappatogari
proppur	1tøppur í fløsku, at tetta holel.op viðo.tíl.,fløskan er í proppin(full)2køggut og tættbygt fólk;sms. t.d.tendri-,tundur-
props	træskorða undir lofti í kolholi
prosa	(bókm.)óbundið mál
prosayrking	(bókm.)yrking í óbundnum máli(uttan reglufast rím og ljóðfall)
prosent	(støddfr.)ein av hundrað, hundraðpartur(tekn %),fólkatalið vaks 5% í tíðarskeiðinum
prosentstig	(búsk.)tal ið vísir munin millum tvey prosenttøl,um rentufóturin hækkar frá 4% til 5%, hækkar hann 1 prosentstig
protein	(evnafr.)eggjahvítaevni
protesa	eftirgjørdur likamslutur(eftir e-m natúrligum),beinprotesa,bróstprotesa;tannprotesa
protestantiskur	(átr.)viðv. protestantismu
protestantisma	(átr.)kristin trúargrein eftir læru Luthers, Zwinglis og Calvins(sum mótmæli ímóti rómverskkatólsku kirkjuni)
protestantur	(átr.)ein ið hoyrir til protestantiska kirkju
proton	(alisfr.)ørlítil bitil løddur við positivum ravmagni,eitt vanligt hydrogen-atom er ein proton við einari elektron malandi rundanum
proviantur	(sjóm.)skipsvistir
Proysaland	(søg.)navn á hertugadømi og seinni kongadømi fram við landsynningspartinum av Eystursjónum(ikki til longur)
proysiskur	(søg.)íel.úr proysalandi,proysisktmál sum varð tosað í proysalandi(skylt við lettiskt og litavskt)
proysur	(sjóm.)prentis
prófastur	(gl.)sýslumaður
prógv	1váttanel.staðfesting um sannleika,bera prógv umprógva;útsjónd hansara bar prógv um arbeiðssemi;(gl.)skjóta til próvs (el.prógvar)taka til vitni2skrivlig váttan (um e-t), próvbræv, próvskjal,prógv í gudfrøði;til lukku við próvnum3próvtøka,fara upp til prógv;fáael.taka prógv;sms. t.d.álitis-,embætis-,gudfrøði-,koppa-,mót-,skipara-
prógva	bera prógv um, føra prógv fyri, vátta, sannføra um, sanna,prógva, at e-t er satt;sms. t.d.skjal-
prógvhandan	tað at handa prógv
prónshøvd	1høvd 2(4) á próni2(flutt m.,stb.)lítið grunningshøvd ið lítið dugir til matna,fást ikki við at taka hasi prónshøvdini, tey duga einki
prónur	long nál til støddar sum stór stoppinál(við høvdi av glasiel.silvuri)at festa turriklæði el. skjúrt við;sms. t.d.hálv-
próstadømi	(kirkj.)umdømi ið próstur situr fyri,Føroyar eru eitt próstadømi
próstagarður	1(gl.)embætisgarður hjá prósti2embætisbústaður hjá prósti
próstarættur	(kirkj.)kirkjuligur dómstólur sum próstur situr fyri
próstur	(kirkj.)prestur ið hevur umsjón við prestum og kirkjum í einum próstadømi
próvbók	(skúl.)bók har sum próvtøkur verða skrásettar
próvbræv	(skúl.)skrivlig váttan um lokna útbúgving, prógv (2)
próvbyrða	(løgfr.)ábyrgd at útvega prógv fyri e-m uppáhaldi,ráðið tykist at leggja til grund, at tað er seljarin, sum hevur próvbyrðuna fyri, at fiskiloyvi ikki fylgdi við søluni
próvbyrði	skylda at vátta e-t,próvbyrðina má hann hava, ið vil siga, at Føroyar ikki kunnu taka fullveldi
próvdómari	(skúl.)serkønur ið metir um avrik hjá næmingi við próvtøku
próvdøma	(skúl.)meta um avrik við próvtøku
próvdøming	(skúl.)tað at próvdøma
próvfastur	ið prógv er fyri, prógvaður, vitnisfastur,próvfast var, at drongurin hevði stolið
próvføra	føra prógv (um e-t)
próvførsla	tað at føra prógv (fyri e-m)
próvgrund	e-t sett fram til sannføringarel.próvsel.sum grundgeving,geva haldgóðar próvgrundir fyri e-m
próvistur	próstur(Sv)
próvlestur	(skúl.)tað at lesa til próvtøku
próvleysur	(skúl.)1sum próvtøka ikki krevst í,próvleys lærugrein2við ongum prógvi
próvmegi	gildi sum (nóg góð) próvgrund
próvmerki	(skúl.)próvtal
próvnám	(fróðsk.)nám (2) ið endar við próvtøku
próvroynd	(skúl.)roynd í sambandi við próvtøku
próvskeið	(skúl.)skeið 2(4) ið endar við próvtøku
próvskjal	(skúl.)próvbræv, prógv (2)
próvskúli	(skúl.)skúli har ið nám endar við próvtøku
próvtakari	(skúl.)næmingur ið er til próvtøku
próvtal	(skúl.)tal (vanl.millum 0-13) sum mát fyri avriki við próvtøku, karakterur
próvtilfar	tilfar(skjøl, frágreiðingar, lutiro.tíl.)ið kann nýtast sum prógv í einum (rættar)máli,stórt arbeiði varð lagt í hetta mál frá føroyskari síðu, og eitt rúgvusmikið próvtilfar varð fingið til vegar og sent ES
próvtøka	tað at taka prógv,fara (upp) til próvtøku;standa próvtøkufáa prógv (3)
próvtøku-	viðv. próvtøku,sms. t.d.-ár,-hald,-háttur,-innskriving,-krav,-lærugrein,-regla,-skúli,-tíð
prukka	lítil stavur, puttur,hann hevði eina prukku í hondini
prumpa	frata, fretla
prumpur	fretur
prumsintur	(gl.)treiskur, sjálvráðin, tvørur
prunella	(plfr.)bátsmanshattur
prunk	(sj.)prýði, skreyt
prunka	prýða, pynta,hon prunkaði flatkøkuna(t.d. við lykli)
prus	lítið skursl, skeina 1(1), pirk (1), skøva 1, prusal, prusali
prusal	prus
prusali	prus, prusal,eg fekk eitt lítið prusali á hondina
prusur	(stb.)prus
pruta1	(stb.,sj.)døkkormur
pruta2	(stb.)prumpa, fretla
prutl	1prutlandi ljóð2smá skot, røð av brestum,blaðið skrivar um hvørt prutl, ið hoyrist av skansanum, men nevnir einki um skjótingina fyri kongsins føðingardegi3prumpur4akfar við tveimum hjólum og lítlum motori,koyra prutl;koyra á prutli;prutl hava ikki loyvi til at koyra skjótari enn 30 km/t[da.knallert]
prutla	1(serst. um børn)gera ljóð við munninum(so at smábrestur í),prutla eftir e-mgálva og prutla eftir e-m2(gl.)skjótael.bresta alsamt við smáum skotum3(um vatn)koma upp sum bløðrur, bulla, vella, brala,(tilt.)tað prutlar undir loki(num)tað stendur til at bresta(av misnøgd)
prutta	royna at fáa avsláttur(í prísi av vøru)
prúdd	prúdleiki,tarvurin var tiltikin fyri prúdd;hann gav beiggjanum einki eftir í prúdd og styrki
prúdleiki	tað at vera vakur og prúður í útsjónd, vakurleiki, prúdd,gimburlombini vórðu ikki altíð klipt eftir holdum og prúdleika
prúdligur	heldur prúður (1), hyldligur,hon var stór og prúdlig kona
prúðka	(fara at) gerast prúðariel.hyldligari,hann er nógv prúðkaður
prúðleiki	prúdleiki
prúður	1stórur, vælvaksin, vakur í ásjón,hann er so prúður drongur, sum nøkur genta kann ynskja sær;prúðir fossar;prúða land mítt;nú situr tú prúð!statt nú, fast taki tær!2væl í holdum, (heldur) tjúkkur,hon er prúð(við barn);sms. t.d.fram-,hug-,sið-,skegg-,ull-
prýða	gera vakran, pynta,prýða bók við myndum;(kvæð.)skeggið ræð at prýða meg;sms. t.d.blómu-,lit-,mynd-
prýði	1e-t ið prýðirel.er til pynt,til prýðis2prýðislutur,kirkjan er eitt satt prýði fyri bygdina3(kvæð.)æra, heiður, frægd,Koraldur vóks upp við prýði;sms. t.d.borð-,háls-,hug-,mis-
prýðiligur	ið er til prýðis, vakur, stásiligur,prýðiligur borðbúnaður
prýðing	tað at prýða
prýðisgripur	prýðislutur
prýðislutur	prýðiligur lutur til pynt, prýðisgripur, skartgripur, skreytgripur, skreytlutur,móts.nýtslulutur
prýðisplanta	(plfr.)skreytplanta
prýðka	gera vakranel.vakrari, fríðka,tað hevði prýðkað um
prædika1	(kirkj.)tala hjá presti við gudstænastu
prædika2	1(kirkj.)halda prædiku 1, tala í kirkjuel.samkomu,prædika Guds orð;(tilt.)ikki gongst altíð sum prestur prædikarikki gongst altíð eftir vild2áminna áhaldandi um, leggja e-m ríkan við,prædika lýdni og aga
prædikari	(kirkj.)ein ið prædikar Guds orð,Prædikarinbók í Gamla testamenti
prædikastólur	(kirkj.)talarastólur hjá presti í kirkju
prædikumaður	(átr.)leikmaður ið prædikar, boðanarmaður
prædikutekstur	(kirkj.)bíbliutekstur ið prestur leggur út í prædiku síni
prætika1	(kirkj.)prædika 1
prætika2	(kirkj.)prædika 2
prøva	royna, freista 1(1)
prøvi	1sýni (5),taka prøvar av kjøti2roynd
prøviti	(stb.)díki
p-tal	persónstal
pu	ørlítil løtt øgn(av tógvi, fjøður o.tíl.)
pua1	(barn.,sj.)skorpnað snor í nøsini, kráka (4)
pua2	kv1(barn.,stb.)puurnarhárlokkarnir,eg skal taka í puurnar á tær
pua3	1geva frá sær pu,dýnan puar2pua út(um líra)hýggja út,lírin puar út
puff1	tað at puffa,puffini hoyrdust
puff2	kista við polstraðum loki(at goyma klæði o.a. í)
puff3	(til at vísa møði, lætta, trega o.tíl.)huff, uff,puff, puff!
puffa	(anda inn og) blása tungliga út aftur(e-t ið fellur e-m tungt),suffa
pufferma	bjølgut erma
pulka	(gl.)klóra, rispa, pilka,pulka sár;pulka burtur úr oyra
pullur	(barn.)1lítil fjøður2(smá)fuglur;sms. t.d.hana-
pulshosa	tjúkk ullint hosa(at vera í í stivlum)
pulsslag	lívæðrasláttur
pulsupør	(Suð.)(einar) pulshosur
pulsur	(lívfr.)sláttur í lívæðr(stigjavnt við hjartasláttin),lívæðrasláttur,høgur/lágur pulsur;taka pulsinnerta við pulsæðrina og telja pulssløgini ávíst tíðarbil
pulsæðr	(lívfr.)lívæðr
pultstími	(skúl.)skúlatími har ið lærari undirvísir einum flokki
pultur	1borð við skráari plátu(við fótum el. at seta á borð til at standa og lesa el. skriva við)2(skúl.)læraraborð, skúlapultur
pulvur	turt evni smátt maliðel.sundurmjølvað
pumma1	(barn.)hirsa upp um seg,pumma segel.sær
pumma2	(tlm.,gl.)fara knappliga undir kav,kíkurin pummaði undir;hann pummaði niður á botn
pummirskur	íel.úr Pommern,pummirskur viður;pummirskur stokkur
pumpa1	útbúnaður at pumpa 2 við
pumpa2	trýstat.d.vætu og gass gjøgnum røro.tíl.við pumpu 1,pumpa bátin;(lækn.)pumpa úttøma fyri eitur
pumpari	(slang)maður ið drekkur hárvatno.tíl.
pumping	tað at pumpa
pumpuringur	1(dj.)ungur æðublikur(ið ikki er vorðin flekkutur)2(skemt.)fjarur skyldskapur(longri burtur enn fermenningar),vit eru pumpuringar
pumpuroykur	(sjóm.)illramur roykur úr kjølinum á skipi
pumpuskógvur	stempul í pumpu
pumpuvatn	(í skipi)kjalarvatn
pums1	dums,hesi smápumsini frá seiði, ið kastast
pums2	lúkst,pums út av bakkanum
pumsa	detta við pumsi, bumsa,hann pumsaði útav;smágrót pumsaði á sjógv
pund	1(vekt)o.u.1/2 kg2(vekt)bismarapund (24 merkur)3(búsk.)mynteind í Stóra Bretlandi og aðrastaðni, 20 skillingar;sms. t.d.skál-,lis-,skip-,tví-
pundari	(gl.)bismari at viga tungar lutir á
pundskardús	kardús (1) ið vigaði eitt pund(RJ Høgtíðir22)
pundskrossur	(á bismara)merki fyri einum pundi (2)
pundsseðil	bretskur peningaseðil verdur eitt pund (3)
pundsseyður	seyður ið hevur eitt bismarapund (24 merkur) í tálg,pundsseyðurin er 24 merkur;pundsseyður bløðir kannuna(fýra pottar)
pundsær	ær ið hevur eitt bismarapund (24 merkur) í tálg
pungagras	(plfr.)snjallabjalla (1)
pungur	1lítil skinn-el.toyposi til at hava smálutir í(til pengar, tubbak o.tíl.),hey, hey, tubbaksneyð, allir pungar tómir;draga eygað í pungskeita eitt sindur(Sv);leggja eygað í pungleggja ovara eygnalok oman yvir niðara og snýsa(til at fáa rusk úr eyganum)2(lívfr.)skólpur (1)3ein av tríhyrntu pørtunum í appilsin4(sjóm.,skemt.)prentis5(plfr.)fræhylki;sms. t.d.nytru-,tubbaks-
punkt	1(støddfr.)hugsaður depil, ávísur staður í rúminum(ávíst við einum prikki),depil (2)2lítið runt merki, prikkur, blettur3partur, deild,næsta punkt á skránni4(prent.)prentlistarlig máteind til at lýsa stødd,stavirnir eru í 9 punktum og reglugloppið 11 punkt
punktmongd	(støddfr.)mongd við lutum ið eru punkt
punktum	1(málfr.)teknið .(ið sýnir enda á setningi el. setningaheild)2styttingarmerki,málfr. er stytting fyri "málfrøði"3tekn ið sýnir raðtal,t.d. 3. upplag(triðja)4markatekn í sambandi við tíðarfestingar,kl. 12.15eitt korter til eitt
puns	(stb.,sj.)punsur,tá ið okur komu á Akrar, bleiv puns kókað
punsabolli	bolli 1(1) til puns
punsur	sterkur drykkur blandaður við vatni, sukri (sitrón, kryddi) og rúsdrekka
punta	gera puntar
puntalastrá	(plfr.)slekt í grasætt(Deschampsia),skyggjandi puntalastrá(D. flexuosa);sms. t.d.fjalla-,túvu-
puntur	1ferhyrntur flati(t.d. í talvborði, á klæði o.tíl.),borðið hevur 64 javnstórar puntar2ferhyrnt stykki(t.d. av sukurlátu),rift;sbr.koppur (8)3puntarnirbindingarmynstur(HMD Bindm.27)4(bát.,gl.)bátur minni enn prámur (1)5(plfr.)klasakend blómuskipan av grasætt
puntutur	(um klæði)við puntum sum mynstri, mynstrað við puntum,eitt puntut turriklæði;sms. t.d.blá-
puppuringur	(stb.)pumpuringur (1)
purka	1(dj.,gl.)súgv2skitsúgv3(sj.)smágenta4(dj.,sj.)gimbur,15. mai skal hvør purka av bønum;purka er eitt sleppingarlamb, sum er vorðið gjólingur ella gimbra5(dj.)fremsta beinið í kleyv á seyðiel.neyti,tað er snor í purkuniel.tað er ikki søtt í purkuniseyðurin er deyðarak6purka (5)(nýtt í kongaspæli),tá ið byrjað verður at kasta kongar, hevur hvør leikari 4 kongar, 4 jallar og 4 purkur;sbr.jallur (3),kongur 3(1);í osb. sumhetta er mín seinasta purka(síðsta oyrað eg eigi)7(stb.)blaka eftir purkuskjóta vørpur
purkukast	seinasti leikur í kongaspæli
purkuskógvar	skitnir skógvar,tú fert ikki í dans í hasum purkuskónum
purkutur	skitligur, skitførur
purla1	snyrilsvundin lokkur 1(1), hárpurla, kurla 1(1), krúlla 1,ein purla var dottin fram um oyrað
purla2	1falla í smáar purlur, liggja í purlum, kurla 2,hárið purlaði um pannuna;hárið purlaðist niður eftir vangunum2vinda purlur 1 í(við hárjarni),kurla 2, krúlla 2,purla hárið við hárjørnum
purlujarn	jarn at vinda smáar purlur í hárið við, krúllijarn
purluknokkur	(skaldsk.)genta við purlutum hári
purlutur	við purlum, kurlutur, krúllutur,purlut hár
purpur	1serstakt korkareytt litevni(fyrr vunnið úr purpurkúvingi),purpurlitur2klæði við purpurliti
purpurhinna	(plfr.)reydligt taraslag, purpurtari(Porphyra umbilicalis)
purpurkápa	(bíbl.)kápa av purpuri (2)
purpurkúvingur	(dj.)kúvingur sum purpurlitur varð vunnin úr(Thais purpurea)
purpurlittur	við purpurliti
purpurlitur	purpur (1)
purpurreyður	purpurlittur
purpurtari	(plfr.)purpurhinna,purpurtari veksur ovarlaga í fjøruni
purpurtúva	(plfr.)slag av prýðisplantu(Primula juliae)
purra1	(stb.)hvítanýra (og skólpur)
purra2	(plfr.)slag av grønmetisplantu(Allium ampeloprasum porrum)
purra3	1arga,purra e-n (við e-m)2purra upp undirhalda e-m til, eggja til3(helst sjóm.)purra útvekja
purrifinna	(lívfr.)galipinnur
purrukuldi	kuldi í kynslimi á manni
purrusúpan	súpan bótað við røstum purrum 1 (og skólpi);sbr.skólpasúpan
purruvøttur	kallvøttur
pusa	(Suð.)beita 3(2)(við at geva ljóð til at fáa hund at fara avstað),pusa hund;hann pusaði hundin eftir ærini;pusa e-n at gera e-t (fyri seg)
