T	rómv. taltekn fyri 160
tevur	luktur, roykur (2),fáa tev av e-m;kenna tev av e-m;haran hoyrir óføra væl, og góðan hevur hon tevin;tarvurin misti tevin av mær;henda tevin kendi hon fram um allan tev í urðini(t.e. av nósanum);sms. t.d.blóð-,gim-,snodd-
tey	sítað 1
teyggj	1teyggja 1(1),hon tekur einar turrar hosur niður úr einari teyggj við grúgvuna2teyggja 1(2),draga fiskin upp á teyggj3teyggja 1(3),teir komu aftur við stórari teyggj av smáseiði4teyggja 1(4),hann hevði eina teyggj av royttum lunda við sær niðan5(stb.)fetlateyggja
teyggja1	1(gl.)útbúnaður yvir eldinum at heingja klæði upp á at turka,hann hugdi upp í teyggjuna - hosurnar eru ikki at síggja2band at draga fisk upp á(til at bera),honk 1(2)3nakrir fiskar drignir upp á band4nøgd av e-m drigin upp á tráð,tey goymdu teyggju av seyðabløðrum at bresta nýggjársaftan5teinateyggja;sms. t.d.fetla-,fiska-,lykla-,seiða-,teina-
teyggja2	binda í teyggju,teyggja e-t saman;hann hevur fiskin, ið hann teyggjaði saman, við sær;teyggja e-t upp á seg(tagla);seiðurin var teyggjaður upp í tyssi;(flutt m.)genturnar teyggja seg saman og ganga eftir gøtunum
teyggjufiskur	stórur smáfiskur (hóskandi at heingja upp), greipufiskur
teymabukt	teinateyggja
teymahald	(sj.)tamarhald,(bíbl.)ein fullkomin maður, sum er førur fyri at hava teymahald eisini á øllum likaminum
teymaleysur	sansaleysur, vitleysur, ótálmaður,teymaleysur villskapur;í teymaleysum fyrilitsloysi
teymasnøri	snøri til teymar (2)
teymaspjaldur	amboð at leggja teymar (2) við(fýra í tali),leggja á teymaspjøldrumleggja upp á rygg
teymastykki	(gl.)hespa av teymasnøri
teymont	(fugl.)fuglur av antarætt(Anas querquedula)
teymur	1band aftur úr boksli til at stýra rossi við,(flutt m.)fáa leysar teymarsleppa at ráða sær sjálvum;leika leysum teymi,síleika 2(6)2(á snøri)stuttur endi undir húki,leggja teymargera teymar(við teymaspjøldrum)3band fast í botni sum skip verður bundið við,leggja skip fyri teym;skipið liggur fyri teymi4(stb.)róðurlína;sms. t.d.faksa-,kenningar-,snøris-
teys	1(niðr.)flogsut genta, flogsa, tytta,dóttir tín skikkar sær sum ein teys2illkvendi, groyggj,hon er ein teys;sms. t.d.skarns-,túna-
teyt	kv(stb.)í osb. sumhar er ikki teytin eftir í hosunum(ikki seilin heil, illa slitnar);tað er ikki teytin í hasum(uppslitið)
TG	kenningarstavir á skipum skrásettum í Suðuroy(stytting avTrangisvaag)
-ti	síátta-,fimm-,fjøru-,ní-,seks-,sjey-,tíggju-,tría-
tidna	(óregl.)->tinna
tiðna	bráðna, tána(serst. um gler og ís),kavin bráðnar, glerið tiðnar;skjótt tiðnaði av, men áðrenn liðugt var, kom næsta ælið og legði uppá aftur;(flutt m.)eins og kvøldið fyri fór lagið at tiðna hjá monnum;tað var, sum hon tiðnaði(blotnaði (2))
tiðningur	tað at tiðna, toyur, toyggjur, toybil
tifaldur	1fúsur (í løtuni),hann var tifaldur at fara2ovurfegin,eg var tifaldur
tiga	einki siga, vera tigandi, ikki mæla orð,tigel.tegi við tær!ver tigandi! halt munn!;tig og tala ikki!(sagt tá ið e-t er ov ringt at nevna);hann tagdi við tí;hon tagdi tað fyri honum;tú mátti einaferð dugað tær at tagt(sagt við e-n ið hevur verið ov opinskáraður);tiga (e-n/e-t) burturikki tosa um, ikki taka upp á tunguna;tað var bert at tiga og tola(ikki mótmæla, vera tolin);tiga tilikki svara til;hetta vóru ábreiðslur, sum hann noyddist at tiga til(lata sær lynda);(tilt.)hatta tigur ikki heldur enn ritan í berginum(tosar uttan slit, tigur aldri)
tigandi	1ið einki sigur, ið ikki mælir orð, tøguligur, tøgiligur, tøgin,tú ert so tigandi;tigandi og spakførur var hann til;(tilt.)har var ikki tigandi messa(gekk ikki av í stillum);(orðt.)tungur er tigandi róðurat skifta orð lættir um arbeiði2ið ikki verður talað um,tað var ein tigandi avgerð millum tey gomlu
tigandismessa	tøgn millum manna, tigandi messa,har var ikki tigandismessa(gekk ikki av í stillum, gangur og deilan)
tiggja	taka ímóti, fáa,tiggja boð;(kvæð.)tað boð skalt tú av mær tiggja;tiggja føðslu;tiggja grið;tiggja lívsleppa við lívinum;tiggja olmussu;tiggja vetrarvist
tigla	(stb.,bát.)tilja
tiglukálvur	(stb.,bát.)tiljukálvur
tign	1virðileiki, frami (3), frægd, mæti,tann tign, sum fólk halda høvir einum presti(virðilig medferð)2tignarstig(t.d. í starvi),standael.vera yvir e-m í tign;seta niður í tign;hægri tign;sms. t.d.há-,kongs-
tigna	(bíbl.)geva æru, æra, heiðra, virða
tignarbrandur	(kvæð.)stásiligt svørð;eis.teknarbrandur
tignarfólk	fólk frammarlaga í tign
tignarheiti	heiti (3) ið sigur frá tign(arstigi), virðingartittul á fólki við høgari tign,"tygara hátign" er tignarheiti
tignarkona	kona høg í tign (2)
tignarlag	tignarligt huglag (2),stilt tignarlag hekk í stovuni eftir orð deknsins
tignarligur	við miklari tign, stórbærur, hábærsligur, gøvigur
tignarmaður	maður høgur í tign (2)
tignarmikil	tignarligur
tignarstig	stig í tign (2)(serst. í starvi)[da.rang]
tignmikil	tignarmikil
tigul	byggitilfar av brendum leiri, tigulgrót
tigulgrót	tigulsteinar,brenna tigulgrót
tigulreyður	reyður sum tigul,sólin reis nakin og tigulreyð fram undan havsbrúnni
tigulsteinur	múrsteinurel.taksteinur av brendum leiri
tigultak	tigultekja
tigultalv	(kvæð.)slag av talvborði,tigultalv í hendi bar
tigultekja	tekja takt við tigulsteini
tikarabressa	(dj.)slag av blómuflugu(Helophilus pendulus)
tikaralilja	(plfr.)slag av prýðisplantu(Lilium tigrinum)
tikari	(dj.)ránsdjór av kattarætt(Panthera tigris)
tikin	sítaka;sms. t.d.aftur-,alsk-,av-,ást-,eyð-,inn-,niður-,ný-,ræðslu-,samanum-,til-,yvir-,undan-,upp-,úr-
tikstra	(stb.)tekstra
til1	(plfr.)blik (7), flindur (3)
til2	1(um rørslu el. flyting til el. ímóti e-m stað)móts.frá,til mín;til teirra;(kvæð.)ríða til strandar;fara til fiskiskap;matur varð borin til gestirnar;hesi tíðindi bórust til allar grindamenninar;bátaherurin fór skúmandi til grindina;nú róðu teir til kíkin;hann vendi aftur til hinar;til høgru;til vinstru2(í smb. við bygdarnøvn, oyggjarnøvn og landanøvn)móts.úr,til Havnar;til Skálavíkar;hann giftist til Húsavíkar;til Dímunar;til Suðuroyar;til Danmarkar;til Íslands;til Noregs;til Keypmannahavnar3(um luttøku)ganga til seyming (smíð, evning, dunnuspælo.a.);vera til fyrilestur (sjónleik, kykmyndo.a.);teir høvdu verið í Sumba til tíggjundartak4(frá eini støðu til aðra)umskapa til stein;verða til ís;koma til mans;vera sum skaptur til e-t5(viðv. námi, læru)læra til smið;lesa til prest;lesa til lækna6(um tíð)til jóla;til páskar;til midnátt;til sín deyðadag;síðan tá og til henda dag;tað var best at bíða til morgins;tað líður til middags;tað var ikki meir enn ein vika til veturnætur7(í samskifti við onnur)biðja til Gud;fríggja til e-n;halda seg til e-n;hyggja til e-n;ráða e-m til e-t;rópa til e-n;tala til e-n8(í smb. við kenslur)bera ást til (e-n);bera hat til (e-n);fáa yndi til (e-n);hava illbata til (e-n);hava sinni til (e-t);hava tokka til (e-n)9(viðv. sansum)eg síggi einki til hansara longur;tey høvdu hoyrt ýlini til hansara;ikki kenna til sjóverk (møði, gikt, svongdo.tíl.)10(viðv. ætlan, endamáli)teir vóru ov fáir til at fáa grindina á gongd;hon hevði kynt upp til at fáa ráan burtur;tveir mega vera uppi á desini, fýra til at kasta, ein til at skapa hana;hann noyddist at flyta vesturum til at krógva seg;børnini fóru at henta grót til at klíggja við;hann vil einki til at fara(ongan hug);bera saman til sátu;til tess,sítann 211sum(viðv. nýtslu, mati, endamáli)smágrót at hava til leysasøkk;fáa krækling og øðu til agns;eta fisk til døgurða;súpa greyt til nátturða;hava doddin kembdan niður á ennið til frunt;vøkur var gentan, sum hann hevði kosið sær til konu;teir hava gjørt tað til skálkagerð;hann hevur havt teir til bønarmenn;hava til bót í súpan;teir eru mettir til tað virði;velja til formann12(um e-t ætlað e-m)ein triðing til hvønn;tólv skinn til bátin;ein part til bátin og ein til línuna;goyma e-t til e-n;brævið er til hansara;ein breyðflís verður skorin til hvønn mannin;býta javnt til øll;tónalagið, sum teir hava til sálmarnar13(í smb. við at náael.røkka e-m)tá ið tú kemur til niðurlagið í kvæðunum;nú er komið til sethúsini;seyðbandið verður bundið á skák frá høgra horni og til sperruleggin;(tilt.)ikki koma e-m til hálvan skógv,sískógvur 114(um eginleikar o.tíl.)góður til hendurnar;kvikur til beins;løggutur til fóts;svakur til høvdið;hon hevði altíð dugað so væl, bæði til munn og til hond;einki bilti nøkrum til heilsuna15(um viðurskifti)har var eiðasørt til fisk;gott pláss til fugl;Gásadalur hevur verið so ringur til sjógvin;hvussu støðan flokkanna millum er til styrki;hvussu er úrvalið til góðsku?16(við noktan)ikki til at:tað er ikki til at skilja(ber ikki til at skilja, óskiljandi);ikki til at rokna út;ikki til at meta um17í osb.til arbeiðis;til árs;til bakka;til bágs;til bíggjar;til bjarga;til beins;til borðs;til brots;til brúdleyps;til bygdar;til dømis;til eftirtektar;til einkis;til endans;til fánýtis;til fjals;til fosturs;til fugla;til fundar;til gamans;til gagns;til gávis;til gleði;til gongu;til góðar;til góðs;til gravar;til grundar;til handa;til havs;til horna;til húsa(r);til hæddar;til kennar;til lags;til lands;til látra;til mans;til matar;til møtis;til ognar;til orða;til reiðar;til rýmingar;til samans;til sjóndar;til sjós;til skaða;til skips;til songar;til spekingar;til stuttleika;til sølu;til tals;til tarvs;til vara;til viðar;til viks;til útróðrar(síhesiorð)18til lukku,sílukka;til alla lukkulukkutíð, tíbetur;til alla vanlukkuólukkutíð19(viðv. stødd)til helvtar;til hæddar;til tjúkdar;til longdar20(áherðandi)til tað[ti:lˈtɛa]í mun til (e-t)(ofta undirskilt),hann er ungur til tað;hon er til tað stór;í gjár var stórur kavi norðanfyri - til tað;hann dró saman í erva, men einki til tað21(saman við hjáorði)inn til:uttan úr túni rópast inn til hansara;niður til:teir senda endarnar niður til teirra, sum báðumegin standa;upp til:drongurin skuldi leggja hoyggið, ið kastað varð upp til hansara;út til:vit tríggir tóku at rógva út til grindinahj22til og frá:ganga til og frá(aftur og fram);vit kunnu einki gera, hvørki til ella frá(als einki)23(um stóra nøgd)hann hevur til(ríviligt);har var til(var ivaleyst av nøgd, var nóg mikiðt.d.av mati)24(um natúr, vit, útsjónd, eginleikar)hann hevur lítið til(lítið til vit);hann er so klókur til;hon er so skarpvaksin til;eg eri ikki so framligur til(av natúr, av lyndi);(orðt.)tá ið maður ger, sum hann vil, ger hann, sum hann er til(natúrin vinnur á uppalingini);báturin vísir seg at vera svartur, tó at hann er hvítur til25heldur,til stórur (lítil):skógvurin er til stórur(í størra lagi);teir hildu seg hava fingið til lítið at vita;málið er til fornt í støðum26(áherðandi)hon risti hann til(harðliga)27á staðið,nógv fólk kom til28(viðv. illbøn)far at hundinum (el.fananum) til29(fs/hj saman við sagnorði)t.d.bera(st) til;bjarva til;bjóða til;elva til;evna til;ganga til;gera til;halda til;hjálpa til;hoyra til;kenna til;koma til;krevja til;leggja(st) til;liggja til;líkna til;líta (e-m) til;minnast til;røkka til;seta til;síggja til;skapa til;skula til;smekka til;standa til;stíga til;taka til;takka til;týða til;vera til;verða til;vilja til(sísagnorð);sms. t.d.aftan-,eystan-,handan-,har-,innan-,inn-,niðan-,niður-,norðan-,oman-,sunnan-
tilafturskomin	illa fyri, ússaligur,hon er so tilafturskomin(av elli)
tilbiðing	(átr.)tað at tilbiðja,Gud aleina átti tilbiðing
tilbiðja	1(átr.)venda sær (við virðingarótta) í bøn til (guddóm), dýrka (4),tilbiðja, lova og takka2kennael.vísa (e-m) eyman kærleika, hámeta,(kvæð.)ta yngru(t.e. systrina)teir tilbóðu
tilbiðjan	1(átr.)tilbiðing2tað at tilbiðja (2)
tilbiðjari	1(átr.)ein ið tilbiður (1),(bíbl.)teir sonnu tilbiðjarar skulu tilbiðja í anda og sannleika2ein ið tilbiður (2),hon hevur nógvar tilbiðjarar
tilbjarvaður	síbjarva til
tilbjóðing	(veik) tekin um (e-t), byrjan,"hava tygum spýð?"- "nei, tað er bert tilbjóðing ";tað eru altíð tilbjóðingar til svullar
tilboð	1tað at fáa boðið (e-t)el.at bjóða e-t,geva tilboð um e-t;fáa tilboð um e-t;tilboð um arbeiði (hjúnalag, hjálp)2tað ið boðið verður,tað eru ov fá tilboð til ungdómin;taka av tilboði;hann tók ikki av tilboðnum3(møguligur) kostnaður,geva tilboð upp á (t.d. bygging)(um fyritøku, byggifelag)bjóða sær til at gera fyri ávísan kostnað;rættiliga stórur munur er á tilboðunum;geva óbindandi tilboð4(í handli)tað at bjóða til sølu fyri minni enn vanligan prís5dirvi, mót, sjálvsálit,tilboðið er so óført;hann hevur so gott tilboð;hon hevur gott tilboð, at hon torir at fara út í hesi hálkuni, so gomul og lamin;tilboðið gongur upp, tá ið ein er sjúkur(mótið er lítið);hann hevur so gott tilboð(fírir ikki fyri at fara undir hetta og hatta)6trongd, tilbjóðing(til t.d. at kasta sær av vatninum);sms. t.d.undirvísingar-,útbúgvingar-,vøru-
tilboðin	ið hevur gott tilboð (5), við gott mót,hann er so tilboðin
tilborin	(stb.)við rættindum (til),tilborin til arv;tilborin til festi
tilbregði	ættarbregði, ættarbragd
tilbregðislóg	(lívfr.)lóg (2) um tilbregði
tilbrigdi	1undirdeild av størri bólki(t.d. av plantu- og djóraætt),frábrigdi,lundasina er eitt merkiligt tilbrigdi av grasslagnum Festuca rubra;tað er væl hugsandi, at hann, ið leitar um oyggjarnar, finnur sjáldsom tilbrigdi(av firvaldi)2avbrigdi,tilbrigdi í merkingum orðanna
tilbundin	(lækn.)við bindi (1) um sárel.løst, umbundin
tilburðagongd	(bókm.)hendingagongd(t.d. í skaldsøgu),søgugongd
tilburðaríkur	hendingaríkur,í sínum tilburðaríka og umskiftandi lívi
tilburðaryrking	(bókm.)høvisyrking
tilburður	1hending, fyrikoming, viðburður (3),teir vóru illa skelkaðir av tilburðinum;tey, ið sóu tilburðin, søgdu hann vera skuldleysan;tilburðir á lívsleið hansara2(lækn.)sjúkutilburður,tilburður av hálsasjúku;sms. t.d.for-,hjarta-,merkis-,sjúku-,skaða-,sorgar-,vanlukku-
tilbúgvin	til reiðar, fyrireikaður,teir bóðu teir hava herklæði og vápn til reiðar og standa tilbúnar bæði nátt og dag;síbúgva til
tilbúgving	1fyrireiking,í hesari tilbúgving2tað at vera til reiðar við hjálp og útbúnaði um vanlukka skuldi borist á
tilbúningur	1tilbúgving (1), fyrireiking,tilbúningur til øgiligan kappleik2(lívfr.)plantu-el.dýravevnaður tilgjørdur til nýtslu í rannsóknumel.frálæru(t.d. til at kanna undir sjóneyku),sjóneykutilbúningur3(lækn.)tilgjørt evni sumt.d.heilivágur,evnafrøðiligur tilbúningur[da.præparat];sms. t.d.sjóneyku-
tildrigin	(stb.)samdrigin,tildrigin luft
tileggjan	1tað at eggja (e-m) til, tilstuðling2tað staðiliga at eggja til (e-t)el.tala fyri (e-m)[da.agitation]
tilelving	1høvi, tilevni2tilstuðling[da.impuls]
tilevnaður	evnaður til, smíðaður, tilgjørdur, viðgjørdur,laðað av leysliga tilevnaðum gróti
tilevni	høvi
tilevning	1tað at evna til, evning (1),listarlig tilevning2(skúl.)evning (2)
tilfallandi	tilvildarligur,tað er eingin tilfallandi viðburður
tilfar	(rá)evni til at gera e-t avel.sum e-t er gjørt av,tilfar til eini hús;hvat tilfar er í hesum?;tað er eitt tilfar - tunt sum eyrriðanet!;tilfar til ein kjóla;blanda tað turra tilfarið(í matuppskrift);skrivligt tilfar;av manna tungu fær hann tilfar sítt;sms. t.d.byggi-,einnýtis-,keldu-,klædna-,lættisoppa-,mynda-,orða-,undirvísingar-
tilfarsgrunnur	tilfeingi
tilfarsliður	parturel.liður í eini heild, samstøðupartur[da.komponent]
tilfarsligur	evnisbundin,tilfarsliga og andliga mentanin[da.materiel]
tilfarslisti	(húsasm.)listi 2 um tilfar ið nýtistel.verður nýtt í ávísum byggiarbeiði
tilfeingi	nøgd av tilfariel.ríkidømi (2) ið er til taks(serst. í náttúruni)[da.ressource]
tilfeingisdepil	miðdepilel.høvuðssæti fyri ávísum virksemi(serst.innan ymsar tilfeingisvinnur),Klaksvíkin er størsti tilfeingisdepilin innan fiski- og alivinnu í landinum
tilfeingisgjald	gjald sum vinnulívið skal lata tí almenna fyri rættindi at gagnnýta tilfeingit.d.fiskirættindi
tilfeingisvinna	vinna ið gagnnýtir tilfeingið í náttúruni,í sonevndu tilfeingisvinnuni, sum er landbúnaður, fiskivinna, alivinna og ráevnisvinna, er stór minking í lønargjaldingunum
tilfelli	føri (1)
tilflutningur	tað at flyta til,stórur tilflutningur til handilsbygdirnar
tilfong	(stb.)tilfar,tilfongini til skúlan
tilfriðs	(tlm.)nøgdur,eg var tilfriðs, hevði hann bart teg av
tilførsla	tað at føra (e-t) til,geva e-m tilførslu av vitan
tilganging	tað at ganga til (prest),upp undir tilgangingina
tilgangur	tilgongd,menninir søgdu henni frá tilganginum;einki fólk var, ið sá tilgangin
tilgerð	tað at gera til, tilevning, tilbúgving, fyrireiking
tilgerðartíð	(lækn.)tíðin frá smittu til sjúku[da.inkubationstid]
tilgering	1(sj.)tilgerð2(Suð.)tilgeringarroksel.pjak frammanundan, fyrigeringar
tilgeva	(sj.)fyrigeva,tilgev okkum syndir okkara;Jesus tilgevi mær, hvat eg sigi
tilgingin	1(um skógv)legnaður eftir fótinum (av brúki), gingin til,skógvurin er ikki tilgingin2fermdur 2,tá ið hann var reiðiliga tilgingin;síganga til
tilgitan	tilgiting,ein lágfloygd tilgitan
tilgiting	óprógvað men sannlík hugsan, hugs (2), tilgitan, tilhugsan(hypothesis)
tilgjørdur	1tilevnaður,nakrir tilgjørdir lutir av gróti;nakað varð keypt av tilgjørdum fóðri;illa tilgjørdur matur(óátuligur)2skaputur, uppgjørdur,tilgjørt yvirbrá3manngjørdur, eftirgjørdur, kunsturligur,tilgjørdar blómur4til reiðar, tilbúgvin,hann stóð tilgjørdur at fara til útróðrar;(bíbl.)víst er tilgjørt til brúdleyps
tilgonga	1tilgongd,hann hevði sæð tilgonguna, tá ið teir komu upp á land;ongantíð talaði hann aftur um tilgonguna;hann hoyrdi skiparan siga frá tilgonguni2tað at ganga til (prest), tilganging
