u	(málfr.)sjálvljóðsstavur (nevndur[u:])
uppfletting	tað at fletta seyð upp(um seyð sum tveir el. fleiri eiga saman og sum verður flettur og upphongdur og býttur seinni)
uppflettingarlamb	lamb sum verður flett upp(t.e. lamb sum tveir el. fleiri eiga saman sum verður flett og hongt upp og býtt seinni)
uppflotnaður	flotnaður upp av botni
uppflutningur	framflutningur
uppflyting	tað at verða fluttur upp á hægri stig,uppflyting úr triðju upp í aðru deild
uppfostran	1uppvenjing, uppaling2tað at fostra upp (barn hjá øðrum)
uppfrá	upp frá jørð, gólvio.tíl.,lyfta e-n uppfrá
uppfylla	1(bíbl.)fylla fullkomiliga,uppfyllið jørðina2nøkta, játta,hann uppfyllir ynski teirra
uppfyltur	ið kennir seg ovbyrjaðan av áti,eg føli meg so uppfyltan
uppfyri	upp frammanfyri,tað var høgt uppfyri(høgur kletturel.bakki har ið lagt varð atel.gingið upp);tað var fjøruti favna berg at draga hann uppfyri;bera uppfyritaka útsýnið burtur;tað ber uppfyri;ein hædd bar uppfyri
uppfyriskotin	(stb.)komin fyri tíðina, stundisligur,tú er so uppfyriskotin í morgun
uppføði	uppfostran(Sv)
uppføðing	uppfostran
uppgangur	1nógv brim, brimgangur,uppgangur í sjónum2(flutt m.)ógvislig deiling 1, skeld
uppgáva	1álagt arbeiði(at gera),hann fekk í uppgávu at gera myndirnar;tað er ein stór uppgáva at fara undir2spurningur at svara, mál 1(7) at loysa(til venjingar el. til at royna kunnleika hjá t.d. næmingi),uppgávur til próvtøkuna3(gl.)tað at geva seg upp til annan(lata honum allar ognir sínar aftur fyri innivist og uppihald hjá honum),tað vóru mong, ið góvu seg í uppgávu til Látrahúsið;sms. t.d.sjálv-,tekst-
uppgávudintil	(sj.)ein ið hevur lyndi til at kasta frá særel.geva upp áðrenn verkið er lokið
uppgávudrongur	(gl.)drongur ið hevur givið seg upp (til annan);sbr.uppgáva (3)
uppgávugenta	(gl.)genta ið hevur givið seg upp (til annan);sbr.uppgáva (3)
uppgávugørtur	gørtur ið er so fløktur at hann er ikki at greiða
uppgávuhugur	hugur at geva upp
uppgávujørð	(gl.)jørð sum uppgávufólk letur aftur fyri innivist og uppihald(Tingb. 1615-5433)
uppgávukona	(gl.)kona ið hevur givið seg upp (til annan);sbr.uppgáva (3)
uppgávulyndi	lyndi til at geva upp og kasta frá sær, mótloysi
uppgávumaður	(gl.)maður ið hevur givið seg upp (til annan);sbr.uppgáva (3)
uppgávurødd	kví osb.við uppgávurøddvið vónloysi í røddini
uppgerð	1tað at gera upp roknskap2endaður roknskapur(t.d. yvirlit yvir bókingar í banka)3avrokning4samanbrestur ið ger av trætuel.ósemju,tey høvdu eina uppgerð í flokkinum5tað at gera seg uppel.vera uppgjørdur
uppgjald	(sj.)endurgjald, viðurlag,hann fekk uppgjald afturfyri
uppgjørdur	1(um tog o.tíl.)ringdur niður, kveylaður, slangaður,snørið er uppgjørt(vundið upp á súlu 1)2tikin út til brundseyð,veðurlombini vórðu uppgjørd3óektaður, tilgjørdur, fjákutur, skaputur,hesin uppgjørdi eldhugi;við uppgjørdum gongulag;hasin uppgjørdi gorlakkurin(hástóri)4gjørdur upp í kyllingarel.sátu,rista út nakrar sátukollar, ið uppgjørdir vóru5uppreiddur,uppgjørd song6uppáfunnin, gjørdur,uppgjørd nøvn,sígera upp
uppgløddur	eldhugaður,hesin flokkur var uppgløddur fyri at fremja tað, ið kundi menna føroyingar tjóðskaparliga
uppgonga	1tað at ganga upp (á e-t),føroyingarnir bóltaðu grót oman á írarnar at forða teimum uppgongu;gera uppgongu á skip2mjá og brøtt gøtael.rás upp á oyggj(frá sjónum),stíggjur 1(1), kleiv 1(1), uppgongd (1),uppgongan í Skúvoy;uppgongan í Dímun(kleivin);uppgongan er góð at verja3tað at ganga um aftur á fjalli tá ið nógvur seyður er sloppin í fyrru gongu,gera uppgongu;so var gjørd ein uppgonga, eina ferð enn niðan á fjøllini, og hesa ferð gekk betur
uppgongd	1uppgonga (2)2(sj.)hækking,fiskaprísurin er í uppgongd3(sj.)framburður, framgongd,henda uppgongd vardi í umleið 50 ár4(sj.)uppgangur,tá ið uppgongd var í brimi
uppgongdur	ið gangandi er upp ígjøgnum,stíggjurin er uppgongdur;har er uppgongt
uppgongutíð	tíð við uppgongd (t.e.menning og framburði)
uppgreiðing	frágreiðing, avdúking(av loyndarmáli o.tíl.),ein natúrlig uppgreiðing mundi fara at koma av hesum undarliga tilburði
uppgressaður	(sj.)uppøstur, óður
uppgrevstur	tað at grava (e-t) upp
uppguvan	(alisfr.)tað at guva burtur,nógv av regninum fer fyri einki við uppguvan
upphald	1kavaguva á fjøllum(boðar frá vindi),upphald á fjøllunum;tá ið upphald er á fjøllum, verður vindur høgt;tað er nógvur vindur í hasum ælinum, tí har er upphald2tað at vatnið í áum fýkur upp(í nógvum vindi)
upphangandi	(stb.)forbannaður, tramans,eitt upphangandi ótýggi
upphav	1byrjan (at e-m), uppruni,frá upphavi at enda;(bíbl.)í upphavi skapti Gud himmal og jørð;(bíbl.)frá upphavi og um allar ævir;upphavið at ríki hansara2stór mongd avt.d.mati,eitt upphav av grind3(sj.,stb.)upphald (1),upphav á fjøllum
upphavligur	upprunaligur,navnið man ikki vera upphavligt á norrønari grund
upphavsformur	(málfr.)upprunaligur formur,Øravík hevur havt upphavsformin Hørðavík
upphavsmaður	maður ið hevur byrjaðel.skapað nakað,upphavsmaður at e-m
upphavsrættur	(løgfr.)ræðisrætturel.ognarrættur hjá listafólki, rithøvundio.tíl.á egnum verki
upphavsstaður	staður har ið e-t byrjarel.hevur sítt upphav
upphavsøld	(jarðfr.)elsta jarðsøguøldin(fyri 4500-600 milliónum árum síðan),jarðarsøgan verður býtt sundur í øldir: upphavsøld, fornøld, miðøld og nýøld
uppheinging	tað at heingja upp(t.d. krov til turkingar)
uppheitaður	(t.d. um mat)heitaður upp aftur, uppheittur, upphitaður
uppheittur	uppheitaður
upphevjaður	høgt í metum, hátt virdur,síhevja upp
upphitaður	uppheitaður
upphiting	1tað at hita uppt.d.hús2(ítr.)tað at hita upp undan dysti
upphongdur	(um fisk og kjøt)hongdur til turkingar,síheingja upp
upphovnaður	hovnaðurel.trútnaður nógv,andlitið var upphovnað av gráti
upphugsa	hugsa upp, finna upp,hann upphugsaði onnur brøgd;upphugsaðuruppfunnin
upphædd	(búsk.)nøgd av peningi, peningaupphædd
upphærdur	farin at missa hárið frammantil á høvdinum
upphøgging	tað at høgga uppt.d.skipel.bilar
uppi	1á staði sum liggur hægri enn annað,uppi á takinum;uppi á alduni;uppi í sjónum;liggja uppi við bróstið,móts.frammanfyri,boðin er uppi(brýtur),síbróta;streymur var harður og uppi hvør íða;bæði uppi og niðriallastaðni2í uppreistari støðu,standa uppi;húsini standa uppi enn;vera uppivera á fótum;(orðt.)ilt er at læra gamlan hund uppi at sita,síhundur3sum einki er eftir av, etinel.drukkin upp, liðugur (1),etið nú til uppi er;maturin er uppi;tá ið hann kom til Sands, var dagurin uppi(kvøld);dagarnir vóru uppi hjá honumhann skuldu ikki liva longur;mín tíð var ikki uppieg skuldi ikki doyggja tá, eg var ikki feigur tá4til próvtøkuel.roynd,eg havi verið uppi í føroyskum í dag5(saman við fs)uppi á:havat.d.knív uppi á sær(hjá sær);passa klæði uppi á e-m;uppi á floti,síflot;uppi á gosi,sígos;uppi í:vera uppi í e-mtaka lut íel.vera við í e-m;eiga uppi í e-meiga lut í;standa uppi í ljósinumskugga fyri (e-m);uppi undir:sita uppi undir særsita uppi í seingini;uppi yvir:hjúkla uppi yvir e-m,síhjúkla;gleða seg uppi yvir e-m,sígleða;sita uppi yvir e-m,sísita6(saman við sagnorði)t.d.dansa uppi;drepa uppi;fjara uppi;hava uppi;leggja uppi;sita uppi;standa uppi(sísagnorð)
uppiá	uppi á e-m, í erva,tey gingu og mólu uppiá;búgva uppiá(í erva í húsum);hava uppiá(um seyð)hava fulla skipan
uppiborin	sum e-m av røttum fellur í lut, sum ein hevur gjørt seg verdan at fáa,ein uppiborin sigur;havael.eiga e-t uppiborið;tú hevur ikki annað uppiborið
uppifjaraður	1uppi á turrum(tá ið fjarað er),báturin lá uppifjaraður2(flutt m.)sum einki fær gjørt, hjálparleysur,hann liggur uppifjaraður;verða uppifjaraðurverða avdúkaður í e-m sum ein vildi dylja
uppifyri	fyri sær, fyri bringuni,hon fór út við fyriklæðinum uppifyri
uppihald	1tað ið e-m nýtist fyri at kunna liva, lívsuppihald,hon virkaði við hondunum til lívsins uppihald2tað at verael.halda til á e-m staði, tilhald, dvøl
uppihalda	1útvega til lívsuppihald hjá,sonurin, sum var sjómaður, uppihelt húsinum;Harrin uppihelt fólkinum í oyðimørkini2halda fast umel.við, varðveita, halda (12),uppihalda ta skipan, sum nú er
uppihaldari	ein ið vinnur sínum til lívsuppihalds, forsjónari
uppihaldsloyvi	loyvi hjá útlendingi at hava tilhald í landi, búloyvi, tilhaldsloyvi, vistarloyvi
uppihaldspeningur	peningur til uppihalds barniel.børnum ein ikki býr saman við(frá øðrum av foreldrunum),uppihaldspeningur frá pápanum;sbr.barnapeningur
uppihaldsskylda	skylda til at uppihalda konu og børnum
uppihaldsstova	setstova (2)
uppií	við (í e-m), ímillum,stuttleiki skal vera uppií;nógv fólk var hjástatt, og uppií vóru brøður hansara;nógv ómarkað var uppiínógv ómarkað lomb vóru við í gonguni;duga uppiívera førur fyri at kvøða við(tá ið annar skipar);tosa uppiíleggja uppí tá ið vaksin tosa
uppikastaður	1við teymum og húkum fløktum um tein og lodd(so at fiskur fær ikki tikið),sat maður ov leingi og einki kendi, tá ið kenningin var góð, kundi hann annaðhvørt vera avegndur ella uppikastaður;eg eri uppikastaður2(flutt m.)sum gongur illa í hond hjá, sum einki fær gjørto.tíl., uppifjaraður (2),ikki er torvið turt enn, eg sleppi tí ikki burtur, og nú er komið langt út á summarið, eg liggi heilt uppikastaður av tí;hann stendur ikki uppikastaður(er ikki teptur, veit altíð okkurt at svara aftur);sbr.uppkastaður (1)
uppikipping	evni sum ferð eftir ferð verður tikið upp afturel.meylað um(at gera gjøldur burturúr el. til skemtanar),uppikipsan,hava e-t til uppikippingaraltíð tosa um e-t ávíst
uppikipsað	havt til uppikipsan,e-m verður uppikipsað (e-t)
uppikipsan	uppikipping,hava e-t til uppikipsan
uppilagstur	(sjóm.)givin at vera sjómaður(t.d. fyri aldur, sjúku o.tíl.),lagstur uppi á landi,uppilagstur skipari
uppiløga	1tað ikki at sleppa til útróðrar av ringum líkindumel.fiskaloysi, uppløga,um veturin kunnu uppiløgurnar vera bæði langar og strangar;uppiløga og fiskaloysi2(kortsp.)(í stýrivolti)vol
uppiløgudagur	dagur tá ið ikki slepst til útróðrar
uppinakka	(sj.)seta at, tykta, harta, uppnakka,eg skal uppinakka hann, sum hetta hevur gjørt
uppiseta	tað at sita uppi
uppisetur	h13eí osb.vera í uppisetri (við e-mel.e-t)1hava trot á (e-m), einki at hava eftir,handilin var í uppisetri við vørur;ein dagin var hon í uppisetri við te2(um bát)ikki vera sjóførur, vera ónýtiligur og lasafarin,báturin er í uppisetri(Sv)
uppiseturbátur	(stb.)bátur sum er í uppisetri (2)
uppiseturlunnur	(bát.)langur lunnur til at seta bát upp fyri brimi á(lagdur tvørtur um støðuel.neyst so at báturin stendur hægri enn vant)
uppistøða	uppstøða
uppiundir	(um lamb)undir júgrinum á ærini(at súgva),mannahond skuldi ikki nema nýlembt lamb, fyrr enn tað hevði verið uppiundir og fingið sær at súgva
uppivið	hjí osb. sumhar hongur annað uppivið(býr annað undir)
uppiyvir	omanfyri,ein pottur hekk uppiyvir(yvir eldinum)
uppí	1í til fult er,fáa uppífáa fulla last av fiski;lata sær uppífáa sær upp í pípuna;skalt tú ikki hava uppí aftur?(meira drekkao.tíl.)2afturat, harafturat, harumframt,uttan forføll koma uppí;har kom tað uppí, at tveir illir tarvar vóru at ansa eftir;byggja uppí(aftur at húsi);rokna uppítelja við;skoyta uppí3upp í dansin,móts.niðurúr,fara uppí (at dansa);nú komu øll tey vaksnu uppí4ímóti ættini,leggja bát uppí;halda bátin uppí
uppíblanding	tað at blanda seg uppí(e-t ein einki hevur við at gera),uppílegging (1)
uppíbygging	e-t bygt uppí, afturatbygging
uppídráttur	(veðurfr.)1tað at draga upp í seg, draga á luftina (fyri illveðri)2tað at hann heldur á við sama veðri,tað verður vist bara uppídráttur(meiri kavi og kuldi)
uppílegging	1tað at leggja upp íel.koma sær út í e-t2(sj.)tað at leggja fram síni sjónarmið í kjaki
uppíløga	uppílegging (2),uppíløga í dagsins kjak
uppímillum	1ímillum tveir partar,tú mátti lagt uppímillum;koma uppímillum2av og á,ein lítil linni var uppímillum
uppímillumgjørt	l hí osb. sumtað man fara at verða uppímillumgjørt, at tú kemur at ferðast norður til mín(tað verður langt ímillum)
uppímóti	upp móti vindiel.aldu,leggja bátin uppímóti;vit løgdu okkum at andøva uppímóti
uppíroknaður	uppítaldur
uppískoyti	e-t ið er lagt afturat, ískoyti, afturatløga,uppískoyti til donsku-føroysku orðabókina
uppítaldur	taldur við, uppíroknaður
uppkalla	kalla upp,uppkalla ein í ættiniuppkallaður1nevndur eftir øðrum,drongurin er uppkallaður eftir abbanum2ið barn er nevnt eftir,abbin er uppkallaður
uppkalling	tað at kalla (barn) upp,siðurin við uppkalling er gamal
uppkarvaður	skorin smátt sundur,síkarva
uppkast	1(ítr.)tað at dómari kastar bóltin upp í loft(eftir óvæntaðan steðg í dystiserst.í fót- og hondbólti)2fyribils uppskotel.ætlan(um e-t ið gerast skal),gera uppkast til e-t
uppkastaður	1uppikastaður2(um garð)laðaður í skundi
uppkiptur	hálsstuttur(Sv)
uppkláring	avrokning,síklára upp
uppkleyraður	bleytur og runutur(av nógvari gongd),upptraðkaður,gongan varð rikin gjøgnum eina uppkleyraða geil
uppkneptur	ikki kneptur, opin (1),í uppkneptum frakka
uppkolaður	fullkomiliga brunnin, brunnin í grund,templið var uppkolað
uppkoma	1tað at komael.taka seg upp, byrjan,uppkoman av føroyskum handlum2tað fyrsta av sjóvarfalli,fyrst í uppkomuni setur streymurin at tanganum3kelda (1)4sólar-el.mánauppkoma
uppkomandi	ið til ber at koma upp, ið gangandi er upp,einasta stað, har ið uppkomandi er í Oknadali
uppkomin	síkoma upp
uppkók	stutt kók,lat mjølbollarnar í og lat teir fáa eitt uppkók
uppkyknaður	síkykna upp
uppkynding	tað at kynda (upp)
uppkyndur	síkynda upp
upplaðing	e-t ið er laðað, laðaður garður
upplag	tal á eintøkum ið blað, bók, fløgao.tíl.verður prentaðel.margfaldað í í senn
upplagdur	1skolaður upp á land,inn móti helluni, har hin hvíti, fíni sandurin var upplagdur2landaður, avreiddur,nógvur fiskur verður upplagdur í Klaksvík3væl/illa upplagdurí góðum/ringum lag, væl/illa útborin4avráddur,uppløgd ráðsamansvørjing
upplatandi	ið kann latast upp
upplatari	1propptrekkjari2dósaopnari
upplatin	sílata upp
upplating	tað at lata upp, opna(t.d. handil)
upplatingartíð	tíð á degnum tá ið handil, skrivstovael.tíl.verður upplatin,móts.afturlatingartíð
upplegg	1sovorðið ið legst upp á strondina, strandvarp2tað ið ætlan er at gera, ætlan,uppleggið hjá føroyska liðinum var at verja3framløga til kjak,upplegg til orðaskifti
uppleikan	(talv)tað at leika finnu inn í borðið fyri at fáa frúgv upp
upplesari	ein ið lesur upp,upplesari í útvarpinum
upplestur	tað at lesa upp
upplimur	(lívfr.)armur
upplit	uppsikt,hava gott/ringt upplit
uppliva	vera við í, royna, síggja,vit upplivdu nógv á ferðini;hann upplivdi eina sanna gleði;aldri havi eg upplivað so yðjandi lív
upplivan	(sj.)uppliving
upplivilsi	(góð) uppliving
uppliving	tað at uppliva (serst.e-t gott), upplivan, upplivilsi
upplíva	lívga (upp),(skaldsk.)ta deyðu jørð upplíva
upplívandi	ið fær e-n at ernastel.lívast upp,upplívandi orð
upplívgan	tað at lívgast upp
upplop	1verk ið farið verður undir av ovurhuga men sum varir stutt(og dettur líðandi niðurfyri aftur sum frá líður),felagið hevur higartil vaksið seg javnt, so tað vísir seg ikki bert at vera eitt upplop2fólk ið ikki heldur á við arbeiði tað er farið undir3slafs í sjónum,upplop í sjónum (av streyminum)
upploysa	loysa upp,upployst evni
upploysing	1tað at loysa e-t upp(í smærri eindir),(flutt m.)kreppa og upploysing er í samfelag okkara2(evnafr.)loysing (2),upploysing av sukri í vatni
upplutur	(gl.)ovari partur á serki
upplyftur	1havdur á lofti,mínar upplyftu hendur2glaður og lættur í sinni,hon var so glað og upplyft
upplýsa	gera greiði fyri, gera kunnigan, kunna 2, greiða frá, siga,síðan upplýsti brúðgómurin alt fyri konginum;upplýsa e-n um e-t;upplýst fólkvitandi fólk;tað upplýsta einavaldiðstjórnarlag har ið einavaldskongur roynir at bøta um lívskor og almenna upplýsing hjá fólkinum(serst. í endanum á 18. øld)
upplýsing	1tað at upplýsael.veita kunnleika,fáael.geva upplýsingar;til upplýsingar um Føroya miðøld2heimspekiligt og bókmentaligt rák(har ið skilvísi og skynsemi verða sett upp ímóti fordómum, pátrúgv o.tíl.),18. øld verður nevnd tíðarhvarvið hjá upplýsingini
upplýsingartíð	kv2e:upplýsingartíðintíðarskeið í evropeiskari mentanarsøgu í 18. øld(við denti á at skynsemi og fólkaupplýsing kundu hækka vitanarstøði og skapa størri tolsemi og framburð),upplýsingartíðin vendi sær ímóti fordómum, vanahugsan, pátrúgv, siðvenju og átrúnaðarligari fanatismu
upplæra	læra upp
upplæring	tað at læra upp, útbúgving
uppløga	uppiløga
uppløgutíð	tíð tá ið uppiløga er,uppløgutíð hevur verið, so at døgurðamatur fer at tróta
uppmálaður	málaður, avmyndaður
uppmáling	uppmáting
uppmáting	tað at máta upp
uppmerking	1tað at merkja (upp)el.gera merki (í e-t)2e-t ið skrivað ert.d.í lummabók, upprit,uppmerkingar í dagbókum mínum
uppmikil	við stórum yvirkroppi, prúður oman belti,uppmikil maður
uppmýldur	tannleysur,uppmýld kelling(Sv)
uppmøting	tað at vera á ávísum stað ávísa tíð til tess at taka lut á fundi, tiltakio.s.fr.,betri eftirlit eigur at vera við dugnaskapi, uppmøting og heimaarbeiði hjá bæði lærarum og næmingum
uppnakka	(sj.)uppinakka
uppnevna	(løgfr.)velja út, útnevna, tilnevna,umboðsmaður kongs uppnevndi løgrættuna
uppnos	1bráðkomin ókyrra, bráðkomið run,tað er eitt sovorðið uppnos2í osb. sumikki fáa uppnos1ikki fáa orðið uppel.fáa orðið fyri seg (av øðrum),hon tosaði so nógv, at eg fekk ikki uppnos fyri henni;teir vóru so illir, at vit fingu ikki uppnos2íhald, hvíld,hatta gevur sær ikki uppnos(arbeiðir uttan íhald, unnir sær ikki hvíld);eg havi so nógv at gera, at eg fái ikki uppnos(sleppi ikki frá);hann fær ikki uppnos, sum hann leikar í(rættir ikki ryggin)
uppnýggja	endurnýggja, endurbøta,okkum tørvar at uppnýggja teir gomlu heimavirkismátarnar;yvirtromin varð uppnýggjað
uppnýggjan	tað at uppnýggja, endurnýggjan
uppraðfesta	raðfesta hægri(enn e-t annað)
uppraktur	sírekja upp
uppráddur	í uppisetri (við),uppráddur fyri pengar
upprák	h3(stb.)upprákiðrákið fyrsta tíman av vestfallinum
uppreiddur	tilgjørdur at liggja í,uppreidd song(breidd);síreiða (2) upp
uppreiðing	tað at reiða upp song
uppreising	(átr.)uppreisn
uppreisn	1(átr.)tað at rísa upp frá deyða,uppreisn likamsins2tað at fáa æru og virðing aftur, tað at órættur verður afturbøttur,teir fingu uppreisn fyri tapið í fyrra dystinum(taptu fyrra dystin men vunnu tann seinna)
uppreist	(sj.)uppreistur
uppreistrarherur	herur ið ger uppreistur
uppreistrarmaður	maður ið ger uppreisturel.er við í uppreistri
uppreistur	(vápnað) stríðel.mótstøða móti valdi í landinum, uppreist,fólkið gjørdi uppreistur móti einræðisharranum
uppreittur	uppøstur, illur, argur;síreita
uppreksan	tað at reksa upp
uppreksing	tað at reksa upp
uppreksingarríma	ríma 1 har ið e-t verður uppreksaðFuglakvæðið eldra er mest ein uppreksingarríma(uppreksing av fuglum)
upprendur	1(bát.)hægri aftan og framman enn á miðjuni, høgur til endarnar, nógv yvirskorin,báturin er nógv upprendur (til endarnar);sbr.krappreistur2ið horvirel.peiggjar uppeftir, uppsneiddur,loftskotin høna hevur upprenda reyv;hava upprenda nøsvera kappnósin;sbr.uppskotin
uppringing	tað at ringja til (e-n),eg fekk eina uppringing
uppris	1brim, uppgangur,uppris í sjónum2(flutt m.)ófriður,øll skúlastovan kom í uppris, av tí at fólk ýldu í látri
upprisin	staðin upp frá deyðum
upprit	1stutt skrivlig orðing(t.d. til at minna seg á e-t),eg gjørdi nøkur upprit undir fyrilestrinum2innanhýsis frágreiðingel.skriv3stutt endurgáva(av e-m søgdum el. skrivaðum),upprit av orðaskiftinum[da.notat]
uppritsbók	uppskriftabók
uppriv	(sj.)uppgerð (4),hann gjørdi uppriv um málið
uppríkaður	ið hevur vunnið sær nógv ríkidømi
upprodnaður	rodnaður um alt andlitið
upprokning	tað at rokna upp, reksa 1
upproyndur	avoyddur við fisk, steinoyðin, trároyndur, troyttur,longumiðið varð upproynt og longan uppfiskað
uppróp	(sj.)áheitan,teir sendu eitt uppróp út til fólk
upprunafólk	fyrsta, upprunaliga fólkel.fólkaslag á einum stað, frumfólk,upprunafólkið í Nýsælandi eru maoriar
upprunafrøði	(málfr.)málfrøðigrein um uppruna at orðum og skyldskap teirra
upprunafrøðiligur	(málfr.)viðv. upprunafrøði,upprunafrøðilig orðabókorðabók ið greiðir frá uppruna at orðum og skyldskapi millum orða, skyldorðabók;upprunafrøðilig stavsetingstavseting ið byggir á eldri og upprunaligari orðasnið
upprunagreina	(málfr.)greina upprunan at,upprunagreina orð
upprunaligur	sum var (til) í upphaviel.frá fyrstu tíð, sum var fyrsturel.elstur, upphavligur,tann upprunaliga ætlanin er slept;tann upprunaliga orðingin er broytt;hj-liga
upprunamál	1tungumál ið tekstur upprunaliga er skrivaður á,skaldskapur á upprunamálinum(ikki í týðing)2mál sum frá upphavi var á einum stað, mál 1(2) hjá upprunafólki
upprunamerking	(málfr.)upprunalig merking, upprunatýdningur(sum seinni er broytt el. bronglað),upprunamerkingin av "stakkal" er "stavkall",t.e.maður, ið styðjar seg við stav
upprunaskapur	e-t ið upprunaligt er
upprunatýdningur	(málfr.)upprunamerking
upprunaverk	(bókm.)skaldaverk á upprunamáli (1), verk sum høvundur hevur skapað tað(móts. týtt, enduryrkt)
uppruni	e-t ið er fyrsta stigið í uppkomu, framvøkstriel.menning, byrjan (at e-m), upphav,uppruni at e-m;rót og uppruni orðanna
upprunnin	vorðin til,søgan tykist verða upprunnin í gomlum døgum
upprúgvaður	lagdur í rúgvuel.dunga
upprúm	(lívfr.)ovara rúm í hjarta,móts.innrúm
upprætnaður	(um krók o.tíl.)ið hevur mist skap av bugi,krókurin var upprætnaður
upprættur	1við rættum ryggi, upp afturá, fattur,eg kundi standa upprættur undir mønuni;fuglarnir sita so upprættir og bringufattir2rættur upp í loft,við upprættum hondum3(plfr.)(um legg)ið veksur beint upp í loft
uppsagdur	sagdur úr starvi
uppsagnarfreist	tíðarskeið til uppsagnartíðin tekur við(oftast ein mánaður)
uppsagnartíð	tíðin frá tí at ein sigur uppel.verður uppsagdur til uppsøgnin fær gildi
uppseldur	útseldur
uppseting	1tað at seta upp (sjónleik), pallseting,bæði uppseting og spæl eiga rós2tað at seta upp (4), orðing,teir vildu broyta uppsetingina, sum nevndin hevði gjørt3skipan av teksti, myndumo.tíl.á blaðsíðu
uppsetingarveður	(sjóm.)so ringt veður á sjónum at menn noyðast at seta upp
uppsettur	1festur upp,neytakonurnar stóðu við uppsettum skjúrti í køstunum2ið hevur sett upp,boða frá uppsettum bátum3(sjónl.)pallsettur
uppsiða	læra (e-n) góðan siðel.atburð,hon uppsiðar okkum til at avnokta gudloysi
uppsiðing	1tað at uppsiða2góður siður og atburður,ungdómurin fekk góðan mannakunnleika, mentan, uppsiðing og góðan hugsanarhátt
uppsikt	eygnabrá, upplit, yvirbregði(t.d. av smædni el. ringari samvitsku),hava ringa uppsikthyggja niður, rennael.skjóta eyguni, kveita
uppsitarahús	hús hjá uppsitara
uppsitari	ein ið hevur jørð í hondum (fyri annan), ein ið situr fyri jørð hjá øðrum
uppsíða	síða (á e-m luti) ið vendir upp, ovara síða
uppsjóvarfiskur	(fisk.)fiskur ið heldur til uppi í sjónum,móts.botnfiskur
uppskakaður	forfardur, hvokkin,øll eru so uppskakað av krígnum
uppskakandi	ræðuligur, øtiligur, skelkandi,uppskakandi tíðindi
uppskering	tað at skera upp grind
uppskerptur	(um kjøt, fisk o.tíl.)vorðin (ov) turrur og harður
uppskipaður	(um farm)tikin upp úr skipiel.báti, lossaður,farmurin verður uppskipaður í Havn
uppskipan	tað at skipa farm upp úr skipiel.báti, lossing
uppskiping	uppskipan
uppskjørkaður	styggur,ærin er uppskjørkað;sbr.skjørkast
uppskorin	1(um krov)skorin sundur í partarel.stykki til at býta millum eigararnar2(um hval)sum tvøst og spik er skorið uttan av,hvalurin er uppskorin3(um torvheiðar)við ongum mógvi eftir at skera,nógv uppskornir torvheiðar4(um haga)við veitum grivnum til at veita vatnið burtur,uppskorin hagi
uppskorpnaður	vorðin turrur og harður
uppskot	framløgd ætlan (til loysn, skipanel.lógo.s.fr.),leggja uppskot fyri tingið;uppskot um nýggja stavseting;seta fram uppskot;lógaruppskot;vera í uppskotivera skotin upp;hann er í uppskoti til formann
uppskotin	1upprendur,báturin er væl uppskotin;nøsin var reyð og uppskotin2í uppskoti
uppskotssetari	ein ið setur fram uppskot
uppskrift	1e-t ið er uppskrivað, skrivlig orðing,uppskriftir av kvæðum2leiðbeining til at gera e-t eftir(serst. mat),baka kaku eftir uppskrift
uppskriftabók	(lítið) skrivihefti til upprit, lummabók, uppritsbók
uppskrivaður	skrivaður niður á pappír,søgurnar eru uppskrivaðar eftir manna munni
uppskrivari	ein ið skrivar upp e-t(ið t.d. hevur verið varðveitt á manna munni)
uppskriving	1tað at skriva upp, skráseting,kvæðauppskriving2(búsk.)tað at hækka virði á e-m(t.d.gangvirði, ognum),móts.niðurskriving;sbr.virðishækkan
uppskrýddur	væl pyntaður, latin í besta skrúð, uppstásaður, fínur (5),(orðt.)hann, ið fer uppskrýddur í flór, fer onkuntíð skitin í kór
uppskræddur	skræddur, rivin, álaður sundur,dalurin er ljótur, uppskræddur
uppskurðarseyður	seyður ið verður uppskorin(t.e. krovið skorið sundur í partar at býta millum eigararnar)
uppslag	1lýsingel.kunngerð sligin upp á vegg, steyra, talvuo.tíl., uppfesti2brot (9) á plaggi(t.d. á brók el. ermu)
uppslagstalva	talva at heingja uppsløg á
uppsleptur	sísleppa upp
uppslitin	slitin á hol, slitin upp í teskel.uppi í teski
uppsloppin	fluttur upp í hægri skúlaflokk
uppsmogin	(stb.)uppetin av maðki,ærin lá heilt uppsmogin,sísmúgva
uppsmoygdur	uppbrettur upp um alboga,við uppsmoygdum ermum
uppsnákaður	í fínum klæðum og væl greiddur, væl pyntaður, uppsnollaður,hon var uppsnákað í stuttum skjúrti og silkisokkum
uppsneiddur	upprendur,við uppsneiddari nøs(kappnósin)
uppsnissaður	besnissaður
uppsnollaður	uppsnákaður,hon var so uppsnollað
uppsnúgvin	(plfr.)(um legg)ið veksur fram eftir jørð áðrenn hann veksur uppeftir
uppsókn	rannsókn(eftir e-m horvnum),eftirkannan,gera uppsókn um e-t
uppspentur	spentur á tamb,hon stardi upp á hann við uppspentum eygum
uppspinnari	ein ið spinnur e-t upp, upphavsmaður,helst er hann uppspinnari til søguna
uppspretta	kelda sum á rennur úr, uppkoma (3)
