U,u1	1málljóð2bókstavur
undgik	
undgælde	hatta, ið hann hevur gjørt, man fara at koma honum afturumaftur(el.aftur um brekku); hann man fara at drekka tað uppaftur;han kom til at u.for sine dumhederhann kom at bøta fyri dáragerðirnar
undgældelse	tað at eitt kemur (einum) afturumaftur, tað at ein kemur at bøta fyri eitt
undgå	sleppa (sær) undan, sleppa frá, skáka sær undan, hava seg undan, koma sær undan, kreppa seg undan, umrinda(st), bera seg undan; skýggja;u. sin skæbnefara(el.sleppa) undan lagnuni;u. et slagskáka sær undan slagi,(eis.)kreppa seg undan slagi;man undgår ikkeskæbneneingin fer undan lagnuni;hvis jeg kanu. detsleppi eg undan tí;jeg kunne ikke u. athøre, hvad de sagdeeg slapp ikki undan at hoyra tað, ið tey søgdu;det kan ikke undgåstað umber(el.umberst) ikki;søge at u. (folk,sygdom)skýggja (fólk, sjúku);u. kontakt medluft!latið ikki luft koma at!
undine	(gudal.) vatndís, havfrúgv
undkomme	sleppa, sleppa undan, komast undan; sí eis.undslippe
undlade	lata vera við (at gera okkurt, ið ein hevur skyldu at gera);hvis vidnet undlader at indfindesig, skal han betale bødekemur vitnið ikki, skal tað gjalda bót;u. at efterkomme et påbudikki gera eftir boðum;u. at overbringe et budskableggjast á boðini;jeg vil ikke u. at meddele dig,ateg má siga tær frá, at; eg fari at siga tær frá, at
undladelse	(løgfr.) óvirkni, undanlát
undladelsesdom	(løgfr.) undanlátsdómur
undladelsesforbrydelse	(løgfr.) óvirknisbrotsverk
undladelsessynd	(tað ikki at hava gjørt okkurt, ið ein eigur at gera) undanlátssynd, óvirknissynd
undlive	drepa, beina fyri;(serst.ífl.m.) det rygte må vise at få undlivetvit mugu royna at beina fyri hasi sleygisøguni
undløbe	(gl.) rýma, flýggja, sleppa leysur (ts. s.undfly);der er en fange, der er undløbet fra fængseletein fangi er rýmdur úr fongslinum
undre	1undra;hans opførsel undrer migframferð hansara ger meg bilsnan (undrar meg, tykirel.tykist mær løgin);det undrer ikketað er ikki undur í, ei dáni í, tað er ikki at undra;det undrermig, at vejret holderløgið er tað, at tað ikki er farið at regna enn(el.at hann ikki hevur loyst avfallið enn);det skulle ikke u. mig, om det helegik i vaskeneg hevði ikki verið kløkkur, um einki spurdist burturúr2(afturbent)jeg undrer mig over resultateteg undrist á úrslitið, úrslitið undrar meg, úrslitið tykir(el.tykist) mær margháttligt3(tolsøgn)undresundrast, verðael.gerast bilsin (kløkkurel.ovfarin)man må nok undres overeg undrist á, løgið er tað, meg undrar
undsagde	
undsatte	
undse1	(bara afturbent)u. sig forsmæðast fyri, ikki koma sær (til), einum kemst við;u. sig for at gørenogetikki koma sær at gera eitt, komast við nakað (einum kemst við);han undså sig ikke forat bede sin kæreste om pengehann smæddist ikki(el.hann komdi sær) at biðja gentuna um pengar
undse2	smædni, blúni, firni(kk),firning /-rn-/
undseelig	smæðin, lítillátin, lítillátaður, blúgvur, smeikin, firningarsamur /-rn-/;være u.vera smæðin;etundseligt smilsmæðið bros;ikke være u.ikki smæðast, koma sær fram;u. personsmæðið fólk, ein smeikja
undseelse	smædni, lítillætni
undsige	(skaldsk.) siga upp, kvetta við, siga seg leysan úr; svíkja, venda sær frá einum, venda einum bakið, sleppa (einum) upp á fjall, kasta ein, sláa hondina av (einum), skúgva (ein) burtur;hanundsagde sin bedste venhann kvetti við sín besta vin
undskylde	1orsaka, fyrigeva, bera yvir við (einum), umbera, bera í bøtuflaka fyri (ein); halda einum til góðar; bera seg undan við einum;u. énorsaka ein, bera í bøtuflaka fyri ein, taka útyvir við einum;have noget at u. sig medhava okkurt at umbera seg við;man må u. ham, han vedikke bedrevit mugu bera yvir við honum, hann veit ikki betur;undskyld, hvis jeg ulejliger Demorsakið meg (berið yvir við mærel.tygum mugu orsaka), at eg órógvi tygum;hav mig undskyldthaldið mær til góðar;undskyld min nysgerrighedhann spyr, ið einki veit;da jeg indbød ham,undskyldte han sig med, at han havde travlttá ið eg beyð(tlm.bjóðaði) honum, bar hann seg undan við tí, at hann hevði so nógv at gera(el.um at vera);De må meget have mig undskyldttygum mugu halda mær til góðar(t.d.men hasum trúgvi eg ikki);jeg undskylder, at jeg kommer for sentorsakið meg, at eg komi ov seint(el.at eg eri so seinur)2[lh nútsuml]et undskyldende smilumberandi bros;der var flere undskyldendemomenterhar var vóru mong umberandi viðurskifti
undskyldelig	fyrigevandi, fyrigeviligur, umberandi;det er en u.fejltagelsetað er mistak, ið tekst útyvir (sum kann umberastel.fyrigevast)
undskyldning	umbering, fyrigeving, orsaking, orsakan; undanførsla, umbering, undanbersla, hjáputur, undanbering, viðburður, undanburður;der er ingen u.tað er ikki bøn fyri tí, her er eingin bøn, har er hvørki bøn ella løn;deter bare en dårlig u.hatta er bara hjáputur;hankommer altid med undskyldningerhann kemur altíð við undanførslum;gøre undskyldninger forénbera í bøtuflaka fyri ein;du må gøre ham enu.tú mást biðja hann um umbering;(søge at)finde på undskyldningerroyna at káva út yvir eitt;have til u.bera við;som u.viðburðarvís /vibbera-/
undslippe	sleppa(t.d.grindin slapp), sleppa burtur, sleppa undan, flýggja, rýma;det var et Gudsunder, at han undslaptað var eitt Guds undur, at hann slapp væl frá tí;han undslap ikke sinskæbnehann fekk ikki skákað sær undan lagnuni;der undslap ham en edhann svór við, hann treiv í ein eið(el.bøllutan);en undsluppen(el.en undsluppet fange)burtursloppin (rýmdurel.flýddur) fangi
undslå	(bara í afturbendum sniði)u. sigbera seg undan, biðja seg undan, berast undan, draga seg undan, dragast undan, draga undan, hava seg undan, sigast undan, siga seg undan(el.frá);u.sig forbera seg undan at...;han undslog sighann bar seg undan, hann helt seg ikki til, hann dróst undan;han undslog sig ikkehann hevði seg ikki undan, hann helt seg til
undsætning	hjálp;helikoptere kom befolkningen i detoversvømmede område til u.tyrlur komu fólkinum í undirflødda landspartinum til hjálpar
undsætningsekspedition	hjálparferð
undsætningshold	hjálparlið
undsætte	koma (einum) til hjálpar, bjarga, fría
undt.	(st.) undtagelse el.undtaget
undtage	taka undan, ikki taka við, ikki rokna uppí, ikki telja við;når man undtager(el.når undtages)Petertá ið Petur ikki verður uppíroknaður, tá ið Petur er frá
undtagelse	undantak;uden u.við ongum undantaki,undtagelsen bekræfter reglenundantakið prógvar regluna;en u. fra regleneitt undantak frá regluni,gøre en u.gera eitt undantak, gera frávik, slaka, vera lagaligur;med u. affrároknaður, umframt, undantikin, ikki uppíroknaður, tá ið (eitt) er undantikið, tá ið (eitt) er frá
undtagelsesbestemmelse	undantaksregla
undtagelsesløs	við ongum fráviki, við ongum undantaki
undtagelsestilfælde	undantaksføri
undtagelsestilstand	undantaksstøða, krígsrættarstøða
undtagelsesvis	bara einael.hesa ferð, hendingasjáldan, hendingaferð, sum kann henda
undtagen	1alle u. énallir uttan ein;alle ministrene u. én(el.én u.)allir ráðharrarnir uttan ein2(sum inngangur til eykasetning) uttan, uttan so;gør det ikke, u. (hvis) du har lystger tað ikki, uttan so at tú hevur hug;han snakkede om altmuligt, u. om det, som jeg ville videhann tosaði um bæði líkt og ólíkt, uttan tað ið eg vildi vita
undtog	
undulat	(dý.) undulátur(Melopsittacus undulatus)
undulere	danda
undvegne	(eis. løgfr.)den undvegnetann rýmdi, tann flýddi
undvige	rýma, sleppa leysur, sleppa til rýmingar; skáka sær undan, sleppa sær undan, hava seg undan, kreppa seg undan, koma sær undan;fangen undveg fra fængsletfangin rýmdi úr fongslinum;han undveg slagethann skákaði sær undan slagnum, hann krepti seg undan slagnum;give et undvigende svarsvara gjánka(s)liga, tosa uttanum, smoyggja(el.skáka) sær undan at svara beinleiðis, svara leysliga, svara so hissini
undvigelseshastighed	(hjá rakett) undanferð (tann ferð, ið rakett má hava fyri at vinna á atdráttarmegi jarðar ella aðrari gongustjørnu og detta ikki niður aftur)
undvigemanøvre	tað at skáka sær undan(t.d.at verða árendurel.at renna á)
undvære	vera fyri uttan, umvera;jeg undværer nødig minmorgentemorgundrekka má eg fáa;kan du u.en cigaret?kann eg fáa eina sigarett?;det synville jeg ikke u. for megethasa sjónina vildi eg ikki mist
undværlig	sum ikki tørvar, sum er ikki tørvur á
UNESCO	(st.)UnitedNationsEducational,Scientific, andCulturalOrganization, Forenede Nationers Organisation for Undervisning, Videnskab og Kultur Undirvísingar-, Vísinda- og Mentanarstovnur Sameindu Tjóða
unfair	ósømiligur, ódámligur, óreiðiligur, órættiligur, órímiligur, ómansligur;bruge u. metodernýta ljóta(el.ómansliga) framferð; gera (okkurt), ið er ikki fyri mark
ung	ungur (yngri, yngstur), (ungur og óroyndur) grønur;en u. mandungur maður;en u. pigeung genta;et ungt menneskeungt fólk, ungmenni;ganske u.blaðungur, lágur í gøtuni;være u. afsindhava ungt sinnalag, vera ungur í sinni(el.sinninum);være meget ung (og lille)vera lítil og klantrasligur, ikki standa (stíga, vallael.næla) upp úr rossaspori;i de unge årá ungum árum;holde ungt selskabhalda veitslu fyri teim ungu;unge mand!hin rádni!;unge Poul Hansenungi(el.yngri) Pól Hansen,(eis., tlm.)lítli Pól;detunge DanmarkDanmarkar ungdómur;dengamle evig(t) unge sandhedtann gamli, royndi sannleikin;den unge stat Pakistannýstovnaða ríkið Pakistan;de ungetey ungu, unga fólkið, ungdómurin;de unge af i dagtey, sum nú eru ung;(miðst) han er yngre end hunhann er yngri enn hon;en yngre dameein rættiliga ung kona;(hást) hun er den yngste i flokkenhon er yngstel.tað yngsta) av børnunum
ung-	1(í fakligum heiti)ungarbejder, ungkok,ungtjener,síhesiorðini2(um dýr og urtir)ungbøg, ungskov, ungsæl,síhesiorðini3(byggl.,um byrjanina í stílskeiði)ungbarok,ungrenæssance,síhesiorðini4(um ungu limirnar í flokki)ungkommunist,ungsocialist,síhesiorðini
ungarbejder	ungur arbeiðsmaður
ungarer	ungari, ungarari, ungverji
Ungarn	(sern., landafr.)Ungarn
ungarsk	ungarskur, ungverskur
ungbarok	ungbarokkur
ungbøg	ungt bókartræ
ungdom	1ungdómur, ungu árini, unglingaár;i min u.tá ið eg var ungur;min grønne u.ungdómsdagar mínir, óvitaárini, ungdómsár míni;iungdommens blomstí ungdómsblóma;være udeover den første u.nærkast miðjum aldri2unga fólkið, ungdómur, unglingar, unglingafjøld, ungfólk;landets u.landsins ungdómur, unga fólkið í landinum;ungdommendansede til den lyse morgenunga fólkið dansaði til tann ljósa morgun
ungdommelig	ungur í sinni, ungsintur; ungdómligur, ungligur;enendnu u. dame på 70ein unglig 70 ára gomul kona;ungdommeligt letsindtað at vera ungur og brasin(el.óforsíggin);et noget ungdommeligtsynspunkteitt heldur óbúgvið sjónarmið
ungdoms-	ungdóms-, unglinga-
ungdomsarbejdsløs	ungdómsarbeiðsleysur
ungdomsarbejdsløshed	arbeiðsloysi millum ung, ungdómsarbeiðsloysi
ungdomsbande	unglingaharkalið, unglingarann
ungdomsbevægelse	ungdómsrørsla, unglingarørsla
ungdomsbillede	ungdómsmynd
ungdomsblad	unglingablað, ungdómsblað
ungdomsbog	ungdómsbók, bók fyri ung
ungdomsbolig	ungdómsbústaður
ungdomscenter	ungdómsmiðstøð
ungdomsdrøm	ungdómsdreymur
ungdomserindringer	ungdómsminni
ungdomsforbryder	hálvvaksin brotsmaður, ungur brotsmaður
ungdomsforelskelse	ungdómskærleiki
ungdomsforsorg	ungdómsforsorg
ungdomsfængsel	unglingafongsul, ungdómsfongsul
ungdomsgaranti	ungdómsveðhald
ungdomsgård	ungdóms(samkomu)hús, samkomuhús fyri ung, miðstøð fyri ungfólk
ungdomsherberg	vallaraheim (fyri ung), ungdómsvistarhús
ungdomshjem	ungdómsheim
ungdomshus	síungdomsgård
ungdomsklub	ungdómsklubbur, klubbur fyri ung
ungdomskriminalitet	unglingamisbrot
ungdomskultur	ungdómsmentan, mentan hjá teim ungu
ungdomslitteratur	bókmentir fyri tey ungu, ungdómsbókmentir
ungdomsliv	ungdómslív
ungdomsoprør	ungdómsuppreistur, 68-uppreisturin
ungdomsoprører	ungdómsuppreistrarfólk
ungdomsskole	ungdómsskúli, unglingaskúli (til teirra millum
ungdomssløvsind	ungdómsdølskni, ungdómsdølskleiki, skisofreni(dementia præcox)
ungdomstid	unglingaár
ungdomsven	ungdómsvinur, vinfólk frá unglingaárunum
ungdomsydelse	unglingaveiting, útbúgvingarstyrkur til ungfólk (tey 16 til 17 ára gomlu)
ungdomsår	unglingaár, ungdómsár
unge	1(um dýr) ungi, avkom, (hjá summum bjargafuglum) pisa, (hjá mús) mýslingur;ræveungerevshvølpur;føde levende ungereiga livandi avkom;grindehvalens u.grindahvølpur, leiftur,lomviens u.lomvigapisa;sælens u.nósi;der er u. i æggeteggið er í unga, eggið er ungað, eggið er í stropa2(um børn) óviti, barn, barnsungi;en dum u.óargaligt barn, óargabarn;en dejlig u.fitt barn;ungerne er på landetbørnini eru á bygd
ungefær	(gl.) um leið;han er u. 50 århann er um tey 50
ungersvend	(skemt.) unglingi, ungur sveinur
ungkarl	gamal drongur, piparsveinur, ógiftur maður, leysur kroppur;han er u. (eis.)hann gongur sum ein stakhosa
ungkarlelejlighed	einstaklingaíbúð, lítil íbúð
ungko	kvíga
ungkok	ungur kokkur
ungkreatur	ungneyt
ungkvæg	ungneyt
ungmand	(sigl.) síjungmand
ungmø	(skaldsk.) ungmoy
ungpigeagtig	gentu-, gentulig
ungpigebog	gentubók
ungpigekjole	gentukjóli
ungpigekulør	gentudæmi
ungpigetid	gentutíð
ungpigeværelse	gentukamar, gentuverilsi
ungrenæssance	ungendurburðartíð, ungrenesansa(serst.um Firenze 1400-1450)
ungskov	nýskógur, ungur skógur, ungskógur
ungskue	ungdýrastevna (sýning av ungum dýrum)
ungsæl	nósi, ungur kópur, svidningur
ungtjener	nýlærdur tænari
uni	Suniversitet
UNICEF	(st.)UnitedNationsInternationalChildren's (Emergency)Fund, Forenede NationersBørnefondBarnagrunnur Sameindu Tjóða
unified-field	einøki
unified-field theory	einøkisástøði
uniform1	búni, eyðkennisbúni, tænastubúni, herbúni;daglig u.gerandisbúni;en soldat i u.hermaður í búna;stuepigeuniformstovugentubúni;piger, der løber efter uniformergentur, ið fjeppast uppi í hermonnum
uniform2	einsháttaður, eintáttaður, av sama slag
uniformere	1gera út við búnum, herklæða, eyðkennisklæða2einvenda, einshátta, eintátta
uniformisme	einvending, einvendingarstevna, stevna, ið miðar eftir at einvenda(el.gera einsháttaðan);man kan ikke ved lov gennemføre sproglig u.tað ber ikki til við lóg at einshátta málið
uniformsfrakke	hermansjakki, eyðkennisjakki
uniformskasket	hermanskaskett, eyðkenniskaskett
uniformsmærke	búnamerki, eyðkennismerki
unik	sum er eindømi, eindømis-, makaleysur
unika	lutur, ið bara er í einum eintaki
unikum	eindømi; ein, ið stingur seg framúr; einstøðingur;den pige er da et u.handa gentan er eitt flogvit (er eindømiel.er sjáldsom)
unilateral	einsíðaður
union	(ríkis)felagsskapur, ríkjasamband, samríki, samveldi, samgonga, samskipan, samtøka, samband, samtak;den nordiske u. blev stiftet i1397 i Kalmarnorðurlendski ríkjafelagsskapurin varð stovnað í Kalmar í 1397;Dansk BoldspilunionDanska Fótbóltssambandið
unionist	1(am., sø.)samveldisfólk (fólk, ið stuðlaði Sambandsríkjunum (norðurríkjunum), meðan innanlandskríggið 1861-65 leikaði á)2(sø.)fólk, sum ikki vildi, at Írland skuldi fáa heimastýri; sambandsfólk3samveldisfólk í Norðurírlandi á okkara døgum (við somu politisku stevnu sumunionist 2)
unionsborger	borgari í Evropeiska Samveldinum
unionsborgerskab	borgaraskapur í Evropeiska Samveldinum, samveldisborgaraskapur
unionsflag	samveldisflagg
unisex	kynsjavnur, eins fyri bæði kyn
unison	(tónl.) einraddaður
unitar	(átr.) unitarur (gudsjáttari, ið ikki tekur undir við tríeindini, og at Kristus er guddómligur)
unitarisk	unitarskur, unitariskur, unitara-
unitarisme	unitarisma, síunitar
United Kingdom	
univ.	(st.) universitet
univers	1alheimur;måske findes der talrige beboedekloder i universetkanska eru nógvar klótur í alheiminum, sum lív er á2hugaheimur hjá einstaklingi;i hans u. betyderdet ingentingí hansara huga(heimi) er hatta einki
universal	síuniversel
universalarving	(løgfr.) einkaarvingi
universalbegreb	(heimsp.) algilt hugtak, algongt hugtak
universalbenævnelse	alheimsheiti
universalgeni	flogvit á øllum økjum
universalisme	1(heimsp.)universalisma (stevna, sum miðar eftir at fáa í lag, at tað, ið einstaklingurin strembar eftir, skal gagna fólkinum, landinumel.mannaættini, móts.individualisme)2(átr.)alnáði (trúarlæra, ið heldur uppá, at Gud vil frelsa øll menniskju, ikki bara summi útvald)
universalitet	tað at vera algildur, tað at fevna um alt; fjølbroytni, margbroytni
universalkonstant	(alisfr.) alheimsóbrigdil, alheimskonstantur
universalled	alliður
universallovgivning	algild lóggáva
universalløsning	heildarloysn
universalmiddel	heilivágur, ið lekir allar sjúkur, albataevni, alra meina bót, universalmiðal
universalmodtager	(útv.) alstreymslurt, universalmóttakari
universalnøgle	skiftilykil
universalromantik	(bókm.) felagsandin, andin í náttúruni (um aldaskiftið 1800 hildu universalromantikarar, at bæði menniskju og náttúra vóru íblást av sama anda)
universaltang	rørtong
universaltid	alheimsklokkutíð
universel	1alheims-, alfevndur, algildur, algongdur2almennur, vanligur
universitet	fróðskaparsetur, lærdur háskúli, universitet
universitetsadjunkt	adjunktur á fróðskaparsetri (settur í fýra ár)
universitetsbestyrelse	fróðskaparsetursstýri;medlem af u.limur í fróðskaparsetursnevnd
universitetsbibliotek	fróðskaparsetursbókasavn
universitetscenter	universitetsdepil, universitetssentur (fróðskaparsetur við aðrari námsskipan enn vanligu fróðskaparsetrini)
universitetsdirektør	fíggjarstjóri á fróðskaparsetri
universitetseksamen	embætisprógv, universitetsprógv
universitetsforskning	gransking á fróðskaparsetri
universitetshospital	fróðskaparseturssjúkrahús
universitetslektor	lektari á fróðskaparsetri
universitetslærer	lærari á fróðskaparsetri (felagsheiti fyri professarar, dosentar, lektararosfr.)
universitetsprogram	fróðskaparseturslestrarskrá
universitetsrektor	rektari á fróðskaparsetri
universitetssekretær	fróðskaparsetursskrivari
universitetsstuderende	lesandi á fróðskaparsetri
universitetsstudium	lestur á fróðskaparsetri
universitetsuddannet	sum hevur prógv frá fróðskaparsetri, universitetslærdur
universitær	fróðskaparsetri viðvíkjandi, fróðskaparseturs-
UNIX	(teld.) stýrikervi, sum ger, at fleiri forrit kunnu nýtast samstundis
unode	óvani, ósiður, ónolla;unoder(eis.) glappakøst(t.d.hesi glappakøstini hevur hon fingið, av tí at hon ongantíð hevur hitt nakran, sum ikki hevur kropið fyri henni);han havde den u. at snøftehann hevði tann óvana fyri at ganga og snýsa;lav nuikke unoderskikkið tykkum(el.skikka tær) væl, havið eingi ólæti fyri(el.ongar ónollur) fyri
unormal	óvanligur; ikki rættsiktaður, órættvorðin, ikki sum hini, ónormalur;han har en u. hovedformhann hevur óvanligt høvuðskap;unormalt storyvirvaksin
unoteret	óskrásettur, ikki skrásettur;handel med u.papirerhandil við ikki skrásettum virðisbrøvum
un poco	(tónl.) eitt sindur, eitt vet, eitt kvink
unse	síounce
unteruns	hann er, millum okkum sagt, eitt neyt
unuanceret	fábroyttur, einsháttaður, eintáttaður, einvorðin, einskendur, fáskiftur, langdrigin, langligur, einsljóðandi, fátæksligur;beskrivelsen er enkelog u.lýsingin er einføld og fábroytt;u. sprogbrugfátækslig málnýtsla
unyttig	ónyttigur, ónýtur, nyttuleysur, sum ikki ger gagn, gagnleysur, gagnlítil; innantómur;etunyttigt væsenein ónytta;unyttige narrestregerónyttufjas;unyttigt kramónyttufjas, ónyttufras
unægtelig	1ónoktandi;han er u. blevet tykkerehann er tjúknaður(el.framfarin), ikki sigst annað(el.tað noktast ikki)2[sumhj] ónoktiliga
unævnelig	ónevnandi, sum ikki er havandi á munni, sum ikki kann takast upp á tungu; ólýsandi, sum ikki kann lýsast;unævnelige rædsler ikoncentrationslejreneónevnandi ræðuleikar í fangalegunum;(skemt.) de unævneligeeinar undirbuksur
unævnt	ónevndur, navnleysur, sum ikki er nevndur
unødig	óneyðugur, tarvleysur;gør dig ikke unødigt besværger tær ikki óneyðugar ónáðir, tú skalt ikki órógva teg óneyðuga;(løgfr.) u. trættetarvleys træta, dómur fyri trætu í tarvloysi
unødvendig	óneyðugur, tarvleysur, sum ikki er fyri neyðini
unødvendighed	tarvloysi
unøjagtig	óbeinur, ikki beinur, leysligur, ónettur, óneyvur, ónærkvæmur, rangur;referatet erunøjagtigtfrásøgnin er ikki neyv (beinel.eftirfarandi)
unøjagtighed	óneyvleiki, ónærkvæmni
unåde	ónáð(i);falde i u.ikki longur vera væl í øgn við ein, falla í ónáð;overgive sig på nåde og u.geva seg yvir treytaleyst
unådig	filmurin fekk ómildan dóm;hun tog mig megetunådigt op, at jeg sagde min meninghon varð(el.gjørdist) firtin(el.ill), tá ið eg bart út segði, hvat eg helt
uofficiel	óalmennur; óembætisligur;en u. meddelelseóalmenn fráboðan
uomgængelig	1sum ikki slepst undan;det er en u.nødvendighed atikki slepst undan at;det er en u.nødvendighed, at du kommerhar slepst ikki undan, tú mást koma2illur í sær, ólagaligur, sum er ringur at hava við at gera, óviðeiriligur,(tlm.)ómedgjørligur;haner så u.hann er so illur í sær(el.óviðeiriligur)
uomstødelig	óvikandi, sum ikki vikast, sum er rimmarfastur, sum ikki rekst aftur, sum ikki ryggjast, sum ikki kann avsannastel.mótprógvast;uomstødeligtbevisprógv, ið ikki vikast;det er en u.kendsgerningtað er ein royndur lutur; tað ryggjast ikki
uomtalt	sum ikki er nevndur, ónevndur
uomtvistelig	sum ikki svitast, óreingiligur, vissur, sum einki kjak er um, sum eingin ivi er um, sum noktast ikki, sum ryggjast ikki, sum er ivaleysur
uomtvistet	sum einki kjak er um, sum eingin ivi er um, sum er einum púra greitt
uopdragen	óvandur, ófólkaligur, óflongdur, illa vandur, óskikkiligur;u. personóveningur, óvenjingur;enuhøflig og u. drengófólkaligur og óvandur drongur
uopdrivelig	sum ikki fæst (faturel.hendur á)
uopdyrket	1óveltur, ódyrkaður2(fl.m.)ókannaður;et u. forskningsområdeókannað granskingarøki
uopfordret	sjálvboðin, sjálvkravdur, ókravdur, av sær sjálvum, óbiðin, óboðin, sjálvbiðin, av sínum eintingum, av sjálvsheintingum;handle u.gera (eitt) av sínum eintingum
uopfyldt	ikki nøktaður, ónøktaður,(tlm.)ikki uppfyltur, óuppfyltur;et u. behovikki nøktaður(el.ónøktaður) tørvur;u. betalingsforpligtelsegjaldstreytir, sum ikki eru loknar
uopholdelig	1støðugt, alsamt, alla tíðina, javnt og samt2alt í einum, beinanvegin, alt fyri eitt, í stundini, straks, í løtuni;det indkaldte mandskabskal u. begive sig til kasernerneinnkallaða manningin skal beinanvegin fara til hermannabúðirnar
uophørlig	1støðugur, áhaldandi, sum er í heilum, sum ikki slitnar sundur, sum ikki helmar í, alsamur, uttan íhald, uttan steðg(el.slit);fortet var underu. beskydningskotið varð eftir skansanum uttan íhald2[sumhj]í heilum, javnan, javnt og samt, við ongum steðgi, uttan steðg
uopklaret	ógreiddur, óloystur
uoplagt	illa til passar, illa hirsin, illa fyri, illa útborin, óupplagdur;han var u. og ville ikke være medtil at spille korthann var illa til passar og hevði tí ongan hug at spæla kort;u. om morgenenmorguntungur
uoplyst	ómentaður, óupplýstur, lítið vitandi, óvitandi, lítið lærdur, sum veit lítið, lítið mentaður; ólýstur;befolkningen er ganske u. om defaktiske forholdfólkið veit ikki(el.einki um), hvussu vorðið(el.støðan) er í landinum
uopløselig	óloysandi, óupploysandi, sum ikki loysist upp;uopløseligt saltsalt, ið ikki loysist upp
uopløst	sum ikki er greiddurel.loystur, sum eingin loysn er funnin á, óloystur, ógreiddur; ikki upploystur
uopmærksom	óansin, gáloysin, óskettin, áhugaleysur, sum ikki fylgir við;en u. elevnæmingur, ið ikki fylgir við;en u. ægtemandlítið umhugsin maður
uopnåelig	ófáiligur, sum ikki fæst (faturel.hendur á), sum ikki kann fáast;en u. lykkeeydna, ið ikki fæst
uoprettelig	óbøtiligur, óbótaligur, óbøtandi, sum ikki bjargast, sum ikki gerst aftur;u. skadeóbøtiligur skaði;dette har forvoldt u. skade for land og folkhetta hevur volt óbótaligan skaða fyri fólk og land
uoprigtig	óreiðiligur, óærligur, falskur, ósannur, sum fer við svikum, óálítandi
uoprigtighed	falslæti
uopsagt	være i en u. stillingsita í óuppsøgdum starvi
uopsigelig	ikki uppsigandi, sum ikki kann sigast upp;en u. kontraktsáttmáli, ið kann ikki sigast upp
uopskåren	óuppskorin
uopslidelig	1óslítandi, sum ikki slítist upp,(t.d.um klæði[r]) sum ikki fæst endi á2(fl.m.)sum ein ikki keðist av;en u. vittighedskemt, ið ein ikki keðist av
uopsættelig	bráðneyðugur, sum trokar á, sum hevur skund, sum leikar á
uorden	ólag, fløkja, óskil, órudd, ógreiða, ógreiðsla, brongl, ringt skil, ringt hússetur,(bíbl.)skipanarloysi;der var u. i regnskabetroknskapurin var ógreiður;motoren er i u.motorurin er í ólagi;alle papirerne lå i densyndigste u.øll skjølini(el.pappírini) lógu hurl um burl; pappírini lógu og sløddust hvørt um annað;den vildeste u.hurlivasi;bringe u. ifløkja, loypa surr í, skepla, søpla saman, rupla (um);komme i u.koma í ólag
uordentlig	óruddiligur, ófantaligur, ólíkligur, ótrivaligur, fløkjaligur, funsutur, ruffutur, óordiligur, óhampiligur, óvildarligur, grollutur, russasligur(t.d.í russasligum klæðum);en sjusket og u.medhjælperófantaligt og ótrivaligt hjálparfólk;u. itøjetófantaligur, ófantaliga ílatin, fjøsutur, russasligur;u. klædt persondassi, russur, ótriski, flókatrøll;u. klædt kvindefjøgga;u. personótrivavætti, órøkjuvætti;u. kvindeneita, órøkja, fesja;uordentligt kvindemenneskeharkakleyv, travsa
uorganiseret	1óskipaður2(sum ikki er limur í yrkisfelagi) óskipaður;u.arbejdskraftarbeiðsmegi, ið ikki er skipað í yrkisfelag
uorganisk	(evnafr.) ólívrunnin, óorganiskur;u. kemiólívrunnin evnafrøði
uortodoks	1(átr.)ikki rætttrúgvandi2óvanligur, sum fer aðrar leiðir, sum brýtur upp úr nýggjum;bruge uortodokse midlernýta óvanlig ráð
uoverensstemmelse	trætumál, ósemja; mismunur, ójavni, ósamsvar, ósambæri;(løgfr.) gemytternes u.sinnalagsósemja, lyndismunur
uoverensstemmende	ósambæriligur, ikki samsvarandi, ósamsvarandi
uoverkommelig	sum ikki kemst út yvirel.upp fyri;uoverkommeligt arbejdearbeiði, ið ein ikki er mentur
uoverlagt	óætlaður, ikki tilætlaður, óviljaður, sum ikki er við vilja;gøre noget u.taka óráð fyri
uoverskuelig	sum ikkiel.illa fæst yvirlit yvir;en u. mængdenøgd, ið ikki fæst skil á;i en u. fremtidlongri fram í tíðina, enn nakar dugir at meta(el.nakar hómar)
uoverstigelig	sum ikki er vinnandi á, sum ikki slepst uppum, ógongdur
uoversættelig	ótýðandi
uovertruffen	makaleysur, frálíkur, einsýnur, einskilaður, millum teir bestu, tikin úr leikum, framúrskarandi, sum ikki hevur sín makael.líka, sum einkiel.eingin kann javnmetast við
uovertræffelig	framúrskarandi, makaleysur, einsýnur, einskilaður, sum einkiel.eingin kann javnmetast við
uovervejet	illael.ikki umhugsaður, í óðum verkum(t.d.tað var gjørt í óðum verkum); eftir ráni;en u.bemærkningokkurt sagt í gáloysni
uovervindelig	ósigrandi, óvinnandi, ótakandi, sum ikki vinst (á), sum ikki verður vunninel.tikin;uovervindelige kræfterósigrandi máttur, máttur, ið ikki sigrast(el.vinnast) á;u. mandmaður, ið verður ikki tikin;en u. arméherur, ið ikki er vinnandi á
u. p.	1(st.) uden for partierneuttanflokka2(st.) uden porteføljevið ongari ráðharradeild
upag.	(st.) upagineret síleitorðið
