V,v1	1málljóð2bókstavur
vredagtig	illsintur, illur í sær, sum tolir lítið av, illsnækin, bráðlyndur, bráðsintur, snarsintur; sí eis.opfarende; v. personillsinnavætti, illsinnabløðra, illdýr
vrede	sinni, illsinni, reiði, vreiði, ilska, snurr, sinnismunur,(skaldsk.)bræði, gremi, hernaður;bide sin v. i sigtempra reiðina(el.sinnið), stýra sær, hava tamarhald á sinninum;give sin v. luftloysa av;give vreden frit løb (skaldsk.)lata vreiði renna;i v.í illum;tale i v.vesa, goysa;vredenblussede op i hendeøði(el.ilt) kom í hana;ladesin v. gå ud over énoysa gor og gall yvir ein, lata ein fáa av at vita;uden v.í blíðum
vredes	(gl.)ilskast, reiðast;v. på énilskast inn á ein
vredesanfald	illsinnisherðindi, illsinnisrið, gleps, físur, sprutt(t.d.tað er ein lítil físurel.eitt lítið sprutt, so er hon blíð aftur), vørrur(t.d.hann gjørdi ein vørr), sjógvur(t.d.gera ein stóran sjógv), nos(t.d.tað var eitt nos, hon gjørdi)
vredesskrig	illsinnisróp, illsinnisgeyl, róp í illsinni
vredesudbrud	illsinnisherðindi, illsinnisrið, viðskurður, gleps, físur, sprutt, vørrur, sjógvur, nos(t.d.tað var eitt nos, hann gjørdi);komme med v.gera ein viðskurð, gera ein stóran sjógv;der kom et v. frahamhann gjørdi ein vørr
vredladen	ilsligur, illur í sær, illbrýntur, illfrýntur, illfrýnutur, grískur, snipputur, styggiligur;v. personillgron, illsinnavætti, illsinnabløðra
vridbor	navari, navar;lille v.tvari, frittur;spids af v.bithorn
vride	snara, vinda(t.d.tvøgu, klæðirel.ull), brongla, krongla;v. armen af ledsnara armin úr lið;v.halsen om på en fuglkippa fugl, snara fugl;v.hændernevríggja hendur, snara saman hendur;v. tørturrvinda;v. tøjvinda klæðir;v. sigvríggja seg, ringja seg saman, vindast(t.d.hann lá og vantst á jørðini);v. over(um stáltráð) kinka av;v. sig ved at sige nogethveppa seg(el.hveppast) við at siga eitt, ikki troysta sær at siga eitt, ikki fáa seg at siga eitt;han vred sigsom en ålhann ringdi seg(el.ringdist) sum ein ormur;v. sig af latter (smerte)krøkja(el.ringja) seg saman av látri(el.pínu)
vridemaskine	vindimaskina
vrider	knarvi
vridning	vinding, bending, brongl, snaring, boygging, tað at vinda, tað at snara, vríggjan;v. af vasketøjtað at vinda klæðir
vridningsmoment	(tøkn.) snúningsmáttur
vrietorn	(plfr.) (Rhamnus carhartica)
vrikke	vríggja, snara; rugga, vagga, gidda, skinkla, skekla;v. med halenláta við halanum;v. medhovedetriða(el.gidda) við høvdinum;hun har envrikkende ganghon lendaskjýtst, tá ið hon gongur;v. om på fodenkeikja fótin, bekla;v. enbåd fremad med en åreskupla(el.padla) bát fram við ár;v. en tand løsloysa tonn;v. nogetløstvika einum, skekla(el.skinkla) eitt av
vrikkevorn	skinklutur, skirvisligur
vrikkeåre	vríggiár, padla, skupla
vrimle	yðja (yður, uddi), tysa (tysur, tusti), tysja (tysur, tusti), ýa (yðir, ýddi);det vrimlede medfluer på møddingentað uddi av flugum í køstinum;gaderne er vrimlende fulde afmenneskergøturnar vóru murrandi fullar av fólki, tað uddi í(el.av) fólki í gøtunum,osten ervrimlende fuld af maddikerosturin yður í(el.av) maðki;menneskemængden vrimlede ind påtorvetmannamúgvan tusti inn á torgið
vrimmel	múgva, hópur, riðil, rúgva, mongd, fjøld;en v. afmenneskernógv fólk, ein hópur av fólki, ein mannamúgva;bane sig vej gennem vrimmelentroka seg ígjøgnum mannamúgvuna
vrinsk	gneggj, neggj;hesten gav et v. fra sigrossið gneggjaði(el.neggjaði)
vrinske	gneggja, neggja;hesten vrinskederossið gneggjaði(el.neggjaði)
vrippen	(gl.) prippin, snipputur, erkvisin, grannvandin,(tlm.)fornermaður
vrisse	hvessa, hvessa í ein, físa;hun vrisser ad sin brorhon hvessir í beiggjan;v. over de svære tiderganga og hvessa (físael.grenja) um (tær) ringu tíðirnar;give et vrissende svarsvara hvassliga(el.illa) aftur, bitut svar
vrissen	gronutur, súrur, trútin, múlatrútin, bitutur, illneitutur;tale i en v. tonehava bitut orðalag
vrist	(á fóti og á skógvi) rist;have høj v.hava høga rist;sko med rem over vristenskógvur við reim um ristina
vriste	1rykkja, skrykkja, rippa;v. noget ud af håndenpå énrykkja(el.rippa) okkurt úr hondini á einum, snara eitt úr hondini á einum2(fl.m.) han var ikke til at v. et ord ud aforð fekst ikki av honum
vræl	(niðr.) geyl, skrál, gól
vræle	(niðr.) geyla, skrála, góla
vrængbillede	skeiv mynd, avskapað mynd, avskeplað mynd, keipumynd, avbrongling, avskepling;avisen gav kun et v. af ulykkenblaðið gav eina blóðskeiva mynd av vanlukkuni
vrænge	gálva,skelkja, snerkja;v. ad nogetsnýsa(el.snýsast) at onkrum;v. efter éngálva(el.herma) eftir einum
vrøvl	1tvætl, møsn, babb, tvass, vass, pjøpp, blabb, sjagg, boksl, sógv, høpisloysi, roks, baks, stríð, trupulleiki;mødet endte i det rene v.fundurin endaði í berum møsni;lad os blive fri forv.legg ikki í at koma við hasum møsninum, slepp okkum undan møsni;han fik et masse v.for sin hjælpsomhedhann fekk skomm og skitin orð fyri beinasemið, hann hevði sýnt teimum; hann fekk nógv fortreð eftir at hava hjálpt til;der erv. med maskinenmaskinan er í ólagi;der er formeget v. om den sagtað verður gjørt ov nógv hávasták burtur úr hasum málinum;han gik meduden noget v.hann fór við uttan nakað;sentimentalt v.kroyst;vrøvlendemøsnutur, (um fólk)han er et gammelt v.hann er eitt gamalt tvætl(el.roks)2heiti fyri smákøkur(el.um miseydnaðar smákøkur)
vrøvle	1møsna, tvætla, roksa, tvassa, pjøppa, vøsa, svarva, svassa, vassa, fussa, gogga, blarva, svabba, kokka, boksla, vevja upp í saman, ronta;du vrøvlerroks í teg, tú tvætlar;vidnet stodog vrøvledevitni stóð og møsnaði;v. sig ind i enmasse modsigelservinda alt upp í eina fløkju(el.ein ellubita)2v. en strømpe oprekja hosu upp
vrøvlebøtte	møsn, tvætl, vøs, pjøpp
vrøvlehistorie	tvætlisøga
vrøvlehoved	(um fólk) tvætl, møsn, fuss, roks, pjøpp, vas, brongl, kokk
vrøvler	sívrøvlebøtteogvrøvlehoved
vrøvleri	tvætl, møsn, babb, tvass, vass, svass, fuss
vrøvlet	møsnutur, tvætlutur, vøsutur, vasutur, svassutur
vrøvlevers	tvætliørindi, skjaldur
vrøvlevorn	møsnutur, vøsutur, vasutur, svassutur
vrå	skot, krókur, vrá; smátta
vrål	geyl, róp, skrál, ýl
vs1	(st.) versus ímóti
VS2	(st.) Venstresocialisterne vinstrasosialistarnir (danskur politiskur flokkur)
vsa	(st.) ved siden af við síðuna av
V-tegn	V-tekin (sigurstekin)
VUC	(st.)voksenuddannelsescenter útbúgvingarmiðstøðel.útbúgvingardepil fyri vaksin, vaksnamannaútbúgvingarmiðstøð, vaksnamannaútbúgvingardepil
V-udskæring	hálsur í v-sniði
vue	útsýni; yvirlit;herfra har man et pragtfuldt v.over byenhiðani hava vit eitt frálíkt útsýni yvir býin;tage et v. over situationenfáa sær yvirlit yvir støðuna
vugge1	1vøgga;barnet sover i sin v.barnið svevur í vøgguni2(fl.m.) fra v. til gravfrá vøggu og til ellisár, frá vøggu í grøv, frá vøggustabbanum og til gravarbakkan;der blev ikke sunget vedel.forhans v.hann fekk óvæntaða lagnu; eingin hevði gitt, at hann fór at fáa slíka lagnu(el.ta lagnu, ið hann fekk)3upprunastaður, upphavsstaður;Mainz erbogtrykkerkunstens v.prentlistin hevur uppruna sín í Mainz;hans v. stod i Himmerlandhann er barnføddur í Himmerlandi;i Grækenland stodden europæiske kulturs vuggeí Grikkalandi spratt(el.spretti) evropeiska mentanin
vugge2	rura, rugga, vagga;v. et barn i søvnrura barn í svøvn, bipa barni;gå hjem og vugikki talingur um, kortanei, tvætl í teg;v. i takt med musikkenvagga(el.rugga) eftir tónleikinum;v. sig i skønnefremtidsdrømmedroyma seg burtur í bjartar framtíðarvónir;hun har en vuggende ganghon rinkar, tá ið hon gongur; hon gongur og vaggar
vuggearm	rugguarmur (á vøggu, ofta vøggustabbi, vøggustuðliel.vøggustuðul)
vuggebarn	vøggubarn
vuggedød	vøggudeyði
vuggegave	vøggugáva
vuggesang	sívuggevise
vuggestue	vøggustova
vuggevise	vøgguvísa, vøgguljóð
vulgarisere	1gera almannakunnigt, einfalda eitt, gera einfaldan2gera grovan, ljótka, grovka
vulgarisme	ljótur málburður, óvandamál, ljótur atburður
vulgaritet	eitt, ið er ósiðað, óhøvisktel.ónæri(s)ligt; grovur atburður
Vulgata	
vulgær	grovur, fúlur, ónæri(s)ligur, óvandaligur, ófantaligur, óskúlaður, ósiðiligur, vulgerur, grefligur, ljótur, (um búna) gellutur /-ll-/, smakleysur, maggutur, giggutur, løggutur
vulgærlatin	(latín, talað á manna munni) talumálslatín, láglatín, vulgerlatín (ikkiskrivað latín; italskt, franskt, spanskt, portugisiskt og rumenskt eru sprottin úr láglatíni)
vulgærsprog	óvandaligt mál, óvandamál
Vulkan1	(gudal.)Vulkanus(Vulkanusvar smíðigudurin hjá rómverjum,Hefaistoshjá grikkum)
vulkan2	eldfjall, gosfjall;vulkanen er i udbrudeldfjallið goysir;en udbrændt v.sloknað(el.útkólnað) eldfjall;(fl.m.)sloknað fólk; fólk, ið er givist við onkrum(t.d.ítrótt)
vulkanfiber	(slag av gjørdum leðri, gjørt úr samantrýstum(el.fergjaðum) pappíri)
vulkanisere	gummiherða, vulkanisera (herða rágummi við svávuli og miklum hita);v. et bildækgummiherða bildekk
vulkaniseringsanstalt	gummiherðingarvirki, vulkaniseringarvirki
vulkanisme	gosvirksemi;lineær v.linjugos, gosrøð
vulkanisør	fólk, ið fæst við at gummiherðael.vulkanisera
vulkanit	(jarðfr.) útgosið grótslag
vulkankegle	skrúvskapað eldfjall
vulkankrater	gosop
vulkanolog	(jarðfr.) gosfjallafrøðingur, eldfjallafrøðingur
vulkanologi	gosfjallfrøði, eldfjallafrøði
vulkanprop	(jarðfr.) gostøppur
vulkansk	gos-, eldgos-;stenen er af v. oprindelsesteinurin stavar frá eldgosi;v. askegosøska;v. bombegosbumba;v. grusgoseyrur;v. sandgossandur;v. sedimentgoslegugrýti, gosrunnið legugrýti;v. slaggergosilska;v. støvgosdust;v. udbrudeldgos;eksplosivt v. udbrudspreingigos
vulkanspalte	(jarðfr.) goskluft
vulkanudbrud	(jarðfr.) eldgos, eldrok
vulkanø	gosoyggj, eldfjallaoyggj
vulst	1(byggl.)bunga(t.d.á súlustætti)2blý-el.koparringur á byrsukúluel.spreingju3dekkrond, útbendur kanturel.útbend røð (á súkklu-el.bildekki)
vulstdæk	dekk við útbendum kanti
vulva	(likam.) ytru skøpini (á konufólki)
vunde	(skaldsk.) sár
vundet	
vupti	hey!, puts!;vupti!hey!, puts!;v., var han i etspring over gærdetsum eitt skot leyp hann upp um garðin;v., der faldt hanhey, har datt hann
vurdere	1meta, virðismeta, ætla (um), gagnmeta, handla(t.d.seyð);v. ligejavnmeta, leggja javnt við;v. løseliggjøtla, gjøtla um;skønsmæssigt v.ætla um;v. afstandenmeta um frástøðuna;v. enejendomvirðismeta hús(el.fastogn)2(fl.m.) hendes indsats blev vurderet efterfortjenestetey virðismettu hennara arbeiði;hanforstår at v. dit venskabhann veit, at tú ert góður vinur
vurdering	meting, metan, virðismeting, virðismetan; ætl;v. afskadeskaðameting;(bú.) v. af aktivervirðismeting av íløgum;efter en forsigtig v.sambært varisligari meting
vurderingsbevis	metingarváttan
vurderingsforretning	sýning, virðismeting
vurderingsgrundlag	metingarstøði, metingargrundarlag
vurderingskreds	virðismetingardømi, virðismetingarøki
vurderingsmand	metingarmaður, virðismetari, sýnsmaður
vurderingsnævn	metingarnevnd
vurderingspris	metingarvirði; ætlaður prísur
vurderingssum	metingar(upp)hædd, metingarvirði
vurderingsår	metingarár
vurst	(sigl.) slitmotta
VVS	(st.) varme-, ventilations- og sanitetsteknik
VVS-firma	HVS-virki
VVSmand	HVS-maður
VVS-rørsmed	HVS-rørsmiður
vy	sívue
væbne	1vápna, herbúgva;standse et oprør medvæbnet magtbasa uppreistri við við vápnamegi2sumlvæbnetvápnaður;være væbnet tiltændernevera albrynjaður /ål-/ (alvápnaður (ål-)el.alverjaður /ål-/); vera krígsdubbaður;væbnet fredvápnaður friður;væbnet neutralitetvápnað uttanveltað støða3(fl.m.) v. sig med tålmodighedgeva tol
væbner	1(sø.)skjaldarsveinur, vápnasveinur, riddarasveinur (ungur aðalborin drongur í tænastu hjá riddara)2drongur (frá 11 til 14 árel.14 ára aldur) íFrivilligt Drenge- og Pige-Forbund
væbnerhat	(plfr.) purpurvæbnerhatkorkaseggjarhattur(Tricholomopsis rutilans)
væbnet	albrynjaður /ål-/ (alvápnaður (ål-)el.alverjaður /ål-/);v. mandskabvápnað manning, vápnaðir menn;landets væbnede styrkerlandsins hermegi;en v. opstandvápnaður uppreistur;en v.modstandvápnað mótstøða
vædde	vedda, leggja í veð, seta við(t.d.eg seti 1000 kr. við);v. (med én) om udfaldet af en kampvedda um úrslitið av dysti;jeg tør v. en daler på, at hanikke kommereg tori at vedda (nógv) uppá, at hann ikki kemur;v. 10 mod 1vedda 10 móti 1
væddekamp	(sø.) kappingarleikur, kapping
væddeløb	kapprenning, kappríðing, kappingarleikur
væddeløber	kapprennari; fólk, ið er við í kapprenningel.kappríðing
væddeløbsbane	kapprenningarbreyt, kappríðingarbreyt
væddeløbshest	kappríðingarross
væddeløbskører	kappkoyrari
væddeløbskørsel	kappkoyring
væddemål	vedding,(tlm.)veddimál
vædder	1(dý.)veðrur, veður;hornløs v.kollingur;kastreret v.geldingur;selvdød v.deyðseyðaveðrur;væddere og bederhornaseyður;en toårs v.tvæveturveðrur2(sø., herm)rambukkur, múrbrótari3(sø., sigl., herm)trónur (á skipsstevni at sigla skip í rot við)4veðrur (fólk, føtt í Veðramerkinum)
Vædderen	(stjfr.) Veðrurin, Veðramerki (stjørnumerki)
vædderhorn	veðrahorn;årring på v.hornalop, tíðir á horni
vædderlam	veðurlamb;meget usselt v.hinsur;stort v.roddur(el.roddi)
væde1	væta; blot;jorden trænger til v.jørðini tørvar vætu(el.vatn);varen er beskadiget af v.vøran er skadd av vætu
væde2	væta, bloyta;v. en svampvæta svamp, gera svamp vátan;v. læberne med tungenvæta varrarnar við tunguni, gera varrarnar vátar við tunguni;(skemt.) v. ganenvæta hálsin, fáa sær ein lítlan
vædre	(sigl., herm) renna í rot, sigla á, renna, koyra á, sívædder3
væg	1veggur, bróst; ikki duga at tiga;inden forhjemmets fire væggeinnanveggja;spansk v.leysaveggur2(fl.m.) hun blev hvid som en kalket v. afangsthon bliknaði(el.hon gjørdist nábleik) av ræðslu;det var som at tale til en v.tað var sum at tosa við ein stein;han blev sat til vægshann varð settur fastur(el.til stikkuna), hann varð teptur(el.kílaður), hann varð settur til skáks;snakikke så højt væggene har øreransa eftir, hvat tú sigur, veggirnir hava oyru;snakke op ad væggeog ned ad stolpersussa,
vægavis	veggjarblað (dagblað heft upp á múr;serst.um kinversk viðurskifti)
væge	1veikur (í lampu), rak (í kolu)2(fl.m.) en toddy med dobbelt v.ein dupultan toddi
vægelement	(í sniðhúsasmíði) veggluteind, veggpláta
vægelsind	vingl, himpr, ivi, støðuloysi, ríggjur(flt)
vægelsindet	ríggin, støðuleysur, ivandi, himprandi, vinglutur, sum er í døpurhuga, sum melur á hælinum, sum dregur á bæði;v. personvingliskøltur, meldurskøltur, slóm, vingl, vingul
vægfast	veggfastur
vægflade	vegg(jar)flati, vegg(jar)flata
vægflise	vegg(jar)flís
væggedyr	sívæggelus
væggelus	(dý.) veggjalús(Cimex lectularius); fuld af v.fullur í veggjalús(um)
væggetøj	sívæggelus
vægkonsol	(handv.) veggoki
vægkort	landkort at heingja upp á veggin, vegg(jarland)kort
vægmaleri	múrmálningur, veggjarmálningur, bróstmálningur, kálkmálningur, freskomálningur, (málningur, ið er málaður beinleiðis á veggin)
vægpille	(byggl.) veggjasúla
vægplads	veggjapláss, veggjarúmd;der er god v. i stuenstovan hevur nógv veggjapláss
vægplanche	veggjarmyndatalva (at heingja upp á bróstið til skúlabrúks)
vægre	(bara í afturbendum sniði) ikki vilja, nokta, sýta, hava seg undan, biðja seg undan, aftra seg við, bera segel.berast undan, draga segel.dragast undan, siga segel.sigast undan, føra segel.førast undan;v. sig ved at påtage sigarbejdetbera(el.hava) seg undan at taka arbeiðið upp á seg;jeg værgrer mig ved at tropå deteg aftri meg við at trúgva tí, eg vil ikki trúgva tí, hasum trúgvi eg ikki
vægring	undandráttur; sí eis.vægre
vægskab	veggjarskáp
vægt	1vekt, tyngd;sælge en vare efter v.selja vøru eftir vekt;give god v.geva góða vekt (ivaleysa stóra);tabe i v.lætna, fara aftur;tage på i v.fara fram, tyngjast;levende v.sílevende2(fl.m.) erfaringen giver hans ord v.hann hevur royndirnar, tí hava orð hansara tyngd;ikke læggev. påikki leggja lag í, ikki leggja dent á;hunlægger v. på det ydreútsjóndin hevur nógv at siga(el.týða) fyri hana(el.hjá henni);segneunder vægten af et ansvarhokna undir ábyrgdini;årenes v. tynger ham ikkealdur sæst ikki á honum, har sæst ikki høgg á føti3(í klokku) lodd;vægtene i et bornholmerurloddini í bornholmarklokku4vekt, vág;varerne vejes på en justeret v.vørurnar verða vigaðar á stillaðari vekt5vekt, tyngdarmál;efter engelsk v.eftir enskari vekt
vægtafgift	vektgjald (á bilum)
vægtattest	vektváttan
vægtavle	svartatalva, talva, veggjartalva
vægte	1(hagfr)viga, vekta; meta2[lh tátsuml](stfr.) vægtet middeltalvigað miðaltal
Vægten	(stjfr.) Vágin, Vágmerkið, Vektin (stjørnumerki)
vægtenhed	tyngdareind, tyngdarmál, vekt(ar)eind, vekteind(t.d.kilogramm);i metersystemet ervægtenheden 1 gí metralagnum er tyngdareindin 1 g
vægter	1(sø.)vektari, náttarvørður, varðmaður2náttarvørður, vakt, vaktarmaður(t.d.í sølumiðstøð)
vægtergang	(sø.) svalagongdel.vektaragongd innan fyri vígskarðini (ovast) á borgarmúri
vægtervers	(sø.) vektaraørindi (ørindi, ið vektari sang hvønn heilanel.fullan tíma)
vægtforøgelse	tynging, tyngdarøking
vægtfuld	sívægtig
vægtfylde	(alisfr.) evnisnøgd,(steinfr.)evnistyngd
vægtfyldig	(fl.m.) dygdargóður, innihaldsmikil, innihaldsríkur, tungur; fyndigur, fyndugur, týdningarmikil;et vægtfyldigt programdygdargóð skrá(el.dygdargóð sending)
vægtig	1tungur2týdningarmikil, dygdargóður, týðandi, fyndugur;et vægtigt indlæg i en debattýdningarmikil grein í blaðkjaki
væg tilvæg-tæppe	teppi um alt gólvið
vægtklasse	(ítr.) tyngdarflokkur
vægtløfter	vektlyftari /-litt/, lyftingarmaður
vægtløftning	vektlyfting, lyftingarítrótt
vægtløs	tyngdarleysur, tyngdleysur, vektleysur
vægtløshed	tyngdarloysi, tyngdloysi, vektloysi
vægtning	(nýggj nýtsla) meting, raðfesting eftir týdningi
vægtprocent	tyngdarprosent, vektprosent
vægtskål	vágskál, vektskál;få vægtskålen til at synkefáa vágskálina at síga
vægtstang	vágstong, vág; (til vektlyftingar) vektstong; jarnbrot /jan-/;løfte en byrde ved hjælp af v.lyfta byrði við jarnbroti
vægtstangsarm	armur á vágstong, vágstangararmur
vægtstangssystem	vágstangaskipan
vægtstangsvirkning	vágstangavirknaður
vægttab	tað at lætna, tað at fara aftur, lætnan
vægttold	vágtollur, tyngd(ar)tollur, vekttollur
vægtvogter	klænkari;gør som vægtvogterneger sum klænkararnir
vægtæppe	vegg(jar)tjald, veggjarteppi
væk	1gå v.!slepp tær hiðani(el.burtur);v. med dig!far avstað við tær!, burt(ur) við tær!; kíss!, kíss-kíss!;åh, gå v.!áh, tig við tær!, ikki tvætla!;han smed bogen v.hann tveitti bókina burtur(el.frá sær);hun er langt v.hon er langt av landi skotin,(fl.m.)hon er burturi í øðrum heimi2burtur, horvin,(tlm.)vekk;bolden er v.bólturin er burtur(el.horvin);tasken er blevet v.taskan er burtur(el.horvin);holde bilerne v. fra bykernenhalda bilarnar burtur frá miðbýinum;vi er v. helesommerferienvit eru burtur alla summarfrítíðina;man fandt tegnebogen, menpengene var v.mappan varð afturfunnin, men pengarnir vóru horvnir(el.burtur);nu er degamle, smukke træer v.nú eru tey gomlu, vøkru trøini horvin(el.burtur)3missa vitið, vera burtur;han blev ramt ihovedet af en knippel og var v. i et parminutterhann fekk ein lurk(el.gassa) í høvdið og var burtur eina lítla løtu4(tosa uppísaman) sussa, jabba;han sludrede iet v.hann tagdi ikki; hann sussaði alla tíðina;snakbare v.tosa bara;skriv bare v., lad dig ikkeforstyrre af migskriva bara, lat teg ikki órógva av mær;han gik glat v. løs på opgavenhann fór uttan at himprast í holt við(el.undir) uppgávuna5vera burturel.skotin í einari, vera forliptur í einari, vera forelskaður í einari, vera óður eftir einari, vera býttur av einari;han er v. i hendehann er púra burtur í henni, hann er púra býttur av henni, hann er skotin í henni, hann hevur góðan hug á henni
vække	1(eis.ífl.m.) vakte, vaktvekja (ein),(sigl.)purra (ein) út;vil du v. mig kl 7?kanst tú vekja meg klokkan 7?2(fl.m.) v. beundringskapa undran(el.virðing) fyri (einum), vera hugtikin av (einum);v.forargelseilskast um, skapa forargilsi;det vakteopsigttað vóru stórtíðindi;v. interessegeva(el.vekja) áhuga (fyriel.á), kveikja hug í einum til eitt;v. opmærksomhedvekja ans;v. tillidvekja álit, hava álit á einum;v. én tileftertankefáa ein at hugsa seg um(aftur), fáa ein at umráða seg;v. de slumrende evner (tillive)kveikja lív í niðurbundnar gávur;v. ondt blodseta ilt blóð, bera ilt fyri ein hjá einum;vækkesbirtast3[lh nútsuml]en vækkende talekveikjandi røða
vækkelse	(átr.) veking, hugveking;en religiøs, politisk v.gik hen over landetkristilig, politisk veking fór um alt landið
vækkelsesmøde	vekingarmøti, vekingarfundur
vækkelsesprædikant	vekingarprædikumaður, vekingarprædikari
vækkelsesprædiken	vekingarprædika
vækkelsesskole	vekingarskúli
vækker	sívækkeur
vækkeur	vekjaraklokka, vekjari,(tlm.)vekkari
vækning	veking
vækst1	vøkstur, gróður, andvirki(t.d.lat ikki neytini fara í andvirkið;t.e. viðv.korni, eplum, grasi);forskel iv.vakstrarmunur;følge planternes v. fra år til årfylgja við, hvussu planturnar vaksa (gróðurin veksurel.hvussu grør) ár um ár;træet erstandset i vækstentræið er vakstrartarnað(el.tarnað í vøkstrinum);han erbred//kort/lille//stor//høj// af v.hann er breiðvaksin(serst.herðabreiður)//stuttvaksin/lágvaksin/smávaksin//hávaks in/stórvaksin//langvaksin(t.d.kroppurin á kettu er langvaksin);(fl.m.) der er god v. i demoderne skoletankerfólk taka undir við (teirri/tí) nýggju skúlahugsanini/skúlahug sjónini
vækst2	vøkstur;buske, træer og andre væksterrunnar, trø og aðrir vøkstrir;spiselig v.átuvøkstur
vækstbetingelse	gróðrarlíkindi(flt),gróðrarumstøður(flt),gróðrarvánir(flt);der er godevækstbetingelserhar er gróðrarsamt;det danskeklima giver bøgen gode vækstbetingelserbókartræið hevur góð gróðrarlíkindi í danska veðurlagnum
vækstbidrag	(bú.)vakstrarískoyti
vækstforhold	sívækstbetingelser
vækstfremmende	gróðrarfremjandi, sum fremur vøkstur
vækstfremmer	(landb.) vakstrarfremjari (vakstrarhormon)
væksthormon	(lækn.) vakstrarhormon
væksthus	vakstrarhús, gróðrarhús
væksthæmmende	gróðurfyribyrgjandi, vakstrarfyribyrgjandi;væksthæmmende stofgróðurfyribyrgjandi evni
væksthæmmer	(landb.) vakstrartarnari (vakstrartarnandi hormon)
væksthæmning	vakstrartarn
vækstindustri	vakstrarídnaður, ídnaðargrein í vøkstri
vækstlag	(plfr.) vakstrarjaður,(dý.)vakstrarlop
vækstperiode	vakstrartíð, vakstrarskeið
vækstpunkt	(plfr.) vakstrarendi
vækstrate	(stfr., bú.)vakstrarferð (árligur búskaparvøkstur í prosentum)
vækstring	vakstrarlop, hornalop, tíðir á horni
vækstsamfund	samfelag í vøkstri, vakstrarsamfelag
væksttabel	(stfr.) vakstrartalva
væksttid	vakstrartíð, gróðrartíð, vakstrarskeið
vækstår	vakstrarár;planten er sart i sit første v.plantan er viðkvom (tað) fyrsta vakstrarárið
væld	1kelda,(skaldsk.)lind2(fl.m.)rúgva, hópur, ørgrynni(h),ørgrynna(kv);et v. af blomstereitt ørgrynni/ein ørgrynna av blomstrum
vælde1	veldi, vald, megi, makt, styrki;i al sin magt og v.við mátt og veldi;i hele sin v.í øllum sínum veldi
vælde2	stjórn, stýri
vælde3	1vella, hvella, goysa, floyma, spríkja upp;kildenvælder op af jordenkeldan vellir upp (úr jørðini)2(fl.m.) komme væltendekoma bóltandi;nyetanker vælder fremnýggj hugskot koma støðugt fram
vældig	1veldigur, veldugur, stórfingin, óførur, øgiligur;et vældigt arbejdestórfingið(el.øgiligt) arbeiði;en v. jægeróførur veiðimaður;en v.storm ødelagde molenein øgilig ódn beindi fyri molanum, molin fór í eini brimódn2[sumhj]hun er v. dygtighon dugir ógvuliga væl, hon er óføra dúglig(el.røsk);han blev v.glad for gavenhann varð ógvuliga(el.sera) glaður fyri gávuna
vælge	velja, kjósa, taka, fáa sær;v. den gode delvelja hin góða lutin (Luk. 10, 42);v. forkertvelja skeivt, taka ótt;der er nok at v. imellemhar er (nóg mikið) í at velja;let at v.eyðvaldur;hun forstår atv. sine ordhon dugir væl at leggja síni orð, hon dugir at snúgva orðum sínum;v. sig en konevelja (fáael.kjósa) sær konu(el.vív);v. én til kongevelja ein til kong;øjeblikket var uheldigt valgtløtan var illa vald, løtan var óheppin;v. sine vennermed forstandnýta sítt skil(el.vera skynsamur), tá ið ein fær sær vinir;v. og vragevelja og vraka;den ældste søn fik lov til at vælgeelsti sonurin slapp at velja
vælger	1veljari;flertallet af vælgerne støttedecentrumspartiervælgernemeirilutin av veljarunum tóku undir við miðflokkunum2(tøkn.)veljari
vælgerbefolkning	veljarafjøld, veljaraskari, veljararnir
vælgerforening	valfelag
vælgerkorps	veljarafjøld, veljaraskari, veljarar
vælgermasse	veljarafjøld, veljaraskari, veljarar
vælgermøde	valfundur
vælgerpleje	veljararøkt
vælgertække	veljaraeydna
vælig	raskur, knáur, sprækin (um fólk),(serlum ross) bragdligur, djarvur, lívligur, sum greðingur á gori;en v. gangerbragdligur greðingur
vælling	1vellingur, mjólkgreytur;vandblandet v.vatngreytur /vann-/, gøtugrái;koge v.kóka velling;v. var lørdagsmadvellingur var leygardagsmatur2(fl.m.) gipsen røres ud til en jævn v.rørt verður í gipsinum, til tað verður ein javnur, tunnur greytur;det var en værre gang v.hatta var tað bera tvætl
vælsk	(sø.) velskur, valskur (úr Italiael.Fraklandi)
vælskbind	bókarbind við ryggi og hornum úr leðriel.skinni
