h. a.	el.hujus annií hesum ári
hvilling	(dý.) hvítingur(Merlangius merlangus)
hvin	hvin, rin, níst, gníst;hun gav et h. fra sighon hvein við
hvinand	(dý.) súgont(Bucephala clangula)
hvine	hvína, rína, nísta, gnísta, pípa, gneggja, gnella;få det til at h. i tænderne på enfáa ein at bíta á kampi;hun hvinede i vilden skyhon hvein sum eitt ørt;stormen hviner om hjørnetstormurin ýlir um húsarhornið;kuglerne hvinede omørernekúlurnar hvinu um oyruni á...;n lhsumlfrembringe en hvinende lydgeva hvin frá sær, hvína;synge hvinende falsksyngja rínandi, hvínandi, nístandi, gnístandi falskt
hvirvel	1(í ánni) meldur, íða, íðukast;strømmen i flodendanner hvirvlertað er nógvur meldur í ánni2(fl.m.) kraftig trommehvirvelharður/títtur trummumeldur3(likam.)geisli;rygsøjlen består af hvirvlerryggurin hevur ryggjargeislar4(í hári) hviril; kuril;håret danner en h. på issenhviril er í nakkanum
hvirvelbue	(likam.) geislabogi
hvirveldyr	(dý.) geisladýr, ryggdýr, (fiskar, paddur, skriðdýr og súgdýr)
hvirvelhul	(likam.) geislamønuhol
hvirvellegeme	(likam.) geislaknúta
hvirvelløs	(dý.)ryggleysur;(dý.) hvirvelløst dyrryggleyst dýr (øll onnur dýr enn ryggdýr;t.d.liðormar, liðdýr)
hvirvelstorm	(veðurfr.) melduródn, hvirla, hvirluvindur, meldurhvirla
hvirvelstrøm	íða, meldur, meldurstreymur
hvirvelsøjle	(likam.) ryggur, (ryggjar)geislarøð
hvirveltap	naddi;(likam.)liðangi (á geisla)
hvirvelvind	(veðurfr.) hvirluvindur, meldurglaða, meldurhvirla, hvirla, meldur, glaða;(fl.m.) hunkom farende som en h.hon kom brestandi sum ein hvirluvindur
hvirvle	hvirla, hurla, kurla, fúka, mala, mala í klingur, hurra, snurra;de visne blade hvirvlede af stedbløðini fuku í vindinum, følnaðu bløðini fóru fúkandi;trommen hvirvlertrumman kurrar;n lhsumlgive en hvirvlende lydhurra
hvis1	1spyrjandi;h. er skyldenhvør er tann seki;jegved ikke, h. skylden ereg veit ikki hvør er sekur2afturbent;en mand h. navn er kendtmaður sum er gitin;(løgfr.) retssag h. afgørelse tjener sompræcedensrættarmál hvørs úrslit er fordømi;(løgfr.) en til h. fordel en livsforsikring ertegnettann sum lívstryggingin er teknað til fyrimuns fyri
hvis2	um;h. du gør det igen, bliver jeg vredgert tú hatta aftur, verði eg illur;h. ikke må jeg klare migaleneum ikki greiði eg tað sjálvur;h. vi antager,at det er sandtsiga vit, at hetta er satt;gør det h.du tørger tað, um tú torir;h. det går normaltgongst sum ætlað;h. det skal væreum so skuldi verið;h. du vil høre min meningspyrt tú meg;h.du har lyst til detum tú tímir;h. man tagerfantasien til hjælpvið at nýta hugflogið;jeg villade mig hænge h.fyrr so vildi eg doyð enn;h. jegbare kunne hjælpehevði eg bara kunnað hjálpt;h. og h. og h.hevði, hevði, hevði
hviske	teska, lýða, lýtta, tutla;h. sammenlýðast, tutla, lýttast, tala ljódliga;når man hvisker, bevægerman ikke stemmebåndenetá ið teskað verður, rørast málbondini ikki;h. én noget i øretlýðael.teska einum eitt í oyra;føre en hviskendesamtaleteska sínámillum
hviskekampagne	teskiherferð;der blev startet en h. imodpolitikerenein teskiherferð varð sett í verk ímóti politikarnum
hviskelyd	(málfr.) tesk
hvisken	tesk, teskan, tutl, tutlan, lýðan;hvisken i krogenekrókatutl
hvisle	(t.d.ljóð frá slangu) hvæsa; (um vind) hvista, blása, físa;han fløjtede eller snarere hvislede en melodi mellem tændernehann bríkslaði ella rættari sagt hvæsti eitt lag millum tenninar;vinden hvislede gennem træernevindurin kvistaði ígjøgnum trøini;n lhsumlen hvislende slangehvæsandi slanga
hvislelyd	(ljóðfr.) hvæsiljóð
hvislen	hvæsan, hvæs, fís, físan, froysan, fræsan, blástur; hvistan
hvo	(gl) tann, hvør;h. intet vover intet vindervágin vinnur
hvor	1hvar, hvagar ið, har, har ið;h. er hanhvar er hann;h. du end går...hvagar ið tú fert..;huset h.vi boede er solgthúsini har vit búðu eru seld;hvor som helsthvar sum helst2hvussu, hvat, sum;h. gammel er hunhvussu gomul er hon;h. er jeg gladsum eg eri glaður;h.kan jeg vide dethvussu kann eg vita tað;h. kandet være muligthvussu ber tað til;h. er han rarsum hann er fittur
hvoraf	av hvørjum;h. kan det kommehvussu ber tað til
hvordan	hvussu, hvussuleiðis;h. kan det være athvussu ber tað til at;h. er hanhvussu er hann;h. er detdu talerhvussu er tað tú málbert teg;h. har handethvussu livir hann, hvussu veit við hjá honum;h. er det du ser udhvussu er tað tú sært út
hvorefter	(og) síðan, tínæst;han sagde farvel, h. han gikhann segði farvæl og síðan fór hann;her erreglerne, h. du skal gåhesar eru reglurnar, sum tú skalt halda teg til
hvorfor	1(spyrjandi) hví;h. skulle netop han gøre dethví skuldi hann gera tað heldur enn aðrir;h. spørgerdu netop mighví spyrt tú meg;h. ikke dethví ikki;h. så tavshví so tigandi2(afturbent)tessvegna;midlerne er små, h.regningen ikke vil blive betaltlítið er av peningi, og tí verður rokningin ikki goldin;det var en afgrundene, h. jeg ikke kunne kommemillum annað tí fekk eg ikki komið
hvorfra	hvaðan(i); haðan(i), har;h. endhvaðani so;perron h. tog til London afgårpallur haðan tokið til London fer;punkt h. man ikke kan kommelængerestaður haðan ikki slepst longur;sted h.man har godt overblikstaður haðanel.har gott útsýni er
hvorhen	hvagar, hagar, hvar, hvørt;h. så tidligt på dagenhvagar fert tú so snimma;man kan komme, h.man vilkomandi er hagar ein vil sleppa;han errejst bort, ingen ved h.hann er farin avstað, eingin veit hvagar
hvorhenne	hvar;h. ligger kroenhvar er ølstovan
hvori	í hvørjum; sum..... í;h. består dit rådhvørji eru ráðini, hvørji eru tíni ráð, hvørji ráð leggur tú (okkum);et kar h. der var et stort hulkar við stórum holi áel.sum stórt hol var á
hvoriblandt	har ímillum;de fik mange breve, h. flere var fraudlandettey fingu nógv brøv og fleiri úr útlondum;de mennesker h. han færdesfólkini hann umgongst
hvorigennem	sum... ígjøgnum, og har ígjøgnum;det vindue h.solen skinnervindeygað sólin skínur ígjøgnum
hvorimod	(har)afturímóti, har í móti, men;den ene afsøstrene er smuk, h. den anden er nærmestgrimonnur systirin er vøkur, hin er næstanmishátt
hvorind	inn hagar;hun sad i stuen, h. jeg blev visthon sat í stovuni, hagar eg var vístur
hvorledes	hvussu, hvussuleiðis;h. endhvussu enn; hvussu í allari víðu verð;h. går det hamhvussu gongst honum
hvormed	hvussu, við hvørjum;h. kan jeg hjælpe dighvussu kann eg hjálpa tær;h. kan jeg gøre det godthvussu kann eg gera tað gott aftur;den iver h.hun afviste beskyldningentað ídni hon rak aftur skuldsetingina við
hvornår	nær, nærhelst;h. kommer dunær kemur tú;h. ialverdennær í Guds garði;h. det er sket, vedman ikkenær tað er hent veit eingin
hvorom	um hvat, av hvørjum;den sag h. alting drejer sigmálið ið alt snýr seg um;h. alting erhvussu er og ikki, undir øllum umstøðum, ið hvussu er
hvorover	har (sum), sum... yvir;den sofa, h. billedethængersofan, sum myndin hongur uppi yvir;hunblev glad uden rigtig at vide h.hon gleddist, men visti tó ikki rættiliga um hvat
hvorpå	síðan(i), tínæst, har sum, soleiðis sum;han sagdefarvel, h. han gikhann segði farvæl og síðan fór hann;h. grunder du din formodninghvat byggir tú tínar ætlingar á;måde h. noget hængersoleiðis sum eitthvørt hongur;måden h.maskinen virkersoleiðis sum maskinan arbeiðir, gongur;på den måde h.á tann hátt sum
hvortil	til hvat;h. skal du bruge dethvat skal tú brúka tað til;et spørgsmål h. jeg svarede nejspurningur eg svaraði noktandi
hvorunder	det træ h. vi sadtræið vit sótu undir;det navn, h.han er kendt, er et pseudonymnavnið, hann er gitin undir, er dulnevni
hvorved	(sum) har, við tí;en ulykke h. flere kom til skadevanlukka og fleiri vóru skadd
hvorvidt	hvørt, um;som kræver en afgørelse om, h.man skal afbryde eller gå videresum krevur avgerð um, hvørt haldast skal fram ella ikki;jegved ikke, h. han kommereg veit ikki, um hann kemur ella ikki;jeg kan ikke afgøre, h. du harreteg kann ikki avgera, hvørt tú hevur rætt ella ikki
hvælv	hválv;himlens h.himinhválv, himinbogi
hvælve	hválva, hjóla, kjala, boga;h. sig overhválvast yvir;himlen hvælver sig over Jordenhimmalin hálvir seg yvir jørðina
hvælvet	1(byggl.)hválvdur, hválvaður, kúputur, bogadrigin; bungutur2(likam.) en h. pandekúput panna
hvælving	1(byggl.)hválv(t.d.í kirkju), bogi;bygge h. overgera hválv yvir, hválva;kirken har højehvælvningerkirkjan hevur høg hválv;himlens h.himnahválvið2bogi, skalving (óløgi)
hvælvingssten	(byggl.) hválvsteinur (kílasneiddur steinur brúktur í hválvi)
hvæse	hvæsa, froysa, fræsa, físa;katten hvæsedekettan físti
hvæsen	hvæs, hvæsan, froys, froysan, fræsan, fís, blástur
hvæsse	1hvessa, brýna, hvøtja, svarva, ragga, eggja, beita; braneggja; skerpa; spíska;h. en knivbrýna knív; (á hvørvisteini)h. knivenleggja knívin á steinin2(fl.m.) h. sin penskriva hvassliga
hvæssesten	brýni, hvessi, hvørvisteinur,(staðb)senda, send
hvæssestål	stál, stálbrýni
hW	
hyacint	(plfr.) hýasint(Hyacinthus)
hyacintagtig	(plfr.) hýasintkendur
hyalit	(steinfr.) glaropalur
hybel	kurpali, klivi, lítið rúm
hyben	(plfr.) hjúpa, rósuber
hybenkradser	slag av snapsi
hybrid1	1(dý.ogplfr.)blendingur, kynblendingur2(málfr.)fleirættaður, fleitættað orð, orðblendingur (orð, sum eru sett saman úr ymsum málum,serst.fremmandaorð við heimligum endingum,t.d.plastikkvirki)
hybrid2	kynblandaður, tvíættaður, blendings-
hybridation	blandan, kynblandan
hybridbus	(tøkn.) blendingsbussur (rikin av olju og/el.el-megi)
hybridkrig	hybridkríggj
hybridnet	(tøkn.) blendingskervi (sendikervi, sum hevur bæði ljósleiðarakaðalar og koparkaðalar)
hybris	(gudal.) hugmóð (úr grikskari gudalæru syndin at hevja seg upp um tær forðingar gudarnir hava sett menniskjum; gudarnir revsaðu menniskjuni viðnemesis)
hydra	1(gudal.)Hydra (ormur í lernisku mýrunum við níggju høvdum sum Herakles drap)2(dý.)margføtla, hydra (polypdýr)(Hydrozoa)3(fl.m.)plága;krigens h. stikker hovedernefremkrígstrøllið toyggir heysarnar fram úr sær
hydrant	(tøkn.) brandkrani, oljuáfylligarkrani
hydrat	(evnafr.) hydrat, vatnsambinding við krystallvatni
hydraulik	(tøkn., al) hydraulikkur
hydrauliker	(tøkn., al) hydraulikari
hydraulisk	1(tøkn.)vatn-, flot-, hydraulisk2(al) h. pressehydraulisk pressa
hydrere	(evnafr.) herða, vetna, hydrera
hydrering	(evnafr.) herðing, vetning, hydrering
hydroafsvovlet	(evnafr.)vætuavsvávlaður
hydrodynamik	vætumáttur, hydroelvi
hydrodynamisk	vætumáttar-, hydrodynamiskur
hydroelektrisk	vatnorkuravmagn, ravmagn vunnið úr vatnorku
hydrofil	1(plfr.) en h. plantevatnsøkin vøkstur2(evnafr.) hydrofilt vatófeittviðgjørt vatt (móts.hydrofob)
hydrofob	1(plfr.)vatnskýggjandi2(evnafr.) hydrofobt vatfeittviðgjørt vatt (móts.hydrofil)
hydrofobi	(lækn.) vatnræðsla (við nervaveikindi ogeis.sjúkueyðkenni við hundaøði)
hydrofoilbåd	(sigl.) flogbátur
hydrofon	undirsjóvarlurt, hydrofon
hydrogen	(evnafr.) vatnevni, vetni, hydrogen (frumevni)
hydrogenisere	(evnafr.) vetna, vetnisbinda, herða, hydrera
hydrograf	sjómátafrøðingur, vatnmátafrøðingur
hydrografi	1(tøkn.)vatnfrøði, vatnlæra2(al)sjómáting, vatnmáting
hydrografisk	1(tøkn.)vatnfrøðiligur2(al)vatnmátara-, hydrografiskur
hydrolyse	(evnafr.) vatnklúgving, hydrolysa
hydroplan	vatnflogfar
hydroponik	(plfr., landb.) vatndyrking (dyrka gróður í føðsluvætu við ongari mold)
hydrosfære	hydrosfera (tann partur av jarðarskorpuni ið er undir í vatni; tann partur av lofthavinum ið hevur vatnguvu í sær)
hydrostatik	vætustøðufrøði, vatnstøðufrøði
hydrostatisk	vatnstøðu-
hygge1	hugni;(viðv.innrættingosfr.)hugnaður, yndi;hjemlig h.heimligur hugni
hygge2	hugna, fjálga, unnast, fara væl um, hjúkla, pjøla, væla um, pjøka um o.;h. sighugna sær, taka sær av løttum;hygge sig med god madgóðga sær;hun hyggede om sineforældrehon hugnaðiel.hjúklaði um foreldur síni;god kunst hygger i hjemmetgóð list fjálgar í heiminum;h. sig med en god boghugna sær við einari góðari bók;nu skal vi rigtig h. osnú skulu vit rættiliga hugna okkum
hyggelig	hugnaligur, íheimligur, hugfarsligur, fýsiligur, makligur, fjálgur, nossligur; (um fólk) blíður, fryntligur, týður, vinaligur;hyggeligt samværhugnasamvera, vinalag;h. stuehugnaligel.fjálg stova;han var h. og rarhann var hugnaligur og blíður; hann var blíður og týður;alt andet end h.ikki tespiligur
hyggespreder	fólk ið breiðir hugna um seg
hygiejne	reinføri, heilsurøkt, heilsufrøði, heilsulæra;personlig h.sjálvsreinføri, sjálvsrøkt
hygiejnebarriere	reinførisforðing
hygiejnebevis	síhygiejnecertifikat
hygiejnebind	mánasjúkubind, reinførisbind
hygiejnecertifikat	reinførisváttan
hygiejnesygeplejerske	(lækn.)smittuverjufrøðingur
hygiejniker	heilsufrøðingur
hygiejnisk	heilsufrøðiligur; reinførur;bo under hygiejniskeforholdbúgva í góðum reinføriskorum;hygiejniske grænseværdierheilsufrøðilig markvirði (hægst loyvda luftdálking sum fólk í vinnu mugu verða fyri)
hygrometer	vætumátari
hygroskop	vætuvísari, hygroskop
hygroskopisk	sýgur vætu í seg
hykle	hykla, látast, gera seg upp, hylja útyvir, plia;h. forénplia fyri einum;h. respekt forlátast virða;h.fromhedhykla góðsku;h. sorglátast syrgin
hykler	hyklari, kávalætismaður, falsari, svikari;den h.,han mener ikke, hvad han sigerhasin hyklarin, hann meinar ikki tað, hann sigur
hykleri	hykl, kávalæti, falslæti, falslótir, lótir, fals, svik, látulæti;hans interesse for sagen er bare h.hansara áhugi fyri málinum er tað bera kávalæti
hyklerisk	hyklandi, kávalætis-, kávalætin, falskur, falslætin, látalætin, sleisk ur, hálur, tvískinnaður, sum letst vera góður;tale h.sleiska;h. talesleisk tala;h. fromhedkávalætisgóðska, halgilótirel.hei lagralótir
hyl	ýl, geyl, gól, skrenj, skrál, gallróp;ynkeligt h.ønskriligt ýl;h. fra en sireneýlini frá eini ávaring;barnet stak i et h.barnið setti í at ýla
hyld	(plfr.) hyllirunnur, ylliniviður(Sambucus)
hylde1	1hill, álag; áfelli; rók, rong;bogen ligger påhyldenbókin liggur á hillini;h. i fjeldetrók2(fl.m.) lægge det på hyldenleggja tað burtur, leggja tað til viks;lagt på hyldengamalt og slitið, burturlagt; sum liggur á láni;han er kommet påden rette hyldehann er komin á røttu rók;hun erkommet på en forkert h.hon er kom in á skeivan bás(el.skeivurók)
hylde2	fagna, hylla, heiðra, hálova; fagna við viðhaldsrópum; taka undir við;kunstneren blevhyldet med bifaldlistafólkið var fagnað við viðhaldsrópum;det princip hylder jeg ikkehasi grundregluni taki eg ikki undir við;h. i ord menikke i gerningtaka undir við í orðum men ikki í verki
hyldeblomst	(plfr.) hylliblóma, síhyld
hyldebort	(á hillosfr.)fles, ryktur bordi, umhang
hyldebusk	(plfr.) hyllirunnur, síhyld
hyldebær	(plfr.) hylliber, ylliniber
hyldebærsaft	hylliberjasevja, hylliberjasaft (til matgerð)
hyldeknægt	(byggl.) hillarknæ
hyldemarv	(plfr.) hyllimergur (mergur í hylliviði)
hyldemeter	hillametur
hyldepapir	hillapappír
hyldest	fagnaður, viðurkenning;vise h.fagna, hylla
hyldesttale	fagnaðarrøða, fagnaðartala
hyldetræ	(plfr.) hyllitræ, síhyld
hyle	1ýla, geyla, gólagráta, skrála, skrenja; stórgráta, øskra, brøla, túta, goyggja, geva seg;h. ynkeligtýla ønskriliga;h. af lattersita í skellilátri, sita kaldur í látri, ringja seg av látri;stormen hyler om hushjørnetstormurin ýlir um húsarhornið2(fl.m.) h. ud af detfáa at missa tamarhald3sumhjhylende grinagtigbeistastuttligur;haner hylende komiskhann er beista skemtiligur(el.stuttligur)
hylehoved	krymp, kroyst, knarr, grenj
hylekor	ýlikór
hylen	1(t.d.íútv)ýl2geyl, geylan
hyleri	ýl, ýlan
hyletone	ýlitóni
hylle	balla, bjarva, hylja, sveipa, vevja, breiða yvir;h.sig i et sjalel.tæppeballa seg inn í eitt sjálel.teppi
hylster	hylki, húsi, slíðrar, skeið, sveip, umbúðir, bjølgur;en saks i læderhylstersaksur í leðurslíðrum;pladehylsterplátuhúsi;knoppernefolder sig ud af hylsteretknubbarnir breiða seg út úr sveipinum
Hymen1	(gudal.) Hymen (gudur fyri brúdleypi og hjúnalagi);blive smedet i Hymens lænkergiftast
hymen2	1(bókm.)brúdleypssongur í forntíð2(lækn.)moyhinna, moydómur, jomfrúhinna
hymne	lovsongur, sálmur
hymneagtig	sálma-, sálmakendur
hymnolog	sálmafrøðingur
hynde	høgindi, púta;stolene var forsynet med hynderpútur vóru á stólunum
hyp	fram! gakk so; hó, hó;sige h. til en hestkoyra á ross;der vil mere til at køre end at sige h.mið leggur eingin uttan hann veit ítini
hyper-	(forskoyti) ovur-, yvir-, framúr, eyka-
hyperaktiv	ovurvirkin, ovurvirksamur
hyperaktivitet	(lækn.) ovurvirkni, ovurvirksemi (tvingaðar rørslur; friðleysur atburður; atferðarórógv hjá børnum, ADHD)
hyperbel1	(stfr.) breiðbugur, hyperbil
hyperbel2	(bókm.) (um stíl) avgerð, hól, skrøgg, tað at gera ov nóg av (móts.litote)
hyperintellektuel	ovurvitborin
hyperkorrekt	ovurrættur
hypermoderne	av nýggjasta slagi, framkomnasti
hypersensitiv	(lækn.) ovurviðkvæmur; smásárur; ovurkenslusamur (kann vera einans lyndistreytað, men viðhvørt av rættiligum nervaveikindi)
hypertoni	(lækn.) ov høgt blóðtrýst
hypertrofi	(lækn.) ovvøkstur
hypertymi	(sálfr.) ovurfýsni
hyperventilation	(lækn.) yviranding, tiving uttan kropsmøði
hyperventilere	(lækn.) yviranda, at tiva uttan at vera móður
hyphest	(barnam.) rossamua
hypnose	(sálfr.)dulleiðing, hypnosa [hip-], gjørt svøvnlíki
hypnotisere	(sálfr.)dulleiða, hypnotisera
hypnotisk	(sálfr.) hypnotiskur
hypnotisme	(sálfr.) hypnotisma
hypnotisør	(sálfr.)dulleiðari, hypnotisørur
hypo-	(forskoyti) undir
hypofyse	(likam.) saðilkertil(hypophysis cerebri)
hypofyseekstrakt	(lækn.) saðilkertilsúrdráttur
hypokonder	(lækn.) skróp, kveiningur, hypokondari, síhypokondrist
hypokondri	(lækn.) sjúkuræðslunervaveikindi
hypokondrisk	(lækn.) skróputur, kveinutur, hypokondriskur
hypokondrist	(lækn.) skróp, kveiningur, hypokondari
hypokrit	hyklari
hypostase	(lækn.) hypostasa (blóðrenslið bilar so at ikki fult vinst á tyngdarmáttinum og blóðvætan setir út í holdið, í beinini í støðu og niður í lunguni, og tá ið ligið verður víðopin eisini um bakið alt)
hypotagme	(málfr.) undirskipan, heildin, yvir- og undirliður
hypotakse	(málfr.) undirskipan (skipanarhátturin yvirliður við undirliði
hypotaktisk	(málfr.) undirskipaður
hypotek	(løgfr.) fastognarveð, veð, undirpant
hypotekbank	(handilsm.) veðbanki, fastognardeild í banka
hypotekforening	(handilsm.– móti veð í fastari ogn) veðlánsfelag
hypotenuse	(stfr.) langsíða, baksíða, hypotenusa [hi-]
hypotermi	(lækn.) hypotermi (órættvorðið lágur kropsylur,t.d.ov kølnaður í køldum sjógvi, vandamikil standur)
hypotese	hugsanargrundarlag, vísindaligt ætl, tilgiting, hugs(t.d.gera sær eitt hugs; hetta er meira hugs enn roynd);fremsætteel.opstille en h.seta upp eitt hugsanarstøði;hans h. er helt hen i vejrettilgiting hansara er burtur í vón og viti
hypotetisk	tilhugsaður, ímyndaður, hugsaður; treytaður; ivasamur;et h. udsagnivasom framsøgn;h. betinget taletreytað tala; (løgfr.)hypotetisk forsætivatilætlan, ivaforráð
hyppe	1(landb.)hyppa, ryggja;h. kartoflerhyppa (upp) epli, ryggja epli2(fl.m.) han vil h. sine egne kartoflerhann sætar sær, hann nørir at sær
hyppejern	(landb.)ryggijarn, lúkijarn, hyppijarn, hyppingarjarn
hyppig	1tíður, íðuligur;h. gæstdagligur gestur, fastur gestur, fastur fúsur, hann er javnan inni á gólvinum2sumhj hyppigtofta, tíðum, íðuliga, javnan;detsker hyppigttað er íðuliga
hyppighed	1tíðføri, títtleiki2(stfr.) relativ h.lutfalsligt tíðføri;opsummeret,kumuleret, summeret h.samanlagt tíðføri
hyr	stríð, knoss, baks, slit;have sit h. med nogethava sítt baks við eitt
hyrde	1hirði, seyðamaður, røktingarmaður, hagamaður2(fl.m.)oddamaður3(átr.) den gode h.tann góði hirðin(t.e.Jesus)4(bíbl.) hyrderne ... holdt nattevagt overderes hjordhirðar lógu úti á markini um náttina og goymdu at seyðafylgjum sínum (Luk. 2, 8);Herren er min h.Harrin er hirði mín (Sálm. 23, 1)
hyrdebrev	1(átr.)hirðabræv (rundskriv frá biskupi til prestar og kirkjulið; rundskriv frát.d.ráðgevum)2(løgfr.)rættarleiðbeining
hyrdedigt	(bókm.) hirðayrking
hyrdedigtning	hirðaskaldskapur (skaldskapur á bundnum máli har einfalt og fullkomið lív á bygd verður lýst; kemur ofta fyri í skeiðum ið eru mentanarliga ovurfínkað)
hyrdedreng	(gl) smaladrongur, seyðadrongur
hyrdehund	(dý.) seyðahundur
hyrdestav	1krókstavur, fjallstavur2(kat.)pávakrókstavur, biskupskrókstavur
hyrdetaske	(plfr.) hjartaarvi(Capsella)
hyrdetime	ástarstund
hyrdetæppe	hirðateppi
hyrdinde	(gl) smalagenta
hyre1	1(sigl.)hýra, løn, partur;matroserne fik udbetaltfuld h. ved hjemkomstenmatrósarnir fingu alla hýruna útgoldna, tá ið teir komu heim2(sigl.)hýra, kjansur;tage h. som menigsømandfáa kans sum vanligur sjómaður
hyre2	stríð, baks;have sin h. med nogethava sítt stríð av onkrum
hyre3	1(sigl.)fáa sær hýru, mynstra;h. et mandskabfáa sær manning, biðja fólk2leiga(t.d.ein taxa)
hyrebasse	(sigl.) hýrubassi (maður, ið útvegar manning til skip)
hyrekusk	(gl.) eiguvagnstjóri
hyrekørsel	hýrukoyring
hyrevogn	hýruvognur, leigubilur
hys	(ljóðorð) hússj!, bindið frið!, verið friðarlig!, tegið!, tegi!, tigið!, tigi!
hysse	biðja ein tiga;tilskuerne hyssede ad skuespilletáskoðararnir fístu at sjónleikinum
hyssen	blástur, uss, hússjan
hyssing	(sigl.) tvein, seglgarn (trítáttað, at bensla við)
hystade	kvennvargur, ovursint konufólk
hysteri	(lækn.) hýsterí, móðursjúka;anfald af h.hýsteríherðindi, gerast frá sær sjálvum, vera heilt út av nálini
hysteriker	(lækn.) hýsterikari
hysterisk	hýsteriskur;blive h.el.få et h. anfaldgerast frá sær sjálvum
hytte1	1smátta, kroysa, kovi, rann, kurpali, kurpalahús, híð;elendig h.veggjakroysa;h. medet par små stuersmátta við smáum rúmum2skúr, smiðja, verkstaður
hytte2	verja, bjarga; sæta;h. sig mod kuldenverja seg fyri kuldanum;jeg skal nok h. migeg man fara at greiða mítt; (oftaniðr.) h. sit skindsæta sær;fanden hytter sinefjandin sætar sínum
hyttefad	dammur (at goyma livandi fisk í);h. forkonksneglegággukassi, kúðingakassi
hyttemester	(tøkn.) námsvirkisformaður
hytteost	smáttuostur, kovaostur
hytteret	síhytteost
hyttesko	smáttuskógvar(líkir mokkasinum við ongum tveingjum), heilir inniskógvar
hyæne	1(dý.)hýena(Hyaena hyaena)2(fl.m.)illsint konufólk
Hz	
hæder	heiður, sómi, sømd, virðing, æra; prýði;vise én h.sýna einum virðing, vísa einum sømd;hun er enh. for sin standhon er heiður fyri sína stætt;skælde én h. og ære fraskammdeila ein;stå påsin hæders tindestanda á heiðurstindum, vera upp á sítt besta
hæderkronet	nógv virdur, í stórum mæti, heiðurskrýndur; viðgitin, víðagitin, víða gitin; nógv umhildin
hæderlig	1heiðurligur, ærligur, álítandi, falsleysur, reiðiligur, lýtaleysur;hæderligt menneskereiðiligt fólk2sámiligur, hampuligur;få en h. gagefáa sámiliga løn;bogen er h., men ikkefremragendebókin er hampuliga góð men ikki framúr
hæderlighed	heiðursemi;jeg respekterer hansvidenskabelige h.eg virði hansara vísindaliga heiðursemi;han er hæderligheden selvhann er heiðursmaður
hædersbevisning	heiðurstekin, heiðursløn, sømdir, navnbót, tignarmerki;den store kunstner blev genstandfor mange hædersbevisningerstóri listamaðurin fekk nógvar sømdirel.heiðurslønir
hædersdag	heiðursdagur
hædersgave	heiðursgáva, sømdargáva;ved jubilæet fikforfatteren overrakt en h.á hátíðarhaldinum fekk høvundurin handaða sømdargávu
hædersgæst	heiðursgestur
hædersmand	heiðursmaður, óførur maður
hædersplads	heiðurssessur, tignarsæti;indtagehæderspladsensita í, hava heiðurssessin;hæderspladsen ved bordet var vedværtindens venstre side
hæderstegn	heiðurstekin, sømdarmerki, tignarmerki, heiðursgripur;vinde h. for sportspræstationvinna heiðurstekin fyri ítróttabragd
hæderstitel	heiðursheiti
hæderværdig	heiðursverdur
hædre	1heiðra, æra, virða, tigna;h. énveita einum sømdir, heiðra ein;h. ens minniæra minni um ein;kongen hædrede ham med en hilsenkongur heiðraði hann við eini heilsan2sumlhædrende omtaleheiðurlig umtala, sømdarorð;hædretheiðraður, gøvgaður
hæfte1	1(løgfr.)hefti (linasta varðhaldsrevsing)2smárit, hefti;værket udkommer i hæfterverkið verður útgivið í heftum;et h. til notatereitt hefti til viðmerkingar
hæfte2	1hefta, festa;h. løseligpenta, penta saman; (í seyming) kasta um, trokla, tráðdraga, stima, kneppa;hæftes fastfestast;hans blik var hæftetpå et bestemt punkteyguni vóru fest á ávísan stað;h. sig vedgeva sær far um, lurta eftir, sansa, varna, varnast um;jeg hæftede mig ikkeved bogens titeleg gav mær ikki far um hvussu bókin æt;der hæfter ingen mistanke vedhendeeingin illgruni hongur uppi við henni2(løgfr.)ábyrgjast, bera ábyrgd fyri, borga, skuldbinda;han hæfter for eventuelle tab medhele sin formueskuldi illa viljað til, ábyrgist hann við allari ogn síni;h. personligtábyrgjast sjálvur;h. solidariskbera samábyrgd3sumlhæftendeábyrgur
hæfteklamme	heftiklemma;(tlm.)egg
hæftelse	(løgfr.) veð í fastognum, ábyrging, ábyrgd, skuldbinding, haft, band, hefting, bundinskapur;personlig hæftelsepersónlig ábyrgd
hæftelsesrubrik	(løgfr.) loftingarteigur (í tingbók við yvirliti yvir veðrættindi, fíggjarnám og lóghald)
hæftemaskine	heftimaskina;(tlm.)høna
hæfteplaster	heftiplástur
hæftestraf	(løgfr.) hefti
hæftevis	í heftum;udkomme h.koma út í heftum
hæg	(plfr.) almindelig h. vanligur heggur(Prunuspadus)
hæge	fjálga um, hjúkla um, húgla um, pjøgga, ansa eftir, verja, hirða fram, ala fram, friða, friðhalga, líva, lívga, væla, væla um;h. om sinebørnhjúkla um síni børn;h. om en plantelívga um plantu
hægebær	(plfr.) heggber
hægte1	1(á kjólaosfr.)hekti; krókur; krøkja; (á perluketuosfr.)lás, spenni;h. og mallekrókur og lykkja2(fl.m.) komme til hægterneernast, hivna upp, koma aftur fyri seg, pretna(st) upp
