L1	rómv. taltekn fyri 50
losull	sílesull
losær	[ewe with loose, ragged wool]© Eyðbjørn Jacobsen
lot	1puff (of air), breath of air, gentle breeze,eitt lot av eystria gentle easterly breeze;lotið datt burturthe breeze spent itself, the breeze abated2(veðurfr.)light breeze (1,6 - 3,3 m/sec.) (wind force 2 on Beaufort scale)3(stb.)humour, mood, spirits, temper,vera í góðum/ringum lotibe in a good (bad) humour;tá ið tað lotið var á honumwhen the mood was (up)on him4halda seg upp undir lotið á e-mkeep close to someone; make up to, soft soap (, toady to) someone
lota	1(um vind) blow gently, be in a light breeze:hann el. tað lotarit is blowing gently;lota úr hanakjafti, síhanakjaftur;lota á(begin to) blow,hann fer at lota áit is beginning to blow2(fl.m.) hvussu lotar?what sort of mood are you in?
lotaligur	(stb.)sílotarsligur
lotaraligur	(stb.)sílotarsligur
lotarsligur	(stb.)embarrassing, awkward(t.d.situation; a rather awkward scene; awkward questions);tað hevði verið lotarsligthow very awkward
lotast	(sj.)(um fólk) become embarrassed
lotið	síljóta
lotin	(stb.)sílotur
lotur	1(um fólk) embarrassed, ashamed,hann situr so loturhe looks very embarrassed2(um bát) pointed, fine; with slight sheer forward; with insignificant sheer
lotusblóma	(plfr.)lotus flower(Nelumbium lutium)© Wikimedia Commons
lov1	leave, permission,biðja um lov atask for permission to, ask to be allowed to; (formligari) ask leave to;gera eitt uttan at biðja lovdo sth without asking;fáa lov atbe permitted(el.allowed) to, get permission to;tað fært tú ikki lov til!no, you don't!;geva honum lov atpermit(el.allow) him to do it; give him permission to do it;hava lov til at(loyvi) be allowed(el.permitted) to; (rætt) have a right to, be free to;tað mugu vit hava lov tilI don't see why we shouldn't!;tað skalt tú hava lov til!all right!, go ahead!
lov2	praise,Harrin havi lov (átr.)God be praised!; (sum lætti) thank God!; (mildari) thank goodness!
lova1	1give permission (to), allow, permit;síloyva;lova e-m at gera e-tgive someone permission to do sth;lova e-m inn/útgive someone permission to come in (, go out); (um konufólk)hon lovar sum lambiðshe is an easy lay; she puts it about, she is easily bedded2promise,(t.d.promise him sth; promise him to do sth; I have promised myself a holiday);hitt lovaða landiðthe Promised Land; give a promise, (hátíðarliga) pledge; (svørja) vow;tað lovi eg!I promise!;men eg kann einki lovabut I cannot promise (anything);lova e-t burturpromise to give sth away;hava lovað seg burturhave another engagement; have accepted another invitation;eg skal lova fyri at hann varð glaður!you bet he was glad!, and wasn't he glad!;(serl. am.)I'll say he was glad!, was he glad!eg skal lova fyri at handa gentan dugir at syngja! (serl. am.)can that girl sing!(ja) tað skal eg lova fyri!I'll say so!, I'll say he did (, waso.tíl.)! (serl. am.)and how!(spei.:noktandi) not on your life!halda tað tú hevur lovaðkeep one's promise(el.word), be as good as one's word;(tlm.)deliver the goods;lova meira enn ein kann haldapromise more than one can do;lova høgt og heilagtpromise solemnly, vow;lova iltgrumble, threaten;lova í sínum stilla sinni atregister a vow that; promise oneself that;hann lovaði við sær sjálvum, athe promised himself that ;(kvæð.) lovast e-mbetroth oneself to
lova2	praise(t.d.God be praised), laud(t.d.laud him to the skies), extol
lova3	(kvæð.)love,lova e-nlove sombody
lovgerð	(bíbl.)praise, eulogy, encomium
lovkvæði	song of praise;(átr.)hymn of thanksgiving, praise
lovnaður	promise
lovoffur	(bíbl.)sacrifice of thanksgiving
lovorð	eulogy, words of praise
lovprísa	praise, laud
lovprísan	praise, eulogy, encomium
lovsálmur	(bíbl.)hymn of thanksgiving, praise
lovsongur	(bíbl.)paean, paean of praise, hymn of thanksgiving; song of praise
lovsyngja	praise, sing the praises of
lovtala	encomium, panegyric, eulogy;halda lovtalu um e-neulogize sby,speak in praise of sby,sing sby's praises
loybummur	(skip.)deck horse
loyggin	sultry, oppressive
loyna1	secret
loyna2	hide, conceal, keep secret, keep dark; hush-hush;tað varð loynt fyri honumit was kept (a) secret from him; he was kept in the dark (about it);loyna særhide one's feelings (, true character);menniskjan er sær sjálvari lík, hon loynir sær ikkiit is man's nature, he does not conceal his feelings
loynd	conceiling, hiding; secret, concealment,hon hevur tað í loynd fyri mærshe keeps it a secret from me;í loynd(um)secretly, clandestinely, in secret
loyndarbræv	confidential (, secret) letter
loyndardómur	secret(t.d.keep a secret; have secrets from him), secrecy(t.d.in (deep) secrecy)
loyndarfullur	mysterious,(t.d.his mysterious disappearance; a mysterious crime)
loyndarfundur	síloynifundur
loyndarmál	1secret(t.d.the secrets of Nature; the process is a trade secret; let us have no secrets from each other; a closely guarded secret);eitt stórt loyndarmála great secret;tað skal ikki vera nakað loyndarmál atI don't mind telling you that;alment loyndarmálan open secret;avdúka loyndarmálbetray a secret, disclose the secret;eg avdúki einki loyndarmál tá ið eg sigiI disclose no secret when I say;djúpt loyndarmála profound secret;goyma eitt loyndarmálkeep a secret;hava loyndarmál fyri honumhave secrets from him;lokka loyndarmálið úr honumworm(el.ferret) the secret out of him;siga honum eitt loyndarmállet him into a secret; confide a secret to him;víga hann inn í loyndarmáliðlet(el.initiate) him into the secret;vígdur inn í loyndarmáliðinitiated into the secret; in the secret;(tlm.)in the know2(loynilig viðgerð, handfaring) secrecy(t.d.the secrecy of the ballot; the secrecy of the mails)3(dulsmál) mystery(t.d.the mystery was never cleared up); secret(t.d.shall we ever know the secret of Shakespeare's sonnets?)4(snild) secret(t.d.the secret of success is never to give up; the whole secret is to keep your eye on the ball);tað er alt loyndarmáliðthat is the whole secret; that is all there is to it;loyndarmálið við títhe secret of it;varnast loyndarmáliðfind out the secret
loyndarmikil	síloyndarfullur
loyndarsamur	síloyndarfullur
loyndarsemi	mystery; secret, concealment
loyndómur	(sj.)síloynidómur
loynibræv	confidential (, secret) letter
loynibrøgd	underhand dealings
loynidómur	síloyndarmál(3)
loynidyr	secret door
loynifundur	secret (, clandestine) meeting
loynigong(d)	secret passage
loynihandil	illicit traffic
loynikamar	closet;í hjartans loynikamariin the closet of the heart, in one's heart (of hearts), in the secret recesses of one's soul
loynikeypmaður	(sø.)illicit trafficer, smuggler
loynikeypskapur	(sø.)illicit traffic, smuggling
loynikeypskip	(sø.)smuggling vessel
loynikovi	closet;síloynikamar
loynikrókur	secret recess(t.d.the secret recesses of the soul); secret nook, hiding-place
loyniligur	1secret(t.d.a secret code, door, drawer, passage, society, treaty; the secret ways of God; the secret workings of nature);halda tað loyniligtkeep it secret(el.dark);vit hildu tað loyniligt fyri honumwe kept it (a) secret from him; (í trúnaði) confidential(t.d.a confidential message; a document marked "Private and Confidential"(el."Most Secret"el."Top Secret")); (fjaldur) concealed(t.d.a concealed door, passage, stairway); (privat) private; (okkultur) occult; (í loyndum) clandestine;loyniligt hjúnalagclandestine marriage; furtive(t.d.a furtive smile), stealthy; hush-hush(t.d.atmosphere); under cover(t.d.activities, organisations);(polit.ogherm.)classified(t.d.documents);loyniligur fundura secret sitting;loyniligt nummar (tlf.)unlisted number;loynilig skrifta cryptogram;loynilig trúlovingsecret engagement2hj-liga,fara loyniliga við e-mdo sth secretly (, in secret; clandestinely)
loyniløgregla	the secret police, intelligence service(el.agency)
loyniløgreglumaður	(intelligence) agent
loynimaður	(kvæð.)secret lover
loynimál	secret
loynimið	[fishing-gound which is kept secret by those who found it]
loynimynd	1(teknað) puzzle picture2(sjv.) (svarar til)Candid Camera
loyning	the act of hiding,á loyningumsecretly, in secret
loyningur	síloyning
loyniorð	(teld)password
loyniráð	underhand dealings(el.work), scheming, scheme, plot, wiles(t.d.defeat sby's plot);brúka loyniráðhave recourse to underhand methods, play an underhand game;leggja upp loyniráðscheme, plot; hatch plots
loynisamur	mysterious, (um fólk) secretive
loynispeki	occultism
loynistaður	secret hiding-place (til lutireis:cache)
loynistempla	classify,loynistemplað skjølclassified documents
loynistíggjur	secret path
loynistígur	(kvæð.)síloynistíggjur
loynisøtur	[who keeps sth to oneself ]
loynital	code
loynitangi	(kvæð.)remote (, hidden) isthmus
loynivápn	(herm.)secret weapon
loynivegur	secret path,(fl.m.) eftir loynivegiby underhand means, by the back door, underhanded(ly)
loynivitska	(sálfr.)subconsciousness, subconscious mind; eis.undirvitska
loynivørur	smuggled goods
loyniætlan	hidden plan
loynliga	secretly, privately, in secret, in private; (í loyndum) clandestinely;(tlm.)on the sly
loypa	1let jump, let leap, let spring;loypa niður í segconsume, eat,loyp hetta niður í tegget this down inside you;loypa e-t niður í e-nmake sby believe sth,onkur hevði loypt hetta niður í hana sbyhad made her believe that2(um rossleyp) empty3cause, effect, bring about,loypa brell á e-ncause a strong desire (in sby for sth);loypa ekka á e-nstrike terror into someone, make someone afraid;loypa fløkju ímuddle, muddle up, mess up, entangle, complicate;loypa órógv ícause a disturbance (, interruption);loypa split íbreak in;loypa steðg ícause the stoppage (of something);loypa øði í e-nput someone in a rage;loypa út í orðcirculate a report, let sth be rumoured4cause to separate, disperse; boil slowly, parboil;loypa fiskparboil fish;loypa fliðurboil limpets;loypa mjólkcurdle milk;(fl.m.) eg loypistI'm simply melting (with heat)
loypingarstampur	bowl of junket
loypingur	curdled milk, junket
loypur	síleypa
loysa1	split, crack in stone
loysa2	1(loysa úr bandio.s.fr.)release, free; loosen(t.d.a knot), untie; set free(t.d.set sby free from captivity); let loose(t.d.let loose the dog; let the dog loose);(sjóm.) loysa frá landiput to sea2(tøkn.)release, let out(t.d.the clutch)3(gera leysari) loosen, slacken4(gera frían, avtaka) detach5(leinkju, knút) loosen, undo,loysa bandið um ein pakkaundo a parcel, untie(t.d.a knot)6(keypa leysan) ransom; (átr.el.um pant) redeem7(keypa) buy, get, take out8(úr bindingum, skyldu) release(t.d.from a contract)9(trupulleikao.s.fr.)solve(t.d.a problem; the problem will solve itself(el.sort itself out))loysa eina líkningsolve an equation;(tlm.)work out(t.d.a solution); do(t.d.a calculation, a sum); resolve(t.d.a dissonance; a dispute)10(um land) detach, sever(t.d.sever the colonies from the mother country); (gerast sjálvstøðugur) secede, break away(t.d.Ceylon had no desire to break away from the Commonwealth);loysaseg frá (politiskto.s.fr.)secede from(t.d.Scotland is bound to secede from Britain), separate from, break away from11(um regn, óveður) a storm is blowing up,hann loysti við regnithe rain poured down;hann hevði loyst avfalliðit had begun to rain (violently);hann loysti óveðura storm broke;hann fer helst at loysa luftinait is probably going to rain12(um læknaráð) work as an aperient (, laxative)13[ísamb.viðfs/hj]loysa av1loosen from sth, open(t.d.open a sack, open a bag);loysa av sær(um bjargamann) [untie the rope around the waist],loysa skot avfire a shot2speak one's mind, begin to abuse someone3relieve(t.d.the guard, a policeman, a sentry, the watch)4(um regn, óveður) break(t.d.the storm broke);loysa burtur(um veðragjóling) leave its pasture;loysa burtur undan tráðu[untie the line from a fishing rod];loysa frá1abuse sby;(tlm.)really give it to them;(tlm.)call sby names; give sby the sharp end of one's tongue;(am.)bawl sby out; (he broke into a torrent of abuse against her; run sby down in the newspapers)2(um lamb) [leave the ewe];loysa niður um e-npull someone's trousers down;loysa e-n undan(e-m)free from, release from, relieve from, exempt from, excuse from,loysa e-n undan allari ábyrgdrelieve sby of all responsibility;loysa e-n undan e-m eiðirelease sby from his oath;loysa e-n undan sínum skyldumrelease sby from(el.relieve sby of) his obligation;loysa upp1untie; undo(t.d.a knot)2(evnafr.)dissolve(t.d.dissolve a metal by acid; dissolve sugar in water)3nú er loyst upp fyri honumOur Lord (, death) has delivered him; God has called him home;loysa úr1(um sigmann)loysa seg úr[untie the rope around the waist]2tað loysir ikki úr góðumno good will come (out) of it3loysa úr lagdi, sílagdur 14result in, end up with5loysa úr starvidismiss(t.d.dismiss him from his post; dismiss a servant);(serl.úr lægri starvi) discharge; (frá embætieis.)remove(t.d.judges can only be removed for misconduct); (fyribils) lay off(t.d.500 carworkers were laid off); (fyri aldur) retire(t.d.he was retired at 65);(tlm.)fire, sack, give the sack;Sgive the push, give the boot;loysa e-n úr starvi við eftirlønpension sby off, dismiss sby with a pension;vit noyddust at loysa hann úr starvi (eis.)he had to go;loysa prest úr embætidefrock a clergyman;tygum eru nú loystur úr starvi!your services are no longer required;(tlm.)you're fired!;loysa út1(um kýr) let out to graze2redeem, liberate, (set) free, rescue3get sth out of pawn4collect and pay for5(um mann) expose one's nakedness, expose oneself indecently; flash14[íyms.samb.]eg havi mangt orð loyst um teg í veturI have often talked about you during the winter;loysa høvdiðmake oneself worthy to live, save one's life;loysa spenningease(el.relieve) the tension(o.tíl.); nú eri eg loysturnow I have caught my first fish;ikki loysa ongulinnot catch a single fish;loysa handilsbrævtake out a trade licence;loysa segcast off; be advantageous (, worth while),tað loysir seg ikkiit cannot pay;hesin túrur loysir ferðina nóg vælthe catch has made the trip profitable
loysifæ	síloysigjald
loysigjald	ransom,krevja loysigjald fyri e-nhold sby to ransom;tey kravdu £1, 000 í loysigjaldi fyri hannthey demanded £1, 000 in ransom for him.
loysiligur	(alisfr.)soluble,gera loysiliganrender soluble;loysiligur í guvuvolatilizable;loysiligur í vatnisoluble in water, water-soluble;lætt loysiligureasily soluble;illa loysiligursparingly soluble
loysin	1(bú.)paying(t.d.a paying concern(el.proposition))2(teld:um telduskíggja)háloysinhigh resolution
loysing	1detachment, severance; secession(t.d.the secession of the American colonies); separation, emancipation, severance(t.d.the complete severance of Burma from the British Commonwealth)2(evnafr.)solution,loysing av sukri og sprittisolution of sugar and alchohol;mettað loysingsaturated solution3(evnafr.)solubility
loysingarevni	(lækn.)solvent; (fyri ketilstein) decalcifier, anti-scale composition
loysingarflokkur	(stjm.)separation party
loysingarkríggj	war of secession(el.emancipation)
loysingarlýðveldi	breakaway republic
loysingarmaður	(stjm.)separatist
loysingarsinnaður	(stjm.)separatist
loysingur	(sj.)showery weather
loysn	1release, liberation; loosening, slackening; relaxation2(átr.)redemption,menniskjans loysn gjøgnum synd og líðingthe redemption of man through sin and suffering3(av trupulleika, líkning) solution(t.d.there is no easy solution to the problem; find two possible solutions of the equation; in the end the problem solved itself; it was the officeboy who eventually came up with the answer; a temporary solution; the final solution); answer(t.d.to a chess problem);finna loysnirdetect solutions;eingin nøktandi loysn á trupulleikanum er funnin ennno satisfactory solution of the problem has been reached(el.arrived atel.found);sum enn ikki hevur funnið eina loysnunsolved;loysnin á gátunithe solution(el.unravelling) of the mystery; the answer to the riddle; (í leiki = loysnin á knútinum) the dénouement;lukkulig loysnhappy solution; (í leikio.s.fr.)happy ending;rætta loysninthe correct solution;samlað loysnpackage solution
loysna	(tlm.)sílosna
loysnargjald	(bíbl.)síloysigjald
loysnari	(bíbl.)Redeemer
loysnarknappur	(teld.)escape key
loysnarmaður	(bíbl.) verður bróðir tín fátækur og má selja nakað av jørð síni, tá skal loysnarmaður hansara, tann, sum honum er næstur, koma og loysa tað, sum bróðir hansara hevur seltif thy brother be waxen poor, and hath sold away some of his possession, and if any of his kin come to redeem it, then shall he redeem that which his brother sold; if your brother be becomes poor, and sells a part of his property, then his next of kin shall come and redeem what his brother has sold
loysnarorð	motto, slogan(t.d.our slogan is "high quality and low prices"), watchword
loysni	(teld)resolution
loysningsluft	showery sky
loysningur	1precipitation2síloysn
loysunarorð	síloysnarorð
loytnantur	(herm.)lieutenant
loyva1	1(geva loyvi til) allow(t.d.I can't allow that); permit (e-m at gera e-t sby to do sth); give permission to;tað er ikki loyvtit is not permitted; tolerate(t.d.he does not tolerate rude remarks); let(t.d.he won't let us smoke); (meirabókm.)suffer(t.d.he would suffer no one to speak in his presence)2(við ikki-personligum grundliði: gera møguligt) admit of(t.d.it admits of no doubt (, of several interpretations)); allow (of), permit (of)(t.d.a tone which allowed of no reply; my salary will not allow me to keep a car; the system permits of no exceptions; so far as health permits); (í noktandi setn.eis.)brook(t.d.the matter brooks no delay)3(málfr.)tolerate, admit(t.d.Japanese does not tolerate(el.admit) any terminal consonants except n)4[ísamb.við"sær"]kunna loyva sær (t.e.hava ráð til) be able to afford(t.d.to keep a car)(GG:I cannot afford to run a car);hann heldur hann kann loyva sær althe thinks he can do anything he likesloyva sær atallow(el.permit) oneself to(t.d.the words he permitted himself to use); (ditta sær at) venture to, take the liberty of -ing, presume to(t.d.I venture to call(el.I take the liberty of calling) your attention to);(spei.)take leave to(t.d.I take leave to doubt this);eg loyvi mær at(í handilsbrævi) I would;(gl.)I beg to; (í almennum stíli) I have (the honour) to; I take the liberty of;loyva sær eitt (t.e.ofra e-t upp á seg sjálvan) allow oneself sth(t.d.allow oneself a cigar); indulge in (the luxury of) sth(t.d.indulge in (the luxury of) a bottle of champagne); permit oneself sth(t.d.the only luxury he permitted himself);(t.e.ditta sær eitt) venture sth(t.d.a joke);eg loyvi mær at viðmerkjaI venture to observe, allow me to observe(GG:with respect, may I say that these figures are hardly correct);(spei.)I take leave to observe;eg loyvi mær at gera vart viðI have(el.would) like to point out;vit loyva okkum á henda hátt boða tygum fráwe (have the honour to) inform you that; we have pleasure in informing you that;kann eg loyva mær at biðja um tygara meining?may I (venture to) ask your opinion?um eg kundi loyvt mær at komið við eini viðmerkingif I might venture a remark;hann loyvir sær nógv(frælsi) he takes a good many liberties;(ofta =)he takes a good deal upon himself5[íyms.samb.]loyva e-m at gera e-t (eis.)give sby leave to do sth;kann mær verða loyvt atallow(el.permit) me to; (formligari) may I make bold(el.free) to;so skjótt sum umstøðurnar loyva (tí) when (, as soon as) circumstances permit;plássið loyvir mær ikki atthe space at my disposal does not permit me to; considerations of space forbid me to;um tíðin loyvir tíif time permits, time permitting;her er ikki loyvt at roykjasmoking is not allowed(el.permitted) here;loyvastget permission to
loyva2	loyva sær save one's strength, take things quietly
loyvd	(skaldsk.)síloyvi
loyvi	1leave(t.d.ask (, beg) leave to; you have my leave to do what you like),hann fór uttan at biðja um loyvihe went without a `with your leave'el.`by your leave'; permission(t.d.we cannot print this without the author's permission); (góðkenning) sanction(t.d.we must obtain his sanction first);skrivligt loyvipermit2(frá myndugleika etc.eis.)authorization; permit, licence(t.d.to fish; build a house by licence; firearm licence);hava loyvibe licensed;loyvi at selja brennivínlicence to sell(el.for the sale of) alcoholic beverages;(am.)liquor licence;geva manni loyvi at selja øllicense a man to sell beer; concession,geva e-m loyvi til eitt (t.d.at flúgva upp á Føroyar) give sby a concession to sth; grant sby a concession of(el.the (sole) rights of) sth3[íyms.samb. ]biðja um loyvi atask for permission to, ask to be allowed to; (meira formliga) ask leave to;biðja um loyvi at tosarequest leave to speak;gera eitt og ikki biðja um loyvido sth without asking;fáa loyvi til atbe allowed(el.permitted) to; be authorized to; be licensed to; get a licence to;fáa myndugleikanna loyviobtain the permission (, authorization, sanction) of the authorities;tað fært tú ikki loyvi tilno, you don't!;fruktin fær loyvi at rotnathe fruit is left to rot;geva loyvi til atgive permission(el.leave) to;geva honum loyvi til atgive him permission(el.leave) to; allow(el.permit) him to, authorize him to(GG:we can go ahead with the scheme as soon as he gives us the green light);hava loyvi til atbe allowed(el.permitted) to(GG:you have your chairman's permission to smoke); be licensed to;við tygara loyviwith your permission, with(el.by) your leave; (við mótsøgn) with all due deference (to you); with respect(t.d.with respect, I do not think that is quite correct);við loyvi frá harra Jones(við mótsøgn,eis.)pace Mr Jones(t.d.pace Mr Jones, I think we should accept the offer);við tygara loyvi ella eiwhether you like it or not
loyviligur	permissible; admissible; allowable
loyvisbræv	licence(t.d.to fish; to sell intoxicating liquours; trade licence; licence to practise medicine)
loyvisgevi	licenser
loyvisgjald	license fee
loyvishavandi	loyvishavandi felag concessionary company; (ofta) public utility;(løgfr.)chartered corporation
loyvishavi	licensee, licence holder
loyvisleysur	with no license, unlicensed
loyvislóg	appropriation act
loyvismyndil	concession model
loyvisskeið	license term
loyvisteigur	license block
loyvistillutan	license allocation
loyvistreytir	license conditions
loyvisumfar	license round
loyvisumsókn	application for a license
loyvisveitari	licenser
ló1	(kvæð.)sílógv2
ló2	sílæa
lóð	sílaða
lóður1	powder and shot; ammunition
lóður2	crop, yield,njóta lóðrið av tínum starvi og strevireap the benefit of your toil;(orðt.) lóðrið fylgir fóðri[if the cow is well fed it will yield much milk]
lóðurgoymsla	ammunition depot; (fyribils, úti) (ammunition) dump
lóg	1(løgfr.)(alment um náttúru-el.mállógo.s.fr.)law(t.d.Roman law; according to the law of England; (málfr.) Verner's law;(alisfr.)law of gravitation)2(støk lóg sum lóggevandi myndugleiki hevur givið) law, code, Statute, enactment, Act (of Parliament);(am.)Act of Congress3(lógaruppskot) bill4(sum lokalur myndugleiki gevur) by(e)-law; regulationsflt5(til lærdan háskúla, felago.s.fr.)statutes, rulesflt6(partafelagsviðtøkur) articles of association; (moralsk, listarligo.s.fr.)law; canon(t.d.of taste); code(t.d.of honour);lógir(2,eis.)legislation; jurisdiction7[ísamb. viðnogl]andi lógarinnarthe spirit of the law;armur lógarinnarthe arm of the law;búskaparligar lógireconomic laws;í eygum lógarinnarin the eyes of the law, in law;lógir í gildithe acts at present (, at that time) in force, the existing(el.current) legislation;landsins lógirthe law of the land;Móselógthe Mosaic Law;náttúru lógirthe laws of nature; natural law;lóg og landaskillaw and order;lógin og profetarnirthe law and the prophets;lógir og reglur (ásetingar) (svarar til)rules and regulations;lógarinnar stavurthe letter of the law;lóg og rætturlaw and order(t.d.preserve law and order); (law and) justice(t.d.there is no justice in this country!); the rule of law;óskrivað lógan unwritten law;lógarinnar talvur (bíbl.)the Tables of the Law;varðmenn lógarinnarlaw-enforcer(GG:eis. he is a (, the) minion of the Law);ynski títt er mær lógyour wish is my command; your will is law to me;(tlm.)you have only to say the8[ísamb. viðs]lógin ásetur atthe law (, the Act) provides(el.lays downel.prescribesel.stipulates) that;bróta eina lógbreak(el.violateel.infringe) a law (, an Act);bróta lóginainfringe(el.offend against) the law;lóg er lóg og lóg skal brótastthe law of the land must be broken;broyta eina lógchange a law;(ting.)amend an Act;tað fylgir ávísum lógumit follows(el.is subject to) certain laws;ganga lógarinnar veg(lógliga) lawfully, legally, by legal means; through the proper channels; (gjøgnum rættin) through the courts;teir ganga eftir sínum egnu lógumthey are a law unto themselves;gerast lógbecome law, be promulgated; come into force;halda eina lógobey a law;halda lóginakeep within the law;(tlm.)stay on the right side of the law; (um kongo.s.fr.)keep the law;lóg er lóg og lóg skal haldastthe law of the land must be respected;halda seg innan fyri lógarinnar karmar (eis.)keep within the thin white line;ógilda eina lógrepeal an Act;smíða lógirmake laws, legislate; (serliga um mytiskan lógarsmið,t.d.Solon) give laws;snara lóginatwist the law; (minni álvarsligt) bend the law9[ísamb. viðfs]brotálóginainfringement(el.violation) of the law;eftirlógini according to law, in law, as prescribed by law;undir revsing eftir lóginiunder penalty of the law;landbúnaðarlóginfrá1947the 1947 Agricultural Act;lógin frá 10. apríl 1963the Act of April 10, 1963(GG:ikki-enskar lógir kunnu verða endurgivnar soleiðis, enskar og amerikanskar lógir verða ikki endurgivnar við dagfesting);lóginfyri(1) the law governing; the law dealing with(el.concerning);(tlm.)the law on; (2) the Act(el.Statute) governing(el.dealing with);eins fyri lóginiequal before the law;sama lóg fyri rík sum fátækthe same law for rich and poor;íkongsins og lógarinnar navni [in the name of the King and the Law];sambærtlógini (l) according to law, lawful; (hj) lawfully;sambært hesi lóg kundu vit kravt skaðabøturunder this law we could claim compensation for damage;sambært lóg frá 1. maj 1960as provided in(el.prescribed byel.laid down in) the Act of May 1, 1960;vardur sambært lóg fráprotected under the Act of;gera sær eitttillógmake a rule of sth;lóginumeftirlit við skúlum (o.s.fr.)the Inspection of Schools (o.s.fr.)Act;lóg um broyting í lóg frá 1.5.1963An Act to Amend the Act of May 1, 1963;lógin um brennivínssøluthe law governing the sale of alcohol;hevja uppskot til lógpass a bill, promulgate an Act; put an enactment on the Statute Book;setauttan fyrilóginaoutlaw, place outside the law;uttan fyri landsins lóg og rættbeyond the country's jurisdiction;(eis. fl.m.)where the King's (, Queen's) writ does not run; (bara flutt m.) miles from anywhere; at the back of beyond;við lógby Statute; by law; by an Act of Parliament;tað er ásettviðlógit is provided by Statute; it is statutory;tað skuldi verið bannað við lógthere ought to be a law against it;lógin er ikki greið hesumviðvíkjandithe law is not clear on this point;lóg viðvíkjandi síannars:lóg um
lógaldur	(løgfr.)full age, majority (come of age, adult);koma til lógaldurscome of age;tá ið hann kom til lógaldurson attaining his majority
lógararbeiði	legislative work, law-making
lógarábót	law reform
lógarásettur	(løgfr.)statutory(t.d.the statutory minimum); fixed by law
lógarbann	statutory prohibition
lógarbrot	(løgfr.)violation(el.breachel.infringement) of the law (, of an Act); delinquency
lógarbundin	(regliligur) regular;(málfr.)rule-governed
lógarfusk	careless drafting of bills; ill-considered legislation
lógargrein	(løgfr.)section (of an Act)
lógargrundarlag	eitt felags lógargrundarlag a prior regulatory community framework
lógarhandrit	law manuscript
lógarheimila	legalize
lógarheimilaður	legal, lawful, statutory
lógarheimild	legal(el.statutory) authority(el.title); authority in law;hava lógarheimild til eitthave a legal title to sth;stjórnin hevur lógarheimild at gera sothe Government is within the terms of the Act in doing so
lógarkravdur	statutory(t.d.a statutory minimum); compulsory(t.d.compulsory insurance);lógarkravdur tiltaksgrunnur (handilsm.)legal reserve(s)
lógarkunngerð	(løgfr.; uml. =) consolidated act (t.d.samanskriving av verandi lóg/lógum fyri at fáa samsvar lóga millum)
lógarmál	statutory measure
lógarskipaður	lógarskipað samfelag an ordered community; a society where law and order prevail
lógartekstur	the words(el.wording) of the Act;(sø.)law text
lógartiltak	statutory measure
lógartíðindi	Gazette
lógartulking	interpretation of the law
lógaruppskot	(løgfr.)bill, draft bill;góðtaka lógaruppskotpass a bill;seta fram lógaruppskotintroduce a bill;viðgera lógaruppskotread(el.debate) a bill;vraka eitt lógaruppskotthrow out(el.reject) a bill
lógarvardur	protected by law;lógarvart vørumerkiregistered trade mark
lógarverja	statutory protection
lógarviðtøka	adoption of a law
lógarøki	(løgfr.)scope (of an act)
lógasavn	(løgfr.)code (of statutes), body of laws, statute book
lógaverk	(løgfr.) collection of laws
lógbann	(løgfr.)statutory prohibition
lógbanna	(løgfr.)prohibit by law
lógboð	(løgfr.)enactment, Statute
lógboðin	(løgfr.)statutory
lógbók	(løgfr.)Statute Book,(serl. am. og ikki-ensk)code
lógbrot	síløgbrot
lógbrotsligur	law-breaking; in defiance of the law; criminal
lógbrotsmaður	(bíbl.)lawbreaker, offender, transgressor
lógbroyting	(løgfr.)amendment to an Act; (nýggj lóg) law reform
lógbrótari	sílógbrotsmaður
lógbundin	síløgbundin
lógfesta1	(løgfr.)lawfulness, legality
lógfesta2	(løgfr.)legalize, put on the Statute Book, give statute form;(eis.løgfesta)
lógfestur	statutory; fixed by law; valid (in law)
lógformligur	1lawful, legal, in conformity with the law2hjlógformligalawfully, legally, duly;lovformliga giftlegally married;lovformliga stemplaðduly stamped
lóggáva	legislation, law-making
lóggávuarbeiði	legislative work; lawmaking
lóggávuting	(stjm.)legislative assembly, Parliament;(gl.)diet
lóggávuvald	(løgfr.)legislative power (, authority), (parliamento.s.fr.)legislature
lóggeva	(stjm.)legislate
lóggevandi	sílóggávu-
lóggevari	(stjm.)legislator;(serl. fl.m.)lawgiver
lóggildi	(løgfr.)validity (in law);fáa lóggildicome into force (, operation); legal force(el.validity);framvegis hava lóggildistill be in force;tað hevur framvegis lóggildiit is still on the Statute Book
lóggildur	valid (in law)
lógkønur	1llearned in (the) law2nlegal expert; (advokatur) lawyer;lógkøn hjálplegal advice
lógleysur	lawless
