n	(málfr.)consonant
nótarseiður	coalfish caught with a seine
nótarskip	(sigl.)seine vessel
nótasavn	music library
nótaskip	purse seiner
nótaskipan	(tónl.)notation
nótaskrift	musical notation
nótaskrivari	music copyist
nótaskriving	the copying of music
nótastødd	size of music type
nótatekn	note
nótavirði	(tónl.)value (of a note)
nóti	1note;nótarmusic(t.d.have you brought your music?; can you read music?);fjórðingsnóticrotchet(el.quarter note);hálvur nótiminim(el.half note);heilur nótisemibreve(el.whole note);lesa nótarread music;skriva nótarwrite music(el.copy music)2tone (of voice);eg dugi ikki nótanI don't know the tune;syngja og spæla eftir nótumsing and play from music;halda nótansing in tune, sing true;ikki fara av nótanumbe able to sing in tune
nr.	(st.)nummar
nudla1	nudlur noodles
nudla2	(stb.)sínulva
nudlingur	(stb.)sínulvingur
nuða	(óregl.)sínoða2
nugga1	nougat;bleyt nugga (uml.)(chocolate) fudge;fransk nugga(French) nougat;hart nugga(hard) nougat
nugga2	(um børn og lomb, of children and lambs) suck
nuggur	(stb.)stunted lamb
null	1(teknið) nought, cipher; (tá ið tølini í tali verða nevnd,t.d.í telefonnummari) o (tað verður null framborið sum bókstavurin o;t.d.302 three-o-two);(GG:0, 07 verður skrivað 0.07 ella .07 og verður framborið: point nought sevenel.point o seven);(herm.) kl. trýfifteen hundred hrs.2(støddin) nil, zero;(stfr., málfr. málvísindafr.)zero; (í rokning) nought; (í tennis) love (t.d.støðan er 0-3the game/score is love three;(støðan er)0-0 love all;hon vann 6-0she won six love); (i fótbólti, hokkio.tíl.)nil(t.d.win by two goals to nil)(GG: tað var javnleikur0-0 the match was a goalless draw)3(nullpunkt) zero(t.d.the temperature fell below zero)4(um fólk) nonentity; cipher; nobody(t.d.he is a mere nobody); person of no account
nulla	sínudla2
nullingur	sínudlingur
nullintøka	zero taxable income
nulllongdarstig	(landafr.)prime meridian
nullloysn	zero solution, zero option
nullmark	zero(t.d.the temperature fell below zero)
nullmarksrætting	index correction, correction for index error
nullmarksstilling	adjustment of the zero
nullmongd	(stfr.)null set
nullorka	zero energy
nullorkuhús	nil energy house
nullpunkt	(stfr.)zero (point); reference point; (ísamb.við uppmáling) datum point;(ravm.:stjørnupunkt) neutral (point); (ísamb.við kjarnorkuspreinging) ground zero;absolutt nullpunktabsolute zero;tólv stig undir nullpunkttwelve degrees below zero
nullseta	(teld.)zerofill, zero; reset
nullseting	zero (position); resetting
nullspenning	(ravm.)zero voltage
nullspenningarútloysing	(ravm.)no-voltage release
nullstilla	(teld.)zerofill, zero; reset
nullstilling	zero (position); resetting
nulta	(stfr.)zeroth
nulva	1[twist together hay (spread out to dry) into small bundles to protect it against rain]2roll, rub, millel.full (on boardel.between the hands); nulvahosurfull stockings3(kvæð.)swim in a tumbling way;tá kom nísa nulvandia (common) porpoise came along, swimming in a tumbling fashion
nulvingarhoyggj	[hay which is dry enough to be rolled into small bundles];gott//ringt nulvingarhoyggjhay dry//not dry enough to be rolled into small bundles
nulvingur	1[small bundleel.bunch of hay twisted together to protect it from the rain]; nulvingurvardi seg betur enn klúkurhay which had been twisted together into small bundlesel.bunches of hay was better protected than hay which had been stacked into small cocks of hay;tað liggur í nulvingithe hay is lying in loose bundlesel.bunches2nulvingarfleece clouds
nummar	1number(t.d.what is the number of your car?; a policeman's number; the number of a house, of a room in a hotel; my telephone number;Oxford Street nummar 2525, Oxford Street);vit búgva í nummar 10(húsanummar) we live at number 102(um skráseting á lista, keypslistao.tíl.)item(t.d.an item on the list); entry(t.d.the second entry in the church register); (ísamb.við uppboðssølu) lot(t.d.lot No 49 fetched £100)3(av blaði, tíðarriti) number, issue;(viðv.dagblaði) issue(t.d.today's issue of The Times carries a story of);framhald í næsta nummari av blaðnumto be continued (in our next issue)4(um skógva- og klædnastødd) size(t.d.what size do you take in shoes, collars, gloves? what size shoes do you take?);nummar 39 í skómtake size 39; (um brillugløs) strength(t.d.what strength do you take in glasses?)5(um góðsku) grade(t.d.grade 2 cream)6(í skúla) position (in class)7(pláss í kappingo.tíl.)place;gerast nummar trý í kappingget the third place in a competition8(nummarseðil) number; (klædnarúmsnummar) cloakroom ticket;(am.)check9(á lutaseðli) lottery ticket10(á skrá) item, number, feature; (á kabaretto.tíl.)number, turn, act(t.d.the first item on the programme; a cabaret turn; the comedian's new act)11(trikso.tíl.)trick, dodge12(óvand.)screw, bang, shag;fáa eittnummar have (sexual) intercourse with(el.have sex with)
nummarkall	directory enquiries;(am.)directory assistance
nummarpláta	(á akfari) number plate;(am.)license plate; (við sjálvvaldari áskrift) personalized plate;(am.)vanity plate
nummarrað	sínummarrøð
nummarrøð	sequence of numbers;í nummarrøðin sequence of numbers
nummarspjaldur	sínummarpláta
nunatakkur	nunatak (jøkulfjall)
nunna	(átr.)nun
nunnubúni	nun's habit
nunnukendur	nunlike
nunnukleystur	(átr.)convent,(gl.)nunnery;(kvæð.) hon gav seg í nunnukleysturshe took the veil
nunnuklivi	nun's cell
nunnulag	(átr.)order of nuns
nunnulíkur	nunlike
nunnulív	convent life
nunnuregla	(átr.)sínunnulag
nunnuslør	nun's veil; (høvuðbúni) wimple
nurra	1[cut away the thin flesh on the clavicles too when opening a fish and taking out the entrails]2(óvand.)fuck, screw; bang, shag, bonk
nurtu	sínerta
nurva	1pack(t.d.clothes into a suitcase); (tætt) cram, stuff; nurvatað samancram it2sínulva1
nurvingur	(stb.)sínulvingur
nussur	(barnam.)calf
nuta	(gl.)rub, wear (out) by rubbing;endarnir á rekatrænum er illa nutaðirthe two ends of the piece of driftwood are worn by rubbing;kýrnar nutaðustthe cows pushed each others playfully with their horns
nutu	sínjóta
nú	1now, at this point of time, on this occasion, at present;bussurin fer nú thebus is leaving now;nú á døgumnowadays;nú er illa vorðiðthe situation is bad now;kom nú avstaðcome, let's go;nú (ið) teir koma fyri dyrnar, er stongtby the time they reached the door they found it locked;eitt núfor instance;nú fyrstanot until now;nú, hvussu er vorðið? (tlm.)how are things?, how's it going?, how's tricks?;nústop that!,(tlm.)give it a rest!, pack it in!2in spite of; despite, notwithstanding; still, then again;eg haldi nú, at hann kundi sagt frástill, I think he could have told us;tað kom nógv burturúr, men nú høvdu vit eisini gott fólkwe achieved a lot, but then again we had competent people working for us;tað er nú ikki verri enn iltstill, I don't think that we have anything to complain about
núgaldandi	present, current;núgaldandi reglurthe regulations now/at present in force, the going rate/price is £100 per ton
núgva	1(bát.)the top of the stemel.bow of a boat;(stb.) frammi á núgvuseat in bow2(stn.)top, promontory, head(land);Núgvunes
núleiki	currentel.topical interest, topicality, news value;eingin núleiki er í hasumit is of no immediate interest
núliðin	(málfr.) núliðin tíðthe perfect tense;"havi skrivað" og "er farin" er núliðin tíð"have written"or"has left" are constructions in the perfect tense
núligur	topical, of current interest, of immediate importance, existing, very popular; síløtubærur
núlivandi	(now) living, contemporary, existing;núlivandi ættarliðiðthe present generation;mætastu núlivandi listafólkthe greatest living masters;núlivandi fuglasløgthe existing species of birds
núpur	1(stn.)sínípa2(bát.)sínúgva1
nústa	sínústani
nústani	not till, not until, only(t.d.I did not hear of it till yesterday; I only heard of it yesterday; it was not until September that the offensive started; I only learnt about his death a few days ago); only now, recently, a short time ago;hann var nústani heim kominhe has only recently arrived home;hví kemur tú nústani?why don't you come until now?
nútíð	1present, present time;nútíðinmodern times, modern age;í nútíðiniin our time, nowadays, today;nútíðarinnar krøvmodern requirements;nútíðarmenniskjuthe present generation, people of today, present-day people;nútíðarsøgacontemporary history;í nútíðar viðurskiftumin modern circumstances2(málfr.)the present (tense);" hann svevur""he sleeps";" vit hittast í morgin""see you tomorrow";" hann er ljóshærdur""he's fair(-haired)"
nútíðar-	1present-day, modern, contemporary, today's, of the present timeel.day2(málfr.)present-tense(t.d.form, verb, meaning)3(jarðfr.)recent(t.d.climate)
nútíðarbókmentasøga	modern history of literature, modern literary history
nútíðarbókmentir	modern literature, contemporary literature
nútíðarbærur	modern, present-day
nútíðardámur	contemporaneity
nútíðarending	(málfr.)present-tense ending
nútíðareyga	íosb.sumsæð við nútíðareygumcompared with the present time, compared with the way things are now;sædd við nútíðareygum vóru hetta eingi stór bóndahústhis farmhouse was not large compared with what we are used to today
nútíðarfólk	modern(t.d.we moderns); sínútíðarmenniskja
nútíðarhóskandi	modern; nútíðarhóskandiamboðmodern tools (implementsel.instrumentel.[køksamboð] utensils)
nútíðarhugsan	modernel.contemporary way of thinking
nútíðarhugsjón	modern outlook
nútíðarhugtak	modern conceptionel.ideael.notion
nútíðarligur	present(-day), modern, contemporary;bókin hevur ein nútíðarligan og ein søguligan partthe book is divided into a present-day and a historical part
nútíðarlist	modern art, contemporary art
nútíðarmaður	modern man
nútíðarmál1	modern language;føroyskt nútíðarmálmodern Faroese (language)
nútíðarmál2	modern language
nútíðarmenniskja	modern(t.d.we moderns); modern man;nútíðarmenniskjupeople of today, present-day people
nútíðarsamfelag	modernel.contemporary society
nútíðarsøga	1recentel.contemporary history2contemporary short story
nútíðaryrking	modernel.contemporary poem
nútímans	modern, up-to-date;eitt nútímans frystihúsa modern cold store;nútímans hentleikarmodern facilities
núverandi	present(t.d.the present Cabinet; King; past and present members); present-day(t.d.under present-day conditions); today(t.d.the House of Lords of today); actual(t.d.the actual state of affairs); current, now existing;undir (nú)verandi viðurskiftumunder/in the present circumstances, as things are now; as it is(t.d.as it is, it is hopeless to do anything for them);(tlm.)as things are at the moment
n.v.	(st.)nevndarinnar vegna for the committee, on behalf of the committee,(am.)in behalf of the committee
nyðra	1(of sheep) undercoat (the fine, short wool underneath the coarse outer hairs)2tuft of wool;hann fann nakrar nyðrurhe found some tufts of wool3fleecy cloud;hann setur nyðrur á luftinathe sky is full of small fleecy clouds4(skemt.)weakling, manikin, whippersnapper, shrimp (of a man)
nyðrufípa	(plfr., sj.)símýrifípa
nyðruluft	sky with small fleecy clouds
nyðrunappa	pull (nappa) very finely
nyðruskýggj	(veðurfr.) Altocumulus;nyðruskýggj (flt)fleecy clouds;loft við nyðruskýggjuma mackerel sky
nyðrutur	(um luftina) with fleecy clouds,nyðrut luftthe sky is full of fleecy clouds
nyðruull	sínyðra1
nyðruvongur	weakorfeeble man
nykbrandur	meteor, shooting star, falling star
nykk	jerk, pull, tug
nykking	riveting;allar nykkingarnar á róðrinum farnarall the rivetings on the rudder have slackened off; sínykkja2
nykkja	1jerk, pull, tug; nykkjaápull on the handline2rivet, turnel.fold down; nykkjaseymclench a nail3[íyms.samb.]nykkja e-n við e-mreproach sby with sth;nykkja niður á e-nslander sby, calumniate sby, defame sby, malign sby, traduce sby, run down sby, speak ill of sby, reproached sby for sth;hann skal altíð sita og nykkja niður á hini og tolir ikki hálvdrigið orð sjálvurhe always speaks slightingly of others/he disparages others/he runs others down but he is himself intolerant of criticism
nykkjutur	(um fisk, of fish) which tugs at the line while being pulled up
nykkunagli	rivet
nykkur	1jerk, pull, tug2kink; nykkurá stáltráðikink on a (steel) wire
nyksblóma	(plfr.)lotus(Nelumbo nucifera)©iStock
nykubrandur	sínykbrandur
nykur	(fólktr.)water elf, nix (horselike creature);(tilt.) naskur sum nykurbold as brass;(tilt.) sterkur sum nykurinas strong as a horse
nykurt	(plfr.)water lily;gul nykurtyellow water lily(Nuphar luteum); hvít nykurtwhite water lily(Nymphaea alba)slag: Nymphaea alba © iStock
nykurtarætt	(plfr.)nymphaceae
nymfa	(lívfr.)nymph
nymfomani	nymphomania
nymfomanur	nymphomaniac
-nyrðingur	síland-,út-
nytra1	(fisk.)otolithel.ear stone
nytra2	[play guessing game with otoliths/ear stones of fish] play `like or unlike'
nytta1	use, usefulness, utility; (fyrimunur) advantage, benefit;fáa nyttu burtur úr e-mprofit by sth, derive advantage/benefit from sth, turn sth to account;gera e-t til nyttuwork, be useful;hann ger einki til nyttuhe is of no use, he's an idler/slacker/lazybones/ lazyboots;drongurin ger góða nyttuthe boy is hard-working;til onga nyttuto no avail, it is no good; it is no use; it serves no useful purpose; there is no point
nytta2	(gagna) be of use (to sby); help (sby); be of avail (to sby);hvat nyttar tað?what is the use (of that)?;hvat nyttar tað at gráta?what is the use/the good of crying?;nytta sigrar hansara nakað?what use are his victories to him? what do his victories avail him?;eg dugi ikki at skilja, at tað nyttar nakað at læra alt hattaI don't see the use/the point of learning all that;tað nyttar einkiit is no use/it is no good(t.d.trying to do it);tað nyttar einki, hvat tú siguryou can say what you like(GG:you can argue yourself blue in the face; it won't make any difference); it got them//usetcnowhere;tað nyttar lítiðit won't be much use; it won't do much good, it won't help much; it won't get them very far;tað nyttar ikki at noktathere is no point denying it;ikki nyttaði at hugsa um taðit was no good thinking about it;ikki nyttar at tosa hann frá tíyou cannot dissuade him from doing it, you cannot persuade/prevail upon him not to do it,(tlm.)you cannot talk him out of doing it;filmurin nyttar einkithe film is no good;drongurin nyttar einki til arbeiðisthe boy is useless;eg nytti einki longurI cannot make myself useful any longer
nyttuleysur	useless, futile, ineffective;tað er nyttuleyst at tosa við hannit is no use trying to talk to him
nyttuligur	useful, skilful, capable, which is of use, who makes himself useful;nyttulig tiltøkuseful steps
nyttuloysi	futility, uselessness, seving no useful purpose whatever;oyðsla lívið burtur í nyttuloysiwaste one's life on futile amusement
nyttulutur	article for everyday use
nyttuverk	usefulel.effective work; work of practical benefit;gera nyttuverkbe useful, make oneself useful (about the house);vissan um at hava greitt nyttuverk úr hondumknowing that one has done sth useful
nyttuvøkstur	utility plant;hvonnin var nyttuvøkstur her á landiangelica used to be a utility plant in the Faroes
nytur	(uppr. fltavnøt) nytrur; sínytra1; íosb. nytur í hendi(guess how many otoliths/ear stones I have in my hand)
ný-	síeis.endur-
nýavlatin	freshly drawnel.fresh-drawn
nýár	sínýggjár
nýbakaður	new, fresh, newly baked
nýbilasøla	the sale of new cars
nýborin	new-born;(skaldsk.) sum nýborið várlike new-born spring
nýbrot	new departure;nýbrotið í norðurlendskum bókmentum1870 heralded a new departure in Scandinavian literature
nýbrýndur	newly sharpened (knife)
nýbræddur	newly, freshlyel.recently tarred
nýbygd	1(new) settlement2settlement, colony;nýbygdirnar í Norðuramerikathe settlements of North America
nýbygdur	new-built, newly built
nýbygging	(tað at) rebuilding, reconstruction; (í stórum) redevelopment; (hús) new building; (av skipum; tað at) new construction
nýbygningur	(sigl.)ship under construction
nýbýli	sínýbygd
nýbýlismaður	settler, colonist
nýdyrking	recent cultivation
nýðingur	1very large pilot whale2(stb.)large bottle-nosed whale
nýfasisma	neo-Fascism
nýfasistiskur	neo-Fascist
nýfasistur	neo-Fascist
nýfermdur	(átr.)newly confirmed
nýfikin	enthusiastic about new things
nýfikinskapur	inquisitiveness; enthusiasm about new things(t.d.innovations)
nýfikkin	inquisitive; curious;(niðr.)prying
nýfikni	inquisitiveness; enthusiasm about new things(t.d.innovations)
nýfingin	recently acquired; newly caught(t.d.fish)
nýfjeppin	enthusiastic about new things;fólkið er so nýfjeppið eftir øllum nýmótanspeople are enthusiastic about/keen on modish things(t.d.dress//style);nýfjeppin sum skarvur í nýggjari urðextremely inquisitive
nýflettur	fresh-killed
nýfloygdur	just fledged
nýfolaður	new-foaled, newly foaled, new-born (foal)
nýframførsla	(sjónl.)new production
nýfrælsur	newly independent;tey nýfrælsu smáríkinithe newly independent microstates
nýfunnin	newly found(t.d.a newly found species of bird); new-found(t.d.his new-found happiness)
nýføddur	new-born;nýføtt barna new-born baby
nýføðingur	new-born baby
nýføroyskur	modern Faroese;nýføroyskur skaldskapur tók seg upp við tjóðskaparrørsluni síðst í 1800-árunummodern Faroese literature came into flower in connection with the growth of Faroese nationalism at the close of the 19. century
nýgerð	innovation, new planel.formation;tøkini eru tung, tá ið farast skal undir nýgerðirit is tough to implement(t.d.a plan);málslig nýgerðnew word/new coinage/neologism
nýggindi	novelty;eini nýggindia novelty
nýggja	1(taka uppaftur av nýggjum) renew(t.d.an acquaintance//one's complaints//one's demands//one's efforts//a friendship); resume2(leingja gildistíð,eis.um lutaseðlar og vekslar) renew(t.d.an agreement//a contract); prolong3(uppnýggja) renew, replenish(t.d.one's stock of cigars)4(endurskapa) renew(t.d.his enthusiasm); revive(t.d.her enthusiasm//his interest) give a new lease of life;nýggja upp aftur gomul minnirevive old memories
nýggjár	New Year;gott nýggjár!(a) Happy New Year!;við ynskjum um eitt gott nýggjárwith best wishes for the New Year, with the compliments of the season;skjóta nýggjárið inn[let off fireworks on New Year's eve];á nýggjárinumby the turn of the year, about New Year's day, around New Year;halda nýggjárkeep/celebrate New Year;millum jóla og nýggjársbetween Christmas and New Year
nýggjársaftan	New Year's eve; síeis.gamlaárskvøld
nýggjársaftansdagur	the last day of the year, the 31st of December
nýggjársbál	bonfire on New Year's eve
nýggjársbygd	(gl.)sítrettandabygd
nýggjársdagur	New Year's day;annar nýggjársdagur2 January
nýggjárseldur	(sj.)sínýggjársbál
nýggjárshald	New Year celebration, New Year Festival;nýggjárshaldið byrjar á midnáttthe New Year celebration starts at midnight
nýggjárskvøða	New Year's greeting(s), wishes for the New Year
nýggjárskvøld	the evening of the first of January
nýggjársleiti	New Year period;um nýggjársleitiðabout New Year's day, around New Year
nýggjárslyfti	New Year resolution;nýggjárslyftið var, at hann skuldi leggja av at roykjahis New Year resolution was to quit smoking
nýggjársmorgun	the morning of New Year's day
nýggjársnátt	the night before New Year's day; síeis.gamlaárskvøld
nýggjársskemt	New Year jollifications
nýggjársskjóting	New Year fireworks
nýggjárstíð	the New Year period;um nýggjárstíðabout New Year's day, around New Year
nýggjárstrøll	[a job which was begun at the end of the year but not completed until after New Year's day]
nýggjársveitsla	New Year celebration
nýggjársvitjan	New Year's call
nýggjársynski	wish for the New Year
nýggjátrúnaður	neo-religious movements(flt)
nýggjur	1new(t.d.address//books//clothes//faces//fashion//ideas//inventions//King/-/minister//planet//plants//star//suit of clothes//type//word; the carpet looks nice and new; the New Europe; the New Woman);nýggj húsa new house//new houses;nýtt skipa new ship;hann var í nýggjum frá uttast til innast(í nýggjum klæðum) his clothes were completely new;nýggj jørðnewly cultivated land;í nýggjum bøin newly cultivated infield;av nýggjumonce again, anew;byrja av nýggjumstart afresh;bróta/velta/gera upp úr nýggjumcultivate new land2(nýkomin) new(t.d.begin a new chapter, life); innovative(t.d.an innovative method); fresh(t.d.the waiter brought fresh plates; she made a fresh pot of tea; a fresh start, begin a fresh chapter); additional(t.d.an additional cause for anxiety; he ordered an additional portion)3(øðrvísi) different(t.d.she wears a different sweater every day; manufactured by a different process)4(higartil ókendur men áhugaverdur) new, novel(t.d.this was an entirely novel experience for him; manufactured by an entirely new/novel process; a new invention)5(nútímans) modern(t.d.ideas);(niðr.)new-fangled(t.d.I don't hold with these new-fangled ideas)6(nýstovnaður, nýkomin) recent(t.d.developments; news; ideas); of recent date, of recent origin(t.d.the present school system is of recent origin)7another, a second, a latter-day(t.d.he may turn out to be another Einstein; he thinks himself a second Napoleon; he is a latter-day Machiavelli)8latest (í røðini);nýggjastu tíðindinithe latest news;nýggjasta fløganthe latest CD9(sum kemur eftirel.í staðin fyri annað av sama slagi) new,tað nýggja landsstýriðthe new
nýggjyrði	neologism, new word, new coinage
nýgiftur	newly married; just married;tey nýgiftuthe newly married couple;(tlm.)the newly-weds
nýgingið	íosb. har var nýgingiðpeople had walked there recently
nýgjørdur	freshly made; new-made;nýgjørt orða new word, new coinage, neologism
nýgróður	newly-sprung grass, new grass;nú legst seyðurin á nýgróðurinthe sheep have begun eating the newly-sprung grass
nýgýta	(fisk.)quite small (young) trout
nýgýtt	(nýtt sum navnorð;fisk., stb.)sínýgýta;hesi kallaðu vit bleikju, maðkadrumb, pirru og nýgýtt alt eftir støddiniwe named thembleikja,maðkadrumbur,pirra,andnýgýttall according to their individual sizes
nýhending	recent event
nýhent	recently happened, which took place recently
nýhugsa	rethink
nýhugsan	new thinking(t.d.on educational policy);tað krevst nýhugsan í fiskivinnuni, so at aðrar vørur enn tær vanligu kunnu koma á marknaðinnew thinking is required within the fishing industry so that new products can be introduced on the market
nýimpressionisma	neo-impressionism
nýimpressionistiskur	neo-impressionistic
nýkálvaður	1newly calved; nýkálvaðurkálvura new-born calf2nýkálvaðcow which has just calved
nýklaktur	newly hatched (out)
nýklassisisma	neoclassicism
nýkliptur	newly cut(t.d.hair);hann er nýklipturhe has just had his hair cut, he has just had a haircut
nýkolonialisma	neo-colonialism
nýkolonialistiskur	neo-colonial
nýkomin	1newly hatched out; newly arrived (person);ungarnir vóru nýkomnir úr reiðrinumthe young were newly hatched;tey nýkomnuthe newly arrived people2(um rák, of current) newly begun;so at rógva norður við nýkomnum vestfallithen we started to row northwards with the newly begunvestfall
nýkomingur	1newcomer2nouveau riche, new rich
nýkókaður	fresh-boiled, freshly boiled
nýkritikkur	(bókm.)new criticism
nýlagdur	1(um unga) new-born; nýlagdurhvølpurnew-born puppy2(um kava, of snow) sínýlagstur2
nýlagstur	1who has just lain down (to sleep);hann er nýlagsturhe's just gone to sleep2(um kava. of snow) newly-el.freshly-fallen; nýlagsturkavinewly-fallen snow
nýland	colony, territory;Frakland vann sær stór nýlond í NorðuramerikaFrance seized large terriories in North America
nýlembt	new-born;lambið var nýlembta new-born lamb;ein ær hevði mist nýlembtthe ewe had lost its new-born lamb
nýlendi	[newly-el.recently cultivated field in which crops (cornorpotatoes) were grown during the previous year];hann sló eitt nýlendihe scythed a newly-cultivated field
nýlendishoyggj	coarse and poor hay from a newly-cultivated field
nýlendisstykki	newly-cultivated strip of infield
nýliðin	(um tíð) recent;í nýlidnari tíðrecently,(málfr.)the perfect(t.d.a verb in the perfect)
nýliga	recently, lately, of late;tey eru nýliga giftthey are recently married
nýlingur	nouveau riche, new rich
nýlopin	recently fallen (of landslide)
nýmalin	freshly ground;nýmalið kaffifreshly ground coffee
nýmarxisma	neo-Marxism
nýmarxistiskur	neo-Marxist
nýmarxistur	neo-Marxist
nýmálaður	freshly painted
nýmálsligur	(skúlam.) nýmálslig greinmodern languages branch;nýmálsligt studentsprógv(kann verða týtt við) (the) General Certificate of Education, Modern Languages
nýmáni	(stjfr.)new moon
nýmenning	innovation
nýmeta	re-estimate, reappraise, reassess, reevaluate; revalue
nýmeting	re-examination, revaluation
nýmjólk	milk fresh from the cow, wholeel.full-cream milk
nýmjólkað	(nýtt sum navnorð;stb.)milk fresh from the cow;kom og fá tær nýmjólkaðcome and have a glass of milk fresh from the cow;mær dámar ikki nýmjólkaðI don'at like milk fresh from the cow
nýmótans	modern, up-to-date; nýmótansútgerðmodern tools//implements//instruments//appliances//tackles
nýnasisma	neo-Nazism
nýnasistiskur	neo-Nazi
nýnasistur	neo-Nazi
nýnevna	(teld)rename
nýnorskur	1nýnorskt(the) landsmaal;nýnorskar bókmentirliterature in landsmaal;nýnorsk stavsetinglandsmaal orthography2(málfr.)modern Norwegian as opposed to Old Norse
nýnýta	upcycle; sínýnýtsla
nýnýtsla	upcycling (at nýta burturkast uttan fyrst at skilja tað sundur í smálutir, sum er meira orkusparandi enn endurnýtsla, har burturkast verður syndrað smátt)
nýplantaður	newlyel.recently planted
nýpløgdur	newly ploughed, freshly turned
nýprent	reprint, new edition, new impression
nýprentaður	reprinted
nýra	(likam.)kidney
nýra-	síeis. (sms.)kidney(t.d.kidney stone); síeis.nýrna-
nýrabløðing	(lækn.)renal haemorrhage
nýrabrek	kidney disease, disorder of the kidneys
nýrabørkur	(likam.)renal cortex
nýradánaður	kidney shaped
nýraflutningur	(lækn.)kidney transplantation; (í einstøkum føri) kidney transplant;gera nýraflutningperform a kidney transplant
nýragáva	(lækn.)kidney donation
nýragevi	(lækn.)kidney donor
nýragrús	(lækn.)renal calculus, gravel
nýrakaður	freshly shaven
nýrakarsjúka	(lækn.)renovascular disease
nýrakoka	(likam.)renal pelvis
nýrakokubruni	(lækn.)pyelitis
nýrakol	(jarðfr.)glance coal
nýrakollur	(likam.)adrenalel.suprarenal gland; síhjánýra
nýrakrabbi	cancer of the kidney;nýrnakrabbicancer of the kidneys
nýralagaður	kidney shaped
nýralás	(gl.)padlock
nýralívæðr	(likam.)renal vein
nýrameiðsl	(lækn.)renal impairment
nýramyndaður	kidney shaped
nýraræsi	(likam.)uriniferous tubule
nýrasjúka	(lækn.)kidney disease
nýrasjúklingur	(lækn.)sufferer from kidney disease; (tíðum) kidney case
nýrasneis	spit with (sheep's) kidney andsperðil (q.v.)
nýrasperðil	sperðil2which contains, in addition to tallow, kidneys and other things
nýrasteinur	(lækn.)kidney stone;(fakl.)renal calculus
nýrastrongur	(likam.)ureter
nýravaksin	(plfr.)reniform;nýravaksið blaðreniform leaf
nýrealisma	neorealism
nýrealistiskur	neorealist
nýrealistur	neorealist
nýreising	regeneration;við hesari yrking tekur við tann rætta nýreisinginthis poem heralded the regeneration
nýrnabanki	(lækn.)kidney bank
nýrnabruni	(lækn.) inflammation of the kidneys, nephritis
nýrnaserfrøðingur	nephrologist, specialist in diseases of the kidneys
nýromatikari	neo-romantic, neo-romanticist
nýromatikk	Neo-Romanticism
nýromatiskur	neo-romantic
nýroyktur	newlyel.recently smoked
nýroynd	new attempt, new trial;vit hava fingið ymsar nýroyndir uttanífráwe have received some new trials from abroad
nýroyttur	newly plucked (bird)
nýrómi	cream from milk fresh from the cow
nýrumørur	suet;nýrumørurin varð roknaður at vera besta tálgsuet was considered to be the best tallow
nýrygndur	newly-spent(t.d.all the fish examined were spent); nýrygndurfiskur kom á várgrunninnewly-spentel.recently spent fish came to the spring fishing ground
nýsáddur	newlyel.recently sown(t.d.field, corn)
nýsilvur	German silver
nýsilvurblikk	German-silver sheet
nýsilvurtráður	German-silver wire
nýskapaður	(júst skaptur) newly created; (endurskapaður) re-created, reborn
nýskapan	innovation
nýskaptur	(júst skaptur) newly created; (endurskapaður) re-created, reborn
nýskildur	newly divorced
nýskipa	reorganize, reform
nýskipan	reorganization, reform, re-arrangement, reform; nýskipanav skúlanumreorganization of the school;(eis.)school reform
nýskoðan	reorientation, new orientation, new departure, fresh start; síeis.stevnubroyting
nýsligin1	1(gras) new-mown2(myntur) new-struck
nýsligin2	(um gras) new-mown; (um myntir) rcently-struck;nýsligið grasnew-mown grass;nýsligin mynturrecently struck coin
nýsloktur	íosb. sum nýsloktur kálvur,síkálvur
nýsmitta	(lækn.)primary infection
nýsmíðaður	nýsmíðað orða new word, new coinage, neologism
nýsnerktur	nýsnerkt kaffifreshly roasted coffee
nýsoymdur	newly-nailed;báturin er nýsoymdurthe boat has been nailed again
nýstjørna	(stjfr.)nova
nýstovnaður	(nýggjur) newly established; (av nýggjum aftur) re-established
nýstrokin	newly ironed
nýsur	sínjósa
nýsýnaður	newly inspectedel.surveyed
Nýsæland	(sern., landafr.)New Zealand
nýsælendingur	New Zealander
nýsælendskur	New Zealand(t.d.butter)
nýta	1(brúka) use, employ, make use of, put to use, utilize; (nýta megi, gávuro.tíl. eis.)exert(t.d.one's influence, intelligence, strength); (tíð, pengar) spend(t.d.much money); (til ávíst endamál,eis.)apply(t.d.a sum of money to the payment of a debt); (um evni til rekmátto.tíl.)use, run on(t.d.the engine can also use/run on spirits; the engine uses 10 litres per hour); (um tól, reiðskapiro.tíl. eis.)work(t.d.this apparatus can be worked under water); (handfarast) use, handle2(plaga at nýta) take;nýtir tú mjólk út í drekka?do you take cream with your coffee?(t.d. I take size 9 in shoes)3(stb.)no need for;tú nýtir ikki at hyggja niðurthere's no need for you to look down;gev mær nú posan aftur, nú nýtir tú hann ikki longurreturn the bag to me, you do not need it any more4nýtasthave to, be necessary for one;e-m nýtist: tær nýtist ikki at óttastyou have nothing to fear;ikki nýtist mær at siga meirI do not have to say more;(skaldsk.) fiskurin bítur, nú nýtast raskar hendurthe fish rise freely we stand in great need of comptetent men
nýtappaður	freshly drawnel.fresh-drawn
nýtaramót	(teld.)user interface
nýtari	user, (leigari hevur nýtslurætt vanliga so leingi hann livir) usufructuary
