e	(eis. tónl.)E, e
evars	í osb: evars tunnur, smáur extremely (, exceedingly) thin, small
evarska	síevars
E-vitamin	(evnafr.)vitamin E (tablett)
evja1	1mire, mud, slam, miry ground, ooze, sludge2rotten mass, putrid mass
evja2	í osb:ganga og evjaget mixed up in everything possible
evjudíki	bog, marsh, puddle
evjufloymur	slam flood
evjugosfjall	(jarðfr.) mud volcano
evjutur	miry, muddy, dirty, slushy
evla	síelva
evna1	1make, manifacture, prepare, cook2be able to, have the ability to, be capable of -ing
evna2	(kvæð., bíbl.)(um lyfti) fulfil,kongurin evndi lyfti síttthe king fulfilled his promise
evnaandgerð	chemical reaction
evnabroyting	(lívfr.)metabolism
evnaður	1fit, suitable, appropriate2gifted, talented, able-minded
evnafrøði	(evnafr.)chemistry(t.d.the strange chemistry that causes two people to fall in love)
evnafrøði-,evnafrøðiligur	(evnafr.)chemical(t.d.laboratory, reaction);evnafrøði-, evnafrøðiligur formilchemical formula;evnafrøðiliga fríur fyrichemically free from;(fl.m.)completely innocent(el.devoid) of;á evnafrøðiligan háttchemically.evnafrøðilig ímyndchemical symbol;evnafrøðiligt kríggjchemical warfare;evnafrøðiliga reinurchemically pure;reinsa evnafrøðiligadry-clean;evnafrøðiligt sambandchemical combination, compound;evnafrøðilig verksmiðjachemical works
evnafrøðiliga	chemically
evnafrøðiligur	chemical
evnafrøðingur	(evnafr.)chemist(GG:ofta útgreinað sum analytical, industrialo.tíl.chemist)
evnagóður	1well-off, well-to-do2intelligent; clever; gifted, talented; able-minded;(tlm.)brainy3physically strong
evnaheimur	the physical(el.material) universe
evnaleysur	1poor, unfortunate, wretched2incapable, incompetent
evnaligur	1intelligent; gifted, talented; able-minded2physically strong3solid, substantial, sound
evnalítil	incapable, incompetent
evnaloysi	incapability, incompetence
evnaríkur	1intelligent; clever; gifted, talented; able-minded;(tlm.)brainy2physically strong
evnasamband	(evnafr.)chemical combination, compound
evnaskifti	(lívfr.)metabolism
evnaveikur	mentally retarded(el.handicappedel.subnormal)(t.d.children);evnaveik (eis.)retardees; retardes;Landsfelag teim evnaveiku at bata(kann verða endurgivið) the National Society for the Welfare of the Mentally Handicapped;røktarheim fyri evnaveiksubnormality hospital
evnaverkfrøðingur	chemical engineer
evni	1(ráevni) material, materials(t.d.building materials; a house built of good materials; insulating material); stuff(t.d.there is good stuff in him; his brother is made of sterner stuff); matter, substance; makings(t.d.there's the makings of a top athlete in him)2(likely) candidate, (indstillaður) nominee, (til val) candidate3subject, topic, theme, subject matter;dagsins evnithe topics of the day;evni í samrøðunithe subject of the conversation;evni til eina bóka subject for a book;evnið í bókinithe subject of the book;fara frá evninumdigress, wander (from the point);(tlm.)waffle;skifta evnichange the subject;standandi evnistanding topic;skulu vit ikki velja okkum eitt annað evnihadn't we better change the subject?;vera evni íbe the subject of4ability, capacity, power, faculty, force, vigour, energy, strength5(evnafr.)preparation, agent(t.d.a cleaning agent; a pain-relieving agent)(GG:cleaning fluid, washing-up liquid); matter, substance6narcotics; drugs;(ofta =)opiates;Sjunk, dope, stuff;hørð evni (narkotika)hard drugs, hard narcotics, heavy drugs, heavy stuff7fltmeans(t.d.have the means to buy it)8powers, gift(s), talent(s);(sálarfr.)intelligence; mental powers, faculties
evnindalóggáva	(evnafr., løgf.; nýggjy.) chemicals legislation
evnindi(r)	chemicals
evning	1forming, shaping, modelling2(skúlam.)art
evningarlærari	(skúlam.)art teacher
evningarvoks	plasticine
evnisarbeiði	(skúlam.)(study) project
evnisbroyting	(lívfr.)metabolism
evnisbundin	material, substantial
evnisfang	material, stuff,rætturin hevði ikki nóg mikið evnisfang í hondum til at døma hannthe court did not have in its possession enough evidence to convict him
evnisfastur	well-built, well-constructed, well arrranged, greinirnar vóru evnisfastarthe articles were well arrranged
evnisheimur	the material world
evnisligur	1material, substantial2(evnafr., jarðfr.; evnisligir eginleikar) chemical;evnislig tæringchemical weathering;evnisliga úrskilt legugrýtichemically precipitated sedimentary rocks
evnismegn	(alisfr.)mass
evnismentan	material culture
evnismikil	comprehensive
evnismisnýtari	addict; abuser; (núeis.)misuser(t.d.alcohol misuser)
evnismongd	(alisfr.) mass
evnismótstøða	(alisfr.)resistance
evnisnøgd	(alisfr.)density, specific gravity
evnissambinding	chemical compound
evnisskifti	síevnaskifti
evnisskipan	subject index, list of subjects, table of contents
evnisskrá	subject index
evnistyngd	(alisfr.) síevnisnøgd
evnisundirvísing	(skúlam.)project method, thematic approach;(serl.í smáum flokkum) topic approach
evnisval	(skúlam.)choice of subject
evnisvágs-	(lækn.)chemo-(t.d.chemosensitive, -stat, -synthesis, -tactic, -taxis, -therapy, -tropic)
evnisvágsviðgerð	(lækn.)chemotherapy(t.d.regional chemotherapy)
evnisvika	(skúlam.)feature week; project week
evnisyvirlit	subject index
evnisøki	field (of study), sphere; subject field; educational field; discipline; block theme
evolutionisma	síframvakstrarstevna
evolutionslæra	síframvakstrarlæra
evolutión	síframvøkstur
evra1	euro
evra2	síerva
evri	síovari
Evropa	Europe
Evropadómstólurin	(sern.)the European Court (of justice); (ofta bara =) the Court
Evropameistaraskap	(st EM) Evropameistaraskapinithe European championships; European championshipeint.
evropameistaraskapur	European Championship
Evropameistari	European champion
Evropaparlamentið	(sern.)the European Parliament; (ofta bara) Parliament
Evroparáðið	(sern.)the Council of Europe
Evroparørslan	(sern.)the European Movement
Evropasamveldið	(bú.)European Union, the EU
evropeari	European
evropeiskur	European
evropi	European
evropiskur	European;europeiska gjaldoyrasamstarviðEuropean exchange-rate cooperation; evropeiski kjarnorkufelagsskapurin the European Nuclear Energy Agency(stENEA);evropeiski íløgubankinthe European Investment Bank
evst	síevstur(1) (2)
evstafreist	deadline
evstaljóð	(alisfr.)ultrasound, ultrasonics
evstamark	deadline
evstur	1top(most), uppermost2last, latest,á evsta degion the last day, on Judgement day;á el. í evstuat last, finally, at the end;í evstu stundat the last moment3outermost, extreme, utmost
evurklænur	extremely thin
evurlítil	tiny, diminutive
evurslítil	síevurlítil
evurspinkulítil	infinitesimal, minute
evurssmáur	síevursmáur
exam. art.	B.A.(t.d.Bachelor of Arts)
exam. dat.	B.Sc. in Computer Science
exam. pharm.	B.Sc. in Pharmacology
ey	(um e-t sum kemur brádligael.óvart á) pop!(t.d.I say I will sleep. And pop! off I go); hey presto!(t.d.and hey presto! the rabbit vanished into the conjurer's hat)
eya	(gl., bíbl.) eya megwoe is me!, ah!, alas!
eydliga	síetliga
eydmjúkur	síeyðmjúkur
eydmýkja	síeyðmýkja
eydmýkt	síeyðmýkt
eydna	1fate, destiny,ymiss er mansins eydnamen's destinies differ2(good) fortune, (good) luck, success; blessing, godsend, piece(el.stroke) of (good) luck(t.d.it was a piece of good luck that I came);eydnan(persónsgjørd) fortune, Dame Fortune; (eydnugudinnan) the goddess of fortune, Fortune;góða eydnu!good luck!(spei.)the best of British luck!;góða eydnu á ferðini!a pleasant journey!;royna eydnunatry one's luck(el.fortune);royna sína eydnutry one's hand(sumas);(tlm.)have a go;eydnan var við honumhe was lucky; his luck held; luck was on his side, fortune smiles upon him;eg havi eydnuna við mær í dagthis is one of my lucky days;hann hevur altíð eydnuna við særhe is always lucky;ikki hava eydnuna við særhave no luck, be out of (one's) luck; (leingi) have a run of bad luck;(serl.í spæli) be on a losing streak3ynskja góða eydnucongratulate, compliment(viðon);ynskja e-m góða eydnucongratulate sby; (í samb.v. føðingardag) wish sby many happy returns (of the day), wish sby a happy birthday
eydnast	1succeed, prosper, befall, be granted;hansara ætlanir eydnaðust ikkihis schemes miscarried, his plans failed(el.did not come off);alt eydnast (hjá) honumhe makes a success of everything he touches;(ofta =)he carries all before him;tað eydnaðist honum(hóast meinbágar) he brought(el.pulled) it off; he managed to do it; he succeeded in doing it;einki eydnast honumnothing works for him; he never succeeds (in anything he tries)2[íyms.samb.] the plan succeeded; if my plan comes off; the attack (, the attempt) was successful; he not only succeeded in obtaining a job, but even managed to keep it; he contrived to get away; the treatment proved successfuls
eydni	síeydna
eydnisdagur	síeydnudagur
eydnisfullur	síeydnusamur
eydnisgóður	síeydnugóður
eydnisligur	síeydnuligur
eydnismaður	síeydnumaður
eydnismikil	síeydnumikil
eydnuberandi	lucky, auspicious
eydnuborin	happy, fortunate, lucky
eydnudagur	lucky day
eydnudís	goddess of fortune, Fortune
eydnudrúgvur	síeydnuríkur
eydnugóður	síeydnuríkur
eydnugripur	mascot
eydnuhjól	lucky wheel; wheel of fortune
eydnuleikur	game of chance;(fl.m. eis.)gamble
eydnuleysur	hapless; unfortunate, miserable
eydnuligur	blissful; fortunate; successful
eydnuloysi	haplessness
eydnulutur	mascot
eydnumaður	lucky man, a favourite of fortune
eydnumikil	fortunate, lucky
eydnupengi	lucky coin
eydnurám	piece(el.stroke) of good luck; (sum bara kann koma fyri eina ferð)(tlm.)fluke;av berum eydnurámias luck would have it;(tlm.)by a pure fluke
eydnuríkur	(í sinninum) happy, (heppin) lucky, fortunate
eydnusamur	síeydnuríkur
eydnuspæl	game of chance;(fl.m. eis.)gamble
eydnuspælari	gambler
eydnustjørna	(lucky) star
eydnusæla	bliss
eydnusælur	blissful, fortunate, lucky
eydnutal	lucky number
eydnuynski	congratulation(t.d.please accept my heartfelt congratulations on the occasion; congratulations on your appointment); (formlig) felicitation
eyð	í osb: eyð so gott equally good, just as good;eyð veri taðyes of course; that's obvious; evidently so
eyðátin	(um mat) delicious
eyðbiðin	willing
eyðborin	easy to carry
eyðboygdur	easily bent
eyðbrotin	fragile
eyðbýttur	easy to share out (, divide, apportion)
eyðfimur	supple, lithe, agile
eyðfingin	easy to get
eyðfunnin	easy to find
eyðførur	handy
eyðgitt	easy to guess
eyðgjørdur	easy to do (, make)
eyðgongdur	easy to walk
eyðgreiddur	easy to solve
eyðhoyrdur	easy to hear
eyðin	1fortunate, lucky2(kvæð.) eyðið: verður tær tess eyðiðit falls to your lot
eyðkanna	(stb.)select, be selective
eyðkendur	easily recognisable, characteristic
eyðkenna	characterize, distinguish
eyðkenni	1distinctive feature, characteristic trait, special character2(teld) feature3(jarðfr.) characteristic4(handilsm.)kappingarført eyðkennicompetitive identity
eyðkenniligur	easily recognisable, characteristic, typical;hj-liga
eyðkenningur	type, caharacteristic type
eyðkennisbúni	uniform,í eyðkennisbúnain uniform(t.d.why aren't you in uniform?); uniformed(t.d.a uniformed chauffeur);ikki í eyðkennisbúnaout of uniform, in plain clothes, in civilian clothes;(tlm.)in civvies; (um yvirmanneis.)in mufti
eyðkennislag	(t.d. í útvarpi)signature tune;(tlm.)sig-tune
eyðkennismerki	(t.d. á skipum, flogførum)distinguishing mark, device(t.d.the Army Medical Corps device)
eyðkennisskapur	síeyðkenni
eyðkeyptur	easy to buy
eyðkvæmi	(lækn.)Aids, AIDS (AIDS-infected; (sum umsagnarliður) infected with Aids
eyðkvæmissjúklingur1	Aids patient
eyðkvæmissjúklingur2	Aids patient
eyðlind	source of wealth
eyðlisin	readable, easily read
eyðlýsa	(sj.)describe,eyðlýsa e-ndescribe sby,give a description of sby(t.d.a deserter, a wanted man)
eyðlýsing	description;eyðlýsingin passarhe (, she) answers to the description; the description tallies with him (, her); the description fits him (, her);senda út eyðlýsingissue a description
eyðlýstur	easy to describe
eyðmerking	identification, identifying,ID
eyðmerkingareftirnavn	ID last name
eyðmerkingarfornavn	ID first name
eyðmerkingarnavn	ID name
eyðmerkingarnummar	mailbox ID,ID(t.s.s.identification)
eyðmerkja	identify
eyðmintur	easy to remember
eyðmjúkleiki	(bíbl.)eyðmýkt
eyðmjúkligur	síeyðmjúkur;hj­liga
eyðmjúkur	1(av lyndi) humble, meek,í hjartanum eyðmjúkurhumble of heart, humble-hearted;eg eri spakur og eyðmjúkur av hjarta (bíbl.)I am meek and lowly in heart;tygara eyðmjúki tænariyour humble servant; submissive(t.d.tone)2(lítillátin) humble(t.d.my humble cottage); lowly; modest,eyðmjúk kormodest(el.humble) circumstances3(undirbrotligur) humble, obsequious, abject4(krúpandi) cringing, servile, grovelling;eyðmjúk bønhumble prayer, (humble) supplication5hj-liga-ly; -bly(GG:einkihjverður gjørt burtur úr lowly)
eyðmýking	humiliation(t.d.suffer many humiliations; inflict a humiliation(el.an indignity) on sby,humiliate sby), mortification(t.d.he had the mortification of being passed over by his juniors); indignity(t.d.the prisoners were subjected to every indignity)
eyðmýkja	humiliate, humble;eyðmýkja eininflict a humiliation(el.an indignity) on sby,humiliate sby;eyðmýkja eins hugmóðhumble sby's pride, humble sby;eyðmýkja seghumble oneself;eyðmýkið tykkum undir Guds veldishond (bíbl.)humble yourselves under the mighty hand of God;tvinga e-n at eyðmýkja seg (tlm.)make sby eat humble pie;verða eyðmýktur (eis.)suffer many humiliations
eyðmýkt	(bíbl.)humility, humbleness; meekness(bíbl.)with all lowliness and meekness); submissiveness, self-abasement; (undirbrotligleiki) obsequiousness, servility;(tlm.)grovelling;í allari eyðmýktin all humility, most humbly
eyðnýttur	síeyðtøkur
eyðnæmur	1easy to learn (by heart),tað er eyðnæmtit is easily learnt2quick, apt; teachable
eyðræna	1plunder, rob, pillage, rifle;Srip off, hit2(t.d.bý,eis.)sack, loot(t.d.a city);hermenninir eyðrændu í tríggjar dagarthe soldiers looted for three days; pillage(t.d.a captured town), despoil
eyðrænari	plunderer, pillager, looter, despoiler
eyðræning	1sack, loot;(fl.m.)spoliation(t.d.the spoliation of taxpayers)2plunder(ing), pillage, depredation
eyðræningi	síeyðrænari
eyðsagdur	easy to say, easily said
eyðseldur	easy to sell
eyðsjónligur	easy to see, distinct
eyðsvaraður	easy to answer
eyðsveipin	willing
eyðsýna	(bíbl.)show, display, reveal, make known, disclose; demonstrate, manifest
eyðsýndur	1evident(t.d.it is evident that he has drunk too much; an obvious truth; obvious to everybody; it was an obvious attempt to deceive me); apparent(t.d.from what I have heard it is apparent that he is a liar)2obvious(t.d.with obvious satisfaction); unmistakable, manifest, patent, palpable(t.d.difference, error)3(sjónligur) visible(t.d.confusion, satisfaction)4hj-ly, -bly(t.d.he is evidently afraid; obviously pleased; visibly excited, unmistakably scared); (eftir øllum at døma) apparently;tað er eyðsýnt at hann hevur verið her (eis.)he has evidently (, obviously) been here
eyðsýnliga	obviously(t.d.he was obviously drunk; obviously that is wrong; apparantly(t.d.he had apparently forgotten it)
eyðsýnt	1evident, obvious, manifest, clear2good view
eyðsæddur	easy to see, distinct
eyðsæð	distinct, evident, obvious, manifest, clear
eyðsætt	eyðsæð
eyðsøktur	easy to conquer (, defeat)
eyðteknaður	easy to draw
eyðtikin	1easy to catch2easy to choose (, select, pick (out))
eyðtrúgvið	quite true, perfectly true
eyðtýddur	easy to translate
eyðtøkin	síeyðtøkur
eyðtøkur	insubstantial, uneconomical
eyður1	riches, wealth, glory, splendour, magnificence
eyður2	desolate, waste, naked, empty
eyðvalamaður	(sj.)outstanding man
eyðvaldur	1easy to choose (, select, pick (out))2(um kríatúr)tame, affectionate3superior, excellent, capital
eyðvalur	(stb.)síeyðvaldur
eyðvitað	obvious
eyðvísur	conspicuous
eyðvolað	(kortsp.)easy to take all the tricks
eyðvunnin	easy to do
eyðætlað	easy to guess
eyeyameg	splendid!, excellent!, capital!, fine!; marvellous!
eyga	1eye2(brá) eye, look, glance3(sjón) eyesight, sight(GG:he has a good eye for details);eyguni eru farinthe sight is gone;missa eygunilose one's sight4(plfr.)bud, eye5(á skordýri) ocellus(flt -li), simple eye6(blettur á firvaldsveingi) ocellus; eyelet7(á páfuglaveli) eye, ocellus8(á terningum) pip9(kortsp.;stig) point10(í osti) eye, hole11(á epli) eye12(holel.ringur) eye, eyelet13(á nál) eye14(í mylnusteini) eye, (kvørn) hole15(í binding) stitch16(fl.m.,skemt.) tað er komið í eyga (hjá henni)she is pregnant17(sigl.:til tog) eyelet18small turf bank19small hollow in a cliff20[ísamb.viðl, fogn]viðafturlatnumeygumwith one's eyes shut;við atfinningarsomum eygumwith a critical eye;fyri berum eygumto the naked eye(t.d.visible to the naked eye); to the unaided vision(t.d.to the unaided vision it is simply a lump of clay);viðberumeygumwith the naked eye;hann hevur blá eyguhe has blue eyes; his eyes are blue; he is blue-eyed;blátt eygaa black eye;(slang)a shiner;blíð eygusoft eyes; eygu;ikki skoða við blíðum eygumtake a stern view of, frown on, look askance at, regard with disfavour;(tlm.)be down on;seta kikarin fyri blinda eygaðput the telescope to one's blind eye; turn a blind eye to sth;blindurí øðrum eyganumblind in one eye;borandi eygupenetrating(el.piercingel.gimlet) eyes;dagsins eyga (skald.:um sólina) the eye of day;djúp eygudeep-set(el.sunken) eyes;døggváteygumisty(el.misting) eyes;eftirgjørt eygaartificial eye, glass eye;síggja við egnum eygumsee with one's own eyes;flákrandieygushifty eyes;fýraeygu síggja betur enn tveytwo pair of eyes see better than one;undir fýra eygumconfidentially, in private;samrøða undir fýra eygumconfidential conversation; tête-à-tête talk; private interview;hava eittgløgteygabe keen-eyed, be sure-sighted; (góð metingarevni) have sound judgment;hava eitt gløgt eyga fyrihave a keen eye for;hava góð eyguhave good eyes, have good eyesight;hava gott eyga á e-mhave an eye on sth, covet sth;hava gott eyga til e-n (tlm.)be sweet on sby; fancy sby; have eyes for;íGudseygumin the sight(el.eye) of God(el.of the Lord);tað sæst viðhálvumeygayou can see that with half an eye; it hits you in the eye; it is as plain as a pikestaff; it sticks out a mile;hovin eyguswollen eyes;innaraeygað (likam.)the inner eye;(fl.m.)the mind's eye(t.d.if you can conjure up before your mind's eye);opin eyguopen eyes;viðopnumeygumwith one's eyes open(t.d.you went into this with your eyes open); deliberately(t.d.expose oneself to danger deliberately);reyðeygured eyes (reyð rondut) red-rimmed eyes; (blóðskotin) bloodshot eyes; (ljósareyð) pink eyes(t.d.of an albino);hann hevur ring eyguhis eyes are bad; he has some eye trouble; his eyes are weak; he has bad eyesight;viðsamankrympaðumeygum(with) one's eyes screwed up;skeiveyguoblique(el.slanting) eyes;við skeivum eygum (eis.)slant-eyed;við smølum eygumnarrow-eyed;svimjandieyguswimming eyes;svørt eygublack eyes;havasvartrandaðeyguhave dark rings(el.circles) round one's eyes;stingandieygugimlet eyes, ferrety eyes;stór eygularge eyes;hyggja at e-m viðstórumeygumwatch sth wide-eyed(el.round-eyed)(GG:her wide-eyed(el.round-eyed) surprise);við tungum eygumheavy-eyed;ikki eitt eyga varturtnot one eye remained dry; everyone was moved to tears;(spei.)there was not a dry eye in the house;hava eittvakiðeyga við e-mkeep an eye(el.a sharp watch) on sby; keep a watchful eye on sby;eittvanteygaa practised(el.trainedel.schooled) eye;veik eyguweak eyes21[ísamb.viðs]brúkabrúka eyguni (væl)use one's eyes, keep one's eyes open(el. (tlm.)peeled)(el.skinned);eyguni duttu á eina viðmerkinghis eye was caught by a notice;tað er gott fyri míni gomlu eygu (fl.m.)it is a sight for sore eyes;fáafáa eyga á eittcatch sight of sth; become aware of sth; perceive sth; see sth; notice sth; (eis.fl.m.);hann fekk eyga á tey (eis.)his eye was caught by them;hann fekk ikki eyguni av hennihe couldn't take his eyes off her;festa eyguni við eittfix(el.rivet) one's eyes on sth; stare fixedly at sth; fix sth with a stare;kettlingarnir hava fingið eyguthe kitten's eyes have opened;frøa eygaðdelight(el.please) the eye;frøa eyguni viðfeast one's eyes on;(tlm.)spot sth(t.d.a ship in the distance); (skilja frá øðrum) pick out sth(t.d.pick out sby in a crowd);fáa eyguni upp fyribecome alive to sth; become aware of sth; begin to appreciate sth; have one's eyes opened to sth;havahava eyguni alla staðnikeep an eye on everything;hann hevði ikki eyguni av hennihe did not take his eyes off her;hava eyga fyri e-mhave an eye for sth(t.d.for a pretty face);ikki hava eyga fyri øðrumhave no eyes for anyone else;hava eitt gott eyga til e-nbe taken by sby,have one's eye on sby;jú men eg havi eygur í høvdinum!(heldur firtin) I've got eyes in my head!hevur tú eingi eygur í høvdinum?where are your eyes?, can't you see, man!hava eygu í nakkanumhave eyes at the back of one's head;hava eygu sum heykurbe lynx-eyed(el.eagle-eyed);hava eyguni opinkeep one's eyes open(t.d.he was so sleepy that he could not keep his eyes open);hava eyguni við særkeep one's eyes open(el.peeledel.skinned); be wide-awake; watch out; be wary; be observant; keep a sharp lookout; keep a weather eye open;hava eyga viðkeep an eye on;(tlm.)keep tabs on;hava eyguni við e-mkeep an(el.one's) eye on sby; watch sby; have one's eye on sby(t.d.I have had my eye on you for a long time);hava gjølla eyga viðwatch keenly; keep a sharp watch on;hevja eyguni móti himniraise(el.cast up) one's eyes to heaven;klóraklóra eyguni úr e-mscratch sby's eyes out;kosta tað hvíta út úr eygunumcost a fortune;(tlm.)cost a bomb;latalata eyguni afturclose(el.shut) one's eyes; (í deyða) close one's eyes (in death); (á deyðum fólki) close sby's eyes;lata eyguni upplook up; (vakna) open one's eyes, awaken, wake up;eygu hennara leikaðuher eyes danced(t.d.with pleasure);sama hvar eygað leitarwherever you look;møðatað møðir eyguniit is a strain on the eyes; it tires the eyes(GG:an aching white light);møða eyguni við lesnaðistrain one's eyes reading;eygu hansara møttu mínumhis glance(el.eye) caught mine;eygu teirra møttusttheir eyes met;narranarra eygunirub one's eyes;nema eygaðcatch the eye;oyðileggja sær eyguni við lesnaðiruin(el.spoil) one's eyesight by reading;røkkaso langt eyga røkkuras far as (the) eye can see;síggjatað eygað ikki sær tað hjartað ikki nemurwhat the eye doesn't see the heart doesn't grieve for;um at skræða eyguni úr hvør øðrumbe ready to scratch out each other's eyes;snerkja eyguni samanscrew up one's eyes;eygu míni vættustmy eyes watered;spíla eyguni uppopen one's eyes wide;stinga eyguni út á e-mput sby's eyes out;tað stoytur eygaðit offends my eye; it is an eyesore;trúgvatrúgva sínum egnu eygumbelieve (the evidence of) one's (own) eyes(t.d.he could hardly believe his eyes);turka eygunidry one's eyes;venda tað hvíta í eygunum útturn up the whites of one's eyes22[ísamb.viðfs/hj]fyrieyga fyri eyga tonn fyri tonn (bíbl.)an eye for an eye and a tooth for a tooth;binda fyri eyguniblindfold sby;beint fyri eygunum á teimumin plain sight of them all;(tlm.)in front of their noses;gera eitt fyri alra eygumdo sth in (plain) sight(el.in full view) of everybody; do sth in front of everybody;hava bind fyri eygunihave a bandage over one's eyes; (ikki kunna síggja) be blindfolded;við bindi fyri eyguniblindfolded; (sum hjáliður) blindfold(t.d.I could find it blindfold);fyri eygunumbefore sby's eyes(t.d.the ghost vanished before their eyes);tað dansar fyri eygunummy eyes are swimming; everything is swimming before my eyes;hon hevði hondina upp fyri eygunishe held her hand over her eyes;tað hendi beint fyri eygunum á mærit happened before my (very) eyes(el.under my very eyes)(el. (tlm.)in front of my nose);tað liggur beint fyri eygunumit is staring you in the face; it is in front of your nose;blettir fyri eygunumspots in front of one's eyes;(lækn.)scotomata;eg vil ikki síggja hann fyri mínum eygum afturI never want to see(el.to set eyes on) him again;skaðiligt fyri eyguniinjurious to(el.bad for) the eyes;skugga við hondini fyri eygunumshade one's eyes with one's hand(GG:shade one's eyes from the sun);tað sortnaði fyri eygunumeverything went black; my head began to swim;við e-m fyri eygawith a view to sth(t.d.negotiations with a view to an alliance); with sth in view(t.d.with a special object in view); with an eye to sth(t.d.work with an eye to the future); in readiness for sth(t.d.in readiness for the Christmas trade); against sth(t.d.lay in stocks against a revival of trade);vís teg ongantíð aftur fyri mínum eygum!never let me see you again!; never darken my doorstep again!;ífáa eitt í eygaðget sth (, a speck of dust) in(to) one's eye;tað fellur í eyguniit is conspicuous(GG:the salient features of this style); it is obvious; it leaps to the eye; it stares you in the face; it hits you in the eye; it is as plain as a pikestaff; it sticks out a mile;eg fekk sápu í eygunithe soap got in my eyes;finna náði í e-s eygumfind favour in sby's eyes;hava ilt í eygunumhave a pain in one's eyes; have sore eyes;hava sólina í eygunihave the sun in one's eyes;eg havi sólina í eyguni (eis.)the sun is in my eyes;hyggja beint í eyguni á e-mlook sby full(el.straight) in the face; look sby straight between the eyes;eg fái ongantíð aftur hugt upp í eyguni á fólki(av skommt.d.)I shall never be able to look anybody in the face(el.to lift(el.hold) up my head) again;í eygum lógarinnarin the eyes of the law;læa upp í eyguni á e-mlaugh in sby's face;í mínum eygumin my opinion(el.view), to me(t.d.to me that seems quite absurd);raka beint í eygað (tlm.)hit sby slap in the eye;(tlm.= raka beint) it's spot(el.bangel.dead) on;eg sá tað í eygum hansaraI read it in his eyes;siga e-m eitt beint upp í eygunitell sby sth to his face;í eygunum á útlendingumin(el.to) the eyes of a foreigner;viðblunka við eygunummake eyes (at sby)(GG: (tlm.)give sby the glad eye);eta við eygunumdevour sby with one's eyes;blindur í øðrum eyganumblind in one eye;máta við eygunummeasure sby (up), give sby a stare, look sby up and down, size sby up;(tlm.)give sby the once-over;síggja eitt við annara eygumput oneself in sby else's place(el.shoes);síggja tað við egnum eygumsee it with one's own eyes;við posum undir eygunumpouchy-eyed, puffy-eyed;skoða við øðrum eygumsee it in another(el.in a different) light;vit skoða málið við somu eygumwe see eye to eye; we take the same view of the matter;hann slepti henni ikki við eygunumhe never took his eyes off her; he kept his eyes on her, he did not let her out of (his) sight;vera svartur undir eygunumhave dark rings(el.circles) round(el.under) one's eyes;sætt við annara eygumseen through other people's eyes;við tárum í eygunumwith tears in one's eyes
eygabein	síeygnabein
eygaboltur	eyebolt
eygadrotningarfirvaldur	(firv.)eyed hawk-moth(Smerinthus ocellatus)© Wikimedia Commons
eygagóður	1kind-hearted, tender-hearted2pleasing, pleasant, attractive, with a gentle (, friendly) expression in one's eyes
eygamál	eftir eygamáli by eye(t.d.I judged by eye that it was 6 inches); by rule of thumb(t.d.she cut the material by rule of thumb);hava gott eygamálbe a good judge of measurements
eygarogn	eygnarogn
eygatonn	eyetooth(dens caninus)
eygbera	síeygleiða
eygbragð	í osb: hava ringt eygbragð have a dishonest look
eygbrúnur	brown-eyed
eygfara	look at
eygfesta	eygfesta tað fix one's eyes on it, gaze fixedly at it
eygførur	(óregl.)->eyðførur
eyggráur	(seyðal.)[grey round the eyes]
eyggulríputur	(fugl.)yellow-browed bunting síeyggulríputur spurvur
eyggulríputur spurvur	(fugl.)yellow-browed bunting(Emberiza chrysophrys)(Pallas, 1776)Emberiza chrysophrys ©Stanislav Harvancik
eyghavin	(stb.)attentive
eyghvítríputur spurvur	(fugl.)rustic bunting(Emberiza rustica)(Pallas 1776)Emberiza rustica ©Tom Benson
eygleiða	watch, observe
eygleiðari	observer(t.d.send an observer);(herm.)spotter; (ST) monitor
eygleiðing	1observation(t.d.make(el.take) observations; keep under observation; latitude by observation; astronomical observation)2psychological (, psychiatric) observation;(løgfr.) leggja inn til eygleiðingarremand sby for psychiatric observation(el.for a medical report);dómarin kravdi hann innlagdan til eygleiðingarthe judge ordered him to be remanded for observation;leggja inn til eygleiðingarput sby under observation
eyglit	síeygnabrá
eyglitaður	(seyðal., stb.)eyglittur
eyglittur	(seyðal.)[with a darkish rim round the eyes]© Eyðbjørn Jacobsen© Eyðbjørn Jacobsen© Eyðbjørn Jacobsen© Eyðbjørn Jacobsen
eygljótur	(sj., stb.)ugly to look at
eyglýsa	1announce, proclaim, notify2publish, advertise
eyglýsing	1advertising, promotion, publicity; puffing2advertisement; commercial;(tlm.)ad, plug; (seðil) handbill; (sum verður sendur út í hús) trade circular; (plakat) poster, bill
eygna	see dimly(el.faintlyel.vaguely);eg eygndi baraI could just make out(el.discern)(t.d.the outlines of the ship); see faintly(GG:we could just make out the coast); descry(t.d.descry a rider in the distance);(stb.)(um tvey) look into each other's eyes [...ngd­]
eygnabakki	(sj., stb.)síeygnabarmur
eygnabarmur	síhvarmur
eygnablunk	instant, moment;í e-m eygnablunkiin a moment, in a twinkle
eygnabotnur	(lívfr.)eyeground
eygnabragd	1síeygnabrá22instant
eygnabragð	síeygnabrá
eygnabrá	look(t.d.he had an ugly look in his eye), glance(t.d.an angry glance);við fyrsta eygnabráat first glance, at first sight, at first blush
