p	(málfr.)consonant, /pe:/
plógtonn	(handv.)tongue of a plough
plógtorva	(landb.)square of infield which has been ploughed
plógv1	(landb.)síplógv23
plógv2	1(handv.)plough2(handv.)ridge and groove of a board, tongue;seta í plógvtongue3(landb.)plough
plukka	pluck;(kvæð.) kelling plukkar hár av geitthe old hag is plucking hairs of a goat
plukkfiskur	[flaked cooked fish served in a sauce]
plukkufuglur	fool; íosb.sumvera plukkufuglur millum fólkexpose oneself to public derision/ridicule, be the laughing stock of the whole town
plumba	(tannlfr..)filling(t.d.gold filling); stopping
pluss1	1(stfr.)plus (sign)(GG:verður tíðum skrivað+)2advantage, asset(t.d.a working knowledge of French is an asset);eitt pluss fyri okkuman advantage to, an asset for us,(tlm.)one up for us
pluss2	(stfr.)plusel.+;tvey pluss trý er fimm (2 + 3 = 5)
plussmerki	sísamanaleggingarmerki
plusspólur	(alisfr.)positive pole
Pluto	(stjfr. og gudal.)Pluto
plutonium	(frumevni) plutonium
plúmm	1(tlm.) strength, vitality, energy, power;ólukksáligt plúmm í honumhe's extremely powerful/energetic2oomph(t.d.the plot of the story lacks oomph; the truck doesn't have the oomph to haul the boat)3(um bil) oomph;tað er plúmm í motorinumthe car has a bit of oomph
plúmma	1(barnam.) jump, leap (on a cycle);vit plagdu at leggja eina fjøl á ølkassa og plúmmawe used to put a board on a beer crate and do cycle jumps2(súkkla á bakhjóli) do wheelies;ein drongur dansaði í kring og plúmmaði á súkklua boy cavorted around on a bike doing wheelies
plúsin	(avt.d.fepri, illsinni, møðio.tíl.)swollen and red;hann var plúsin í andlitinumhis face was swollen and red
plúss	plush
plússkendur	plushy
plússklæddur	plush-covered
plússlíkur	plushy
Plússpætur	Winnie the Pooh
pløga	1(handv.)groove-and-tongue, match;pløgdur borðviðurgrooved and tongued boards2(landb.)plough;(am.)plow3(sigla) plough; pløgahaviðplough the seael.the waves
pløging	1grooving and tonguing; (staðið) groove-and-tongue joint;gjósturin trongdu seg inn gjøgnum rivur og pløgingarthe draught penetrated through cracks and groove- and-tongue joints2ploughing,(am.)plowing
podagra	sífótagikt
poddvarp	podcast
poð	1(t.d.í ull) matted lumpel.knot; burls(flt),burling; (í floyal) tufts(flt)2fluff;poðið stóð upp úr dýnunia cloud of fluff rose up from the eiderdown
poða	(stb., um plagg, of cloth)be frizzy;troyggjan poðarthe sweater is frizzy
poðutur	(stb.)frizzy
poesiur	(bókm.)poetry
pogrom	(sø.)pogrom;seta pogrom í verk/skipa fyri pogromiinstitute a pogrom
pokari	poker
poker	(kortsp.)poker
pokerandlit	poker face, deadpan face
pokerspæl	game of poker
pokerspælari	poker player
poki	(sj.)bag;(tilt.) hann er ikki hvøns mans pokihe is no fool, there are no flies on him
pokna	small hole, (í viði) grain, (í húð) pore, (í kyknuveggi) pit;húðin andar gjøgnum poknurnarthe skin breathes through the pores;hon kendi kuldan í hvørjari poknushe was chilled to the bone;í gróti eru ofta poknurthere are often pores in rock
poknufylla	(handv.)filler
poknustig	porosity
poknutinna	(jarðfr.)amygdale
poknutrýst	pore pressure
poknutur	1porous;(plfr.)pitted; poknutursteinura porous stone;moldin er ikki føst og tøtt, men poknutthe soil is not firm and compact but porous2(lækn.)pockmarked; poknuturí andlitia pockmarked face
poknuvond	(jarðfr.)pore structure
poks	(lækn.)venereal disease, (serst.)syphilis
pokur	(lækn.)smallpox (variola),tá ið pokurnar ginguwhen smallpox raged
pokuskotin	(lækn.)pockmarked;hansara pokuskotna andlithis pockmarked face
pokutur	(lækn.)pockmarked
polera	síblankasípussa,skyggja
politbýro	(sø.)politbureau
politi	síløgregla
politikari	politician; (tíðum) statesman(GG: serst.í USA erpoliticiantíðumniðr.)
politikkur	1(stjm.,politiskt virksemi; politiskar grundreglur) politics(t.d.he is interested in politics; English politics in the 18th century; his politics are left-wing)2(framferðarháttur, mannagongd) policy(t.d.the policy of the present Government); (tíðum) approach;hava ein politikkpursue a policy;reka støðufastan politikktake a firm line;fara upp í politikkenter/go in for politics;málið er vorðið politisktthe issue has become mixed up with (party) politics, the issue has become a political one;halda tað vera skilagóðan politikk atregard it as good policy to, think it wise to;tosa um politikktalk politics
politimaður	síløgreglumaður
politimeistari	chief constable
politiskur	political(t.d.crime; geography; institution; life; matters; party; prisoner; right);politisk avgerðargongdpolitical decision-making;politiskir flokkarpolitical parties;politisk sjónarmið/politiskar grundreglur/politiskt virksemi (eis.)politics(t.d.I don't approve of his politics);politiskur andstøðingurdissident; political dissenter;politiskur fangiprisoner of conscience;politiska líviðpolitical life;gera eitt til politiskan spurningpoliticize something
politistur	síløgreglumaður
politistøð	síløgreglustøð
polka	polka;dansa polkadance the polka
polladunna	1síhelsareyði2(stb.)síæða
pollamjørki	(veðurfr.) Stratus [mist which lies along the sea, in bays and through the valleys, and covers the foot of the mountains while the sky above is clear]
pollhúgva	(stb.)sípíllhúgva
pollhús	(gl., stb., húsasm.)house with pointed roof
pollur	(small), round bay (often partly closed by a reef); roadsted, anchorage
polstra	pad, stuff, upholster; polstrasofu av nýggjumre-stuff/reupholster a sofa
polstraður	padded, stuffed, upholstered; síeis.útstappaður
polstrari	upholsterer
polstring	padding, stuffing, upholstery, cushioning; síeis.útstapping
polyester	polyester
Polynesia	(sern., landafr.)Polynesia
polynesi el.polynesari	Polynesian
polyneskur el.polynesiskur	Polynesian
polynom	(stfr.)polynomial(td 2x2+ 3x);ts.s.fleirliðað heild
pool-faktor gjald	(handilsm.) pool-factor payment
poppbókmentir	pulp literature
poppbólkur	(tónl.)pop group
poppil	(plfr.)poplar(Populus)
poppkorn	popcorn
popplist	pop art
poppmentan	pop culture
popporkestur	(tónl.)pop group
poppsangari	pop singer
poppsongur	pop song
poppstjørna	pop star
popptónleikaídnaður	pop music industry
popptónleikur	pop music
poppur	(tónl.)pop music
populerur	popular; síumtóktur,avhildin,dámdur,lýddur,umhildin,vinsælur
populisma	populism
populistiskur	populist
populistur	populist
Porkeri	(stn.)village on the island of Suðuroy,í//úr Porkeriat//from (the village of) Porkeri;til Porkeristo (the village of) Porkeri
porkerningur	person atel.from (the village of) Porkeri
porno	porn; (t.d.they watched porn on TV); bleytt pornosoft porn, soft-core porn;hart pornohard porn, hard-core porn
pornoblað	porn magazine
pornografi	pornography,(tlm.)porn;(løgfr.)an obscene libel
pornografiskur	pornographic;(tlm.)porno, porny; porn, (um filmeis.)blue(GG:adult magazines)
portari1	(ølslag) stout, porter
portari2	porter, doorman,(serst.í háhúsum við íbúðum, skrivstovumo.tíl.)janitor
portión	1í smáum portiónumlittle by little, by driblets, (um avgjøld) in small instalments/portions; síavgjald2(um mat, of food) portion(t.d.this fish will make eight portions; this will suffice for six average portions); síverður,mansverður,skamtur
Portugal	(sern., landafr.)Portugal
portugalskur	Portuguese
portugisi	Portuguese(fltPortuguese)
portugisiskur	Portuguese
portur	1gate2door hatch, scuttle, trapdoor
portursdyr	(kvæð.)gateway, portal, door
porturshol	(sigl.)gun port
porturshválv	archway
portursvongur	síliðsvongur
portvín	port;ljóst portvínwhite port;myrkt portvíntawny port
posaapa	(dýr.)cuscus(Phalangista)
posabak	íosb. bera (e-n) posabakcarry (sby) on one's back
posaband	sack string, draw-string (top) closing
posabjørn	(dýr.)koala, Australian native bear(Phascolarctos cinereus)© Wikimedia Commons
posadýr	(dýr.)marsupial(Marsupialia); kengurur eru posadýrkangaroos are marsupials
posafroskur	(dýr.)marsupial frog(Nototrema)
posagnagari	(dýr.)wombat(Phascolomys)© Wikimedia Commons
posagrevlingur	(dýr.)bandicoot(Perameles)
posahara	(dýr.)síposagrevlingur
posakelkur	[the bottom (inside) part of a bagel.sack]
posakjaftur	opening of a bagel.sack;hann roynir at halda posakjaftin sundurhe tries to keep the opening of the sack open
posakloddi	a piece of sacking
posaknútur	(sigl.)cod-end knot
posalørift	sackcloth, sacking
posamatur	food acquired by begging;(orðt.) ódrúgvur er posamatur/posamatur er ódrúgvureasy come, easy go
posamoldvørpa	(dýr.)marsupial mole(Notoryctes)
posaotur	(dýr.)water opossum(Chironectes)
posapjøki	small bundle; small bagel.sack
posaprinsur	(gl.)beggar's wallet, scrip;hann tekur posaprinsin á bakið (fl.m.)go out to beg one's bread
posaregn	(stb.)[rain in a small well-defined area (in calm summer weather)]
posarenning	sack race
posaspjørr	piece of sacking;rútar vóru eingir, bara posaspjarrar uppfyrithere were no panes, pieces of sacking had been hung up
posasvinta	canvas apron
posataska	canvas handbag
posatroyggja	jersey without an opening in the front, sweater
posi	1bag, sack;(tilt.) loysa frá posanumspeak one's mind, not mince matters, speak plainly/bluntly, speak out;tit áttu at verið koyrdir í ein posayou are all equally bad2(sigl.)cod end (on trawl)
positión	(sigl.)taka positiónina determine one's position, take one's bearings; síknattstøða
positiv	(lmynd.)positive; síeis.rættmynd
positivisma	positivism(t.d.logical positivism); Comtism
positivistiskur	postivist(ic); Comtist
positivistur	positivist, Comtist
positivur	1positive(t.d.reply); appreciatory(t.d.book review); sympathetic(t.d.reception of a proposal); constructive(t.d.we welcome constructive proposals); favourable(t.d.reply; attitude);vera positivur mótvegis e-mhave a favourable attitude towards sby;positivt svarpositive reply,(eis.)affirmative reply;positivt ummæliappreciatory book review; síeis.jaligur2(lækn.)positive;positiv vísingreact positively(t.d.the urine reacts positively)3(stfr.)positive (størri enn null);tað minsta positiva heiltalið er 1number4(alisfr.)positive
positrón	(alisfr.)positron
posta	1post, mail2frank, stamp
postadressa	postal address; (har ein ikki býr) accommodation address
postalín	1(tilfarið) porcelain, china2(postalínslutur) china, chinaware;(serst.um listlutir) porcelain (ware)3(felagsheiti fyri postalínsborðbúnað) crockery(t.d.there was a good deal of crockery to wash up)
postalínsarbeiðsmaður	porcelain worker
postalínsbjálvi	porcelain insulator
postalínsbláur	porcelainel.china blue
postalínsblóma	(plfr.)London pride(Saxifraga umbrosa)©S. Scamperdale
postalínsdukka	china doll
postalínsegg	dummy egg
postalínsfatningur	porcelain lamp holder
postalínsfigurur	porcelainel.china figureel.statuette;(forml.mál) porcelainel.china figurine
postalínshandil	china shop
postalínshøvd	1(á dukku) china head2(á pípu) china bowl
postalínsjørð	(jarðfr.)china clay, porcelain clay, kaolin
postalínskrúna	(tannlfr..)porcelain crown
postalínslittur	porcelain-tinted, porcelain-white
postalínslitur	porcelain colour
postalínsmálari	porcelainel.china painter
postalínsmáling	porcelainel.china painting
postalínsovnur	(at brenna í) porcelain oven
postalínsskáp	(til dýrar lutir) china cabinet; (til nýtslulutir) crockery cupboard
postalínsverksmiðja	porcelain factory
postalínsvirki	porcelain factory
postalínsvirkisstjóri	porcelain manufacturerel.maker
postavgreiðsla	1(skrivstova) post sub-office, branch post office2(postm.)conveyanceel.transport of mail
postavgreiðslufólk	post office clerk
postásetingar	post office regulations(flt)
postávísing	(postm.)postal order, money order
postávísingaroyðublað	postalel.money order form
postbátur	(postm.)mail boat, packet [boat which transports milk, freight and passengers;espbetween small isolated villages in the Faroes]
postberi	(postm.)postman,(am. eis.)mail carrier, mailman; (konufólk) postwoman; (pakkapostberieis.)parcel post porter
postbilur	(postm.)mail van
postbílegging	mail order
postboð	(postm.)postman,(am. eis.)mail carrier, mailman; (konufólk) postwoman; (pakkapostboðeis.)parcel post porter
postboks	(postm., tlm.)sípostsmoga
postdagur	mail day
postdømi	postal district, postal area(t.d.the London Postal Area)
postei	pie, (lítil) patty
postfar	(postm.)mail boat, packet
postfelag	postal union
postferð	(postm., gl.)conveyanceel.transport of mail (from Tórshavn to the villages);postferðirnar vóru ótættar tá í tíðiniat the time conveyance of mail was an infrequent occurrence
postflagg	mail flag, postal flag
postflogfar	mailplane
postflutningur	(postm.)(við posti) conveyance by post, (av posti) conveyanceel.transport of mail
postflúgving	air mail service
postfulltrú	[authority to receive sby else's mail]
postfulltrúi	senior post office clerk
postførari	(postm.)postman
postgiro	(postm.)post office giro; (iOngl.)National Giro
postgirokonta	giro account
postgjald	(postm.)postage(t.d.postage ten pence extra); (taksturin) rate;postgjald og pakkitilfarpostage and packing(st.p. and p.)
postgjaldshækkan	(postm.)increase in postal rates
posthandbók	post office guide
posthorn	coach horn
posthús	(postm.)post office
postimpressionisma	post-impressionism
postinnheinting	cash on delivery;(am. eis.)collect on delivery(st.COD)
postinntøkur	post office revenue
postkassi	(postm.)(brævkassi) letter box, post-box; (sum stendur leysur) pillar box (ikki í USA); (á múri) wall box; (á posthúsi) posting box,(am.)mail;tøma postkassaclear a letter box
postkonta	postal account, post office (transfer) account
postkort	(postm.)postcard,(am.)postal card(st.pc)
postkoyring	mail-driving
postkrav	(postm.)cash on delivery;(am. eis.)collect on delivery(st.COD)
postkravsgjald	COD fee
postkravspakki	COD parcel
postkravssending	COD parcel, COD postal matter;(am.)COD mail
postkravsupphædd	trade charge;(am.)(amount of) COD charge
postkvittan	certificate of posting; (fyri postávísing) certificate of issue
postkvittanarbók	receipt book
postkvittanaroyðublað	form of certificate (of posting)
postlóg	Post Office Act
postlóggáva	postal legislation
postludium	(tónl.)postlude
postlúka	(postm.)letter flap
postmaður	1(postm.)sípostboð,postberi2post office employee3(gl.)[person responsible for mail service in a village]
postmál	(postm.)mail matter
postmeistari	(postm.)postmaster; (konufólk) postmistress
postmerki	(sj., postm.)stamp
postmodernisma	postmodernism, post-Modernism
postmodernistiskur	postmodernist
postmodernistur	postmodernist
postmyndugleikar	the Post Office authorities
postnummar	postcode, postal code;(am.)Zip code
postnýggjur	(um frímerki) mint
postnæmingur	(post office) learnerel.trainee
postpakki	(postm.)parcel post packet;postpakkar (eis.)parcel post;sum postpakkiby parcel post
postráðstevna	postal conference
postrán	mail robbery;stóra postrániðthe great train robbery
postránsmaður	mail robber
postreglugerð	post office regulations(flt)
postreiðmaður	(sø.)postrider
postriva	(postm.)letter box, letter slit;(am. eis.)mail slot
postruta	mail route; (við skipi) mail boat service
postrúm	(postm.)sípostsmoga
postsamband	1postal communication, postal service2postal union
postseinkan	postal delay
postsekkur	(postm.)mail bag
postsending	(postm.)postal packet(t.d.the address of any letter, parcel or other postal packet);postsendingar (eis.)postal matter
postskiljari	sorter
postskúli	[postal training school]
postsmoga	(postm.)post-office box, Posting Officeel.PO Box
postsmogunummar	box number
poststaðabók	post office directory
poststaður	postal address; (har ein ikki býr) accommodation address
poststarvsfólk	post personnel
poststarvsmaður	post office employee, postal official
poststempla	(postm.)postmark
poststempul	(postm.)postmark
poststjóri	sípostverksstjóri
poststjórn	(department of) postal administration
postsøla	postal sale(s);(am.)mail order sales
postsølufelag	mail order firm
postsøluhandil	mail order business
postsølulisti	mail-order catalogue
posttaska	mail bag
posttok	mail train
postumbering	delivery (by post), postal delivery
postur	1(flutningsskipanin) post,(am.)the mails2(sum verður sent við postinum) post, mail;(am.tíðast) mail(t.d.he has gone to fetch the mail)3(postboð) postman;(am. eis.)mailman; (postbátur) mail boat, packet, (postbilur) mail van;avgreiða postindispatch the mail;havi eg fingið post?(is there) any mail for me?;blaða ígjøgnum postingo through one's mail;innanbýggja posturpost local mail;postur ið kemurincoming mail;nær fer posturin næstu ferð?when does the next mail leave?skilja postinsort the mail;fáa nógvan posthave a heavy mail;uttanbýggja posturnon-local mail;postur ið feroutgoing mail;lata postin uppopen one's mail;dagsins posturtoday's post/mail4[ísamb.viðfn]posturin úr Keypmannahavnthe Copenhagen mail;við postinum í dagby today's post/mail;hava post við(um skip) carry mails;við fyrstu umberingby the first delivery;koma við postinum(vera í postinum) come by mailel.(bera postin) bring the mail;við næstu umberingby the next mail;senda við postinumpost/mail, send by post/by mail;(am.tíðast) mail;við sama posti sendi eg tygumby the same post I send you;sum kann sendast við postimailable;við postiby post/by mail
postútflýggjan	delivery of mail
postverk	postalel.Post Office service(s)(GG:the British Post Office in modern times);Postverk Føroyathe Faroese Postal Services;bretska postverkiðRoyal Mail;(am.)post service
postverksstjóri	Director-General of Posts and Telegraphs
postøki	area; sípostdømi
posutur	(um plaggo.tíl.)baggy, puffy;posutir leðurstivlarbaggy leather boots
pot	1grafting2small peat bog3(ným.)random sampling; (eina ferð) spot test; random check; (innihaldið í potinum) testel.random sample;gera eitt pottake a spot test, take a test/random sample
pota	thrust, stick; prodel.poke (up); potae-t í jørðinaput sth into the ground;pota epli niðurplant/sow potatoes;pota tenn/burtur úr tonnumpick one's teeth;pota niður í e-nhammer sth into sby,(eis.)indoctrinate(t.d.indoctrinate the population with a political creed); implant(t.d.implant an idea into his mind); graft(t.d.graft pagan rites on (to) Christian usage); engraft(t.d.engraft principles into sby's mind); hammer sth into sby
potensur	(stfr.)power, síeis.máttur,veldi
-poti	símó-
pottabreyð	(gl.)bread baked in a pot
pottabrot	potsherd
pottadeyvur	stone deaf;hann er so pottadeyvurhe is as deaf as a post
pottadulur	stone deaf, deaf as a post
pottafløska	bottle which holds a litre
pottafør	(um kúgv, of cow) [which gives no more than a litre of milk]
pottakaggi	keg which holds a litre
pottakanna	jugel.pot which holds a litre
pottalok	pot lid;hendurnar vóru sum pottalokhis hands were as large as pot lids;vera pottalok (fyri annan)assume/take/undertake/accept (the) responsibility for sth on behalf of sby else(eg.marry a girl who sby else has made pregnant)
pottaløgur	[water in which meatorfish has been cooked]
pottamakari	(gl., bíbl.)potter; síleirkerasmiður
pottamál	vessel which holdsappquart measure
pottari	(bíbl.)potter
pottasláing	(barnaspæl, child's game) hitting at pots with a stick
pottatrom	rim of a pot
pottbúgvin	(um mat, of food) ready to cook, oven-ready
pottur	1pot;heingja pottin yvir eldinhang/place the pot over the fire;gera út á pottinmix flour in meal gruel;halda pottincatch enough fish for food for the household (fish the pot);fáa sær pottin á reiggj/loftbe given fish for a meal;(sum) í pottinum(um grind; of a school of pilot whales) as good as caught; (nýggjmerk.)sigurin//sáttmálin er í pottinumthe victory//the contract is in the bag;(tilt., skemt.) fara undir pottmarry;deyvur//dulur sum potturinstone deaf, deaf as a post;(tilt.) nú má pottur standa, vera) sum pottur er setturthe die is cast, there is no going back,(GG:we are at the point of no return)2(gl.,rúmmál, measure) quart measure;ein pottur av brennivínia quart of schnapps
pottøska	(evnafr.)potash; (reinsað) pearlash
powerstýring	servomechanism, (tíðum) power steering
pólagongd	(stjfr.)precession
pólalýsi	(stjfr; felagsheiti fyri norðlýsi og suðurlýsi)polar lights(flt),aurora (collective name for both aurora borealis/northern lights(flt)and southern lights(flt) /aurora australis
pólameldur	(stjfr.)precession
pólbrúgv	(veðurfr., jarðfr.)polar front
póldagur	polar day
pólfari	polar explorer, arcticel.antarctic explorer
pólferð	norðpólsferð arctic expedition;suðurpólsferðantarctic expedition
pólflótti	(jarðfr.) polar drift
pólhara	(dýr.)polar hare
pólhav	(landafr.)circumpolar ocean;Norðurpólhavthe Arctic Ocean;Suðurpólhavthe Antarctic Ocean
pólísur	polar ice
pólkringur	(landafr.)polar circle;norðurpólkringurNorth Polar Circle, suðurpólkringurSouth Polar Circle
Pólland	(sern., landafr.)Poland;sundurbýtingin av Póllandithe partition of Poland
póllendingur	Pole
póllendskur	Polish;pólska geilin (sø.)the Polish Corridor
pólnátt	polar night
pólrák	polar wandering; sí eis.pólflótti
pólskrúva	(ravm.)terminal
pólskur	Polish;pólsktPolish language
pólspenning	terminal voltage
pólur	1(landafr.) norðpólurthe North Pole;suðurpólurthe South Pole2(alisfr.)pole; (á ravmagnstóli) pole, terminal(t.d.the terminals of a battery);sum hevur fleiri pólarmultipolar;magnetpólurmagnetic pole;negativur pólur (alisfr.)negative pole;hækkaður pólur (stjfr.)elevated pole;positivur pólur (alisfr.)positive pole
pólvend el.pólvending	(jarðfr.) polar reversal
pólvísing	polarity;rættvend pólvísingnormal polarity;øvug pólvísingreverse polarity
póløki	polar region;norðurpóløki(r)arctic regions;suðurpóløki(r)antarctic regions
p-pillari	contraceptive pill, birth pill;p-pillarin(tíðast) the Pill;brúka/taka p-pillararbe on the pill
pragmatikari	pragmatist
pragmatiskur	pragmatic
pragmatisma	pragmatism
prai	1(sigl.;av skipiel.úr landi) call, hail;skipið kemur upp á praithe ship passes within hailing distance;sigla upp á praisail within hailing distance2(tlm.)warning, hint, notice, suggestion;geva e-m eitt prai (um e-t) warn sby(t.d.he warned us that it was time to dress for dinner);(eis. t.d.)give (me) a shout when the coffee is ready
praia	1(sigl.;av skipiel.úr landi) hail(t.d.a boat); (av skipi til skip) speak(t.d.we spoke the Galathea);vit praiaðu eitt skip, sum kom framviðwe spoke to a ship which passed us2(fl.m.)call, make a sign to sby, motion sby, signal sby;dreingirnir preiaðu nakrar genturthe boys tried to contact some girls
pranga	1dress in a very ostentatious manner, be (too) resplendently dressed2deal, hawk, peddle
prál	boasting, bragging, brag, swaggering, boastfulness
prála	boast, brag, talk big, crow;(tlm.)shoot a line(t.d.she said she was an expert skier but I think she was just shooting a line);prála av onkrumboast of/about sth, brag of/about sth, crow about sth;lítið at prála av (eis.)nothing to write home about, not up to much, nothing to make a song and dance about;prála avshow off, display, make a show of; parade(t.d.one's learning; one's jewellery); flaunt(t.d.one's newly acquired riches)
prálari	braggart, boaster
práltirla	(tónl.)(inverted) mordent, transient shake
prámgjald	(sigl.)lighterage
prámskipari	bargeman, bargee, lighterman
prámur	1(sigl.)barge, lighter; (til stuttleikaferðir) punt;ráevni og vøra verða flutt við prámum eftir áunumraw material and goods are transported in barges up and down the rivers2(bát.)punt3(skemt.)large foot
prási	(langt og mjátt kertiljós) taper
prát	talk, (eis.teld) chat;fáa sær eitt prát við e-nhave a talk with sby;prátið gekk dúgliga hvíldarløturnarduring rest periods conversation was in full swing
práta	talk, (eis. teld) chat;sita og prátabe talking
prátan	talk, chat, chatting
prátari	ceaseless talker;ein sovorðin prátarihe's a windbag
prátingarhugur	talkativeness, loquacity, garrulity, garrulousness, chattiness
prátingarsamur	talkative, loquacious, garrulous, chatty, gabby
prátmikil	síprátingarsamur
prátríkur	síprátingarsamur
prátsemi	talkativeness, loquacity, garrulity, garrulousness, chattiness
prátsending	(sjónv.)talk show;(útv., sjónv.)chat-up
prátutur	síprátingarsamur
preborealur	preboreala tíðarskeiðið pre-Boreal (10.000-9.000 ár síðan)
prei	síprai
preia	sípraia
prektigur	(gl., tlm.; útgjørdur við prýði)magnificent, sumptuous, gorgeous, regal; (frálíkur) magnificent, capital, splendid, fine; (vakur) beautiful, fine, noble
prektugur	(gl., tlm.)síprektigur
preliminerprógv	[formerly: the leaving exam of certain Danish schools]
preliminerskeið	[course preparing for the "preliminerprógv"]
premia	1(virðissløn) prize(t.d.win a prize at an exhibition)2(samsýning) reward3(steypo.tíl.)cup, trophy, (vinningur) prize
premiulán	lottery loan
prent	(prent.)print;seta upp á prentprint;framskorið prentembossing, relief print(ing), raised print(ing)
prenta	1(prent.)print; prentabøkurprint books2(fl.m.)hammer sth into sby,(eis.)indoctrinate(t.d.indoctrinate the population with a political creed); implant(t.d.implant an idea into his mind); graft(t.d.graft pagan rites on (to) Christian usage); engraft(t.d.engraft principles into sby's mind); prentainn í børniniengraft into the children;hendingin stendur prentað í huga mínumthe scene remains stamped on my memory;prenta sær e-t í huganmemorize sth3(teld.)print; prentaeitt skjal (út)print out a document4(gl.)write copperplate
prentari	1(prent.)printer2(teld.)printer;geislaprentarilaser printer
prentár	date of printing
prentbúgvin	(prent.)ready for press
prentbúni	(prent.)print;vakur prentbúnigood print
prentfrælsi	freedomel.liberty of the press
prentgerð	(prent.)presswork(t.d.there are three steps in printing a book: composition, presswork and binding)
prenting	(prent.)printing;greiða bók til prentingaredit a book
prentingarkostnaður	costs of printing
prentingarloyvi	(frá ritskoðara) printing licence, imprimatur;geva prentingarloyvi (t.e.senda til prentingar) pass for press; (loyva at prentat.d.tíðindi) release
prentis	(sigl.)[boy who takes part for the first time in fishing from a ship]
prentligur	(prent.)concerning printing;hjprentliga
prentlist	(prent.)art of printing
prentlitur	printing ink, printer's ink
prentlutur	1(piece of) printed matter, printed paper2(postm., gl.)printed papers, printed matter(eint.)
prentlýti	(prent.)misprint, printer's error, (formligt mál) erratum(flterrata)
prentmiðil	(prent.)press
prentmót	(prent.)(printing) block; (til litprenteis.)plate
prentmynd	(prent.)síprentmót
prentpappír	printing paper; (til bøkureis.)book paper; (til bløð) newsprint
prentramma	(prent.)chase
prentsmiðja	(prent.)printing works(eint.),printing office; (stóreis.)printing house
prentsnið	forme
prentstaður	(prent.)place of publication;ávísing av prentstaðiimprint
prentstavur	(prent.)type;prentstavir (samn.)print(t.d.his writing looks like print);skriva e-t við prentstavumwrite sth in block letters
prentsverta	(prent.)printer's ink, printing ink
prenttøkni	printing technique
prentumsiting	print management
prentus	(sigl.)síprentis
prentverk	(prent.)printing machine
prentvilla	misprint, printer's error; (formligt mál) erratum(flterrata)
preria	prairie; síeis.grasslætti,grasfløta
preriu-	(smst.)prairie(t.d.fire)
preriueldur	prairie fire
preriuindiánar	Plains Indians
preriuvognur	covered wagon, prairie wagon
presbyterani	Presbyterian
presbyteranisma	Presbyterianism
presbyterskur	Presbyterian
presending	tarpaulin;leggja presending oman á e-tcover sth with a tarpaulin, sheet sth over
press	1crease;pressið í buksunum var sum ein knívseggthe crease was like a knife-edge2press
pressa1	1press, pressing machine2printing machine, press, printing press;blaðið var liðugt at fara í pressunathe paper was ready for press3(the) media;pressanthe media;tann fría pressanthe free press;fáa góða//vánaliga umrøðu í pressunireceive a favourable//unfavourable press coverage; síeis.fjølmiðil,fjølmiðla-
pressa2	press, squeeze; pressaklæðiiron (one's) clothes
pressari	an energetic man, go-getter, live wire;ein ordans pressarihe is full of go, he is game/plucky
pressijarn	(gl.)press iron, (tailor's) goose(fltgooses)
pressing	pressing, ironing, calendering, creasing
pressuger	compressed yeast
prestabúni	clerical dressel.garb; (messuskrúð) vestments, canonicals(flt)
prestadóttir	clergyman's daughter
prestaembæti	living, benefice, incumbency;vánaligt//gott prestaembætia poor//good/rich living
prestafluga	(dýr.)no common name
prestafólk	the clergymanel.minister and his wife
prestafrúa	síprestakona
prestafundur	clerical conference
prestagarður	(í ensku ríkiskirkjuni) vicarage, rectory, parsonage; (í Skotlandi og hjá fríkirkjupresti) manse; (katólskur) presbytery
prestagjald	parish, parochial district of a clergyman
prestahald	sípresthald
prestahattur	(hjá enskum prestum) shovel hat
prestahúgva	(kat.)biretta
prestajørð	síprestjørð
prestakall	living, benefice, incumbency
prestakamar	[room in which the clergyman lodges (when visiting one of the parish churches)]
prestakjóli	(kirkj.)Geneva gown; vestments, canonicals(flt),cassock
prestakona	clergyman's wife minister's wifeetc
prestakragi	1[ruff worn by Faroese clergymen during divine service]; (samsvarar íOngl.við) bands(flt)2(enskur prestakragi) clerical collar,(tlm.)dog collar3(plfr.) gulur prestakragileopard's bane(Doronicum caucasicum)
prestaligur	as befits a clergyman, similar to a clergyman; clerical, priestly, sacerdotal(t.d.a young man aspiring to sacerdotal ease)
prestaloysi	lack of clergymen; prestaloysivar í fimm árthe parish had not had a clergyman for five years
prestalyfti	vow
prestaløn	clergyman's stipend
prestasetur	1(gl.)vicarage, rectory;Jansagerði hevur ivaleyst verið prestasetur í katólskari tíð Jansagerðiwas no doubt a vicarage during the (Roman) Catholic time2a clergyman's lodgings, a clergyman's place of sojourn; prestaseturvar í Loftithe clergyman's place of sojourn was the Loftfarm (at the village of Sandavágur)
prestasjúka	(lækn.)clergyman's sore throat
prestaskapur	(samn.)clergy, priesthood, priests(flt); prestaskapurin í Føroyumthe clergy of the Faroes
prestaskúli	(sø.)seminary;biskupssetrini við prestaskúlumthe episcopal seats with their seminaries
prestastevna	(kirkj.)[diocesan conferenceel.convention]; (samsvarar við) Rural-Decanal Conference
prestastætt	clergy, priesthood, priests(flt)
prestatign	priesthood
prestaveldi	hierocracy, theocracy;prestaveldisland (niðr.)a priest-ridden country
prestbátur	(gl.)[boat in which a Faroese clergyman was conveyed]
prestbygd	[village in which a clergyman resides]
prestbøur	(landb.)[infield belonging to a clergyman's glebe]
