d	(eis. tónl.)D, d
dragna	1lengthen, grow longer, draw out(fl.m.) dagarnir taka at dragnathe days are drawing out again2loosen, yield, give way;(fl.m.um samband) begin to cool3recover, get better
dragsa	drag, haul, log
dragsan	drag
dragsl	1load2junk, odds and endsflt,bits and piecesflt; rubbish, trash
draguhurð	sliding door
dragukista	chest of drawers,(am.)bureau, dresser; (í listídnaði) commode
dragula	sídragulunál
dragulás	zip (fastener),(serl. am.)zipper;læsa við dragulásizip up;lata upp við dragulásizip open
dragulok	sliding lid
dragulunál	(sj.)(large) needle
dragurenta	(bú.)interest on overdue payments; default interest
dragusong	sliding bed
draguspæl	(tónl.)accordion
dragvatn	(sk.)weak tea
drakk	sídrekka
drakt	1(til konufólk) (tailor-made) suit, coat and skirt2(baby's) sleeping suit
drama	drama
dramblátur	haughty, arrogant, overbearing, proud, conceited
dramblæti	haughtiness, arrogance, pride, presumption
drambsligur	sídramblátur
dramma	(tlm.)have a drink
drammur	drink, snifter,(serl.skotskt) dram
dranga	1(um drangar) rise, stand up, tower2drangast(um fólk) stand in the way
drangi	sídrangur
drangur	stack, sea stack
drankaranøs	bottlenose, carbuncle nose
drankari	(habitual) drunkard, alcoholic, heavy drinker, sot;(am.)Sjuicehead, juicer, lush
drap	sídrepa
drapp	sídrabb
drasl	sídragsl
drassa	sídragsa
dratl	1awkward behaviour2tardy person
dratla	walk slowly; walk with a shuffeling gait; straggle behind
drav	1(við ølbrygging) draff, mash2(gl.)thin beer3rain,alt fór undir draveverything was soaked
dravila	(óregl.)->dragula
dravin	wringing wet, drenched, soaked
dravlorkutur	1with sagging seat2clumsy, awkward
dravsíður	wringing wet, drenched, soaked
dravvátur	wringing wet, drenched, soaked
dravveður	damp (moistel.humid) weather
drák	1dullard; tardy person2neglect, delay
drál	1slowness; tardiness; delay2tardy person
drála	1delay, dally; hesitate2hinder, hamper
drálan	hesitation, delay, tardiness
drálin	sídrálutur
drálutur	hesitating, reluctant
dráp	1homicide, killing;óviljað dráp (svarar til)manslaughter2(fl.m.)grind, drudgery, toil
drápa1	(sø.)heroic poem; (til eins heiður) panegyric (um on)
drápa2	kill
drápiligur	sídrápuligur
drápsdeild	murder squad;(serl. am.)homicide (department)
drápshugaður	bloodthirsty, murderous
drápshugi	sídrápshugur
drápshugur	bloodthirstiness
drápskálvur	calf for slaughter
drápsmaður	killer, homicide
drápsmál	(løgfr.)trial for homicide (, manslaughter)
drápsneyt	fat stock, beef cattle; cattle for slaughter
drápspartur	share of whalemeat
drápsroynd	assault with intent to kill, attempted murder, assassination attempt;(ofta =)outrage(t.d.a dynamite outrage);(fl.m.)attempt, assault, attack (on);drápsroynd varð framd ímóti honumthere was an attempt on his life;fremja drápsroynd móti honummake an attempt on his life
drápsseyður	sheep for slaughter
drápsvirði	slaughter value
drápuligur	1mortal, deadly, fatal,drápulig sjúkamortal illness2stalwart(t.d.grenadiers); (ræðandi) formidable; (krígshugaður) fire-eating(t.d.the fire-eating patriots of the home front); (reypandi) swashbuckling; (ovurvaksin) stupendous, prodigious, colossal, tremendous, enormous, huge
dráttardýr	draught animal(t.d.the mule is a good draught animal)
dráttarlisti	list of prizes, list of bonds drawn
dráttarskýggj	(veðurfr.)cirro-stratus
dráttarstyrki	tensile strength
dráttrarband	trace
dráttrardýr	sídráttardýr
dráttur	1pulling2(í sjónum) surge(t.d.a tidal surge)3protraction, deferment,tað kom dráttur áit dragged on, progress was slow4disagreement, difference (of opinion), dispute5mockery, sneer(s), taunt, gibe6attraction, fascination7longing, yearning8í stórum dráttumin broad outline
dregg1	dregs, sediment, deposit
dregg2	(sjóm.)grapnel; dredge
dreggj	sídregg
dreggja	(sjóm.)dredge, sweep;dreggja eftirdredge for, grapple for
dreggjan	(sjóm.)dredging, dredging up
dregil	1ribbon2stripe(t.d.á hálsinum á fugli)3(rað, hali) long row, crocodile(t.d.a school crocodile),tað er ein dregil, hon hevur aftur úr særit's a long crocodile she has behind her4tall man5(avlangur dúkur) runner
dregilsont	(fugl.)falcated duck
dreglakøka	(stb.)marble cake
dregur	sídraga
dreingiligur	brave, valiant, courageous, plucky, bold
dreingir	sídrongur
dreingjaár	(years of one's) boyhood
dreingjabarn	little boy, boy child
dreingjabók	(bókm.)boy's book, book for boys
dreingjaflogsa	sídreingjarippa
dreingjahár	(gentuhársnið) Eton crop;hon hevur dreingjahárshe has an Eton crop
dreingjaklæði	boy's(el.boys') clothes
dreingjakór	(tónl.)boys' choir
dreingjalið	(ítr.)boys' team
dreingjaligur	boyish;(niðr.)puerile;dreingjalig gentatomboy
dreingjalótir	boyish prank
dreingjanavn	boy's name
dreingjaóviti	boy, lad
dreingjarippa	floosie (, floosy, floozie, floozy)
dreingjarligur	boyish
dreingjaróður	(ítr.)boys' race
dreingjaskóti	boy scout
dreingjaskúli	(skúlam.)boys' school
dreit	sídríta
dreiv1	1confusion,koma í dreivget confused2nonsense, twaddle, rubbish, stuff, drivel
dreiv2	sídríva
dreiva	1ensnare, catch in snare, entangle(t.d.the bird had become entangled in the wire netting);kvikur sum dreivaður haniquick as a snared rooster2rove around, roam around3walk4(gl.)twaddle, talk nonsense, drivel5/flutt m.) entangle(t.d.he became entangled in a series of conflicts with the management), ensnare(t.d.he became ensnared in the complexities of the legal system); complicate6dreiva samanmix up;eg dreivaði hendingarnar samanI mixed up the events
dreivføttur	slow at walking
dreivlorkutur	sídravlorkutur
dreivutur	1tangled,fløktir endartangled threads; entangled2confused; complicated, intricate3clumsy
drekablóð	(harpeis) dragon's blood
drekafiskur	(fisk.)common dragonet(Callionymus lyra)
drekaflogfar	hang-glider
drekafluga	(dý.) dragonfly
drekaflúgving	hang-gliding; (ikki flúgva sjálvur) flying a kite(el.kites)
drekafuglur	(fornsø. dý.)archaeopteryx
drekamánaður	(stjfr.)draconic month
drekaskip	sídreki
drekastavnur	(sø., skip.)dragon stem;við drekastavnidragon-stemmed
drekastevni	(sø., skip.)sídrekastavnur
dreki	1(fólktr.)dragon2(leika) kite3(skip.)dragon ship, dragon-stemmed ship; warship, man-of-war
drekka1	drink;svart drekkatea without milk
drekka2	1drink;Sput away(t.d.a bottle of whisky); (hátíðarliga) take(t.d.the family take tea at 5 o'clock; won't you take a glass of sherry?);(ofta =)have(t.d.I have had my tea; we have coffee instead of tea in the morning; I have had five whiskies); (vera fallin til drykk) drink(t.d.I think he drinks);(tlm.)hit the bottle too hard;hann er farin at drekkahe has taken to drink;drekka eina fløsku saman (eis.)split a bottle;drekka e-n fullanget sby drunk;(tlm.)get sby tight;drekka seg fullanget drunk;hann hevði fingið ov nógv at drekkahe had had a drop too much;hvat vilja tygum drekka ?what will you have?,(tlm.)what's yours?,Sname your poison;geva hesti (kúgv) at drekkawater a horse (, cow);et, drekk og ver glaður (bíbl.)eat, drink, and be merry2[ísamb.viðfs/hj]av:drekka av fløskunidrink out of(el.from) the bottle;drekka av glasidrink out of a glass;drekka av ølinumdrink some of the beer;eg drekki ongantíð whisky (eis.)I never touch whisky;drekka seg av vitinumget blind drunk; drink oneself into a stupor;burtur:drekka sorgirnar burturdrown one's sorrows in wine (, beero.tíl.);inn:vit drukku nýggja árið innwe drank to the New Year;við:drekka eitt glas við e-mdrink a glass of sth with sby; (heilsa við glasinum) raise one's glass to sby;upp:drekka upp(drykkin) drink up, finish(t.d.you must finish your milk); (pengar) spend on drink(t.d.he has spent his fortune on drink); drink up(t.d. one'sfortune); drink up(t.d. one'sbeer); empty one's glass (, cup,o.s.fr.)finish (one's tea,o.tíl.); drekk upp!(eis:) down the hatch!, bottoms up!;hann man fara at drekka tað upp afturhe will surely pay for his acts
drekkafløska	® thermos (flask)
drekkaílat	drinking vessel; (til dýr) drinking trough
drekkaílát	sídrekkaílat
drekkaker	sídrekkaílat
drekkakerald	sídrekkaílat
drekkaløgur	alcoholic beverages, spirits
drekkamuður	drop of tea
drekkamunnur	sídrekkamuður
drekkaskál	(kvæð.)drinking bowl
drekkasopi	(stb.)drop
drekkavatn	drinking water
drekking	drinking,(tlm.)boozing
drekkingarvatn	sídrekkivatn
drekkivani	drinking custom
drekkivatn	drinking water
drekkja	(kvæð.)drinking bout
drekt1	(stb.)load
drekt2	(stb.)speed,hann tók drekt í seghe hurried up
dren	(tlm.)drain(pipe)
drena	(tlm.)drain
drepa	1kill;(gl.)slay; slaughter2(í talvi og øðrum spølum) take3put, shoot, stickdrepa e-t (niður) í vatnto stick sth into water4move,tað drepur ikki(um streym) the current is still5soak6drip, leak7[ísamb.viðfs/hj]drepa á:drepa á e-tstrike, touch, brush sth;(fl.m.) drepa gott á e-nhelp (comfortel.console) someone;tað drepur gott á hannhe is successful; he is happy;drepa burtur úr:drepa burtur úr e-mwash something out;drepa burtur úr munniignore, disregard;drepa niður:drepa niður høvurbow(el.bend) one's head;drepa uppdip (, immerse) in water;drepa uppi(um vind) be calm;drepa úr:tað hvørki drepur ella dettur úr honumhe is completely silent8[ísamb.viðseg]drepa seg1take one's own life, commit suicide, kill oneself, do away with oneself;(tlm.)do oneself in2(fl.m.)overburden oneself;drepast1kill each other2(fl.m.)fight violently;drepandi1death-dealing(t.d.blow)2boring;drepa langligtdeadly monotonous;drepa keðiligtdeadly dull;hann er drepa keðiligur (eis.)he is a crashing bore
drepiligur	sídrápuligur
drepningur	(um grind)í drepningiabout to be killed(el.slaughtered)
drepsótt	plague
drevja1	sítrevja
dreya	1(handv.)lathe2(tlm.)turn(t.d.to the left); (brádliga) swerve(t.d.the car suddenly swerved to the right)
dreygur	1dead body, corpse2ghost, apparition, spectre
dreyibonkur	(handv.)lathe
dreymaheimur	dream-world
dreymakendur	dreamlike; oneiric
dreymaleysur	dreamless(t.d.I fell straight into a dreamless sleep)
dreymamynd	vision, phantasm
dreymasjón	sídreymsjón
dreymkendur	dreamlike
dreymsjón	illusion, delusion;skapa sær dreymasjónircherish illusions(umabout;um at(to the effect) that)
dreymsólja	(plfr.)poppy(Papaver)
dreymsóljuætt	(plfr.)Papaveraceae, the poppy family(Papaveraceae)
dreymsýni	sídreymsjón
dreymur	1dream; reverie(t.d.he stood as if lost in reverie); vision;hann hevði ein dreymhe had a dream, he dreamt;dreymurin gjørdist veruleikithe dream came true;í dreymiin a dream, in one's dreams;nýggi bilurin koyrir sum ein dreymurSmy new car is a dream to drive;fyri mær er hetta sum ein dreymurit seems to me like a dream;týða dreymurinterpret a dream;(gl., skaldsk.)read a dream2(um fólk, bilar o.a.) dreamboat (t.d.hisnewcarisadreamboat)
dribla	(ítr.)dribble (t.s.s.krússa)
drift	1drift2(tlm.)working, running(t.d.the working(el.running) of the factory); operation(s)(t.d.the operation(s)(el.working) of a machine; operations are at a standstill)
drifta	1drifta velinumwag the tail2roam about3drifta særboast, brag, swagger
driftaragarn	(sjóm.)drift net
driftari	(sjóm.)drifter
driftingur	shake, push; rough sea
driftinivel	1apron2(serl.um barn) always dogging one's footsteps
dripin	sídrepa
drit	(gl.)dirt, dung
dritta	sídrifta
driv	1drizzle2(við streymi) drifting,3drive, enterprise, energy,tað var eitt driv í honumhe had a drive4(hart) slap, smack, beating, hiding,geva honum eitt drivtake(el.have) a smack at him5engine, motor6(teld.)drive7(tøkn.)pinion
drivakker	(skip.)floating(el.sea) anchor, drag (anchor), drogue
drivásur	pinion shaft
drivfjøður	(tøkn.)mainspring
drivin	(um kjøt) marbled
drivmegi	motive power, driving force; (úr fossi) water power; (motiv) motive, motivation, impetus, incentive;hann er drivmegin í fyritøkunihe is the driving force behind the undertaking;veita drivmegisupply (motive) power
drivmjørki	rainy mist
drivregn	heavy drizzle
drivreim	(tøkn.)driving belt, drive belt
drivsegl	(skip.)ringtail
drivtoka	sídrivmjørki
drísla	be hesitant, dilatory, tardy
dríslutur	hesitant, dilatory, tardy
drísta	(kvæð.)trust
drístigur	brave, bold, daring(t.d.person, undertaking), audacious
drístiliga	(kvæð.)bravely, boldly, daringly(t.d.person, undertaking) audaciously
drístin	(gl.)brave, bold, daring
dríta	excrete, throw its dirt,(orðt.) ringur er fuglur, í sítt reiður drítur el. tað er ringur fuglur, ið drítur í egið reiðurit is an ill bird that fouls its own nest
dríva	1carry on, conduct, run(t.d.a firm, a business)2(um vind, streym) drift with, carried by;dríva av(sjóm.)(um skip) drift off;dríva áexert one's strength; speed up; incite, urge (on), spur (on);dríva undandraw back, retreat, yield, give round;dríva upp ábe busy with3ooze(t.d.the walls were oozing with water); seep(t.d.water seeps through the wall)4commit,dríva horcommit adultery5drívandiindustrious
drívari	(teld.)driver
dríviligur	(stb.)hard-working, industrious
drjúgvur	(gl.) sídrúgvur
drjúpa	(gl.) sídrúpa
drobbløðra	(óregl.)->droyrbløðra
dromedarur	(dýr.)dromedary, one-humped camel(Camelus dromedarius)Camelus Dromedarius ©iStock
drona	(tøkn.) drone
drongla	stroll, lounge, saunter,koma dronglandi (aftaná)come straggling behind
dronglutur	slow, dilatory, tardy
drongsl	slow (dilatory, tardy) person
drongsla	be slow, (dilatory, tardy)
drongslutur	sídronglutur
drongur	dreingir1boy, lad;frá dreingisince boyhood, man and boy(t.d.I have lived in London, man and boy, for 80 years);babbasa drongurrich man's son;mammusa drongurmother's darling;raskur drongura boy of spirit, a brave lad, a plucky little fellow;sum dronguras a boy, when I (, heo.s.fr.)was a boy, in my (, hiso.s.fr.)boyhood2boyfriend3bachelor4(kvæð.)courageous man; hero5(kortsp.)knave, Jack
dronkl	(stb.)sídrongsl
drontl	(stb.)sídrongsl
drontlast	(stb.)sídrongsla
drontlutur	(stb.)sídronglutur
dropa	drip, drop;(oljuv.)condense
dropadriv	(alisfr.)distillates; distillation, distilling
dropadríva	(alisfr.)distil(t.d.distilled water)
dropadríving	(alisfr.)distillation, distilling
dropagass	condensate
dropaskjól	shelter,nú mugu vit fara at fáa okkum dropaskjólwe've better find a shelter
dropasteinspípa	(jarðfr.)stalactite
dropasteinsstubbi	(jarðfr.) stalagmite
dropasteinstubbi	(jarðfr.)stalagmite
dropasteinur	(jarðfr.)dripstone
dropi	drop; (minsta vætumál) minim;dropar flt(heilivágur) tincture, drops;dropa fyri dropadrop by drop;dropin sum fekk bikarið at flóta yvirthe last straw (that breaks the camel's back);dropin matar steininconstant dripping wears away the stone;tað er sum ein dropi í havinumit is a drop in the ocean(el.in the bucket), it is a mere flea-bite;tøma til seinasta dropadrain(el.drink) it to the dregs;ein dropi av vatnia drop of water;gev mær ein lítlan dropa av whiskygive me just a spot of whisky
droplittur	(seyðal.)dark-spotted
dropp	(lækn.)drip, intravenous line, IV line
drops	(Suð.)sweet
droputur	(seyðal.)dark-spotted(serl.á skortinum)© Eyðbjørn Jacobsen
drosl	sídrongsl
drotning	1queen(t.d.reigning queen; the Queen of Sheba; Queen Elizabeth; Venice, Queen of the Adriatic);sum ein drotning, lík eini drotningqueenly, queenlike2(talv)queen3(dýr.)queen bee
drotningarfirvaldur	(firv.)bedstraw hawk-moth(Hyles gallii)© Wikimedia Commons
drotningarligur	queenly, queenlike, like a queen
drotningarmaður	Prince Consort
drotningaumfar	(polit.)[round in Danish cabinet-forming negotiations, involving the Queen]
drottin	1king2Lord, God
drottur	vanl.drottin
droyma	dream;droyma um eitt(í svøvni) dream about(el.of) sth(t.d.what did you dream about last night?); (í huganum) dream of sth(t.d.dream of marrying a prince);eg hevði ikki droymt um at gjørt nakað tílíktI wouldn't dream of doing such a thing;eg droymdi ikki um at hann fór at gera taðI never dreamt that he would do it; not in my wildest dreams did I suppose that he would do it;køkurin hon gongur og droymir umthe kitchen of her dreams(GG:he's her dream man);sita og droymabe lost in a reverie; daydream;hann droymdi seg aftur í barnaár (fl.m.)he imagined himself back in his childhood
droymari	dreamer
droymutur	dreamy
droypa	(gl.)sprinkle, (allow to) drip
droypioffur	(bíbl.)libation, drink-offering
droyrbløðra	blood-blister
droyri	(kvæð.)blood
droyrreyður	blood-red, scarlet
dró	sídraga
drógu	sídraga
drópu	sídrepa
drós	(kvæð., skaldsk.)kv maiden; virgin
druður	(sj.)sídrunnur
drukkin	intoxicated, drunk, inebriated, tipsy,(tlm.)tight;S(heldurgl.)blotto; half seas over, pissed, sloshed, sozzled;drukkin(when) intoxicated;eitt sindur drukkinslightly intoxicated;koyra bil drukkinbe drunk in charge of a car;illa drukkinvery intoxicated;(tlm.)blind drunk, drunk as a lord,Spissed out of his (, her) mind(tlm.)tight,Splastered, blind to the world
drukkinskapur	drunkenness, inebriety
drukku	sídrekka
drukna	1drown(t.d.to drown a kitten);(óáv.)drown, be drowned(t.d.he fell into the water and (was) drowned); (tólh nt.)drowning(t.d.help, I am drowning!);øll manningin druknaði (eis.)the whole crew were lost; the ship was lost with all hands;drukna segdrown oneself2(fl.m.)be soaked;(fl.m.) drukna í arbeiðibe up to one's ears in work; be snowed under with work;tað hann segði druknaði í látriwhat he said was drowned in laughter; he could not make himself heard for laughter;røðan druknaði í larminumthe speech was drowned by the noise;drukna í fjøldinibe lost in the crowd;hann var um at drukna í tølumhe was up to the ears in figures;drukna í møsnifizzle out;hann druknaði sorgirnar í brennivínihe drowned his sorrows in drink
drumbur	dilatory (, tardy) person
drumbutur	dilatory, tardy
drunngulur	drunngulur ljómari yellow-rumped warbler
drunnhvíti	(fugl.)European storm petrel(Hydrobates pelagicus)(Linnaeus, 1758), leach's storm petrel sísýldur drunnhvíti© Wikimeda Commons
drunnhvítur	with a white patch on the rump
drunnmorreyður ljómari	(fugl.)palla's grasshopper warbler(Locustella certhiola)(Pallas, 1811)©Shanaka Aravinda
drunnsvikin	with a slender rump
drunnur	1(á kríatúrum) rump and tail2behind, seat, backside;(tilt.) hevði tú dugað at sitið so væl á munninum sum á drunninum[if only you knew how to keep tight]
drunsl	dilatory (, tardy) person
drunsla	be dilatory, be tardy
drunslutur	dilatory, tardy
drupu	sídrepa
drussutur	dilatory, tardy
drúgførur	dilatory, tardy, slow in coming
drúgneyt	dilatory (, tardy) person
drúgsamur	(sj.)dilatory, tardy, slow in coming
drúgt	sídrúgvur
drúgvan	sídrúgvast
drúgvast	almost certainly
drúgvátin	(um mat) lasting
drúgvur	1economical, lasting, that goes a long way, that lasts a long time2long in coming3lengthy (t.d.the meeting was lengthy and boring);protracted (t.d.the protracted delays upset many people);long-standing (t.d.the long-standing war finally came to an end last year);prolonged (t.d.his prolonged speech bored the audience immensely);ample(t.d. she has ample experience within this field)4extensive (t.d.extensive analytical work)
drúpa	drip
drúva	(plfr.)grape;bláar drúvurblack grapes;grønar drúvurwhite(el.green) grapes
drúvusukur	(evnafr.)grape sugar, dextrose, glucose
dryfta	(óregl.)sídrifta
dryftingur	(óregl.)sídriftingur
drykkja	drinking bout, bacchanal,(tlm.)binge
drykkjubøli	groggery
drykkjuhorn	drinking horn
drykkjukíkur	drunkard, alcoholic, heavy drinker, sot; (sum fær tørn) dipsomaniac;(am.)Sjuicehead, juicer, lush
drykkjulag	drinking bout, bacchanal,(tlm.)binge
drykkjumaður	(habitual) drunkard, alcoholic, heavy drinker, sot;(serl.kvartalsdrankari) dipsomaniac;(am.)Swino, juicehead, juicer, lush
drykkjumál	(kvæð.)drinking bout, bacchanal,(tlm.)binge
drykkjuoffur	(bíbl.)libation, drink offering
drykkjupeningur	tip, tips, gratuity, gratuities;geva drykkjupeningtip, give a tip(el.tips);geva nógvan drykkjupeningtip lavishly, give a generous tip(el.generous tips);geva tænaranum 20 kr í drykkjupengumtip the waiter twenty kroner;geva ov lítið í drykkjupengumgive too small a tip, undertip;geva ov nógv í drykkjupengumgive too big a tip, overtip;ongan drykkjupening!no tips!, employees are not permitted to accept gratuities
drykkjusjúka	(sálfr., lækn.)alcoholism (acute alcoholism; chronic alcoholism)
drykkjuskapur	drinking; drunkenness,Sboozing, booze;fallin til drykkjuskapaddicted to drink(ing); drunken, intemperate, bibulous
drykkjuskál	(kvæð.)drinking bowl; (stór skál við tveimum oyrum, sum fer frá einum til annan í gildinum) loving cup
drykkjuskáli	(kvæð.)drinking hall
drykkjusteyp	drinking cup
drykkjustova	tavern, taproom, tap
drykkjuveitsla	drinking bout, bacchanal,(tlm.)binge
drykkur	drink,(gl.)beverage;sterkir drykkirstrong drinks, spirits, intoxicants,(am. eis.)hard liquor;(fl.m.) ein beiskur drykkura bitter cup
drymbingur	sídrumbur
drynj	bellow
drynja	bellow
drypp	drop, drip, dripping
dryppa	drip, drop
dryppari	(lækn.)gonorrh(o)ea,Sclap,(She has got a dose (of the clap))
dryppur	drop, drip, dripping
drýggja	1be thrifty, be economical, make sth go a long way2postpone, defer(t.d.a matter for a week); (um eitthvørt ófýsiligteis.)stave off(t.d.the day of reckoning); (fundiro.tíl.)adjourn(t.d.a debate, an inquiry, a sitting)
drýggjaligur	economical, thrifty
drýgsla	be thrifty, be economical, make sth go a long way
drýlaknívur	(spei.)blunt knife
drýlur	[unleavened bread loaf]
drýpa	bend, bow, droop,drýpa høvur (niður)lower one's head, hang one's head
drýpur	sídrúpa
drýsla	(upprfr.)sídrísla
drýslutur	(upprfr.)sídríslutur
drøg	sídrag
drøgg1	(í løgi) sediment, deposit;(evnafr. eis.)precipitate; (í víni) lees, dregs; (í olju) bottoms, draff
drøgg2	(lækn.)drug
drøggbundin	addicted to, given to;gerast drøggbundin atbecome addicted to(t.d.drink), become an addict to(t.d.drug-taking)
drøltur	bundle
dubba	1equip, fit (out), dress,hví hevur tú dubbað teg so út?why have you dressed so warmly2(herm.)equip, arm
dubbing	(herm.)armament
dubragd	(sk.)sífríggjarabragd
dudda	(barn.)dirty, mess
duffa	1(um skip, bátaro.tíl.)rock, roll, toss2(spæl)duffa (træ)seesaw
duffitræ	seesaw
duga	1be able to, know how to; be useful, be skilful, be capable2serve, help, assist3have magic powers
dugaligur	sídoðaligur
dugandi	1good, competent, capable, proficient, able;(serl.= sum hevur sítt í lagi) efficient, sound;(serl.= fermur) skilful, dexterous, adroit; (kønur) expert, proficient; (evnaríkur) gifted, ingenious; able-minded; (framúr) fine2(gl.)beneficial, advantageous, profitable; useful, serviceable
dugg	(stb.)kóka upp í dugg boil to a mash
dugga	(barn.)sail
duggubátur	(barn.)boat
dugileiki	sídugur
dugna	help, aid, assist, dugna mær eina hondlend (, give) me a hand
dugnadagur	good day (til útiarbeiði)
dugnaður	help, aid, assistance, support, service
dugnafólk	capable people
dugnagóður	(sj.)sídugnaligur
dugnakona	able wife
dugnaleysur	incapable
dugnaligur	1good, competent, capable, proficient, able(t.d.a very able admiral, general, statesman; an able (, clever) craftsman);(serl.= við góðum handalago.s.fr.)skilful(t.d.a skilful dentist, negotiator, surgeon), dexterous, adroit; (kønur) expert, proficient; (evnagóður) gifted, ingenious; able-minded;framúr dugnaligurbrilliant;dugnaligur næmingura good pupil, a promising pupil, a gifted pupil;vera dugnaligur í skúlanumbe doing well at school;vera í arbeiðinumknow(el.be good at) one's job, be a good man2hjdugnaligawell, efficiently(t.d.work well; do one's job efficiently), skilfullyo.tíl. (t.d.he bandaged my hand very skilfully)
dugnaloysi	incapability, inability
dugnamaður	able man, capable man
dugnamikil	capable
dugnaskaparprógv	(sjóm.)certificate of competency
dugnaskaparroynd	(sjóm.)merit test
dugnaskapur	competence(t.d.to gain a high level of competence in English; professional / technical competence)¸ proficiency(t.d.a high level of oral proficiency in English; a certificate of language proficiency); (evni) ability, efficiency(t.d.I was impressed by the efficiency with which she handled the crisis), skill, dexterity(t.d.you need manual dexterity to be good at video games); (førleiki) capability
dugni	sídugnaður
duguleiki	sídugur
duguligur	sídugnaligur
dugur	1skill, ability, capability, capacity;fólk sum dugur er íman (, womano.s.fr.)of great ability, competent man, first-rate man, good man;tað er veruligur dugur í honumhe is a very able man2use, good, usefulness,hvat dugur er í tí?what is the use of it?
duk	knock, knocking, hammering; (um hjarta, puls) throbbing; pounding(síduka) blow, stroke, knock, push;hann gav honum eitt duk millum herðarnarhe gave him a push (el.blow) between the shoulders
duka	beat, knock, hammer away;duka á dyrnarhammer(el.pound) at(el.on) the door; (um hjarta, puls) beat(t.d.it sets my heart beating); (kvikari) throb(t.d.my pulse was throbbing; throbbing temples); (hart) pound(t.d.my heart was pounding)
dukan	síduk
dukátur	(gl.)ducat
dukka	1(leika) doll2(í mannastødd) dummy(t.d.a dummy is substituted for the actor in this scene)3(marionettdukka) puppet, marionette;(fl.m.the king was a mere puppet in the hands of his ministers)4(seymigarn) skein5(á dreyibonki) lathe poppet6(pyntidukka) dolly girl
dukkubarn	(baby) doll
dukkudidda	1little girl2(spei.)doll
dukkudrongur	(niðr.)mother's darling, goody-goody, chinless wonder
dukkuhús	doll's house
dukkuklæði(r)	doll's clothes, doll's dresses
dukkuleikhús	toy theatre; (marionettleikhús) marionette theatre
dukkuligur	doll-like
dukkustova	doll's house
duladreymur	inkling(t.d.I had an inkling of the truth); idea,eg havi ikki duladreym um taðI have no idea what it is; notion, suspicion
dulakendur	sluggish, dozy
dularbúni	disguise
dularfullur	(átrúni) mystic(al)(t.d.mystical experiences); mysterious(t.d.his mysterious disappearance); (illgrunasamur) suspicious
dularklæði(r)	disguise
dulbúgvin	in disguise, disguised
duld	1(loyndarmál) secret, (loynd) secrecy(t.d.the secrecy of the ballot; the secrecy of the mails),í duldsecretly, in secret; clandestinely2(sálfr.)complex,Shang-up
duldarfullur	sídularfullur
duldarmál	secret, secrecy, mystery; concealment(t.d.the concealment of crime)
duldi	sídylja
duldur	1(fjaldur)hidden, concealed2disguised3latent(t.d.latent defectsel.disease);(kvæð.) duld eru døpul meingreat sorrows are kept to oneself; covert(t.d.covert operationsel.surveillance)4secret;dult nummarunlisted number;í duldumsecretly; on the quiet
duli	1distraction, frenzy2lethargy3torpid person4(kortsp.)the dummy
dulin	(stb.)sídulin
dulisliga	mysteriously
dulklæði(r)	sídularbúni
dulkornutur	(jarðfr.)cryptocrystalline
dulkrút	idler, slacker, lazybones, lazyboots
dulkrystallutur	(jarðfr.)cryptocrystalline
-dulkutur	síill-
dull	(stb.)slow, tardy, dilatory person
dulla	dulla burtur1conceal, disguise; ignore; pass over in silence2waste away3reduce, dwindle (down), decrease, shrink, diminish
dulleiða	hypnotize, mesmerize(t.d.the patient is mesmerized into believing that he is well)
dulleiðari	hypnotist, mesmerist
dulleiðing	hypnosis;undir dulleiðing(while) under hypnosis
dulleiki	deafness
dulmál	code, cipher,bróta eitt dulmálbreak a cipher;týða til dulmálencrypt;týða dulmál til vanligt máldecode, decipher
dulnevndur	1pseudonymous; anonymous; (um navn) assumed, fictitious;dulnevnd lesarabrøvanonymous readers' letters2hjdulnevntunder a pseudonym
dulnevni	pseudonym, assumed name, nom de plume, pen name
duloyra	í osb: hava duloyra be deaf
dulsmál	secrecy(t.d.the secrecy of the ballot; the secrecy of the mails); mystery(t.d.the mystery was never cleared up); secret(t.d.shall we ever know the secret of Shakespeare's sonnets?)
dultekstur	(teld.)cipher
dulur1	1something secret, concealed, covert,ikki hava dul ella dreym um e-tnot have the slightest idea about something2(fólktr.)the abode of the hidden people
dulur2	1deaf, hard of hearing2confused, bewildered3lethargic, apathetic
dulvit	(sálfr.)subconsciousness, subconscious(t.d.experiences relegated to the subconscious); subconscious mind; (yrkiskøn brúka helst) unconscious(t.d.complexes embedded in the unconscious)
duma	duma
dumb	(gl., stb.)thick haze
dumba	chaff, husks;skilja dumbuna frá korninum (eis. fl.m.)separate the wheat from the chaff;tey spjaddust sum dumba fyri vindithey scattered like chaff before the wind
dumbur	dumb, mute
dummur	1(tlm.)stupid, dull, silly, dense, slow-witted, foolish, obtuse;(tlm.)dim, thick, gormless, daft, dopey2dumb, mute
dumpa	(ikki standa prógv) fail, be ploughed; be flunked;(serl. am.)flunk; bomb (out); (til val) be defeated;dumpa til royndfail a test
dumpari	dumper, dumper truck, dump truck
