ó-	un-(t.d.uninterrupted); im-(t.d.improper); il-(t.d.illegal); ir-(t.d.irregular); non-(t.d.non-professional); not(t.d.not previously mentioned
óstorkaligur	síóstorkasligur
óstorkasligur	(stb.)síóstortsligur
óstortligur	síóstortsligur
óstortsligur	clumsy(t.d.behaviour; style; movement; person; compliment; excuse), awkward(t.d.gestures; manners); heavy-handed(t.d.the heavy-handed methods of the police); ham-fisted, maladroit(t.d.his maladroit handling of the negotiations); inept(t.d.policy; attempt); blundering, bumbling,(t.d.a bumbling policy; speech), lumering; violent; óstortsligurleikurviolent play;óstortsligt gongulaglumbering gait;hjóstortsliga
óstur	(stb.)síøsi
ósturhvítur	(stb., seyðal.)with white throat;ósturhvítt lamba lamb with white throat
óstuttligur	not (very) amusingel.pleasant; unenjoyable; (ikki forvitnisligur) uninteresting;í einum óstuttligum, gráum gerandisdegion a boring, grey weekday;einsligt og óstuttligt líva lonesome and boring/uninteresting life
óstúttur	unsteady;heldur óstúttur, sum hevði hann kenninghe was rather unsteady on his feet as if he had had a drop too much; síóstinnur
óstyttur	entire, whole, unabridged, complete;óstytt útgávaunabridged edition
óstýrandi	síóstýriligur; óstýranditráan eftir at hevna segan irresistible impulse/urge to revenge oneself(el.to be revengedel.to take revengeel.vengeance on sby)
óstýriligur	ungovernable(t.d.child; passion; a fit of ungovernable temper); unmanageable, intractable, unruly(t.d.child; horse);báturin var so óstýriligur í tí nógva briminumthe boat was ungovernable in the violent surf;børnini eru so óstýrilig í dagthe children are unruly today;hon fylgir sínum treiska og óstýriliga sinnishe follows her obstinate and ungovernable mind;hjóstýriliga
óstøðugur	unsteady, changeable, unsteady, inconstant, fitful, unstable (um fólk) inconstant, vacillating, capricious, fickle, unstable; (sinnalag) volatile(t.d.temper); (um marknaðin) fluctuating, unsettled; (um veðurlag) changeable;hann er so óstøðugurhe vacillates;óstøðugur streymurirregular current;óstøðugt veðurchangeable weather;(evnafr., sálfr.)labile, unstable(t.d.compound)
óstøðuligur	síóstøðugur;óstøðuligt gongulagunsteady walk
ósúrgaður	unleavened;ósúrgað breyðunleavened bread
ósvaraður	unanswered(t.d.leave a letter unanswered); (ósvaraður kærleiki) unrequited(t.d.love);brævið er framvegis ósvaraðthe letter remains unanswered;ósvaraður spurningurunaswered question
ósvikaligur	unfailing, undeviating, unswerving(t.d.fidelity; loyalty); unmistakable, infallible; unerring(t.d.instinct);sterkur og ósvikaligur trúskapurstrong and unswerving loyalty;hjósvikaliga
ósvikin	(bíbl.)pure, genuine, true;ósvikin trúgvtrue faith
ósvitaligur	unfailing, infallible, unerring;sagt í greiðum og ósvitaligum orðumexpressed in unambiguous and infallible words;hjósvitaliga
ósvitandi	síósvitaligur
ósvivaligur	1(um sjógv, of sea) rough;tað er so ósvivaligt í dagthe sea is rough today;ósvivaligur sjógvurrough sea2bad, poor, rough;ósvivaligt veðurbad weather3ragged, tattered, slovenly;ganga ósvivaligurbe slovenly dressed
ósvøvntur	who has hadel.has passed a restless night, who has not got much sleep;eg eri so ósvøvntur í morgunI did not get much sleep last night
ósýndur	difficult to detectel.see;har er so ósýntthe view is bad there;tað er ósýnt niðanáthe view upwards is bad (sth obstructs the view)
ósýni	poor view, poor visibility;tá ið kavarok var og ósýniwhen there was a snowstorm and poor visibility
ósýniligur	1invisible;sum ósýnilig fonlike invisible specks2ugly, hideous;ósýniligt sær tað útit looks ugly;ósýniligt veðurbad weather
ósýnligur	síósýniligur2
ósæddur	unseen(t.d.he did it unseen); without being seen(t.d.he escaped without being seen), unobserved, unnoticed, unperceived (by); unexamined;hann slapp sær ósæddur útumhe slipped out unseen
ósærandi	(eis. fl.m.)invulnerable
ósærdur	unwounded, unhurt(t.d.escape unhurt), unharmed, unscathed, safe and sound;hann kom ósærdur úr krígnumhe returned from the war safe and sound
ósæriligur	(eis. fl.m.)invulnerable;hann kendi seg ósæriliganhe felt invulnerable;hon er ósærilig (eis.)she bears a charmed life
ósættis	íosb. koma til ósættisfall outel.quarrel
ósøguligur	unhistorical;hetta er løgin og ósøgulig talathis is a strange and unhistorical assertion
ósøktur	(of a bird cliffs) unexploited;bjørgini lógu ósøktthe bird cliffs had not been expolited for a long time;stakkurin hevur verið ósøktur í langa tíðthe stakkur (high rock in the sea) has not been exploited for a long time
ósømd	disgrace, dishonour, shame;gera e-m ósømdirdisgrace sby, be a disgrace to sby, (ógvisligari) bring disgrace/dishonour on sby;sonurin hevur gjørt teimum órætt og ættini ósømdthe son had wronged them and had disgraced his family
ósømiligur	unseemly(t.d.behaviour; remark); improper, indecorous, unbecoming; (ógvisligari) indecent;(eis.)scandalous(t.d.scandalous use of public money); ósømiliguratburðurunseemly behaviour;ósømiligar myndirdirty pictures;hjósømiliga
ósøtaður	unsweetened(t.d.juice; fruit)
ótakandi	unbeatable(t.d.the Brazilian team is regarded as unbeatable);hann er ótakandihe is unbeatable
ótakkargerð	act of ingratitude;tað er ongum líkari enn eini ótakkargerðit seems to be an act of ingratitude
ótakksamur	1ungrateful (towards);vera e-m ótakksamurshow oneself ungrateful to sby;ver ikki so ótakksamurdon't be so ungrateful;ótakksom børnungrateful children2(í lítlum metum) thankless(t.d.job; task); ungrateful(t.d.task); unrewarding(t.d.an unrewarding task);ótakksamur leikluturan ungrateful part
ótakksemi	ingratitude; thanklessness(t.d.of a task);fyrigev stóru ótakksemi mínaforgive my having been so ungrateful
ótal	immeasurable quantityel.amount, countless number, an infinitude(t.d.of examples);eitt ótal av dømuman infinitude of examples;eitt ótal av fólki var samankomiða countless number of people had gathered;í sjónum livir eitt ótal av verum, stórum og smáuman immeasurable amount of large and small creatures live in the sea;hann hevði eitt ótal av konumhe had great many wives
ótaldur	1innumerable, numberless, countless(t.d.books, people, times); without number(t.d.times without number); untold(t.d.during untold centuries);(tlm.,heldurgl.)no end of(t.d.books);í ótaldum talia countless number;fólk streymaðu til í ótaldum talipeople flocked (to the spot) in countless number2uncounted; ótaldurpeninguruncounted money
ótalligur	síótaldur;og ótallig onnurand countless others
ótamdur	untamed, wild;ótamd rossuntamed horse;hann fer ikki fram við hóreiggjandi og ótamdum orðumhe doesn't use grandiose and extravagant words
ótangaaldur	(eis.)the awkward age;drongur í ótangaaldri (eis.)teenager; (lókutur) gawkyel.gormless youth;(gl.)hobbledehoy
ótangaár	(speis., stb.)youth, years of (one's) youth, early years; adolescence, teens(flt), ótangaárini (eis.)the awkward age
ótangagerð	prank(t.d.play a prank on sby), trick(t.d.play a trick on sby);tú skalt ikki vága tær at gera hasa ótangagerðina aftur!don't you ever pull that trick again!
ótangi	intractable, unaccommodatingel.stubborn person, villain, scoundrel;(espof children) naughty child;kommandanturin var ótangi í flestum lutumthe commandant was mostly a stubborn and unaccommodating man;ein sovorðin ótangihe is a scoundrel
ótarnaður	unhindered, unhampered, unimpeded, unobstructed; untrammelled(t.d.by responsibilities); unchecked;hann kundi ótarnaður bera fram sjónarmið sítthe could unhindered present his point of view;hermenninir kundu ótarnaðir taka seg framthe troops met no hindrance in their advance
ótarvur	unnecessary(t.d.with unnecessary care); needless(t.d.it is needless to say more);tað er ótarvt at vísa áneedless to point out; síóneyðugur
ótálmaður	untrammelled, unrestrained, unhampered, unimpeded; free, unchecked;alt ólevnað kann fara fram ótálmaðdebauchery could take place without restraint;nýggja tíðin legði ótálmað inn yvir føroyska fólkiðthe new age swept mercilessly over the Faroepeople
ótelgdur	uncut, rough, coarse;(fl.m.) ótelgdur táttura rude satirical ballad
óteljandi	síótaldur1; óteljandinøgdimmeasurable quantity/amount, countless number;óteljandi søgur gingu um hannthere was an infinitude of stories about him
ótemiligur	untam(e)able(t.d.animal; passion), which cannot be tamedel.domisticated
ótemjandi	untam(e)able, which cannot be tamedel.domisticated; ótemjandihuguruntam(e)able passion
ótentur	(plfr.)not serrated, unserrated;ótent blaðunserrated leaf
óterraár	[year when the weather is bad for drying hay or fish]
óterradagur	[too wet day for hay drying]
óterri	bad weather for drying hay; damp, wetel.rainy weather; óterrihevur verið hesi seinastu tvey árinithe weather has been bad for drying hay the last two years
ótespiligur	unpleasant, comfortless, cheerless, dismal; disgusting, loathsome, sickening; disagreeable;tað var ótespiligt at leggja í stronginit was very unpleasant sailing in the eddy;eitt ótespiligt kvendian unpleasant woman;hjótespiliga
ótilevnaður	unmanufactured(t.d.material); unprepared; raw(t.d.hide; skins; metal); rough(t.d.casting; diamond; stone); not worked up; unprocessed(t.d.goods), rough(t.d.planks)
ótilgjørdur	1(um ráevni) raw, unprocessed, untreated, unmanufactured(t.d.material; silk); (um timbur, húðiro.tíl.)undressed; (um við) untreated, in the white; (óslípaður) rough(t.d.diamond); not cultivatedel.tilled;allur viður var komin ótilgjørdurthe wood arrived untreated;trøðin lá ótilgjørdthe plot (sítrøð)was neglected (had not been cultivatedetc)2artless, unaffected(t.d.manners; style); plain(t.d.plain habits); simple(t.d.habits, manners); straightforward(t.d.behaviour; person); forthright(eis. t.d.there is no nonsense about him), unpretentious, unassuming;við einføldum og ótilgjørdum orðalagusing a plain and unpretentious language
ótilkomin	not grown up;hann átti tríggjar ótilkomnar døturhe had three not grown-up daughters
ótiltøkur	(sj.)unavailable, unobtainable, not presentel.available when needed
ótilvitaður	unconscious
ótilvitandi	unconscious
ótilvitska	the unconscious (mind)
ótilætlaður	unintentional(t.d.humour; rudeness); unpremeditated(t.d.crime)
ótíð	at the wrongel.at an inopportune moment, inopportunely; inconvenient time;blaðið er komið út í ótíð ofta og títtthe paper has frequently come out at the wrong time;skriva út val í ótíðcall a general election;(kvæð.) ótíð var hon væl vorðinshe grew beautiful too earlyorwith injurious consequences
ótíðarfestur	timeless, dateless
ótíðarhóskandi	antiquated(t.d.ideas; methods); obsolete(t.d.machinery); old-fashioned, out of date; outmoded, no longer in fashion
ótíðum	(sj.)rarely, seldom, infrequently;eg geri tað so ótíðumI do it rarely
ótjøraður	untarred;ótjørað togverk (sigl.)untarred/white rope
ótokki	hatred, hostility, hostile feeling, (agg) grudge, rancour, resentment, disfavour, displeasure;eg hevði beinleiðis ótokka til hesa veruI felt an outright hostility to this creature
ótol	impatience;tað er sovorðið ótol á honumhe is extremely impatient;loypa ótol á e-nput sby out of patience, make sby lose patience;ótol kom á hannhe got impatient, he grew impatient, he lost patience
ótolandi	unbearable(t.d.heat; pain; the suspense is unbearable); intolerable(t.d.boredom; chicanery; an intolerable fool); unendurable(t.d.pain); insufferable(t.d.affectation; arrogance; insolence; an insufferable fool); insupportable, beyond endurance(t.d.a conduct beyond endurance); ótolandiumstøðurintolerable circumstances;hetta verður ótolandi fyri báðar partarthis is going to be intolerable for both parties;hann er ótolandi (eis.)he is an insufferable bore
ótoliligur	1ótoliligurstinkurunbearable stench;ein ótoliligur býttlinguran insufferable fool; síótolandi2[sumhj]ótoliliga; unbearably(t.d.hot); intolerably(t.d.arrogant; irritating); insufferably(t.d.affected; arrogant; conceited); insupportably; beyond endurance(t.d.it irritated him beyond endurance)
ótolin	1impatient(t.d.an impatient answer//gesture);vera ótolinget impatient, grow impatient, lose patience;gera ein ótolnan (eis.)put sby out of patience, make sby lose patience;ótolin at gera eittimpatient to do sth(t.d.to beginel.to start); anxious/eager to do sth;ganga kykur eftir at sleppa at gera eitt (eis.)be all impatience to do sth, be burning to do sth; ótolinat frætta meirahe was impatient to hear more(t.d.from themel.about sth)2(um eggjarn, of a cutting edge) brittle, fragile, not durable
ótollaður	duty-free, freeel.exempt from duty, not duty-paid;ótollaðar vørurgoods exempt from duty;(eis.)goods which have not been cleared
ótollyndi	intolerance
ótollyndur	intolerant
ótollyntur	síótollyndur
ótolnast	get impatient, grow impatient, lose patience;tað dró út og teir tóku at ótolnastit was getting late and they started to lose patience;(eis. ópers.) e-m ótolnastone is getting impatient
ótolni	impatience; ótolnikundi fáa vald á honumhe could be overtaken by impatience;ótolni er á e-mone is extremely impatient;í ótolniin an impatient way, impatiently
ótolsamur	intolerant, narrow, narrow-minded, illiberal(t.d.policy), blinkered;á so býttligan, smásáran og ótolsaman háttin a foolish, testy, and narrow-minded way
ótolsemi	intolerance;vaksandi ótolsemigrowing intolerance
ótonktur	thoughtless(t.d.action; person); unthinking, unreflecting, imprudent, rash;hann fór aldri aftur at vera ótonkturhe would never again act imprudently
ótorgandi	ótorgandipínaunendurable pain; síótolandi
ótornandi	inexhaustible; perennial;ein ótornandi keldaa perennial spring
ótoyggi	(stb.)síótýggi,óvætti
ótódn	sínaggatódn;tað er ótódn í honumhe is not thriving (of boy)
ótreystur	1not persevering, not capable of sustained effort; (kropsliga) who has little staying power, who has little stamina2(um mat, of food) (easily) digestible, easily digested, easy to digest; ótreysturmatur(easily) digestible food
ótreytaður	unconditional(t.d.surrender)
ótriski	slovenly, tousledel.dishevelled person, person who is slovenly and skimpsel.scamps his//her work
ótrivabjølgur	(stb.)síótrivavætti
ótrivakroppur	síótrivavætti
ótrivaligur	1(um fólk, klædnaburð, arbeiðio.tíl.,of person, dressorwork) slovenly, untidy, disorderly, (um arbeiði) scamped, slovenly, slapdash, skimped, botched, untidy;ótrivaligt skegg//hárstraggly beard, tousled hair;ótrivaligt arbeiðibotched up piece of work;ótrivaligir verkamennuntidy workers2[sumhj]ótrivaliga;ótrivaliga ílatinuntiedly dressed
ótrivamaður	slovenly man
ótrivasjógvur	(stb.)rough sea
ótrivaskapur	slovenliness; (vánaverk) mess, scamped piece of work
ótrivaverk	inferior work
ótrivavætti	1(um handaverk) slovenly, untidyel.disordery person2(um klædnaburðo.tíl.)person dressed in ragged clothes, ragamuffin, slovenlyel.slatternly person
ótrivnaskapur	the state of not thriving, stuntedness, weakliness, failure to thrive,stórur ótrivnaskapurfailure to thrive was alarming(t.d.among the sheep)
ótrivni	stuntedness, weakliness, failure to thrive
ótrivski	síótriski
ótroddur	untrodden(t.d.follow untrodden paths);ótrodd gøtauntrodden path
ótroðin	not ferilized;ótroðið eggegg which has not been ferilized; sískellegg
ótroystiligur	inconsolable(t.d.he was inconsolable after the loss of his puppy)disconsolate(t.d.the baby was disconsolate because he missed his mother)
ótroyttiligur	indefatigable(t.d.be indefatigable in the service of one's country); tireless(t.d.energy); untiring(t.d.untiring in one's efforts; with untiring energy); unremitting, unflagging(t.d.energy, zeal);ótroyttiligar henduruntiring hands;hjótroyttiliga
ótroyttur	1not tired, rested, refreshed;næsta morgun fór hann upp og var ótroytturhe was refreshed the next morning he rose2not exploited, unexploited;ótroyttir møguleikarunexploited possibilities
ótrúgvur	unfaithful(t.d.an unfaithful wife; unfaithful to one's master); disloyal, faithless, false;vera e-m ótrúgvurbetray sby, play sby false;vera hjúnafelagnum ótrúgvurbe unfaithful to one's husband//wife, have extra-marital relations,(løgfr.)commit adultery;ótrúgvur tænarian unfaithful/disloyal servant,(bíbl.)the unjust steward
ótrúligur	1incredible(t.d.incredible carelessness; an incredible lot of books; with incredible speed; it sounds incredible); (sum ger ein ovfarnan) astounding, amazing(t.d.with amazing dexterity); unbelievable(t.d.an unbelievable scene; his vanity is unbelievable);ótrúlig søgaan amazing story(eis. t.d.)an incredible story2tremendous(t.d.amount; crowd; difference; number; size; success; sum), immense, enormous, huge(t.d.crowd; fortune; mountain), vast(t.d.amount; crowd, difference; extent, number; size), stupendous(t.d.amount; number; size; sum), gigantic, colossal, intense;ótrúlig støddgigantic size;ótrúlig mannfjøld//upphædda colossal crowd//sum(t.d.his colossal self-conceit;tann ótrúligi kuldinthe intense cold;í mínum ótrúliga einsemiin my profound loneliness3[sumhj]ótrúliga; incredibly, unbelievably, inconceivably, tremendously;ótrúliga stórurunbelievably large/big;ótrúliga langurincredibly long;veksur ótrúliga skjóttit grows inconceivably quickly
ótrúskapur	infidelity(t.d.marital infidelity); unfaithfulness(t.d.the unfaithfulness of his wife); disloyalty(t.d.to one's master); (hjúnalagsbroteis.)adultery, (matrimonial) misconduct
ótrygd	insecurity, precariousness, uncertainty; unsafeness; ótrygdog lógloysi valdaðu í landinumuncertainty and lawlessness prevailed in the country
ótryggjaður	uninsured
ótryggleiki	insecurity, precariousness, uncertainty
ótryggur	1precarious, uncertain, unsettled;veðurlagið er ótrygtthe weather is unsettled;kenna seg ótrygganfeel insecure;børn kenna seg ótrygg, tá ið tey fáa nýggjar lærarar í heilumfrequent changes of teachers unsettle children2insecure;kenna seg ótrygganfeel insecure
ótt	síóður
ótta1	1(gl.)three o'clock in the morning2the last part of the nightel.early morning;er tað morgun? ja, tað er í óttuniis it morning? yes, it is early morning
ótta2	strike fearel.dread (into sby), frighten, scare, alarm; óttae-nmake sby anxious, alarm/worry sby, frighten/scare sby;óttastbe afraid (of), fear, be fearful/anxious/worried/concerned/uneasy;óttast e-n//e-tbe afraid of sby//sth, fear sby;óttast fyri (e-m)be apprehensive/anxious/worried/fearful/concerned/uneasy;teir óttaðust fyri, at báturin fór at sorlastthey feared that the boat would be smashed up
óttabundin	horror-struck, horror-stricken, in terror(t.d.I fled in terror);eg óttabundin ofta stóðI was often horror-struck
óttafullur	afraid, scared, frightened; anxious; apprehensive, fearful; (framman fyrin)scared, frightened;tey vóru ógvuliga óttafull um bátinthey were very apprehensive about the boat
óttakendur	anxious(t.d.anxious relatives of the passengers); uneasy (in one's mind); troubled(t.d.troubled about his long absence); perturbed;(eis.)emotional; (ógvisligari) apprehensive, alarmed(t.d.alarmed at the prospect of having to go abroad);eitt óttakent eygnabragdan anxious glance
óttaleysur	without fearel.apprehension, fearless, unafraid, intrepid
óttaligur	1(bíbl.)frightful, dreadful, terrible, terrifying, appalling; óttaligurert túyou are terrifying2(sj.)afraid, scared, frightened; anxious; apprehensive, fearful; (framman fyrin)scared, frightened;eg eri so óttaligI am anxious/apprehensive
óttaloysi	fearlessness, intrepidity; unconcern;friður og óttaloysi valda innanhýsisthe house carried the stamp of peace and unconcern
óttamikil	1afraid, scared, frightened; anxious; apprehensive, fearful; (framman fyrin)scared, frightened;menniskjan er stúrin og óttamikilman is anxious and frightened2threatening, menacing, dangerous
óttarskvøld	(stb.)sígrýlukvøld
óttasamur	afraid, scared, frightened; anxious; apprehensive, fearful; (framman fyrin)scared, frightened;mamma hugdi umsorgarfull og óttasom at mærmy mother looked carefully and anxiously at me;vera óttasamur um e-nbe afraid for sby
óttasligin	horror-struck, horror-stricken, in terror(t.d.I fled in terror);hann hyggur so óttasligin upp á hanahe is looking horror-stricken at her
ótti	fear, apprehension, dread, fear(s);ótti kom á teythey were apprehensive/anxious;vera frá sær sjálvum av óttabeside oneself with fear;av ótta fyrifor fear of(t.d.the dog; the enemy);av ótta fyri mistøkumfor fear of mistakes;av ótta fyri at fara skeivurfor fear of making a mistake;av ótta fyri at tey skulu hoyra okkumfor fear (that) they may hear us;fáa óttafeel fear, be afraid;loypa ótta á e-ninspire sby with fear, frighten sby;við ótta og bivanwith fear and trembling;hava ótta fyribe afraid of(t.d.ghosts); be in fear of, stand in dread/fear of(t.d.stand in fear of dismissal); be apprehensive of(t.d.danger);bera ótta fyrifear for(t.d.she feared for her child's safety), have fears for(t.d.sby's future), be under some apprehension about(t.d.sby's health); entertain apprehension/fears for(t.d.grave fears are entertained for his safety);bera ótta fyri atfear that(t.d.fear that it is too late);hann bar ikki ótta fyri at verða uppdagaðurhe was under no fear/apprehension of being discovered;almenningurin ber ótta fyri kjarnorkuvápnumpublic anxiety about nuclear power;teir høvdu ótta fyri honumthey were afraid of him, he scared them
óttusongur	(sø., kat.)matins
ótu	síeta
ótugdur	unchewed;teir svølgdu matin ótugdanthey swallowed the food without chewing it
ótvask	(stb.)síódugnakroppur
ótviga	(stb.)síóhirja
ótvigin	1unwashed; ótviginklæðiunwashed clothes2unvarnished, plain, naked;tær hava sagt hvør aðrari ótvigin sannleikaorðthey have told one another the naked/plain/unvarnished truth
ótvinnaður	(um tráð, of thread) not twisted
ótvítýddur	unambiguous(t.d.answer; terms); unequivocal(t.d.language); (greiður) plain, clear;orðalag og setningsbygging eru greið og ótvítýddstyle and sentence structure are lucid and unambiguous;boðini vóru ótvítýddthe orders were clear
ótvætti	(stb.)síóvætti,óargadýr
ótyngdur	without worryel.trouble, secure;hon smíltist vælhýrd og ótyngdshe smiled in a pleased and cheerful way
ótyntur	(um løg) undiluted; (um rúsdrekkaeis.)neat
ótyrvdur	uncovered, exposed
ótystur	not thirsty;drekka seg ótystanquench/slake one's thirst
ótýdligur	1(um veður, of weather) uninviting, unpleasant, disagreeable, dismal;gongdin var ofta ótýdlig, tí farast mátti út hvønn dag í øllum veðrithe walk was often unpleasant because one had to go out every day and in all weather;mong náttin er bæði long og ótýdlig úti á havinumout at sea the nights are often both long and dismal2unseemly, improper, indecorous, unbecoming; indecent;hann oysti ótýdligar eiðir av særhe cursed and swore;vera ótýdligur í munninumbe foul-mouthed;ótýdligur gestur at fáaan unpleasant guest//visitor to get3(stb.)indisposed, unwell, out of sorts; off colour(t.d.I feel a little off colour today);hjótýdliga
ótýðandi	1insignificant, of no significance(t.d.loss; town); inconsiderable(t.d.number; sale); of little consequence, unimportant, indifferent;skúlin má ongantíð detta niðurfyri ella gerast ótýðandi skúlithe school must never again be abolished or become a school of no significance2untranslatable;teksturin er ótýðandithe text is untranslatable
ótýðiligur	1indistinct(t.d.outlines; articulation; murmur; memory; recollection; sound; the trees were indistinct in the twilight); dim(t.d.outlines; sound; memory); vague(t.d.outlines; shape; impression; memory; sound); faint(t.d.tinge of blue; sound; traces); (illa framborið) inarticulate, slurred(t.d.speech);ótýðilig áskrift/innskriftindistinct/faint/half faded inscription;ótýðilig skriftindistinct writing2[sumhj]ótýðiliga;tosa ótýðiligaspeak indistinctly
ótýður	inhospitable, unpleasant, unfriendly, unkind;hann var annars ikki ótýðurhe was usually hospitable
ótýggi	síóvætti
ótættur	1not tight(t.d.the packing is not tight); leaky(t.d.boat; boot; roof; ship; shoes); leaking(t.d.fountain pen; roof); permeable(t.d.permeable to gas);hurðin er ótøttthe door does not shut tight2scattered, spread;húsini standa ótættthe houses are scattered, the houses are far apart/scattered thin;fiskurin verður meira ótætturthe fish are biting less often;byrsan setur ótættthe shotgun scatters (the shot) too much3infrequent;postferðirnar vóru so ótættar tá ítíðini conveyance/transport of mail was infrequent at the time
ótøka	(stb.)síótøki2
ótøki	1[place where it is difficult to work]2[place in the bird cliffs to which access is difficult]
ótøkin	1difficult to dealel.work with, inconvenient, awkward, unpractical;har er so ótøkið at byggjait is an awkward place to build something2(stb.)difficult of access, difficult to pass through;tað var heldur ótøkið, har vóru ongar trappurthe access was rather difficult, there was no stairway
ótøkk	ingratitude, ungratefulness
ótøkur	1difficult of access, difficult to takeel.catch;skrápur eigur eins og lundi eisini í urðum, og tá er hann mangan ótøkurManx shearwaters like puffins nest in screes/taluses and then they are almost impossible to catch;hatta er so ótøktit is almost impossible to get hold of2not at disposal; not available;amboðini eru ótøk í løtunithe tools are not available for the time being
ótømandi	inexhaustible(t.d.supply; well; imagination; source of amusement); unfailing(t.d.water supply; source of amusement; ótømandikeldainexhaustible spring
ótørv	(lívfr.)waste products
ótøvdur	unfulled, not fulled; ótøvdurvøttura mitten not fulled;eitt sovorðið ótøvt (fl.m.)such a scoundrel; he's such naughty child
óumberliga	necessarily, of necessity
óumberligur	inevitable(t.d.war was inevitable; the inevitable conclusion was that); unavoidable(t.d.absence; conclusion; consequence); inescapable(t.d.an inescapable conclusion);megi og mót til ta stóru og óumberligu fráferðina (summon up) courage to the great and unavoidable departure
óumvarðandi	immaterial, inessential, insignificant, of no significance; inconsiderable; of little consequence; trifling; trivial; negligible; slight
óumvendur	(átr.)unconverted, not converted
óundankomandi	síóundansleppandi
óundansleppandi	inevitable(t.d.war was inevitable; the inevitable conclusion was that); unavoidable(t.d.absence; conclusion; consequence); inescapable(t.d.an inescapable conclusion);tað slepst ikki undan atit is inevitable that; óundansleppandineyðsynan urgent necessity
óundirskrivaður	unsigned, not signed;óundirskrivað brævan unsigned letter
óunnileiki	1(ófjálgur dámur) discomfort, want of comfort2(fjáltursdámur) uneasiness, uneasy feeling3(dapur dámur) sinister atmosphere, eeriness, weirdness4(ófrættakendur dámur), dismal atmosphere; (ótti) horror(t.d.the situation in all its horror);ljóðið var tagnað, men óunnileikin var vorðin gestur í hvørjari lonthe noise had died down but the uneasy feeling had become a guest in all the houses;óunnileikin økist, tá ið aðrir fara at siga frá ófýsiligum søgumthe feeling of uneasiness increases when someone starts telling creepy ghost stories
óunniligur	(dapur, við ongum hugna) comfortless, uncomfortable(t.d.an uncomfortable room); cheerless(t.d.his cheerless home); forbidding(t.d.a large, forbidding room); dismal(t.d.a dismal town); dreary, depressing; (ørkymlandi) uncomfortable, alarming(t.d.prospect); (ófrættakendur) sinister, ominous(t.d.an ominous silenceel.symptom), grim(t.d.prospect); (sum fær ein at nøtrast) ghastly(t.d.murder; sight; story); grisly(t.d.all the grisly details); horrifying, gruesome; creepy(t.d.a creepy ghost story); (óhugnaligur á yvirnáttúrligan hátt) weird(t.d.cry; light); eerie(t.d.feeling; experience); uncanny(t.d.feeling; light; noise); unearthly(t.d.an unearthly shriek); sinister(t.d.light; atmosphere);víkin er óunnilig at síggjathe bay looks forbidding,millum Hov og Øravík skal tað vera so óunniligtthe stretch between (the villages of) Hov and Øravík is said to be weird;ein trølslig, óunnilig náttan ominous and weird night
óuppgjørdur	1(um tog, of rope) not coiled, not wound up, (um song, of bed) unmade;snørið liggur óuppgjørtthe handline is not wound up;óuppgjørd songan unmade bed2(um fólk, of people) artless(t.d.manners), unaffected(t.d.manners; style), natural, unsophisticated, simple; óuppgjørdurog ósjálvsøkin sum hann varand artless and unselfish as he was; sígera(upp)
óuppiborin	undeserved(t.d.an undeserved punishment), unmerited(t.d.oblivion; praise; reproach; punishment; reward), not worthy of
óupplatin	unopened; óupplatinfløskaan unopened bottle
óupplýstur	1uneducated, ignorant; óupplýsturmaðuran uneducated/ignorant man2unlighted, unlit;óupplýst gøtaan unlit street3not available, not made public, unnannounced, not announced;keypsprísurin er óupplýsturwe have received no information as to the purchase price
óuppreiddur	íosb. óuppreidd songan unmade bed
óuppskorin	uncut; óuppskorinbóka book with uncut leaves/pages
óútrokniligur	1erratic(t.d.this is a perfect example of his erratic behaviour)2unpredictable(t.d.they never knew her next move as she was unpredictable)
óvakur	plain, not handsomeel.pretty, ill-favoured;tað var ikki óvakurt at skoðait was not unpleasant to view
óvanda	1poor; óvandamaðura poor man2(rather) badel.poor; óvandaveðurbad/rough weather;óvanda árpoor/bad year
óvandaður	1carelessly and badly carried outel.made2insignificant, of no significance; of little consequence
óvandaliga	without care, carelessly, in a slovenly mannerel.way;óvandaliga úr hondum greittcarried out/made in a slovenly fashion
óvandaligur	1who carries out his//her work badly and without care2carried outel.done carelessly; scamped, botched, sloppy3(t.d.um klæðir, of clothes) common, poor, shoddy, slovenly4bad, poor; unseemly(t.d.behaviour; remark); improper, indecorous; rude, impolite, ill-bred, ill-mannered;óvandaligt partaníggjbad company;óvandaligur atburðurbad behaviour;veðurlagið er ógvuliga óvandaligtthe weather is miserable;tað er óvandaligt í sjógvthe sea is rough
óvandaorð	term of abuseel.opprobrium;(samn.)abuse, abusive language;nýta óvandaorðuse abusive language (to sby)
óvandaslag	1rabble, riff-raff, scum2small fish
óvandasligur	síóvandaligur
óvandatos	improper, abusiveel.rude talk
óvandin	uncritical, superficial, shallow, not careful, not conscientious, careless, remiss; clumsy;hann er so óvandin í síni skrivinghe is uncritical in his writing;ein so óvandin tíðsuch a foolish time
óvandni	state of being uncritical; carelessness; superficiality, shallowness
óvandur	1ill-bred, ill-mannered, rude, naughty;tú ert ein óvandur ungiyou are a naughty boy;óvandur hundurill-bred dog2unaccustomed (to sth), unused (to sth)
óvani	badel.objectionable habit, whim, caprice, objectionableel.irritating practiceel.custom, abuse;hann hevur tann óvanan at hann...he has an objectionable habit of -ing...
