kabarett	cabaret, show
kredda	(sø.)creed, confession
kreditera	kreditera e-m eina upphædd credit an amount to sby,credit sby with an amount, enter an amount to sby's credit;tygum verða biðin at kreditera okkum fyri upphæddina tann 1. januarplease credit us for the amount as of January 1st
kreditorstýring	creditors' management
kreditorur	creditor;allir kreditorar (eis.)the accounts payable;fráboðaður kreditorurcreditor who has filed his claim;vanligur kreditorurordinary creditor;kreditorur við framíhjárættipreferential creditor;síkravánari
kredittavmarking	credit squeeze, lending restriction
kredittbanki	credit bank
kredittbræv	letter of credit
kredittering	placing to the credit of an account, entry on the credit side;til kredittering á kontuto be placed to the credit of your account, for your credit
kredittfelag	[credit association(el.institution) (lending on first mortgages)]; (svarar í Ongl. til) building society
kredittfelagslán	[credit association loan]
kredittfelagsobligatión	[credit association bond (on first mortgages)]
kredittfelagspappír	síkredittfelagsobligatiónsísíkredittfelagsobligatión
kreditthandil	credit operation, credit business
kreditthavi	borrower, debtor
kredittkeyp	purchase on credit
kredittkort	charge card, credit card
kredittloft	credit ceiling
kredittmark	credit line
kredittmissur	loss of credit
kredittmóttakari	borrower, debtor
kredittmøguleiki	credit facility
kredittnota	credit note; credit memo
kredittprógv	treasury bill; credit certificate
kredittsalda	credit balance
kredittskipan	credit system
kredittstovnur	credit bank; (ES) credit institution;eftirlit við kredittstovnum og øðrum fíggjarstovnum(ES) prudential supervision of credit institutions and other financial institutions;kredittstovnanna innlándeposit liabilities to credit institutions
kredittsøla	credit sale, sale on credit
kreditttilsøgn	advance commitment
kreditttíð	fixed time of credit
kreditttrygging	credit insurance
kredittupplag	bonded warehouse;vørur á kredittupplagigoods in bond, bonded goods;leggja vørur á kredittupplagbond goods
kredittupplýsing	credit(el.status) report(el.information);útvega kredittupplýsing um e-nmake credit status inquiries about sby
kredittur	1credit2[ísamb. viðs]hann hevurbrúktkredittinhe has exhausted his credit;fáakreditt get(el.receive) credit;havakreditt have credit;hann kann hava nógva kreditthis credit rating is excellent;setakreditt place credits;stovnateimum ein kreditt open a credit for them;kreditturin verður strammaðurcredit is contracting;taðstyrkirkredittinit strengthens one's credit;veitae-m kreditt give(el.allow) sby credit3[ísamb. viðl]virki við góðum kredittifirm with a good credit rating; firm of standing;einfaldur kreditturbook credit, open ledger debt;kredittur verður ikki latin (tlm.)no tick;langtíðar kreditturlong-term credit;markleysur kreditturunlimited credit;opin kreditturopen account, open credit4[ísamb. viðfs]hava kreditt hjá Xhave (a) credit with X;eg havi kreditt hjá X (eis.)X lets me buy on credit;kredittur í bankacredit at a bank, bank credit;kredittur í leypandi rokningumadvances on current account;tygara konta stendur til tygara kreditt við £5your account shows a balance of £5 in your favour;upp á kreditton credit;(tlm.)on tick;geva eitt upp á kredittgive something on credit;keypa upp á kredittbuy on credit;taka upp á kreditt í eins egna navnipledge sby's credit
kredittveitandi	kredittveitandi stovnur (ES) financial intermediary
kredittveitari	lender, creditor
kredittveiting	lending, credit facilities, credit;(am. tlm.)jawboning
kredittveksil	accommodation bill
kredittvirði	creditworthiness; credit rating(el.standing); financial standing(el.status);meting um kredittvirðicredit rating
kredittvíðkan	credit expansion;(am. tlm.)jawboning
kreftir	síkraft
kreingja1	(gl.)dance game
kreingja2	(gl.)bend(t.d.iron)
kreiningur	(stb., sj.)manikin
kreinkilbein	(gl., sj.)bad walker
kreinkja	(Suð., gl.)despise, disdain, hold in contempt, hold cheap
krekkja	(sj.)wooden hinge
kreks	(um ljóð hjá akurskritti) [the cry of the corncrake]
krem	1(til køkuro.s.fr.)butter cream2(smyrsl) cream3(at pussa við) cream4(eggjakrem) custard
kremaður	creamy
kremingur	1[the cavity between the two hands when held together]2a certain amount (, quantity, number),har er altíð ein kremingur av fuglithere are always a few birds there
kremkaka	custard cake; (kondittarakaka) éclair
kremkeks	(sweet) biscuit;(am.)cracker
kremlittur	cream-coloured
kremmingur	(stb.)síkremingur
kremsuppa	cream soup
kreppa1	1crisis(fltcrises)(t.d.the crisis of a disease)2(bú.)crisis(fltcrises)(t.d.a financial, political crisis); (stór) slump, depression; (lítil) recession3[íyms.samb.]fara ígjøgnum eina kreppupass through a crisis;í kreppuundergoing a crisis, going through a crisis(t.d.the West is undergoing a crisis);koma úr kreppusurmount a crisis;kreppa er um at taka seg uppa crisis is approaching; things are coming to a head
kreppa2	1bend(t.d.one's arm; one's knee; a piece of wire), bow, make curved;(likam.)flex(t.d.a joint, a limb)2kreppa tærcurl one's toes (t.d.I felt my toes curl with embarrassment)3nú kreppir atthe knot is tightening, the sqeeze is beginning
krepping	1the action of bowing (, curving, bending)2groin, crutch3kreppingar1(í maganum) access of pain, pang, twinge, sudden pain2convulsions
kreppufundur	crisis(el.emergency) meeting
kreppugrunnur	(bú.)emergency fund
kreppuhjálp	emergency relief, counselling; (í samb. v. deyða) bereavement counselling
kreppulóg	Emergency Act
kreppulóggáva	emergency legislation
kreppumanning	crisis staff
kreppumiðstøð	crisis centre
kreppupolitikkur	crisis management; crisis policy
kreppuraktur	depressed(t.d.areas); hit by the (, a) depression; distressed(t.d.farmers);kreppurakt økidepressed area
kreppustøða	crisis, critical state;(bú.)crisis, (state of) depression, slump
krepputiltak	emergency measure, austerity measure
krepputíð	critical time, time of crisis;(bú.)(time of) depression, slump
krepputollur	emergency duty
kreppuverja	relief measure(s)
kreppuverjutollur	emergency duty; emergency tariff
kreppuætlan	crisis plan
krevja	1demand(t.d.payment; a free passage for the troops; an immediate reply); ask for(t.d.a longer respite); request(t.d.request him to pay; request permission to do sth); call for(t.d.the resolution called for the release of all political prisoners); (larmandi) clamour for(t.d.the people clamoured for revenge); (inniliga) demand(el.request) urgently(t.d.your assistance is urgently requested); insist on(t.d.he insisted on my leaving the room; insist on immediate payment)2(løgliga, siðalagsliga) claim(t.d.claim one's inheritance, rights; he claimed his reward), order; (krevja handaðel.latið) requisition3demand (from), exact (from)(t.d.exact a war contribution from an occupied country)4(gera neyðugt) call for(t.d.this case calls for special consideration; the subject calls for closer investigation); demand(t.d.this operation demands great care); require(t.d.the machine does not require much attention); take(t.d.it takes money (, brains, experience) to run a business like that); necessitate(t.d.the experiment necessitates great care); (hava við sær) entail5(hava sum fortreyt) presuppose(t.d.a procedure which presupposes expert knowledge)(GG:sambond v. lýsingarhátti í tátíð verða vanliga týdd við einum navnorðiel.samanseting við that,t.d. tey kravdu útflutningin bannaðanthey called for a prohibition of exports(el.they demanded that exports (should) be prohibited);tey kravdu gíslarnar leysarthey demanded the release of the hostages(el.that the hostages (should) be released);krevja hann leysandemand his release(el.demand that he be released))6[íyms.samb.]krevja endurgjald frá e-mdemand compensation from sby;(løgfr.)claim damages against sby;krevja gjald av e-m(1) demand payment from sby; (3) exact payment from sby;krevja ov nógv (eis.)overextend one's claim;starv sum krevur sín manna whole-time job;tey kravdu at eg var hjástaddurthey required me to be present; they insisted on my being present;vanlukkan kravdi nógv offurthe accident claimed many victims;krevja plásstake up (a lot of) room;krevja tíðtake time;krevja váttandemand (, require) documentation of7verða kravdurel.krevjast(1) be demanded, be requested; (2) be claimed; (3) be exacted; (4) be called for, be required(t.d.no special knowledge is called for(el.required)); be necessary, be imperative(t.d.the strictest secrecy is imperative);verða avgjørt kravdurbe absolutely necessary, be indispensable;(t.e.verða tvingaður) be compulsory, be de rigueur, be a sine qua non;til tað krevst góður dugnaskapurthis demands(el.calls for) great skill;tann førleiki ið krevst (til)the requisite qualifications(t.d.for a job);kunnleiki til franskt og týskt krevstapplicants must have some knowledge of French and German;til tað krevst kunnleiki í støddfrøðithis demands(el.presupposesel.calls for) a knowledge of mathematics;nógv verður kravt av honumgreat(el.heavy) demands are made on him;søgulig lýsing krevst(heiti á verkevni) (you are asked to) give a historical account of;varsemi krevstcircumspection(el.caution) is imperative;kunna verða kravdur (løgfr.)be claimable;tað kann ikki verða kravt (av e-m)(1) they cannot demand that of you; that is not compulsory
krevjandi	exacting, taxing; demanding(t.d.a demanding baby); exigent(t.d.vocation);eitt ógvuliga krevjandi arbeiðia work that makes heavy demands on one
krevjing	demand; calling in; collection
kreym	1softness, effeminacy2effeminate person
kreyma	1(um kava) become soft, soften2be in poor health; pretend to be ill; be sickly, be effeminate
kreymasjúka	(lækn.)hypochondria
kreymasjúkur	(lækn.)hypochondriac
kreymaverkur	kreymaverkir pínuverkir
kreymi	kreymaverkur
kreymutur	poor in health; sensitive; soft, effeminate; (knarrutur) whimpering, snivelling;(viðv.heilsu) valetudinarian; (skroypiligur) delicate; (sjúkligur) sickly
kreyp	síkrúpa
kri1	[sound og the tern]
kri2	(um ljóð hjá ternu):ternan sigur kri, kri, krithe tern says kri, kri, kri
kria	(um ternu) cry "kri"
krian	einki ljóð hoyrdist uttan krianin av ternum not a sound was heard but the sound of the tern
kriða	(handarb., stb.)enlarge; (gera niðurringað) cut low at the neck;kriða (burtur)úr fyri ermagapienlarge an armhole
krika	(sj.)(um fugl) wring the neck
krikaband	(sk.)tie;(serl. am.)necktie;binda krikabandknot a tie
krikasnara	(um fugl) wring the neck
krikastuttur	short-necked
krikaturriklæði	(stb., sj.)[small, narrow, knitted scarf (, muffler)]
kriki	1(fugl.)neck bone (of bird)2(sometimes) neck (of humans);hann var fyltur undir krikanhe was gorged (, stuffed)
krikkont	(fugl.)Eurasian Teal(Anas crecca)(Linnaeus, 1758)© Luciano S.
krikont	(fugl.)síkrikkont
krikutur	síkrikastuttur
krill	Chilly-Willy,tú ert eitt krill!you are a Chilly-Willy!;hon er einki krillshe doesn't feel cold at all
krilla	be sensitive to cold; be sickly
krillillin	(stb., sj.)síkrillutur
krillillur	(gl.) síkrillutur
krillin	(stb., sj.)síkrillutur
krillur	í osb: eg havi góðar/ringarkrillur at gera eitt I feel up to the mark (, I'm (not) in fine fettle, I'm (not) in the mood, I'm (not) in the vein) for sth (to do sth); fit(t.d.I feel awfully fit this morning)
krillutur	sensitive to cold
krima	Shatta krimarthat's great (, groovy, far out, fab, heavy, a gas: it's really a gas, man!)
kriminal-	sísamansetingarvið:brots-, brotsmála-, brotsmanna-
kriminaldeild	criminal department;løgreglumaður á kriminaldeildinipolice officer at the criminal department
kriminalisera	síbrotsligur> gera brotsligan
kriminalløgreglumaður	síbrotsmálaløgreglumaður
kriminellur	síbrotsligur
kriminologi	síbrotsmálarøði
kriminologiskur	síbrotsmálafrøðiligur
kriminologur	síbrotsmálafrøðingur
kring	about(t.d.walk about; walk about the house); (um eina leið:t.d.run round the house; ofta: afturum, aftur um seg) round(t.d.he heard steps behind him and looked round) (ymsar leiðir) around(t.d.prowl around; he looked around (hann leit kring um seg)at the huge crowd; the villages around Oxford); round about(t.d.there are trees round about the house)(GG: am.vilja í hesum førum heldur hava around enn round (about))
kringdur	kringdur av surrounded by, encircled by(t.d.encircled by trees)
kringferð	(sj.)circular tour; round trip;(sigl.)round voyage
kringgong	(jarðfr.) ring dyke
kringgongd	round (of inspection); (løgreglumans) round, beat
kringhentur	dexterous, deft
kringhølsutur	(seyðal., sj.)[with diverging colour round the neck]
kringla	1circle, ring2[cake in the shape of a pretzel]
kringlaður	bent, bowed, curved, crooked; tortuous(t.d.the tortuous ornaments of the baroque style)
kringleiki	competence, proficiency, ability, efficiency, skill, dexterity,hansara serligi kringleikihis considerable skill, his consummate skill, his brilliancy
kringlutur	síklingrutur
kringluvenda	(stb., sj.)turn upside down
kringpróvførsla	circular argument; eis.ringpróvførsla
kringrenna	(gl.)(um her) outflank, turn the flank of, envelop; (ganga uttanum) bypass(t.d.a fortress)
kringrundur	circular, round
kringseta1	síkringseting
kringseta2	1(herm.)surround, encircle, envelop(t.d.an army); besiege,vera kringsettur(av fíggindaheri) be besieged (by enemy troops), lay siege to(t.d.the town),fara undir at krigsetalay siege to; start a siege of; invest,kringseta eina borginvest(el.surround) a fortress; close in on(t.d.the enemy was closing in on us)2legg border, edge; (klæðieis.)bind, braid(t.d.a robe edged with gold lace)
kringseting	surrounding, encircling, envelopment; siege(t.d.stand(el.undergo) a siege; withstand a siege);gevast við kringsetingraise a siege; (av borgeis.)investment
kringsetingarorð	(málfr.) circumposition
kringskriv	circular letter,senda kringskriv til limirnarcircularize the members
kringstaddur	(plfr.)perigynous
kringsýni	panorama
kringumstøður	síumstøður
kringur1	1circle, ring,í kringin a circle; round,hann leit seg í kringhe looked around, he had a look round;í kring umon all sides of, round (, about) (something)2(stfr.)circle;lýsa ein kringdescribe(el.form) a circle, move in a circle
kringur2	1(fimur) agile2(handafimur) dexterous, deft, adroit3(dugnaligur) good at(t.d.be good at arithmetic), skilful, able, capable
kringvarp	broadcasting
krinkilsbein	(stb., sj.)pelvic bones of birds
krintalaborur	(sj.)síkrintilborur
krintali	krintilborur
krintil	drill
krintilborur	(gl.)drill
kristiligur	1Christian;(polit.) kristeligur demokraturChristian Democrat, Demo-Christian;Kristiligi Fólkaflokkurinthe Christian People's Party2(ordiligur, rímiligur) decent3hj-liga,(1) like a Christian; (2) decently;býta kristiligashare and share alike
kristin	1Christian, (ikki jødi) Gentile;grivin í kristnari jørðburied in consecrated ground;kristin jødiConverted Jew;evangeliskt kristinevangelical;grivin í kristnari jørðburied in consecrated ground2(trúgvandi)Christian,bæði heiðið og kristiðboth animals and human
kristindómur	(átr.)Christianity,boða kristindóminpreach the Gospel;verða umvendur til kristindómadopt Christianity, become Christianized, become converted to Christianity
kristinfólk	(átr.)Christian people
kristinkærleiki	(átr.)Christian love, charity
kristinlív	(átr.)Christian life
kristna	(átr.)christianize, convert to Christianity; baptize,kristna bátsísigna
kristni	1Christianity2(skúlam.)religious knowledge; (í før. skúlum) Christian studies
kristniboð	(átr.)propagation of the Gospel, preaching of Christianity
kristniboðan	síkristniboð
kristniboðari	(átr.)missionary
kristniboðsstøð	mission (station)
kristnigerð	(kvæð.)síkristni
kristnihald	(átr.)practice of Christianity
kristnikunnleiki	(skúlam.)síkristni(2)
kristnilæra	(átr.)Christian studies
kristning	(átr.)Christianization
kristnirættur	(átr.)(í katólsku kirkjuni) ecclesiastical law
kristnitrúgv	(átr.)Christian faith
kristnitøka	(átr.)introduction of Christianity,aftan á kristnitøkunaafter the introduction of Christianity
kristtyrnir	holly(Ilex aquifolium)
Kristur	(átr.)síKristus
Kristus	(átr.)Christ; Our Lord; Our Saviour, the Founder of Christianity;afturkoma Kriststhe Second Coming;Kristi himmalsferðthe Ascension;Kristi himmalsferðardagurAscension Day;eftir føðing Krists (st e.Kr.)A. D.(stanno Domini); ár 330 e. Kr. (in) A. D. 330;onnur øld eftir føðing Krists (eis.)the second century of our era;fyri føðing KristsB. C.(stbefore Christ);ár 44 f. Kr. (in) 44 B.C.
krit	1chalk2piece of chalk;skriva við kriti(write with) chalk(t.d.he chalked it on the blackboard)
krita	chalk(t.d.to chalk a tennis court, a billiard cue);vøllurin er kritaður upp (t.e.klárur til dyst) the (battle) lines are drawn (up)
kritahvítur	síkrithvítur
kritandi	chalk-white, chalky white
kriterium	criterion(flt.criteria) (of, for)(td.establish a criterion for it);(eis.)benchmark;sí eis.eyðkenni,sermerki,tekin;metingarstøði
kriterna	(fugl.)common tern(Sterna hirundo)(Linnaeus, 1758)©IBC
krithavin	chalky
krithvítur	chalk-white, chalky white
kritisteinur	limestone
kritl	trick, dodge, device;nýta kritl og brøgduse trickery, use tricks, resort to tricks (, to sharp practice)
kritla	1play tricks2kritla viðtouch lightly, brush against,fiskurin kritlar við snøriðthe fish only touches the bait3kritla segmove slowly,eg royndi at kritla meg upp um bakkanI tried to move slowly up the hill
kritlari	1(uml. =)charlatan, person who lives by his wits(el.by petty deceptions), confidence trickster;(tlm.)con man (, artist); (í størri mun) racketeer;(am.S)flimflammer2swindler
kritlind	(jarðfr.)chalk bed, chalk stratum
kritpappír	art paper, coated paper, dressed paper
kritpípa	clay pipe, (lang) churchwarden
kritsnórur	(handv.)chalk(ed) line
kritstrika	chalk(ed) line
krittekning	crayon (drawing)
kritverk	chalk works
kritøld	(jarðfr.)the Cretaceous (Period)
kríatúr	bovine animal; head of cattle; cow(o.tíl.); kríatúrinithe cattle(t.d.the cattle are grazing); livestock
kríg	(kvæð.)síkríggj
kríggj	1(herm.)war(t.d.lose (, win) a war);bjóða landi av í kríggjdeclare war on a country;opið kríggjopen war;gongdin í krígnumthe course of the war;heilagt kríggjholy war; (muslimskreis.)jihad;fara í kríggj við (eis. fl.m.)open war on;kalda kríggiðthe Cold War;ongantíð aftur kríggjno more war;so leingi kríggið vararfor the duration (of the war);tað er kríggj (tlm.)there is a war on2[ísamb. viðfs]eftir kríggiðafter the war; (brúkt sum lýsingarorð) post-war(t.d.conditions, prices);fyri kríggiðbefore the war; (brúkt sum lýsingarorð) pre-war(t.d.conditions, prices);vera í kríggibe at war (with);alt er loyvt í ást og kríggiall is fair in love and war;falla í krígnumbe killed in the war(el.in action); (hátíðarliga) fall in the war;fara í kríggj(um hermann) go to the war; (um ríki, fúrstao.s.fr.)go to war;fara í kríggj við (tlm.:fara undir) tackle(t.d.a difficult job); set about, pitch into;koma í kríggj viðbe involved in a war with;vera í kríggi viðbe at war with;(fl.m.)have a war on with;fyrireika seg til kríggjprepare for war;undir krígnumduring the war;vera við í krígnumserve(el.fightel.be) in the war;kríggj ímótiwar against3warfare(t.d.this weapon is not used in modern warfare; atomic (, biological, chemical) warfare; trench warfare)4strife, discord(t.d.cause strife(el.discord) in a family); dispute(t.d.a dispute about wages (, about a frontier))
kríggja	(stb.) kríggja eftirimplore(el.beg) sth of sby, beseech(el.supplicate) sby for sth
kríggjast	(herm.)war (against)kríggjast sínaámillumwar against each other; wage war,kríggjast við e-nmake war on; wage war on(el.against);londini kríggjastthe countries are at war
kríggjatúr	síkríatúr
krígs-	stríðs-, her-, hernaðar-
krígsandi	warlike spirit
krígsavbjóðing	(herm.)declaration of war (on)(t.d.Italy's declaration of war on Greece)
krígsár	year of the war, war year;serl. flt: í krígsárunumduring the war
krígsboð	(herm.)síkrígsavbjóðing
krígsbrotsmaður	war criminal
krígsbrotsmannadómstólur	war crimes tribunal(t.d.the Nuremberg War Crimes Tribunal)
krígsbrotsmannarættarmál	war (crimes) trial
krígsbrotsverk	war crime
krígsdansur	war dance
krígsendurgjald	(war) indemnity; (eftir fyrra heimsbardaga) reparationsflt
krígsfangalega	(herm.)prison camp, prisoner-of-war camp, POW camp
krígsfangi	(herm.)prisoner of war(stPOW);(sø.)war captive
krígsfangilsi	(herm.)captivity
krígsfilmur	war film
krígsfólk	(herm.)síherfólk
krígsførsla	(herm.)warfare; (strategi) strategy;ólóglig krígsførslaunlawful conduct of war
krígsgerð	military operation; act of war;krígsgerðir (eis.)fighting
krígsgessari	warmonger
krígsgransking	polemology
krígsgudur	war god, god of war
krígsharri	war lord;ovasti krígsharrisupreme war lord
krígsherjaður	devastated(t.d.areas)
krígsherur	(herm.)síherur(1)
krígshetja	war hero
krígshugaður	bellicose
krígshugur	bellicosity
krígsídnaður	arms(el.armament(s)el.weapons) industry
krígsískoyti	war bonus
krígskrypil	(herm,sj.)disabled soldier, war cripple
krígslok	conclusion of the war;við krígslokat the end of the war
krígsmaður	(herm.)warrior, soldier
krígsmálaráð	(í Ongl.) War Office;(am.)Defense Department; (í øðrum londum) Ministry of War
krígsnevrosa	war neurosis;(ofta =)combat(el.battle) fatigue
krígsneyðsynd	military supplies, munitions, war requirements
krígsóður	war-crazy; jingo;Strigger-happy;krígsóður maðurwarmonger, jingo(GG:the blood-and-thunder code of the Victorians)
krígsótti	fear of war, war scare
krígspallur	1(herm.)theatre(el.seat) of war, theatre of operations; (front) front(t.d.arrive at the front; news from the front)2(fl.m.)scene(t.d.the police arrived on the scene)
krígsrættarligur	(1) court-martial(t.d.procedure); (2) pertaining to military law
krígsrættur	1(herm.)(dómstólur) court-martial, military tribunal;koma fyri ein krígsrættbe court-martialled;fara fyri krígsrætt viðcourt-martial2(hernaðarlig rættarskipan) military law3(reglur fyri krígsførslu) rules(el.usages) of war
krígsskaðaendurgjald	(war) indemnity; (eftir fyrra heimsbardaga) reparationsflt
krígsskaði	war damage, war loss;(ofta =)loss due to enemy action
krígsskip	(herm,skip.)síherskip
krígsstøða	state of war;í krígsstøðuin a state of war
krígstíð	wartime;í krígstíðin wartime, in time of war;fyrivarni í krígstíðwartime measures
krígstrygging	(trygg.)war risk insurance
krígsútgerð	armament(s), military equipment
krígsvandi	(herm.)danger of war, war danger
krígsvandur	(herm.)seasoned(t.d.troops); veteran(t.d.veteran troops; he is a veteran)
krígsvápn	(herm.)war weapon
krígsvísindi	military science
krígsøði	jingoism, warmongering
kríllur	the top (part) of the head,eg sá í kríllin á honumI saw the top of his head
krím	(lækn.)catarrh; cold, chill, cold in the head(t.d.he has a cold in the head); head cold;(lækn.)acute coryza;fáa krímcatch (a) cold; catch a cold in the head; (common) cold, chill;eg fari at fáa krímI have got a cold coming on
krímfokin	1who easily catches a cold2síkrímfongdur
krímfongdur	(sj.)suffering from catarrh (, a cold)
krímfressur	(sj.)person who always has a cold
krímnám	(lækn.)slight cold
krímsár	(lækn.)herpes (labialis), herpes simplex, cold sore; fever blistersflt
krímsjúka	(lækn.)infectious cold, influenza
krímsjúkur	(lækn.)afflicted with a cold
krímutur	who has a cold
krítur	the devil, Old Nick;at krítinumbloody awful
kro	(sj.)imitation of raven's croak(ing)
kroati	(sern.)Croat
Kroatia	Croatia
kroatiskur	Croat(ian)
krok	cover, shelter from rain and wind
kroka	shelter, screen, find shelter, seek shelter, take shelter, hide from the rainel.storm
kroki	shelter, cover, refuge
kroking	sheltering
krokk	(ítr.)croquet; (amboðini) croquet set
krokkbogi	(ítr.)hoop;(am.)arch, wicket
krokkkúla	(ítr.)croquet ball
krokkkylva	(ítr.)(croquet) mallet
krokkpeli	(ítr.)peg;(am.)stake; (í byrjan) home peg, winning peg; (vendipeli) turning peg;(am.)turning stake
krokkvøllur	croquet lawn
krokodilla	(dýr.)crocodile(Crocodilia)
krokodilluklips	(ravm.)crocodile(el.alligator) clip
krokodilluskinn	crocodile, alligator
krokodillutár	sírossatár
krokodillutong	crocodile forceps
krokus	(plfr.)crocus;vanlig krokusDutch crocus©iStock
krom	(evnafr.)chromium
kroma	chromium-plate
kromlagdur	chromium-plated
kromlegging	chromium-plating, chrome
kromleggja	chromium-plate
kromosom	(lívfr.)chromosome
kromosomgreining	(lækn.)chromosome analysis
kromosomkort	(lækn.)chromosome map(el.chart), (genetic) map
kromosomtal	(lækn.)chromosome number
kromreyður	chrome red
kromsalt	chromium salt
kromsýra	(evnafr.)chromic acid
krongla	bend (double), fold, double up, twist together,hann kronglaði blikkið samanhe squeezed the beer can together; (skeivur)kronglaðuraskew, awry,við kronglaðum beinumcrooked-legged
kronglutur	strained, twisted, lopsided, crooked, bent, bowed
kronikkhøvundur	feature writer
kronikkur	(svarar til) feature (article)
kroniskur	chronic(t.d.a chronic alcoholist, disease, invalid
kronologi	chronology
kronologiskur	chronologic(al);hj.chronologically;í kronologiskari skipanin chronologic(al) orden, chronologic(ally), in order of time
krop	1sískriði2síkropkykt33(fl.m.ússaligt fólk) poor wretch, worm3creep
kropin	(stb., sj.)wretched, miserable;(tlm.)rotten; lousy; foul;ganga kropinbe crooked, bent
kropkykt	(dýr.)vermin
kropmagi	weakling
kropna	become curved (, crooked), be bent (, bowed),hann kropnaði samanhe became more and more bent
kroppin	curved, crooked, bent, bowed
kropplangur	with a long body
kropplítil	with a small body
kroppljótur	with an ugly body
kroppmikil	with a large body
kroppskinn	(blíðmæliserl.um børn)kroppskinnið í tær!you poor little mite!;nú er kroppskinn á tæryou are drenched(el.soakedel.wet) to the skin
kroppsterkur	physically strong
kroppstórur	síkroppmikil
kroppur	1body; build(t.d.he and I are pretty much the same build),líkjast upp á kroppresemble in build;hon er vøkur upp á kroppshe has a beautiful body;leysur kroppurperson who has no domestic obligations2(kvæð.)body, corpse3(móts.limir) trunk; (á kríatúrieis.)barrel; (slaktaður) carcass;fletta í kropp[cut up a sheep's carcass with an incision from the breast to the pelvis]4(sj.)big cod,vit høvdu fingið upp í bátin av kroppumwe had a boatful of big cod5(niðr.) latir kropparidler, lazy beggar;ógudiligur kroppura hellhound person6[ísamb.viðfs]at;ganga í ullintum innast at kroppinumwear wool next (to) the skin;(vátur) at (el. á) kroppisoaked, rain-soaked, drenched, sodden, dripping wet, sopping wet, wet to the skin, wet through;á;kropp á kropp teir komu kropp á kroppthey cam one on the heels of the other;hann hevur nóg illa klæði á kroppinumhe has hardly a shirt to his back;hann hevur ikki turran tráð á kroppinumhe has not a dry stitch on him;við ongum tráði á kroppinumwithout a stitch on;kenna nakað á egnum kroppi (fl.m.)experience sth bodily;hann skuldi kenna á egnum kroppi hvussu tað erhe should learn for himself what it is like;hvør á kroppin á øðrumthey went for each other;leggja á kroppin á e-mattack (, abuse) someone;vera á kroppinum á e-m el. á kroppi1before you suspected it, it came down on you,hin fremmandi á kroppinum á honum áðrenn hann vardithe stranger attacked him in a flash2implore, beseech, badger, pester;eg havi verið á kroppinum á honum annan hvønn dagI have badgered him every other day;íganga við sjúku í kroppinumbe sickening for an illness;hvøkkurin sat enn í kroppinumhe had not yet shaken off his fright;um;(stb.) hava ilt um kroppinhave stomach ache;eymur um allan kroppinsore (, bruisedo.s.fr.)all over;skelvandi um allan kroppintrembling all over;fáa koyrilin um kroppinget a flogging (trashing);upp á;fáa upp á kroppinbe reprimanded(tlm.)be on the carpet, be on the mat
kropsarbeiði	manual(el.bodily) labour(el.work)
kropsburðarbrek	(lækn.)faulty carriage, defect of posture
kropsburður	carriage; posture, pose;ringur kropsburðurslack (, unhealthy, faulty) carriage;(eis.)stoop;rættur kropsburðurerect carriage
kropsbygging	(ítr.)bodybuilding
kropsbygnaður	(lívfr.)build, physique, bodily constitution, frame
kropsevni	síkropsstyrki
kropshiti	body heat(el.temperature)
kropshædd	(physical) stature, height
kropskanna	1search; (tá ið fólk skulu lata seg úr) strip search;(tlm.)frisk;(am. S) fan2undertake a physical examination;(tlm.)do a physical
kropskanning	1(personal(el.body)) search2physical examination;(tlm.)physical
kropsligur	bodily(t.d.infirmity, needs, pain, suffering), corporeal, physical(t.d.physical strength), training; corporal(t.d.corporal punishment);kropsligt arbeiðimanual(el.bodily) work;hansara kropsliga búninghis physical development, his physique;kropsligt samband (gl.)sexual intercourse, carnal knowledge;vera kropsliga til staðarbe (bodily) present; be present in the flesh; be personally present
kropsluktur	body odour
kropslús	(dýr.)body louse;(tlm.)greyback
kropsmál	body language;(eis.)nonverbal communication
kropsmentan	1physical culture2body-building
kropspartur	part of the body
kropsrøkt	care of the body
kropssálarfrøði	body psychology
kropsstyrki	physical strength
kropstilvitin	body-conscious
kropstilvitska	body consciousness; body image, body concept
kropstungur	heavy,kropstungt arbeiðiheavy work
kropsvarmi	body heat, animal heat
kropsvenjing	(ítr.)training of the body; physical exercise
kropsylur	body heat
krossa	cross sth;krossa av(á lista) tick off;(sj.) krossa beininicross one's legs;krossa hendurnarfold one's hands;krossa ein kekkcross a cheque; put a cross on (something),(sj.) krossa segcross oneself, make the sign of the cross;krossastcrossed; crosswise
krossávísing	cross-reference
krossband	1(postm.)wrapper2(lívfr.)ligamenta cruciata
krossblóma	(plfr.)crucifer;(byggl.:prýði) cross quartersflt
krossblómut	cruciferous (plant)
krossblómuætt	(plfr.)the crucifers, crucifera
krossból	T-shaped shelter
krossbøka	(sk., stb.)(big) lice
krossdeyði	(bíbl.)the Crucifixion; the Death on the Cross
krossdragari	(sj.)crucifer, cross-bearer
krossfari	(átr.)crusader
krossferð	1(sø.)crusade2(fl.m.)crusade
krossfesta	(bíbl.)crucify
krossfesting	crucify
krossfiskur	(dýr.)starfish(Asterias)Familja: Forcipulatida © Wikimedia Commons
krossgáta	cross-word puzzle
krossgrannskoða	cross-check
krossgrannskoðan	cross-check
krossgøta	crossroads
krosshefta	(stb.)(um seyð) [tie in the front and back legs]
