V1	1rómverskt taltekn fyri 52(st.)volt
vistarloyvi	síuppihaldsloyvi
vistarskeið	residential course
vistarskúli	(skúlam.)boarding school; (um ávísar enskar skúlar) public school
vistast	stay, take lodgings (with), put up(t.d.at a motel); reside;hann vistaðist hjá einum bónda allan veturinhe took lodgings with a farmer for the (duration of the) winter
vistaveiting	catering
vistferðavinna	ecotourism
vistfrøði	ecology
vistfrøðiligur	ecological;vistfrøðiligur landbúnaðurecological/organic farming;vistfrøðilig skipaneco-system;vistfrøðilig eggorganic eggs
vistfrøðingur	ecologist
visti	sívita1
vistskipan	ecosystem
visum	síinnfararloyvi
visundur	(dýr.) evropeiskur visundurEuropean bison(Bison bonasus); amerikanskur visundurAmerican bison(B. americanus)© Wikimedia Commons
vit1	1(hugsanar- og fatingarevni) intellect(t.d.the human intellect is a limited instrument), comprehension, understanding2(klókskapur) intelligence;(tlm.)brains3(vit og skil) reason(t.d.the Utilitarians believed that human conduct was solely guided by reason)4consciousness;missa vitiðlose consciousness;koma aftur til vitsregain consciousness, come round;ganga/flúgva av vitinumbe giddy, be dizzy, be horror-stricken;hann var um at ganga av vitinum av pínuhe almost went insane with pain;hann var við sítt fulla vithe was fully conscious;burtur úr vón og vitiquite absurd, it is neither here nor there; it is a lot of nonsense;nú rann vitið á hann/at honumhe regained consciousness, he came round again;(stb.) fáa vitiðwake (up);fekk hann vitið?did he regain consciousness?;hann fekk ongantíð vitiðhe slept soundly, he was fast/sound asleep5(gl.)parhelion, mock sun; vitfyri sólinimock sun
vit2	1(stb.)we; vitHanusI and Hanus;vit báðir SámalSámal and I;so vóru vit Janus tveir einirthen I and Janus were alone;til okkarato us;okkara millumbetween us;hann møtti á fundi okkara vegnahe represented us at the meeting2(kvæð.)I and sby else; vitskulu okkum at leika talvwe are going to play a game of chess
vita1	1know, have knowledge of; vitamangtknow many things;vita skil á e-mknow aboutorbe informed about sth;vita svarknow the answer; know what to answer;vita veginknow the way;hann visti nógv at siga fráhe had many stories to tell;eg visti ikki, at tú komstI didn't know that you were coming;veitst tú, nær hann kemur?do you know when he arrives/comes?;har, veit eg, var fínt!it was very fashionable there, wasn't it?;tað, eg veitas far as I know, to my knowledge;líka veit eg/eg veit líka,sílíka3;hvør veit, um ikki ...who knows, maybe...;eg havi aldri vitað sovorðiðthat beats everything!, can you beat it!; well, wonders will never cease!; (tíðum) what next!;eg havi ikki vitað so galiðI have never known the like, I have never known anything like it;hann veit, sum er, at ...he knows from experience that..., he knows full well that...;eg veit frá mær sjálvum, at ...I know from experience that...;tað veit eg, (ið) erer-yes, of course, very likely, probably;vita skalt tú, at ..you can rest assure that...;sum eitt, eg veit ikki hvat(disparagingly about someoneorsomething one cannot find word to describe);sum harra Gud veitso-so;tað, ið nakar veit umas far as anybody knows;eingin vil vita av mærnobody likes me2(við navnhátti, with the infinitive) know how to (do sth);hann veit at snúgva særhe knows how to keep his head above water3[ísamb.viðfs/hj]vitaav:ikki vita av e-m1be unsuspecting of;eg visti ikki av tíI didn't do it on purpose, I couldn't help it2I didn't know; I wasn't aware of it;hann visti ikki av, fyrr enn ...he did not suspect anything until he realised;tey vistu av ongumthey had no idea, they were ignorant (of);vita av e-m atbe familiar with;hon, sum ikki visti av armóð at sigashe had never experienced poverty;hon visti ikki av mannishe had never had intimate relations with a man;ikki vilja vita av e-mdetest sby, loathe sby;fáa av at vitabe hauled over the coals, be ticked off;tú skuldi fingið av at vitayou should be hauled over the coal;vitafyri:ein undarlig kensla, sum teir ikki vistu orð fyria curious feeling which they did no know how to describe;vitaípoint out, indicate, warn, be a sign of, have a hunch/feeling;hvat veit hann í, hann fer so tíðliga upp í morgun?what is it with him why does he rise so early?; (um veður, of weather) indicate, be most likely;hann veit høgætt (norðan) íthe wind is going to blow from a northerly direction;hetta upprisið í sjónum visti veður íthe choppiness in the sea indicated that a storm was approaching;vitavið:hvussu veit við?how are you?;hvussu veit honum við?how is he?,alt veit væl viðeverything is (just) fine;vitaumhave knowledge of, be informed about;handa áin er ongantíð lopin, tað menn vita umthat river has never caused flooding so far as is known// vitasær:at vita sær, at hetta var síðsta náttin, tey svóvu undir loniniit was hard to understand/to come to terms with the fact that this was the last night they slept in the house;vita sær e-tknow what to do, know how to act;vitaá særfeel, have the feeling, be sensible of, sense;vitatil sínbe fully conscious //vitandiknowledgeable;hann er ein sera vitandi maðurhe's a very knowledgeable man;mær vitandias far as I know;dælt er manni vitandi orð,sídælur
vita2	investigate, search, do research, find out, see (for oneself), try, test, find out how sth behavesorwhere sth is;far og vita, hvussu honum gongstgo and find out how he's doing;hann vitaði at leggja seg afturhe tried to fall asleep again;hann kannaði steinin og vitaði, hvussu fastur hann láhe investigated the stone to find out how firm it was;hann fór at vita, um hann slapp viðhe went to find out whether he could get employment on a fishing vessel;gakk og vita, um so ergo and look if that's right;vita eftir, um tað ikki verður so, sum eg havi sagtyou'll see things are going to turn out the way I predicted
vita3	(gl.)signal by means of a fire (viti)
vitaansari	lighthouse keeper
-vitað	síeyð-
-vitaður	sífull-
vitagjald	(sigl.)light dues
vitagjaldskvittan	(sigl.)light bill
vitalisti	(sigl.)list of lights
vitameistari	lighthouse keeper
vitamin1	(lækn.)vitamin;A-vitamin, B-vitamin o.s.fr. vitamin A, vitamin B etc (t.d.vitamin B is found in...; an excellent source of vitamins A and D);A-vitamintrotvitamin-A deficiency;feitt(upp)loysiligar vitaminirfat-soluble vitamins;vatn(upp)loysiligar vitaminirwater-soluble vitamins
vitamin2	(lækn.)vitamin tablet
vitaminískoyti	vitamin supplement
vitaminlítil	deficient in vitamins, vitamin-deficient(t.d.a vitamin-deficient diet)
vitaminmikil	rich in vitamins
vitamintrot	(lækn.)vitamin deficiency
vitamintrotssjúka	(lækn.)(vitamin) deficiency disease, avitaminosis
vitan	knowledge, information, expertise
vitanarbráðvøkstur	knowledge explosion
vitanarleiðari	(nýggjy.) knowledge leader
vitanarmiðlan	(nýggjy.) information promotion, information communication, knowledge communication
vitanartungur	knowledge-intensive (t.d.business consultancy, financial services, and other knowledge-intensive services are growing in importance too)
vitandi	1knowledgeable;eitt vitandi fólka knowledgeable person2be aware of, be conscious of, know of; vitandiella óavvitandiknowingly or unknowingly
vitaskip	(sigl.)lightship
vitatorn	lighthouse
vitaverk	lighthouse authority, Lights and Buoys Service; (í Bretlandi) Trinity House;hann hevur tænt vitaverkinum í nógv árhe's been in the service of the Lights and Buoys Service for many years
vitavørður	lighthouse keeper
vitbjartur	veryorhighly intelligent, extremely intelligent
vitborin	1intellectual;tey vitbornuintelligentsia; (the) intellectuals2intelligent;vitborin sniðgávaintelligent design
vitbúningaraldur	mental age
viti	1lighthouse;viti sum skiftir litalternating light;fáa vitarnar áraka hvønn annan (sigl.)bring the lights in range2(gl.)beacon (lit at nightfall)
-viti1	síó-
-viti2	síhel-,mein-
-viti3	síør-
vitigur	wise, sensible; intelligent
vitiligur	sívituligur
vitin	(kvæð.)wise, sensible; intelligent;mín kæra hústrú, tú ert vitinmy dear wife, you are so wise
-vitin	síill-,for-,med-,til-
vitinskapur	sívitskapur
vitja	1visit(t.d.a doctor visits his patients; visit foreign countries); pay a visit to(t.d.a museum); (fólkeis.)go/come to see(GG:I will come and see you tomorrow)2(vitja ein), call on(t.d.I have just been to call on him); pay a call3(sum ikki er fráboðað) drop in on4(leita ein upp) look up(t.d.you must look me up if you are ever in London)5(vitja tíðum), frequent(t.d.public houses); (tíðumniðr.)haunt(t.d.the lowest resorts)6(vera við í e-m) attend(t.d.the meeting was well attended)7[íyms.samb.]vitja inn á gólvið hjá e-mdrop in on sby;vitja inn til e-nvisit sby, go to see sby;vitja oman til okkaracome and visit us;krákan hevur hug at vitja at húsumcrows are inclined to seek out human dwellings;bretsk fiskiskip vitjaðu inn á bygdinaBritish trawlers called in at the village;sjúkan vitjaði aftur á hannhe had a relapse; there was a recrudescence (of the disease);sovorðið vitjar aftur á megI think about such things from time to time,(eis. t.d.the memory of it still haunts me)
vitjan	1visit (to)(t.d.a visit to Canada; to friends); (stutt vitjan) call (on)2(nógv vitjað, tilrend) attendance(t.d.at an exhibition; at a football match)
vitjanardagur	(kat.) vitjanardagur Mariu2 July
vitjanarferð	1journey to visit sby;fara eina vitjanarferðgo and visit sby2cruise;vera á vitjanarferðbe on a cruise, be cruising
vitjanartíð	(á sjúkrahúsi) visiting hours, visiting time(t.d.the museum is open to the public from 10 a.m. to 4 p.m.;ikki kenna sína vitjanartíð (fl.m.)miss the psychological moment/the opportunity
vitjanartími	sívitjanartíð
vitjingartíð	sívitjanartíð
vitjunar-	sívitjanar-
vitkaligur	intelligent, bright, gifted, talented;hann er so vitkaligur hjá tæryour son is such a bright boy
vitkast	(of children) develop, mature, acquire more senseorwisdom
vitleysa	horrifically; vitleysaskelkandi hendingharrowing/agonizing/traumatic incident
vitleysur	1mad, crazy, insane, lunatic; vitleysurav øðiin a fury/rage2absurd, meaningless,vit mugu siga fólki, hvussu vitleys hesi tíðindi eruwe must tell people that this piece of news is absurd/is completely unfounded3unconscious;teir funnu ein mann vitleysanthey found an unconscious man4(sj.)stupid, dull, silly, dense, slow-witted, foolish;tey hildu hann vera vitleysanthey considered him (to be) a fool
vitlíki	artificial intelligence,st.AI
vitlítil	stupid, dull, silly, dense, slow-witted, foolish
vitloysi	1madness, craziness, insanity, lunacy2meaninglessness, absurdity3(sj.)stupidity, dullness, silliness, denseness; foolishness
vitloysingur	madcap
vitmikil	intelligent, wise
vitna	1testify, bear witness; give evidence; (eftir at hava gjørt eið:serst.skrivliga) depose; vitnafyri rættinumtestify;vitna í rættarmálitestify, give evidence;vitna falsktgive false evidence2(átr.)give testimony (to);vitna um Jesus
-vitnast	sífor-
vitni	1(løgfr.)(eygnavitni) witness(t.d.the witnesses of the accident), eye-witness;(løgfr., serst.ísamb.við rættarmál: munnligt) witness;(løgfr., serst.skrivliga,eis.)deponent,hann var tikin til vitnishe was put in the box; he was called;(am.)he was put on the stand;hann hevði vitni upp á, at ...he can produce witnesses to the fact that2evidence;so varð vitni tikið av honumhe gave evidence (about sth)
vitnisábyrgd	(løgfr., samsvarar við)be on oath
vitnisberi	(løgfr.)attestator
vitnisburður	1(løgfr.)evidence;(serst.skrivliga) deposition;bera vitnisburðgive evidence (about sth)2(átr.)(give) testimony3proof (of), evidence (of), indication;teigarnir bóru vitnisburð um teir gomlu, ið búsettust herthe cultivated strips of field were evidence of ancient settlement
vitnisfastur	proved by evidence; well-attested; attested by eyewitnesses;vitnisfast skjaldocument drawn up in the presence of witnesses
vitnisfrágreiðing	(løgfr.)evidence; (skrivlig) deposition;geva vitnisfrágreiðinggive evidence; depose;lesa vitnisfrágreiðingarnar upp[read over their depositions to the witnesses]
vitnisføra	(løgfr.)proveel.establish one's innocence by producing witnesses
vitnisførsla	(løgfr.)the productionel.calling of witnesses;vitnisførslan fer framwitnesses are called
vitnisførur	(løgfr.)fit for cross-examination
vitnissamsýning	(løgfr.)compensation to witnesses;(serst.ferðapeningur) conduct money
vitnisskylda	(løgfr.)duty of giving evidence
vitnisstevning	1(løgfr.)(tað at) (the) summoning of witnesses2(skjalið) subpoena
vitormaløgur	(fólktr.)water in whichvitormur (q.v.)has been boiled; sívitormur
vitormur	(fólktr.)[mythical serpent or snake (according to popular superstition it had supernatural power so that anyone tasting the water in which a serpent had been cooked acquired magic powers)]
vitramannasteinur	magic stone, stone of wisdom, the philosphers' stone
vitringur	intelligent person
vitriol	(evnafr.)vitriol;viðgerð við vitriolvitriolation;blátt vitriolblue vitriol, copper sulphate;grønt vitriolgreen vitriol, ferrous sulphate;hvítt vitriolwhite vitriol, zinc sulphate
vitsevni	intelligence
vitska	1wisdom, sagacity, intelligence2consciousness;studentarnir vóru vaknaðir til vitsku um, hvussu illa móðurmálið var fariðstudents had become conscious of the bad state of our mother tongue/native language
vitskaparmaður	scientist; scholar; sívísindamaður
vitskapligur	1(serst.náttúruvísindaligur) scientific(t.d.circles, facts, instruments, methods, principles, proof, questions, study); sínáttúruvísindaligur2(serst.hugvísindaligur) scholarly(t.d.edition, work); síhugvísindaligur
vitskapur	(náttúruvísindi) science, (hugvísindi) branch of scholarship; sívísindi
vitskualdur	(sálfr.)mental age; formative stage
vitskuhugmóð	intellectual arrogance
vitskulítil	unintelligent, lacking in intelligence
vitskutal	(sálfr.)intelligence quotient
vitskutur	(sj.)sensibile, intelligent
vitsnjallur	extremely intelligent, highlyorvery intelligent
vittuggi	1unpleasant person, dishonest and bad person, scoundrel, rogue2(sj.)fool
vittøkur	rational(t.d.method; mind; treatment)
vitugleiki	wisdom, intelligence, sagacity
vitugur	wise, sensible; intelligent;ikki var hann sagdur at vera vitugur maðurhe was not considered to be an intelligent man
vituligur	easily knownorunderstood, self-evident, obvious, plain;sum vituligt eras can easily be seen, obviously;tað er vituligtit is obvious;hjvituliga
vituligvís	(gl., tlm.)of course, naturally, obviously
vitur	wise, sensible; intelligent
vitvera	intelligent being, intelligent life form
vitvísur	conscious;girnaðist hann hana, so var tað ikki vitvístif he coveted her he was not aware of it
vídd	1(of clothormaterial) width; víddog síddwidth and length2area, extent(t.d.of a fieldel.a park)3dimension
víddargjald	(oljuv.)area fee
víddarræðsla	(lækn.)agoraphobia
vídligur	somewhat too ample, loose, easy-fittingorfull(t.d.the coat is too full across the chest);klæðini vóru nakað vídligthe clothes were somewhat too ample
víða	widely, extensively;hann hevði ferðast víðahe was well-/much-/widely travelled;víða hvarwidely, in numerous places;víða umin many places;døglingurin livir víða umthe bottle-nosed whale can be found in many places;víða um londin many countries
víðagitin	well-known, famous, renowned, celebrated (for);hann er víðagitin fyri styrkihe is well-known for his physical strength
víðan	widely travelled; sívíða
víðani	(tlm.)sívíðan
víðari	(degree)1fartherorfurther; víðariframfurther forward/on;so fór hon víðari fram eftir gøtunithen she resumed her walk up//down the road2particularly, especially;tvær lendingar eru, men hvørgin er víðari kyrrthere are two landing places but neither of them is sheltered;teir fiskaðu einki víðarithey didn't catch much fish
víðasigldur	well-/much-/widely travelled (on ship);víðasigldir mennmen who have visited all corners of the world
víðavangur	open field;á víðavangiunder the open sky
víðermdur	with fullel.ample sleeves
víðfarin	1well-/much-/widely travelled2far-reaching, comprehensive, versatile;ein víðfarin yrkjaria versatile poet
víðfatandi	wide-ranging, far-reaching, comprehensive, all-embracing; (tíðum) widespread(t.d.organization; network), far-flung(t.d.network)
víðferur	(kvæð.)sívíðfarin1
víðfevnandi	sívíðfevndur,víðfatandi,víðfarin,víðlendur
víðfevndur	many-sided, versatile, comprehensive; all-round; radical(t.d.alteration; change; reform; reorganization); drastic(t.d.measure); sweeping(t.d.change; measure; reform); thorough(t.d.change; inquiry; repairs);arbeiði hansara var víðfevndari enn sohis work was more versatile than was generally believed, his work was more versatile than was commonly/popularly supposed
víðførur	extensive, spacious, vast, wide;oyggin er víðførthe island is extensive;Hvalbiarfjørður er víðførurthe Hvalbiarfjørður (the fiord of Hvalba) is wide
víðgongdur	1given to straying;tey leita allastaðni eftir honum, hann er so víðgongdurthey look for him everywhere, he is given to straying2(sj.)sívíðførur; víðgongdurhagia vast/extensive outfield3radical;víðgongd sjónarmiðradical viewpoints
víðgreindur	widely ramified(t.d.organization); extensive
víðhav	(skaldsk.)open sea, spacious sea
víðhyrntur	with prominent horns; víðhyrnturseyðursheep with prominent horns© Absalon Hansen© Absalon Hansen
víðilsi	íosb. (úti) á víðilsiunder the open sky;taka seyð á víðilsitake free-roaming sheep
víðka	1dilate(t.d.the capillaries; the heart; an organ); stretch (shoes; gloveso.tíl.);add(t.d.a wing to the house), enlarge(t.d.a house; one's sympathies, the EU); víðkae-t/um e-tenlarge sth;víðka einar skógvarstretch a pair of shoes;geva e-m víðkaðar heimildirincrease sby's authority;víðkað tíð (málfr.)continuous tense2(teld) expand
víðkan	widening, broadening; extension; stretching; síeis.víðka
víðkníggjaður	bandy-legged, bow-legged
víðlendi	wide expanses of open land
víðlendur	extensive,(t.d.fields; domains); wide(t.d.plain); spacious(t.d.plains; gardens); far-flung(t.d.Empire); (ómetaliga víðlent) vast(t.d.the vast steppes of Asia); wide-spreading,víðlent ríkia far-flung empire
víðmeskaður	wide-meshed(t.d.net);víðmeskað trolwide-meshed trawl (net)
víðopin	1spread-eagled, stretched(t.d.he lay stretched on the ground); (at) full length(t.d.he lay at full length on his bed);drongurin lá víðopin á bønumthe boy was lying spread-eagled on the grass2wide open;dyrnar standa víðopnarthe door is wide open;við víðopnum eygumwith open eyes, with one's eyes wide open
víðskipaður	(um seyð, of sheep) which have extensive range land
víðskygdur	liberal-minded, broad-minded, tolerant, unprejudiced, well-educated, far-seeing(t.d.statesman), far-sighted,víðskygd konaa woman of vision
víðskygni	liberal-mindedness, broad-mindedness, toleration, tolerance, far-sightedness, vision
víðsveimin	high-flying, diffuse, prolix, rambling;víðsveimnar ætlanirgrandiose schemes
víðsýni	sívíðskygni
víðsýnt	with an unobstructed view;har uppi var víðsýnt, og hann læt eyguni leita runt kringinfrom up there the view was good and he let his eyes roam the horizon
víðtjald	widescreen
víðtøkin	extensive(t.d.studies; preparations); comprehensive; wide-ranging, widespread(t.d.activities; connexions); far-reaching(t.d.consequences);víðtøkin tjóðskaparlig rørslaa wide-ranging national movement;víðtøkin landbúnaðurextensive farming
víðtøkur	sívíðtøkin
víður	1ample, loose, easy-fitting, full(t.d.full skirts; the coat is too full across the chest); slack;víð troyggjaa full sweater2wide(t.d.a wide expanse of desert); spacious(t.d.a spacious plain); extensive, vast;úti á víðum havion the open sea;fjørðurin er víður úti í munnanumthe fiord is wide at the mouth;undir víðum loftiunder the open sky;upp á víðan vegg,síveggur;so er líka vítt sum síttthen we are back again where we started;(tlm.)then we're back to square one;har er so vítt umit is spacious there
víðvinkul	(stfr.)wide angle
víðøkis-	(jarðfr.) regional
víðøkisumskapan	(jarðfr.)regional metamorphism
víg	(kvæð.)battle, combat, fight(ing), struggle;grimur til vígaferocious in battle
víga	1consecrate(t.d.one's life//one's energy to a work); dedicate(t.d.a temple to a god), (til prest) ordain, inaugurate(t.d.a new building; a new school);biskupur vígdi skúlanthe bishop inaugurated the school2marry, officiate (a marriage);prestur vígdi teythey were married by the vicar
vígbúgvin	prepared to fight;(herm eis.)ready for action; (um stríðsvagnar) combat ready
vígfrekur	eager to fight
vígførur	capable of bearing arms, fit for military service; (tíðum) able-bodied;allir vígførir mennall able-bodied men
víggarður	defensive wall
-víggi	síein-
-víggin	síill-,ils-
víggirdur	(herm.)fortified, strengthened;víggird støðafortified position
víggirða	(herm.)fortify, strengthen; víggirðasegentrench oneself;víggirdur staðura fortified town
víggirðing	(herm.)entrenchment
víggj1	1(kvæð.)battle, combat, fight, struggle;til víggja førurskilled in fighting2murder, homicide, manslaughter;Gud náði ta kristnu sál, hetta víggið vannGod pardon the Christian soul that committed this murder;lýsa víggi (sø.)admit to being a murderer
víggj2	1(dýr.)eggs of bluebottleorblowfly (in food)2foul-mouthed person, slanderer
víggja1	(dýr.)laying of fly eggs;skava víggjuna burturscrape off fly eggs
víggja2	(dýr.)(um flugu, of fly) lay eggs;flugan víggjar ikki eftir veturnæturflies don't lay eggs after
víggjahugur	sístríðshugur
víging	marriage, wedding; ordination; consecration, dedication; inauguration; síeis.víga
vígmegi	fighting qualities
vígsekur	(sø.)guilty of murder
vígskarð	(herm., sø.)embrasure; eis.skotskarð
vígsla	marriage, wedding; (prestvígsla) ordination; consecration; dedication(t.d.of a temple); inauguration;vígsla til vinstru handar (sø.)morganatic/left-handed marriage; síeis.víga
vígslubræv	marriage certificate
vígsluritual	marriage ritual; (í kirkju) marriage service
vígsluvatn	(kirkj.)holy water;sletta vígsluvatn á e-nsprinkle sby with holy water
vígsluváttan	marriage certificate
vígsterkur	(t.d. wall)strong, capable of (offering) resistance;ein vígsterkur borgargarðura strong castle wall
vígtonn	tusk
vígtorn	turret on a defensive wall
vígvirki	entrenchment, defensive wall
vígvøllur	field (of battle), battlefield;á vígvøllion the battlefield; síeis.hermót
vík1	cove, inlet, bay, creek(GG:í USA er creek aloftast ein á)
Vík2	1(short for the village of) Haldarsvík2Víkar (flt)deserted village on the island of Vágar;á//av Víkumat//from Víkar;(norður) á Víkarto Víkar
víkamaður	man from the (now deserted) village of Víkar
víkararmur	arm of an inlet, arm of a coveorbay
víkarbotnur	head of a coveorbay
Víkarbyrgi	(stn.)village on the island of Suðuroy;í//úr Víkarbyrgiat//from (the village of) Víkarbyrgi;til Víkarbyrgisto (the village of) Víkarbyrgi
víkarbyrgismaður	man from (the village of) Víkarbyrgi
víkarlag	small cove
víkarmaður	man from (the village of) Vík (Haldarsvík) in/on Streymoy
víkarmunni	mouth of a coveorbay
víkarskapilsi	small cove;eitt víkarskapilsia small cove
víkiligur	1compliant, accommondating, amendable, yielding;grindin er víkilig og letur seg rekathe school of pilot whales is yielding and is easily driven2elastic, flexible, supple, lithe;málið er so víkiligtthe language is so supple(el.flexible) that you describe things invarious ways
víkin	síundanfírin
-víkindi	síá-
víking	(sø.) fara/vera í víkinggo on/be on a viking expedition
víkingaferð	viking expedition, viking raid
víkingahøvdingi	viking chief
víkingakongur	sea king
víkingaskip	(sø., sigl.)viking ship
víkingatíð	(sø.) víkingatíðinthe viking age, the viking period
víkingaøld	(sø.)sívíkingatíð
víkingur	(sø.)Viking
víkipláss	lay-by, passing place
víkiskylda	1(ísamb.við koyring) duty to give way to approaching traffic2(sigl.)duty to keep clear;A hevur víkiskyldu fyri BB has the right of way over A
víkja	1retreat, give ground(t.d.the army gave ground slowly under the mass attack); lose ground, yield ground, give way, fall back2get out of the way, make way; leave sthorsby;hvussu víkur og vendirwhatever happens;vík mær eitt sindurstand back!, make room!, make way!3(við hj)víkjaaftur eftirhælifall back, retreat;víkjaate-mhave connections/relations with sby;uppgávan skal víkja at lestrinumthe assignment must have bearing on the study;báturin veikáhannthe boat turned slightly to his side;hann er góður/makaleysur at víkja áhe's always ready/willing to help/oblige;víkjafrádeviate from(t.d.she deviated from her plan and chose another option); depart from(t.d.by walking to work she departed from her usual routine);(um reglur o.a.)dispense with(t.d.they decided to dispense with the rules this time);hann veik ikki frá snørinumhe fished without a break;vík frá mær, Satan!get thee hence, Satan!;føroyskt var at víkjafyridonskumthe Faroese language gave way to the Danish language;4move, remove;tað víkir ikki snarið,sísnar
víkutur	1indented with bays, fiords, and sounds;strondin var vágskorin og víkut2with a receding hairline(t.d.he has a receding hairline)
vín	wine;hoyggið er sum vínthe hay smells as well as wine
vínandi	(evnafr.)alcohol, spirit(s) of wine
vínber	(plfr.)grape(t.d.green grapes; blueel.purple grapes)
vínberjaløgur	unfermented grape juice
vínberjasukur	(evnafr.)grape sugar, dextrose, glucose
vínberjatyssi	bunchel.cluster of grapes
vínbjølgur	(bíbl.)wine skin
vínbland	cocktail
vínbláber	(plfr.)mountain cranberry, cowberry(Vaccinium vitis idaea)© Jonas Bergsten
vínbóndadøgurði	winemaker dinner
vínbóndi	winegrower
víndrúva	(plfr.)grape(t.d.green grapes; blueel.purple grapes); síeis.vínber,vinberja-© Wikimedia Commons
víndyrkari	wine grower, vigneron, viticulturer
víndyrking	wine growing, viticulture
vínedikur	(evnafr.)wine vinegar
vínfarg	winepress
vínfat	wine cask; (til geringar) vat, tun
vínfløska	wine bottle; bottle of wine
vínframleiðsla	wine making
víngarðsmaður	wine grower;(bíbl.)husbandman
víngarður	vineyard;(fl.m., bíbl.) arbeiða í Harrans víngarðiwork in the Lord's vineyard
vínglas	wineglass
víngoymsla	stock of wine(s), wine cellar, cellar(t.d.he keeps a good cellar)
vínhandil	wine trade; (vínsøla) wine shop; (tíðum) off-licence;(am.tíðum) liquor store
vínhandilsmaður	wine merchant
vínídnaður	wine industry
vínkaraffil	(wine) decanter
vínkennari	wine connoisseur; síeis.íensk-før.sommelier
vínkíkur	wine skin
vínkjallari	wine cellar, cellar(t.d.he keeps a good cellar)
vínkort	(á matstovu) wine list;á vínkortinumon the wine list
Vínland	(kvæð., sø.)Vinland, Vineland
vínpersa	winepress
vínpípa	wine pipe (stór víntunna)
vínslag	sortel.type of wine
vínsmakkari	wine taster
vínspritt	(evnafr.)spirits of wine
vínstova	(uml.)wine bar
vínsúrur	(evnafr.)vínsúrt salt tartrate
vínsýra	(evnafr.)tartaric acid
vínsøla	wineshop
víntappari	(gl.)tapster
víntræ	(plfr.)vine, grape vine(Vitis vinifera)©iStock
víntunna	wine barrel, wine cask
víntútur	tap of a wine barrel
vínviður	(plfr.)vine, grape vine
vínøki	wine(-growing) district
vípa	(fugl.)northern lapwing(Vanellus vanellus)(Linnaeus, 1758)©iStock
vípuegg	1(dýr.)lapwing's egg2(plfr.)fritillary, snake's head(Fritillaria meleagris)
víriksgras	(plfr.)upright St John's wort(Hypericum pulchrum)© Jean François Gaffard
vírikur	(lækn.)bunion, corn
vísa1	1(Faroese) short ballad;kvøð tú tína vísu, eg kvøði mína (fl.m.)let's agree upon disagreeing2(Danish) heroic ballad3love song, song, ballad, ditty
vísa2	[the first tiny leaves of a potato when it starts sprouting];tað vóru bara nakrar fáar vísur komnar undanonly a few, tiny leaves could be seen
