t.	(st.)hour
tempra	control, keep in check, restrain, curb;tempra segcontrol oneself; restrain oneself, keep one's temper;(tlm.)hold back; hold oneself in; contain oneself;eg tori ikki at vera einsamøll, men eg má tempra meg til taðI dare not be alone but I must accustom myself to it;hann dugir at tempra seg, so hann ikki leggur hond á hinhe restrains himself and avoids laying (violent) hands on the other man;tempraðurshy, modest, self-conscious, bashful, awkward, embarrassed, constrained
tempraður	1moderately warm2temperate
tempul	1(átr.)temple;grikskt tempulGreek temple;rómverskt tempulRoman temple2(sjón.)church
tempulgarður	the court of the Temple
tempulharri	(sø.)(Knight) Templar,(flt)Templarsel.Knights Templar(s), Knight of the Temple
tempulpýramida	temple pyramid
temsa	1sítemstra2(stb.)tame (a horse)
Temsá	(sern., landafr.)the Thames, (í Oxford) the Isis
temstra	keep in check, restrain, curb;nú var kanska ov seint at temstra dreinginit was now perhaps too late to restrain the boy;tú skuldi verið temstraður fyri hattayou deserve to be punished for it;seyðamaðurin hevði temstrað fylgiðthe shepherd had tamed the flock of sheep
temuður	sítemunnur
temunnur	a droporcup of tea
tendra	1light, turn onorput on;tendra kertiljóslight a candle2(ravm.)wire a house;tendra ljósið!put on the light!3get angry, fly into a rage, boil over, work oneself up, build up steam, get steamed up;tendra skjóttquick-tempered, hot-headed, hot-tempered, fiery;hann tendraði við fyrsta orðiðhe flew into a rage almost before a word had been uttered;hon meylar og meylar, inntil hon hevur fingið hann at tendrashe talks ceaselessly and perseveringly until he boils over;tendra í botn (tlm.)fly into a rage4(stjfr.of new moon);sólin (mánin) tendrastthe new moon begins to shine
tendrari	lighter
tendring	1lighting, (um maskinu) ignition2[the time in the evening when the lights are lit]3(stjfr.)new moon;tá ið 13 tendringar eru í einum ári, skal tað verða illveðursár13 new moons in one year betokens a year of bad weather4(tøkn.)ignitor5íosb. hava góða tendringbe hot-tempered
tendringardagur	(stjfr.)[the first day (night) of the new moon]
tendriproppur	(tøkn.)spark(ing) plug, plug; (i bensinmotori) ignition tube;reinsa//kanna tendripropparnarclean//test the plugs
tengur	sítong
tenja	1stretch outdistend (t.d.the starving children had distended stomachs)dilate (t.d.she was annoyed and dilated her nostrils)inflate, blow uptenja jarnhammer out iron;tenja roðdress sheepskin;tenja skinnstretch a skinorhide and nail it up on the wall;tenja gæruskinn/rotuskinn (skemt.)yawn;tenja skriftspace letters;prentaðar við tandum støvumprinted with spaced letters;tenja song (kvæði)sing in a very slow tempo, drag the song out for a very long time;tenjið heldur seinasta tónan í niðurlagnumyou should rather drag out the last tone of the refrain;tenjandiboring, dull, tedious2(ítr.)stretch one's muscles(t.d.after jogging)3walk with a slow, striding gait,hann tandi seg niðan brekkunahe walked slowly up the slope;tenjandi gongulaga slow striding gait4(prent.)space;tandur satsurspaced matter
tenjing	1stretching out, distension, dilation, inflation2(prent.)(letter) spacing
tenn	sítonn
tenna	irritate, provoke, make (sby) furious;hann ger tað bara til at tenna okkumhe does it to irritate us;tenna e-n upmake sby furious;tú tennir meg uppyou irritate me;tennandiirritating, annoying, intolerable, provoking
tennast	getorcut teeth
tennis	(ítr.)tennis
tennisalbogi	(lækn.)tennis elbow
tennisbóltur	tennis ball
tennisdystur	tennis match
tennishøll	covered tennis court
tenniskapping	tennis tournament
tenniskettjari	tennis racket
tennisleikari	tennis player
tennislið	tennis team
tennisstjørna	tennis ace
tennisvenjari	tennis coach
tennisvøllur	tennis court; (á grasivølli) grass court; (harður) hard court
tenorfloyta	(tónl.)tenor recorder
tenorhorn	(tónl.)tenor horn
tenorlykil	(tónl.)tenor clef
tenorrødd	(tónl.)tenor voice
tenorsolo	(tónl.)tenor solo
tenorur	1tenor voice2tenor, tenor singer, tenorist
tentur	1toothed, equipped with teeth;jagldýrini líkjast øll í tí, at tey eru so illa tentin one respect at least ruminants resemble one another, they are all badly equipped with teeth;rívan er ótætt tentthe rake has too few teeth/prongs2(plfr.)toothed, dentate3(byggil.)crenel(l)ated, battlemented (um múr við vígskørum)
tenøs	a very small quantity of tea;hon hevði eina tenøs í einum pappírslepashe had a small quantity of tea wrapped in paper
teoretikari	theorist, theoretician
teposi	tea bag
teppa	1make sby at a loss for an answer, silence (sby), shut sby up, take down a peg(t.d.I took him down a peg);teppa e-nsilence sby;eg fekk tept hannI managed to shut him up;hann hevði munn sum ein rakiknívur og var ikki at teppahe was sharp-tongued and impossible to silence;hann varð illa útskeldaður, varð tepturhe was severely criticized and subdued2close, bar, block up, cordon off;vit kunnu ikki teppa renningina hjá seyðinumwe were not able to bar the sheep from running away
teppi	1(gólvteppi)carpet, rug (t.d.the house has wall-to-wall carpets throughout;the floor was covered with carpet2(seingjarteppi)blanket3(tlm.) t.s.s sum palltjaldcurtain
teppur	(Sa., sj.)sítøppur
tepra	1touch lightly, brush, reach;mánin stóð so stórur og rundur og tepraði á egginithe moon, big and round, touched the mountain crest;tað er ikki meir enn brúgvin teprar inn á hólminthe bridge barely reaches the islet;fingrarnir tepraðu júst inn um trepanthe fingers just reached past the edge;tærnar tepraðu íthe toes brushed (sth);tá ið hann tók hondina um stokkin, tepraðu fingrarnir í sjógvinwhen he gripped the gunwale his fingers touched the sea2be short of hands, be short-handed;mangastaðni í smábygdum man tepra við at manna eitt kortborðin many of the small villages they are so short of hands that they may have difficulty in finding cardplayers;tað kann tepra at fáa opinekruna pløgda um heystiðthey are so short of hands that it can be difficult to plough the stubble field in the autumn
tepsast	(stb.)sítevsast
tepur	1scanty(t.d.rations; portions); scant(t.d.supplies); scarce(t.d.tobacco is getting scarce); short; meagre(t.d.ration); scarcely, barely, not quite; small;fólk kendu seg hava teprari útkomu enn áðurpeople felt that they earned less than they used to;málini vóru so tepurthe measurements were extremely scanty;vit fingu so tepur boðwe received the information rather late2narrow, cramped, pinched, too tight;skógvarnir eru ov teprirmy shoes are too tight3[sumhj]tepurt; (place) too near the edge;hon hevði lagt seymin so tepurtthe turning of the hem was too narrow;seyma tepurtmake the turning of the hem too narrow when sewing;standa tepurtstand near the edge;set ikki ílatið so tepurtdon't place the box so near the edge
tepursligur	ratherorfairly scant, small, narrowetc
terga	(sj.)tease, irritate, provoke, make sby furious;hann plagdi altíð at terga og pína hannhe always use to tease and torment him
termin	1(gjaldstíð) time fixed for payment2(ásettur dagur á børs) settlement date; (rentugjaldstíðo.tíl.)due date3(ásettur gjaldsdagur fyri leigu, láno.tíl.)settling period(t.d.June and December 11-18 are settling periods for interest on mortgages)
terminshandil	(handilsm.) forward [a forward= terminshandil er títt og oftaa foreign exchange forwardt.d. millum banka og viðskiftafólk/vinnuvirki, at kundin kann keypa t.d. 100 milliónir evrur t.d. um eina viku, men fyri kursin, ið var, tá ið sáttmálin varð undirskrivaður.Forwardseru sum heild privatir sáttmálar millum tveir partar];skráseting av terminshandliregistration of forward;avtøka av terminshandlisettlement of forward
terminssáttmáli	(handilsm.) forward contract
termiskur	thermal
termo -	(forskoyti)sí eis.hita-ogvarma-
termobúni	thermal suit(eis. t.d.sock)
termodynamikkur	thermodynamics
termodynamiskur	thermodynamic;termodynamisku lógirnarthe laws of thermodynamics
termoelektrisitet	thermoelectricity
termoelektriskur	thermoelectric;termoelektrisk megithermoelectric force
termoelement	thermoelement, thermocouple, thermopile
termofløska	thermos (flask); sívarmafløska
termoglas	double glazing
termografi	thermography
termografur	thermograph
termogramm	thermogram
termokanna	vacuum jug; sívarmakanna<br>thermos (t.d.she filled the Thermos with hot tea); (am)thermos bottle (t.d. the thermos bottle could contain one liter)
termokemi	thermochemistry
termokemiskur	thermochemical
termometur	thermometer; síeis.hitamálari
termometurstandur	thermometer reading, temperature; síhitamálarastandur
termonuklearur	thermonuclear
termoplastiskur	thermoplastic
termorútur	sealed glazing (unit)
termostatiskur	thermostatic
termostatstýrdur	thermostatically controlled; síeis.hitastýrdur
termostatstýring	thermostatic control; síeis.hitastýring
termostatur	thermostat; síeis.hitastillari
terna1	(fugl.)arctic tern(Sterna paradisaea)(Pontoppidan, 1763); ternan er tykkin fuglur the arctic tern is a sensitive bird; (tilt.) sum terna skjýtst á egg (of a short visit);caspien ternsíbrituternasandwichtern sífaksaternablack-headed gullsífransaternalittle ternsífruntaternaommon ternsíkriternaroseate ternsíroðaternacull-billed ternsísandternablack ternsísvartternaTerna ©Martha de Jong Lantink
terna2	1stewardess2(kvæð.)handmaid (to a lady of rank);Margata sendi sína ternu á síns faðirs fundMargata sent her handmaids to see her father
terningaspæl	throwing dice, game of dice
terningur	1(spæl) die;kasta terningarthrow dice2sugar lump3(stfr.)square
ternubøga	(dýr.)female (Arctic) tern
ternubøli	colony of (Arctic) terns, ternery
ternudimmi	[the short while during the summer night the tern is silent];(fl.m.) hatta klárar ikki at vaka eitt ternudimmihe//she is not able to stay awake even for a short while;at vera her eitt ternudimmi, tað skuldi eg kunnaðI can stay here for a short while, I suppose
ternuegg	egg of tern
ternugøla	(stb.) tað verður ikki frægari, fyrr enn ternugølan hevur veriðthe weather won't improve until theternugølahas taken place; síternusnertur
ternukrian	the cry of the tern
ternumási	(fugl.)Sabine's gull(Xema sabini) (Leach, 1819)© Gregory Smith
ternumurtur	(fisk.)tiny coalfish, the fry of coalfish
ternupisa	(dýr.)young (Arctic) tern
ternureiður	a tern's nest
ternusnertur	[bad weather with frost and snow the time in late spring when the terns usually come ashore]
ternuungi	young (Arctic) tern
ternuvarp	(sj.)ternery, colony of terns
terpa	1(skúlam., tlm.)swot, cram, mug up(t.d.one's Latin), (undirvísa í) grind(t.d.Latin)2force (sby), punish
terpin	close-fitting, too tight,klædningurin er so terpin uppi á honum, sum hann er fitnaðurhis suit (of clothes) is too tight now after he has put on weight;tá ið kúgv hevur gallsótt, verður húðin so terpinwhen a cow has been infected with biliouness, its hide becomes too close-fitting
terpintin	(evnafr.)turpentine
terpintinolja	(evnafr.)(oil of) turpentine
terra	> hann terrar enn it is still good drying weather;hann terrar enn (fl.m.)he still works in spite of poor healt (his being old)
terraár	dry year;gott//ringt terraár
terrabrestur	1[reportorbang in the air (clap of thunder) considered to herald a period of dry weather]2(skemt.)fart3(skemt.)smack
terradagur	a good drying day
terradropar	scattered raindrops in dry weather
terragrómur	streaks of clouds in the sky (considered to be a sign of lasting dry weather)
terrakvistar	(stb.)síterragrómur
terraluft	[sky which heralds good drying weather]
terranóðrur	síterragrómur
terraveður	spell of good drying weather
terraætt	wind direction for dry weather;norðan er góð terraætt í Nólsoynortherly wind gives good drying weather in (the village of) Nólsoy
terri	1dry (sunny) weather2prospects for drying hay, fish, muttonorpeat;bráður terrivery dry weather;linur terrimoderately dry weather;góður terriexcellent weather for drying(t.d.hey);heingja//leggja til terrahang//lay out to dry;heingja hosur til terrahang stockings to dry (by the stove);vera seinur fyri terranumslow to dry;vera skjótur fyri terra(num)dry quickly3dry feeling (in one's throat);eg havi havt ein terra í hálsinum í nakrar dagarI have had a dry/parched throat for some days now
terribrestur	1(stb.)síterrabrestur2(stb.)a short sunny period;hetta verður bert ein terribresturthis sunny period won't last long
terridagur	(stb.)a good drying day
terridropar	(stb.)síterradropar
terrin	(stb.)lean, thin; meagre, poor;onnur ærin var meira terrin enn hinone ewe was leaner than the other (one)
