o1	(málfr.)vowel, /o:/
ovmæli	(stílfr.)pleonasm; síeis.tvísøgn
ovmælis-	pleonastic
ovmøða	tire out, exhaust, overtire;árin ovmøddi røðaranthe oar exhausted the rower; síeis.overva
ovmøði	overwork, over-exertion, strain;svímaður av ovmøðifainted from over-exertion
ovndyggur	fireproof, ovenproof;ovndygt fatfireproof dish/ovenproof dish; (djúpt við honkum) casserole;ovndygg føtovenware
ovnshurð	oven door
ovnspláta	baking sheet, baking tray;(am. eis.)cookie sheet
ovnsskuffa	baking plate, roasting tin;steikin stendur í ovnsskuffuni mitt á borðinumthe roast stands on the baking plate on the table
ovnsverta	stove polish, stove black, black lead
ovnur	1stove2radiator3(baking) oven
ovnýtsla	overconsumption, overspending;ovnýtslan er fíggjað við lántøku og studningithe overconsumption has been financed with borrowed capital and financial support/subsidies;ovnýtsla av rúsdrekka er skaðilig fyri heilsunaoverconsumption of alcohol is injurious to health
ovnørast	breed too rapidly;nátin kann fara at ovnørast, so at hann verður meira til skaða enn til gagnsfulmars may breed too rapidly and thus do more harm than good
ovrasin	síovrásin
ovrasni	impetuosity, rashness, hastiness; síovrásin
ovrásaður	síovrásin
ovrásin	precipitous, impetious, too eager, too keen, zealous; who rashes alongel.dashes off headlong
ovrásni	impetuosity, rashness, hastiness; síovrásin
ovrendur	at too great a speed (so that one cannot stop at the right time)
ovrenna	ovrenna seg run too hard
ovrokaður	piled (very) high;nakað ovrokað borð var tað ikkiit would be an exaggeration to say that the table was piled high
ovróður	too vigorous rowing
ovrógva	ovrógva seg row too hard, injure oneself by rowing too hard;hann hevði ovróð seghe had injured himself by rowing too hard
ovsagt	íosb. tað er ikki ovsagtit is no exaggeration to say that
ovsiga	íosb. ovsiga seg1say too much, give oneself away;hon var ikki tann, sum ovsegði segshe was not the kind of person who said too much2make a slip of the tongue
ovsintur	(sj.)síovursintur
ovskipa	overstock; ovskipahaganoverstock the outfield with sheep
ovskipan	overstocking the outfield with sheep
ovsleip	overwork, over-exertion, strain;tað man bara vera ovsleip, ikki sjúkaI don't think he's ill, I think he's overworked himself;krýkin av gikt og ovsleipibent from rheumatism and overwork
ovsleipaður	worn out
ovslit	síovsleip
ovsova	1sleep too much2oversleep (oneself)
ovstaðin	overripe;vínberini vóru ovstaðinthe grapes were overripe;ovstaðið kornoverripe corn
ovsteikja	roastel.bake too much
ovtaðing	over-fertilization
ovtaka	íosb. ovtaka seg(over)strain oneself(t.d.by lifting)
ovtala	speakel.say too much; íosb. ovtala segsay too much;sjálv hevði hon ikki ovtalað seg fyri nøkrumshe had not disclosed anything to anybody;e-m verður ovtalaðone has said too much, one has given oneself away
ovtoyggja	strain, overstrain; sprain
ovtrýstsloka	relief valve
ovtøvdur	fulled too much
ovur-	very, extremely, exceedingly
ovuransur	sensation
ovurást	deepfelt love;sprottið úr ovurást
ovurbágin	extremely troublesome, very difficult
ovurbilsin	extremely surprised
ovurbjartur	extremely bright
ovurbráður	(lækn.)peracute;ovurbráð brunagerðperacute inflammation/infection
ovurdirvi	great bravery, great valour, great courage, great gallantry
ovurdjarvur	foolhardy, daring;tveir ovurdjarvir smádreingirtwo foolhardy small boys
ovurdjúpur	extremely deep
ovurdrykkja	excessive drinkingel.boozing, drinking too much;mangt eitt heim er niðurbrotið av ovurdrykkjumany homes have been destroyed by excessive drinking
ovurdýpi	deep
ovurfegin	delighted, ecstatic, in ecstasies, in raptures, rapt;ovurfegin um e-tgo off into ecstasies/raptures over sth
ovurfegni	hilarity, gaiety, light-headedness
ovurfeitur	obese, extremely fat
ovurfiti	obesity
ovurfínur	1(um góðsku) very fine(t.d.a very fine ham); choice(t.d.butter); high-class(t.d.furniture, shop); superior(t.d.a superior article)2(ovurklænur) fine, extremely thin(t.d.a fine thread; full of fine holes); tenuous(t.d.the tenuous web of a spider)
ovurgivin	foolhardy, rash; reckless; hot-headed
ovurgjald	overpayment, excess payment
ovurglaður	delighted, in ecstasies, rapturous, in raptures, rapt;ovurglatt fuglalátrapturous singing/warbling of birds
ovurgleði	delight, ecstasy, transport(s) of joyel.delight, rapture
ovurheitur	extremely hot
ovurhonds	exceedingly, extremely; ovurhondsstórurextremely tallel.large
ovurhugaður	passionate, ardent;í ovurhugaðum stríðiin a passionate struggle;ongantíð havi eg verið so ovurhugaður uppi í leikumI have never before felt so passionately engaged
ovurhugaleysur	uninterested, dispassionate, indifferent, unenthusiastic, dull;ovurhugaleys kannanan unenthusiastic examination
ovurhugaloysi	lack of interest, being uninterested, dispassionateel.indifferent, apathy, dullness
ovurhugi	1gera e-t av ovurhugaactel.do sth in a particular situation without thinking of the possibly dangerous consequences2(ným.)passion
ovurhýrur	(sálfr., lækn.)manic stage;við hvørt sinnistyngd, við hvørt ovurhýrursometimes depressed and sometimes manic
ovurkátur	very merry, gay, jollyel.jovial, hilarious
ovurkensluligur	supersensitive; hypersensitive
ovurkynsamur	over-sexed
ovurkæti	delight, ecstasy, transport(s) of joyel.delight, rapture
ovurlangur	very longel.tall
ovurleiðari	(ravm.)superconductor
ovurljótur	extremely ugly, hideous
ovurlov	panegyric, encomium, eulogy
ovurlættur	1energetic and eagerel.keenel.zealous;(tilt.) hin lati ber seg í hel, hin ovurlætti gongur seg í helthe lazy man drags himself to death the energetic man runs himself to death2extremely light
ovurmaður	(kvæð.)superior;hvar vitið tær mín ovurmann?do you know any man who is my superior?
ovurmaki	(kvæð.)superior
ovurmenni	superior
ovurmenning	overdevelopment
ovurmettur	gorged, stuffed (with)
ovurmikil	colossal, gigantic, enormous
ovurmorgin	íosb. í ovurmorginthe day after tomorrow
ovurmóð	(bíbl.)arrogance, haughtiness, pride, síhugmóð
ovurnógvur	in large numbers;tað hevur ovurnógv at týðait is of vital importance
ovurnýtsla	overconsumption;her er einki til ovurnýtsluwe have nothing to spare
ovurnøgd	abundance, profusion, plenty, superfluity;hann var ikki vanur við slíka ovurnøgd á borðihe was not accustomed to such sumptuous meals
ovurorðaður	pleonastic
ovurprísur	exorbitantel.extortionate price;teir seldu brennivín í loynisølu fyri ovurprísthey sold alcoholic liquors on the black market to an exorbitant price
ovurraskur	extremely hard-workingel.industrious;teir vóru allir tríggir ovurraskir mennall three of them were extremely hard-working men
ovurrenta	usury, extortionateel.usurious rate of interest
ovurríkur	extremely richel.wealthy
ovurrós	panegyric, encomium, eulogy
ovursansaligur	supersensual
ovursinni	rage, fury, frenzy;ganga kykur íovursinni be in a frantic rage(eis., t.d.he was in a frenzy of rage)
ovursintur	of extremely violentel.impetuous dispositionel.temper; violent, furious, in a frenzy, in a rage
ovurskipan	síovskipan
ovursmæðin	extremely shy
ovurspenning	(ravm.)overvoltage, excess voltage
ovurspenningarverja	(ravm.)overvoltage protective device
ovursterkur	exceedinglyel.extremely strong, of giant strength
ovurstórur	exceedingly bigel.large, immense, enormous, huge, vast; ovurstórursalura big/large hall;ovurstór tølenormous figures;Sahara er ein ovurstór sandoyðaSahara is a vast desert;ovurstórt arbeiðigigantic (piece of) work;ovurstór kanóngiant gun;ovurstórur kroppurgiant frame
ovurstødd	over-dimensioning;í ovurstøddoverdimensioned, oversize(d)
ovurtal	enormous numberel.quantityel.amount;í ovurtaliin enormous numbers
ovurtekstur	(teld.)hypertext
ovurtelda	(teld.)supercomputer
ovurtjúkkur	very thick
ovurtungur	extremely heavy
ovurundra	admire, standel.be in awe (of sby);eg ovurundri teir og lofti við gleði hvørjum orði, teir sigaI stand in awe of them and drink in gratefully every word they say
ovurundran	greatel.passionate admiration, awe, veneration;hava ovurundran fyri e-mstand/be in awe of sby; hold sby in (great) veneration; revere/reverence/venerate sby
ovurvaksin	exceedinglyel.extremely large, (of size) monstrous;ein ovurvaksin, dimmur kópuran extremely large and dark seal
ovurvakur	extremelyel.exceedingly prettyel.handsome
ovurvandin	1extremely painstaking, cautious, exceedingly careful2very particular, very, fastitious3very critical
ovurvarin	extremely cautious, exceedingly carefulel.wary
ovurveður	extremely violent storm;ikki ráðiligt at halda til sjós í hesum ovurveðrinumit is not advisable to sail out in this violent storm
ovurviðkvæmi	(lækn.)allergy
ovurviðkvæmingur	allergy sufferer; allergic (subject); (lækni) allergist
ovurviðkvæmur	(lækn.)allergic (to); hypersensitive
ovurvirkin	(sálfr.)hyper-active
ovvaksin	grown too quickly, overgrown(eg.of potatoes which are open inside)
ovvágin	who risks too much, too daring, daredevil(t.d.a daredevil stunt), death-defying
ovveiða	overfishing, depletion; síovfisking
ovvekraður	who has been awake too long, worn out with watching, overwatched
ovvekur	exhaustion from lack of sleep
ovvit	1good mental faculties;einki ovvit krevst til at gera taðno extraordinary faculties are required for doing it2person of genius;hann er einki ovvit, men býttur er hann heldur ikkihe is not a (man of) genius, but he is not stupid either
oy1	a diphthong
oy2	(kvæð., stn.)síoyggj
oy3	oh!
oydla	(dý.)lizard(Lacertilia)
oyða1	1desolateel.waste stretch, wasteland2desertedel.cleared section of a bird cliff3[area (far out) at sea outside a fishing ground(mið)where, when fishing, one has no marks(ýti)ashore from which to take a bearing]4desert; síoyðimørk
oyða2	1lay waste, devastate, destroy, exterminate, extirpate, wipe out; oyðarottuna í oynniexterminate the rats on the island2squander, waste, dissipate; oyðaarvsquander/run through a legacy;oyða burturwaste/squander/dissipate one's capital;oyða tíðina burturwaste/fritter away one's time;oyða peningwaste money waste/squander/dissipate one's money; fritter away one's money;oyða uppsquander, waste;oyða útdeplete
oyðari	1spendthrift, waster, squanderer, prodigal;ein oyðari og ónyttaa wastrel2(herm.)destroyer
oyðdráp	wiping out by ruthless exploitation; annihilation
oyðdrepa	wipe out by ruthless exploitation; annihilate;verður lomvigin oyðdripin, so byggir fuglur aldrin aftur harif guillemots are wiped out in one particular place, they never build nests there again
oyðeta	(um dýr, of animals) eat up, devour
oyði	leggja í oyði lay waste, devastate, destroy, annihilate, ruin;staðurin verður lagdur í oyðithe town is going to be laid in ruins;tað var tað turra oyðithere was no fish to be caught
oyðiberg	cliff where no birds breed;av omanlopi er har nú oyðiberglandslide has made the bird cliff uninhabitable
oyðibygd	desertedel.abandoned village
oyðidrepa	síoyðdrepa;bara fá pláss í bjørgunum eru oyðidripinonly few places in the bird cliffs have been ruthlessly exploited
oyðifuglur	birds(bjargafuglur)which do not breed;aftan á ræningina kemur oyðifuglurin í bergiðwhen the season of collecting guillemots' eggs is over the birds which do not breed arrive at the bird cliffs
oyðigarður	abandonedel.deserted farm, derelict farm;oyðigarðarnir vóru nógvir í tali beint eftir svartadeyðathere were many deserted farms after the Black Death
oyðijørð	wasteland;monnum var loyvt at taka upp oyðijørðmen were allowed to cultivate wasteland
oyðiland	1wasteland, waste, wilderness; uninhabited land,tí fór eg í oyðilondthat is why I went to uninhabited lands2(um fólk, of people) spendthrift, waster, squanderer, prodigal, scattergood;eitt oyðilanda spendthrift
oyðilandsvætti	spendthrift, waster, squanderer, prodigal, scattergood
oyðilegging	1destruction(t.d.the destruction of a fleet//bridge; the destruction caused by the fire); wrecking(t.d.the wrecking of the bridge//of sby's hopes// of sby's plans); wreckage(t.d.when the fight was over he came to look at the wreckage); wreck(t.d.the wreck of his former happiness); ruin(t.d.that will be the ruin of the firm); undoing(t.d.that mistake was his undoing)2(serst.búskaparliga) ruination;(tlm.)smash, smash-up (t.d.faced with a financial smash-up)3(niðurríving) demolition4(týning) destruction, annihilation, wiping out(t.d.of an army)5(kollvelting) overthrow(t.d.of an empire)6(at leggja í oyði) devastation(t.d.of occupied territory)7(skaði) damage(t.d.the damage wrought by the floods); (ógvisligari) havoc(t.d.the havoc wrought by the fire//the troops);hava stóra oyðilegging við særcause great/heavy destruction; work/wreak/spread havoc(t.d.the army wrought havoc throughout the country)
oyðileggja	1destroy(t.d.a house; a ship; a town; sby's happiness; sby's peace of mind); wreck(t.d.his plans; his career); ruin(t.d.ruin his career; ruin him body and soul); mar(t.d.it marred her pleasure; sth that mars the picture); undo(t.d.he undid all the good his brother had done); shatter(t.d.shatter sby's dreams//ideals//illusions//nerves); be destructive of2(spilla) mar, spoil(t.d.don't spoil the fun; cook has spoilt the soup); ruin(t.d.it ruined the day for him; it ruined the whole performance)3(búskaparliga) ruin(t.d.these speculations ruined him; he ruined his father's business)4(bróta) smash, break(t.d.the child broke its new toy)5(taka niður) demolish(t.d.a bridge)6(beina fyri) destroy(t.d.destroy an army; all his letters were destroyed in the fire); annihilate, wipe out(t.d.an army)7(sorla sundur) ruin, shatter(t.d.the house was shattered by the bomb); lay in ruins; wreck(t.d.houses wrecked by the explosion); (við eldi) wreck; (um hús innan) gut(t.d.ten houses were completely gutted by the conflagration)8(esjael.máa burturav) eat away(t.d.acid eats away metal; the sea eats away the coastline)9(leggja í oyði) lay waste, devastate, ravage10(gera skaða á) spoil, damage(t.d.the books are damaged by sea water; the rain has damaged the roads); injure, do damage to(t.d.it did not do any damage to the cargo)
oyðilendi	desolateel.waste landscape, waste, wilderness, uncultivatedel.untilled land;velta oyðilenditill virginal soil
oyðimarkardýr	desert animal
oyðimarkargerð	desertification
oyðimarkargrøna	oasis
oyðimarkarkendur	desert(t.d.land, place); desert-like
oyðimarkaroyggj	oasis
oyðimarkarrennari	(fugl.)cream-coloured courser(Cursorius cursor)© Wikimedia Commons
oyðimarkarrevur	1(dýr.)fennec(Vulpes zerda)© Wikimedia Commons2(um týskan hermann í Norðurafrika í seinna heimsbardaga) desert fox
oyðimarkarrotta	(um bretskan hermann í Norðurafrika í seinna heimsbardaga) desert rat
oyðimarkarsandur	sands(flt)of the desert, desert sand
oyðimarkarvøkstur	(at oyðimerkur alsamt breiða seg) desertification
oyðimold	top soil which has not been dugel.tilled before
oyðimørk	desert
oyðin	desert(t.d.island); desolate(t.d.country); waste(t.d.land; tract; spaces); (manntómur) deserted(t.d.street); empty(t.d.street; spaces); (óbygdur) uninhabited(t.d.area; island); empty(t.d.large parts of Canada are still empty); (sum sær dapur út) desolate, lonely(t.d.moor);oydna Arabiadesert Arabia, Arabia deserta;liggja oyðinlie waste(t.d.the land lies waste); be deserted;oyðið plássa deserted place, a lonely spot;jørðin var oyðin og tóm (bibl.)the earth was without form and void;bergið er oyðið við fuglno birds nest in the bird cliff;húsini eru oyðinthe house is//the houses are deserted
oyðing	the act of destruction, devastation; oyðingJerúsalems (sø.)the destruction of Jerusalem;vit frætta um orrusturnar og oyðingarnarwe hear about the battles and the destructions
oyðingarhugur	destructiveness, destructive urge;hann var fullur av oyðingarhugihe was full of destructive urge
oyðingarverk	work of destruction(t.d.he carried the work of destruction a step further); havoc;stormurin framdi sítt oyðingarverk við sama lagthe storm continued unabated to wreak havoc
oyðini	(skaldsk.)empty, deserted;í oyðini høllin the deserted/empty hall
oyðioyggj	desert island
oyðipallur	[small ledge in a bird cliff uninhabited by birds]
oyðipláss	desert(ed) place;hann skuldi fáa oyðiplássið at blómahe would make the desert place prosper
oyðirók	[uninhabited ledge in a bird cliff]
oyðisandur	sandy desert
oyðiskógur	desolateel.deserted woodel.forest, uninhabited stretch of woodel.forest;so langt eygað rakk, sást ikki annað enn oyðiskógurthere was nothing to see but uninhabited stretches of wood for as far as (the) eye could reach/see
oyðiskrápur	1Manx shearwater with no young2(term of abuse) barren personel.animal
oyðistaður	(bíbl.)desert(ed) place
oyðistrond	desolateel.deserted beach;leggja at á onkrari oyðistrondcall at a deserted beach
oyðisúla	(dýr.)four-year old gannet
oyðmarkarbúgvi	desert-dweller
oyðræna	1collect ruthlessly too many guillemot eggs2plunder, pillage, rob of everything
oyðsl	1wastefulness, extravagance, squandering, wasteful practices(flt),prodigality, thriftlessness2extravagant, wastefulel.prodigal person, spendthrift, squanderer, waster;eitt oyðsla squanderer
oyðsla1	(um konufólk, of women) spendthrift, squanderer, waster;hon er eingin oyðslashe is not a squanderer
oyðsla2	be wasteful, be extravagant, be thriftless;oyðsla burturwaste, squander, dissipate(t.d.one's energy//money//time); (í smáum) fritter away;oyðsla við nøkrumwaste sth(t.d.we cannot afford to waste coal);(fl.m.)be prodigal/unsparing of sth(t.d.one's talents)(GG:lavish one's praise on sby);vit kunnu ikki oyðsla við títhere is nothing to spare
oyðslan	wasteful practices(flt),wastefulness, extravagance, prodigality, thriftlessness
oyðslari	spendthrift, waster, squanderer, prodigal
oyðslusamur	síoyðslutur
oyðslusemi	(at vera oyðslutur) wastefulness, extravagance, prodigality, thriftlessness; (at brúka nógvan pening) unsparingness, lavishness
oyðslutur	1wasteful(t.d.administration; expenditure; person); extravagant, prodigal, thriftless, spendthrift, uneconomic(al)2(sum brúkar nógvan pening) unsparing, lavish, unstinting, unstinted;vera oyðslutur við e-mmake unsparing/lavish/unstinted use of sth, use sth unsparingly/unstintingly;(eis.)prodigal/unsparing of sth(t.d.money; praise); lavish with sth;vera oyðslutur við pengum (eis.)be lavish, spend lavishly/recklessly; be thriftless;(tlm.)be a big spender, throw one's money about; (sløða burtur í smáum) fritter away one's money
oyðublað	(printed) form, application form;(am.)blank;ognaruppgerðin er eitt oyðublaðthe property statement is a (printed) form
oyðuleið	outer(most) fishing area, síoyða13;teir róðu út á ytstu havmið ella oyðuleiðirthey went out fishing to the outermost fishing grounds
oyðustólpa	(fugl.)desert wheatear (Oenanthe deserti)
oygdur	íosb. væl//illa oygdurwho sees well//badly
oyggj	1island;á oynnion top ofel.on the surface of the island;hann á oynna til Havnarhe (immediately) went over the mountains to Tórshavn;tvær bygdir eru í oynnithere are two villages on the island;vera burtur í oyggjbe on another island; not be on one's home island;løgið at hann skuldi av oyggj at fáa sær konustrange that he had to leave the island to find a wife;oyggjanna millumbetween the islands;undir oynni(on the sea) at the foot of the (island's) rock wall (bird cliff);teir róðu runt um oynnathey rowed around the island2an island's population;øll oyggin komall the inhabitants of the island turned up3(fl.m.)(of a large, strong woman) mountain of a woman;hon var tjúkk sum ein oyggjshe was a mountain of a woman4(ným.)(street) refuge, street island
oyggjaflokkur	groupel.cluster of islands; archipelago;lítil oyggjaflokkura small group of islands
oyggjafólk	islanders(espFaroepeople); island people, islanders(flt)
oyggjagleiv	(skemt., speis.)one who travels a lot (within the Faroes)
oyggjagróður	(plfr.)insular flora
oyggjahav	(landafr.)archipelago;grikska oyggjahaviðthe Grecian Archipelago
oyggjaland	island country, country of islands;Føroyar eru oyggjalandthe Faroes are an island country
oyggjaleikir	Island Games
oyggjarbrúdleyp	[wedding to which all the inhabitants of the island are invited]
oyggjarendi	end of an island;sjóvarilskan við oyggjarendarnar gjørdist ov stór fyri opnar bátarthe sea was too rough for open boats to venture north//south of the ends of the island
oyggjaríki	island state
oyggjarmaður	man from the same island as oneself;vit eru oyggjarmennwe come from the same island
oyggjarnavn	name of an island
oyggjarskeggi	islander
oyggjaveðurlag	(landafr.)insular climate, island climate
oygla	look (at sth) with greedyel.covetous eyes, look greedilyel.covetously at, cast covetous eyes on; oyglaeitt burtur frá e-mgaze covetously at someone's possession
Oyndarfjørður	(stn.)village on the island of Eysturoy;í//úr Oyndarfirðiat//from (the village of) Oyndarfjørður;til Oyndarfjarðarto (the village of) Oyndarfjørður
oyndfirðingur	person from (the village of) Oyndarfjørður
oyra1	síoyri1
oyra2	1(likam.)ear;góð oyruhave good ears;ring oyrube hard of hearing;stór oyrularge ears;læna/lána e-m oyralisten to sby, lend sby a willing ear;lurta við hálvum oyralisten with one ear;hava oyra við (e-m)pay attention to sth;hav eitt oyra við teimum, meðan teir spæla í kjallaranumlook after them (the boys) while they are playing in the basement;har sum einki er fyri oyrað annað enn spógvaláta place where nothing but the curlew's song disturbs the peace;leggja e-t fyri oyruni á e-mlet sby hear sth;berast e-m fyri oyrulearn about sth;hann er í skuld upp um bæði oyruhe is up to his neck in debt, he is deep in debt;halda í oyruni á e-m(syrgja fyri at ein tekur sær um reiggj) keep sby up to scratch, keep sby up to the mark; (syrgja fyri at ein er lýðin) keep sby in order, make sby toe the line;liggja í oyrunum (á e-m)constantly remind sby of sth;hon lá í oyrunum á honum, at hann mátti vera ein góður og lýðin smádrongurshe constantly reminded him of the fact that he must be a good and dutiful little boy;(tilt.) tað svíður ikki at hjartanum, ið oyrað ikki hoyrirwhat you don't know cannot hurt you;munnurin aftur at oyrunumboast of, brag of/about;(orðt.) tunn eru móður oyraa mother always senses when something is wrong with her child;lava við oyrunum/lava oyrunihang one's head, be down in the mouth, look a bit sorry for oneself;flóna um oyruniget the wind up;geva e-m ein undir oyraðbox sby's ears;lýða/lýtta e-m (e-t) í oyraðwhisper sth(t.d.a word) to sby;stinga e-m e-t í oyraconfide a secret to sby;hava kálvaoyruhave protruding ears, have jug ears;lavandi oyrupendulous/hanging ears;hava long oyrube long-eared;innoyrathe internal ear;útoyrathe external ear;(lækn.)pinna2hearing;hava oyra fyritónleiki have a good ear, have an ear for music;tað var komið fyri oyruni á teimumthey had heard rumours of (sth);fyri alla manna oyrumpublicly3ear, lug
oyra3	11/100 of a króna2coin,upp á oyraðprecisely, quite correct, exactly;roknskapurin stemmar upp á oyraðthe accounts are correct to the last penny;hann eigur ikki eitt klovið oyrahe hasn't (got) a halfpenny/penny/bean/red cent; he hasn't a halfpenny to bless himself with/to his name/in the world, he hasn't two pennies to rub together
oyrabein	(likam.)ossicles of the ear, otic bones
oyrabrósk	(likam.)cartilage of the ear
oyrafika	boxel.clip on the ear, cuff, thick ear, clout on the head; smackel.slap in the face;geva e-m e-a oyrafikubox sby's ears, cuff sby, clout sby, smack/slap sby's face, catch/give sby a box on the ear
oyrahol	(likam.)opening of the auditory meatus
oyraklaffur	(oyrnavarmari) earmuff; (á húgvu) ear flap
oyralepi	síoyrnalepi
oyralippa	(likam.)ear lobe, lobe of the ear
oyralokkur	ear drop, ear pendant
oyralust	1opening of the auditory meatus2(on sheep's head) the fat meat around the ear3the rootel.bottom part of an ear which has been cut off
oyraproppur	1earplug2accumulationel.plug of cerumen
oyrarákakertil	(likam.)parotid (gland);bruni í oyrarákakertlinum (lækn.)parotitis
oyrarmaður	1man from the village of Oyri (on the island of Eysturoy)2(stb.)man from the village of Norðoyri (on the island of Borðoy)3(stb.)man from the village of Norðdepil (on the island of Borðoy)
Oyrarsund	the Sound, Oresund(t.d.the Oresund Bridge)
oyraskógvur	(sj., gl.)shoe with buckle
oyrasnippur	ear lobe, lobe of the ear
oyratelefon	headphones
oyratøppur	earpiece
oyravaks	earwax;(lækn.)cerumen
oyravøddi	(likam.)muscle of the ear
Oyri1	village on the island of Eysturoy;á//av Oyriat//from (the village of) Oyri;til Oyrarto (the village of) Oyri
oyri2	(sø.)coin (1/8 mørk)
oyri3	flat sandy area along the beachel.(sea)shore; low sandy spitel.tongue of land
oyring	(handv.)[the end of a cross-beam rabbetted down into the main beam]
-oyringur	sístand-
oyrlittur	(seyðal.)with ears of a different colour (of sheep)
oyrnabruni	inflammation of the ear;(lækn.)otitis
oyrnadropar	(lækn.)ear drops(flt)
oyrnagull	(bíbl.)ear ornaments(flt),ear-drops(flt)
oyrnahár	hair in the ears
oyrnahol	(likam.)síoyrahol
oyrnalepi	(likam.)the external ear
oyrnaleysur	1earless2deaf, hard of hearing;ljóðið í honum vekur undran hjá øllum, sum eru ikki oyrnaleyspeople who hear his singing are filled with wonder
oyrnalippa	síoyralippa
oyrnalittur	(seyðal.)with different coloured ears (of sheep)
oyrnalokkur	ear drop, ear pendant
oyrnalust	1opening of the auditory meatus2(on sheep's head) the fat meat around the ear3the rootel.bottom part of an ear which has been cut off
oyrnalækni	(lækn.)ear specialist, otologist;oyrna-, nasa- og hálslækniear, nose and throat specialist(st.ENT specialist); otorhinolaryngologist
oyrnamørur	(á seyði, on sheep) fat meat around the ear
oyrnanálaviðgerð	ear acupuncture
oyrnaringur	ear-ring
oyrnarust	(á neyti) [the area around the ear of a cow]
oyrnasjóðan	buzzing in the ears;(lækn.)tinnitus
oyrnasjúka	(lækn.)disease of the ear;lærubók í oyrna-, nasa- og hálssjúkumtextbook of otorhinolaryngology(GG:an ear, nose and throat hospital)
oyrnaspegil	otoscope
oyrnastingir	earache;(lækn.)otalgia;hava oyrnastingirhave (an) earache;miðal fyri oyrnastingir (lækn.)otalgic
oyrnastykki	síoyrnarust
oyrnavaks	(lækn.)síoyravaks
oyrnavágur	(lækn.)discharge from the ear, otorrhea, aural discharge
oyrnaverja	earmuff, ear defender; earcap
oyrnavernd	(lækn.)earmuff, ear defender; earcap
oyrnavitni	earwitness
-oyrt	símis-
oys	(at vísa harm, undrano.tíl.)Jesus!, o my God!; really?; indeed?; is that so?;oys, hvat er hent?oh Jesus, what has happened?
oysa1	ladle
oysa2	1scoop(t.d.scoop out water),(sigl.)bail, bale; oysabát(in)bale a boat;oysa bát uppbale a boat (out);oysa uppúrladle out(t.d.the soup), dish up2pour (down);regnið oysti niðurit was pouring down,it was pouring with rain;oysa (ein) undirpour water over sby, drench sby with water;oysa e-n undir (eis.)overwhelm/load sby with sth(t.d.with abuse//favours//presents//reproofs); heap/shower sth on sby(t.d.heap honours//favours on sby); shower favours//honours//invitations//presents on sby(GG:the teacher was besieged with questions);oysa (e-n) undir í ókvæmisorðumoverwhelm sby with abusive language;oysandi regnpouring rain, heavy rain; (ógvisligari) torrential rain3oysa útwaste, squander, dissipate;oysa út pengardissipate one's money4(um ross, of a horse) lash out, kick out;rossið oystithe horse was kicking out5scold;hon fór upp at oysa um skarnsungarnarshe fell in a frenzy of abuse over the blasted children
oysari	síoysa1
oysing	bailing;helst hava gingið fleiri tímar við pumping og oysingthey had no doubt spent several hours on bailing and pumping
oysregn	pouring rain, heavy rain; (ógvisligari) torrential rain;í oysregni og stormiin torrential rain and storm
oysregna	be pouring down, be pouring with rain, be raining/coming down cats and dogs, be raining in torrents/sheets/buckets
o.ø.	(st.)and others, and other things
