r	h (málfr.)consonant,/ær:/
rubbisnar	(stb.)loop which is tightenedel.drawn tight
rubbutur	rough, uneven
rubil	(bú.)rouble
rubinur	(gimsteinur) ruby
rudd	clearing;eitt rudd í skóginuma clearing in the forest
-rudd	síoman-,ó-
rudda	1clear, make tidy;húsini vóru bæði rein og ruddaðthe house was both clean and tidy;rudda upptidy up(t.d.we must tidy up after ourselves);rudda jørðclear the land (for cultivation)2remove, wipe out; ruddaburturremove;brimið hevur ruddað nógv grót burturthe surf has removed many boulders;rudda útwipe out;bygdin ruddaðist út av sóttinithe village was wiped out by the plague
ruddi	síryðja,riða
ruddiliga	completely, entirely, totally, wholly; easily;hann vann so ruddiligahe pulverized him, he wiped/mopped the floor with him;teir taptu so ruddiligathey were pulverized, they suffered a shattering/crushing defeat;hann hevur tað ruddiliga uppiboriðit is only what is due to him;bandið var so langt, at tað ruddiliga rakk um hálsin á kúnnithe cord was so long that it fitted easily round the neck of the cow
ruddiligur	1tidy, orderly(t.d.desk; room);stovan var ruddiligthe drawing room was tidy;heitt og ruddiligt var innithe room was warm and tidy2reliable, honest; careful, painstaking, orderly, thorough;hann var ruddiligur í øllum sínum verkihe was always painstaking in his work;hon er eitt ruddiligt fólk í øllum lutum (eis.)she has a tender conscience3undoubted, definite, convincing (victory);hann vann ein ruddiligan sigurhe won convincingly;tað er so ruddiligt(tað er so greitt við tí) it is so obvious,(eis.)that's all there is to it
rudding	tidying-up, clear-out(t.d.I must give the attic a clear-out)
ruddingararbeiði	clearing operations; tidying-up operations; demolition (work)
ruddingur	(stb.)sírudningur
rudningur	strong surf (which has altered the coastline)
rudstaður	clearing(t.d.in a forest)
ruða	(stb.)scandalmonger, gossipmonger, chatternagger; (tíðum) (old) cat, bitch
ruðast	(stb.)gossip, talk scandal,(tlm.)tittle-tattle
ruðukeil	(stb.)gossip, gossipmonger, talebearer
ruðuleiki	confusion, hubbub, jumble, chaos, mess;alt var í einum ruðuleikaeverything was in confusion/in a state of chaos, (tlm.)everything was in a complete mess, everything was at sixes and sevens
ruður1	(sj.)sírunnur
ruður2	(sj.)gossip, tittle-tattle; ruðurog slaturgossip
ruðuvasi	síruðuleiki,hurlivasi
ruðvelt	(stb.) tað var ruðvelt í brimithe breakers were very heavy
ruff1	(stb.)síruffur
ruff2	(sigl.)deckhouse; doghouse; poop; (kahútsruff) companion hatch
ruffa	(stb.)scrape money together, feather one's nest
ruffari	(stb.)money-grubber
ruffisligur	(stb.)untiedly dressed;hon fór so ruffislig av stað í morgunshe was untiedly dresses when she left this morning
ruffur	1bungler, muddler, one who is too violent and clumsy (at workorplay)2evil, destructive person, scoundrel
ruffutur	1(um klædnaburð) disorderly, disarranged, slovenly, untidy;hví gongur tú so ruffutur?why are you so untiedly dressed?2(illgerin) slovenly, slapdash, skimped, botched
rufla	make uneven, ruffle;eitt lot ruflaði blanka havspegilina light breeze ruffled the smooth surface of the sea
ruflutur	uneven(t.d.board; edge; line; paper; surface), rough(t.d.edge; outline; paper; skin); bumpy(t.d.tennis court; road; landing ground)
rugakur	(landb.)rye field
rugbreyð	1rye bread;eitt rugbreyða rye loaf2(ným., tlm.)minibus
rugbreyðsflís	slice of rye bread
rugdrýlur	unleavened rye bread
rugflís	(stb.)sírugbreyðsflís
rugga	1rock, (while sitting) rock;rugga í ruggustólirock in a rocking-chair;tonnin ruggarthe tooth is loose2walk slowly, waddle;æðan ruggar sær niðan í fjøllthe (common) eider waddles up the mountain;gásin kom ruggandi eftir gólvinumthe goose came waddling along the floor;(tilt.) tað ruggar ikki rættthere is trouble/something in the wind, something is afoot, there is some mischief brewing; there is more in this than meets the eye; (ein fellao.tíl.)there is a catch in it somewhere3lull, rock(t.d.rock a child in one's arms); ruggabarnilull a child to sleep;rugga samvitskuna í blund (fl.m.)suppress one's conscience, stifle the voice of one's conscience
ruggreytur	rye meal porridge
rugguhestur	rocking horse
ruggustólur	rocking chair, rocker
rugkorn	grain of rye
rugkornsdrýlur	sírugdrýlur
rugkornstunna	sírugtunna
rugmjøl	rye flour
rugosarósa	(plfr.)sweet briar(Rosa rugosa)
rugtunna	(gl.)barrel of rye
rugur	1(plfr.)rye(Secale cereale)2rye floorel.grain of rye
rukka1	1fold, wrinkle, (í ryktum plaggi) gather(ing); (í húð) wrinkle, line; (djúp) furrow, (sum kemur av at brosa) pucker;húðin á áarrossi liggur í rukkum og foyrumthe skin of a hippopotamus lies in wrinkles and folds;klæðini eru tær beru rukkurthe clothes are full of wrinkles;hosurnar liggja í rukkum niður eftir legginumthe stockings are wrinkled, the stockings are coming down;seta rukkur í brýrpucker/knit/wrinkle one's brows; (illur) frown, scowl; (hugsanarsamur) knit one's brows2fool;hann gongur sum ein rukkathey always poke fun at him;tín rukka!you fool!3someone who is the butt of sby's jokes, someone who is a butt for sby's jokes;hava e-n til rukkupull sby's leg
rukka2	1wrinkle, make wrinklesel.folds in sth; curl, crumple up;hosurnar rukkaðust niðri við øklarthe stockings had come down;hon rukkaði brævið samanshe crumpled up the letter;rukka brýrfrown/scowl2whimper, cry a little, (um pinkubørn, of babies) cry, wail;eitt lá og rukkaði í vøggunia baby was crying in the cradle;nú rukkar lítla barnið hjá mærmy little child is whimpering
rukkola	(plfr.) rucola
rukku	sírøkka
rukkublikk	corrugated iron
rukkujarn	sírukkublikk
rukkukendur	rather foolish
rukkukoyring	reckless driving (typically said of youth partying in a car drinking and driving)
rukkulakki	(lívfr.)third stomach in ruminants
rukkulív	1loose living2tiring and miserable conditions (of life)
rukkupapp	(til innballingar) corrugated paper, corrugated cardboard
rukkusøga	(uml.)[story about the wise men of Gotham]
rukkutari	(plfr.)sugar kelp, broadleaf kelp (Laminaria saccharina); eis.sukurtari
rukkutur	wrinkled, creased;(plfr.)rugose, ruminate;klæðini eru rukkutthe clothes are creased;rukkutur í andlitia wrinkled/wrinkly/lined/puckered face;nú eri eg gamal og rukkuturI am now old and wrinkled;rukkutur og skrukkuturshrivelled
rukkuveitsla	wingding
rulka	put down in an untidy fashion; crumple; rulkaikki klæðinidon't crease the clothes
rulkatroyggja	(stb.)síposatroyggja
rulkur	1bundled up; something which is rolled, wrappedel.twisted up in an untidy way;hálsklúturin í rulkithe muffler is tangled;hetta er komið upp í rulkthis has got into an untidy bundleel.knot2(small) stout personoranimal3unorganized crowd of people; clutter (of houses);húsini í bygdini standa í einum rulkithe village is a tangle of houses;skipini lógu í einum rulki á firðinumthe ships lay higgledy piggledy in the fiord
rulkutur	1untidy and rumpled;lat meg hampa teg, tú sært mær so rulkutur útlet me tidy you up, you look rather rumpled2rough (and coarse), creased, crumpled
rull	1roll(ing);fara á rullbegin to roll;tunnan fór á rull oman gjøgnum brekkunathe barrel began to roll down the hill;teir tóku stórar steinar og settu á rullthey fetched large stones and rolled them downhill2roll, (toy) roll, bolt; (tog,o.tíl.)coil; (tubbak) twist;eitt rull av tubbakia plug/twist;skrárulla twist of chewing tobacco;eitt rull av tapetia roll of wallpaper3roll, rolling;tað var alda og rull í sjónumthere were waves and the sea was rough;í tungum rulliin rough sea;vit komu út í rulliðwe came out ito the rough sea; síeis.rulla1
rulla1	1(sigl.)scrubber; sílínurulla2(sylindari, valsur) roll, roller, cylinder3(at vevja e-t um) reel, spool, bobbin4(til film) spool; (við upptiknum filmi,t.d.at vísa) reel;(lmynd. eis.)roll (of film)5(leidningssrulla, induktiónsrulla ogteld)coil6(toyrulla) mangle7(bókb.:stempul) roll8(e-t ið er samanrullað) roll; (klæði) roll, bolt; (togo.tíl.)coil; (matgerð) roll; (við myntum) roll; (pappírsrulla, handrit) scroll(t.d.the Dead Sea scrolls)9(hárrulla) roller, curler10(sj.)sírolla1; síeis.rull
rulla2	1roll;(serst.spakuliga) trundle; (um aldur) roll;annan páskadag er siður at rulla eggtraditionally children roll eggs on Easter Monday;rulla kavaknettiroll a (large) snowball;teir rullaðu ammurthey trundled large casks;rundir steinar rulla bestround stones roll best2roll up;við svintunum rullaðum upp í rulkthey had rolled up their aprons into bundles;dýrið rullar seg samanthe animal curled up, the animal rolled itself up/into a ball3(slætta) calender, press, roll, (skitnatoy) mangle4(við køkurullu) roll (out), flatten out5(vinda, surra) roll, reel, wind6(koyra) roll, wheel, drive(t.d.coaches rolled past all day)7(sigl.)roll;sluppin rullaði sum ein fliðuskelthe smack rolled like a cockleshell8(Sræna frá) roll;hann varð rullaðurhe was rolled
rullibukka	(speis.)vessel which rolls badly
rullifjøl	(ítr.)skateboard
rullistartur	push starting, bump starting, clutch starting
rullistólur	wheel chair
rullitrappa	escalator
rullkjølur	(sigl.)bilge keel
rullugardina	(roller) blind;(am. eis.)shade
rullukøka	jam roll, Swiss roll
rulluportur	cattle grid
rullupylsa	rolled seasoned meat [kind of sausage made of rolled mutton]
rullupylsupressa	press (forrullupylsa)
rulluskoyta1	(ítr.)roller skate
rulluskoyta2	roller-skate
rullustempul	(bókab.)roll
rullutur	(um sjógv, of sea) rough;tað er rullut í sjónumthe sea is rough, a heavy swell is running
rumbla	1rumble;tað rumblar í búkinummy stomach,(tlm.)my tummy is rumbling2be doing sth, be busyel.occupied with sth;teir hava tað at rumbla viðthey are oocupied with it
rumbul	1uproar, turmoil; agitation, disturbance, unrest, trouble, riot(s);(kvæð.) har var rumbul á tinginumthe parliament was in turmoil2roughness in the sea; rumbulí sjónumthe sea is rough, a heavy swell is running
rumbulsbløð	rumbulsbløðini yellow papers, gutter papers, sensational press, stunt press; sígølublað
rumbulsfundur	tumultuousel.disorderlyel.rowdy meeting
rumbulsskriving	sensation mongering, yellow journalism
rumdi	sírymja
rumeni	Romanian, Rumanian, Roumanian
Rumenia	(sern., landafr.)Romania, Rumania, Roumania
rumenskur	Romanian, Rumanian, Roumanian
rumla	clatter, rattle, rumble, lumber;skotini tey skulu í homrunum rumlagunfire is going to rumble/roll in the mountains;tað rumlar í búkinummy stomach,(tlm.)my tummy is rumbling
rumlifoyrur	(á akvegi) rumble strips
rumma	(sj.)hava nógv at rumma við have an abundance of everything
rummalareiggj	1fuss, hubbub, turmoil2disorder
rummiska	generosity, liberality, munificence, open-handedness;eg við tíni rummisku aldri sat við sviðusoðyou being so generous had the result that I was never left with nothing
rummiskheit	(tlm.)sírummiska
rummiskur	generous, liberal, open-handed, bountiful, munificent, free with one's money; wasteful; extravagant, prodigal, thriftless, spendthrift, uneconomic(al); rummiskurvið peningigenerous with one's money;kokkurin kundi ætlað rummiskari til síðsta sunnudagin á túrinumthe cook's portions were often more generous on the last Sunday of a fishing trip
rumpa	backside, behind, buttocks(flt);rump;(tlm.)bottom, bum
rumpari	(óvand.)bugger
rumpugráur	(seyðal.)grey on the rump (of sheep)
rumpuhol	(barnam.)arsehole, anus
rumpuhvítur	1(seyðal.)white on the rump (of sheep)2(kvæð.)white on the haunches;Rudis hann átti ein rumpuhvítan hestRudis had a horse which had white haunches
rumpulitaður	(seyðal., stb.)sírumpulittur
rumpulittur	(seyðal.)[with diverging dark colour on the rump] (of sheep)
rumpumorreyður	(seyðal.)[with brownish colour on the rump] (of sheep)
rumpur	(stb.)íosb. loypa rumpur á/í (e-t)hurt, damage, bring bad luck to sth(espin fishing);nem ikki við loddið, tú kanst loypa rumpur á taðdon't touch the sinker you may cause it to suffer bad luck
rumpustell	(stb.)sírumpusteyri
rumpusteyri	(barnam., skemt.)behind,bum
rumpustumpur	(barnam.)behind, bum
rumpustykki	(barnam.)behind, bum
rumpusvartur	(seyðal.)black on the rump (of sheep)
rumsa	rumsa/rumsast be noisy, make a noiseel.a dino.tíl.; hundurin rumsaðist í kovanumthe dog made a noise in the larder;hann hoyrdi, at onkur rumsaðist innanfyrihe could heard a faint noise inside the house;rumsa/rumsast við1move, stir (in sleep)2(fl.m.)be aware of the situation;(eis. t.d.)the scales fell from my eyes
rumsla	be noisy, make a noiseel.a din
run	1small gentle waves, slight surf;tað er run í sjónumthe sea is slightly ruffled2(stb.)quarrel, bickering, dispute;eg kenni sovorðið run uttan um megpeople around me are bickering
runa1	mud, mire
runa2	(um sjógv, of the sea) ripple, splash, lap, break upon the beach and wash back;tað hevði hug at runa við bergiðthere is some surf at the foot of the cliff;(stb.) runa útbe carried away (by surf);tá ið vindurin er eystaneftir, runar sandurin útwhen the wind is easterly sand (of the beach) is carried away
runan	(stb.)sírun
runast	get dirtyel.dirty oneself by handling sth which is dirty;her kann barnið runast, sum tað vilhere the child may dirty itself as much as it likes
Runavík	town in the island of Eysturoy;í//úr Runavíkin//from (the town of) Rúnavík;til Runavíkarto (the town of) Rúnavík
runda	1make round, round off; shape into sth round;runda varrarnar (ljóðfr.)labialize2round, double(t.d.a cape);vit rundaðu Hvarviðwe rounded Cape Farewell3runda (fara um) be past;hann hevur rundað tey fimmtihe is past fifty4(stfr.)round off an amount;runda uppeftirround up;runda tað til 100round it off to 100
rundan	íosb. rundan umround about, on all sides, around
rundanum	round about, on all sides, around
rundballa	(hoygoymsla) bale of hay
rundbinding	circular knitting
rundbogaður	(byggil.)with round arches, round;vindeyguni eru rundbogaðthe windows have round arches
rundbogahválv	(byggil.)round vault
rundbogastílur	(byggil.)Romanesque style; (íOngl. vanl.)Norman (style);í rundbogastíliRomanesque, Norman
rundbogavindeyga	(byggil.)Romanesqueel.Norman window
rundbogi	(byggil.)round arch; (íOngl.tíðum) Norman arch
rundbóltur	(ítr.)rounders
rundbundin	circular knitted(t.d.stocking)
rundbygdur	(bát., of boat)with rounded bottom
rundbøllingur	round stone
rundbøllutur	1round, roundish;(stn.) Rundbølluti Heyggjur2rolled up,hann fór so rundbøllutur stiklandi omaneftirrolled up like a ball he went bumping down the hill
runddorg	paternoster (line);dyrgja við runddorgtroll for coalfish with a paternoster (line)
rundferð	1round trip;(sigl.)round voyage2(oljuv.)round trip
rundferðarferðaseðil	circularel.round (trip) ticket, tourist ticket
rundføttur	with rounded balls of the feet (said of sby who easily misses his footing)
rundholtur	(sigl.)spar(tdræir, bummar og gaflar)
rundhús	(sø.;sethús) roundhouse
rundhøvd	(sø.)Roundhead
rundingur	rounding, circle, ring;báturin varð rógvin tríggjar ferðir í runding við sólinithe boat was rowed three times round with the sun;dúgvan fór á flog í smáum rundingum, hægri og hægri fyri hvønn teirrathe pidgeon flew upwards in small circles, higher and higher for each circle
rundkoyring	(traffic) roundabout;(am.)traffic circle
rundkykna	(lívfr.)round cell
rundkyrkja	(byggl.)round church
rundleittur	round, rounded, plump, round-cheeked, chubby(t.d.arm, body, cheek, chin);eru fá í dansi, verður ringurin rundur ella rundleitturthe form of a chain dance is round or roundish if there are few dancers;at jarðarkringurin var rundleittur, tað sástit could be seen that the face of the earth was circular;hin rundleitta æðubøganthe chubby female eider;andlitið var eisini rundleittthe face was roundish too
rundligur	round, rounded, plump, chubby; roundish;ein lítil, rundlig og sera fryntlig konaa small, plump and very amiable woman
rundmyntur	(dýr.) tey rundmyntucyclostomes
rundovnur	round oven; round kiln; rundovnurí stovunia round oven in the sitting room
rundsag	circular saw,(am.)buzz saw
rundsagarblað	circular saw blade
rundsalta	strew salt on (fishorbird) without having cleaned the fish or drawn the birds;rundsalta sildstrew salt on herring (which has neither been split nor cut open)
rundsettur	(prent.)rundsettur satsur run-on
rundskáli	(byggl.)rotunda
rundskriv	circular letter, circular;rundskriv frá ráðharrastovugovernment circular, departmental circular;senda limunum rundskriv (eis.)circularize the members
rundstokkur	1pole, round stick2(handarb.)circular (knitting) needle
rundstykki	roll
rundtentur	(plfr.)(um blaðrond) crenate
rundtræ	spar
rundtæring	(jarðfr.)spheroidal wheatering
rundtørn	(sigl.)round turn (leggja enda einar, tvær tríggjar ferðir umt.d.hæl)
rundur	1(klingrutur) round(t.d.face; hole; hoop; table; window); circular2(kúlurundur) ball-shaped, round(t.d.apple, ball, earth); spherical(t.d.balloon; buoy; mirror); globular; (strokkskapaður) round, cylindrical3(hyldligur) round, rounded, plump, chubby(t.d.arm; body; cheek; chin)4(øvut rættur) round(t.d.shoulders; back)5(tal) round(t.dfigure; number; sum)6(ljóðfr.)rounded, labialized7(byggil.um bogar) round8[íyms.samb.]runt talround figure;rundur á hondinigenerous, liberal, open-handed, bountiful, munificent, free with one's money;(tilt.) mangur lovar runt, men heldur tunt[a promise is more easily given than kept], promises are like piecrusts, made to be broken9[sumhj]runt;sveimar um allan bøin runtruns about the infield
rundvaksin	round, rounded, with a rounded shape;kroppurin á kópi er rundvaksinthe body of a seal has a rounded shape;steinurin er rundvaksin og sleipinthe stone is roundish and slippery
rundveltur	in a mess, which is all over the place(t.d.the furniture is all over the place), higgledy-piggledy(t.d.the books were piled higgledy-piggledy on the floor)
rundvæðing	(sjónl.)cyclorama
runga1	(stb.)sírungur
runga2	1ring, resound, peal (out); re-echo, reverberate (with); boom, bong;hann kvað, so at tað rungaði eftiríthe room resounded with his singing the ballad2(stb.)criticize, find fault with;hatta rungar altíð um okkurtthere is nothing he//she doesn't find fault with
rungur	bump; rungurá nøsinihave a bump on the ridge of one's nose
rungutur	with a bump on the ridge of the nose
-runi	sísam-,upp-,út-
runi1	(kvæð.)sígøltur
runi2	(jarðfr.)lava (flowingorsolid); sígrótbræðing
runing	(stb.)sírun
runkur	(sj.)outgrowth on a fracture which has set
runnabláber	(plfr.)bog whortleberry(Vaccinium uliginosum)
runnabládepla	(plfr.)rock speedwell(Veronica fruticans)
runnagirðing	(quickset) hedge, hedgerow, quickset
runnaskógur	(bíbl.)underwood, scrub, brush
runnastik	sírunnagirðing
runnatyssi	scrub, boscage, brush; (tætt) thicket
runnin	sírenna2
runnu	sírenna2
runnur	1(plfr.)bush, shrub;berjarunnurfruit bush;tornarunnurthornbush2(kvæð., sj.)stem, trunk, bole;sjaldan hevur góður kvistur sprottið av illum runnilike father, like son; he//she is a chip off the old block;(skaldsk.) hon er sprottin av góðum runnishe is of good family3(lækn.)swelling, node;tá ið beinstubbarnir eru um at renna saman, kennist runnur um brotiða swelling can be felt around the fracture when the bone fragments have begun to grow together4(sj.,í viði) knot5(sj.)bump (on the ridge of the nose)
runs	(stb.)row, rumpus, hullabaloo;tá ið hetta runsið er avwhen this row is over
Runsival	1(stn., kvæð.) Roncevaux;Runsivalsstríðiðthe Battle of Roncevaux (778)2(fl.m.) great disorder, confusionel.hullabaloo, pandemonium, havoc;sum í Runsivaliin great disorder
runt	round, about, around;teir róðu runt um oynnathey sailed round the island
runubað	(lækn.)mud bath
runublak	1dirtormud made into into a ball (and thrown at each other by boys in play)2(fl.m.)mudslinging, mud-throwing;teir tveitast við runubløkumthey have resorted to mudslinging
runubloti	mud, mire;túnið er ein runublotithe place between the houses is a mire
runudálkaður	soiled by mud
runudíki	mud, mire
runukaka	(spæl.)mud pie;baka runukakurbake mud pies (form them and have them baked by the sun)
runumubbur	(stb.)sítøðhólkur
runutur	muddy, soiled by mud;runutar gøturmuddy streets
runuvatn	muddy water
runuveit	muddy ditch
rupa	(dýr.)síkongalús
rupl	roughness in the sea; ruplí sjónumroughness in the sea
rupla	tear atel.stir sth; make a mess (of things), mess about;tú ruplar alt umyou are making a mess of things;tá ið okkurt epli lá omaná, bað mamma okkum rupla í pottinumwhen a potato lay bare in the pot mother used to ask us to stir the pot
ruplaligur	rough;tað verður nakað ruplaligt um fjørðinthe sailing across the fiord is going to be rather rough
ruplutur	(um sjógv, of sea) rough; ruplutursjógvurrough sea;ruplut í sjónumthe sea is rough
rupul	roughness in the sea; rupulí sjónumroughness in the sea
rura	1lull to sleep; rurae-n í svøvn/blundlull sby to sleep;rura fyri e-mlull to sleep;hond, ið rurar, hond, ið ræðurthe hand that rocks the cradle rules the world2rock;títt leika stokkarnir, meðan hon rurar aftur og fram í stólinumshe knits fast while rocking in the chair
ruran	the act of lulling (a child) to sleep
rus	1disorder, mess2(sj.)bustle, hurry, rummaging about
rusa	(stb.)talk nonsense, chat;rusastbe noisy and boisterous(espof children at play);børnini rusaðust ofta inni hjá abbanumthe children often played noisly at their grandfather's house;um dagin rusaðust vit í fjøruniduring the day we usually played noisly down on the foreshore
rusk	1rubbish, junk;hann letst, sum øll eru rusk (fl.m.)he conveys the impression that he thinks people are worthless2dust, speck of dust, dust particle;fáa rusk í eygaðget sth (a foreign body) in one's eye;taka rusk úr eygaremove a foreign body from someone's eye3badorrough weather (with rain);sirmið gjørdist til grovt ruskthe drizzle turned into bad rainy weather
ruska	1shake, jerk, pull, twitch, tug; ruskaupppull up;ruska í e-npull at sby;ruska hold upp á segwho gains weight quickly;ruska mat í segeat much and quickly without being particular;ruska av staðrush off thoughtlessly(el.rashly)2(um veður, of weather) increase, get worse, get rougher;so ruskaði veðriðthe weather was getting worse/was deteriorating;út á dagin ruskaði hann lágtlater in the day there was stormy weather from the south
ruskbilur	(um náttina) night cart; (um dagin) dust cart;(serst. am.)refuse collection truck
ruskbingja	waste container, refuse container, (opin) ship
ruskdagur	day with bad weather
ruskdungi	rubbishel.refuse heap,(am.)trash heapel.pile
ruskílat	litter bin; waste paper basket
ruskkassi	litter box, litter bin, waste paper basket
ruskkoyring	(um dagin) refuse (collection and) disposal;(am.)garbage collection; (um náttina) removal of night soil
ruskmaður	dustman, garbageel.refuse collector, bin man;(gl.)scavenger;(am.)garbage man
ruskovnur	refuse disposal plant
ruskpláss	dump (t.d.I'm going to clean out the basement and take everything I don't want to the dump)
ruskposi	litter bag, waste bag; (garbage) disposal bag, rubbish bag, refuse sack, waste (disposal) bag
rusksloka	rubbishel.refuse chute;(serst. am.)garbage chuteel.shoot
ruskspann	dustbin, refuse bin;(am.)garbage can, trashcan
ruskstøð	refuse disposal plant
ruskubaldur	1impetuous person2person dressed in ragged clothes, ragamuffin, slovenlyel.slatternly person
ruskutur	1(um veður, of weather) bad, unpleasant, rough;veðrið var ruskutthe weather was bad2angry, irritable, testy;risin er ógvuliga ruskuturthe giant is extremely angry3dirty, soiled
ruskveður	stormy weather
rusl	1junk, refuse, waste, rubbish2scrawl, scribble, scribblings(flt),hen scratch
rusla	sírísla
-rusla	síó-
rusp	scamped piece of work; work badly executed; task carried out in a sloppy way
ruspa	1do sth quickly and badly; ruspae-t frá hondinicarry out a task badly and quickly;hann ruspaði snørið innhe pulled up the handline quickly;ruspa e-t saman2scratch, scrape, shake(t.d.hay); ruspaeitt sindur í hoyggiðshake the hay a little3scribble, write hurriedly, jot down;ruspað í skundijot down quickly
russarareyv	(skemt.)Danish salami
russari	(tlm.)sírussi
russasligur	(stb.; um klædnaburð)disorderly, disarranged, slovenly, untidy;hví gongur tú so russasligur?why are you so untidily dressed?
russi	Russian
russisk korngás	(fugl.)Greater whitefronted goose (Anser albifrons albifrons) (Scopoli, 1769)© Skip Russel
russiskmæltur	Russian-speaking
russiskur	Russian
Russland	(sern., landafr.)Russia
russur1	sírussi
russur2	síótrivavætti2
russutur	disorderly, disarranged, slovenly, untidy;russut klædduruntidily dressed
russvølur	(sj., stb.)sílívvølur
rust	(mountain) ridge shaped like a keel; projecting ridge, edge of a steep mountain; spur;móti norðuri reisir Reynsatindur rustina upp úr særtowards the north the mountain of Reynsatindur arches its back;(kvæð.) vindur kom av rustum niðurthe wind came sweeping down from the mountain edge
rusta	rust, become rusty;knívurin er rustaðurthe knife is rusty
rustagingin	(stb.)rusty, corroded
rustalopin	(stb.)rusty, corroded;knívurin er rustalopinthe knife is rusty
rustari	(stb.)síheimrust
rustblettur	1(á jarnio.tíl.)rust stain2(á línklæðumo.tíl.)iron mould
rustbonkur	(sigl.)chains, channels(flt)
rustdyggur	sírustfríur
rustetast	rust, become rusty;lat ei rustetast brand (skaldsk.)don't let the brand (the sword) become rusty
rustfríur	rustless(t.d.metals); rustproof; (um jarnbland) stainless(t.d.knives; steel);gera rustfríanrustproof;rustfrítt stálstainless steel
rustikustur	(t.d..)coffin ship, ballahoo, rusty ship,(eis.)a rusty gun(etc)
rustjørn	(sigl.)chains
rustlittur	rust-coloured, rusty
rustloysari	(løgur) de-rusting liquid
rustreyður	rust-red
rustrok	rust cloud, cloud of rust
rustur	rust;uppetin av rustieaten away by rust, corroded, rust-eaten;reyður í rustirust-red
rustverja	rust prevention
rustverjuevni	anti-rust composition, rust preventive
rustviðgera	treat against rust, rustproof
rustviðgerð	anti-rustel.anti-corrosion treatment
rusutur	noisy,(esp)nervously talkative, hectic, frantic, excited, agitated, overstrung, in a fever;hon er so rusut, at eg vænti, hon verður skjótt rættiliga ørshe is so agitated that I expect her soon to become mad
rut	1leavings, leftoversel.remains from a meal(esp.remains of a meal of fish)2(small) second-class cod (smaller than medium-sized cod);toskurin verður flaktur og tann stóra longan, men rutið fer sum ísfiskurcod and ling are split whereas cod smaller that second-class cod are frozen
ruta1	route
ruta2	(sj.)coarse and slovenly woman
ruta3	(sj., stb.)bicker, quarrel, criticize, censure, find fault with;altíð situr hann og rutar um okkurtthere is nothing he doesn't find fault with
rutast	be occupied with, do heavyel.rough work;hon rutast í øllumshe does all sorts of heavy work
rutjarn	(oljuv.)scrap
rutla	1(stb.)stir; rutlaí pottinumstir the pot2rutlast viðbegin to stir/move, stir in one's sleep, begin to awaken
rutt	síryðja,riða
rutu	sírjóta,róta
rutubilur	bus,(serst. viðv.longum farleiðum) motor coach; (í USA tíðum) Greyhound
rutubussur	sírutubilur
rutuflogfar	(flog.)scheduled airlinerel.flight
-ruv	sískinn-
rúðrasker	(stb.)[rockel.skerry covered with acorn barnacles]
rúðraskotin	(stb.)spottyel.blemished(t.d.skin)
rúðrasteinur	(stb.)[stone covered with acorn barnacles]
rúðravaksin	(stb.)sígjarvaksin
rúðrutur	1rough, uneven, with many small irregularities;rúðrut húðrough skin2(stb.)sígjarvaksin
rúður1	(dýr.)acorn barnacle;bora rúðurscrape (acorn) barnacles
rúður2	(gl.)(piece of) lace
rúðurbori	(sjónavn)sítjaldur
rúðurkragi	(á prestakjóla) ruff
rúðurpadda	(dýr.)sífroskpadda
rúðursnigil	(dýr.)volute(Clausilia laminata)
rúgva1	1pile, (piled up) heap2quantity(t.d.the quantity of butter exported; a large//small quantity); amount(t.d.large//small/trifling amounts); slew(t.d.a slew of scandals), volume; (stór mongd, nøgd) masses(flt) (t.d.masses of snow); heaps(t.d.heaps of beer//money); lots, a lot(t.d.lots of food, a lot of food),(tlm.)oodles(t.d.of whipped cream);nógv//lítið í rúgvua large//small quantity3number(t.d.a large//small number of people), mass(t.d.a mass of onlookers; a mass of laws and agreements);teir fingu eina rúgvuthey caught a large number of fish4(stb.)sítorvkrógv
rúgva2	1heap up, pile up, gather together;rúgva seg/rúgvast (saman)flock (together), rally, throng;teir rúgvaðu seg saman har frammithey flocked together in the forecastle(el.fo'c'sle);rúgvast uppfill up, make very full;rúgvaður: yrkingin er rúgvað við dirvi, reystleika og styrkithe poem is full of courage, audacity and strength2fill, take up place; rúgvaupptake up place;var kornið vátt, rúgvaði tað meira uppif the corn was wet it took up more place
rúgvismikil	sírúgvumikil
rúgvufóður	bulky feed;annað rúgvufóður eiga vit ikki enn hoyggjhay is the only bulky feed we have got
rúgvuligur	(um klæðir) loose-fitting, ample, capacious;ílatin ein ógvuliga rúgvuligan bjálvadressed in a loose-fitting overcoat
rúgvulítil	which takes up only a small amount of space
rúgvumikil	bulky, which takes up a large amount of space, large, extensive, voluminous
rúgvutal	í rúgvutali in quantities, in bulk, in large numbers, wholesale(t.d.buy goods wholesale);teir duga rímur og søgur í rúgvutalithey know rhymes and stories in large numbers
rúgvuvís	í osb. í rúgvuvís in heaps, in piles
rúilsi	(tlm.)anger, repentance; self-reproach, regret; penitence, remorse, compunction, contrition; rúilsikom á hannhe repented
