u	(málfr.)vowel, /u:/
unnusti	(skaldsk.)beloved, who is beloved, fiancé; unnustihennaraher fiancé
upp	1up;upp undir miðju//knæup to the waist//the knee;fáa upp í skógvarnarget wet feet;aldurnar draga upp og niður við klettinthe waves lap upon the stones;byggja uppbuild, build up;fara upp á takiðgo up on the roof;ganga uppgo up;koma uppreach the top;lesa seg uppclimb up on a line;lyfta upplift up;prísurin fer uppthe price is rising/is going up;reisa seg uppget up(t.d.get up when I address you!); rise, rise to one's feet(t.d.when he appeared we rose to our feet); get on one's feet(t.d.the boxer got on his feet again); stand up(t.d.the whole class stood up);rísa uppbe rising;beint upp og niðurperpendicular, vertical, straight up and down;raksturin (t.d.hjá virki)stendur upp og niður (fl.m.)receipts and expenditure balance (out)2(úr seingini, out of bed);fara uppget up(t.d.it is time to get up); rise(t.d.rise with the sun); get out of bed3in towards land (from the sea); uppundir land4(um tíð, of time) towards; uppat jólumtowards Christmas;heilt upp at okkara døgumdown to our own time; up to the present5into the light, throw light on;grava uppdig out;alt snoddaði hann upphe dug out everything;tað kemur eina ferð upp, sum hann hevur gjørtwhat he has done will one day be unravelled6fáa ein knút uppuntie/undo a knot;lata uppopen;læsa uppunlock;skera uppcut up, cut into pieces (a whale)7up (in a certain orderorsuccession);rokna uppcount;seta roknskap uppprepare an account; draw up a balance sheet;skriva uppwrite down, put down;telja uppcount8up to a greater size;bólgna uppswell/puff up9until everything has been spent;eta uppfinish one's food, clean up one's plate;fiska uppfish out, fish up;høgga uppunstock, draw, deplete;torna uppdry up/out10(completely);hann rodnaði upphe blushed;hita uppheat, (ikki so heitt) warm11[ísamb.viðfs]uppaftur:sigla upp aftursail to the same position once more(t.d.to the buoy);uppafturá:leggja seg upp afturálie down (to rest);uppat:upp at fiskimarkinumclose to the fishery limit(s);uppá:lat einki koma upp á taðdon't damage it;hon er vøkur upp á kroppshe has a good figure;læra upp á e-n,sílæra2;stingast upp á e-non a whim, fancy(t.d.whenever the fancy takes one), caprice, a sudden impulse;upp á `seg(við herðing á seg, with stress onseg) in the circumstances, considering, fairly well;í norðaru helvt skarst væl upp á segthe slaughter weight was fairly good in the southern part of thehagicompared with the northern part;uppeftir:upp eftir e-mclimb up sth;uppfrá:flogfarið lætti sær upp frá breytinithe aeroplane took off from the runway;uppfyri:upp fyri egginaupp over the edge of a cliff;uppí 1skeinkja e-m upp í glasiðpour out a glass of whisky to sby;upp í dansinenter the Faroese folk dance2(of change especially for the worse)koma upp í einkicome to nothing(t.d.the project came to nothing); peter out(t.d.the reform movement petered out); run into the sand; be abortive(t.d.an abortive scheme); fizzle out (like a damp squib);brenna upp í kolbe charred;koma upp í møsnit was all nonsense (síkomaupp í einki); traðka upp í nakkafull of holes, all holes;koma upp í rakgrow thin, lose weight; (ógvisligari) waste away;upp í røkuragain and again;upp í samanagain and again;koma upp í varg(of sheep) become wild;uppum:fletta upp um seg,sífletta;uppundan:upp undan vatnskorpuniemerge from the surface of the water;uppundir:hon er full upp undir hendur(of pregnancy) she is heavily pregnant;gera upp undir tráðuattach the trolling-line to the fishing rod;uppúr:mjólkin skvampar upp úr spanninithe milk is splashing out of the milk pail12[ísamb.viðs] t.d.ala upp; bólgna upp; eta upp; fáa upp; fletta upp; flotna upp; ganga upp; gera upp; geva upp; hita upp; klára upp; kalla upp; koma upp; lata upp; leita upp; leggja upp; rokna upp; skjóta upp; skriva upp; rekja upp; renna upp; seta upp; siga upp; taka upp; telja upp; torna upp; vaksa upp; vaska upp; yngjast upp(sísagnorðinisumleitorð)
uppaftur	1again, once more, one more time;hetta verður ikki gjørt uppafturthis is the last time;giftast uppafturmarryorbe married again;ganga uppaftur(um kúgv, of a cow) not become pregnat the first time2even, still; uppafturbetri//størri//verrieven better//larger//worse
uppaftur-	smst. t.d. -bygdur,doyptur, -latin, -livnaður, -prentaður, -tikin
uppafturbygdur	1rebuilt(t.d.a town); reconstructed, built up again, re-erected2(lívfr.)regenerated(t.d.the tissues)3(fl.m.)reconstructed, built up again(t.d.an organization)
uppafturbygging	rebuilding, reconstruction, re-erection
uppafturdoyptur	rebaptized
uppafturgiftur	remarried
uppafturgrivin	dug up again;síggja út sum eitt uppafturgriviðlook like nothing on earth, look like death (warmed up)
uppafturkomin	on one's feet again, on one's legs again; uppafturkominav sjúkuleguni,síkoma(upp aftur)
uppafturkyknaður	1(um eld, of fire) reflamed, reblazed, refired2(um kenslureis.)rekindled, flared up again, revived, resurgent
uppafturkyknan	fresh outbreak(t.d.of the fire; of hostilities); recrudescence(t.d.of the disease); revival(t.d.of interest)
uppafturlatin	re-opened
uppafturlivnaður	revived, emerged again, re-emerged, resurrected
uppafturprentaður	reprinted
uppafturprenting	reprint
uppafturróptur	(stb., sj.)íosb.sumvera sum eitt, ið er uppafturróptbe somnolent, lethargic, torpid (based on the notion that a dying person can come back to life if there is not complete quiet round him: if this happens he doesn't become normal again)
uppafturtikin	1resumed, reassumed, taken up again(t.d.of work; payment; the debate; the fighting; the negotiations); reopened(t.d.of the negotiations)2revived (a custom, a tradition, a play, a film)3reopened(t.d.a case)
uppafturtos	repetition;tað, sum blaðið sigur um hvalaveiðina er nógv uppafturtosmuch of what the paper writes about whale hunting is repetition
uppafturtøka	1resumption(t.d.of work//payment//the debate//the fighting//the negotiations); reopening(t.d.of the negotiations)2revival(t.d.of a play//a film/a custom)3(um lim í felagi) readmittance4(løgfr.)retrial, new trial; resumptionel.reopening of a case, new hearing
uppafturveking	(um fólk) revival, resuscitation
uppafturvenjing	rehabilitation(t.d.physical and vocational rehabilitation)
uppafturyngdur	rejuvenated, restored to youth;vinabond vórðu knýtt ella uppafturyngdnew friendships were tied or old bonds of friendship tightened
uppalari	educationalist, educationist; teacher
uppaldur	reared, brought up
uppalin	síuppaldur
uppaling	1upbringing2(um fuglar og dýr, of birds and animals) breeding, rearing;við uppalingini ber til at nøra um fitinøgdina í mjólkiniby means of breeding it is possible to increase the fat content in milk
uppalingarháttur	method of upbringing; child-rearing method
uppalingarligur	educational
uppargaður	enraged, infuriated
uppat	íosb.sumgeva/halda uppat (við e-m)stoporabandon doing sth, give up; leave off(t.d.ever leaves off talking; you could not tell where bosom began and draperies left off); lay off;geva uppat at siglastop going to sea;halt uppat við hasum!stop that!
uppatgevingartíð	time to stop (playing; working)
uppav	(t.d..)(blow) off sth
uppá	on sth;kasta uppá(í binding, of knitting) cast the first stitches on to the knitting needles;lesa uppádo one's homework;spæla uppáplay an instrument;tað er tíð uppá at tú gert taðit is about time/it is high time you get it done;koma uppátake place, occur;hjúnalagið var komið heldur óvart uppáthe marriage took place rather suddenly
uppábót	repair, repairs(t.d.road repairs; repairs to the roof; the ship has docked for repairs); síumvæling
uppábundin	síbinda(uppá)
uppábøttur	repaired(t.d.clothes; a house; road; roof; car; ship; watch; hole); mended(t.d.a garment; puncture; hole); fixed up(t.d.can you fix up that engine?); fixed;(sigl., eis.)refitted; (lappaður) mended, patched(t.d.a garment); (stoppaður) mended, darned(t.d.stockings); (skóbúni, shoes) repaired, mended, cobbled; (listaverk, work of art) repaired, restored
uppáhald	statement, assertion, claim, profession, allegation
uppákasting	(í binding) cast-on stitches
uppákomin	síkoma(uppá);tað er nýliga uppákomiðit occurred/happened recently
uppámynstraður	(sigl.)signed on, enrolled, enlisted
uppás	(stfr.)y-axis, ordinate
uppáskotraður	sískotra
uppástaðini	shortly, soon, before long, in the near future
uppátrúgv	(sj.)superstition; sípátrúgv
uppátøka	(í binding) picking up of stitches
uppbakað	síbaka(upp); uppbakaðsóssauce thickened with roux
uppbaking	roux;ein uppbaking av margarini, mjøli og mjólka roux consisting of margarine, flour, and milk
uppbirtningur	(stb., sjónavn)smoke
uppblásin	1swollen, tumefied;beinið á honum var so uppblásiðhis leg was swollen2(fl.m.)haughty, arrogant, bumptious;hann er so uppblásinhe is such an arrogant prick
uppblástur	1inflated, blown up; uppblásturbólturinflated ball;hann hevur altíð verið sum ein uppblástur kíkurhe has always been very fat2síuppblásin1;beinið og lærið var alt uppblásthis//her leg and thigh were swollen
uppbloyttur	soaked, soggy, sodden(t.d.a sodden field); síbloyta(upp)
uppboð	auction;keypa á uppboðibuy at an auction;selja á uppboðisell by auction
uppboðshaldari	auctioneer
uppboðssøla	auction;selja fisk á uppboðssølusell fish by auction
uppbólgnaður	swollen, tumefied;fingrarnir vóru uppbólgnaðirthe fingers were swollen; síbólgna(upp)
uppbrettur	rolled-up(t.d.sleeves), turned-up(t.d.trousers); síbretta(upp)
uppbrot	(á buksum) turn-up;(am. eis.)(trouser) cuff; (á ermu) cuff; (á jakka) lapel, facing
uppbrotin	rolled-up(t.d.sleeves), turned-up(t.d.trousers);við uppbrotnum skjúrtuermumwith rolled-up sleeves
uppburður	1up(-)current (wind hitting the steep slopes and then rushing upwards)uppburður, so at rokið stóð av hvørjum tindi2(sj.)fame, renown, fame, success
uppbyggandi	síuppbyggiligur
uppbyggiligur	edifying, edificatory, elevating; (prædikukendur) homiletic;uppbyggiligar bøkur(bókmentir) devotional/homiletic books/literature
uppbygging	1building (up), construction2(av listaverki) structure, composition;uppbyggingin av søgunithe structure of the story3edification;okkum til uppbyggingarfor our edification
uppbyggingarfundur	(átr.)devotional meeting
uppbýti	(í talv, in chess) exchange
uppdaga	1find out, discover2catch sight of sth; become aware of sth; perceive sth; see sth, notice sth; spot sth;tjóvurin varð uppdagaður og tikinthe burglar was detected and apprehended
uppdagan	(sj.)síuppdaging
uppdagari	discoverer
uppdaging	1discovery(t.d.of a country//of radium)2(a) discovery
uppdagingarferð	expedition, exploration,(sigl.)voyage of discovery;fara á uppdagingarferð í landiexplore a country;senda ein á uppdagingarferð (sigl.)send sby out on a voyage of discovery
uppdráttur	1pulling a boat up from the sea2line connecting buoy and long line3map4draft(t.dfor a machine), design(t.d.a design for a house)
uppdrift	1(tlm., tøkn., flogm.)lift2buoyancy3(um luftskip, ballón, of airship, balloon) buoyancy
uppdyrking	cultivation, tillage, tilling(t.d.of the soil)
uppeftir	1up, upwards;(tilt.) eg mundi dottið uppeftir, tá ið eg hoyrdi taðyou could have knocked me down with a feather/I was completely bowled over when I heard it2(um tíð, of time);frá 1906 og uppeftirfrom 1906 and forward3(um nøgd, of amount);teir fingu úr tíggju túsund pundum og uppeftir í partthe weight of the catch was from 10, 000 lbs and up for each of them4(um virði, of value)prísurin kvinkar uppeftirthe prices are rising/going up slowly
upperring	stimulation
upperringarevni	(lækn.)stimulant(t.d.coffee and tea are mild stimulants)
uppetin	1eaten up, consumed;hoyggið var uppetiðthe hay had been used up2(um sjúkling, of a patient) wasted, withered;hann var uppetin av krabbameinihe was wasted by cancer
uppevjaður	soaked, soggy, sodden(t.d.a sodden field);vegirnir vóru uppevjaðirthe roads were soggy; síevja2
uppfarin	1(from a lower to a higher place) gone upstairs, gone up in the attic2up, out of bed3(of prices) risen, gone up, climbed;prísirnir eru uppfarnirprices have risen
uppfaring	1[climbing up a bird cliff]2getting up; getting out of bed
uppfaringartíð	getting-up time;fyriuppfaringartíð at an unearthly hour
uppfatan	1perception, understanding;mín persónliga uppfatanit is my opinion that, I think that, in my opinion2(heimsp.)apprehension(t.d.direct apprehension of mental life)3perception(t.d.our perception of sounds)4view(t.d.my view of the matter), opinion; conception(t.d.we have the same conception of justice); notion(t.dour notion of right and wrong); impression(t.d.I received another/a different impression of his conduct)5interpretation, reading, construction(t.d.their construction of the treaty)
uppfattur	bent upwards, turned up;uppføtt nøsturned-up nose, pug-nose, snub nose
uppfesti	(sj.)bill, poster; (fráboðan) notice;fundurin skal verða lýstur viku frammanundan við uppfestumthe meeting is to be announced with notices one week before the meeting takes place
uppfestur	fastened up;uppfest lýsingposted announcement, posted proclamation, posted notice
uppfinna	invent(t.d.a machine); devise(t.d.a system); contrive(t.d.at last we contrived a defence against magnetic mines);Graham Bell uppfann telefoninaGraham Bell invented the telephone
uppfinnari	inventor
uppfinning	invention
uppfinningarsamur	inventive, ingenious; creative; innovative; (tíðum) fertile(t.d.his fertile mind); (skjótteinkin) resourceful
uppfinnsamur	síuppfinningarsamur
uppfiskaður	1fished out, empty of fish;er longan uppfiskað, verður leingi, áðrenn hon kemur afturif the ling stock is depleted, it will take a long time before it recovers2(of sunken pilot whales) fished up (after the killing of a shoal of pilot whales)
uppfisking	1fishing up (sunken whales after the killing of a shoal of pilot whales)2(oljuv.)fishing (fáa aftur útgerð, ið er mist niður í borihol, the recovering of tool(s) which has//have accidentally been dropped into a borehole)
uppfiskingarløn	payment for fishing up sunken pilot whales (after the killing of a shoal of pilot whales)
uppfitnaður	who has put on much fat
uppflotnaður	which has come to the surface (from the bottom)
uppflutningur	(í starvi) promotion
uppflyting	1(skúlam.)remove2(ítr.)promotion, going up; uppflytingúr triðju í aðru deildgoing up to the second division
uppflytingarroynd	(skúlam.)qualifying examination; end-of-term examination
uppflytingarrættur	(løgfr.)[the right of a mortgage to advance into the position vacated by the repayment of prior mortgages]
uppfostran	1rearing, bringing up, upbringing2fostering, bringing up (taking care of a child who is not one's own)
uppfrá	up from the ground/the flooretc; lyfta e-n uppfrálift up sth//sby
uppfylla	1(bíbl.)fill (up);uppfyllið jørðinareplenish the earth2(nøkta) fulfil(t.d.sby's expectations//hopes);hann uppfyllir ynski teirrahe fulfils their wish3(skylduro.tíl.)fulfil(t.d.one's promise//obligations); meet(t.d.requirements; conditions; demands), honour(t.d.our commitments)4(laga seg eftir) comply with(t.d.all the formalities); conform to/with(t.d.every detail of the regulations); satisfy(t.d.the requirements); síeis.lúka
uppfyltur	full(t.d.full of bitterness; full of admiration for him; he was full of the project for the new bridge); (feel, be) overloaded (having overloaded one's stomach); filled(t.d.with envy; bitterness; admiration); absorbed(t.d.in his work); taken up(t.d.with other thoughts)
uppfyri	[something which looms, projects, rises, stands up, towers in front of one];tað var høgt uppfyrithe cliff was precipitous;tað var fjøruti favna berg at draga hann uppfyrithey had to pull him up more than 40favnar(sífavnur:app82 yards);bera uppfyriobstruct the view
uppføðing	síuppfostran
uppgangur	1heavy surforbreakers2(fl.m.)wigging, dressing-down, ticking-off, telling-off; violent quarrel
uppgataður	perforated, holed
uppgáva	1task, duty, assignment;hann fekk í uppgávu at gera myndirnarhe was given the assignment to take/make/paint the pictures;tað er ein stór uppgáva at fara undirit is a hard task to take upon oneself2task; assignment; exercise; (stílur) paper, essay, composition;(stfr.)problem;uppgávur til próvtøkunaexamination paper; question paper3(sø.)[conveyanceortransfer of one's property to another person (often a rich farmer) in return for being supported by him when old]
uppgávudintil	(sj.)[person who is inclined to give up a job half-way]
uppgávuhugaður	servile, slave-minded, defeatist
uppgávuhugur	resignation; defaitism
uppgávujørð	(sø.)[land which has been handed over in return for old-age support]
uppgávukona	(sø.)[old, childless woman who has handed over her property in return for old-age support]
uppgávulyndi	defeatism, defeatist attitude, servile spirit; base mind, spirit of bondage
uppgávumaður	(gl.)[old, childless man who has handed over her property in return for old-age support]
uppgávupolitikkur	policy of concessions, (policy of) appeasement; síeftirlætispolitikkur
uppgávurødd	íosb. við uppgávurøddin a despairing voice
uppgávusíða	item page
uppgerð	1making up(t.d.of the accounts);goymsluuppgerðstock-taking;sambært niðanfyri tilskilaðu uppgerðas per statement at foot;kostnaðaruppgerðstatement of expenses;sundurgreinað uppgerðitemized account, specification;hagfrøðilig uppgerðstatistical survey, (statistical) returns;uppgerð av sjóskaðaaverage adjustment2statement (of account); account rendered3settling (of accounts), (skrivlig) account; billel.statement of account4showdown, confrontation, clash; (um hjún á almennum stað) scene(t.d.they had a scene in public);tey høvdu uppgerð í nevndiniit came to a showdown between the contending parties of the committee5affectation, showing-off
uppgessaður	stirred up(t.d.feelings; sby's anger against sby); stimulated, roused(t.d.to action); incited(t.d.incite them to rebel), inflamed, inspired, fired(t.d.fired with patriotic zeal), whipped up, worked up
uppgjald	(sj.)compensation, payment, consideration, return;hann fekk uppgjald afturfyrihe was compensated
uppgjørdur	1(um togo.tíl.,of ropeetc)coiled, wound up;snørið er uppgjørtthe handline has been wound up (on a súla1)2(of male lamb) selected as breeder;veðurlombini vórðu uppgjørd3unnatural, artificial, affected, feigned(t.d.with feigned cordiality); simulated, sham;uppgjørdi eldhugifeigned enthusiasm;við uppgjørdum gongulagwith an affected walk;hasin uppgjørdi gorlakkurinthat stuck-up clown4(of hay) stacked5(of bed) made;uppgjørd songa made bed6fictitious, assumed, invented;uppgjørd nøvnfictitious names7[íyms.samb.]búgvið er uppgjørtthe estate is now wound up; sígera(upp)
uppgløddur	enthusiastic, keen, eager;verða ógvuliga uppgløddur umgo into raptures over; be completely carried away by;flokkurin var uppgløddur fyri at fremja tað, ið kundi menna føroyingar tjóðskaparligathe party was anxious to do everything in its power for the advancement of Faroese national culture
uppgonga	1ascent;føroyingarnir bóltaðu grót oman á írarnar at forða teimum uppgonguthe Faroemen tried to prevent the Irishmen's ascent by rolling stones down at them2(sigl., herm)going alongside, boarding;gera uppgongu á skipboard a ship3road or path up to an island; steep ascent from the sea;uppgongan í Skúvoythe ascent to the village of Skúvoy;uppgongan er góð at verjathe ascent from the sea is easy to defend4extraoradditional sheep drive (when all the sheep have not been rounded up the first time)
uppgongd	1síuppgonga32(sj.)rise, increase;fiskaprísurin er í uppgongdthe prices of fish are rising3(sj.)progress, advance;henda uppgongd vardi í umleið 50 árthis period of prosperity lasted for about 50 years4(sj.)heavy surforbreakers
uppgongdur	passable;stíggjurin er uppgongdurthe path is passable;har er uppgongtone can walk up from there
uppgongukrókur	(sigl., herm)grappling iron/hook
uppgongulið	(sigl., herm)boarding party, boarders
uppgongumaður	(sigl., herm)boarder
uppgongustigi	(herm.)scaling ladder
uppgongutíð	time of prosperity, boom (period)
uppgreiðing	explanation (of)(t.d.the explanation of the phenomenon);ein natúrlig uppgreiðing mundi fara at koma av hesum undarliga tilburðia natural explanation of this strange incidence was likely to be offered
uppgressaður	(sj.)angry, furious, cross
uppgrevstur	digging-up, unearthing
uppguvan	(alisfr.)evaporation, vaporization;nógv av regninum fer fyri einki við uppguvanmuch of the rain does no good due to evaporation
upphald	[(loose) snow which blows up from the mountain tops (betokens windy weather)]; upphaldá fjøllunum(loose) snow blows up from the mountains
upphav	1origin (of sth), beginning, genesis, birth(t.d.the birth of Greek civilization);frá upphavi at endafrom beginning to end, from start to finish;(bíbl.) í upphavi skapti Gud himmal og jørðin the beginning God created the Heaven and the Earth;upphavið at ríki hansarathe birth/the beginning of his empire2large amount of food;eitt upphav av grinda large amount of whale meat and blubber3(sj., stb.)síupphald
upphavligur	original;orðið man ikki vera upphavligt á norrønari grundthe word is hardly of Norse origin
upphavsformur	1(málfr.)the primordial form(t.d.of a religion);Øravík hevur havt upphavsformin Hørðavíkthe primordial name for Øravík was Hørðavík2(lívfr.)the primordial cell(t.d.from which life developed)
upphavsmaður	promoter, originator(t.d.of a project), initiator, author(t.d.of a scheme); instigator (of); architect; (fyri uppreistri) ringleader; upphavsmaðurat e-mthe architect of sth
upphavsrættur	1intellectual property right; patent rights2(hjá rithøvundio.tíl.) copyright
upphavsstaður	place of origin
upphavsøld	(jarðfr.)the Precambrian/Pre-Cambrian (Era) (tíðin frammanundan 600 mill árum síðan)
uppheinging	hanging (up), suspension
uppheitaður	(t.d. of food)warmed up, heated
uppheittur	síuppheitaður
upphevjaður	honoured, venerated, revered, esteemed highly, glorified; síhevja(upp)
upphevjan	glorification
upphitaður	síuppheitaður
upphiting	1heating(t.d.the heating and ventilation of buildings; electric heating); (ikki so ógvisligt) warming(t.d.in Italy, charcoal braziers are used for warming a room)2(ítr.ogfl.m.)warm up;(fótb., eis.)(pre-match) kick-about; (í frælsari ítrótt og fimleikieis.)limber-up
upphitingarbólkur	(tónl.)warm-up band
upphitingardystur	(ítr.)warm-up match
upphitingarkostnaður	cost(s) of heating
upphitingarvenjing	warm-up exercise
upphongdur	hung (up)(espfor wind-drying of fish and meat); síheingja(upp)
upphovnaður	swollen, tumefied;andlitið var upphovnað av grátithe face was swollen with crying/tears
upphóp	(jarðfr.) accumulation
upphugsa	think uporout, devise, invent;hann upphugsaði onnur brøgdhe thought up other tricks;upphugsaðurinvented, devised
upphædd	amount(t.d.of money);allar upphæddir í DDKall amounts in DKK
upphæddartrygging	(trygg.)insurance on the basis of valued policies
upphærdur	receding (hairline)
upphøgging	breaking up;skipið varð sent til upphøggingarthe ship was sent to the breaker's yard;seldur til upphøggingar (eis.)sold for scrap
uppi	1up (in a higher place); uppiá takinum(up) on the roof;uppi á aldunion the (wave) crest;uppi í sjónumjust below the surface;boðin er uppisíbróta10;bæði uppi og niðrieverywhere2in an upright position;standa uppistand up;húsini standa uppi ennthe house is still standing;vera uppistill up, not in bed yet;(orðt.) ilt er at læra gamlan hund uppi at sita,síhundur3used up, consumed, run out of sth(t.d.I have run out of petrol;GG:I am out of whisky); (næstan uppi) short of(t.d.I am short of tobacco);etið nú til uppi ereat now until nothing is left;maturin er uppiwe have run out of food;tá ið hann kom til Sands, var dagurin uppiit was dark when he arrived at the village of Sandur;dagarnir vóru uppi hjá honumhis days were numbered;mín tíð var ikki uppimy days were not numbered4sit for an examination;eg havi verið uppi í føroyskum í dagI sat for an examination in Faroese today5[ísamb.viðfs]uppiá:hava knív uppi á særcarry a knife;passa klædning uppi á e-mbe fitted for a new suit;uppi á floti,síflot;uppi á gosi,sígos;uppií:vera uppi í e-mtake part in sth, participate in sth, be in on sth;eiga uppi í e-mown a share in sth;standa uppi í ljósinumshade sby;uppiundir:sita uppi undir særsit up in bed;uppiyvir:hjúkla uppi yvir e-m,síhjúkla;gleða seg uppi yvir e-m,sígleða;sita uppi yvir e-m,sísita6[ísamb.viðs]dansa uppi; drepa uppi; fjara uppi; hava uppi; leggja uppi; sita uppi; standa uppi(sísagnorðinisumleitorð)
uppiá	on(t.d.I had no money//no papers on me; have you a match on you?); above;búgva uppiálive above(t.d.the family living in the flat above);hava uppiá(um seyð, of sheep) have the prescribed stock of sheep in a single pasture
uppiborin	(um fólk) (well-)deserving; (um ting) well-deserved, well-earned;ein uppiborin sigura well-deserved victory;hava/eiga e-t uppiboriðbe worthy of, deserve;tú hevur ikki annað uppiboriðit serves you right
uppifjaraður	1left high and dry at ebb tide;báturin lá uppifjaraðurthe boat was stranded2(fl.m.)helpless;hann liggur uppifjaraðurhe is in a helpless state of condition;verða uppifjaraðurbe exposed, uncovered, found out(t.d.at last he was found out)
uppihald	1keep(t.d.earn one's keep); living, livelihood(t.d.assure sby a livelihood)hon virkaði við hondunum til lívsins uppihaldshe earned her keep by making manufacture2(bráðfeingis) place of sojourn, whereabouts; (fast) (permanent) residence, home
uppihalda	1support(t.d.he has to support his old parents); maintain(t.d.maintain a wife and family); provide for, keep;sonurin, sum var sjómaður, uppihelt húsinumthe son who was a fisherman supported his parents and brothers and sisters;Harrin uppihelt fólkinum í oyðimørkini2preserve, keep, conserve(t.d.conserve the order and safety of the state); uppihaldata skipan, sum nú erpreserve the present system
uppihaldari	breadwinner, supporter, provider;tey sum hann syrgir fyrihis dependents;einsamallur uppihaldarisingle parent; (ógift ikkihúsarhaldspliktað fólk sum rindar í minsta lagi 50% av útreiðslunum, sum kann draga part av útreiðslunum frá í skatti) head of household
uppihaldshjálp	alimony, maintenance; síuppihaldspeningur
uppihaldsloyvi	residence permit; (við arbeiðsloyvi) work permit;bráðfeingis uppihaldsloyviprovisional residence permit
uppihaldspeningur	1[compulsory contribution to the maintenance of (illegitimate) children];(uml.)payment under an affiliation order;gjalda uppihaldspeningpay maintenance(t.d.unmarried fathers should pay maintenance)2(við skilnað til konu og barn/børn) maintenance3(við skilnað bara til konu) alimony(t.d.women living on alimony)
uppihaldsskylda	obligation to support sby;vanlig fyrisett uppihaldsskyldastandard allowance, statutory allowance
uppihaldsskyldugur	liable to pay maintenance/alimony; síuppihaldspeningur
uppihaldsstova	common room(t.d.á studentagarði)
uppií	(included) in (sth), taken into account, counted (in);stuttleiki skal vera uppiífun must be part of it;nógv fólk var hjástatt, og uppií vóru brøður hansaramany people were present his brothers among them;nógv ómarkað var uppiíseveral unmarked lambs were in the flock of sheep;duga uppií[know parts of a long ballad by heart and thus be able to participate in the singing when sby else leads];tosa uppií(of children) cut in with a remark
uppikastaður	(fl.m.)unable to get any further with sthorsucceed in sth;hann stendur ikki uppikastaðurhe can give tit for tat; he can give as good as he gets
uppikipping	subjectel.topic of conversation whose purpose it is to make fun of sby;hava e-t til uppikippingaralways talk about sth
uppikipsan	síuppikipping
uppilagstur	(sigl.)retired from fishing; uppilagsturskipariretired skipper
uppiløga	[state of being unable to go out fishing due to bad weather]
uppiløgudagur	[day when one doesn't go out fishing due to bad weather]
uppiseta	staying up, sitting up
uppisetur	íosb. vera í uppisetri við e-m/e-t1run out of sth, out of stock, be empty, bare, lacking in, used up, consumed;handilin var í uppisetri við vørurthe shop had run out of merchandise;ein dagin var hon í uppisetri við teone day she had run out of tea2báturin er í uppisetrithe boat is unuseable (old)
uppistøða	síuppstøða
uppivið	íosb.sumhar hongur annað uppiviðthere is sth at the bottom of this; (okkurt lúnskt) there is a catch in it somewhere
uppiyvir	above, over;ein pottur hekk uppiyvira pot was hanging over the fire
uppí	1(until sth is full);fáa uppíget a full load of fish;lata sær uppítake a fill (of tobacco);skalt tú ikki hava uppí aftur?shall I pour you some more(t.d.tea//coffee)?2in addition, add to this that, moreover, furthermore, besides, in addition;uttan forføll koma uppíthat is, if there is no unavoidable absence;byggja uppímake additions; (tíðum) add/build a new wing;rokna uppícount (in), include, take into account;skoyta uppímake longer, extend, lengthen; add3fara uppíjoin the ring of dancers;nú komu øll tey vaksnu uppíthen all the grown ups joined the ring of dancers4broach to;leggja bát uppíbroach to;halda bátin uppídraw the boat ahead against the wind
uppíblanding	intervention;(niðr.)meddling, interference
uppíbygging	addition, extension;gera uppíbygging til eini húsbuild an extension to a house
uppídráttur	1gathering of storm2continuous (bad) weather
uppílegging	1intervention;(niðr.)meddling, interference2(sj.)contribution (to a debateordiscussion)
uppíløga	uppíløgaí dagsins kjaka contribution to today's issue; síuppílegging2
uppímillum	1(intervene, interpose between two parties, between two combatants) in between;tú mátti lagt uppímillumyou should intervene;koma uppímillumget in between two combatants2occasionally, sometimes, now and then, from time to time;ein lítil linni var uppímillumoccasionally there was a pause/break/rest
uppímóti	into the windorwaves, head the sea, breast the waves;leggja bátin uppímótibroach to
uppíroknaður	included, including, inclusive of
uppískoyti	addition, supplement; insertion; uppískoytitil ensku-føroysku orðabókinasupplement to the English-Faroese dictionary
uppítaldur	included, including, inclusive of
uppítøka	inclusion
uppkallaður	called, named;drongurin er uppkallaður eftir abbanumthe boy is named after his gradfather
uppkallari	caller
uppkalling	calling, naming(eftir e-mafter sby);siðurin við uppkalling er gamalit is an old family traditions to name sby after sby
uppkarvaður	cut into pieces; síkarva(upp)
uppkast	1(ítr.)drop ball, [ball dropped by the referee]2(rough) draft(t.d.of a book//of a document//of a novel); sketch(t.d.of a picture//of a plan); (rough) outline(t.d.of a plan); (rough) design(t.d.for a dress//a building//a piece of furniture);gera uppkast til e-tprepare/make a draft of sth
uppkastaður	1síuppikastaður2(um garð, of stone wall) made in a hurry
uppkiptur	short-necked
uppkláring	(eis. fl.m.)settling (of accounts); (skrivlig) account, bill, statement (of account); síklára(upp)
uppkleyraður	trampled down; miry, muddy, slushy;teir fóru eftir uppkleyraðari gøtuthey went along a muddy path
uppkneptur	unbuttoned;í uppkneptum frakkain unbuttoned overcoat
uppkolaður	burned down, charred(t.d.the charred remains; the charred bodies of the victims)
uppkoma	1beginning, rise;uppkoman av føroyskum handilsskapithe beginning of Faroese commerce2the beginning of the flow of the tide (sísjóvarfall)3source(t.d.of a spring)4sunriseormoonrise
uppkomandi	accessible;einasta stað, har ið uppkomandi er í Oknadalithe only accessible place is in Oknadalur
uppkomin	síkoma(upp)
