М1	I1.(skelti) метро́ metro2.«для мужчи́н» (á toiletthurð) M menn (надпись на туалете)
Москва́	f1.(город) Moskvaм нескл.(býur)2.(река) Moskvaж нескл.(á), Moskvaáinж0-irопр.@(и) Москва́ не стро́илась сра́зуorðt.≈ Rom [rɔmː] varð ikki bygdur eftir [εʰtː-] einum degiпосл.;≈ tað er mangur leikur í longum talviпосл.; ≈ikki eru allar [atl-] súðir syftar ennпог.;Москва́ от копе́ечной све́чки сгоре́лаorðt.≈ lítil neisti kann birta stóran eldпосл.;Москва́ слеза́м не ве́ритorðt.≈ har bаtar hvørki bøn ella [εtla] lønпог.; her hjálpir [jɔ-] eingin gráturпог.
Москви́ч1	IGenМосквич|а́;plur~и́, ~е́й, ~а́мm(марка автомибиля) Moskvitj [-Ꞌkʰvɪʰtʃː]м0-ar({0<>i})(bilmerki)
москви́ч2	IIGen, Accмосквич|а́;plur~и́, ~е́й, ~а́мmmoskvabúgviмгл-i;o-r, ið býr í Moskva; fólkс0оúr Moskva; moskovittur [-Ꞌvɪʰtː-]мсогл-ar; он москви́чтжhann er úr Moskva; hann býr í Moskva
москви́чка	plurмоскви́ч|ки, ~ек, ~камfmoskvabúgviмгл-i(konufólk);o-r, ið býr í Moskva (konufólk); fólkс0оúr Moskva (konufólk); moskovittur [-Ꞌvɪʰtː-]мсогл-ar(konufólk); она́ москви́чка hon er úr Moskva, hon býr í Moskva
моски́т	m(сем. Phlebotomidae) moskito [-Ꞌkʰiː-]м0-ar{0<>i};ж0-ir
моско́вский	adjmoskva-, í Moskva (в Москве), úr Moskva (из Москвы); по моско́вскому вре́мени moskvatíð@Вели́кое кня́жество Моско́вскоеsøg.Stórfúrstadømið Moskva (1263-1547)
мосла́к	Genмослак|а́;Gen~и́, ~о́в, ~а́мmóvkm.síмосо́л
мосла́стый	stfмосла́ст, ~а, ~о, ~ыadjtlm.knotuturсогл
мосо́л	Genмосл|а́; plur~ы́, ~о́в, ~а́мmtlm.knotaжгл-a(ið stingur fram undan húðini); мослы́ торча́т у него́тжhann er ber húð og beinидиом.; hann skríður í skræðuni [skɹεav-]идиом.
Моссове́т	msovjet.Моско́вский городско́й Сове́т депута́тов трудя́щихся býarsovjettin í Moskva
мост	Genмо́ста, моста́,Prpо мо́сте, на мосту́;plurмост|ы́, ~о́в, ~а́мm1.(сооружение) brúgvжнепр; идти́ по́ мосту {по мо́сту, по мосту́} ganga eftir [εʰtː-] brúnni; зае́хать за́ мост {за мо́ст} snara um brúnna; подня́ться на́ мост {на мо́ст} fara upp á brúnna; находи́ться за́ мостом {за мосто́м, за мо́стом} vera hinumegin brúnna; постро́ить {перебро́сить} мост че́резчто-л.byggja eina brúgv tvørturum o-t2.bil.(часть шасси) aksilм0осн-s,-ar; за́дний мост bakaksil ; пере́дний мост foraksil [fɔɹ-]3.(зубной) brúgvжнепр(við tonnum)4.síмо́стик3@сжечь за собо́й мосты́brenna allar [-tl-] brýrпог.=>возду́шный2,плаву́чий1,подня́ть4,развести́I 3,разводно́й2
мо́стик	m1.dim avмост2.(на судне и др.) brúgvжнепр(á skipi); капита́нский {команди́рский} мо́стик brúgv, kommandobrúgv [-Ꞌma-]ннкпроф.3.fiml.(фигура в гимнастике) brúgvжнепр; сде́лать мо́стик faraслнó-ó-aniður í brúgv
мости́ть	мощу́, мост|и́шь, ~я́тipf1.pfзамости́тьзамощу́, замост|и́шь, ~я́т, вы́моститьвы́мощу, вы́мост|ишь, ~ят что-л.(покрывать камнем) leggjaнепрo-tvið gróti, steinsetaur(t);ir(t)o-t, leggjaнепрo-tvið brosteinumпроф.2.pfнамости́тьнамощу́, мост|и́шь, ~я́т(настилать) leggjaнепрfjalar áo-t, leggjaнепрbrettir áo-t, leggjaнепрplankar [-aŋ̊k-]á o-t
мостки́	мостк|о́в, ~а́мm plur1.tlm.(деревянный настил) gongubrúgvжнепр, gongubreytж0-ir; fortovннкс0о, gongubreytнпж0-ir(av fjalum) (тротуар)2.(площадка на лесах) gongubrúgvжнепр(á stillassi)3.(помост) (báta)brúgvжнепр
мостова́я	fkoyribreytж0-ir
мостово́й	adjbrúgvar-; мостовы́е весы́ brúgvarvekt; мостово́й кран traverskrani [-Ꞌvεʂkʰɹaː-]
мосто́к	Genмостка́; plurмостк|и́, ~о́в, ~а́мm tlm., dim., kel. tilмост
Мосу́л	mMosulм0{дат.0}
мосье́	m indecl1.(обращение) monsieur [møꞋsjøː]м нескл.(tiltala í fransktalandi londum o.a.)2.skemt.(мужчина) mannfólkс0о; tú (í tiltalu)ella verður ikki umsett
мо́ська	plurмо́ськи, мо́сек, мо́ськамf1.tlm.(собака) mopsurмсогл-ar(hundaslag)2.óvkm.(лицо) snýðiсгл-iласк.(á barni)
МОТ1	I [мот]f indeclМеждунаро́дная организа́ция труда́ ILO [iː εlː Ꞌoː]с нескл.(англ.International Labour Organization) Altjóða Verkafelagsskapurin
мот2	IImoyðilandс0о{a/o}, oyðslс0о, amariмгл-ari
мота́лка	plurмота́л|ки, ~ок, ~камftlm.vindariмгл-ari, spolariмгл-ari
мота́ть1	Iipf1.pfнамота́тьчто-л.(навивать,свивать) vindaслнa-u-uo-t; spolaaðio-t(на катушку); hespaaðio-t(о пряже); vikklaaðio-t(о проволоке и т.п.)2.pfпомота́ть,momentмотну́тьмотн|у́, ~ёшь, ~у́т чем-л.tlm.(двигать из стороны в сторону) reiggjaaðio-t; мота́ть голово́й ristair(t)við høvdinum; мота́ть хвосто́м látaслнæ-ó-ávið halanum; мота́ть тря́пкой над голово́й reiggja eina tvøgu [tʰvøːvʊ] yvir høvdinum [hœtː-]3.что-л.tlm.(сильно качать) fáaслнe-i-io-tat sveiggja, sveiggjaaðio-t; ristair(t)o-m;óprulla [-tla]aði(um skip o.tíl.); су́дно си́льно мота́ло skipið rullaði illa [-tl-]4.кого-л.tlm.(изнурять) møðair(d)o-n, pínair(d)o-n, plága [pʰlɔava]aðio-n5.что-л. кому-л.tlm.(нервировать,изматывать): мота́ть не́рвыкому-л.gangaслнe-i-io-mupp á nervarnarнеформ.; мота́ть ду́шукому-л.plága [pʰlɔava]aðilíviðav o-m6.pfумота́тьintróvkm.(быстро ехать,идти куда-л.) faraслнó-ó-adrønandiэнкнеформ., drønaэнкнеформ.; faraслнó-ó-aspelandi (бегом);bert imperóvkm.мота́й отсю́да! slepp tær avstað [aꞋstεa]!; pilla av við tær!грубо, вульг.7.pfумота́ть (что-л.)tlm.(пропускать занятия) skulkaaði(frá o-m); мота́ть уро́ки skulka frá tímunum =>ус@
мота́ть2	IIipf(pfпромота́ть)что-л.tlm.(нерасчётливо тратить) oyðair(d)o-t(burtur) (spilla burtur), søplaaðio-tburtur, spilla [-tl-]ir(t)o-tburtur
мота́ться	ipftlm.1.bert 3. pers brúktur(болтаться) dinglaaði, darlaaði; bóltaaði, rulla [-tl-]aði(качаться-о судах и др.)2.(суетиться) válaaði, (gangaслнe-i-iog) malaслнó-ó-a3.(по чему-л.) (скитаться) fjakkaaði(um o-t), reikaaði(um o-t)
моте́ль	[-тэ-]mmotell [-Ꞌtʰεlː]с0о
моте́т	[-Тэ́Т]mMoett [-Ꞌtʰεʰtː]ж0-ir
моти́в1	Im1.(причина) grundж0-ir, orsøkж0-ir{ø/a}; motiv [-Ꞌtʰiːv]ннкс0o{;0-ir); по ли́чным моти́вам av persónligum grundum2.(довод) grundgeving [kɹʊntʃ-]ж0-ar, motivering [-Ꞌveː-]ж0-ar(grundgeving)
моти́в2	IIm1.mus.(единица мелодии) motiv [-Ꞌtʰiːv]с0o{;0-ir)2.mus.(напев,мелодия) lagс0o{a/ø}{0<>i}, melodiur [-Ꞌtiː-]ннкмсогл-s,-ir3.bókm., list(тема,сюжет) motiv [-Ꞌtʰiːv]с0o{;0-ir), evniсгл-i(hjá málningi, bók o.ø.)
мотива́ция	fgrundgeving [kɹʊntʃ-]ж0-ar
мотиви́ровать	мотиви́ру|ю, ~ешь, ~ютipf/pf что-л.grundgeva [kɹʊntʃ-]слнa-ó-ifyri o-m, motivera [-Ꞌveː-]ннкaðio-t(grundgeva)
мотивиро́вка	plurмотивиро́в|ки, ~ок, ~камfgrundgeving [kɹʊntʃ-]ж0-ar, motivering [-Ꞌveː-]ж0-ar(grundgeving)
мотну́ть	moment síмота́тьI 2
мотня́	plurмотн|и́, ~е́й, ~я́мffisk.(трала) bellurмсогл-arрыб.(á troli)
мото...	í samansa) motor- [-Ꞌtʰoːɹ-],t.d.мотобо́т motorbátur [-Ꞌtʰoːɹ-], мотоса́ни motorsleta [-Ꞌtʰoːɹ-]; b) motoriseraður [-Ꞌseː-]глaður,t.d.мотодиви́зия motoriserað [-Ꞌseː-] división; c) motorsúkklu- [-Ꞌtʰoːɹ-],t.d.мотого́нки kappkoyring (á motorsúkklu)
мотобло́к	m lítil landbúnaðarmaskina(fresari o.a.)
мотобо́л	mmotorsúkklufótbóltur [-Ꞌtʰoːɹ-]мсогл-ar
мотобо́т	mmotorbátur [-Ꞌtʰoːɹ-]мсогл-ar
мотова́тый	stfмотова́т, ~а, ~о, ~ыadjtlm.oyðsluturсогл
мотовездехо́д	mATV [aː tʰeː ˈveː]м нескл., ATV-ari [aː tʰeː ˈveː-]мгл-ari, lendisakfarс0о{a/ø}офиц.
мотови́ло	n(для сматывания) hespariмгл-ari, hesputræс0о{æ/ø}{0<>i}
мото́вка	plurмото́в|ки, ~ок, ~камfoyðilandс0о{a/o}, oyðslс0о, amariмгл-ari
мотовско́й	adj tlm.oyðsluturсогл
мотовство́	noyðslс0о(tað at spilla pengar burtur)
мотого́нки	мотого́н|ок, ~камf plurmotorsúkklukappkoyring [-Ꞌtʰoːɹ-]ж0-ar
мотого́нщик	mmotorsúkklukappkoyrari [-Ꞌtʰoːɹ-]мгл-ari
мото́к	Genмотк|а́; plur~и́, ~о́в, ~а́мmnoða [nuːwa]сгл-a(клубок); ellubitiмгл-i(маленький клубок); dukkaжгл-a(тонкой нитки); fetiмгл-i(пряжи на мотовиле); villiмгл-i(шерсти); rull [-tl]с0о(проволоки)
мотокро́сс	mmotocross [-kʰɹɔsː]с0о
мотопехо́та	fmotoriserað [-Ꞌseː-] fótfólkaherliðс0о{0<>i}
мото́р	mmotorur [-Ꞌtʰoː-]мсогл-ar; мото́р в девяно́сто пять лошади́ных сил fimm og hálvfems [fɪmːhɔlf-] hesta motorur; включи́ть {завести́, запусти́ть} мото́р starta motorin =>вы́ключить1
моториза́ция	fmotorisering [-Ꞌseː-]ж0-ar
моторизо́ванный	adjmotoriseraður [-Ꞌseː-]глaður
мотори́ст	mmaskinmaður [-Ꞌʃiːn-]мнепр
мото́рка	plurмото́р|ки, ~ок, ~камftlm.maskinbátur [-Ꞌʃiːn-]мсогл-ar(открытого типа); motorbátur [-Ꞌtʰoːɹ-]мсогл-ar(бот,катер)
мото́рный1	Iadjmotor- [-Ꞌtʰoːɹ-]; мото́рный ваго́н motorvognur [-Ꞌtʰoːɹ-]; мото́рная ло́дка maskinbátur [-Ꞌʃiːn-] (открытого типа)
мото́рный2	IIadjfysiol.(двигательный) rørslu-, motoriskur [-Ꞌtʰoː-]соглskпроф.
моторо́ллер	mskutari {scootari [skʰuː-]}мгл-ari
мотор-шо́у	n indeclbilsýning ж0-ar(oftast stór)
мотострелко́вый	adj: мотострелко́вые войска́ motoriserað [-Ꞌseː-] fótfólkaherlið
мотоци́кл	mmotorsúkkla [-Ꞌtʰoːɹ-]жгл-a
мотоцикле́т	mgml.síмотоци́кл
мотоцикле́тка	plurмотоцикле́т|ки, ~ок, ~камfgml.síмотоци́кл
мотоцикле́тный	adjmotorsúkklu- [-Ꞌtʰoːɹ-]
мотоцикли́ст	mmotorsúkklukoyrari [-Ꞌtʰoː-]мгл-ari
мото́чек	Genмото́чк|а; plur~и, ~ов, ~амm dim avмото́к
моты́га	fhakiмгл-i(grev sett í vinkli á skaft)
моты́жить	моты́ж|у, ~ишь, ~атipf что-л.veltair(t)o-t(við haka)
мотылёк	Gen, Accмотыльк|а́;plur~и́, ~о́в, ~а́мm(lítil) summarfuglurмсогл-ar
мотылко́вые	plur (подсем. Fabaceae) ertnablómuættinжo-irопр бот.
моты́ль	Gen, Accмотыл|я́;plur~и́, ~е́й, ~я́мm(hoy)nigilм0осн-s,-ar(av ym. mýggjabitum)
мох	Genмха, мо́ха, мо́ху,Prpо мхе, о мо́хе; во {на} мху;plurмхи, мхов, мхамm(отдел Bryophyta) mosiмгл-i; мо́хом обрасти́ vaksa við mosa,sbr.@; поро́сший мо́хом {мхом} mosavaksinсоглосн, mosaginginсоглосн@мо́хом обрасти́ {зарасти́, покры́ться}firnastaðifólk, gerastнепрfólkaskýgginсоглосн=>исла́ндский@
мохе́р	mmohair [moꞋheːɹ]с0о({0<>i})
мохе́ровый	adjmohair- [moꞋheːɹ-]
мохна́тый	stfмохна́т, ~а, ~ыadj1.(обросший волосами) loðinсоглоснð/d; hárvaksinсоглосн; ývinсоглосн, rísinсоглосн; frísuturсогл(косматый); лохма́тая соба́ка loðin hundur; лохма́тая грудь loðin bringa; лохма́тая гусени́ца loðin larviннк2.bert lf(о ткани и др.) loðinсоглоснð/d; frotté- (махровый); мохна́тый ковёр loðið teppi; мохна́тое полоте́нце frottéhandklæði [-Ꞌtʰeːhaŋ̊kla]3.(имеющий густые ветви,хвою и т.п.) avvaksinсогл, avtakinсогл(við greinum,bløðum o.ø.)
мохноно́гий	stfмохноно́г, ~а, ~о, ~иadjvið lodnum beinum (обросшие волосами); við beinum vaksnum við fjaðrum (обросшие перьями)
мохови́к	Genмоховик|а́;plur~и́, ~о́в, ~а́мm(Boletus spp.)sløg av smørsoppi(en.mossiness mushroom o.o.; da.broget rørhat)
мохово́й	adjmosa-
моцио́н	mbókl.spaseritúrur [-Ꞌseː-]ннкмсогл-ar;согл-s,-ir, gongutúrurмсогл-ar;согл-s,-ir(til heilsubót, til hvíld); пройти́сь для моцио́на ganga ein túr fyri at røra seg
моча́	flandс0о(væta); tvagс0о{0<>i}(моча,использованная для мытья и т.п.); urin [-Ꞌriːn]с0омед., проф.; ана́лиз мочи́ landroyndофиц., urinprøvi [-Ꞌriːn-]мед., проф.
моча́лить	моча́л|ю, ~ишь, ~ятipf1.pfразмоча́литьразмоча́л|ю, ~ишь, ~ят что-л.(раздирать на мочало) trevsa [-εfs-]aðio-t(bast o.tíl.)2.кого-л.tlm.(мучить) pínair(d)o-n, plága [pʰlɔava]aðio-n
моча́лка	plurмоча́л|ки, ~ок, ~камfviskurсогл(av basti o.tíl,at skrubba sær við); svampurмсогл-ar(úr stáltráði o.ø. tilfari), stálull [-tl]с0о(at vaska við) (из другого материала)
моча́ло	n1.(луб) lindabastс0о2.fl., tlm.(о чём-л. растрепавшемся) flosnaður togendiмгл-i(верёвка); hárpesjaжгл-a, meisж0-ir(о волосах)@жева́ть моча́лоtlm., atf.júkaaðio-t, jabbaaðio-t
мочеви́на	furinstoff [-Ꞌriːn-]ннкс0опроф., landevniлпсгл-i
мочево́й	adjland-; urin- [-Ꞌriːn-]проф., мед.; мочева́я кислота́ urinsyra [-Ꞌriːnsyː-]ннк, urinsýra [-Ꞌriːnsʊiː-]ннк, landsýra [lans-]лп=>пузы́рь3
мочего́нный	adjvatndrívandi [vant-]глandi, landdrívandi [lant-]глandi
мочеиспуска́ние	ntað at kasta sær at vatninum
мочеиспуска́тельный	adj: мочеиспуска́тельный кана́л urinrør [-Ꞌriːn-]ннкс0опроф., landræsi [lanr-]лпсгл-i, vatnræsi [vanr-]лпсгл-i
моче́ние	nsúltingж0-ar
мочёный	adjsúltaðurглaður
моче́нье	ntlm.súltaðar fruktirж0-ir, súltað grønmetiсгл-i
мочеотделе́ние	ntað at kasta sær at vatninum
мочеполово́й	adj: мочеполовы́е боле́зни sjúkur í vatnræsumлпog kynsgøgnumнп
мочето́чник	murinleiðari [-Ꞌriːn-]мгл-ariпроф., landpípa [lanp-]лпжгл-a
мочи́ловка	plurмочи́лов|ки, ~ок, ~камf óvkm.slagsmál [slaʰks-]ннкс0o, bardagiмгл-i
мочи́лово	plurмочи́лов|а, ~, амn jarg.slagsmál [slaʰks-]ннкс0о, bardagiмгл-i
мочи́ть	мочу́, мо́ч|ишь, ~атipf1.pfзамочи́тьзамочу́, замо́ч|ишь, ~ат, намочи́тьнамочу́, намо́ч|ишь, ~ат Acc(делать мокрым) geraнепрВинvátan2.pfвы́мочитьвы́мочу, ~ишь, ~ат(держать в воде)что-л.leggjaнепрo-tá blot3.что-л.(яблоки,фрукты) súltaaðio-t(súreplir,frukt o.a.)4.кого-л. jarg.(жестоко бить, избивать) berjair(d){e/a}{+}o-nav, lemjaur(d){e/a}{+}o-nav, bukaaðio-nav5.кого-л.jarg.(убивать) drepaслнa-u-io-n
мочи́ться	мочу́сь, мо́ч|ишься, ~атсяipf1.pfпомочи́тьсяпомочу́сь, помо́ч|ишься, ~атся(испускать мочу) kastaaðisær av vatninum, pissaaðiнеформ., mígaслнei-i-iгрубо2.tlm.(мочить себя) geraнепрseg vátan; liggjaслнá-ó-iá bloti (быть замоченными)
мо́чка1	Iмо́ч|ки, ~ек, ~камf1.(часть уха) oyralippaжгл-a2.plant.(часть корня) (kløn) rótgreinж0-ar;0-ir
мо́чка2	IIf1.(вымачивание) bloytingж0-ar2.(о яблоках и др.) súltingж0-ar(av súreplum o.ø.)
мочь1	Iмогу́, мо́жешь, мо́гут;pretмог, могл|а́, ~о́, ~и́;imperмоги́(í onkrum sambandi,tlm.)ipf(pfсмочьсмогу́, смо́жешь, смо́гут; pret смог, смогл|а́, ~о́, ~и́; imper смоги́(í onkrum sambandi,tlm.)1.(быть в состоянии) kunnaнепр;+ inf тжfáaслнe-i-i+суп.; он мо́жет сде́лать э́то hann kann gera hetta,sbr. 3; я не могу́ (+ inf)тжeg fái ikki (+суп.); я не могу́ откры́ть дверь eg fái ikki hurðina upp; он мо́жет встатьтжhann fær reist seg; он не мо́жет встать hann fær ikki reist seg; я больше не могу́ eg orki ikki meira2.(иметь возможность что-л. делать) kunnaнепр(bera til,vera møguligt); он мог ви́деть нас вчера́ hann hevur kunnað sæð okkum í gjár3.(уметь что-л. делать) dugair(d){+}; он мо́жет почини́ть телеви́зор hann dugir at gera sjónvarpið aftur [aʰtː-]4.(иметь возможность осуществиться,иметь право) kunnaнепр(hava møguleika fyri,hava rætt til); состоя́ние мо́жет ухудши́ться støðan kann versna [vεsna]; они́ мо́гут не де́лать э́того teir kunnu lata vera við at gera tað; ты мо́жешь идти́ tú kanst fara@мо́жет быть {быть мо́жет}parentkanska, tað kann vera; не могу́ знатьgml.eg veit ikki (serl. í herinum,nú mestskemt.);ви́деть не могу́eg orki ikki Ꞌ fyri tí; не мо́жет быть!(nei,) tað ber ikki til!; (nei,) nú lýgur tú!;не моги́!gml., tlm.tú skalt ikki (gerao-t), tú skalt ikki hugsa um at gerao-t; и ду́мать не моги́! tú skalt ikki so mikið sum hugsa um tað!;как живёте-мо́жетеtlm.hvussu hava tygum tað?; hvussu liva tygum?; hvussu veit við?; hvussu stendur til?; сде́латьчто-л.че́рез не могу́tlm.kýtair(t)seg at gerao-t, takaслнó-ó-især um reiggj at gerao-tпог.; leggjaнепрallar [-tl-] árar í sjógv at gerao-tидиом.
мочь2	IIж: что есть мо́чи {во всю мочь, изо всей мо́чи} av øllum [œtl-] alvi, tað dýrastao-rer mentur@мо́чи нет: мо́чи нет ви́деть её eg orki ikki at síggja hana; мо́чи нет, как ... tað er ræðulig, tað er ...; tað er øðiligt, tað er...; мо́чи нет, как хо́лодно tað er ræðuligt, tað kalt; мо́чи нет, пить хочу́ eg eri um at sálast av tosta
моше́нник	msvindlari [svɪnla-]энкмгл-ariнеодобр., kúllurннкмсогл-arнеодобр., snýtariмгл-ariнеодобр.
моше́нница	msvindlari [svɪnla-]энкмгл-ariнеодобр., snýtariмгл-ariнеодобр.(konufólk)
моше́нничать	ipf(pfсмоше́нничать) svindla [svɪnla]aði, snýtair(t)
моше́ннический	adjsvindil-неодобр., svindlara [svɪnl-]неодобр.
моше́нничество	nsvindilм0осн-s,-arнеодобр., snýtarí [-Ꞌrʊi-]с0онеодобр.
мо́шка	plurмо́ш|ки, ~ек, ~камf(сем. Simuliidae)ætt av tvíveingjaðum insektum(en.black flies; da.kvægmyg), eis.koll
мошкара́	f koll síмо́шка
мошна́	plurмошны́, мошо́н, мошна́мf1.gml.(кошелёк) pengaposiмгл-i2.óvkm.(деньги,состояние) pengarмгл-iмн; он челове́к с мошно́й hann eigur ikki sørt av pengum; про́жил всё, мошна́ ста́ла ме́ньше hann hevur brúkt alt, so tað er minkað í punginum@у кого-л.туга́я {то́лстая} мошна́óvkm.o-reigur nógvar pengar;наби́ть мошну́óvkm., atf.ríkaaðiseg upp;тряхну́ть мошно́йóvkm.pungaэнкaðiꞋ útнеформ.
мошо́нка	plurмошо́н|ки, ~ок, ~камfskólpurмсогл-ar, pungurмсогл-ar(uttan um eistini)
мошо́ночный	adjskólpa-, pung-; мошо́ночная гры́жа pungbrokk
моще́ние	nsteinsetingж0-ar, broleggningж0-arпроф.,спец.
мощёный	adjsteinsetturсогл, lagdurсогл{a/ø}við gróti, lagdurсогл{a/ø}við brosteinumпроф.,спец.
мо́щи	мощ|е́й, ~а́мf plurhalgigripurмсогл-ar(bein av halgimenni o.a.), relikvia [-Ꞌliː-]интжгл-a(bein av halgimenni o.a.)@живы́е мо́щиtlm.rituræс0о{0<>i}идиом.(o-r,ið er sera rak)
мо́щность	f1.(сила) styrkiжгл-i, kraftж0-ir{a/e}; mátturмсогл-ir, megiжгл-i2.fys., tekn.(величина) kraftж0-ir{a/e}; orkaжгл-a, kapacitetur {kapasitetur} [-pʰaːsiꞋtʰeː-]ннкмсогл-s,-irпроф.,техн.; effekt [-Ꞌfε-]ж0-irспец.(величина работы); мо́щность дви́гателя maskinorka [-Ꞌʃiː-], motorkraft [-Ꞌtʰoː-]; морози́льная мо́щность frystikorka, frystikapacitetur [-pʰaːsiꞋtʰeː-]ннкпроф; произво́дственная мо́щность framleiðsluorka, framleiðslumegi; промысло́вая мо́щность veiðiorka; (рабо́тать) на по́лную мо́щность arbeiða fyri fulla [-tl-] kraft, koyra upp á fulla [-tl-] kraft; включи́ть ра́дио на по́лную мо́щность skrúva radioið [raː-] fult frá; skrúva radioið [raː-] Ꞌ forнеформ.frá; мо́щностью в сто лошади́ных сил upp á hundrað hestakreftir3.(толщина жилы,пластины) tjúkd [tʃʰʏkt]ж0-ir=>отбо́р,расчётный3
мо́щный	stfмо́щен, мощна́, мо́щн|о, ~ыadj1.(сильный) sterkurсогл(тжтехн.), kraftmikilсоглосн; kraftigurннкглigur(тжпроф.,техн.о двигателе и т.п.); dyggurсогл(удар и т.п.)2.(о жиле,пласте) tjúkkurсогл(um lind,lag o.a.)3.(величественный) stórfingin [stœɹ̥-]соглосн(um bygningar o.a.)4.tlm.(интересный) forvitnisligurглigur, spennandiглandi; týðandiглandi(значительный)
мощу́	1. pers pres avмости́ть
мощь	fmátturмсогл-ir, styrkiжгл-i; всей мо́щьютжav øllum [œtl-] alvi
мо́ющий	IpartмытьIIadjvaski-; мо́ющие сре́дства vaskievnir, vaskimiddilннк
моя́	f avмой
мп	[эм-пэ́]n indeclма́лое предприя́тие
МППСС	[эм-пэ-пэ-эс-э́с]plur indeclМежуднаро́дные пра́вила предупрежде́ния столкнове́ния судо́в в мо́ре COLREG [kʰɔlrεkː]с нескл.
МПС1	I [эм-пэ-э́с]n indeclМинисте́рство путе́й сообще́ния Росси́йской Федера́ции Samferðslumálaráðið í Russiska Samveldinum
МПС2	II [э́м-пэ-э́с]m indeclМорско́й попечи́тельский сове́тsíпопечи́тельский
м-р	ми́стер Mr., mister
мр...	мрёт, мру́тpres avмере́ть
мразь	fvanv.1.(о людях) pakkс0особир.пренебр., harkaliðсобир. с0о{0<>i}пренебр.2.illb.: ах ты, мразь! á, títt býtta fyl!
мрак	m1.hátíð.(темнота) myrkurс0осн, niðaжгл-a; во мра́ке í bølamyrkri, í niðu2.fl.(о состояниии) myrkurс0осн; мрак неве́жестваhátíð.fávitskunnar [-vɪsk-] myrkur@э́то покры́томра́ком неизве́стностиoftastskemt.hetta er dult í óvissu
мракобе́с	mafturhaldskroppur [aʰtːʊɹhal̥s-]мсогл-ar; obskurantur [-Ꞌra-]интмсогл-arред., obskurantistur [-Ꞌtʰɪ-]интмсогл-arред.(обскурант)
мракобе́сие	nsvart afturhald [aʰtː-]с0о; obskurantisma [-Ꞌtʰɪ-]интжгл-aред.(обскурантизм)
мра́мор	mmarmor [-moːɹ]с0о({0<>i})=>подB 4,разде́лать2
Мра́морноемо́ре	Marmarahavið [-Ꞌmaː-]опр., Marmarahav [-Ꞌmaː-]лп
мра́морный	adj1.(из мрамора) marmor- [-moːɹ-], úr marmori [-moːɹɪ]; мра́морная плита́ marmorpláta2.(похожий на мрамор) marmoreraður [-Ꞌreː-]глaður, marmorlíkur [-moːɹ-]согл3.(белый) marmorhvítur [-moːɹ-]согл
мрачнеть	ipf(pfпомрачне́ть)1.(стемнеть) myrkna[mɪʂna]aði, dimmaaði2.(становиться угрюмым) gerastнепрdapur, gerast dapurнепрí huga
мра́чно	Iadvdapurt, dapurligaIIpred1.(темно) tað er myrkt2.(о настроении,состоянии) tað er dapurt
мра́чность	f1. (темнота) myrkurс0о, dimmiсглi2.(о сосыоянии) dapurleikiмгл-iкн.; ógleðiжгл-iкн., tristheitннкж0-ir(безотрадность); hugatyngdжгл-i(грусть)
мра́чный	stfмра́чен, мрачна́, мра́чно, мрачны́ogмра́чныadj1.(тёмный) myrkurсогл, dimmurсогл; skummilннксоглосн(гнетущий,угрожающий)2.(о человеке,настроении и т.п.) dapurсогл{a/ø}, tungurсогл; tunglyndurсогл(угрюмый); tristurннксогл(грустный,печальный); он в мра́чном настрое́нии hann er tungur í huga, hann er dapurhugaður; мра́чные мы́сли daprir tankar [tʰaŋ̊k-]; ви́деть всё в мра́чном све́те síggja svart upp á alt3.(тяжёлый,беспросветный) dapurсогл{a/ø}, tungurсогл; мра́чные дни tungir dagar
мреть	bert 3. persмре́|ет, ~ютipf gml.támaaði, hjóma [tʃʰ-]aði
МРО	[эм-эр-о́]f indeclме́стная [-сн-]религио́зная организа́ция trúarsamkomaжгл-a(á ávísum stað, sum lýkur ávísar treytir)
МРОТ	[эм-эр-о-тэ́]m indeclминима́льный разме́р опла́ты труда́ minst møguliga lønж0-ir, minimalløn [miːniˈmaːl-]ж0-ir
МРТ	[эм-эр-тэ́]f indeclмагни́тно-резона́нсная томогра́фияsíтомогра́фия
м/с	медици́нская сестра́
м-с	ми́ссис
МСИМ	[эм-эс-и-э́м]m indeclМеждунаро́дный сове́т по иссле́дованию мо́ря ICES [aisεs]с нескл.(англ.International Council for the Exploration of the Sea) Altjóða havgranskingarstovnurin [hau-]
мск	[эм-эс-ка́]indeclмоско́вское вре́мя moskvatíð
МСКЦ	[эм-эс-ка-цэ́]m indeclМорско́й спаса́тельно-координацио́нный центр MRCC [εmεɹseːꞋseː] (англ.Maritime Rescue Coordination Centre) sjóbjargingarstøðж0-ir
мсти́тель	mhevnariмгл-ari
мсти́тельница	fhevnariмгл-ari(konufólk)
мсти́тельность	fhevndarhugurмсогл-ar;согл-ir
мсти́тельный	stfмсти́телен, мсти́тельн|а, ~о, ~ыadjhevndarhugaðurглaður, hevnisøkinсоглосн; hevnisamurсогл{a/o}, íminturсогл(злопамятный)
