Р	рентге́н röntgen {røntgen} [rœŋ̊kɪn]
резонёрствовать	резонёрству|ю, ~ешь, ~ютipfbókl.moralisera [-raːliꞋseː-]aðiнеформ.
резони́ровать	резони́ру|ет, ~ютipfgevaслнa-ó-iresonans [-Ꞌna-]
резо́нный	stfрезо́н|ен, ~на, ~но, ~ныadjskilagóðurгл{+}, fornuftigur [-Ꞌnʊ-]ннкглigur
результа́т	m1.(конечный итог) úrslit [ʏʂl-]с0о, resultat [-Ꞌtʰaːt]ннкс0о(;0-ir); úrtøka [ʏɹ̥t-]жгл-a(итоги и др.); он пришёл к друго́му результа́тутжhann kom til eina aðra niðurstøðu2.ítr.(спортивный) úrslit [ʏʂl-]с0о, resultat [-Ꞌtʰaːt]ннкс0о(;0-ir)@име́ть результа́томчто-л.havaнепрo-tsum úrslit; э́то име́ло резулта́томчто-л. o-tspurdist burtur úr hesum; úrslitið av hesum varo-t;в результа́течего-л.sum eitt úrslitav o-m, sum ein fylgjaav o-m, sum ein avleiðing [au-]av o-m;а в результа́теa) (вопреки) kortini, allíkavæl [-Ꞌlʊi-]ннк; b) (и потому) og tí
результати́вный	stfрезультати́в|ен, ~на, ~но, ~ныadjsum hevur góð úrslit [ʏʂl-]
ре́зус	m1.(Macaca mulatta) rhesusapaжгл-a2.tlm.síре́зус-фа́ктор
ре́зус-фа́ктор	mrhesusfaktorur [reː-]мсогл-ar
ре́зче	comp avре́зкий og ре́зко
ре́зчик	m1.(художник) myndaskerariмгл-ari; ре́зчик по де́реву træskerariмгл-ari2.(рабочий)o-r,ið fæst við skering; ре́зчик стекла́ glasskerariмгл-ari
резь	fring pínaжгл-a, meinur stingurмсогл-s,-ar; ре́зи в животе́ (ring) búkilskaжгл-a, kolikkur [-Ꞌlɪʰkː]мсогл-arпроф.
резьба́	f1.(вырезывание) útskeringж0-ar; резьба́ по де́реву træskurðurмсогл-ir2.(произведение) útskeringж0-ar, skurðurмсогл-ir3. (винтовая нарезка) skrúvugangurмсогл-s,-ar, gevind [keꞋvɪnt]с0о
резьбово́й	adjgevind- [-Ꞌvɪ-] =>гребёнка2
резюме́	[-мэ́]n indecl1. (краткое изложение) samandrátturм0осн-ar,-ir;согл-ir; úrtak [ʏɹ̥tʰ-]с0o{a/ø}(отрывок,выдержка), resume [-Ꞌmeː]ннкс0o(;0-ir)2.(сведения об образовании и т,.п.) upplýsingarskemaс0гл-a; ≈ CV [seː Ꞌveː]с0о{0<>i}
резюми́ровать	резюми́ру|ю, ~ешь, ~ютipf/pf что-л.bókl.takaслнa-ó-isaman Ꞌum o-t, geraнепрsamandráttav o-m, resumera [-Ꞌmeː-]ннкaðio-t
реинкарна́ция	f rel.reinkarnatión [reːɪnkaɹnaʃɔun]ж0-irрел.
рей...	рей, ре́йтеimper avре́ять
рей1	Imráж0-ir(á mastur)
рей2	IIGen plur avре́я
рейв	[-э-]mrave [rεiv]м0-ar({0<>i})
ре́йвер	[рэ́-]mravefjeppari [rεiv-]мгл-ari
ре́йверский	[рэ́-]adjravefjeppara- [rεiv-]
рейв-клу́б	[рэ-]mfelagс0o{a/ø}{0<>i}fyri ravefjepparar [rεiv-]
рейд1	Im(водное пространство) redж0-ir; стоя́ть на ре́йде liggjaслнá-ó-iá redini
рейд2	IIm1.herm.(набег) snarálopс0о, raid [rεit]ннкс0о2.fl.(ревизия) ófráboðað grannskoðanж0-ir
ре́йдер	[-дэр] m o-r, sum roynir at yvirtaka eina fyritøku(serl. á fíggindaligan hátt)
ре́йдерский	[-дэр-]adj fíggj.yvirtøku- (síрейд, рейдер)
ре́йдерство	[-дэр-]n fíggj. roynd at yvirtaka fyritøku(serl. á fíggindaligan hátt)
ре́йка	plurре́йки, ре́ек, ре́йкамf1.(узкая доска) listiмгл-i; lektж0-ir(тонкая доска,напр. прикреплена на брус и т.п.)2.(с делениями) mátistokkurмсогл-ar; зу́бчатая ре́йка tannstongж0-ur{a/e}
Ре́йкьявик	[рэ́-]mReykjavík [rεʰtʃːa-] (реже[rεitʃa-])ж0-ir
Рейкья́вик	[рэ-]m vanlig úttala av býarnavninum,síРе́йкьявик
Ре́йкьянес	[рэ́йкйанэс]m: хребе́т Ре́йкьянес Reykjanesryggurin [rεʰtʃːa-]мсогл-ir;-s,-irопр.
Реймс	mReims [rεŋks]м нескл.
Рейн	mRhinen [riːnεn]ннкж0-ir{+}опр., Rínáinж0-ir{+}опр., Rínлпж0-irвыс., балл.
рейнве́йн	mrhinskvín [rɪ-]с0о, rínarvínлпс0о
рейс	flog.flogferðж0-ir;bil.túrurмсогл-ar;согл-s,-ir(hjá bussi o.ø.);skip.túrurмсогл-ar;согл-s,-ir(hjá skipi); рейс № (flog)ferð nr.; пе́рвый рейс jomfrúferð; вы́йти в рейс fara avstað [aꞋstεa] (til fiskiskap); находи́ться в ре́йсе vera burtur (til fiskiskap) =>ча́ртерный
ре́йсовый	adjrutu-; ре́йсовый автобу́с rutubussur; ре́йсово́й самолёт rutuflúgvariнкк, rutuflogfarнп
рейсфе́дер	[-дэр]mtussjpennurмсогл-ar
рейсши́на	fhøvuðslineal [-lɪɲjaːl]ж0-ir
ре́йтинг	[рэ́-]m1.talv, ítr.(показатель оценки шахматиста, спортсмена) rating [rεit-]ж0-ar, styrkismetingж0-ar2.fíggj.(показатель инвестициионной привлекатольности и др.) rating [rεit-]ж0-ar; креди́тный ре́йтинг kredittmeting [-ˈtɪʰt-]ж0-ar, kredittvurdering [-ˈtɪʰt-]ннкж0-arпроф.3.bókl.(показатель популярности) popularitetur [-laːɹiꞋtʰeː]мсогл-ar
ре́йтинг-ли́ст	[рэ́-]mratinglisti [rεit-]мгл-iэ́
рейтингова́ние	[рэ-]n1. (креитиг1) rating [rεit-]ж0.ar, styrkismeting  (gerðin)2. (кратингж0.ar2, 3) rating  [rεit-]ж0.ar(gerðin)
рейтингова́ть	[рэ-]рейтингу́|ю, ~ешь, ~ютipf/pf Acc ´1.ítr., talv(определить{определять} рейтинг спортсмена и др.) rata [rεita]aðiВин, styrkismetair(t)Вин2.fíggj (определить {определять} рейтинг банка и др.)rata[rεita]aði Вин
ре́йтинговый	[рэ́-]adj1.talv., ítr.(к рейтинг1) rating- [rεit-], styrkismetinga-r2. (крейтинг 2) rating- [rεit-]3.(пополярный) populerur[-ːˈleː-]интсогл
рейту́зы	f plur1.(для верховой езды) ríðibuksurжгл-aмн2.(детские,женские) gamassjubuksur [-Ꞌmaʃː-]жгл-aмн
рейх	[рэ-]m søg.Triðja Ríkiðсгл-iопр.
рейхска́нцлер	mríkiskanslariмгл-ari(í Týsklandi)
рейхста́г	mríkisdagurinмсогл{+}опр.(í Týsklandi)
река́	Accре́куogреку́; plurре́ки, рек, ре́камoggml.река́мf1.(водный поток) áж0-ir{+}; го́род на реке́ býurin við ánna; вверх по реке́ niðan eftir [εʰtː-] ánni; вниз по реке́ oman eftir [εʰtː-] ánni; пойти́ на́ реку fara oman til ánna; река́ ста́ла áin er fryst2.fl.(огромное количество чего-л.) streymurмсогл-ar(floymur); ли́ться реко́й renna í stríðum streymum; река́ кро́ви blóðfossurмсогл-ar, blóðstreymur =>забве́ние@,кисе́льный
ре́квием	[рэ́квиэм]m1.(богослужение) rekviemс0o({0<>i}), sálarmessaжгл-a2.(музыкальное произведение) rekviemс0o({0<>i})(musikkverk)
реквизи́ровать	реквизи́ру|ю, ~ешь, ~ютipf/pf Accleggjaнепрhaldá Вин
реквизи́т	m1.sjónl.(совокупность предметов) rekvisittar [-Ꞌsɪ-]мсогл-arмнспец.2.plurjur.(в документах и т.п.) lógkravd krøvс0о{a/ø}til skjølo.a.
реквизи́ция	ftað at leggja haldá Вин
ре́кет	m síрэ́кет
рекла́ма	f1.bert sing(оповещение) reklama [-Ꞌkʰlaː-]жгл-a; де́лать рекла́муDatgera reklamufyri Вин2.(объявления,афиши и т.п.) reklama [-Ꞌkʰlaː-]жгл-a(lýsing,plakat o.a.)
реклама́ция	fklaga [kʰlεava]жгл-a(um vøru o.a.), reklamatión [-kʰlaːmaꞋʃɔun]ж0-irпроф.
реклами́ровать1	Iреклами́ру|ю, ~ешь, ~ютipf/pf Acc1.(объявить) reklamera [-Ꞌmeː-]aðifyri Дат, geraнепрreklamu [-Ꞌkʰlaː]fyri Дат2.pf eis.разреклами́ровать (расхвалить) uppreklameraaðiВиннеодобр.
реклами́ровать2	IIреклами́ру|ю, ~ешь, ~ютipf/pf что-л.(объявить рекламацию) klagaaðium o-t(vøru o.tíl.), reklamera [-Ꞌmeː-]aðium o-tпроф.
реклами́ст	m1.(составляющий рекламы) reklamumaður [-Ꞌkʰlaː-]мнепр(ið ger reklamur)2.tlm.(рекламирующий себя)o-r,ið ger reklamu [-Ꞌkʰlaː-] fyri sær sjálvum
рекла́мка	plurрекла́м|ки, ~ок, ~камf dim tilрекла́ма
рекла́мный	adjreklamu-; рекла́мное бюро́ lýsingastovaжгл-a
рекламода́тель	mlýsariмгл-ari
рекламоноси́тель	m fakm.lýsingarmiðilм0осн-s,-ar
рекогносци́ровать	рекогносци́ру|ю, ~ешь, ~ютipf/pf что-л.herm.njósnastaðium o-t, kannaaðio-t
рекогносциро́вка	f1.herm.(изучение местности и др.) njósnanж0-ir, kanningж0-ar2.landm.,jarðf.(предварительное обследование) (for)kanningж0-ar
рекоменда́тельный	adjviðmælis- [vɪm-], anbefalings- [-falː-]ннк; sum verður mælturсоглtil, sum verður anbefalaður [-falː-]ннкглaður; рекоменда́тельное письмо́ viðmælisbræv; рекоменда́тельный спи́сок книг bøkur, sum mælt verður til (at lesa)
рекоменда́ция	f1.(действие,отзыв) viðmæli [vɪm-]сгл-i, anbefaling [-falː-]ннкж0-ar; почьей-л.рекоменда́ции eftir [εʰtː-] tilmælifrá o-m2.(совет) tilmæli [tʰɪl-]сгл-i, tilráðingж0-ar, anbefaling [-falː-]ннкж0-ar
рекомендова́ть	рекоменду́|ю, ~ешь, ~ютipf/pf1.pf eis.отрекомендова́тьотрекоменду́|ю, ~ешь, ~ют, порекомендова́тьпорекоменду́|ю, ~ешь, ~ют Acc(дать отзыв) gevaслнa-ó-iДатviðmæli, viðmælair(t)Дат, anbefala [-falːa]ннкaðiВин; его́ рекоменду́ют как хоро́шего специали́ста hann fær viðmæli sum ein góður fakmaður [faː-]; кни́га рекомендо́вана к печа́ти tað verður viðmælt at prenta bókina2.pf eis.порекомендова́тьпорекоменду́|ю, ~ешь, ~ют что-л., + inf(дать совет) mælair(t)til o-t, ráðaur(d){á/æ}til o-t, anbefala [-falːa]ннкaðio-t; рекомендова́ть заня́ться спо́ртом mæla til at íðka ítrótt3.pf eis.отрекомендова́тьотрекоменду́|ю, ~ешь, ~ют кого-л.gml.(представить) presentera [-Ꞌtʰeː-]ннкaðio-n
рекомендова́ться	рекоменду́|юсь, ~ешься, ~ютсяipf/pf1.pf eis.отрекомендова́тьсяотрекоменду́|юсь, ~ешься, ~ются)bókl.(представиться) presentera [-Ꞌtʰeː-]ннкaðiseg2.ipf pass(быть рекомандованным) vera viðmælturсогл, vera mælturсоглtil; рекоменду́етсяópmælt verður til at ...
реконструи́рование	n síреконстру́кция
реконструи́ровать	реконструи́ру|ю, ~ешь, ~ютipf/pf что-л.1.(переустроить) umbyggjair(d)o-t, umskapaar(t);aðio-t; umskipaaðio-t(broyta)2.(восстановить) rekonstrueraннкaðio-tпроф., endurskapaar(t);aðio-t
реконструи́роваться	реконструи́ру|ется, ~ютсяipf/pf1.(переустроиться) verða umbygdurсогл, vera umskapaðurглaður; verða umskipaðurглaður(broyttur)2.(восстановиться) verða rekonstrueraðurннкглaður, verða endurskapaðurглaður
реконстру́ктор	m o-r, ið fæst við endurskapan og framførslu av søguligum hendingum o.tíl(síреконстру́кция4)
реконстру́кторский	adj sum hevur við endurskapan og framffærslu av søguligum hendingum o.tíl. at gera (síреконстру́ктор4)
реконстру́кция	f1.(переустройство) umbyggingж0-ar, umskapanж0-ir; umskipanж0-ir(broyting); реконстру́кция го́рода býarendurnýggjanж0-ir2.(восстановление) endurreisnж0-ir; rekonstruktión [-Ꞌʃɔun]ннкж0-irпроф.(тж реконструированный предмет и т.п.)4.(театрализованное представление) (endurskapanж0-irog) framførsla жгл-а(av søguligari hending o.tlí.)
реко́рд	mmetс0о, rekord [-Ꞌkʰɔ-]ннкж0-ir; мирово́й реко́рд heimsmet; ли́чный реко́рд persónligt [-Ꞌsɔu-] met; установи́ть реко́рд seta met; поби́тьчей-л.реко́рд sláa metiðhjá[tʃʰ-]o-m; повтори́ть реко́рд tangera [tʰaŋꞋkeː-]aðieitt metспец., спорт.
рекорди́ст	m1.gml.síрекордсме́н2.(животное) vinnariмгл-ariav virðislønum (um húsdjór)
рекорди́стка	plurрекорди́ст|ки, ~ок, ~камf síрекордсме́нка
реко́рдно	adv: в реко́рдно коро́ткий срок upp á rekordtíð [-Ꞌkʰɔ-]ннк, upp á mettíðнп
реко́рдный	adjrekord- [-Ꞌkʰɔ-]ннк, met-; реко́рдная ско́рость rekordferð [-Ꞌkʰɔ-]ннк, metferðнп; реко́рдная вы́работка rekordframleiðsla [-Ꞌkʰɔ-]ннк, metframleiðslaнп; реко́рдные сро́ки rekordtíð [-Ꞌkʰɔ-]ннк, mettíðнп
рекордсме́н	m o-r,ið hevur eina rekord [-Ꞌkʰɔ-]ннк; methaviнпмгл-i
рекордсме́нка	plurрекордсме́н|ки, ~ок, ~камm o-r,ið hevur eina rekord [-Ꞌkʰɔ-]ннк; methaviнпмгл-i(konufólk)
ре́крут	msøg.nýinnkallaður [-tl-] soldatur [-Ꞌtaː-]мсогл-ar
рекру́тер	m o-r, sum fæst við rekruttering
рекру́тинг	mrekruttering [-ˈtʰeː-]ж0-arпроф.
рекру́тинговый	adjrekrutterings- [-ˈtʰeː-]проф.
рекрути́ровать	рекрути́ру|ю, ~ешь, ~ютipf/pf кого-л.1.søg.(брать в рекруты) takaслнó-ó-itil soldat [-Ꞌtaːt]2.bókl.(призывать) útvegaaðio-n, skaffaннкaðio-n(limir,manning o.tíl.); rekruttera [-Ꞌtʰeː-]ннкaðio-n частонеодобр.
рекру́тмент	mrekruttering [-ˈtʰeː-]ж0-arпроф.
ректифика́т	mreinsaður løgurмсогл-ir{ø/a}(við destillering o.a.)
ректифици́ровать	ректифици́ру|ю, ~ешь, ~ютipf/pf что-л.reinsaaðio-t(ym. løg við destillatión)
ре́ктор	mrektariмгл-ari(á hægri lærustovni)
ректора́т	m1.(администрация) umsitingж0-ar(av hægri lærustovni)2.(помещение) rektaraskrivstovaжгл-a
релакса́ция	favslappingж0-ar, avlastingж0-ar
реле́	n indeclrele [-Ꞌleː]с0о(;0-ir){0<>i}
релева́нтность	f1.bókl.(уместность) relevansur [-ˈva-]интмсогл-ar2.mál.(способность различичать) relevansur [-ˈva-]мсогл-arлингв.
релева́нтный	stfрелева́нт|ен, ~на, ~но, ~ныadj1.bókl. (существенный, важный) relevantur [-ˈva- ]интсогл2.mál.(различительный) relevantur [-ˈva-]согллингв.
реле́йный	adjrele- [-Ꞌleː-]
религио́зность	fgudsóttiмгл-i(богобоязнь), religiøsitetur [-liːkiøːsiꞋtʰeː-]интмсогл-ar
религио́зный	stfрелигио́з|ен, ~на, ~но, ~ныadj1.bert lf(относящийся к религии) trúar-, átrúnaðarligurглigur, religións- [reːliːkiꞋɔu-]инт; религио́зные во́йны religiónskríggj [reːliːkiꞋɔu-], trúarkríggj; религио́зные обря́ды ritual [-Ꞌaːl]2.(верующий) trúgvandiглandi; gudrøkinсоглосн, gudiligurглigurпренебр.(набожный); religiøsur [reːliːkiꞋøː-]интсогл
рели́гия	freligión [-liːkiꞋɔun]интж0-ir, átrúnaðurнпмсогл-ir; trúgvж0-ir{+}(вера)
рели́з	m1.fakm.(выпуск в свет) útgávaжгл-a(av fløgu, video o.ø.)2.tlm.(пресс-релиз) tíðindaskrivс0о, tíðindafráboðanж0-ir
рели́квия	fhalgiluturмсогл,-ir, halgigripurмсогл-s,-ir, relikvia [-ˈliː-]ннкжгл-a
рели́кт	mleivdж0-ir(planta,djór,ið livir eftir); fornleivd [-tn-], [fɔnl-]ж0-ir(fyribrigdi,sum livir eftir)
релье́ф	m1.(выпуклое изображение) relieff [-Ꞌεfː]с0о(;0-ir)2.(строение земной поверхности) relieff [-Ꞌεfː]с0о(;0-ir)(skap av jarðaryvirflatu,havbotni o.a.)
релье́фно	adv: релье́фно изобрази́ть seta í relieff; релье́фно вы́деляться vera sera ásýniligur
релье́фный	stfрелье́ф|ен, ~на, ~но, ~ныadj1.(крелье́ф 2) relieff- [-Ꞌεfː-]; релье́фная ка́рта relieffkort [-Ꞌεfː-]2.fl.bókl.(выразительный) livandiглandi; greiðurгл(ясный)
ре́льс	mskinnariмгл-ari(jarnbreyt o.tíl.);plur тжsporмн; сойти́ с ре́льсов faraснлó-ó-aav Ꞌ sporinum@перевести́что-л.на ре́льсычего-л.beinair(d)o-tinn áo-t;поста́витьчто-л.на ре́льсыsetaur(t);ir(t)o-tí gongd; setaur(t);ir(t)o-tá skinnararнеформ.
ре́льсовый	adjskinnara-; ре́льсовый путь jarnbanaspor [janpaː-]ннкс0oмн, jarnbreytarspor [janp-]нпс0oмн; jarnbani [janpaː-]ннкмгл-i, jarnbreyt [janp-]нпж0-ir
релятиви́зм	mrelativisma [-Ꞌvɪ-]жгл-a
релятиви́ст	mrelativistur [-Ꞌvɪ-]мсогл-ar
релятиви́стский	mrelativistiskur [-Ꞌvɪ-]соглsk
реляти́вный	stfреляти́в|ен, ~на, ~но, ~ныadjbókl.relativurннксогл, lutfalsligurнпглigur
Рем	mmyt.Remusм0-ar{0<>i}
рем...	ремо́нтный umvælingar-
рема́рка	f1.gml.(отметка) viðmerkingж0-ar(til tekst o.tíl., á breddanum á bók o.tíl.)2.sjónl.(в пьесе) leikleiðbeiningж0-arкн.
рема́стеринг	mremastering [-ˈmaː-]ж0-arтехн., спец.
ремасти́ровать	ремасти́ру|ю, ~ешь, ~ютipf/pf что-л.remastraaðio-t техн., спец.
ре́мез	m(Remiz pendulinus)fuglur av títuættini(en.penduline tit; da.pungmejse)
реме́нный	adjreim-; реме́нный при́вод reimdrev
реме́нь	Genремн|я́; plur ~и́, ~е́й, ~я́мm1.(полоса кожи и др.) reimж0-ar(eis. belti um miðjuna); приводно́й реме́нь drivreim; реме́нь безопа́сности trygdarbeltiсгл-i; привязны́е ремни́ trygdarbeltiсгл-i(í flogfari,bili); «пристегну́ть привязны́е ремни́» (команда) gerið so væl at binda tygum í2.plur(для переноски) berireimarж0-arмн@дать ремня́кому-л. óvkm.fleingjair(d){+}o-n(við reim), gevaслнa-ó-io-mreimina =>затяну́ть1,затяну́ться1,переда́точный1,подтяну́ть1,подтяну́ться1,приводно́й,пристегну́ть1
реме́нь-ры́ба	m-f(Regalecus glesne) sildakongurмсогл-ar, sildasterrilм0осн-s,-ar
реме́сленник	m1.(человек,владеющий ремеслом) hondverkari [hɔnv-]ннкмгл-ari, handverkari [hanv-]нпмгл-ari; smiðurмсогл-s,-ir(ос. кузнец и др.)2.atf.(человек,который работает по шаблону)o-r, ið ger handahóvsarbeiði3.tlm.(ученик ремесленного училища) næmingurмсогл-ará tekniskum skúla o.ø., lærlingurмсогл-ar
реме́сленничать	ipf1.(заниматься ремеслом) fáastслнe-i-ivið hondverk [hɔnv-]; smíðaaði(о кузнецах,столярах и др.)2.atf.(работать по шаблону) arbeiðair(d)av handahógvi
реме́сленный	adj1.(кремесло́ 1) hondverks- [hɔnv-]ннк, handverks- [hanv-]нп2.atf.(следующий шаблону) av handahógvi; klisjekendur [-Ꞌʃeː-]ннксогл@реме́сленное учи́лищеa) (í Sovjettsamveldinum 1940-1959) handverkaraskúli [hanv-]; b) (í Russlandi innan kollveltingina)≈tekniskur skúli
ремесло́	plurремёс|ла, ~ел, ~ламn1.(профессиональное занятие) hondverk [hɔnv-]ннкс0о, handverk [hanv-]нпс0о2.tlm.(профессия) yrkiсгл-a, fak [faːk]с0о@за ста́рое ремесло́ приня́тьсяtlm.,atf.takaслнó-ó-igamla vanar uppaftur [-tː-]
ремешо́к	Genремешка́dim avреме́нь; ремешо́к для часо́в urreim
реми́з	mkort.sektж0-ir
реми́кс	mremix [-mɪʰks]с0о{0<>i}муз.,спец.
ремиксова́ть	ремиксу́|ю, ~ешь, ~ютipf что-л.remixa [-mɪʰksa]aðio-t муз., спец.
ремилитариза́ция	fremilitarisering [-tʰaː-]ннкж0-ar, endurdubbingж0-arкн.
ремилитаризи́ровать	ремилитаризи́ру|ю, ~ешь, ~ютipf/pf что-л.remilitarisera [-tʰaː-]ннкaðio-t, endurdubbaaðio-tкн.
ремилитаризирова́ть	ремилитаризиру́|ю, ~ешь, ~ютipf/pfsíремилитаризи́ровать
реминисце́нция	fbókl.1.(смутное воспоминание) ørminniсгл-i, ørminningж0-ar2.(отголосок,отражение) afturljóð [aʰtː-]с0о
реми́ссия	f lækn.linkanж0-ir, minkanж0-ir(hjá sjúku)
ремнезу́б	m: (Mesoplodon bidens) nevhvalurмсогл-s,-ir
ремо́нт	mumvælingж0-ar, reparatión [-Ꞌʃɔun]ннкж0-irпроф.; ремо́нт сете́й bøtingж0-arav gørnum [-tn-]; быть в ремо́нте vera til umvæling =>бюро́I,капита́льный@,космети́ческий3
ремонти́ровать	ремонти́ру|ю, ~ешь, ~ютipf(pfотремонти́роватьотремонти́ру|ю, ~ешь, ~ют)что-л.umvælair(d)o-t, reparera [-Ꞌreː-]ннкaðio-tпроф.; pussaaðio-tupp (производить косметический ремонт)
ремо́нтник	mumvælingararbeiðariмгл-ari
ремо́нтный	adjumvælingar-, reparatións- [-Ꞌʃɔu-]ннкпроф.=>ве́домость
ре́ндер	m teld., jarg. telduforrit til gerð av trídimensionalum endurgevingum
ре́ндерер	m teld. telduforrit til gerð av trídimensionalum endurgevingum
ре́ндеринг	[-дэ-]m teld. gerð av trídimensiionalari endurgeving
ре́ндерить	[рэ́-]ре́ндер|ю, ~ишь, ~ятipf что-л. teld. gera trídimensioanala endurgeving
ренега́т	mbókl.fráfallin [-tl-]мприл, fráfallið [-tl-] fólkс0о, renegatur [-Ꞌkaː-]ннкмсогл-arред.
ренега́тство	nbókl.fráfall [-tl-]с0о{a/ø}(frá sannføringum o.tíl.)
Ренесса́нс	[рэнэ-]m1.síВозрожде́ние2.(стиль) renessansustílur [-Ꞌsa-]мсогл-ar
рене́т	m síране́т
ре́нкинг	[рэ́-]mlisti yvir fyritøkur, bankar o.a., skipaður eftir stødd, týdningi el. ø.
ренкло́д	mslag av blommum(en.greengage; da.reine claude)
ренова́ция	fsetanж0-irí stand, umvælingж0-ar(ремонт); renovering [-ˈveː-]ннкж0-arпроф.; endurnýggjanж0-ir, fornýggilsi [-ˈnʊtʃː-]ннксгл-i(обновление)
реноме́	[рэномэ́]n indeclorðс0о(ámæli), renommé [-Ꞌmeː]с0гл(-inum)ред.; име́ть реноме́ поря́дочного челове́ка beraслнa-ó-oorð fyri at vera ein reiðiligur maður
рено́нс	mkort.tað ikki at hava kort í kuløri
ре́нта	frentaжгл-a(rentuinntøka); жить на ре́нту liva av rentu; пожи́зненная ре́нта lívrenta
рента́бельность	frentabilitetur [-Ꞌtʰeː-]мсогл-ar, lønsemiсгл-i;жгл-i
рента́бельный	stfрента́белен, рента́бельн|а, ~о, ~ыadjrentabil [-Ꞌtʰaː-]соглосн, lønsamurсогл{a/o}; предприя́тие рента́бельнотжfyritøkan ber seg
рентге́н	[ренге́н]m1.tlm.(аппарат) røntgen [rœŋ̊kɪn]ж0-ar, røntga [rœŋ̊ka]жгл-aнеформ.(røntgenapparat)2.(единица) røntgen [rœŋ̊kεn]ж0-ar(eind)
рентге́нов	[ренге́н-]рентге́нов|а, ~о, ~ыadjrøntgen- [rœŋ̊kɪn-]; рентге́новы лучи́ røntgenstrálur
рентге́новский	[ренге́н-]adjrøntgen- [rœŋ̊kɪn-]; рентге́новский аппара́т røntgenapparat [-raːt], røntgentólнп; рентге́новские лучи́ røntgenstrálur; рентге́новский сни́мок røngtenmynd, røntgenbílætннк
рентгеногра́мма	[ренген-]frøntgenmynd [rœŋ̊kɪn-]ж0-ir, røntgenbílæt [rœŋ̊kɪn-]ннкс0о{æ/ø}
рентгеногра́фия	[ренген-]frøntgenfotografering [rœŋ̊kɪn-]ж0-ar
рентгено́лог	[ренген-]mrøntgenlækni [rœŋ̊kɪn-]мгл-i
рентгеноло́гия	[ренген-]frøntgenfrøði [rœŋ̊kɪn]жгл-i, røntgenologi [rœŋ̊kɪnoloꞋkiː]ж0-irспец.
рентгеноскопи́я	[ренген-]frøntgenkanning [rœŋ̊kɪn-]ж0-ar
рентгенотерапи́я	[ренген-]frøntgenviðgerð [rœŋ̊kɪnvɪtʃ-]ж0-ir, røntgenbehandling [rœŋ̊kɪnpehanl-]ннкж0-ar
Реомю́р	m: 50опо Реомю́ру 50оstig Réaumur [reːaˈmyːɹ], 50оgradir [kɹaːt-]ннкпроф.Réaumur [reːaˈmyːɹ]
реорганиза́ция	fumskipanж0-ir, umleggingж0-ir, reorganisering [-kaː-]ннкж0-ar
реорганизова́ть	реорганизу́|ю, ~ешь, ~ютipf/pf(í pret bert pf)что-л.umskipaaðio-t, reorganisera [-kaː-]ннкaðio-t
реоста́т	mreostatur [-Ꞌstaː-]мсогл-arспец., эл., reguleringsmótstandur [reːkuꞋleː-]мсогл-arспец., эл.
ре́па	f1.(Brassica rapa) rótж0-ur{ó/ø}, kálrótж0-ur{ó/ø}2.kollrøturж0-ur{ó/ø}мн3.óvkm.(голова) heysurмсогл-arпренебр., knokkurмсогл-arпренебр.=>па́реный@
репара́ция	f oftast plurkrígsendurgjald [kʰɹʊi̯ʰks-], [kʰɹʊʰks-]с0о{a/ø}, krígsskaðabøtur [kʰɹʊi̯ʰks-], [kʰɹʊʰks-]ж0-ur{ó/ø}мн
репатриа́нт	mbókl.heimkominсоглосн(vendur aftur til landið hjá sær);o-r, sum er vendurсоглaftur [aʰtː-] (til landið hjá sær)
репатриа́ция	fbókl.heimvendanж0-ir(til landið hjá sær) (возвращение); heimsendingж0-ar(til landið hjá sær) (отправка)
репатрии́ровать	репатрии́ру|ю, ~ешь, ~ютipf/pf кого-л.bókl.sendair(d)o-naftur [aʰtː-] (til heimlandið;um krígsfangar,flóttafólk o.o.)
репатрии́роваться	репатрии́ру|юсь, ~ешься, ~ютсяipf/pf кого-л.bókl.vendair(d)Ꞌ aftur [aʰtː-] (til heimlandið hjá sær)
репе́й	Genрепья́; plurрепь|и́ ~ёв, ~я́мmtlm.síрепе́йник@приста́ть как репе́йveraслнa-ó-esum marranпог.
репе́йник	m(Arctium) burraжгл-a
репелле́нт	m evni el. amboð at styggja insekt o.o. djór burtur við
репертуа́р	m1.(совокупность исполняемых произведений) sjónleikaskráж0-ir(у театра), leikskráж0-ir; repertoire [repʰεɹ̥tuꞋaːɹɪ]сгл-iспец.(тж у актёра,певца и т.п.); он в своём репертуа́реspott.hann ger, sum hann plagar2.tlm.(запас,наличие чего-л.) tilfarс0о; repertoire [repʰεɹ̥tuꞋaːɹɪ]ннксгл-i
репети́ровать	репети́ру|ю, ~ешь, ~ютipf1.pfотрепети́роватьотрепети́ру|ю, ~ешь, ~ют, прорепети́роватьпрорепети́ру|ю, ~ешь, ~ют, срепети́роватьсрепети́ру|ю, ~ешь, ~ют что-л.(проводить репетицию) havaнепрroyndнпí o-m; havaнепрprøvaннкí o-m; venjaur(d){e/a}{+}o-t, øvaaðio-t(sjónleik o.a.) (разучивать роль и т.п.)2.кого-л.(в учёбе) hjálpa [jɔ-]ir(t)o-mvið skúlatingunum, gevaслнa-ó-io-mprivatundirvísing [-Ꞌvaː-]; manuducera [maːnutuꞋseː-]aðio-n(б.ч. в высших учебных заведениях)
