б	part síбы
босико́м	advskóleysurсогл, berføtturсогл, berbeinaðurглaðurкн.; она́ хо́дит босико́м hon gongur skóleys
босни́ец	Gen, Accбосни́йц|а;plur ~|ы, ~ев, ~амmbosniari [-ni-]мгл-ari
босни́йка	plurбосни́йки, босни́ек, босни́йкамfbosniari [-ni-]мгл-ari(konufólk)
босни́йский	adjbosniskurсоглsk
Бо́сния и Герцегови́на	f-fBosnienннкс0о{дат.0}og Hercegovina [hεʂɪkoꞋviːna]с нескл., Bosniaнпс нескл.og Hercegovina [hεʂɪkoꞋviːna]с нескл.
босо́й	stfбос, боса́, бо́с|о, ~ыadjskóleysurсогл, berføtturсогл, berbeinaðurглaðurкн.@наде́тьчто-л.на бо́су {босу́} но́гуfaraслнó-ó-askóleysurí o-t; faraслнó-ó-aí o-tí ongum hosum
босоно́гий	stfбосоно́г, ~а, ~о, ~иadjskóleysurсогл, berføtturсогл, berbeinaðurглaðurкн.
босоно́жка	f1.síбосоно́жки2.tlm.(девушка) skóleys gentaжгл-a, skóleys konaжгл-a(женщина)
босоно́жки	босоно́ж|ек, ~камplur f(обувь) (lættar) konfólkasandalur [-taː-]жгл-амн
босота́	f tað ay vera skóleysur
босс	mbossurмсогл-arнеформ.(leiðari)
Бо́стон	mBostonм0{дат.0}
босто́н	m1.(ткань)slag av klæði2.(танец) bostonм0{дат.0}(dansur)3.(карточная игра) bostonс00{дат.0}(kortspæl)
Босфо́р	mBosporus [pɔsporʊs]с нескл., Bosporussund [pɔsporʊs-]лпс0о
бося́к	Gen, Accбосяка́;plurбосяк|и́, ~о́в, ~а́мmbumsurмсогл-arпренебр.
бот1	Im(судно) báturмсогл-ar(róðrarbátur, seglbátur,motorbátur)
бот2	IIm síбо́ты
бот3	IIIm teld., jarg.(программа) botturмсогл-ar
бота́н	mjarg.spott.,vanv.síбота́ник2
ботане́ть	ipf jargvera terpari; vera nørdurсленг(нерд)
бота́ник	m1.(специалист по ботанике) botanikari [-Ꞌtʰaː-]ннкмгл-ariпроф., plantufrøðingurнпмсогл-ar2.jarg.,spott.,vanv.(ученик) terpariмгл-ari; nørdurмсогл-arсленг(нерд)
бота́ника	fbotanikk [-Ꞌnɪʰkː]ннкж0-irпроф., plantufrøðiнпжгл-i
ботани́ческий	adjbotaniskur [-Ꞌtʰaː-]ннксоглskпроф., plantufrøðiligurнпглigur; ботани́ческий сад botaniskurннкhavi [haː-], plantufrøðigarðurлп
бо́тать	ipf: бота́ть по фе́неjarg.tosaaðitjóvamál
ботва́	fkálс0оog stelkurмсогл-arav rótumo.tíl.
ботви́нья	f slag av kaldari suppu við kvas, fiski o.ø.
ботде́к	[боддэ́к]m skip.bátadekkс0о
бо́тик1	Im dim avбот I
бо́тик2	IIm síбо́тики
бо́тики	m plur(sing бо́тик) yvirstilvarмгл-iмн
ботильо́ны	m plurhálvstivlar [hɔls-]мгл-iмн(upp til øklarnar), øklastilvarнпмгл-iмн
боти́нки	боти́н|ок, ~камplur(sing боти́нок, боти́нка)m(mannfólka)skógvarмсогл-ar{+}мн, (lágir) stilvarмгл-iмн; лы́жные боти́нки skistilvar [skiː-]ннк, skíðstilvarнп
боти́нок	m síботи́нки
боти́ночек	GenGботи́ночка:plurботи́ноч|ки, ~ек, ~камm dim, keл.. til боти́нок
боти́ночки	síботи́ночек
боти́ночки	боти́ноч|ек, ~камm plur(singботи́ноч|ек, ~ка)dim, kel. tilботи́нки
Ботни́ческий зали́в	Botniska víkinж0-irопр., Botnsvík [bɔn̊sv-]лпж0-ir
Ботсва́на	fBotswana [-Ꞌsvaː-]с нескл., Botsvana [-Ꞌsvaː-]лпс нескл.
ботули́зм	mbotulisma [-Ꞌlɪ-]жгл-a
ботфо́рты	m plur(sing ботфо́рт)gml.ríðistilvarмгл-iмн
бо́ты	m plur(singбот) yvirstilvarмгл-iмн
бо́улинг	m1.(спорт) bovling {bowling} [pɔul-]ж0-ar; игра́ть в бо́улинг bovla {bowla} [pɔula]aði2. (помещение)bovlinghøll {bwlinghøll} [pɔulɪŋkhœtl]ж0-ir{ø/a}
бо́улинг-ба́н	mbowlingbani [pɔulɪŋkpaː-]мгл-i
боулинги́ст	mbowlari [pɔul-]мгл-ari(o-r, ið bowlar)
бо́улинг-клу́б	mbowlingfelag [pɔul-]с0о{a/ø}{0<>i}
бо́улинг-це́нтр	mbowlingsentur [pɔul-]ннкс0осн
Бо́форт	m: шкала́ Бо́форта beaufortstigin [poːfɔɹ̥t-]нп, beaufortskalain [poːfɔɹ̥t-]ннк(til máting av vindstyrki)
Бо́форта мо́ре	Beauforthavið [poꞋfɔɹ̥t-]с0о{a/ø}опр., Beaufortshavлп[poꞋfɔɹ̥t-]с0о{a/ø}
бо́цман	mbátsmaðurмнепр(umborð á skipi)
бо́цманский	adjbátsmans-, bátsmanna-
боча́р	Gen, Accбочар|а́;plur~ы́, ~о́в, ~а́мmbøkjariмгл-ari
боча́рный	adjbøkjara-, tunnu-
бо́чка	plurбо́ч|ки, ~ек, ~камf1.(для пива,вина;для масла,нефти,топлива) tunnaжгл-a; fatс0о{a/ø}(тж для вина,пива,нефти); ammaжгл-aкн., уст.(большая); kaggiмгл-i(маленькая,ос. для воды); бо́чка для воды́ vatntunna [van̊t-]; бо́чка для се́льди sildatunna; бо́чка с кероси́ном petroleumsstunna [-Ꞌtʰɹoː-]2.flog.(фигура пилотажа) snúðurм0осн-s,-arum seg sjálvan (í kunstflúgving)3.(мера)gamalt russ. mát=492 l@я́корная бо́чкаakkersboyaжгл-a;порохова́я бо́чкаeis.fl.krúttunnaтжперен.;бо́чку кати́тьна кого-л.óvkm.leggjaнепрo-nundiro-t(обвинять); forklaga [-Ꞌkʰleːa]aðio-n(жаловаться);де́ньги на бо́чку!tlm.pengarnar á borðið!;пить как бо́чкаdrekka sum eitt svín =>бездо́нный@,данаи́ды,дёготь@,заты́чка@,сельдь@
бочко́вый	adj1.(содержащийся в бочках) (sum er) í tunnum2.(связанный с бочкой) tunnu-; бочко́вый о́бруч tunnugjørð
бочко́м	adv síбо́ком
бочкообра́зный	adjtunnuskapaðurглaður
бочо́к	Genбочка́; plurбочк|и́, ~о́в, ~а́мm dim tilбок
бочо́нок	Genбочо́н|ка;plur~ки, ~ков, ~камmlítil tunnaжгл-i, kaggiмгл-i
бо́чче	n indeclboccia [pɔʰtʃːa]с нескл
боязли́во	adv(со страхом) við ótta; smæðið, lítið framført (робко, несмело)
боязли́вость	fbangilsiсгл-i, bangheitж0-ir; styggleikiмгл-i(ос. о животных)
боязли́вый	stfбоязли́в, ~а, ~о, ~ыadjbangin av sær, óttafullur [-tl-]согл; styggurсогл, støkkinсоглосн(пугливый - тж о животных); skjarrligurглigur(особенно о животных)
бо́язно	predóvkm.:кому-л.бо́язно+ inf o-rræðist (fyri) at +инф,o-rer bangin fyri at +инф,o-róttast fyri at +инф,o-rtorir ikki at +инф; ей бо́язно идти́ одно́й hon torir ikki at fara einsamøll [-tl], hon er bangin fyri at fara einsamøll [-tl], hon ræðist at fara einsamøll [-tl]
боя́знь	f чего-л., перед Insóttiмгл-ifyri Дат, ræðslaжгл-afyri Дат(страх); angistж0-irкн., выс.(тж о психическом состоянии); bangilsiсгл-i, bangheitж0-ir; без боя́зни óttaleyst, uttan ótta, dirvisliga; ósmæðið (не стесняясь); боя́знь одино́чества ótti fyri einsemi; боя́знь высоты́ ræðsla fyri hæddum, hæddarskrekkннкж0-ir; боя́знь простра́нства ræðsla fyri opnum plássum, agorafobi [akoːɹafoꞋpiː]ж0-irред.; из боя́зни av ótta fyri; из боя́зни простуди́ться он реши́л... hann var so bangin fyri at blíva forkølaður [-Ꞌkʰøː-]ннк, at hann gjørdi av at… =>темнота́1
боя́рин	plurбоя́р|е, ~, ~амmbojarur [-Ꞌjaː-]мсогл-ar(stórur jarðaeigari,háaðalsmaður í Russlandi til fyrst í 18. øld)
боя́рский	adjbojara- [-Ꞌjaː-], háaðals-,síбоя́рин
боя́рство	mbojarar [-Ꞌjaː-]мсогл-arмн, háaðalм0-ir(sum stætt),síбоя́рин
боя́рыня	fbojarfrúa [-Ꞌjaː-]жгл-a,síбоя́рин
боя́рышник	m(Crataegus) tjørnннкж0-ir, tyrniлпмгл-i; боя́рышник колю́чий (C. oxyacantha) hvíttjørnннк, hvíttyrniлп
боя́рышня	plurбоя́рыш|ни, ~ень, ~нямfógift dóttirж0родein bojar,síбоя́рин
боя́ться	бо|ю́сь, ~и́шься, ~я́тся; imperбо́йся, бо́йтесьipf Gen1.(испытывать страх) ræðastir(d)Вин, vera banginсоглоснfyriДат, óttastaðiВин; fryktaaðifyri, at+ инф; ræðastir(d)fyri, at+ инф; боя́тьсяза Genvera banginсоглоснum Вин, óttast fyri at+ инф; я не бою́сь его́ eg ræðist hann ikki, eg eri ikki bangin fyri honum; (я) бою́сь, что... eg eri bangin fyri, at…; eg óttist fyri, at…; я бою́сь таки́х расхо́дов eg ræðist sovorðnar útreiðslur; я бою́сь, что он нам солга́л eg eri bangin fyri, at hann hevur logið fyri okkum; eg frykti fyri, at hann hevur logið fyri okkum; ничего́ не бою́сь eg ræðist einki; eg eri ikki bangin fyri nøkrum; вам не́чего боя́ться tygum hava einki at óttast; tygum hava einki at vera bangin fyri; он боя́лся (как бы не) простуди́ться {он боя́лся, что просту́дится} hann var bangin fyri at blíva forkølaður [-Ꞌkʰøː-]ннк; он бои́тся, как бы она́ не простуди́лась {что она́ просту́дится} hann er bangin fyri, hon skal blíva forkølað [-Ꞌkʰøː-]ннк; я бою́сь его́ прихо́да eg ræðist fyri, at hann skal koma; я бою́сь, как бы он не пришёл eg eri bangin fyri ,(at) hann skal koma; я бою́сь, что он не придёт eg eri bangin fyri, (at) hann ikki kemur; боя́ться воды́ ræðast vatn; боя́ться за свою́ жизнь eg óttist fyri lívinum hjá [tʃʰ-] mær; она́ не бои́тся рабо́ты hon er ikki bangin fyri at arbeiða; не бо́йся ver ikki bangin, tú skalt ikki ræðast2.bert 3. pers brúktur(не переносить) ikki tolair(d)o-t; э́та мате́рия бои́тся сти́рки hetta stoffiðннкtolir ikki vask@бою́сь сказа́тьчто-л.(не уверен,не знаю) eg dugi ikki at siga tað; eg tori ikki at siga tað (veit ikki rættiliga);не бои́сь!óvkm.ver ikki bangin!;не бо́йсяtlm.tað skalt tú ikki vera bangin fyri (tað er ivaleyst) =>темнота́1
б/п	sovjet.беспарти́йный floksleysurсогл
БПЛА́	[бэ-пэ-эл-а́]m indeclбеспило́тный лета́тельный аппара́т
бр.	1.бра́тья (síбрат)2.брига́да3.top.брод4.бру́тто
бра	n indecllampett [-Ꞌpʰεʰtː]ж0-ir, veggjarlampaжгл-a; stakiмгл-i(á veggi)
брава́да	fgorrс0о(reyp), reypс0о, stórorðс0о
брави́ровать	брави́ру|ю, ~ешь, ~ютipfbókl.(чем-л.) bravera [-Ꞌveː]энкaði(við o-m); reypaaði(av o-m), breggjaaðisær (av o-m) (хвастаться); брави́ровать опа́сностью haldaслнe-i-ihánt um vandan (fyri at vísa seg)
бра́во	interfínt!; frálíkt (hin gamli!); bravo [pɹaːvo]ннк!
браву́рный	stfбраву́р|ен, ~на, ~но, ~ныadjbókl.larmuturсоглog ljóðkáturсогл(um musikk o.tíl.)
бра́вый	stfбрав, бра́в|а, ~о, ~ыadjknáurгл, raskurсогл{a/ø}; djarvurсогл{a/ø}, mótaðurглaður(мужественный)
бра́га	fheimabryggjað ølс0о(пиво); heimabryggjс0о
брадобре́й	mgml.,skemt.hárskeriмгл-iкн., уст., rakariмгл-ariкн., уст.
бра́жка1	If tlm., kel. tilбра́га
бра́жка2	IIfl. tlm.(группа людей) kompaní [-ˈnʊi]энкс0о{o<>i}(;=-ir)пренебр., klikaжгл-aпренебр.(клика)
бра́жничать	ipfgml.,skemt.drekkaслнa-u-u(halda sær á gleim), ballastaðiнеформ.
бразда́	f gml., munn.(для посева)fоyraжгл-a;foraжгл-a(í akri) (б.ч. поперек);plógfoyraжгл-a(от плуга)
бразды́	f plur: держа́ть в свои́х рука́х бразды́ правле́нияflsitaслнa-ó-ivið róðriðперен..
брази́лец	Gen, Accбрази́льц|а;plur~ы, ~ев, ~амmbrasilianari [-Ꞌaːn-]мгл-ari
Брази́лия	fBrasilien [-Ꞌsiː-]ннкс0{дат.0}, Brasilia [-Ꞌsiː-]нпс нескл.
брази́льский	adjbrasilianskur [-Ꞌaːn-]соглnsk
бразилья́нка	plurбразилья́н|ки, ~ок, ~камfbrasilianari [-Ꞌaːn-]мгл-ari(konufólk)
...бра́зный	í samans-skaptur, -formaðurннк; Т-обра́зный Т-skaptur
брак1	Im(супружество) hjúnalag [tʃʰ-]с0о{a/ø}{0<>i}, hjúnaband [tʃʰ-]с0о{a/o}, hjúnaskapur [tʃʰ-]мсогл-ir, ektaskapннкс0о; giftaжгл-a(замужество); вступи́ть в брак giftastir(t), giftair(t)seg; вступи́ть в брак (с кем-л.) giftastir(t)(við o-m), gangaслнe-i-ií hjúnalagвыс., кн.(við o-n); счастли́вый брак lukkuligt hjúnaband; де́ти от пе́рвого бра́ка børn [-tn] í fyrsta [fɪsta] hjúnalagi, børn í fyrstu [fɪstʊ] giftu, børn [-tn] í fyrra hjúnalagi, børn í fyrru giftu; состоя́ть в бра́кес кем-л.vera giftvið o-m(о женщине), vera gifturvið o-ri(о мужчине); нера́вный брак hjúnalag, sum ikki er á jøvnum føti; незарегистри́рованный брак papírleyst [-Ꞌpʰʊi-] hjúnalagнеофиц., ikki skrásett hjúnalagофиц., leysagiftaпренебр., уст.; брак по любви́ gifta av kærleika; брак по расчёту fornuftsektaskap [-Ꞌnʊ-]ннк; gifta, gjørd við fyrimunum og gagni í hyggju; свиде́тельство о бра́ке hjúnabandsváttan [-pan̊s-], vígsluváttan, vígilsisattestннк; быть рождённым в бра́ке vera føddur í hjúnalag, vera skilgitinофиц., кн.; быть рождённым вне бра́ка vera føddur uttan fyri hjúnalag, vera óskilgitinофиц.,кн.=>гражда́нский5,заключе́ние1,институ́т2,расто́ргнуть,церко́вный
брак2	IIm1.(испорченное изделие) kasserað [-Ꞌseː-]ннкvøraжгл-a, vøraжгл-avið feili, feilvaraжгл-aпроф.,торг.; fuskс0о, makkverkс0о(халтура)2.(изъян) brekс0о, feilurмсогл-s,-ir; с бра́ком við feili, við breki
бракёр	m síбрако́вщик
бракера́ж	mgóðskueftirlit [[kœskʊεʰtː-]с0о; vrakingж0-ar(ос. о рыбе)
брако́ванный	adjfrásorteraðurннк; kasseraður [-Ꞌseː-]ннк; брако́ванный това́р kasseraðннкvøra
бракова́ть	браку́|ю, ~ешь, ~ютipf(pfзабракова́тьзабраку́|ю, ~ешь, ~ют)1.что-л.(выбросить) kassera [-Ꞌseː-]ннкaðio-t; vrakaaðio-t2.Acctlm.(отвергать) havnaaðiДат, kastaaðio-taftur [aʰtː-], kassera [-Ꞌseː-]ннкaðio-t
брако́вка	fkassering [-Ꞌseː-]ннкж0-ar, frásorteringннкж0-ar; vrakingж0-ar
брако́вщик	mgóðskumetari [kœsk-]мгл-ari; vrakariмгл-ari(ос. о рыбе)
бракоде́л	mfuskariннкмгл-ari, krotusmiðurмсогл-s,-ir
браконье́р	mveiðitjóvurмсогл-ar(ос. о незаконной ловле рыбы)
браконье́рски	adv ólóglga [-ˈɔul-], upp á [ʊˈpʰɔa] ólogligan [-ˈɔul-]  mata, á ólógligan [-ˈɔul-] hátt (um fiskiskap, veiðu)
браконье́рский	adjöogligur [-ˈlɔul-] (um fiskiskap, veiði); браконье́рское оборудоваие рыболо́вства ólógligur fiskireiðskapur
браконье́рство	nólóglig [-Ꞌlɔuli] veiðaжгл-a; ólógligur [-Ꞌlɔuli-] fiskiskapurмсогл-ir(рыболовство)
бракоразво́дный	adjskilnaðar-, skilsmissu-ннк; бракоразво́дный проце́сс skilnaðarmálюр., skilsmissumálннк
бракосочета́ние	ngiftingж0-ar, brúðarvígslaжгл-a, hjúnavígsla [tʃʰ-]жгл-aофиц.; brúdleyp [pɹɪtlʊʰp] (реже[pɹɪtlεip])с0о(vígsla); Дворе́ц бракосочета́ний brúdleypshøll [pɹɪtlʊʰpshœtl] ([pɹɪtlεipshœtl])ж0-ir{ø/a};0-ir, vígslulhøll [-tl]ж0-ir{ø/a};0-ir(í Sovjettsamveldinum og Russlandi bygningur,har borgaralig vígsla fór og fer fram)
брамани́зм	mgml.síбрахмани́зм
брами́н	mbrahmanur [pɹaꞋmaː-]мсогл-ar, brahmani [pɹaꞋmaː-]мгл-i
брам-ре́й	nbramráж0-ir
бра́мсель	mbramseglс0о
брам-сте́ньга	fbramstongж0-ur{o/e}
брандахлы́ст	móvkm.(кофе,чай и т.п.) myrrupissс0о; skvatlс0о; (пиво) tunt ølс0о, pissølс0опрез.(суп и др.)
брандва́хта	f1.(сторожевое судно) vaktarskipс0о(sum serl ansar eftir innsigling til áir og hsvnir)2. (пост на берегу, судно) brandvaktж0-ir(skip ella støð á landl)проф.
брандмайо́р	mgml.brandmajorur [pɹanm-]мсогл-arуст.,sløkkiliðsstjóri [-stj-]мгл-i
брандма́уэр	m1.bygg.(противопожажарная стена) brandmúrur [pɹanm-]мсогл-ar2.teld.(межсетевой экран) firewall [faijεɹvɔˑl]м нескл комп.
брандме́йстер	mgml.brandmeistari [pɹanm-]мгл-ari, sløkkiliðsstjóri [-stj-]мгл-iофиц.
брандспо́йт	m1. (насос) brandsproyta [pɹanspɹœi-] (реже[pɹanspɹɔi-])жгл-a, sløkkisproyta [-spɹœi-] (реже[-spɹɔi-])жгл-aофиц.2.(наконечник) strálirørс0о(á slangu)
брани́ть	бран|ю́, ~и́шь, ~я́тipf(pfвы́бранитьвы́бран|ю, ~ишь, ~ят)Acc(за что-л.)1.(ругать) skeldaaðiВин, deilair(d)Вин; havaнепрꞋ atДат(выговаривать кому-л.); skammaaðiВинút (fyri o-t) (пристыдить)2.fl.(критиковать) finnastслнa-u-uharðliga Ꞌat Дат
брани́ться	бран|ю́сь, ~и́шься, ~я́тсяipf1.(pfпобрани́тьсяпобран|ю́сь, ~и́шься, ~я́тся) (ссориться) (с кем-л.) skeldastaði(við o-n); deilair(d)hvønn Ꞌ annan (бранить друг друга)2.pfвы́бранитьсявы́бран|юсь, ~ишься, ~ятся(ругаться) bannaaði, bannastaði; bølvaaði(сильно)@ми́лые браня́тся - то́лько те́шатсяorðt.klandur millum [-tl-] tey, sum eru góð, varir ikki leingi
бра́нный1	Iadjillavorðin [ɪtl-]соглосн(í munninum), ljóturсогл(í munninum); бра́нное сло́во {выраже́ние} illbønж0-ir, eiðurмсогл-ir, illavorðið orðс0о; бра́нная реце́нзия eitt ljótt ummæli
бра́нный2	IIadjgml., skald.(воинский) her-, víg-, orrustu-кн., поэт.; бра́нные доспе́хи herklæðir; бра́нное по́ле vígvøllur [-tl-], valurмсогл-s,-irвыс., ист.
бранч	mbrunch [pɹɔɲ̊ʃ]м0-ar
бранч-буфе́т	mbrunchbuffet [pɹɔɲ̊ʃbʊfeː]ж0-ir
бранчли́вый	stfбранчли́в, ~а, ~о, ~ыadjóvkm.klandruturсогл, klandursamurсогл{a/o}
брань1	If(ругательства) illbønж0-ir; keglс0о, deilanж0-ir(порицание); осы́патького-л.бра́нью lesaслнa-ó-iillbøniryvir o-n@брань на вороту́ не ви́снетorðt.≈ tað er ikki hvørt orð, tú skalt svara til, og hvørt gildi, tú skalt fara tilпог.
брань2	IIfgml., skald.(битва) víggjс0о{0<>i}{+}балл., поэт., orrustaжгл-aкн., bardagiмгл-i{a/ø}, stríðс0о{0<>i}; по́ле бра́ни vígvøllur [-tl-], valurмсогл-a,-irвыс., ист.; пасть на по́ле бра́ни falla [-tla] á vígvøllum, liggja eftirá [εʰtːɪɹꞋɔa]
брас	msjóm.bras [-aːs]ж0-irмор.
брасле́т	marmbandс0о{a/o}; электро́нный брасле́т elektronisk [-ˈtʰɹoː-] fótleinkjaжгл-a, elektronisk [-ˈtʰɹoː-] fótfjøturс0оснмн
брасле́тка	plurбрасле́т|ки, ~ок, ~камf(lítið) armbandс0о{a/o}
брасова́ть	брасу́|ю, ~ешь, ~ютipf что-л.sjóm.brasa [-aː-]aðio-t мор.
брасс	mbringusvimjingж0-ar; пла́вать бра́ссом svimja bringusvimjing; диста́нция 100 ме́тров бра́ссом 100 metra bringusvimjing
брассери́	[-сэ-]f indeclbrasserie [pɹasːɪˈriː]с0o
брат	plurбра́ть/я, ~ев, ~ямm1.(родственник) beiggiмгл-i, bróðirм0родб.ч.кн., выс.; он мой брат hann er beiggi mín; брат ба́бушки ommubeiggi; брат де́душки abbabeiggi; бра́т и сестра́ systkin [sɪʃtʃɪn]с0омн; бра́тья и сёстры systkin(ini) [sɪʃtʃɪn-]с0омн(опр);тж напр. в рел.brøður og systrar; все его́ бра́тья и сёстры øll systkinini [sɪʃtʃɪn-] hjá [tʃʰ-] honum; ста́рший брат elsti beiggi(n); stóribeiggi; мла́дший брат yngsti beiggi(n); lítlibeiggi2.(в обращении) hann sjálvur, hin gamli3.(товарищ;единомышленник) lagsbróðirм0род, felagiмгл-i4.(монах) bróðirм0род(munkur), munkurмсогл-ar@бра́тья на́ши ме́ньшиеbókl.kríatúrс0омн(б.ч. домашние), djórс0омн;на {с} бра́таupp á mannin;наш братokkara líkar, mínir líkar; наш брат инжене́р vit ingenørar [iɲ̊ʃɪꞋnøː-]ннк;ваш братein av tykkum, tykkara líkar; ему́(сам) чёрт не братtlm.hann er forsinсоглосн;свой братtlm.okkara fólk =>двою́родный,милосе́рдие@,моло́чный@,родно́йI 1,сво́дный3,трою́родный,четверою́родный
брата́н	m óvkm.beiggiмгл-i
брата́ние	nfraternisering [-Ꞌseː-]интж0-ar(millum soldatar)
брата́ться	ipf(pfпобрата́ться) (с кем-л.)1.tlm.(вступать в дружбу) gerastнепрonkavinir2.(о солдатах) fraternisera [-Ꞌseː-]ннкaði(við o-n) (millum soldatar)
братва́	f koll1.óvkm.(друзья, товарищи) kompaní [-Ꞌnʊi]энкс0опренебр.2.jarg.(члены преступной группы)limirмсогл-irмнí brotsmannafelagsskapi
брате́льник	m óvkm.(lítli)beiggiмгл-i
бра́тец	Gen, Accбра́тца;plurбра́тц/ы, ~ев, ~амm1.(брат) (lítli)beiggiмгл-i2.síбрат2
бра́тик	m1.tlm.(в обращении) ≈hann sjálvur неформ., ≈hin gamli неформ.2.tlm. dim, kel. tilбрат
бра́тина	fgml.bolli [-tlɪ]мгл-i(til vín)
Братисла́ва	fBratislava [pɹaːtiꞋslaː-]м нескл.
брати́шка	plurбрати́ш|ки, ~ек, ~камm1.tlm.(брат) (lítli)beiggiмгл-i2.óvkm.síбрат2
бра́тия	f koll1.gml.(монашеская) klosturbrøðurм0родмн, kleysturbrøðurм0родмнкн.2.tlm.,skemt.(компания) lagsbrøðurм0родмн, kompaní [-Ꞌnʊi]энкс0ошутл.
брато́к	Gen, Accбратк|а́;plur~и́, ~о́в, ~а́мm1.tlm.(в обращении) ≈hann sjálvurнеформ., ≈hin gamliнеформ.2.óvkm., йарг. (член преступной группировки) limurмсогл-irí brotsmannafelagsskapi
братоуби́йственный	adjbróðurdráps-; братоуби́йственная война́ brøðrastríð
братоуби́йство	nbróðurmorðс0о, bróðurdrápс0о
братоуби́йца	mgml.bróðurmordariмгл-ari, bróðurbaniмгл-iвыс., кн.
Братск	mBratskм нескл.,sí eis.ГЭС
бра́тский	adjbróðurligurглigur, bróður-, brøðra-; бра́тское чу́вство bróðurkensla; бра́тская любо́вь bróðurkærleiki, bróðurligur kærleiki; бра́тский сою́з brøðralag, bróðurlag; бра́тский наро́д brøðrafólk; бра́тские стра́ны brøðralond@бра́тская моги́лаhópgrøv, felagsgrøv
бра́тство	n1.hátíð.(содружество) brøðralagс0о{a/ø}{0<>i}, bróðurskapurмсогл-ir; бра́тство наро́дов brøðralag millum [-tl-] tjóðir2.rel.(община) bróðurskapurмсогл-ir(munkaskipanir o.tíl.)
брату́ха	m óvkm., kel. tilбрат
брать	бер|у́, ~ёшь, ~у́т;pretбрал, брала́, бра́л|о, ~и;imperбери́, бери́теipf1.síвзять2.: takaслнó-ó-i, takaслнó-ó-iꞋ við sær; lænair(t)(на время);tlm.keypаir(t)(покупать); fáaслнe-i-især (добывать); брать кни́ги в библиоте́ке læna bøkur á bókasavninum; по́мнишь, я брала́ у тебя́ бе́лую шля́пу? minnist tú, eg lænti tann hvíta hattin frá tær?; нож не берёт knívurin bítur ikki; его́ ничто́ не берёт einki rínur við hann, einki bítur á honum; меня́ берёт страх eg eri bangin; меня́ берёт смех mær ber í látur, mær býður í látur, eg havi hug at grína; её берёт сомне́ние hon er farin at ivast; брать своё faraслнó-ó-avið sínum, takaслнó-ó-isítt; ско́лько беру́т с челове́ка? hvussu nógv kostar tað fyri hvønn?; где ты берёшь тако́й хоро́ший сыр? hvar fært tí sovorðnan góðan ost?@брать на себя́ сли́шком мно́гоtakaслнó-ó-især ov [ɔ] nógv vald, verða heldur ráðaríkurсогл=>букси́р@,весь@,нача́ло2,приме́р2,своё,уро́к@
бра́ться	бер|у́сь, ~ёшься, ~у́тся;pretбра́лся, брала́сь, бра́л|ось, ~исьipf síвзя́ться; я не беру́сь за э́то eg haldi meg ikki til at fara í holt við hetta; я не беру́сь опи́сывать eg haldi meg ikki til at lýsa tað, eg bjóði ikki til at lýsa tað; он берётся сам почини́ть велосипе́д hann heldur seg til sjálvur at gera súkkluna aftur [aʰtː-]
бра́узер	[-зэр]mbrowsari [pɹɔu-]ннкмгл-ariпроф., kagiнпмгл-i
бра́узерный	[-зэр-]adjbrowsara- [pɹɔu-]ннкпроф., kaga-нп,
бра́узинг	mleitingж0-ar(við at browsa)
бра́унинг	mbrowning [pɹaun-]м0-ar(опр-ur)(automatiskur pistólur)
брахицефа́л	mstuttskalli [-tlɪ]мгл-i
брахма́н	mbrahmanur [pɹaꞋmaː-]мсогл-ar, brahmani [pɹaꞋmaː-]мгл-i
брахмани́зм	mbrahmanisma [pɹaːmaꞋnɪ-]жгл-a
бра́чный	adj1.(кбрак I) hjúnabands- [tʃʰʉunapan̊s-]офиц., ektaskaps-ннк; бра́чный догово́р {контра́кт} hjúnasáttmáli [tʃʰ-]мгл-iофиц.; ektapaktннкж0-ir; бра́чное свиде́тельство hjúnabandsváttan, vígsluváttan, vígilsisattestннк; бра́чный во́зраст giftingaraldur2.djór.: бра́чный пери́од {бра́чное вре́мя} paringstíðннк, makingartíð; brundtíð [pɹʊn̊t-] (ос. об овцах) =>ло́жеI 1,путеше́ствие1
бра́шпиль	mankarspælс0о{æ/ø}проф., akkersspælс0о{æ/ø}
бре́...	бре́юсьo.s.fr. pres avбри́ться
бреве́нчатый	adjstokka-; бреве́нчатый дом stokkastovaист.
бревно́	plurбрёв|на, ~ен, ~намn1.(очищенный ствол) stokkurмсогл-ar(træbulur), træbulurмсогл-ar(avkvistaður), viðarbulurмсогл-ar(avkvistaður)2.illb.(о тупом человеке) dólgurмсогл-ar, dylhøvd [-hœtː], býttlingurмсогл-ar; он глуп как бревно́ hann er so steinbýtturсогл3.ítr.síбумIII
брёвнышко	plurбрёвныш|ки, ~ек, ~камn dim. tilбревно́
брег	plurбрег|а́, ~о́в, ~а́мm skald. síбе́рег
бред	Prpо бре́де, в бреду́m1.ørvitiс0о; лежа́ть {быть} в бреду́ liggja í ørviti2.tlm.(глупость) ørskapurмсогл-ir, ørvitisverkс0о, óðamannaverkс0о(о затеях и т.п.) =>вели́чие
бред...	бреду́o.s.fr. pres avбрести́
бре́день	Genбре́дня;plurбре́дн|и, ~ей, ~ямmnótж0-ir; лови́ть бре́днем fiska við nót, kastaaðinót
