Л	talvладья́ R, rókur
ломба́рд	mpantilánarakontórс0о
ломба́рдный	adj: ломба́рдная квита́нция lániseðilс0осн-s,-ar, pantiseðilс0осн-s,-ar
ло́мберный	adj: ло́мберный стол spæliborð, kortborð
ломи́ть	ломлю́, ло́м|ишь, ~ятipf1.síлома́ть2.tlm.síломи́ться2@у неё ло́мит спи́нуhon hevur ilt í rygginum
ломи́ться	ломлю́сь, ло́м|ишься, ~ятсяipf1.bert 3. pers brúktur(под тяжестью) hoknaaði; bognaaði; vera á tremur (от изобилия); ве́тки ло́мятся от я́блок greinarnar bogna av súreplum; стол ломи́лся от еды́ borðið var rokað við mati; borðið var um at hokna av mati; склад ло́мится (от товаров) goymslan er á tremur (av vøru); киноза́л ломи́лся от зри́телей biografurin [-Ꞌkɹaː-] var kjokkfullur [-tl-] av fólki2.tlm.(стараться проникнуть) trokaaðiseg fram, trokaaðiseg inn, skoraaðiseg fram, skoraaðiseg inn@ломи́ться в откры́тую дверьsigaнепрtað, sum sjálvsagt [ʃɔl̥s-] er
ло́мка	f1.(действие) brotс0о(tað at bróta); brótingж0-ar; niðurrívingж0-ar2.(добыча камня и т.п.) brótingж0-ar, høggingж0-ar(av gróti o.ø.)3.(уничтожение) fyribeiningж0-ar, avtøkaжгл-a(отменение)4.(резкое изменение) broytingж0-ar; ло́мка го́лоса grovking [kɹɔʰtʃː-]ж0-arav málinum (hjá ungum dreingjum)5.jarg.(болезненное состояние) abstinensir [-stiꞋnε-]ж0-irмн(hjá narkomanum),sí eis.лома́ть(русскому отглагольному сущ. в переводе часто или предпочтительно соответствует глагольная форма)
ло́мкий	stfло́мок, ломка́ogло́мка, ло́мко, ло́мкиadjsum brotnar illa [ɪtla], brákinсоглосн, broyskinсоглосн
ломови́к	Gen, Accломовик|а́; plur~и́, ~о́в, ~а́мftlm.síломово́й(sí) изво́зчик
ломово́й	Im síломово́й(sí) изво́зчик IIadj: ломово́й изво́зчик kerrukuskurннк; ломова́я ло́шадь arbeiðsross
ломоно́с	m(Clematis) klematis [-Ꞌmaː-]ж0-ar
Ломоно́сов	mLomonosov [-Ꞌnoːsɔu]м0{дат.0}(til 1948Ораниенба́ум)
ломо́та	fverkurмсогл-s,-ir
ломо́ть	Genломт|я́; plur~и́, ~е́й, ~я́мmbitiмгл-i, pettiсгл-i; (breyð)flísж0-ar(хлеба); dáliмгл-i(картофеля и др.)@он отре́занный ломо́тьhann býr fyri seg sjálvan
ло́моть	Genло́мтя;plur~и, ~ей, ~ямtlm.síломо́ть
ло́мтик	dim avломо́ть
лонг-ли́ст	[ло-]Genлонг-листа́,plurлонг-лист|ы́, ~о́в, ~а́мm langur listi , yvirlit yvir eitt úrval av fólki (í kapping o.ø., sbrшорт-лист)
лонгпле́й	[-плэ́й]mLP-pláta [ˈεlː pʰeː-]жгл-a, longplaying-pláta [lɔŋkpʰlεijɪŋk-]жгл_a
лонгри́д	mlanglesnaðurмсогл-irпубл.
Ло́ндон	mLondonм0{дат.0}
лонжеро́н	mflog.langdragari [-aːk-]мгл-ari
ло́но	ngml.,hátíð.fangс0о, skeytс0обалл.,выс.; в ло́не семьи́ saman við familjuni [-Ꞌmɪ-], saman við sínum kæru@на ло́не приро́дыí náttúrunnar [-Ꞌtʰʉu-] fangiвыс., uttandura, úti
лопа́рь	Gen, Accлопар|я́; plur~и́, ~е́й, ~я́мmgml.lappiмгл-i(sámi),síсаа́м
ло́пасть	plurло́пасти, лопаст|е́й, ~я́мogло́паст|и, ~ей, ~ямm1.(широкий,плоский конец) blaðс0о{a/ø}{0<>i}(á ár o.ø); ло́пасть весла́ árablað; ло́пасть засту́па spakablað2.(турбины,водяного колеса,ротора и др.) blaðс0о{a/ø}{0<>i}, skovlж0-ir(á turbinu,vatnhjuli,rotori o.tíl.); blaðс0о{a/ø}{0<>i}(á skrúvu o.tíl.) (на винте и т.п.); ло́пасть винта́ skrúvublað (на судне;на самолётенп); propellblað [-Ꞌpʰεl-] (на самолёте;на суднепроф.); ло́пасть гребно́го винта́ skrúvublað (á skipsskrúvu)3.(у рыбы): хвостова́я ло́пасть sterturмсогл-ar(á fiski)
лопа́та	fspakiмгл-i; skovlж0-ir, skuplaжгл-aкн.(совковая)
лопа́тка	plurлопа́т|ки, ~ок, ~камf1.dim avлопа́та2.(каменщика и т.п.) múrskeið [mʏʂ-]ж0-ir3.anat.(кость)herðablaðс0о{a/ø}{0<>i}4.(часть туши) bógvurмсогл-ar{+};согл-s,-ir{+}(á krovi)5.(на рыболовном крючке) flíggjс0о{0<>i}(á húki)6.síло́пасть2@бежа́ть {драть, лупи́ть, удира́ть} во все лопа́ткиtlm.haldaслнe-i-itil beins, kleyvaaðiavstað [aꞋstεa]неформ.=>монта́жный
ло́пать	ipf(pfсло́пать)что-л.óvkm.koyrair(d)o-tí seg, skræða [skɹeːa]ir(d)o-tí seg, kveylaaðio-tí segгрубо
ло́паться	ipf(pfло́пнутьло́пн|у, ~ешь, ~ут)1.(давать трещину,разрываться,разламываться) brestaслнa-u-o(о полых предметах,струнах и т.п.); brotnaaði, støkkaслнa(ø)-u-osundur (сломаться); slitnaaði(о верёвке и т.п.); sprotnaaði; skrædnaaðiaði(о бумаге,материи и т.п.); нары́в ло́пнул hol kom á svullin [-tl-]; шар ло́пнул ballónin [-Ꞌlɔu-] brast; он гото́в ло́пнуть от любопы́тства hann er um at skrædna av forvitni2.bert 3. pers brúkturtlm.(потерпеть неудачу) dettaслнa-u-oniðurfyri [-Ꞌfiː-]; faraслнó-ó-aá heysinнеформ., faraслнó-ó-aav knóranum (обанкротиться)@моё терпе́ние ло́пнулоtolið hjá [tʃ-] mær var uppi;ло́паться от сме́хаvera um at skrædna í látri;хоть ло́пниóvkm.um tú so skrædnar; hvat tú so gert =>жир@
ло́пнуть	ipf síло́паться
лопота́ть	лопочу́, лопо́ч|ешь, ~утipf(pfпролопота́тьпролопочу́, пролопо́ч|ешь, ~ут)tlm.bulla [-tla]aði, mutlaaði
лопоу́хий	stfлопоу́х, ~а, ~о, ~иadj1.(об ушах) við upprendum oyrum, við útrendum oyrum2.óvkm.(наивный) góðtrúgvinсоглоснgv, góðvarinсоглосн; fávitskutur [-vɪsk-]согл, býtturсогл(глупый)
лопу́х	Genлопух|а́; plur~и́, ~о́в, ~а́мm1.(Arctium) burraжгл-a2.Accлопуха́óvkm.(простак) býttlingurмсогл-ar, tjórneyt [tʃʰœ-]с0опрезр.
лопухну́ться	лопухну́сь, лопухн|ёшься, ~у́тсяpfóvkm.,skemt.geraнепрo-tbýtt, geraнепрsær fyri skommum; (попасть впросак) komaслнo-o-o(upp) í rasshaftидиом.
Лора́н-С	f indeclLoran-C [loːɹanꞋseː]м нескл.
лорвра́ч	[лор-]Gen,Accлорврач|а́;plur~и́, ~е́й, ~а́мmoyrna-nasa-hálslækniмгл-i
лорд	mlordurмсогл-ar
лорне́т	mlorgnettir [-Ꞌnε-]ж0-irмн(við hondtaki el. stong)
Лос-А́нджелес	mLos Angeles [lɔsꞋaɲtʃɪlεs]м нескл.
лосёвый	adjelgs- [εl̥s-]
лосёнок	Gen, Accлосёнка; plurлося́т|а, ~, ~амmelgskálvur [εl̥s-]мсогл-ar
лоси́на	f1.(кожа) skinnс0оav elgi2.(мясо) elgskjøt [εl̥s-]с0о
лоси́ны	m plurleggings [lεkːɪɲks]ж мн;неопр. нескл.,опр.ж0-ar, gamasjur [-ˈma-]жгл-aмн
лоси́ный	adjelgs- [εl̥s-]
лоси́ха	felgskúgv [εl̥s-]жнепр
лоск	mglansurмсогл-ar; с ло́ском glansandiглandi; навести́ лоскна что-л.pussaaðio-t@в лоскóvkm.heilt, púra(sta);износи́тьчто-л.в ло́скóvkm.slítao-tupp, slítao-tblankt;пья́ный в лоскóvkm.etandi skítнескл.,грубо; plakat [-Ꞌkʰaːt]нескл.,неформ.
лоску́т	Genлоскута́; plurлоскут|ы́, ~о́в, ~а́мogлоску́ть|я, ~ев, ~ямmkloddiмгл-i, spjørrж0-ar{ø/a}, lepiмгл-i; bótж0-ur{ó/ø}(для починки)
лоску́тный	stfлоску́т|ен, ~на, ~но, ~ныadj1.(клоску́т) klodda-, spjarra-2.(из лоскутов) klodda-; лоску́тное одея́ла klútateppi, kloddateppiнп,síeis. @3.fl., tlm.(состоящий из многих кусков, частей) margháttaðurглaðurкн.(многообразный), ymisháttaðurглaður, misjavnurсогл{a/ø}(разнородный); mótstríðandiглiandi, ósambæriligur [-ˈpεa-]глigur(противоречивый); óstruktureraðurннкглaðurпроф.(не обладающий структурой)4.gml., fakm. (занимающийся продажей ло́скута) sum selur og keypir klútar o.a.@ лоску́тное одея́лоfl.klútateppiперен., sí eis2
ло́сниться	ло́сн|юсь, ~ишься, ~ятся síлосни́ться
лосни́ться	лосн|ю́сь, ~и́шься, ~я́тсяipf(pfзалосни́тьсязалосн|ю́сь, ~и́шься, ~я́тся) glinsaaði; vera blankslitinсоглосн(изношен)
лососево́д	mlaksaalariмгл-ari
лососево́дство	nlaksaalingж0-ar
лососёвые	plur(сем. Salmonidae) laksafiskarмсогл-arмн
лососёвый	adjlaksa- =>вошь
лосо́сий	adjlaksa-
лососи́на	flaksurмсогл-ar(fiskur,matur)
лосо́сь	m(Salmo) laksurмсогл-ar; атланти́ческий лосо́сь (Salmo salar) laksurмсогл-ar; дуна́йский лосо́сь (Hucho huchо) donaulaksur [toːnau-]мсогл-ar; лосо́сь-тайме́нь (Salmo trutta) sílс0о; sjósílс0о(большую часть жизни живущий в море) =>анеми́я
ло́сось	m síлосо́сь
лось	plurло́си, лос|е́й, ~я́мogло́с|и, ~ей, ~ямm(Alces alces) elgurмсогл-ar
лосьо́н	mlotión [-Ꞌʃɔun]ж0-ir
лося́тина	flaksurмсогл-ar(sum matur)
Лот	mbíbl.Lot [lɔʰtː]м0{дат.0}
лот1	Im(прибор) loddс0о(at máta dýpd við); измеря́ть глубину́ ло́том lodda dýpið
лот2	IIm(мера)gamalt russ.mát = 12,8 g≈ loddс0о(15-20 г)
лот3	IIIm(партия товаров) partí [-Ꞌtʰʊi]с0о(;0-ir)спец., проф.
Лотари́нгия	fLothringen [loːt-]с0o{дат.0}, Lorraine [-Ꞌrεnː]с0o{дат.0}
лотере́йный	adj: лотере́йный биле́т lutaseðil
лотере́я	f1.(розыгрыш) happadrátturмсогл-ir;соглосн-ar,-arофиц., lottarí [-Ꞌrʊi]ннкс0о2.fl.(случайный успех) lottarí [-Ꞌrʊi]ннкс0о=>би́нго
ло́тлинь	msigl.loddlínaжгл-a
лото́	n indecllottoс нескл.; игра́ть в лото́ spæla lotto
лото́к	Genлотк|а́; plur~и́, ~о́в, ~а́мm1.(прилавок) kiosk [kʰiˈɔsk]ж0-ir{+}(opin), sølubúðж0-ir(opin)2.(стол) diskurмсогл-ar, skivaжгл-a(í sølubúð,sí1)3.(жёлоб) rennaжгл-a; sliskaжгл-a(t.d. frá skiljara)
ло́тос	m(Nelumbium) lotusж0-ir, lotusblómaжгл-a
лото́чник	[-шн-]mgøtuhandlari [-hanl-]мгл-ari
лото́шник	mtlm.lottospælariмгл-ari
лоуко́ст	[лоу-]m síлоуко́стер
лоуко́стер	[лоуко́стэр]mlágprísfelag с0о{a/ø}{0<>i}(mest um flogfeløg)
лофи́ра	f: крыла́тая лофи́ра (Lophira alata) azobé [asoˈpeː]с нескл спец.
Лофоте́нские острова́	[-тэ́-] (на - í) Lofotenм нескл.
лофт	mloftíbúðж0-ir(umbygd í ídnaðarbygningi o.tíl.)2. (полуэтаж) mezzanin {messanin} [mεsːaꞋniːn]ж0-ir
лох	m1.(растение/(родEleagnus) silvurblaðс0о{a/ø}{0<>i}бот.2.jarg.(дурак) býtt fylс0о{}; góðvarið fólkс0о(наивный человек)
лоха́нка	plurлоха́н|ки, ~ок, ~камf1.síлоха́нь2.:по́чечная лоха́нка nýrakokaжгл-a
лоха́нь	fbaljaжгл-a
лохма́тить	лохма́чу, лохма́т|ишь, ~ятipf(pfвзлохма́титьвзлохма́чу, взлохма́т|ишь, ~ят, разлохма́титьразлохма́чу, разлохма́т|ишь, ~ят)tlm.Accfrísaaðio-t(волосы и т.п.), geraнепрВинfrísutan
лохма́титься	лохма́чусь, лохма́т|ишься, ~ятсяipf(pfвзлохма́титьсявзлохма́чусь, взлохма́т|ишься, ~ятся, разлохма́титьсяразлохма́чусь, разлохма́т|ишься, ~ятся)tlm.verða frísuturсогл, ývnaaði
лохма́тый	stfлохма́т, ~а, ~о, ~ыadj1.(с длинной,густой шерстью) loðinсоглоснð/d2.tlm.(непричёсаный) frísuturсогл3.(состоящий из длинных, перепутснный прядей) samanfløkturСОГЛ
лохмо́тья	лохмо́ть|ев, ~ямplur1.(ветхая, изорванная одежда) kloddarмгл-iмн(gomul, slitin klæðir), spjarrarж0-ar{ø/a}мн(изорванная, бедная одежда); в лохмо́тьях kloddutur2.(клочья) leparмгл-iмн, spjarrarж0-ar{ø/a}мн(материала), kloddarмгл-iмн
ло́хмы	лохм, ~амf plur(hár)trevsur [-εfs-]жгл-амн, strýggjurжгл-амн(волос,шерсти);fl.flókarмгл-iмн(mjørki,skýggj) (тумана,облаков)
лоху́шка	plurлоху́ш|ки, ~ек, ~камf jarg.(дурак) eitt býtt fylс0о{+}; tankaleyst [tʰan̥ka-] konufólkс0о(sum lætt letur seg lumpa)
ло́ция	floðsurмсогл-ar(bók;vegleiðing í sigling)
ло́цман	mloðsurмсогл-ar(fólk,ið loðsar); брать ло́цмана taka loðs; прово́дка ло́цманом loðsingж0-ar; обяза́тельная прово́дка ло́цманом loðspliktж0-irспец.
ло́цманский	adjloðs-; ло́цманский ка́тер {бот} loðsbátur; ло́цманское су́дно loðsbátur; ло́цманская прово́дка loðsingж0-ar; обяза́тельная ло́цманская прово́дка loðspliktж0-irспец.; ло́цманское вознагражде́ние loðspengarмгл-iмн; ло́цманский сбор loðspengarмгл-iмн; ло́цманский трап loðsleytari
лошади́ный	adjrossa-, hesta-; лошади́ное лицо́ hestaansiktннк, rossagronж0-irпренебр.(um fólk)@лошади́ная до́заtlm.,skemt.≈ búrmáltíð [pʏɹ-]ж0-ir(о большой порции еды);лошади́ная си́лаhestakraft;лошади́ное здоро́вьеgóð heilsa
лоша́дка	plurлоша́д|ки, ~ок, ~камf1.dim avло́шадь; hestamuaжгл-aдетск., rossamuaжгл-aдетск.2.(игрушка) gúnguhesturннкмсогл-ar, rugguhesturнпмсогл-ar(качалка); prukkuhesturмсогл-arуст.,кн.(на палке)@рабо́чая лоша́дкаfl.arbeiðsgrevс0о; тёмная лоша́дкаfl.svartur hesturмсогл-arперен.
лоша́дник	mtlm.1.(торговец лошадьми) rossahandlari [-hanl-]мгл-ari2.(любитель лошадей)o-r, ið dámar ross
ло́шадь	plurло́шади, лошад|е́й, ~я́м, лошадьми́ogлошадя́миfrossс0о; hesturмсогл-ar(тж конь); на ло́шади á hestbaki; е́хать на лошадя́х koyra við hestavogni =>рабо́чийII 2
лоша́к	Genлошак|а́;plur~и́, ~о́в, ~а́мmmúlesilс0осн
лощёный	adj1.(имеющий блеск) blankurсоглank({а/о}), glinsandiглandi; лощёная бума́га glittað papír [-Ꞌpʰʊiɹ]2.fl.,tlm.(с внешним лоском) snákaðurглaður
лощи́льный	adj: лощи́льный пресс glittipressa
лощи́на	fdalurмсогл-ar{a/ø};-s,-ir{a/ø}, lægdж0-ir(við hallandi bakkum,í lendi)
лощи́ть	лощ|у́, ~и́шь, ~а́тipf(pfналощи́тьналощ|у́, ~и́шь, ~а́т)что-л.1.(натирать до блеска) bonaaðio-t(б.ч. полы воском и т.п.); polera [-Ꞌleː-]aðio-t, pussaaðio-t2.(наводить глянец) glittaaðio-t
лоя́льность	floyalitetur [lɔijaːliꞋtʰeː-]ннкмсогл-ar
лоя́льный	stfлоя́лен, лоя́льн|а, ~о, ~ыadjloyalur [lɔiꞋaː-]ннксогл
ЛПУ	[эл-пэ-у́]plur indecl stytt fyriлече́бно-профилакти́ские учрежде́нияfelags heiti á sjúkrahúsum, klinikkum o.ø. stovnum undir heilsuverkinum
ЛСД	[эл-эс-дэ́]m indeclLSD [εlː εsː ˈteː]с0о{0<>i}
Луа́нда	f indeclLuanda [-Ꞌan-]м нескл.
Луа́ра	fLoire [luꞋaːɹ]м нескл., ж нескл.
луб	plurлу́бь|я, ~ев, ~ямmbastс0о
лубене́ть	ipf(pfзалубене́ть)bert 3. pers brúkutur,tlm. stívnaaði, harðnaaði
лубко́вый	adj bast-
лубо́к1	IGenлубк|а́; plur~и́, ~о́в, ~а́мmlækn.(лечебна повязка) skinnariмгл-ari, spjálkiмгл-ariкн.; наложи́ть лубо́кна что-л.leggja skinnaraá o-t
лубо́к2	IIGenлубк|а́; plur~и́, ~о́в, ~а́мmsøg.(картина)bíligur træskurður, ið var ætlaður tí vanliga fólkinum
лубо́чный	adj1.søg.: лубо́чная карти́нкаsíлубо́кII 12.: лубо́чная литерату́ра a)søg.lítisverdur lesnaður, ið var ætlaður fjøldini; b)atf.(примитивная литература) lættisoppalesnaðurмсогл-irпренебр.
лубрика́нт	mglíðikremс0о
Лубя́нка	f(на - á) Lubjanka [-Ꞌja-]с нескл.(brúkt sum metonym fyri KGB, FSB)
лубяно́й	adjbast-
луг	Prpо лу́ге, на лугу́; plurлуг|а́, ~о́в, ~а́мmgraslendiсгл-i; bøurмсогл-ir{+}(на Фар. о-вах земля,покрытая травянистой ратстительностью,в отличие отhagi); vøllur [-tl-]мсогл-ir{ø/a}(пространство земли,покрытое травянистой растительностью); ongж0-ir{+}балл., поэт
Луга́нск	mLugansk [-ˈka-]м нескл, Luhansk [-ˈha-]м нескл
лугови́на	f tlm.lítið graslendiсгл-i; lítil bøurмсогл-ir{+}(síлуг)
лугово́дство	ngrasdyrkingж0-ar
лугово́й	adjbø-, bíggjar-; eingjar-
луди́льщик	mblikksmiðurмсогл-s,-ir, blikksláariмгл-ari
луди́ть	лужу́, лу́д|ишь, ~ятoggml.лужу́, луд|и́шь, ~я́тipf(pfвы́лудитьвы́лужу, вы́луд|ишь, ~ят, полуди́тьполужу́ полу́д|ишь, ~ятoggml.полужу́, полуд|и́шь, ~я́т)что-л.fortinna [-Ꞌtʰɪ-]aðio-t
лудома́ния	fludomani [-ˈniː]ж0-irпсих.,спец.
лу́жа	fhylurмсогл-ar,-ar{+};согл-ar{+}(lítil kulla við vatni í ella væta,ið er stoytt á gólv o.tíl.)@сесть в лу́жуtlm.vera í trongum skómидиом., komaслнo-o-oí trunkusmelluna [-tl-]пог.; komaслнo-o-oꞋ lort í býinпог.неформ.
лужа́йка	plurлужа́йки, лужа́ек, лужа́йкамf(gras)vøllur [-tl-]мсогл-ir{ø/a}
луже́ние	nfortinning [-Ꞌtʰɪnː-]ж0-ar
лужёный	adjfortinnaður [-Ꞌtʰɪ-]глaður@у него́лужёная гло́ткаtlm.hann er harðmæltur [haɹm-]; у него́лужёный желу́докtlm.hann tolir (at eta) alt
лу́жица	f dim tilлу́жа
лу́жицкий	adjsorbiskurсоглsk; лу́жицкий язы́к sorbisktсприлskt
лужича́нин	plurлужича́н|е, ~, ~амmsorbariмгл-ari, sorbiмгл-i
лужо́к	Genлужк|а́; plur~и́, ~о́в, ~а́мm dim avлуг
лужу́	1. pers pres avлуди́ть
лу́за	fholс0о(í billiard)
лузга́	f kollskalс0о{a/ø}(av ávísum vøkstrum)
лу́згать	ipfчто-л. tlm.gresjaaðio-t(og fáa skalið av), bryðjaur(d){+}o-t(og fáa skalið av)
лу́зер	m jarg.tapariмгл-ari(sum stendur seg illa); óeydnismaðurмнепр(неудачник)
лук1	IGenлу́ка, лу́куm(Allium) leykurмсоgl-s,-ir; зелёный лук (Allium fistulosum) várleykur, springleykur =>голо́вка3,медве́жий@,ре́пчатый
лук2	IIm(оружие) bogiмсогл-i{+}; стрельба́ из лу́каítr.bogaskjóting [puːwa-]; стрело́к из лу́ка bogaskjútti [puːwa-]; стреля́ть из лу́ка skjóta við boga [puːwa]
Лука́1	Imbíbl.Lukas [lʊʰkː-]м0-ar({<>i})=>ева́нгелие
лука́2	IIplurлу́к|и, ~, ~амf1.(седла) saðilbogiмгл-i{+}2.(изгиб) bugurмсогл-ar(á vegi, á o.tíl.)
лука́вец	Gen, Accлука́вц|а; plur~ы, ~ев, ~амmtlm.revurмсогл-ar(snúið fólk), besnissað [-Ꞌsnɪ-]неформ.fólkс0о
лука́винка	f: с лука́винкойtlm.við einum skálkabrosi
лука́вить	лука́влю, лука́в|ишь, ~ятipf(pfслука́витьслука́влю, слука́в|ишь, ~ят) brúkaar(t)snildir; látastслнæ-ó-á(притворяться)
лука́вство	n1.(хитрость) snildirж0-irмн, knepс0о; kávalætiсгл-i, lótirж0-irмн(притворство)2.(игривость) skálkakætiсгл-i; kokettarí [Ꞌrʊi]ннкс0о, koksс0окн.(кокетство)
лука́вый	Imhin illi [ɪtlɪ], hin versti [vεstɪ], illimaður [ɪtl-]мнепр; от лука́вогоbókl.av tí ónda, av tí illa [ɪtla]IIstfлука́в, ~а, ~о, ~ыadj1.(хитрый) snildurсогл; lúnskurсоглnsk; slyngskur [slɪn̊sk-]соглnsk(коварный)2.(игривый) skálkaligurглigur
лу́ковица	f1.(тюльпанов и др.) leykurмсогл-s,-ir(hjá tulipanum o.ø.)2.(головка лука) leykurмсогл-s,-ir(heilur bøllur av leyki)3.(у волос и др.): лу́ковица воло́с hárrótж0-ur{ó/ø}4.(купол) (leyk)kupulм0осн-s,-ar(á russ. o.ø. kirkjum)
лу́ковичный	adjleyk-
лу́ковый	adjleyk-;лу́ковый суп leyksuppa@го́ре лу́ковоеtlm.,skemt.stakkalм0осн-s,-ar, ólukkudýrс0о
лукомо́рье	ngml.,munn.víkж0-ir, vágж0-ir
луко́шко	plurлуко́ш|ки, ~ек, ~камnbastkurvж0-ar
луку́ллов	adjbókl.: луку́ллов пир lukullisk [-Ꞌkʰʊlː-] veitsla [vai̯sla], lukullisk [-Ꞌkʰʊlː-] máltíðж0-ir
Луна́1	Ifmáninмгл-iопр.(sum fylgisveinur hjá jørðini); полёт на Луну́ mánaferð,sí eis.луна́
луна́2	IIplurлу́н|ы, ~, ~амfmániмгл-i; при луне́ í mánalýsi; по́лная луна́ fullmáni [fʊlm-], full [-tl] sólж0-ir; молода́я луна́ tendringж0-ar; нараста́ющая луна́ fyllandi [-tl-] sól; убыва́ющая луна́ skerjandi sól@он (как {сло́вно}) с луны́ свали́лсяtlm.,skemt.hatta stendur sum bitið rossпог.; hatta stendur sum Kánusпог., неформ.;ничто́ не ве́чно под луно́йtilt.einki er ævigt =>уще́рб2
лунати́зм	mtað at ganga í svøvni
луна́тик	m o-r, sum gongur í svøvni
Лунд	mLundм0{дат.0}
лу́нка	plurлу́н|ки, ~ок, ~камfholс0о(niður í o-t,t.d. tonn,ís)
лу́нник	mmánarakett [-kʰε-]ж0-ir
лу́нный	adjmána-; лу́нный свет mánalýsi; лу́нная ночь mánaljós nátt@лу́нный ка́меньmánasteinur
лунохо́д	mmánabilurмсогл-ar
лунь	Gen, Accлун|я́; plur~и́, ~е́й, ~я́мm: полево́й лунь (Circus cyaneus) fenheykurмсогл-ar@седо́й {бе́лый} как луньkolgráur [kʰœl-], [kʰɔl-]
лу́па	fluppurмсогл-ar
лупи́ть1	Iлуплю́, лу́п|ишь, ~ятipf что-л.1.pfоблупи́тьоблуплю́, облу́п|ишь, ~ят(очищать от кожуры) flysaur(t){y/u}o-t2.pfслупи́тьслуплю́, слу́п|ишь, ~ят(обдирать кору) flæsair(t)o-tav (børk)@лупи́ть глаза́óvkm.gløair(d)
лупи́ть2	IIлуплю́, лу́п|ишь, ~ятipf1.pfслупи́тьслуплю́, слу́п|ишь, ~ят(с кого-л.)óvkm.(брать дорогую цену) fláaaðio-nнеодобр., okraaðio-nнеодобр.2.pfотлупи́тьотлуплю́, отлу́п|ишь, ~ят кого-л.(бить) bukaaðio-nav, hølvaaðio-nav
лупи́ть3	IIIлуплю́, лу́п|ишь, ~ятipf1.pfотлупи́тьотлуплю́, отлу́п|ишь, ~ят Acctlm.(бить) bukaaðio-nav, smyrjaнепрo-nav2.(um o-t, ið fer skjótt fram o.tíl.): лу́пит дождь tað oysir niður; он лу́пит домо́й hann fer spelandi til hús; они́ лу́пят по шоссе́ teir fara fúkandi eftir [εʰtː-] landsvegnum [lan̊sveːn-] =>лопа́тка@
лупи́ться	лу́п|ится, ~ятсяipf1.облупи́тьсяоблу́п|ится, ~ятся(шелушиться) skallaннкaðiꞋ av, flusnaaðiꞋ av, hamsaleypastслнey-u-o2.pf eis.отлупи́тьсяотлу́п|ится, ~ятсяskallaннкaðiꞋ av, flusnaaðiꞋ av (máling o.a.)
лупогла́зый	stfлупогла́з, ~а, ~о, ~ыadjóvkm.útoygdur [-ɔkt-]согл
лупцева́ть	лупцу́|ю, ~ешь, ~ютipf(pfотлупцева́тьотлупцу́|ю, ~ешь, ~ют)Accóvkm.bukaaðiВинav, smyrjaнепрВинav
Луса́ка	fLusaka [-Ꞌsaː-]м нескл.
лутера́нка	plurлутера́н|ки, ~ок,~камflutheranari [lʊʰtːɪꞋraː]мгл-ari(konufólk)
луч	Genлуч|а́; plur~и́, ~е́й, ~а́мm1.(полоска света;поток частиц энергии) strálaжгл-a; geisliлпмгл-i; со́лнечный луч sólstrála, sólarglæmaжгл-a; луч наде́жды ein glottiмгл-iav vón2.djór.(плавника) teinurмсогл-ar(hjá fiski)
лучево́й	adj1.(клуч 1) strálu-, geisla-лп2.(расходящийся радиусами) radial- [-Ꞌaːl-]проф.@лучева́я костьanat.sperruleggurмсогл-ir{+};лучева́я боле́зньstrálusjúka, geislasjúkaлп
лучеза́рный	stfлучеза́р|ен, ~на, ~но, ~ныadjhátíð.skínandiглandi, ljómandiглandi(glógvandi); strálandiглandi
лучеиспуска́ние	nfys.útstrálingж0-ar, geislingлпж0-ar
лучепёрый	adj:лучепёрые ры́бы (класс Actinopterygii) fiskar við teinafjaðrum
лучи́на	f1.(щепка) flísж0-ar(av viði); spónurмсогл-ar; согл-ir{ó/ø}(av viði)2.gml.(для освещения) (ljós)spónurмсогл-ar; согл-ir{ó/ø}(brúktur at lýsa upp við)
лучи́стый	stfлучи́ст, ~а, ~о, ~ыadj1.(светящийся) skínandiглandi, strálandiглandi2.bert lffys.(клуч 1) strálu-, geisla-лп; лучи́стая эне́ргия stráluorka, geislaorka
лучи́ться	луч|и́тся, ~а́тсяipfglógvaaði, strálaaði
лучко́вый	adj: лучко́вая пила́ bogasag [puːwa-]
лу́чник	mbogaskjútti [puːwa-]мгл-i
