З	за́пад V, vestur
заче́сть	зачт|у́, ~ёшь, ~у́т;pretзачёл, зачл|а́, ~о́, ~и́pf(ipfзачи́тывать I)что-л.1.(в счёт чего-л.) roknaaðio-tuppí[ʊꞋpʰʊi]o-t; заче́стьчто-л. за что-л.roknao-tsumo-t, teljaur(d){e/a}{+}o-tvið sumo-t, metair(t)o-tsumo-t(оценивать); заче́сть полго́да за год rokna eitt hálvt [hɔl̥t] ár sum eitt ár, rokna eitt hálvt [hɔl̥t] ár fyri eitt ár; заче́стьчто-л.в упла́ту до́лга góðskrivaaðio-tsum gjald av skuld, kreditera [-Ꞌtʰeː-]ннкaðiпроф.o-tsum gjald av skuld2.(признать) góðkennair(d)o-t, viðurkennair(d)o-t; реко́рд не́ был зачтён metið var ikki viðurkent; «зачтено́» «staðið» (prógv),síзачёт3
заче́сться	зачт|ётся, ~у́тся; pretзачёлся, зачл|а́сь, ~о́сь, ~и́сьpf(ipfзачи́тываться I) verða taldurсоглuppí [ʊꞋpʰʊi], verða taldurсоглvið, verða roknaðurглaðuruppí [ʊꞋpʰʊi], verða tikinсоглоснvið (í útrokning o.tíl.);ipf eis.galdaслнa-u-o{+}, verða galdandiглandi
зачёсывать	ipf síзачеса́тьI
зачёсываться	ipf síзачеса́тьсяI
зачёт	m1.(действие) uppírokning [ʊꞋpʰʊi-]ж0-ar; góðkenningж0-ar, viðurkenningж0-ar(признание),síзаче́сть1-2 (русскому отглагольному сущ. в переводе часто или предпочтительно соответствует глагольная форма); идти́ в зачёт vera taldurсоглvið, vera galdandiглandi2.(по чему-л. - í o-m) royndж0-ir(har úrslitið bara er «staðið» ella «ikki staðið») (в учебном заведении); получи́ть зачёт {сдать зачёт} standaслнó-ó-aroyndina; поста́витькому-л.зачёт skrivaaðio-nat hava staðið roynd; автомати́ческий зачёт {зачёт автома́том.}tlm.«staðið»uttan roynd(bara við uppmøting)
зачётка	plurзачёт|ки, ~ок, ~камftlm. síзачётнаякни́га
зачётный	adj: зачётная кни́гаpróvtøkubók(við próvtøkum o.ø. hjá lesandi); зачётная се́ссия tíðin, tá royndir (síзачёт) verða hildnar
зачехли́ть	pf síчехли́ть
зачи́н	m bókm.inngangurмсогл-s,-ir, byrjanж0-ir(serl. í skaldskapi av manna munni)
зачина́тель	mslóðbrótariмгл-ari(пионер); stigtakariмгл-ari(инициатор); stovnariмгл-ari(основатель)
зачи́нивать1	Iipf síзачини́тьI
зачи́нивать2	IIipf síзачини́тьII
зачини́ть1	Iзачиню́, зачи́н|ишь, ~ятpf(ipfзачи́нивать I) (починить)что-л.tlm.umvælair(d)o-t, vælair(d)umo-t, geraнепрo-taftur [aʰtː-], reparera [-Ꞌreː-]ннкaðio-t; bøtair(t)o-t(поставить заплату)
зачини́ть2	IIзачиню́, зачи́н|ишь, ~ятpf(ipfзачи́нивать II)что-лspískaaðio-t(blýant o.tíl.)
зачи́нщик	m(чего-л.)atf.upphavsmaðurмнепр(at o-m), høvuðsmaðurмнепр(fyri o-m), íbirtariмгл-ari(av o-m);o-r, ið eggjar tilo-tнеодобр.(подстрекатель)
зачисле́ние	n1.(на работу) setanж0-ir(í starv o.tíl.), innskrivingж0-ar; зачисле́ние на рабо́ту setan; зачисле́ние в а́рмию innskriving (í herin); зачисле́ние в вуз immatrikulering [-Ꞌleː-]ж0-ar, innskrivingж0-ar(á hægri lærustovn),sbr.зачи́слить 1 (русскому отглагольному сущ. в переводе часто или предпочтительно соответствует глагольная форма)2.bókh.(в бухгалтерии) innføringж0-ar, bókingж0-ar
зачи́слить	зачи́сл|ю, ~ишь, ~ятpf(ipfзачисля́ть)1.кого-л.(на работу) setaur(t);ir(t)o-n(í arbeiði), ansetaннкur(t);ir(t)o-n; skrivaaðio-ninn (в заведение,армию и др.); takaслнó-ó-io-nupp (принять); immatrikulera [-Ꞌleː-]aðio-n(в высшее учебное заведение); он зачи́слен в штат hann er fastansetturннк, hann er føstum satrvi, hann er settur í fast starv; он зачи́слен в сектертари́ hann er settur sum skrivari, hann hevur fingið starv sum skrivari; он зачи́слен на ку́рсы hann er tikin upp á skeiðið; зачи́слитького-л.на вое́нную слу́жбу skrivao-ninn til hertænastu, kalla [-tla]o-ninn til hertænastu; зачи́слитького-л.в запа́с flytao-ntil reservan [-Ꞌsε-]ннк2.что-л.bókh.(записать) førair(d)o-tinn, bókaaðio-t; зачи́слить 2500 рубле́й на счёт seta 2500 rublar á kontoina [-oːjɪna]
зачи́слиться	зачи́слюсь, зачи́сл|ишься, ~ятсяpf(ipfзачисля́ться) faraслнó-ó-auppí [-Ꞌpʰʊi]; verða innskrivaðurглaður; verðа tikinсоглоснꞋ upp (быть принятым); meldaaðiseg inn í (записаться),síзачи́слить
зачисля́ть	ipf síзачи́слить
зачисля́ться	ipf síзачи́слиться
зачи́стить	зачи́щу, зачи́ст|ишь, ~ятpf(ipfзачища́ть)1.что-л.(сделать гладким) slærraaðio-t, javnaaðio-t2.что-л.(отокалины и др.) reinsaaðio-t, pussaaðio-t (fyri slagga o..a.) 3. что-л. (филе и т.п.)reinskeraслнa-ó-oo-t(flak o.tíl.)4.fl., tlm.(освободить от кого-л., чего-л.) slppaслнa-u-osær avvið Вин
зачи́стка	plurзачи́ст|ки, ~ок, ~камfpussingж0-ar, slættingж0-ar; reinskeringж0-ar(flak o. tíl.) (филе и т.п.)
зачита́ть	pf(ipfзачи́тывать)что-л.1.(огласить) lesaслнa-ó-io-tupp (lesa hart)2.tlm.(истрепать) slítaслнei-i-io-tupp (við lestur), lesaслнa-ó-io-tí fillurнеформ.(um bók,blað o.tíl.); зачи́танный до дыр lisin í lepar3.tlm.(не вернуть) ikki lataслнæ-ó-ao-taftur [aʰtː-], behalda [-Ꞌha-]ннкслнe-i-io-t(um lænta bók)
зачита́ться	pf(ipfзачи́тываться)чем-л.gloymair(d)seg burturí o-m, gloymair(d)seg burtur í lestriav o-m, vera fordjúpaður [-Ꞌtʃʉu-]глaðurí o-m, vera fordjúpaður [-Ꞌtʃʉu-]глaðurlestriav o-m
зачи́тывать1	Iipf síзаче́сть
зачи́тывать2	IIipf síзачита́ть
зачи́тываться1	Iipf síзаче́сться
зачи́тываться2	IIipf síзачита́ться
зачища́ть	ipf síзачи́стить
зачн...	1.зачну́o.s.fr. fut avзача́ть2.зачни́, зачни́теimper avзача́ть
зачт...	1.зачту́o.s.fr. fut avзаче́сть2.зачти́, зачти́теimper avзаче́сть
зачумлённый	stfзачумлён, зачумленн|а́, ~о́, ~ы́adjpestfongdurсогл; бежа́ть как от зачумлённогоfl.skýggjaaðisum pestina
зачу́ять	зачу́|ю, ~ешь. ~ютpf что-л. tlm.tevjaaðio-t(о животных); kennair(d)o-t, følair(d)o-t(a sær)
зашага́ть	pf(faraслнó-ó-aat, begynna [-Ꞌtʃɪ-]ннкir(t)at, byrjaaðiat) fetaaði, (faraслнó-ó-aat, begynna [-Ꞌtʃɪ-]ннкir(t)at, byrjaaðiat) stígaслнei-i-i(í stórum),síшага́ть
заша́ркать	pf1.ipfзаша́ркиватьчто-л.tlm.(испачкать) slóðaaðiá o-m, slóðaaðieftir[εʰtː-]o-m(dálka)2.(начать шаркать) faraслнó-ó-aat skava, begynna [-Ꞌtʃɪ-]ннкir(t)at skava, byrjaaðiat skava,síша́ркать
заша́ркивать	ipf síзаша́ркать
зашата́ться	pffaraслнó-ó-aat ridla, begynna [-Ꞌtʃɪ-]ннкir(t)at ridla, byrjaaðiat ridla; faraслнó-ó-aat vagga, begynna [-Ꞌtʃɪ-]ннкir(t)at vagga, byrjaaðiat vagga, faraслнó-ó-aat sveiggjа, begynna [-Ꞌtʃɪ-]ннкir(t)at sveiggjа, byrjaaðiat sveiggjа; faraслнó-ó-aat skinkla, begynna [-Ꞌtʃɪ-]ннкir(t)at skinkla, byrjaaðiat skinkla,síшата́ться; (um tonn o.tíl.) losnaaði(о зубе и т.п.)
зашвартова́ть	зашварту́|ю, ~ешь, ~ютpf(ipfзашварто́вывать, швартова́тьшварту́|ю, ~ешь, ~ют) что-л. skip.fortoya [-Ꞌtʰœija]aðio-t, bindaслнa-u-uo-t(skip)
зашвартова́ться	зашварту́|юсь, ~ешься, ~ютсяpf(ipf зашварто́вываться, швартова́тьсяшварту́|юсь, ~ешья, ~ются) skip. leggjaнепрꞋat(skip),fortoya [-Ꞌtʰœija]aðiмор.
зашварто́вывать	ipf síзашвартова́ть
зашварто́вываться	ipf síзашвартова́ться
зашвы́ривать1	Iipf síзашвырну́ть
зашвы́ривать2	IIipf síзашвыря́ть
зашвырну́ть	зашвырн|у́, ~ёшь, ~у́тpf(ipfзашвы́ривать I)что-л.tveitair(t)o-t, sleingjair(d)o-t
зашвыря́ть	pf(ipfзашвы́ривать II)что-л.tlm.kastaaðio-t, tveitair(t)o-t, blakaaðio-t,síшвыря́ть
зашевели́ть	зашевел|ю́, ~и́шь, ~я́тogзашеве́л|ишь, ~ятpf(faraслнó-ó-aat, begynna [-Ꞌtʃɪ-]ннкir(t)at, byrjaaðiat) rørair(d), (faraслнó-ó-aat, begynna [-Ꞌtʃɪ-]ннкir(t)at, byrjaaðiat) beveka [-Ꞌveː-]ннкaði,síшевели́ть
зашевели́ться	зашевел|ю́сь, ~и́шься, ~я́тсяogзашеве́л|ишься, ~ятсяpf(faraслнó-ó-a, begynna [-Ꞌtʃɪ-]ннкir(t), byrjaaðiat) rørair(d)seg, beveka [-Ꞌveː-]ннкaðiseg,síшевели́ться
заше́ек	Genзаше́йк|а;plur~и, ~ов, ~амmóvkm.1.(у лошади) nakkiмгл-i2.óvkm.(у человека) nakkiмгл-i
заше́ина	fóvkm.1.(у лошади) nakkiмгл-i2.óvkm.(у человека) nakkiмгл-i
заше́й...	заше́й, заше́йтеimper avзаши́ть
зашелесте́ть	зашелест|и́шь, ~я́тpf(faraслнó-ó-aat, begynna [-Ꞌtʃɪ-]ннкir(t)at, byrjaaðiat) skróvaaði,síшелесте́ть
зашепта́ть	зашепчу́, заше́пч|ешь, ~утpf(что-л.) (faraслнó-ó-aat, begynna [-Ꞌtʃɪ-]ннкir(t)at, byrjaaðiat) teskaaði(o-t), (faraслнó-ó-aat, begynna [-Ꞌtʃɪ-]ннкir(t)at, byrjaaðiat) lýðair(d)(o-t); (faraслнó-ó-aat, begynna [-Ꞌtʃɪ-]ннкir(t)at, byrjaaðiat) tutlaaði(o-t) (тихо бормотать),síшепта́ть
зашепта́ться	зашепчу́, ше́пч|ешь, ~утpf(faraслнó-ó-aat, begynna [-Ꞌtʃɪ-]ннкir(t)at, byrjaaðiat) lýðastir(d), (faraслнó-ó-aat, begynna [-Ꞌtʃɪ-]ннкir(t)at, byrjaaðiat) teskaaðisínámillum [sʊinamɪtl-], (faraслнó-ó-aat, begynna [-Ꞌtʃɪ-]ннкir(t)at, byrjaaðiat) tutlaaðisínámillum [sʊinamɪtl-] (тихо бормотат),síшепта́ться
зашерша́веть	pf síшерша́веть
зашиба́ть	ipfóvkm.1.síзашиби́ть2.(выпивать) drekkaслнa-u-u(illa [ɪtla]) (brennivín o.tíl.), pimpaaði
зашиба́ться	ipf síзашиби́ться
зашиби́ть	зашиб|у́, ~ёшь, ~у́т; pret заши́б, ~ла, ~ло, ~лиpf(ipfзашиба́ть)óvkm.1.Acc(ушибить) meiðair(d)Вин, meiðslaaðiВин; meltaaðio-t; зашиби́ть (себе́) па́лец meiðsla fingurin; зашиби́тького-л.до сме́рти sláaслнó-ó-io-nkaldan, sláaслнó-ó-io-ntil deyðis2.что-л.(деньги): зашиби́ть деньгу́ tjenaar(t)væl, oysair(t)pengar innнеформ.
зашиби́ться	зашиб|у́сь, ~ёшься, ~у́тся; pret заши́бся, ~лась, ~лось, ~лисьpf(ipfзашиба́ть)óvkm. meiðair(d)seg, meiðslaaðiseg, fáaслнe-i-iein snudd@ зашибись!(brúkt sum inter) óvkm.tað mátti so ˑverið!;tað skalся eg ˈhalda við!
зашива́ть	ipf síзаши́ть
зашива́ться	ipf síзаши́ться
заши́кать	pf кого-л.(faraслнó-ó-aat, begynna [-Ꞌtʃɪ-]ннкir(t)at, byrjaaðiat) hússjaaðiá o-n,síши́кать
зашипе́ть	зашип|лю́, ~и́шь, ~я́тpf  faraслнó-ó-a{begynna [-Ꞌtʃɪ-]ннкir(t),byrjaaði} atfísa;  faraслнó-ó-a{begynna [-Ꞌtʃɪ-]ннкir(t), byrjaaði} at froysa;  faraслнó-ó-a{begynna [-Ꞌtʃɪ-]ннкir(t), byrjaaði} at brúsa (um drykkir) (о напитках)
заши́ть	зашь|ю́, ~ёшь, ~у́тpf(ipfзашива́ть)что-л.1.(сшить) seymaaðio-tsaman2.во что-л.(упаковать во что-л.) seymaaðio-tinní o-t3.(досками) klæðair(d)o-t(við fjalum o.tíl.)
заши́ться	зашь|ю́сь, ~ёшься, ~ю́тсяpf(ipfзашива́ться)óvkm.havaнепрnógv um at vera, havaнепрnógv um oyruni; komaслнo-o-oí tíðarneyð
зашифрова́ть	pf síшифрова́ть
зашифро́вка	plurзашифро́в|ки, ~ок, ~камfloyniskriftж0-ir
зашифро́вывать	ipf síшифрова́ть
зашка́ливать	ipf (pfзашка́итьзашка́л|ю, ~ишь, ~ят) fara uppum [ʊˈpʰʊmː], fara útum [ʉuˑtʊmː] (skala, mark o.a.)
зашка́лить	pf síзашка́ливать
зашл...	1.зашл|а́, ~о́, ~и́pret avзайти́2.зашлю́o.s.fr. fut avзасла́ть3.зашли́o.s.fr. pret avзасла́ть
зашнурова́ть	pf síшнурова́ть
зашнуро́вывать	ipf síшнурова́ть
зашо́ренный	adjfl.trongskygdurсогл, sum hevur botn fyri eygunumперен.
зашпаклева́ть	pf síшпаклева́ть
зашпаклёвывать	ipf síзашпаклева́ть
зашпи́ливать	ipf síзашпи́лить
зашпи́лить	зашпи́л|ю, ~ишь, ~ятpf(ipfзашпи́ливать)что-л.heftair(t)o-t(saman) við nál, setaur(t);ir(t)o-tfast við nál
заштампова́ть	pf síштампова́ть1, 3
зашта́тный	adjgml.1.(внештатный) sum ikki er í føstum starvi, sum ikki er fast ansetturннк2.: зашта́тный го́род a)søg.býur í уезд (sí), sum ikki er høvuðsbýur; b)gml.(незначительный город) lítil og týdningarleysur býur
заштемпелева́ть	pf síштемпелева́ть
зашто́пать	pf síшто́пать
зашто́пывать	ipf síшто́пать
зашто́ривать	ipf síзашто́рить
зашто́рить	зашто́р|ю, ~ишь, ~ятpf(ipfзашто́ривать)что-л.tlm.trekkjair(t)gardinurnar [-Ꞌtiː-]fyri o-t, dragaслнó-ó-igardinurnar [-Ꞌtiː-]fyri o-t
заштрихова́ть	pf síштрихова́ть
заштукату́ривать	ipf síзаштукату́рить
заштукату́рить	заштукату́р|ю, ~ишь, ~ятpf(ipfзаштукату́ривать)что-л.pussaaðio-t(vegg o.tíl. við pussi); spekkaaðio-t(заполнить дырки,щели и др.)
зашуме́ть	зашум|лю́, ~и́шь, ~я́тpffaraслнó-ó-aat halda gang, begynna [-Ꞌtʃɪ-]ннкir(t)at halda gang, byrjaaðiat halda gang, fara at larma, begynna [-Ꞌtʃɪ-]ннкir(t)at larma, byrjaaðiat larma,síшуме́ть
зашурша́ть	зашурш|у́, ~и́шь, ~а́тpffaraслнó-ó-aat skróva, begynna [-Ꞌtʃɪ-]ннкir(t)at skróva, byrjaaðiat skróva,síшурша́ть
зашь...	зашью́o.s.fr. fut avзаши́ть
защебета́ть	защебечу́, щебе́ч|ешь, ~утpffaraслнó-ó-aat láta, begynna [-Ꞌtʃɪ-]ннкir(t)at láta, byrjaaðiat láta,síщебета́ть
защекота́ть	защекочу́, защеко́ч|ешь, ~утpf(измучить щекоткой)кого-л.pínair(d)o-nvið at kitla
защёлка	plurзащёл|ки, ~ок, ~камfklinkaжгл-a(щеколда); sláж0-ir(ригель); smekklásс0о(запирающее устройство)
защёлкать	pf(faraслнó-ó-aat, begynna [-Ꞌtʃɪ-]ннкir(t)at, byrjaaðiat) brestair(t), (faraслнó-ó-aat, begynna [-Ꞌtʃɪ-]ннкir(t)at, byrjaaðiat) smella [-tla]слнa-u-o(við fingrunum o.ø.); geraнепрtítlingabrest,síщёлкать
защёлкивать	ipf síзащёлкнуть
защёлкиваться	ipf síзащёлкнуться
защёлкнуть	защёлкн|у, ~ешь, ~утpf(ipfзащёлкивать)что-л.smekkaaðio-taftur [aʰtː-]
защёлкнуться	защёлкн|усь, ~ешься, ~утсяpf(ipfзащёлкиваться) smekkaaðiaftur [aʰtː-], klamsaaðiaftur [aʰtː-], smella [-tla]слнa-u-oaftur [aʰtː-]
защеми́ть	защемлю́, защем|и́шь, ~я́тpf(ipfзащемля́ть)что-л.kleimair(d)o-t; он защеми́л па́лец hann kleimdi fingurin; защеми́ть но́гу две́рью {в дверя́х} kleima fótin millum [-tl-] hurðina og durastavin@у меня́ защеми́ло се́рдце {в груди́}óptað skar meg í hjartað [j-], tað neit meg at hjartanum [j-]
защемля́ть	ipf síзащеми́ть
защёчный	adj: защёчный мешо́к kjálkaposi
защипну́ть	защипн|у́, ~ёшь, ~у́тpf(ipf защи́пывать)что-л. klípair(t)o-t; roytair(t)o-t(о волоске и т.п.)
защи́пывать	ipf síзащипну́ть
защи́та	f1.(действие) verjaсгл-a, forsvar [fɔʂ-], [-Ꞌsvεaɹ]ннкс0о; для защи́тыот Gentil at verja segmóti Дат, til verjumóti Дат; в защи́ту tilпосс.forsvarннк, til verju fyriВин, til forsvarннкfyriВин; речь в защи́туGenverjurøðafyri Вин; под защи́тойGenvardurav Дат, undirпосс.verju, undir verjuav Дат; защи́та от ржа́вчины rustverja; вое́нная защи́та (hernaðar)verja; лу́чший спо́соб защи́ты - наступле́ние tann besta verjan er álop; защи́та да́нных verja av data [taː-]; защи́та живо́тных djóravernd; социа́льная защи́та sosial [soːsiˈaːl] trygdж0-ir2.(что-л. защищающее) verjaсгл-a, forsvar [fɔʂ-], [-Ꞌsvεaɹ]ннкс0о;verndж0-ir, vørnж0-irкн.; skjólс0о(укрытие); lívdж0-ir(затишье); krokс0о(б.ч. от погоды); skýliсгл-i(тж сооружение); найти́ защи́ту от дождя́ finna lívd fyri regninum, finna eitt stað at kroka fyri regninum3.jur.(в судебном процессе) verjaсгл-a4.ítr.(в футболе и др.) verjaсгл-a; игра́ть в защи́те spæla í verjuni5.: защи́та до́кторской диссерта́ции verja av doktararitgerð@взятького-л.под защи́туtakaслнó-ó-io-nundir sína veingir, verjaur(d){e/a}o-n;находи́ться подчьей-л.защи́тойvera undirпосс.verju;иска́ть защи́тыу Genleitaaðisær skjólhjá[tʃʰ-]Дат;(в)стать на защи́туGenverjair(d){e/a}{+}Вин, forsvara [-Ꞌsvεa-]ннкaðiВин, brótaслнey-u-onasar fyriВинидиом.=>движе́ние3,за́письA 4,свиде́тель
защити́тельный	adj: защити́тельная речь verjurøða
защити́ть	защищу́, защит|и́шь, ~я́тpf(ipfзащища́ть)1.Acc(оградить) verjair(d){e/a}{+}Вин, forsvara [-Ꞌsvεa-]ннкaðiВин; защити́ть го́род от врага́ verja býin móti fíggindanum; защити́ть свою́ то́чку зре́ния verja sjónarmiðið hjá sær2.Acc от чего-л.(предохранить) lívair(d)fyri Дат; verjair(d){e/e}{+}Винmótio-m(охранять); защити́тьAccот моро́за verjaВинmóti frosti, verjaВинfyri frosti; защити́ть себя́ от дождя́ krokaaðifyri regninum; э́то ме́сто защищено́ от ве́тра her lívir fyri vindinum; на ме́сте, защищённом горо́й (от ве́тра) á einum stað, har fjallið [-tlɪ] lívir fyri vindi3.что-л.(диссертацию и т.п.) verjair(d){e/e}{+}(ritgerð o.tíl.)
защити́ться	защищу́сь, защит|и́шься, ~я́тсяpf(ipfзащища́ться)1.(от Gen) (от нападения) verjair(d){e/a}{+}seg (móti Дат), forsvara [-Ꞌsvεa-]ннкaðiseg (móti Дат)2.(от Gen) (предохранить себя) verjair(d){e/a}{+}seg (móti Дат)3.tlm.(в вузе) verjair(d){e/a}{+}ritgerð
защи́тник	m1.(тот,кто защищает) verjiмгл-i2.jur.(в судебном процессе) verjiмгл-i3.ítr.(в футболе) verjuleikariмгл-ari; bakkurмсогл-ar, bakverjiнпмгл-i@ День защи́тника оте́честваFøðilandsverjadagurin [lan̊s-] (23. februar)
защи́тница	fverjiмгл-i(konufólk),síзащи́тник1
защи́тный	adj1.(служащий для защиты) verju-, trygdar-; защи́тный костю́м verjudrakt, verjuklæðir, verndarbúniмгл-i; защи́тные очки́ verjubrillur; sveisibrillur (для сварки); защи́тный по́яс lívdargarðurмсогл-ar{a/ø}, lívdargróðurм0осн-s,-ar; -ar,-ar2.: защи́тный цвет kaki [kʰaːki]; защи́тного цве́та kakifarvaður [kʰaːki-]ннк, kakilittur [kʰaːki-], kaki- [kʰaːki-] =>окра́ска2,экра́н4
защища́ть	ipf1.síзащити́ть2.jur.(на судебном процессе): защища́тького-л.verjair(d){e/a}{+}o-n=>грудь@
защища́ться	ipf síзащити́ться
защищённость	f: социа́льная защищённость sosial [soːsiꞋaːl] trygdж0-ir
зая́ва	f jarg. síзаявле́ние
заяви́тель	malm.fráboðariмгл-ari
заяви́ть	заявлю́, зая́в|ишь, ~ятpf(ipfзаявля́ть)1.что-л.,о чём-л.,+ inf(объявить) lýsair(t)o-tофиц.; boðaaðifrá o-m, sigaнепрo-t, sigaнепрfrá o-m(сообщить); kunngeraнепрo-t(обнародовать,объявить); заяви́ть о своём ухо́де с рабо́ты siga Ꞌ upp; заяви́ть о свое́й боле́зни sjúkramelda [ʃʉuka-]aðiseg, meldaaðiseg sjúkan; заяви́ть о своём жела́нии+ infsetaur(t);ir(t)fram ynski um at+ инф.; заяви́ть свои́ права́ {о свои́х права́х}на Accgeraнепрsín rætt tilВинgaldandi; заяви́ть о свое́й подде́ржкеGenlýsa sín stuðul tilВин(til Род с личн. мест.,иначекн.,уст.); заяви́ть о своём согла́сиис кем-л.siga seg vera samdanvið o-n, takaслнó-ó-iundirvið o-m; он заяви́л, что не прие́дет hann boðaði frá, at hann ikki kom; заяви́ть о кра́же в поли́цию meldaaðistuldur til politiið [-Ꞌtʰiː-], boða løgregluni frá stuldri2.что-л.(к участию о соревнованиях) meldaaðio-ttil (luttøku í kapping)3.что-л.gml.(представить) leggjaнепрo-tfram4.: заяви́ть себя́кем-л.bókl.roynastir(d)(vísa seg at vera) =>проте́ст@
заяви́ться	заявлю́сь, зая́в|ишься, ~ятсяpf(ipfзаявля́ться)tlm.komaслнo-o-o(serl. óvæntað), vísair(t)seg (serl. óvæntað)
зая́вка	plurзая́в|ки, ~ок, ~камfáheitanж0-ir, kravс0о{a/ø}(требование); ordriннкпроф.мглi, bíleggingнпж0-ar(заказ),sí eis.заявле́ние2; зая́вка на проду́кты proviantordri [-Ꞌan̊t-]мор.; пода́ть зая́вкуна что-л.um o-tlata eina umsókn innum o-t; sendair(d)eina umsókn innum o-t(послать); конце́рт по зая́вкам (радиослу́шателй) kvøðuljómarмсогл-arмн; зая́вка на изобрете́ние fráboðanж0-irum eitt uppfinnilsi; зая́вка на пра́во уча́стия (в соревнова́ниях) tilmeldingж0-ar(til kapping); зая́вка на подря́д {зая́вка подря́дчика (на торга́х} tilboð [tʰɪlpoː]с0о{0<>i}um at gera arbeiði
заявле́ние	n1.(вызказывание) yvirlýsingж0-ar(официальна декларация); kunngerðж0-ir(объявление), fráboðanж0-ir(сообщение); сде́лать заявле́ние для печа́ти geraнепрeina fráboðan til bløðini, komaслнo-o-ovið einari fráboðan til bløðini2.(о чём-л.) (официальная просьба) umsóknж0-ir(um o-t); пода́ть заявле́ниео чём-л.søkjair(t)um o-t, lataслнæ-ó-aeina umsókn innum o-t, sendair(d)eina umsókn innum o-t; заявле́ние о приёме на рабо́ту umsókn um arbeiði; пода́ть заявле́ние о приёме в уче́бное заведе́ние søkjair(t)um upptøku á lærustovni, søkjair(t)um at verða upptikin á lærustovni; пода́ть заявле́ние в учрежде́ние sendair(d)ein umsókn til ein stovn; он написа́л заявле́ние о том, что́бы его́ перевели́ на другу́ю рабо́ту hann søkti um at verða flyttur í annað starv3.(в милицию и т.п.) meldingж0-ar(til politi o.tíl.); пода́ть заявле́ние melda (til politi o.tíl.) =>срок2
заявля́ть	ipf síзаяви́ть
заявля́ться	ipf síзаяви́ться
зая́длый	adjtlm.forherðaður [-Ꞌheː-]глaður, herviligurглigur, litinskapiligurглigur(страстный); зая́длый кури́льщик stórroykjari, keturoykjari
за́яц	Gen, Accза́йц|а;plur~ы, ~ев, ~амm1.(Lepus) hara [haː-] (реже[hεa-])жгл-a2.tlm.(безбилетник) blindur passagerur [-Ꞌseː-]ннкмсогл-ar; е́хать за́йцем koyra við ongari billet [-Ꞌlεʰtː]ннк@морско́й за́яц(Erignatus barbatus) granarkópurмсогл-ar;(одни́м уда́ром {одни́м вы́стрелом}) двух за́йцев уби́тьfáaслнe-i-itvær flugur við einum smekki;за двумя́ за́йцами пого́нишься, ни одного́ не пойма́ешь≈ skeri eg teg her, so missi eg teg harпог.
за́ячий	adj1.(кза́яц 1) haru- [haː-]; за́ячий мех haruskinn2.(трусливый) sum er banginсоглоснav sær@за́ячья губа́haruskarð [haː-]ннкс0о{a/ø}, skarðс0о{a/ø}upp í vørr;за́ячья капу́ста(Sempervivum)slekt av plantum í hjálpirótaættini(en.houseleek; da.husløg); (Sedum)slekt av plantum í hjálpirótaættini(en.stonecrop; da.stenurt);за́ячьи ла́пки(Trifolium arvense)slag av smæru
зва́ние	n1.(титул) tittulм0осн; navnbótж0-ur{ó/ø}кн.; почётное зва́ние heiðurstittul; у него́ учёное зва́ние профе́ссора hann hevur professaraheiti [-Ꞌfε-], hann hevur professarаnavnbót [-Ꞌfε-]кн.; получи́ть зва́ние инжене́ра fáa heiti sum verkfrøðingur; зва́ние чемпио́на ми́ра heimsmeistaraheiti; зва́ние го́рода-геро́я tittul sum hetjubýur2.herm.(в армии и др.) tignж0-irкн.,grad [-aːt]ннкж0-ir; у него́ зва́ние майо́ра hann hevur majorstign [-Ꞌjoːʂ-]кн., hann hevur majorsgrad [-Ꞌjoːʂkɹaːt]ннк; получи́ть повыше́ние в зва́нии hækkaaðií tignкн; пони́зитького-л.в зва́нии lækkaaðio-ní tignкн., degradera [-Ꞌteː-]ннкo-n; я ста́рше его́ по зва́нию eg eri hægri enn hann (í tign), eg standi oman fyri hann (í tign), eg eri yvir honum (í tign)3.gml.(сословная принадлежность) (samfelags)stættж0-ir, (samfelags)stætturмсогл-ir; крестья́нского зва́ния av bóndastættini; соотве́тственно зва́нию samsvarandi stættini, sum hóskar til stættina@одно́ то́лько зва́ниеtlm.sum skal eitast at..., bert eitt eiti;одно́ зва́ние оста́лосьtlm.ikki eitt vet var eftir [εʰtː-], ikki smittin var eftir [εʰtː-] =>духо́вный2
зва́ный	adj1.(получивший проглашение) (inn)boðinсоглоснð/d; зва́ный гость boðin gestur2.: зва́ный обе́д døgurðaveitsla [-vai̯sla], veitsludøgurði [vai̯sl-]; зва́ный ве́чер nátturðaveitsla [-vai̯sla], veitslunátturði [vai̯sl-]
зва́тельный	adj: зва́тельный паде́ж vokativс0{дат.0}спец.
