о.	Iо́бластьIIо́стров
отскреба́ть	ipf síотскрести́
отскрести́	отскреб|у́, ~ёшь, ~у́т; pretоткрёб, откребл|а́, ~о́, ~и́pf(ipfотскреба́ть)что-л.skravaaðio-t av
отсла́ивать	ipf síотслои́ть
отсла́иваться	ipf síотслои́ться
отследи́ть	pf síотсле́живать
отсле́живаемость	fhand.sporføriсгл-i
отсле́живать	ipf(pfотследи́тьотслежу́, отслед|и́шь, ~я́т)что-л.fylgjair(d){+}o-m, eygleiðair(d)o-t, haldaслнe-i-ieygavið o-m;hand. sporao-tторг.(происхождение,пути экспорта и т.д.); отсле́живать происхожде́ние продава́емой древеси́ны spora upprunan av tí selda viðinum
отслое́ние	n1.(действие) flusnanж0-ir; отслое́ние сетча́тки nethinnulosnanлпж0-irмед.2.(слой) lagс0о{a/ø}{0<>i}; lindж0-ir(sum er flusnað av)
отслои́ть	отсло|ю́, ~и́шь, ~я́тpf(ipfотсла́ивать)что-л.takaслнó-ó-io-tav í løgum
отслои́ться	отсло|и́тся, ~я́тсяpf(ipfотсла́иваться) faraслнó-ó-aꞋ av í løgum, flusnaaðiꞋ av í løgum, losnaaðií løgum
отслу́живать	ipf síотслужи́ть3, 4
отслужи́ть	отслужу́, отслу́ж|ишь, ~атpf1.herm.(отбыть срок военной службы) geraнепрhertænastu, veraслнa-ó-eí herinum2.что-л.(прослужить) arbeiðair(d)(ávísa tíð), veraслнa-ó-eí starvi (ávísa tíð); он отслужи́л там три го́да hann hevur arbeitt har í trý ár3.ipfотслу́живать (о вещах) geraнепрnyttu fyri seg, verða óbrúkiligur [-Ꞌpɹʉu-]глigur(прийти в негодность); пальто́ своё отслужи́ло frakkin hevur gjørt sítt, frakkin hevur gjørt nyttu fyri seg4.ipfотслу́живатькому-л.tlm.(отблагодарить,возместить) lønair(t)o-maftur [aʰtː-] fyrio-t, geraнепрo-meina tænastu aftur [aʰtː-] fyrio-t, geraнепрo-mein beina aftur [aʰtː-] fyrio-t5.kirk.(кончить церковную службу) endaaðieina gudstænastu
отсня́ть	отсниму́, отсни́м|ешь, ~ут;pretотсня́л, осняла́, отсня́л|о, ~иpf что-л.takaслнó-ó-io-tupp (film o.tíl.), fotografera [-Ꞌfeː-]aðio-t
отсове́товать	отсове́ту|ю, ~ешь, ~ютpf кому-л.+infráðaur(d){á/æ}o-mfrá at+ инф.
отсоедини́ть	отсоедин|ю́, ~и́шь, ~я́тpf(ipfотсоединя́ть)что-л.kopla [-pla]aðio-túr (отцепить), kopla [-pla]aðio-tfrá (отцепить;отключить); brótaслнey-u-oo-tꞋ av, sláaслнó-ó-oo-tꞋ frá (отключить)
отсоединя́ть	ipf síотсоедини́ть
отсортирова́ть	отсортиру́|ю, ~ешь, ~ютpf(ipfотсортиро́вывать) sortera [-Ꞌtʰeː-]ннкaðio-tпроф.
отсортиро́вывать	ipf síотсортирова́ть
отсоса́ть	отсос|у́, ~ёшь, ~у́тpf(ipfотса́сывать)1.что-л.,чего-л.(втянуть в себя) súgvaслнey-u-oo-tí seg; súgvaслнey-u-oo-tburtur (сосанием удалить)2.что-л.(удалить насосом) pumpaaðio-tburtur
отсо́хнуть	отсо́хн|ет, ~ут;pretотсо́х, ~ла, ~ло, ~лиpf(ipfотсыха́ть)1.(о растениях) følnaaði(og detta av)2.(о конечностях) visnaaði(um útlim)@отсо́хни (мой) язы́кóvkm.≈ tað er tann gudiliga sannheitнеформ.;что́бы язы́к отсо́ху кого-л.óvkm.≈ tað er tann svartasta lygn, hann sigurнеодобр.
отсро́чивать	ipf síотсро́чить
отсро́чить	отсро́ч|у, ~ишь, ~атpf(ipfотсро́чивать)что-л.1.(перенести на более поздний срок) flytair(t);ur(t){y/u}o-t(til seinni), útsetaur(t);ir(t)o-t(отложить); játtaaði(o-m) gjaldskáa [tʃals-]офиц., veitair(t((o-m) gjaldskáa [tʃals-]офиц.(платеж)2.(продлить действие чего-л.) leingjair(d)o-t, framleingjair(d)o-t(freist o.tíl.)
отсро́чка	plurотсро́ч|ки, ~ек, ~камf1.(перенос) flytingж0-ar(til seinni), útsetingж0-ar(откладывание); gjaldskái [tʃals-]мгл-iофиц.(платежа)2.(продление) leingingж0-ar, framleingingж0-ar(av freist o.tíl.)
отстава́ние	nseinkingж0-ar, tað at vera í afturhond [aʰtː-], tað at dragna afturúr [aʰtː-];сротста́ть (русскому отглагольному сущ. в переводе часто или предпочтительно соответствует глагольная форма)
отстава́ть	ipf síотста́ть
отста́вить	отста́влю, отста́в|ишь, ~ятpf (ipfотставля́ть)1.что-л.(отодвинуть) setaur(t);ir(t)o-tburtur frá, førkaaðio-tburtur frá; отста́вить стул от стола́ førka stólin burtur frá borðinum2.что-л.(немного отвести,выставить) setaur(t);ir(t)o-t fram (fót, hond o.tíl.); отста́вить мизи́нец peiggjaaðivið lítlafingrinum, spílaaðilítlafingurin út; отста́вьте но́гу setið fótin fram (í fimleiki o.ø.)3.кого-л.gml.(уволить) koyrair(d)o-núr starvi4.отста́вить!: a) (отмена предыдущей команды) aftur [aʰtː-] í byrjanarstøðu!; b) (прекратить) haldið uppat!; gevist!
отста́вка	ffráfaringж0-ar; вы́йти в отста́вку a) (уволиться) faraслнó-ó-aꞋ frá, faraслнó-ó-aúr starvi; b) (на пенсию) faraслнó-ó-afrá við eftirløn [εʰtː-]; пода́ть в отста́вку sigaнепрꞋ upp; biðjaслнa-ó-ium at verða loystur úr starvi; быть в отста́вке а) (быть уволенным) vera farinсоглоснfrá; b) (на пенсии) vera pensioneraður [-Ꞌneː-]глaður@отста́вка прави́тельстваfráfaringж0-arhjá [tʃʰ-] stjórnini [stjœtn-]; прави́тельство ухо́дит в отста́вку stjórnin [stjœtn-] leggur frá sær, stjórnin [stjœtn-] fer frá;дать отста́вкукому-л.spott. gevaслнa-ó-io-mfótinпренебр.=>ухо́дI
отставля́ть	ipf síотста́вить
отставни́к	Gen,Accотставник|а́;plur~и́, ~о́в, ~а́мmtlm.fráfarin yvirmaðurмнепр
отставно́й1	Iadjfráfarinсоглосн; fyrrverandiглandi(бывший); pensioneraður [-Ꞌneː-]глaður(на пенсии)
отставно́й2	IIadj(отодвигающийся в сторону) skjóti-; отставна́я две́рца lúka (ið fer til síðis)
отста́ивать1	Iipf síотстоя́тьI
отста́ивать2	IIipf síотстоя́тьII 1
отста́ивать3	IIIipf síотстоя́тьIV
отста́иваться1	Iipf síотстоя́тьсяI
отста́иваться2	IIipf síотстоя́тьсяII
отста́лость	ftað at vera lítið framkomin; tað at vera tilafturskomin [-Ꞌaʰtː-] (о странах и т.п.)
отста́лый	stfотста́л, ~а, ~о, ~ыadjlítið framkominсоглосн(о народе и т.п.); tilafturskomin [-Ꞌaʰtː-]соглосн(о стране и т.п.); lítið menturсогл, seinmenturсогл(умственно) =>у́мственно
отста́ть	отста́н|у, ~ешь, ~утpf(ipfотстава́тьотста|ю́, ~ёшь, ~ю́т)1.от Gen(остаться позади) dragnaaðiafturúr [aʰtː-]Дат, komaслнo-o-oaftur [aʰtː-]um Вин; они́ отста́ли от нас на киломе́тра teir liggja ein kilometur [kʰiː-] aftan [aʰtː-] fyri okkum2.от чего-л.tlm.(опоздать) komaслнo-o-oov [ɔ] seinttil o-t, komaслнo-o-ofor [fɔɹː]ннкseinttil o-t, verðaсллнa-ó-oov [ɔ] seinurtil o-t, verðaсллнa-ó-ofor [fɔɹː]ннкseinurtil o-t, ikki náaнепрo-t; он отста́л на по́езд hann kom for seint til tokið, hann náddi ikki tokið3.fl.(в развитии и др.) komaслнo-o-oafturum [aʰtːʊɹꞋumː], dragnaaðiafturúr [aʰtː-], verðaслнa-ó-óaftan [aʰtː-] fyri, verðaслнa-ó-óaftarlaga [aʰtː-]; учени́к отста́л næmingurin er dragnaður afturúr; он оста́л от други́х по матема́тике hann er aftan fyri hini í matematikk [maːtɪmaꞋtʰɪʰkː]; отста́ть от вре́мени vera aftan fyri sína tíð4.от Genfl.tlm.(потерять,прекратить связь) komaслнo-o-oburturfrá Дат, slítaслнei-i-ivið Вин; venjaur(d){e/a}{+}seg avvið o-t(отвыкнуть); отста́ть от ста́рых друзе́й slíta sambandið við gamlar vinir; отста́ть от дурно́й привы́чки leggjaнепрein ringan vana av5.bert 3. pers brúktur(о часах) seinkaaði, saktaaði; буди́льник отста́л на полчаса́ vekkarin saktaði ein hálvan tíma6.bert 3. pers(отделиться,отвалиться) losnaaði, skallaннкaðiпроф.Ꞌ av, flusnaaðiꞋ av (отпасть;о штукатурке,обоях и т.п.)7.от кого-л.tlm.(перестать приставать) lataслнæ-ó-ao-nvera í frið; отста́нь! lat meg vera í frið!; отста́нь от меня́! lat meg vera á frið!; lat meg vera!; far at [ɔa] fjandanum til við tærгрубо,бран.; far at [ɔa] hundinum til við tær!грубо
отстаю́щие	plurveikir næmingarмсогл-ar
отстаю́щий	adj1.(неуспевающий) sum dugir illa [ɪtla] (í skúlanum); отстаю́щий учени́к næmingur, sum dugir illa; veikur næmingurмсогл-ar, vánaligur næmingurмсогл-ar; sibbiмгл-iпренебр.2.(остающийся позади в развитии и др.) sum er aftanfyri [aʰtː-] (í virksemi,mennining o.ø.)
отстега́ть	pf кого-л.berjair(d){e/a}{+}o-n av (við píski,reim o.ø.), pískaaðio-n (кнутом,бичом и т.п.)
отстёгивать	ipf síотстегну́ть
отстёгиваться	ipf síотстегну́ться
отстегну́ть	отстегн|у́, ~ёшь, ~у́тpf(ipfотстёгивать) knappaaðio-tupp (о пуговицах); loysair(t)o-t, spennair(t)o-tupp (пряжку и т.п.); (sikkurheitsnál) opnaaðio-t(булавку); takaслнó-ó-io-tav (крючок;подстёжку и др.)
отстегну́ться	отстегн|ётся, ~у́тсяpf(ipfотстёгиваться) faraслнó-ó-aꞋ upp, losnaaði; faraслнó-ó-aꞋ úr (о крючке и т.п.)
отстира́ть	pf(ipfотсти́рывать)что-л.vaskaaðio-tav
отстира́ться	pf(ipfотсти́рываться) faraслнó-ó-aꞋ av, verða vaskaðurглaðurav
отсти́рывать	ipf síотстира́ть
отсто́й1	Im(частицы,вещества) gruggс0о(á botni), botnfall [pɔn̊fatl]с0о(тж о вине), berskakiмгл-i(в отбродившей жидкости); slammс0оспец.(в промышленности,на судах и т.п.)
отсто́й2	IImskip.(сталийное время) liggitíðж0-ir
отсто́йник	mslammtangi [-tʰaɲtʃɪ]мгл-i
отсто́йный	adj: отсто́йный бак slammtangi [-tʰaɲtʃɪ]
отстоя́ние	navstandurннкмсогл-s,-ir
отстоя́ть1	Iотсто|ю́, ~и́шь, ~я́тpf(ipfотста́ивать)Acc(защитить) verjair(d){e/a}{+}Вин, forsvara [-Ꞌsvεa-]ннкВин; haldaслнe-i-iupp á[ʊꞋpʰɔa-]o-t(взгляды и т.п.); brótaслнey-u-onasarfyri Винидиом.
отстоя́ть2	IIотсто|ю́, ~и́шь, ~я́тpf1.ipfотста́иватьчто-л.(простоять) standaслнó-ó-a, verða standandiглandi(ávíst tíðarbil); отстоя́ть на нога́х весь спекта́кль standa alla [atla] sýningini2.что-л.tlm.(утомить долгим стоянием) verða móðurглí beinunum (av at standa); все но́ги себе́ отстоя́л ≈ hann var púra útlúgvaður av at standa3.что-л.(стоять какой-л. срок) standaслнó-ó-a, verða standandiглandi(ávísa tíð;um bygningar o.tíl.); дом отстоя́л всю войну́ húsið varð standandi alt kríggið
отстоя́ть3	IIIотсто|ю́, ~и́шь, ~я́тipf от Gen(быть на расстоянии) liggjaслнá-ó-i(burtur)frá Дат(о географических понятиях и т.п.), standa (burtur)frá Дат; дере́вня отстои́т от го́рода на де́сять киломе́тров bygdin liggur tíggju kilometrar [kʰiː-] frá býnum; но́жки стола́ отстоя́т друг от дру́га на метр beinini á borðinum eru ein metur frá hvørjum øðrum [-Ꞌøːɹ-], avstandurinннкmillum [-tl-] beinini á borðinum er ein metur
отстоя́ть4	IVотсто|ю́, ~и́шь, ~я́тpf(ipfотста́ивать)что-л.(дать отстояться) lataслнæ-ó-ao-tleggjast (á botnin), lataслнæ-ó-ao-tbotnfella [pɔn̊fεtla], lataслнæ-ó-ao-tbotnseta [pɔn̊s-]геол.
отстоя́ться1	Iотсто|и́тся, ~я́тсяpf(ipfотста́иваться)1.(о жидкости) botnfellast [pɔn̊fεtl-]ir(d), søkkaслнa-u-oá botn (um grugg o.tíl.)2.fl.(о взглядах и т.п.) fáaслнe-i-i(fast) skap
отстоя́ться2	IIотсто|ю́сь, ~и́шься, ~я́тсяpf(ipfотста́иваться)tlm.søkjair(t)sær skjól; krokaaði(непогоду и т.п.); отстоя́ться в бу́хте liggjaслнá-ó-iog kroka á víkini
отстрада́ть	pf1. (перестать страдать) ikki pínastir(d)longur, havaнепрpínst nóg leingi 2. (провести какое-л. время в страданиях) vera ringur (av -om)
отстра́ивать	ipf síотстро́ить
отстра́иваться	ipf síотстро́иться
отстране́ние	n1.(действие) tað at skúgva til viks2.(увольнение) tað at verða sagdur úr starvi; (вре́менное) отстране́ние от до́лжности suspensión [-Ꞌʃɔun]ж0-ir
отстрани́ть	отстран|ю́, ~и́шь, ~я́тpf(ipfотстраня́ть)1.Acc(отодвинуть) skúgvaaðiВинtil viks, skumpaaðiВинtil viks, koyrair(d)Винtil viks2.кого-л.(уволить) koyrair(d)o-nfrá, koyrair(d)o-n(úr starvi); loysair(t)o-núr starviофиц.; (вре́менно) отстрани́тького-л.от до́лжности suspendera [-Ꞌteː-]aðio-n3.что-л.(не принять во внимание,уклониться от рассмотрения) skúgvaaðio-tfrá sær
отстрани́ться	отстран|ю́сь, ~и́шься, ~я́тсяpf(ipfотстраня́ться)1.(отодвинуться,уклониться) førkaaðiseg (undano-m), havaнепрseg undan (o-m); отстрани́ться от уда́ра hava seg undan einum slag2.от чего-л.(уклониться,отказаться от участия) beraслнa-ó-osegundan o-m, haldaслнe-i-iseg burturfrá o-m; отстрани́ться от уча́стияв чём-л.ikki vera viðí o-m, ikki luttakaслнó-ó-ií o-m
отстраня́ть	ipf síотстрани́ть
отстраня́ться	ipf síотстрани́ться
отстра́чивать	ipf síотстрочи́ть
отстре́л	m1.(котстрели́ться 1) tað at loysna, tað at verða leysur,сротстрели́ться 1 (русскому отглагольному сущ. в переводе часто или предпочтительно соответствует глагольная форма)2.(котстреля́ть 1) burturskjótingж0-ar
отстре́ливать	ipf síотстрели́ть, отстреля́ть 1
отстре́ливаться	ipf síотстрели́ться, отстреля́ться 1
отстрели́ть	отстрелю́, отстре́л|ишь, ~ятpf(ipfотстре́ливать)1.что-л.(оторвать пулей) skjótaслнey-u-oo-tꞋ av; отстрели́ть у́хо skjóta oyrað av2.что-л.fakm. (резко отделить) skjótaслнey-u-oo-tꞋ av; отстрели́ть кры́шку лю́ка skjóta lúkudekslið av
отстрели́ться	отстре́л|ится, ~ятсяpf(ipfотстре́ливаться)что-л.fakm. (резко отделить) verða skotinсоглоснꞋ av; отстрели́лась кры́шка лю́ка lúkudekslið varð skotið av
отстреля́ть	pf(ipfотстре́ливать)1.кого-л.(убить по особенному отбору) skjótaслнey-u-oburtur Ꞌ avo-m(stovni o.tíl.)2.что-л.tlm.(исрасходовать при стрельбе) brúkaar(t)o-tupp, skjótaслнey-u-oo-tburtur (við skjóting); отстреля́ть за ночь це́лый патронта́ш brúka eina heila partóntasku upp upp á eina nátt3.tlm.(окончить стрельбу) verða liðugurглugurat skjóta, steðga [stεkːa]aðivið skjótingini
отстреля́ться	pf(ipfотстре́ливаться)1.от Gen(отбиться) rekaслнa-ó-iВинaftur [aʰtː-], berjair(d){e/a}{+}Винaftur [aʰtː-] (við at skjóta)2.tlm.(окончить стрельбу) verða liðugurглugurat skjóta, steðga [stεkːa]aðivið skjótingini3.tlm.,skemt.(закончить дела) geraнепрo-tburtur av sær, fáaслнe-i-io-tfrá hondini
отстрига́ть	ipf síотстри́чь
отстри́чь	отстригу́, отстрижёшь, отстригу́т;pretотстри́г, ~ла, ~ло, ~лоpf(ipfотстрига́ть)что-л.klippaир(т)o-tav
отстро́ить	отстро́|ю, ~ишь, ~ятpf что-л.1.ipfотстра́ивать (закончить постройку) byggjair(d)o-tliðugt2.ipfотсра́ивать (вновь построить,восстановить) byggjair(d)o-tuppaftur [aʰtː-]3.tlm.(кончить строить) verða liðugurглugurat byggja
отстро́иться	отстро́|юсь, ~ишься, ~ятсяpf(ipfотстра́иваться)1.(закончить постройку) byggjair(d)o-tliðugt2.(вновь построиться, восстановиться) verða bygdurсоглuppaftur [-aʰtː-]
отстрочи́ть	отстрочу́, отстроч|и́шь, ~а́тogотстро́ч|ишь, ~атpf(ipfотстра́чивать) seymaaðio-t(við heilum seymi)
отсту́кать	pf(ipfотсту́кивать)1.что-л.tlm.(воспроизвести стуком ритм) sláaслнó-ó-itaktina, bankaaðirytmuna [rʏ-] {rútmuna}; отсту́кать такт sláa taktina2.что-л.tlm.(отпечатать на машинке,передать по телеграфу и т.п.) klapraaðiнеформ.o-t(á maskinu o.tíl.)3.что-л.(стуча,стукая,утомить) møðair(d)o-t, troyttair(t)o-t(við at banka,sláa); skaðaar(d)o-t(við at banka,sláa) (стуча,стукая,повредить,утомить); пя́тки за день так отсту́кала - не ступи́ть ≈ eg eri so móð í hælunum av at ganga og duka teir niðurí [-Ꞌʊi] allan [atl-] dagin, at eg ikki fáið stigið til4.(кончить,перестать стукать) haldaслнe-i-iuppat [-Ꞌpʰεat] at banka, gevastслнa-ó-iat banka
отстукива́ть	ipf síотсту́кать
о́тступ	minnrykkingннкж0-ar, innskjótingлпж0-arофиц.
отступа́ть	ipf síотступи́ть
отступа́ться	ipf síотступи́ться
отступи́ть	отступлю́, отсту́п|ишь, ~ятpf(ipfотступа́ть)1.(отодвинуться,отойти назад) faraслнó-ó-aaftureftir [aʰtːʊɹεʰtː-]; faraслнó-ó-aeftir [εʰtː-] hæli, gangaслнe-i-ieftir [εʰtː-] hæli; отступи́ть на шаг fara eitt fet afturá [aʰtːʊɹɔa]; отступи́ть в у́жасе hopaaðiaftur [aʰtː-] eftir hæli av hvøkkinum; мо́ре отступи́ло sjógvurin hevur tikið seg aftur [aʰtː-]; леса́ отступи́ли на се́вер skógirnar tóku seg norðureftir [-εʰtː-]2.herm.(отойти назад под напором неприятеля) haldaслнe-i-iundan, hopaaðiundan; takaслнó-ó-iseg aftur [aʰtː-]; отступи́ть с боя́ми halda undan og stríðast3.перед чем-л.(отказаться от своих намерений) víkjair(t);слнei-i-ifyri o-m, dvínair(d)undan o-m; отступи́ть пе́ред тру́дностями dvína undan trupulleikunm, víkja fyri trupulleikunum; ≈ gevastслнa-ó-iá hondum4.от чего-л.(перестать придерживаться чего-л.) víkjair(t);слнei-i-ifrá o-m, gangaслнe-i-ifrá o-m; отступи́ть от свои́х взгля́дов ganga frá sínum sjónarmiðum5.talv.(в шахматах) flytair(t);ur(t){y/u}fólk aftur [aʰtː-] (undan hóttan)6.от чего-л.(перенести внимание) faraслнó-ó-aburturfrá o-m, slankaaði, geraнепрeitt slank; отступи́ть от те́мы fara burtur frá evninum7.bert 3. pers brúktur(стать менее сильным) linkaaði, dvínair(d), minkaaði; боле́знь отступа́ет sjúkan var dvínandi; я́рость отступи́ла øðin minkaði, øðin linkaði8.от чего-л.(сделать отступ) geraнепрeina innrykking; отступи́ть немно́го от кра́я листа́ gera eina lítla innrykking frá kantinum á arkinum =>шаг@
отступи́ться	отступлю́сь, отсту́п|ишься, ~ятсяpf(ipfотступа́ться)1.от чего-л.sigaнепрo-tfrá sær (от прав и т.п.); gangaслнe-i-ifrá o-m; отступи́ться от своих притяза́ний ganga frá sínum krøvum2.от кого-л. (перестать общаться;отказаться от попыток воздействовать) haldaслнe-i-iseg burturfrá o-m; sleppair(t)o-mupp á fjall [-tl]идиом.
отступле́ние	n1.herm.(котступи́ть 2) afturtøka [aʰtː-]жгл-a2.(отказ от чего-л.) frávikс0о3.(отклонение от основной темы) slankс0о
отсту́пник	m fráfallin [-tl-]мприл(fallin frá trúgv o.ø.)
отсту́пнический	adjfráfals-
отсту́пничество	nfráfall [-tl]с0о(frá trúgv o.ø.)
отступя́	advburtufrá [-Ꞌfɹɔa], frá; немно́го отступя́ nakað burturfrá@отступя́от Genstuttfrá Дат
отстуча́ть	отстуч|у́, ~и́шь, ~а́тpftlm.síотсту́кать
отсуди́ть	отсужу́, отсу́д|ишь, ~ятpf(ipfотсужа́ть)что-л.tlm.fáaслнe-i-io-tvið dómi
отсу́живать	ipf síотсуди́ть
отсу́тствие	n1.(положение,когда нет в наличии кого-л.,чего-л.) fráveraжгл-a; в моё отсу́тствие {во вре́мя моего́ отсу́тствия} meðan eg var burtur; находи́ться в отсу́тствии vera burtustaddurсогл{a/ø}2.(нехватка) tørvurмсогл-s,-irá Дат, mangul [maŋk-]ннкм0оснupp á Вин; за отсу́тствиемGenvegna vantandiИм, vegna tvørrandiИм, av tí at einginИмer, við tað at einginИмer, vegna tess at einginИмer; за отсу́тствием вре́мени orsakað av tíðarneyð; из-за отсу́тствия догово́ра vegna tess, at eingin sáttmáli er; отсу́тствие вку́са smakloysi [smaː-]ннксгл-i; отсу́тствие свобо́ды ófrælsiсгл-i, tvørrandi frælsiсгл-i@(по́лное) отсу́тствие вся́кого прису́тствияóvkm.,skemt.tað at sita burtur í øðrum heimi =>блиста́ть@,доказа́тельство1,уважи́тельный1
отсу́тствовать	отсу́тству|ю, ~ешь, ~ютipf1.(не быть в данном месте) ikki veraслнa-ó-etil staðar, vera burturstaddurсогл{a/ø}, vera fráverandiглandi; она́ отсу́тствовала на собра́нии hon var burturstødd á fundinum, hon var ikki møtt á fundinum; кто отсу́тствует? hvør manglar [maŋk-]ннк?; hvør er burtur(staddur)? (в школе и др.)2.(не иметься) vantaaði, mangla [maŋk-]ннкaði, trótaслнey-u-o, tvørraaðiкн.; у него́ отсу́тствует чу́вство ю́моратжhann er sørur fyri humor; у него́ отсу́тствует аппети́т hann hevur ongan matarlyst
отсу́тствующий	Ipartic avотсу́тствоватьIImburturstaddurсогл{a/ø}мприлIIIadj(о взгляде, выражении лица и т.п.) fjarurсогл; sum burtur í øðrum heimi
отсчёт	mteljingж0-ar; обра́тный отсчёт вре́мени niðurteljing; то́чка отсчёта tilvísingarpunkt, referansupunkt [-Ꞌra-]ннкпроф.
отсчита́ть	[-щи-]pf(ipfотсчи́тывать) teljaur(d){e/a}o-t(up); málaar(d)(av)
отсчи́тывать	[-щи-]ipf síотсчита́ть
отсыла́ть	ipf síотосла́ть
отсы́лка	plurотсы́л|ки, ~ок, ~камf1.(действие) sendingж0-ar(avstað [aꞋstεa]), tað at senda (avstað [aꞋstεa])2.(в тексте) tilvísingж0-ar, ávísingж0-ar
отсыпа́ть	ipf síотсы́пать
отсы́пать	отсы́пл|ю, ~ешь, ~ютogtlm.отсы́п|ешь, ~ят;imperотсы́пь, отсы́пьтеpf(ipfотсыпа́ть)1.что-л.,чего-л.(отделить,насыпав,высыпав) stoytair(t)o-t(burturav [-Ꞌεav]); stroyair(d)(насыпать); málaar(d)burturav (отмерить); отсы́пать стака́н муки́ stoyta eitt glas av mjøli frá; отсы́пать муки́ на хлеб stroya nakað av mjøli á breyðið2.что-л.,чего-л.(ссыпая,уменьшить на какое-л. количество) stoytair(t)o-tav, stoytair(t)o-túr; отсы́пь немно́го из мешка́, а то тяжело́ нести́ stoyt eitt sindur úr posanum, annars verður for tungt at bera3.tlm.(дать,расщедрившись) pungaaðiꞋ útнеформ., faraслнó-ó-aí spanderibuksurnar [-Ꞌteː-]идиом.,неформ.,шутл.
отсыпа́ться	ipf síотоспа́ться
отсырева́ние	nfuktingннкж0-ar, tað at blíva vátur
отсырева́ть	ipf síотсыре́ть
отсыре́лый	stfотсыре́л, ~а, ~о, ~ыadjránaðuraður, slavnaðuraður
отсыре́ть	pf síотсырева́ть, сыре́ть (sí)
отсыха́ть	ipf síотсо́хнуть
отсю́да	adv1.(из,от этого места) hiðani, her frá; вон отсю́да! slepp tær burtur (hiðani)!2.(в результате этого,на этом основании) av hesum; отсю́да сле́дует av hesum skilst, av hesum framgongur; отсю́да его́ страх tí var hann so bangin
отсяд...	отся́дуo.s.fr. fut avотсе́сть
Отта́ва	fOttawa [ɔʰtːava]м нескл.
отта́ивание	ntiðningж0-ar; upptiðningж0-ar(из замороженного состояния); avísingж0-ar(холодильника и т.п.)
отта́ивать	ipf síотта́ять
отта́лкивание	nskump с0o; tað skjóta frá, tað at skúgva frá
отта́лкивать	ipf síоттолкну́ть
отта́лкиваться	ipf síоттолкну́ться
отта́лкивающий	Ipartic avотта́лкиватьIIadjandstyggiligur [anꞋstɪ-]глigur
отта́птывать	ipf síоттопта́ть
оттаска́ть	pf(ipfотта́скивать)tlm.: оттаска́тького-л.за во́лосы roytair(t)o-n; оттаска́тького-л.за у́ши toga [tʰuːwa] í oyruniá o-m
отта́скивать	ipf síоттаска́ть, оттащи́ть
отта́чивать	ipf síотточи́ть
оттащи́ть	оттащу́, отта́щ|ишь, ~атpf(ipfотта́скивать)Acctoga [tʰuːwa]aðiВинburtur; dragsa [tɹasːa]aðiВинburtur (с трудом)
отта́ять	отта́|ю, ~ешь, ~етipf(ipfотта́ивать)1.bert 3. pers brúktur(освободиться от льда,снега;разморозиться) tiðnaaði2.что-л.(разморозить) tiðnaaðio-tupp, upptiðnaaðio-t; avísaaðio-t, avrímaaðio-t(освободить от снежной шубы)3.fl.(смягчиться) tiðnaaði; blotnaaði
оттека́ть	ipf síотте́чь
оттени́ть	оттенн|ю́, ~и́шь, ~я́тpf(ipfоттеня́ть)1.что-л.list(выделить) leggjaнепрskuggaá o-t2.что-л.(сделать более ярким) dragaслнó-ó-io-tfram, takaслнó-ó-io-tfram3.что-л.fl.(выделить,подчеркнуть) leggjaнепрꞋ dentá o-t, undirstrikao-tперен., takaслнó-ó-io-tframum [-Ꞌʊmː]
отте́нок	Genотте́нк|а;plur~и, ~ов, ~амm1.(разновидность одного цвета) nuansa {nuanca} [nʏꞋan̊sa]ннкжгл-a, litbrigdiсгл-iкн.2.(цвет,тон) dámurмсогл-ar, tóniмгл-iперен., nuansa {nuanca} [nʏꞋan̊sa]ннкжгл-a3.(тонкое различие,неявный переход) frábrigdiсгл-i, nuansa {nuanca} [nʏꞋan̊sa]ннкжгл-a4.(дополнительное свойство,небольшой налёт) farriмгл-i, ferilм0осн; отте́нок иро́нии в го́лосе ein farri av ironi [iːɹoꞋniː]ннкí málinum
оттеня́ть	ipf síоттени́ть
о́ттепель	f1.(погода) toybilс0о, toyggjurмсогл-ar{+}2.fl.,søg.(смягчение режима) linniмгл-i(í politiskum viðurskiftum); пери́од о́ттепели {о́ттепель} toybiliðмсогл-ar{+}опр.(serl. um Sovjettsamveldið tíðarskeiðið uml. 1953-1964)
оттере́ть	ототр|у́, ~ёшь, ~у́т;pretоттёр, ~ла, ~ло, ~ли;imperототри́, ототри́теpf(ipfоттира́ть)1.что-л.(стирая,удалить) turkaaðio-tav, gníggjaaðio-tav2.Acc(возвратить чувствительность) gníggjaaðиo-m(живое дополнение), gníggjaaðo-t(неживое дополнение); оттере́ть сне́гом gníggja við kava3.Acc(оттеснить) trokaaðiburtur, trokaaðiaftur [aʰtː-]
оттере́ться	ототр|у́сь, ~ёшься, ~у́тся;pretоттёрся, ~лась, ~лось, ~лись;imperототри́сь, ототри́тесьpf(ipfоттира́ться) faraслнó-ó-aꞋ av (um plettar o.tíl.)
о́ттер-трал	mlemmatrolс0о
оттесни́ть	оттесн|ю́, ~и́шь, ~я́тpf(ipfоттесня́ть)Acc1.(тесняя,заставить уйти) trokaaðiВинaftur [aʰtː-], trokaaðiВинburtur, otaaðiВинaftur [aʰtː-], otaaðiВинburtur2.fl.(вытеснить, заменить собой) trokaaðiВинꞋ av (соперника и т.п.), trokaaðiВинburtur
оттесня́ть	ipf síоттесни́ть
