п.1	I паде́ж
прому́чить	прому́ч|у, ~ишь, ~атpf Accpínair(d)Вин, plága [pʰlɔava]aðiВин(ávísa tíð)
прому́читься	прому́ч|усь, ~ишься, ~атсяpfverða píndurсогл, verða plágaður [pʰlɔava-]глaður(ávísa tíð)
промча́ться	промч|у́сь, ~и́шься, ~а́тсяpf1.(проехать,мчась) strúkaслнey-u-oavstað [aꞋstεa], faraслнó-ó-astrúkandi; tuskaaði, faraслнó-ó-atuskandi (б.ч. о людях и животных); faraслнó-ó-avið skundi2.(о времени) flúgvaслнey-u-oavstað [aꞋstεa] (um tíð)
промыва́ние	n1.(кпромы́ть 1) skolingж0-ar; промыва́ние желу́дка útskoling av maganum; útpumpingж0-arav maganum; промыва́ние труб spulingж0-arav rørum2.(руды) vaskс0о(av málmi o.tíl),српромы́ть 33.(кпромы́ть 2) tað at máa gjøgnum@промыва́ние мозго́вtlm.heilavaskс0о, heilatvátturнпмсогл-ir
промыва́ть	ipf síпромы́ть
промы́вка	plurпромы́в|ки, ~ок, ~камf1.(кпромы́ть 1) skolingж0-ar2.(руды) vaskс0о(av málmi o.ø.)
про́мысел1	IGenпро́мысл|а;plur~ы, ~ов, ~амogtlm.промысл|а́, ~о́в, ~а́мm1.(добывание,добыча) vinnaжгл-a; vinnuvegurмсогл-ir{0<>i}(занятие)часто переводится словами, определяющими род добычи и т.п.; veiðaжгл-a(тж охота); про́мысел же́мчуга kavingж0-areftir [εʰtː-] perlum, perlufiskaríс0о{0<>i}; про́мысел карма́нника lummatjóvaríс0о{0<>i}(sum yrki,arbeiði); про́мысел тюле́ня kópaveiðaжгл-a; охо́тничний про́мысел veiða, jaktннкж0-ir; рыболо́вный про́мысел fiskarí [-Ꞌrʊi]с0о{0<>i}, fiskiskapurмсогл-ir; fiskivinnaжгл-a; берегово́й про́мысел fiskiskapur av landi (við ongum báti); прибре́жный про́мысел útróðurм0осн-ar,-ar; морско́й {океани́ческий} про́мысел havfiskiskapur [hau-]мсогл-ir; быть на про́мыслетжvera til fiskiskap, vera til fiskarí [-Ꞌrʊi]; вести́ про́мыселтжfiskaaði2.(ремесленное производство) hondverksarbeiði [hɔnv-]сгл-i(oftast framíhjávinna); heimaídnaðurмсогл-ir; гонча́рный про́мысел pottamakarayrkiсгл-i; кузне́чный про́мысел smíðс0о{0<>i}; куста́рный про́мысел heimavirkiсгл-i3.oftast plur(промышленное предприятие) virkiсгл-i; minurннкжгл-aмнпроф., námнпс0омн(рудники); го́рные про́мыслы minur, nám; нефтяны́е про́мыслы oljufeltс0о, oljuøkiсгл-i; ры́бные про́мыслы fiskarí [-Ꞌrʊi]с0о{0<>i}, fiskiskаpurмсогл-ir, fiskivinnaжгл-a=>зверобо́йный,китобо́йный,отхо́жий,пушно́й1,райо́н1,ры́бный1
про́мысел2	IIGenпро́мысл|а;plur~ы, ~ов, ~амmhátíð.síпро́мысл
про́мысл	mhátíð.forsjónж0-ir
промы́слить	промы́сл|ю, ~ишь, ~ятpf что-л., чего-л.gml., óvkm.vinnaслнa-u-usæro-t; промы́слить на пропита́ние vinna sær til lívsins uppihald
промыслови́к	Gen, Accпромысловик|а́;plur~и́, ~о́в, ~а́мm1.(охотник) veiðimaðurмнепр; fiskimaðurмнепр(рыбак)2.(человек,работающий на промыслах) minuarbeiðariмгл-ari, námsarbeiðariмгл-ari
промысло́вый	adjfiski-, veiði-: промысло́вый зверь pelsdjórннкпроф., loðdjór; промысло́вая коопера́ция framleiðslusamvinnufelag; промысло́вая ры́ба gagnfiskur; промысло́вое су́дно a) (рыболовное судно) fiskiskip; b) (китобойное судно) hvalastingariмгл-ari, hvalabátur; c) (предназначенное для добычы тюленей судно) kópaveiðiskip, kópafangariмгл-ari; промысло́вый день fiskidagur =>журна́л2,нагру́зка5
промы́ть	промо́|ю, ~ешь, ~ютpf(ipfпромыва́ть)что-л.1.(очистить, моя) vaskaaðio-t; skolaaðio-t(выполоскать); skolaaðio-tút (желудок и т.п.); промы́ть ра́ну skola sárið; промы́ть желу́док skola magan út, geraнепрeina magaútskoling; промы́ть подши́пники бензи́ном vaska leigini við bensini [-Ꞌsiː-]2.bert 3. pers brúktur(прорвать) gravaaði{+};слнó-ó-iseg gjøgnumo-t, máaaðigjøgnumo-t; вода́ промы́ла запру́ду vatnið hevur máað hol í byrgingina; промы́ть углубле́ние máa eina lægd, mataaðieina lægd (niður í o-t)3.(отчистить от примеси) vaskaaðio-t(málm o.tíl.); промы́ть зо́лото vaska gull [kʊtl]4.(провести какое-л. время за мытьём) vaskaaðio-t(ávísa tíð)@промы́ть мозги́кому-л.tlm.heilavaskaaðio-n
промыча́ть	pf síмыча́ть
промы́шленник	m1.(владелец) fabrikseigari [-Ꞌpɹɪ-]ннкмгл-ari, verksmiðjueigariнпмгл-ari; ídnaðarmaðurмнепр2.gml.(охотник) veiðimaðurмнепр; fiskimaðurмнепр(рыбак)
промы́шленность	fídnaðurмсогл-ir{0<>i}, industri [-Ꞌstɹiː]ннкж0-ir; лёгкая промы́шленность lættur ídnaður; тяжёлая промы́шленность tungídnaður =>добыва́ющийII,кру́пный3,обраба́тывающий@,ры́бный1,рыбомучно́й
промы́шленный	adjídnaðar-, industri- [-Ꞌstɹiːj-]ннк; промы́шленный го́род ídnaðarbýur =>шпиона́ж
промышля́ть	ipf1.pfпромы́слитьAcc(зарабатывать средства к сущетвованию) vinnaслнa-u-uВинtil uppihaldið2.чем-л., Acc(заниматься каким-л. промыслом) arbeiðair(d)við o-m, veraслнa-ó-eío-rivinnu; fáastслнe-i-iviðo-t; промышля́ть охо́той veiðair(d); промышля́ть рыболо́вством fiskaaði, fáast við fiskiskap; промышля́ть зве́ря veiðair(d)djór3.tlm.(заниматься какой-л. предосудительной деятельностью) arbeiðair(d)(um o-t lastvert yrki); stjala [stjεa-] (реже[ʃεa-]) (воровать)
промя́млить	pf síмя́млить
прона́шивать	ipf síпроноси́тьII 3
прона́шиваться	ipf síпроноси́тьсяII 2
пронести́	пронес|у́, ~ёшь, ~у́т;pretпронёс, пронесл|а́, ~о́, ~и́pf(ipfпроноси́тьпроношу́, проно́с|ишь, ~ят)1.Acc(пройти с ношей) beraслнa-ó-oВин(ávísan tein,ávísa tíð); пронести́ чемода́н до до́ма bera kuffertið til hús2.Acc(через что-л.;мимо чего-л.) beraслнa-ó-oВин gjøgnum o-t; beraслнa-ó-oВин fram við o-m; пронести́ знамёна ми́мо трибу́ны bera fløggini fram við pallinum [-tl-]; пронести́ шкаф че́рез дверь bera eitt skáp inn gjøgnum dyrnar [tɪtn-]3.что-л.(сохранить) varðveitair(t)o-t; пронести́что-л.че́рез всю жизнь varðveitao-talt lívið4.Acc(быстро провезти) koyrair(d)Винí fúkandi ferð5.что-л.(унести прочь) faraслнó-ó-aavstað [aꞋstεa]við o-m, rekaслнa-ó-io-tburtur; ве́тер пронёс ту́чу vindurin rak skýggið burtur; шторм пронесло́ópódnarveðrið [-vεkɹɪ] fór framvið6.óp что-л.tlm.(миновать) veraслнa-ó-eꞋ av; беду́ пронесло́ vandin er av; пронесло́! vandin er av!7.óp кого-л.tlm.(прослабить): его́ пронесло́ hann fekk ilt í búkin, hann fekk leyst lívэвф.тжмед.@пронести́ ми́мо но́са {ми́мо рта}что-л.tlm.,skemt.≈ vera so nipinсоглосн
пронести́сь	пронес|у́сь, ~ёшься, ~у́тся;pretпронёсся, пронесл|а́сь, ~о́сь, ~и́сьpf(ipfпроноси́тьсяпроношу́сь, проно́с|ишься, ~ятся)1.(промчаться мимо) strúkaслнey-u-oavstað [aꞋstεa], faraслнó-ó-astrúkandi; faraслнó-ó-atuskandi (бегом); faraслнó-ó-avið skundi2.bert 3. pers brúktur(о времени) flúgvaслнey-u-oavstað [aꞋstεa] (um tíð)3.bert 3. pers brúktur(распространиться) breiðair(d)seg; по го́роду пронёсся слух ≈ tíðindini fóru sum rótasúpan um býinидиом.4.(о мыслях и др.) stingaслнa-u-useg upp, rennaслна-у-уfram fyrio-n; у него́ в голове́ пронесла́сь мысль ein tanki [tʰaɲ̊tʃɪ] rann fram fyri hann
пронза́ть	ipf síпронзи́ть
пронзи́тельный	stfпронзи́телен, пронзи́тельн|а, ~о, ~ыadj1.(о звуке) snjallur [-tl-]согл{a/ø}, hvøllur [-tl-]согл2.(о взгляде) hvassurсогл{a/ø}, sum gatar ígjøgnum (um eygnabragd), bínandiглandi3.(о ветре,холоде) hvassurсогл{a/ø}(um vind); gellandi [-tl-]глandi(о морозе)
пронзи́ть	пронжу́, пронз|и́шь, ~я́тpf(ipfпронза́ть)bókl.1.Acc(проколоть) stingaнепрВин, rennair(d)o-tígjøgnum [-Ꞌtʃœ-]Вин; пронзи́тького-л.копьём renna eitt spjót gjøgnumo-n2.(сильно подействовать): его́ пронзи́ла мысль ein tanki [tʰaɲ̊tʃɪ] fleyg ígjøgnum [-Ꞌtʃœ-] hann; его́ пронзи́л страх ræðsla kom á hann@пронзи́тького-л.взгля́домbínair(d)o-nígjøgnum [-Ꞌtʃœ-]
прониза́ть	пронижу́, прони́ж|ешь, ~утpf(ipfпрони́зывать)Accfaraслнó-ó-aígjøgnum [-Ꞌtʃœ-]Вин; хо́лодом прониза́ло всё те́ло kuldin neit at beini; луч проже́ктора прониза́л темноту́ strálan frá ljóskastaranum skar seg gjøgnum myrkrið, strálan frá ljóskastaranum boraði seg gjøgnum myrkrið; страх прониза́лкого-л.ræðsla kom áo-n; э́та мысль прони́зывает всю кни́гу henda hugsanin gongur gjøgnum alla [atla] bókina
прони́зывать	ipf síпрониза́ть
прони́зывающий	Ipartic avпрони́зыватьIIadj1.(о ветре) hvassurсогл{a/ø}; bítandiглandi(о холоде)2.(о взгляде) hvassurсогл{a/ø}, bínandiглandi
проника́ть	ipf síпрони́кнуть
проника́ться	ipf síпрони́кнуться
проникнове́ние	n1.(попадание внутрь) inntreingingж0-ar, tað at troka seg inn; infiltratión [-Ꞌʃɔun]ннкж0-ir(просачивание)2.(распространение) útbreiðingж0-ar3.síпроникнове́нность
проникнове́нность	fbókl.1.(способность глубоко вникнуть) gløggskapurмсогл-ir; tað at vera djúpleitturсоглкн.2.(задушевность,искренность) innileikiмгл-iкн.; ivaloysiсгл-i(убеждённость)
проникнове́нный	stfпроникнове́н|ен, ~на, ~но, ~ныadjbókl.1.(способный глубоко вникать) gløggurсогл; djúpleitturсоглкн.,ред.2.(задушевный,искренний) inniligurглigur, sum kemur frá hjartanum [j-]; ivaleysurсогл(внутренне убеждённый)
прони́кнутый	adj чем-л.fullur [-tl-]соглav o-m
прони́кнуть	прони́кн|у, ~ешь, ~ут;pretпрони́к, ~ла, ~ло, ~лиogпрони́кнулo.s.fr.pf(ipfпроника́ть)1.во что-л.(попасть внутрь) treingjair(d)inn í o-t; trokaaðiseginn í o-t, otaaðiseginn í o-tseg inn í, skoraaðiseg inn í o-t; infiltrera [-Ꞌtʰreː-]ннкaðio-t(просочиться); во́ры прони́кли в дом tjóvarnir komu sær inn í húsið, tjóvarnir trongdu inn í húsið; свет прони́к в ко́мнату ljósið trongdi inn í stovuna; вода́ прони́кла в трюм sjógvur kom niður í lastina, sjógvur seyraði niður í lastina (просочилась), sjógvur trongdi inn í lastina; прони́кнуть на Се́верный по́люс vinnaслнa-u-ufram til norðurpólin, takaслнó-ó-iseg fram til norðurpólin; в э́ту страну́ прони́к иностра́нный капита́л útlendskur kapitalur [kʰaːpiꞋtʰaː-] hevur trokað seg inn í hetta landið2.bert 3. pers brúktur во что-л.(распространиться) vinnaслнa-u-ufram, breiðastir(d)út; иде́и демокра́тии глубоко́ прони́кли в ма́ссы demokratiskar [-Ꞌkʰɹaː-] hugsjónir vunnu fram hjá [tʃʰ-] fjøldini; све́дения прони́кли в печа́ть tíðindini náddu fram til pressuna3.во что-л.(понять,разгадать) treingjair(d)inn í o-t(skilja til fulnar o.a.); прони́кнуть в суть де́латжkomaслнo-o-otil botns [pɔn̊s] í málinum; прони́кнуть вчью-л.психоло́гию treingja inn á sálarlíviðhjá[tʃʰ-]o-m4.bert partic pass pret чем-л.(стать сущностью чего-л.) verða fullur [-tl-]соглav o-m, verða gjøgnumseyraðurглaðurav o-m; всё произведе́ние прони́кнуто ду́хом гумани́зма alt verkið er gjøgnumseyrað av humanismunnar [-Ꞌnɪ-] anda
прони́кнуться	прони́кн|усь, ~ешься, ~утся;pretпрони́кся, ~лась, ~лось, ~лисьogпрони́кнулсяo.s.fr.pf(ipfпроника́ться) verða fullur [-tl-]соглav o-m(kenslum o.ø.); прони́кнуться любо́вьюк кому-л.verða fullur av kærleikatil o-n; прони́кнуться чу́вством отве́тственности verða gøgnumseyraðurглaðurav ábyrgdarkenslu [-pɪɹt-]
пронима́ть	ipf síпроня́ть
проница́емость	ftað at latao-tfara ígjøgnum [-Ꞌtʃœ-]; tað at latao-tsleppa ígjøgnum [-Ꞌtʃœ-]; tað at latao-tleka ígjøgnum [-Ꞌtʃœ-] (воду и т.п.;свет и др.); tað at latao-tseyra ígjøgnum [-Ꞌtʃœ-] (просочиться); tað at sleppao-mígjøgnum [-Ꞌtʃœ-]
проница́емый	проница́ем, ~а, ~о, ~ыsum leturo-tfara ígjøgnum [-Ꞌtʃœ-]; sum leturo-tsleppa ígjøgnum [-Ꞌtʃœ-]; sum leturo-tleka ígjøgnum [-Ꞌtʃœ-] (воду и т.п.;свет и др.); sum leturo-tseyra ígjøgnum [-Ꞌtʃœ-] (просочиться); sum sleppuro-mígjøgnum [-Ꞌtʃœ-]; проница́емый для све́та sum letur ljós sleppa ígjøgnum [-Ꞌtʃœ-]
проница́тельность	fgløggskapurмсогл-ar, gløggskygniсгл-i
проница́тельный	stfпроница́телен, проница́тельн|а, ~о, ~ыadjgløggurсогл, gløggskygdurсогл; grannsígginсоглоснggкн.(много замечающий)
проница́ть	ipf во что-л.gml.1.(о свете)treingjair(d)inn í o-t(um ljós)2.(понять,разгадать) treingjair(d)inn í o-t(skilja til fulnar o.a.)
проноси́ть1	Iipf síпронести́
проноси́ть2	IIпроношу́, проно́с|ишь, ~ятpf1.Acc(носить какое-л. время) beraслнa-ó-oВин(ávísa tíð); проноси́ть ребёнка на рука́х весь день bera barnið [-tnɪ] á ørmunum allan [atl-] dagin, ganga við barninum [-tn-] á ørmunum allan [atl-] dagin2.что-л.(ходить в чём-л. в течение какого-л. времени) gangaслнe-i-ií o-m, veraслнa-ó-eí o-m(ávísa tíð); проноси́ть пальто́ не́сколько лет ganga í einum frakka í nøkur ár3.ipfпрона́шиватьчто-л.(износить) slítaслнeiu-i-io-tupp; проноси́тьчто-л.до дыр slíta holá o-t
проноси́ться1	Iipf síпронести́сь
проноси́ться2	IIпроношу́сь, проно́с|ишься, ~ятсяpf1.(носиться в течение какого-л. времени) haldaслнe-i-i(um klæðir)2.ipfпрона́шиваться (износиться) verða slitinсоглосн(upp)
пронумерова́ть	pf síнумерова́ть
проны́ра	m/ftlm.listilært fólkс0о, luskэнкс0онеодобр.(um fólk)
проны́рливый	stfпроны́рлив, ~а, ~о, ~ыadjtlm.listilærdurсогл, snildurсогл(sum roynir at troka seg fram o.a.)
проны́рство	n(обман) svikс0о; snildarráðс0одистр(поступок поныры, ловкая проделка); luskэнкс0онеодобр.
проню́хать	pf(ipfпроню́хивать)что-л.,Acctlm.,atf.fáaслнe-i-ifrænirav Вин, fáaслнe-i-isnevilinav Вин
проню́хивать	ipf síпроню́хать
проня́ть	пройм|у́, ~ёшь, ~у́т;pretпро́нял, проняла́, про́нял|о, ~иpf(ipfпронима́ть)Acctlm.1.bert 3. pers brúktur(о холоде и др.) faraслнó-ó-aígjøgnum [-Ꞌtʃœ-]Вин(um kulda o.a.); дрожь проняла́ skjálvti [ʃɔl̥tɪ] kom á hann, ein skjálvti [ʃɔl̥tɪ] fór ígjøgnum [-Ꞌtʃœ-] hann; его́ про́нял страх ótti kom á hann; хо́лод про́нял его́ до косте́й kuldin neit at beini2.(произвести большое впечатление) virkaaðiupp áВин, rínaслнei-i-iá Вин{Дат}; его́ ниче́м не проймёшь einki rínur á honum, einki bítur á honum
проо́браз	m bókl.1.чего-л.(образец) fyrimyndж0-irfyri o-m; проо́браз совреме́нного го́рода fyrimyndin fyri nútíðarbýnum2.кого-л.(прототип) fyrimyndж0-irfyri o-m, modell [-Ꞌtεlː-]ннкс0о(;0-ir)fyri o-mпроф.(í bókmentum o.tíl.)
проопери́ровать	pf síопери́ровать
пропага́нда	fpropaganda [-Ꞌka-]ж0-ir;жгл-a(б.ч. политическая,идеологическая)
пропаганди́ровать	пропаганди́ру|ю, ~ешь, ~ютipf что-л.propagandera [-Ꞌteː-]aðifyri o-m, gera propaganda [-Ꞌka-]fyri o-m
пропаганди́ст	mpropagandistur [-Ꞌtɪ-]мсогл-ar
пропаганди́стка	plurпропаганди́ст|ки, ~ок, ~камmpropagandistur [-Ꞌtɪ-]мсогл-ar(konufólk)
пропаганди́стский	adjpropagandistiskur [-Ꞌtɪ-]соглsk
пропада́ние	nútfall [-tl]с0о{a/ø}(av el-lutum o.tíl.)
пропада́ть	ipf1.síпропа́сть2.(отсутствовать) veraслнa-ó-eleingi burtur@где на́ше не пропада́ло! {где на́ша не пропада́ла!}tlm.hann, ið einki vágar, hann einki vinnur!посл.; vágin vinnur og vágin missir!посл.
про́падом	: пропади́ про́падом!tlm.hav tú ein hund!бран.; hav tú ein lort!бран.,вульг.
пропа́жа	f1.(действие) missurмсогл-ir(tað at missa); hvørvingж0-ar, forsvinning [-Ꞌsvɪ-]ннкж0-ar(исчезновение)2.tlm.(предмет) burturmist tingс0о,o-tburturmistсприл
пропали́ть	пропал|ю́, ~и́шь, ~я́тpf что-л.óvkm.brennair(d)holá o-t
пропа́лывать	ipf síпрополо́ть
пропа́н	mpropan [-Ꞌpʰaːn]с0о{0<>i}
пропа́ривать	ipf síпропа́рить
пропа́риваться	ipf síпропа́риться
пропа́рить	пропа́р|ю, ~ишь, ~ятpf(ipfпропа́ривать)1.что-л.(подвергнуть действию пара) dampaaðio-t, dampkókaaðio-t(væl og virðiliga)2.Аcc(выпарить в бане) gevaслнa-ó-iДатdampbað (væl og virðiliga)3.что-л.(парить в течение какого-л. времени) dampaaðio-t(ávísa tíð)
пропа́риться	пропа́р|юсь, ~ишься, ~ятсяpf(ipfпропа́риваться)1.(подвергнуться действию пара) verða dampaðurглaður, verða dampkókaðurглaður(væl og virðiliga)2.(выпарить себя в бане) fáaслнe-i-især dampbað3.(париться в течение какого-л. времени) verða dampaðurглaður, verða dampkókaðurглaður; fáaслнe-i-især dampbaðглaður(в бане) (ávísa tíð)
пропа́рка	f1.(действие) dampingж0-ar2.óvkm.,skemt.(выговор) (álvarslig) átalaжгл-a
пропа́рывать	ipf síпропоро́ть
пропа́сть	пропад|у́, ~ёшь, ~у́т;pretпропа́л, ~а, ~о, ~иpf(ipfпропада́ть)1.(потеряться) verðaслнa-ó-oburtur, blívaслнei-i-iburtur; hvørvaслнa-u-o, forsvinna [-Ꞌsvɪ-]ннкслнa-u-u(исчезнуть); у меня́ пропа́ло письмо́ brævið er blivið burtur, eg havi mist brævið burtur; кни́га пропа́ла со стола́ bókin er forsvunnin [-Ꞌsvʊ-]ннкav borðinum2.(не вернуться) ikki komaслнo-o-oaftur [aʰtː-]; он ушёл вчера́ ве́чером и пропа́л hann fór (avstað [aꞋstεa]) í gjárkvøldið [tʃœɹ̥kʰ-] og kom ikki afturíaftur [aꞋtʰrʊiaʰtː-]; куда́ он пропа́л? hvat bleiv av honum?; где ты пропа́л? hvar hevur tú verið so leingi?3.(исчезнуть,скрыться) hvørvaслнa-u-o, forsvinna [-Ꞌsvɪ-]ннкслнa-u-u; бессле́дно пропа́сть hvørva sporleyst, forsvinnaннкsporleyst; пропа́сть и́з виду hvørva úr eygsjón [εkʃ-]; он пропа́л у меня́ и́з виду hann hvarv úr eygsjón [εkʃ-], eg havi mist hann úr eygsjón [εkʃ-]; голоса́ пропа́ли вдали́ langt burturi doyðu røddirnar burtur4.(утратиться) missair(t)o-t; у меня́ пропа́ло жела́ние eg havi mist hugin, eg havi mist allan [atl-] hug; у него́ пропа́л го́лос hann hevur mist málið5.(погибнуть) farastслнó-ó-a; я пропа́л! eg eri fokin!; tað er úti við mær!; е́сли он э́то узна́ет, мы пропа́ли vissннкhann frættir hetta, er úti við okkum; пропа́ло мно́го судо́в nógv skip fórust, nógv skip gingu burtur; цветы́ пропа́ли от моро́за blomstrini fórust av frost6.bert 3. pers brúktur(пройти бесполезно) faraслнó-ó-afyri Ꞌ einki, faraслнó-ó-afyri Ꞌ skeytið; все труды́ пропа́ли напра́сно alt stríðið var til einkis; весь день пропа́л allur [atl-] dagurin fór til onga nyttu, allur [atl-] dagurin fór fyri einki; вре́мя пропа́ло зря tíðin er burturspilt, tíðin er farin til spillis [-tl-]; у́жин пропа́л nátturðin fór fyri skeytið7.пропади́oftast í samb við persónsfornavn, navnorð tlm.: пропади́ ты! far tú at [ɔa] fananum til!грубо,бран.@пропа́сть бе́з вестиvera saknaðurглaður, ikki vera aftruíafturkomin [aꞋtʰɹʊiaʰtː-]соглосн, vera horvinсоглосн; уби́то 12 челове́к, ра́нено 95, пропа́ло бе́з вести 10 челове́к 12 fólk eru dripin, 95 særd, og 10 eru ikki afturíafturkomin;пиши́ пропа́лоtlm.alt er rokið, alt er farið fyri skeytið; с нимне пропадёшьtlm.≈ tað er eingin neyð saman við honum =>да́ром3,пан@,про́падом
про́пасть1	Iplurпро́пасти, пропаст|е́й, ~я́мf1.(обрыв) gjógvж0-ir{+}, kluftж0-ir; avgrund [au-]ж0-ir(бездна)2.fl.(расхождение в чём-л.) gjógvж0-ir{+}(munur í sjónarmiðum o.a.); ме́жду ни́ми лежи́т про́пасть tað er ein gjógv millum [-tl-] teir@быть на краю́ про́пастиveraслнa-ó-eum at farast, standaнепрá egginiперен.;тьфу (ты) про́пасть!tað var ólukksáligt [-Ꞌsɔa-]!; tað var sum fanin!бран.
про́пасть2	IIf tlm.(множество) rúgvaжгл-a, hópurмсогл-ar; наро́ду там про́пасть har er ein rúgva av fólki@до про́пастиgml.,óvkm.ørgrynna, sum í murruni
пропаха́ть	пропашу́, пропа́ш|ешь, ~утpf1.ipfпропа́хиватьчто-л.(вспахать тщательно) pløga [pʰløːa]ir(d){+}o-t(væl og virðiliga)2.Вин skemt.(проделать,изучить тщательно) lesaслнa-á-iВинvæl og virðiliga, studera [-Ꞌteː-]aðiВинvæl og virðiliga3.(что-л.)óvkm.(пахать в течение некоторого времени) knossastaði(við o-t), stríðastir(d)(við o-t)ávísa tíð)
пропа́хивать	ipf síпропаха́ть1
пропа́хнуть	пропа́хн|у, ~ешь, ~ут;pretпропа́х, пропа́хл|а, ~о, ~иpf1.чем-л.(пропитаться запахом) faraслнó-ó-aat luktaav o-m; весь дом пропа́х ры́бой alt húsið luktaði av fiski2.tlm.(испортиться) spillast [-tl-]ir(t)
пропа́шка	f(upp)pløgingж0-ar
пропа́шник	mlúkingarmaskinaжгл-aat taka upp ímillum [-Ꞌmɪtl-] við
пропашно́й	adj1.(служащий для пропашки): пропашно́й тра́ктор traktorur at pløga við millum [-tl-] leingir2.(требующий междурядной обработки): пропашны́е культу́рыvøkstrir, dyrkaðir í leingjum
пропа́щий	adjtlm.1.(утраченный безвозвратно) misturсоглmed alla, farinсоглоснfyri skeytið med alla2.(безнадёжный) vónleysurсогл, hopleysurсогл3.(неисправимый) hopleysurсогл, sum einki gerst við
пропеде́втика	fbókl.fyrireikandi frálæraжгл-a
пропедевти́ческий	adjfyrireikandiглandi, propedeutiskur [-Ꞌtœu-]соглskспец.
пропей...	пропе́й, пропе́йтеimper avпропи́ть
пропека́ть	ipf síпропе́чь
пропека́ться	ipf síпропе́чься
пропе́ллер	mpropell [-Ꞌpʰεlː]ж0-ir(á flogfari,tyrlu o.tíl.)
пропесо́чивать	ipf síпропесо́чить
пропесо́чить	пропесо́ч|у, ~ишь, ~атpf(ipfпропесо́чивать)кого-л.óvkm.skeldaaðio-nút, gevaслнa-ó-io-mtoyggið, gevaслнa-ó-io-m avgrovfílini [kɹɔf-]идиом.
пропе́ть	пропо|ю́, ~ёшь, ~ю́тpf1.что-л.(исполнить голосом) syngjaслнa-u-uo-t; пропе́ть а́рию syngja eina ariu [aː-]2.что-л.tlm.: пропе́ть го́лос missair(t)málið (av sangi)3.(что-л.) (петь в течение какого-л. времени) syngjaслнa-u-u(o-t) (ávísa tíð); пропе́ть весь ве́чер syngja alt kvøldið
пропеча́тать	pf1.ipfпропеча́тыватьAcctlm.(опубликовать критику) finnastслнa-u-uhvassliga atДатí bløðunum, faraслнó-ó-ailla [ɪtla] viðДатí bløðunum2.(что-л.) (печатать в течение какого-л. времени) prentaaði(o-t), skrivaaði(o-t) á maskinu [-Ꞌʃiː-] (на машинке) (ávísa tíð)
пропеча́тывать	ipf síпропеча́тать1
пропе́чь	пропеку́, пропечёшь, пропеку́т;pretпропёк, пропекл|а́, ~о́, ~и́pf1.ipfпропека́тьчто-л.(испечь до полной готовности) bakaaðio-tliðugt2.(что-л.) (печь в течение какого-л. времени) bakaaði(o-t) (ávísa tíð); пропе́чь це́лый ве́чер baka alt kvøldið
пропе́чься	пропечётсяся, пропеку́тся;pretпропёкся, пропекл|а́сь, ~о́сь, ~и́сьpf(ipfпропека́ться) verða liðugt bakaðurглaður
пропива́ть	ipf síпропи́ть
пропива́ться	ipf síпропи́ться
пропи́ливать	ipf síпропили́ть
пропили́ть	пропилю́, пропи́л|ишь, ~ятpf1.ipfпропи́ливатьчто-л.(распилить до какого-л. предела) sagaaðio-tút2.(что-л.) (пилить в течение какого-л. времени) sagaaði(o-t) (ávísa tíð)3.кого-л.tlm.(извести упрёками и др.) illneitastaðiinn á o-n, knarraaðiinn á o-n
прописа́ть	пропишу́, пропи́ш|ешь, ~утpf1.ipfпропи́сыватьAcc(оформить) meldaaðiВинtil (til fólkayvirlit o.a.), skrásetaur(t);ir(t)Вин(bústað); где вы пропи́саны? hvar er tygum tilmeldaður? (at búgva); hvar eru tygum skrásettur? (at búgva)2.ipfпропи́сыватьчто-л. кому-л.(лекарство,лечение) ordinera [-Ꞌneː-]ннкaðio-m o-tпроф., fyriskipaaðio-m o-tофиц.3.(что-л.) (писать в течение какого-л. времени) skrivaaði(o-t) (ávísa tíð)4.(что-л.)кому-л.óvkm.(наказать) straffaaðio-n, revsaaðio-n; прописа́ть по́ркукому-лsmyrjaнепрo-nav, gevaслнa-ó-io-mein avsmurning; оте́ц тебе́ пропи́шет за всё! ≈ tú fært Ꞌ av at vita frá pápa fyri alt! =>и́жица@
прописа́ться	пропишу́сь, пропи́ш|ешься, ~утсяpf(ipfпропи́сываться) verða tilmeldaðurглaður, verða meldaðurглaðurtil (til fólkayvirlit); verða skrásetturсогл(á bústaði)
пропи́ска	plurпропи́с|ки, ~ок, ~камftilmeldingж0-ar, skrásetingж0-ar,српрописа́ть; жить без пропи́ски в Москва́ ≈ búgva í Moskva uttan (uppi)haldsloyvi [-hal̥s-]; получи́ть (постоя́нную) пропи́ску ≈ fáa varandi uppihaldsloyvi [-hal̥s-]
прописно́й	adj: приписна́я бу́ква stórur bókstavur [pœʰks-]@прописна́я и́стинаtanlaðurглaðursannleiki, fortugdur [-Ꞌtʰʊ-] sannleiki; banalitetur [-naːliꞋtʰeː-]ннкмсогл-s,-ir(банальность);прописна́я мора́льfortugdur [-Ꞌtʰʊ-] moralur [-Ꞌraː-]
пропи́сывать	ipf síпрописа́ть1, 2
пропи́сываться	ipf síпрописа́ться
про́пись	f oftast plurforskriftж0-ir(at skriva fagurskrift eftir)
про́писью	advvið bókstavum [pœʰks-]; написа́ть число́ про́писью skriva eitt tal við bókstаvum
