Ж	(знак на туалете) «для же́нщин»K, kvinnur (á hurð til toilett)
жи́рно	adv: жи́рно есть eta feitan mat; жи́рно нама́зать хлеб smyrjaнепрtjúkt upp á breyðið, kleiggjaaðiupp á breyðið@(сли́шком) жи́рно бу́детóvkm., atf.heldur nógv, nakað nógv av tí góða
жи́рность	f1.(содержание жира) fitiжгл-i(innihald av feitti); feittinnihaldс0о2.(упитанность) fitiжгл-i; holdс0омн(тж - б.ч. о животных)
жи́рный	stfжи́рен, жирна́, жи́рно, жи́рныogжирны́adj1.(содержащий много жира) feiturсогл; жи́рный кусо́к feitur biti; жи́рная пи́ща feitur matur2.(толстый,тучный) feiturсогл, tjúkkurсогл, sum er væl í holdum3.(сальный) feitt-, snykuturсогл(от рыбьего,китового жира); жи́рное пятно́ feittblettur [pʰlε-]4.(насыщенный полезными веществами) feiturсогл; жи́рная по́чва feit jørð, gróðrarmikilсоглоснjørð5.kem.(о соединениях и др.) feitt-; жи́рная кислота́ feittsyraннк, fitisýra ; жи́рные соедине́ния feittforbindilsirннк, feittsambondнп=>шрифт1
жи́ро	n indeclfíggj.endossement [εntɔsːɪꞋmaŋk]с0офин.
жирова́ть1	Iжиру́|ю, ~ешь, ~ютipf что-л.smyrjaнепрo-tvið feitti
жирова́ть2	IIжиру́|ю, ~ешь, ~ютipffitnaaði, dragaслнó-ó-iá holdini (um vill djór)
жирови́к	Genжировик|а́;plur~и́, ~о́в, ~а́мm1.min.(горная порода) fitisteinurмсогл-ar2.lækn.(опухоль) feittknykilмсоглосн-s,-ar, feittvølurмсогл-s,-ir{ø/a}
жиро́вка	plurжиро́в|ки, ~ок, ~камftlm.girokort [ʃiː-]с0о, giroblankett [ʃiː-]ннкж0-ir
жирово́й	adjfeitt-; жирова́я ткань feittvevннк, feittvevnaðurнп; жирово́е яйцо́ skellegg [-tl-] (ótroðið egg) =>плавни́кI
жироприка́з	mfíggj.giroávísing [ʃiː-]ж0-ar
жироско́п	m síгироско́п
жирото́пный	adjsmelti-, bræðingar-; жирото́пный котёл lýsipottur
жиря́нка	plurжиря́н|ки, ~ок, ~камf: жиря́нка обыкнове́нная (Pinguicula vulgaris) undirløgugrasс0о{a/ø}
жите́йский	adjlívs-, verðins-ннк, veraldar-нп(жизненный); gerandis- (обыденный); vanligurглigur, almindiligur [-Ꞌmɪ-]ннкглigur(обычный); жите́йский о́пыт lívsroynd; жите́йская му́дрость verðinsklókskapur [-kʰlœʰk-]ннк, veraldarvísdómurкн.; жите́йские забо́ты gerandissorgir; жите́йский разгово́р ein samtala sum vant, ein vanlig samtala, eitt almindiligtннкprát@де́ло жите́йскоеhetta hendir so javnan, hetta kann henda øllum [œtl-]
жи́тель	míbúgviмгл-i, -búgviмгл-i; городско́й жи́тель býarfólkс0о; се́льский жи́тель bygdarmaðurмнепр, bygdarfólkс0о; жи́тели Москвы́ moskvabúgvar, fólkið í Moskva; он - жи́тель Му́рманска hann býr í Murmansk; э́тот райо́н насчи́тывает мно́го жи́телей nógv fólk býr í hesum landspartinum [lan̊s-]
жи́тельница	f síжи́тель
жи́тельство	n: ме́сто жи́тельства bústaður; ме́сто постоя́нного жи́тельства fastur bústaður; где её ме́сто жи́тельства?тжhvar býr hon?; име́ть жи́тельствогде-л.hava bústað onkustaðni,тжbúgvaнепрonkustaðni; перемени́ть ме́сто жи́тельста skiftair(t)bústað; пра́во жи́тельства loyvi at búgva (onkustaðni)@вид на жи́тельствоuppihaldsloyvi [-hal̥s-]сгл-i
житие́	Genжити|я́;plur~я́, ~и́й, ~я́мn1.gml.(жизнь) lívс0о2.kirkj.,bókm.:житие́ святы́х halgisøgaжгл-a
жи́тница	f1.gml.(амбар) kornløða [kʰɔnl-]жгл-a, korngoymsla [kʰɔnk-]жгл-a2.fl.(хлебородная область) korngoymsla [kʰɔnk-]жгл-a(um landspartar o.a. við góðum korngróðri); зернова́я жи́тница страны́ korngoymsla landsins [lan̊s-]
жи́то	ndial.(зерно) korn [-tn]с0о; hveitiжгл-i(пшеница); rugurмсогл-ar(рожь); byggс0о(ячмень)
житу́ха	fóvkm.góðalívс0о, eitt lív sum hønan í korninum [-tn-]пог.
жить	жив|у́, ~ёшь, ~у́т;pretжил, жила́, жи́ло, жи́лиipf1.(существовать,быть живым) livair(d)(að); до́лго жить liva leingi; когда́ жил Пу́шкин? nær livdi Pusjkin [pʰʊʃkɪn]?; он жил в XIX ве́ке hann livdi í 19. øld; во́роны живу́т до 40 лет ravnar kunnu blíva upp til 40 ára gamlir, ravnar kunnu liva í upp til 40 ár; жить по́лной жи́знью liva lívið; ей остаётся немно́го жить hon hevur ikki langt eftir [εʰtː-]2.(вести тот или иной образ жизни) livair(d)(að); жить сча́стливо liva lukkuliga; он уме́ет жить hann dugir at liva; он живёт хорошо́ hann livir væl3.(проживать;обитать) búgvaнепр; haldaслнe-i-itil, havaнепрtilhald (временно); livair(d)(að)(о птицах,животных и др.); где он живёт? hvar býr hann?; он там живёт с бра́том hann býr har saman við beiggja sínum,sbr.6; он до́лго жил за грани́цей hann búði leingi uttanlands; на како́й у́лице ты живёшь? hvørjari gøtu býrt tú í?; у неё есть где жить? hevur hon nakrastaðni at búgva?; э́та пти́ца живёт в А́фрике hesin fuglurin livir í Afrika; э́то расте́ние живёт в воде́ henda plantan veksur í vatni4.чем, на что(добывать себе пропитание) livar(d)(að)avo-m; жить свои́м трудо́м liva av sínum arbeiði; жить на ни́щенскую пе́нсию liva av einari neyðarsligari pensjón [-Ꞌʃɔun]; жить на 4000 крон в ме́сяц liva fyri 4000 krónur um mánaðin [mɔanan] (ред. [mɔanajɪn]); жить за счёт {на сре́дства}кого-л.livaav o-m, lataслнæ-ó-ao-nføða seg5.Ins(быть увлечённым): жить наде́ждами liva í vónini; жить нау́кой liva fyri vísindunum; жить детьми́ liva fyri børnini [-tn-] (barnanna sakir); жить мы́сльюо чём-л.verða hildinсоглоснá lívi av tankanum [tʰaŋ̊k-]um o-t6.с кем-л.(находиться в любовной связи) haldaслнe-i-isamanvið o-m, livair(d)(að)samanvið o-m(sum par),sbr.3@как (вы) живёте?hvussu hava tygum tað?; hvussu veit við?; жил да был... {жил-был}...einaferð var...;жить свои́м умо́мliva eftir [εʰtː-] sínum egna høvdi [hœtːɪ]; ему́бы жить да житьhann kundi livað leingi afturat [aˈtʰɹ-];живу́т же лю́ди!summi duga!; tað er munur á monnum! =>век@,здоро́во@,приказа́ть@,сре́дство4
житьё	ntlm.lívс0о; сла́вное тогда́ житьё бы́ло! tá var gaman at liva!кн.,поэт.; он нам житья́ не дава́л hann gjørdi okkum lívið súrt, hann plágaði [pʰlɔava] lívið av okkum; (нам) от него́ житья́ не́ было hann var ein plága [pʰlɔava] fyri okkum, hann var sum ein marra, tað var ikki livandi fyri honum;кому-л.житья́ нет (отGen) tað er ikki livandihjá[tʃʰ-]teimum(fyri Дат); житья́ нет от шу́му her er ikki livandi fyri gangi; здесь не житьё, а рай {ма́сленица} hetta er eitt paradís [pʰaː-]
житьё-бытьё	n-ntlm.líviðс0оопр., tilveranжгл-aопр.
жи́ться	живётся;жило́сьipf óptlm.1.við adv: ей живётся пло́хо hon hevur tað ringt; tað gongur illa [ɪtla] hjá [tʃʰ-] henni, tað gongst henni illa [ɪtla]; ей живётся хорошо́ hon hevur tað gott; tað gongur væl hjá [tʃʰ-] henni, tað gongst henni væl; как тебе́ живётся? hvussu hevur tú tað?; hvussu gongst?2.кому-л.,við neg: ему́ не живётся на одно́м ме́сте hann støðast ikki, hann stetas t ikkiнеформ.
ЖКО	[жэ-ка-о́]n indecl= жили́щно-коммуна́льный (sí) отде́л
ЖКХ	[жэ-ка-ха́]n indeclжили́щно-коммуна́льное хозя́йствоfyritøkur o.a.,ið veita húsarhaldum o.ø. tænastuveitingar
жлоб	Gen, Accжло́ба;plurжло́б|ы, ~ов, ~амogGen, Accжлоб|а́;plur~ы́, ~о́в, ~а́мmóvkm.,vanv.gírigt fólkс0о, nábalsklógvжнепрпренебр.
жм...	1.жмуo.s.fr. pres avжать2.жми́, жми́теimper avжать
жм...	1.жмуo.s.fr. pres avжать2.жми́, жми́теimper avжать
жмот	móvkm.gírigt fólkс0о, nábalsklógvжнепрпренебр.
жму́рик	mjarg.líkс0о
жму́рить	жму́р|ю, ~ишь, ~ятipf(pfзажму́ритьзажму́р|ю, ~ишь, ~ят): жму́рить глаза́síжму́риться
жму́риться	жму́р|юсь, ~ишься, ~ятсяipf(pfзажму́ритьсязажму́р|юсь, ~ишься, ~ятся) klípair(t)eyguni saman, krympaaðieyguni saman
жму́рки	f plur: игра́ть в жму́рки spælair(d)blindabukk
жмых	Genжмых|а́;plur~и́, ~о́в, ~а́мogGenжмы́х|а;plur~и, ~ов, ~амmfóðurkakaжгл-a, fóðurkøkaнпжгл-a; oljukakaжгл-a, oljukøkaнпжгл-a
жмя́кать	frekv síжмя́кнуть
жмя́кнуть	жмя́кн|у,~ешь, ~утpf(frekvжмя́кать)1. что-л.(уронить) dumsaaðio-t, lorkaaðio-t niður; langa [laŋka]энкaðio-tí o-t {móti o-m}2.Acc tlm.(нажать) kroystair(t)Вин
жн...	1.жнуo.s.fr. pres avжать II2.жни́, жни́теimper avжать II
жне́йка	plurжне́йки, жне́ек, жне́йкамfheystingarmaskinaжгл-a
жнец	makurskurðarmaðurмнепр
жнея́	fgml.,dial.síжни́ца
жнивьё	plurжни́вь|я, ~ев, ~ямn1.(поле) elmaжгл-a, ekraжгл-a2.síстерня́2
жни́ца	fakurskurðarkonaжгл-a
жоке́й	mjockey [tʃɔʰkːi]м0-ar{дат.0}
жоке́йский	adjjockey- [tʃɔʰkːi-]
жонглёр	mjonglørur [ʃɔŋkꞋløː-]мсогл-ar
жонгли́ровать	жонгли́ру|ю, ~ешь, ~ютipf чем-л.beinl.,fl.jonglera [ʃɔŋkꞋleː-]aðivið o-m
жо́па	ftabu!reyvж0-arвульг.@братького-л.за жо́пуtabu!taka í herðatoppiná o-m;он берёт жо́пойtabu!hann hevur tað so ikki í høvdinum [hœtː-] (um ein, sum er eitt arbeiðsgrev, men ikki verður hildin at vera vitugur);мы в жо́пеtabu!vit eru í trongum skóm, vit eru sperdir, vit eru gyrdir í brøkur;жо́па (ты) (с ру́чкой)tabu!(tú ert) ein dummur hundurбран., tín dummi hundurбран.;пошёл {иди́} в жо́пуtabu!renn meg í reyvinaвульг.
жопе́нь	plurжопе́н|и, ~ей, ~ямf óvkm., óf. síжо́па
жор	mtað at fiskur bítur væl
жох	móvkm.(скряга) natiðсоглоснfólkс0о, píriðсоглоснfólkс0о; snúiðсоглоснfólkс0о, sniltсоглfólkс0о(пройдоха)
жра́мши	síжрать
жратва́	fóvkm. maturмсогл-ir
жрать	жр|у, ~ёшь, ~ут;pretжрал, жрала́, жра́л|о, ~иipf(pfсожра́ть сожр|у́, ~ёшь, ~у́т; pret сожра́л, сожрала́, сожра́л|о, ~и)что-л.koyrair(d)o-tí seg, skræða [skɹeːa]ir(d)o-tí seg (жадно, быстро) (mest um djór);óvkm.etaслнá-ó-eo-t@не жра́мшикто-л.óvkm.o-rgongur svangur,o-rhevur ikki etið
жре́бий	m1.(условный значок) lutakastс0о{a/ø}; luturмсогл-ир; броса́ть {тянуть} жре́бий kasta lut; жре́бий пал на неё luturin fall [-tl] á hana; ему́ вы́пал жре́бий е́хать tað fall [-tl] í hansara lut at fara; по жре́бию við lutakasti; разыгра́тьчто-л.по жре́бию kastaaðilutum o-t2.gml.(доля) lagnaжгл-a, forløgс0о{a/ø}мнуст., поэт.@жре́бий бро́шенterningarnir eru kastaðir (цитируется также по-латыниjacta est alea [jaʰkta eːst aːlea]); nú má svíða sum svøllur [-tl-]пог.
жрец	Gen, Accжрец|а́;plur~ы́, ~о́в, ~а́мm(heiðin) presturмсогл-ar; offurpresturмсогл-ar(совершающий жертвонприношения)@жрецы́ нау́киgml.,hátíð.(nú oftastspott.) tænararnirмгл-ariмн опр.hjá [tʃʰ-] vísindunum
жри́ца	fprestinna [-Ꞌɪnta] ([-Ꞌɪnːa]нп)жгл-a; offurprestinna [-ɪnta] ([-ɪnːa]нп)жгл-a(совершающая жертвоприношения)
ЖСК	[жэ-эс-ка́]m indeclжили́щно-строи́тельный (sí) кооперати́в
жу...	1.жую́o.s.fr. pres avжева́ть2.жу́й, жу́йтеimper avжева́ть
жу́желица	f(сем. Carabidae) svartaklukkaжгл-a
жужжа́ние	nsurrс0о, hurrс0о; (kúlur o.a.) hvinс0о(пуль и др.); (av maðkum) tosс0о(червей); жужжа́ние мух flugusurr; жужжа́ние пря́лки rokkaduniмгл-i, hurr frá rokki
жужжа́ть	жужж|у́, ~и́шь, ~а́тipfsurraaði; hurraaði; (kúlur o.a.) hvínaслнei-i-i(пули и др.); (maðkar o.a.) tosaaði(о червях и др.)
жуи́р	mgml.lívsnjótariмгл-ari
жуи́ровать	жуи́ру|ю, ~ешь, ~ютipfgml.njótaслнey-u-olívið
жук1	IGen, Accжук|а́;plur~и́, ~о́в, ~а́мm(отряд Coleoptera) klukkaжгл-a=>колора́дский,ма́йский@,наво́зный@
жук2	IIGen, Accжук|а́;plur~и́, ~о́в, ~а́мm(плут)óvkm.,atf.skálkurмсогл-ar, snilt og listilært fólk
жула́н	m: (обыкнове́нный) жула́нsíсорокопу́т-жула́н
жу́лик	msnýtariмгл-ari, svikariмгл-ari(обманщик); [svɪnl-]энкмгл-ariнеодобр., kúllurмсогл-arнеодобр., skálkurмсогл-ar(мошенник); tjóvurмсогл-ar(вор)
жуликова́тый	stfжуликова́т, ~а, ~о, ~ыadjtlm.1.(склонный к жульничеству) fullur [-tl-]соглav sviki, sum snýtir2.(свойственный жулику) kúllaligurглigurнеодобр., beistaligurглigurнеодобр.
жу́лить	жу́л|ю, ~ишь, ~ятipf(pfсжу́лить,сжу́л|ю, ~ишь, ~ят)tlm.síжу́льничать
жульё	n koll tlm.nýtararмгл-ariмн, svikararмгл-ariмн(обманщики); [svɪnl-]энкмгл-ariмннеодобр., kúllarмсогл-arмннеодобр., skálkarмсогл-arмн(мошенники); tjóvarмсогл-arмн(вор)ы
жу́льничать	ipf(pfсжу́льничать)tlm.snýtair(t)(обманывать); svikaaði(в игре и др.); svindla [svɪnla]ннкaði(заниматься мошенничеством)
жу́льничество	nsnýtс0о; svikс0о(в игре и др.); svindilм0осн-s,-arнеодобр.
жупа́н	msøg.slag av troyggju við ongum ermum hjá ukrainarum og polakkum
жу́пел	mskrímslс0о(at ræða o-n við), grýlaжгл-а(at ræða o-n við)
журавлёнок	Gen, Accжуравлёнка;plurжуравля́т|а, ~, ~амmtranaungiмгл-i
журавли́ный	adjtrana-@журавли́ные но́гиstaraleggirмсогл-irмн
жура́вль	Gen, Accжуравл|я́;plur~и́, ~ей, ~а́мm1.djór.(Grus grus) traniмгл-i2.(шест у колодца) stongж0-ur{o/e}(at vippa vatn upp úr brunni við)@лу́чше сини́ца {сини́цу} в ру́ки, чем жура́вль {журавля́} в не́беtilt.hond er, ið hevurпог.
жури́ть	жур|ю́, ~и́шь, ~я́тipf кого-л.tlm.havaнепрꞋ ato-m, gevaслнa-ó-io-meina átalu
журна́л	m1.(периодическое издание) tíðarritс0о, blaðс0о{a/ø}; но́мер журна́ла nummar av einum blað,тжhefti av tíðarriti; журна́л мод mótablað; еженеде́льный журна́л vikublað; ежеме́сячный журна́л mánaðarblað; э́тот журна́л выхо́дит раз в две неде́ли hetta blaðið kemur út fjúrtanda hvønn dag; литерату́рный журна́л bókmentatíðarrit2.(для записей) dagbók [tak-], [tεa-]ж0-ur{ó/ø}; journalur [ʃʊɹꞋnaː-]мсогл-ar; журна́л заседа́ний gerðabókж0-ur{ó/ø}; журна́л входя́щих и исходя́щих journalur yvir út -og inngangandi post; промысло́вый журна́л veiðidagbókтжофиц.; fiskidagbók, journal [ʃʊɹꞋnaːl]ннкж0-ir; путево́й журна́л ferðadagbók =>ва́хтенный@,кла́ссный1,судово́й
журнали́ст	mjournalistur [ʃʊɹnaꞋlɪ-]мсогл-ar; tíðindamaðurмнепр; blaðmaðurмнепр(при газете,журнале)
журнали́стика	fjournalistikkur [ʃʊɹnalɪsꞋtɪʰk-]мсогл-ar; blaðstarvс0о{a/ø}(о работе в газетах,журналах)
журнали́стка	plurжурнали́ст|ки, ~ок, ~камfjournalistur [ʃʊɹnaꞋlɪ-]мсогл-ar(konufólk); tíðindakvinnaжгл-a; blaðkvinnaжгл-a(при газете,журнале)
журнали́стский	adjjournalistiskur [ʃʊɹnaꞋlɪ-]согл, tíðinda-
журна́льный	adjtíðarrit-, blað-; журна́льная ста́тья grein í tíðarriti@журна́льный сто́л {сто́лик}avísborð [-Ꞌvʊis-]
журча́ние	n1.(о воде и др.) surklс0о, tutlс0о(аv vatni o.ø.); журча́ние ручья́ tutlan av áarløki2.fl.(речь) tutlс0о(tos)
журча́ть	журч|у́, ~и́шь, ~а́тipf1.(о воде и т.п.) surklaaði, tutlaaði(um ljóð av á o.a.)2.fl.(тихо разговарывать) tutlaaði(tosa spakuliga)
жу́ткий	stfжу́ток, жутка́, жу́тко, жу́тки;compжу́тчеadj1.(тягостный) óhugnaligur [-Ꞌhuːn-]глigur, óunniligur [-Ꞌʊnː-]глigur; ræðuligurглigur(вызывающий чувство ужаса); жу́ткое зре́лище ein ræðulig sjón; жу́ткие мы́сли ræðuligur tankar2.tlm.(очень плохой,ужасный) ræðuligurглigur(nógvur;ringur); жу́ткий на́сморк eitt ræðuligt krím; жу́ткая пого́да eitt ræðuligt veður, eitt ófýsiligt [-Ꞌfʊi-] veður3.tlm.(крайний в своём проявлении) ræðuligurглigur, øgiligurглigur(sterkur,harður); жу́ткая головна́я боль ein ræðulig høvuðpína@жу́ткое де́лоtað er ræðuligt; руга́ется он - жу́ткое де́ло tað er ræðuligt, hann bannar
жу́тко	Iadv1.(кжу́ткий 1) óhugnaliga [-Ꞌhuːn-], óunniliga [-Ꞌʊnː-]2.tlm.(очень) ræðuligaIIpred1.(страшно) tað er óhugnaligt [-Ꞌhuːn-], tað er óunniligt [-Ꞌʊnː-]; в лесу́ но́чью жу́тко tað er so óhugnaligt úti í skógini um náttina, tað er so óunniligt úti í skógini um náttina; мне жу́тко в темноте́ eg ræðist í myrkri, eg unnist ikki í myrkri; ей ста́ло жу́тко hon ønskraðist við2.tlm.(очень много) ræðuliga nógv; наро́ду - жу́тко! tað er ræðuligt, tað er nógv fólk
жу́тче	comp avжу́ткий, жу́тко
жуть	If1.(чувство беспокойства,страха) óhugni [-huːnɪ]мглi; его́ жуть берёт hann ønskrast við2.tlm.: до жу́ти ræðuliga; он лени́в до жу́ти tað er ræðuligt, hann er dovin; tað er ræðuligt, so dovin hann erIIpred: (кака́я) жуть! tað er ræðuligt; грибо́в там - жуть! tað er ræðuligt, har eru nógvir svamparннк; жуть как мно́го tað er ræðuligt, tað er nógv; жуть как я уста́л! tað er ræðuligt, eg eri móður
жу́хлый	stfжухл, ~а, ~о, ~ыadj(утративший яркость) litfarinсоглосн, bliknaðurглaður; følnaðurглaður(утративший свежесть); жу́хлая трава́ avfallið [-tlɪ]соглоснgras, følnað gras; upptornaður [-tn-]глaður(высохший); rukkuturсогл(морщистый,мятый)
жу́хнуть	жу́хн|ет, ~ут;pretжу́хнулo.s.fr.ogжух, ~ла, ~ло, ~лиipf(pfзажу́хнутьзажу́хн|ет, ~ут; pret зажу́хнул o.s.fr.ogзажу́х, ~ла, ~ло, ~ли;пожу́хнутьпожу́хн|ет, ~ут; pret пожу́хнул o.s.fr.ogпожу́х, ~ла, ~ло, ~ли) (тускнеть) litfarastслнó-ó-a, bliknaaði; følnaaði, falla [-tla]слнa-u-aꞋ av (утрачивать свежесть); torna [-tna]aðiupp, skorpna [skɔʂna]aði(сохнуть)
жу́чить	жу́ч|у, ~ишь, ~атipf кого-л.óvkm.lærair(d)upp á o-n(поучать); illkennair(d)o-n, knarraaðiinn á o-n(донимать)
жу́чка	plurжу́ч|ки, ~ек, ~камftlm.hundur bundin í garði(kemur av tí vanliga hundanavninumЖу́чка)
жучо́к1	Iplur~и́, ~о́в, ~а́мm1.Gen, Acc жучка́ dim avжук2.Gen, Acc жучка́(насекомое)felagsheiti fyrifýr, húsbukko.a.; ме́бель с жучко́м møblar, sum eru etnir av fýri3.Gen жучка́tlm.(в электрических пробках)heimagjørd elektrisk sikkring4.Gen жучка́tlm.(послушивающее устройство) fjald mikrofon [-Ꞌfoːn]ж0o-ir
жучо́к2	IIGen, Accжучк|а́;plur~и́, ~о́в, ~а́мmtlm.(ловкий делец) besnissaður [-Ꞌsnɪ-]глaðurнеформ.forrætningsmaður [-Ꞌraʰt-]мнепр
жэк	[жэк]м indeclжили́щно-эксплуатацио́нная (sí) конто́ра
жюри́	n indecldómsnevndж0-ir
