ш.	síшоссе́
шлюзова́ть	шлюзу́|ю, ~ешь, ~ютipf что-л.(суда) slúsaaðio-t(skip)
шлюзово́й	adjslúsu-; шлюзова́я ка́мера slúsukamar; шлюзовы́е воро́та slúsuportur
шлюпба́лка	plurшлюпба́л|ки, ~ок, ~камfdavidur [taːv-]мсогл-arмор.
шлю́пка	plurшлю́п|ки, ~ок, ~камf(stór)bátur [stœɹ-]мсогл-ar; sjalupp [-Ꞌlʊʰpː]ж0-ir(ос. на военных судах); спаса́тельная шлю́пка redningsbáturннкпроф., bjargingarbáturнп; дежу́рная спаса́тельная шлю́пка mob-báturмор.=>спусти́тьА 2
шлю́почный	adj(stór)báts- [stœɹ-]
шлю́ха	fóvkm.,illb.horaжгл-a
шля́гер	mslagari [slaːk-]ннкмгл-ari
шля́па	f1.(головной убор) hatturмсогл-ar; да́мская шля́па damuhattur [taː-]; наде́ть шля́пу fara í hatt; снять шля́пу fara úr hattinum, taka hattin av; приподня́ть шля́пу heilsaaði(við at lyfta hattin uppfrá); он без шля́пы hann er hattleysur2.fl., niðr.(о человеке) deydaжгл-a@де́ло в шля́пеhatta er í lagi
шля́пка	plurшля́п|ки, ~ок, ~камf1.dim avшля́па 12.(женская шляпа) (lítil) damuhattur [taː-]мсогл-ar3.(верхняя часть): шля́пка гвоздя́ høvd [hœtː]с0о{+}á seymi, høvd [hœtː]с0о{+}á nagla, seymhøvd [-œtː]с0о{+}, naglahøvd [-œtː]с0о{+}; шля́пка гриба́ hatturмсогл-ará hundalandi; шля́пка ги́льзы hólkurмсогл-ar(á patrónhylki)
шля́пник	mhattamakariмгл-ari
шля́пница	fhattamakariмгл-ari(konufólk)
шля́пный	adjhatta-; шля́пный магази́н hattahandil
шля́почный	adj: шля́почные грибы́ hattasopparбот.
шля́ться	ipfóvkm.rekastслнa-ó-i, sleingjastir(d), malaслнó-ó-a
шлях	m gml. Prpо шля́хе, на шляху́; plurшлях|и́, ~о́в, ~а́м(eis.шля́х|и, ~ов, ~ам) høvuðsvegurмсогл-ir, landsvegur [lan̊s-]мсогл-ir(í Ukraina og Suðurrusslandi)
шля́хта	fsøg.polskur (lág)aðalм0-ir
шля́хтич	msøg.polskur (lág)aðalsmaðurмнепр
шмат	plurшмат|ы́,~о́в, ~а́мm óvkm.bitiмгл-i, pettiсгл-i(ofta av o-m etandi)
шмато́к	Genшматк|а́; plur~и́, ~о́в, ~а́мm óvkm.bitiмгл-i, pettiсгл-i(ofta av o-m etandi)
шмель	Genшмел|я́;plur~и́, ~е́й, ~я́мm(Bombus) humlubiж0-ir
шмон	margotsíо́быск
шмона́ть	ipf(pfобшмона́ть)argotsíобыска́ть
шмо́тки	шмо́т|ок, ~камf plur kollóvkm.klæðir (одежда)сгл-iмн; óruddс0о(rusk)
шмотьё	nóvkm.síшмо́тки
шму́тки	шму́т|ок, ~камf plur kollóvkm.síшмо́тки
шмутьё	n síóvkm.шмо́тки
шмуцти́тул	msmussblaðс0о{a/ø}{0<>i}(ið verjir tittulblaðið í bók)
шмыг	predtlm.: он шмыг в дверь og so var hann uttanduraður; hann smeyg sær útum [-Ꞌtʰʊmː]
шмы́гать	ipf(pf momentшмы́гнутьшмы́гн|у, ~ешь, ~ут)tlm.1.(двигаться) smettaслнa-u-o(smúgva), smúgvaслнey-u-o; шмы́гнуть в дверь smoyggjair(d)sær útum [-Ꞌtʰʊmː]2.: шмы́гать но́сом snýsair(t)(hart)
шмы́гнуть	pf moment avшмы́гать 1
шмя́кать	ipf síшмя́кнуть
шмя́каться	ipf síшмя́кнуться
шмя́кнуть	шмя́кн|у, ~ешь, ~утpf(ipfшмя́кать)Acc óvkm.lorkaaðiВинniður (við slafsandi ljóði), lataслнæ-ó-aВинdumsa niður (við slafsandi ljóði)
шмя́кнуться	шмя́кн|усь, ~ешься, ~утсяpf(ipfшмя́каться)óvkm.aðiniður (við slafsandi ljóði) dumsaaðiniður (við slafsandi ljóði)
шнитт-лу́к	m(Allium schoenoprasum) grønleykurмсогл-s,-ir
шни́цель	mschnitzel {snitsil} [snɪʰtsɪl]м0осн
шно́бель	m jarg.(stór) nøsж0-ar{ø/a}, klyvariмгл-ariшутл.,пренебр. (nøs)
шно́ркель	msnorkil [snɔɹ̥kɪl]м0осн-s,-ar(á undirvatnsbáti)
шно́рхель	m síшно́ркель
шнур	Genшнур|а́;plur~ы́, ~о́в, ~а́мm1.(тонкая верёвка) snórurмсогл-ar, bandс0о{a/o}(бечёвка)2.el.(провод) leidningurмсогл-ar3.(запальный) fjúsс0о4.fisk.(подпуска и др.) uppstandariмгл-ari(áпо́дпуск (sí)o.tíl.) =>бикфо́рдов
шнурова́ть	шнуру́|ю, ~ешь, ~ютipf что-л1.pfзашнурова́тьзашнуру́|ю, ~ешь, ~ют(стягивать шнуром) bindaслнa-u-uo-t; шнурова́ть боти́нки binda lissur (í skóm)2.pfпрошнурова́тьпрошнуру́|ю, ~ешь, ~ют(прошивать) seymaaðio-tsaman (við at koyra band ígjøgnum)
шнуро́вка	plurшнуро́в|ки, ~ок, ~камf1.(действие;место) tað at binda (síшнурова́ть1, 2), snøringж0-ar2.(верёвочка) snórurмсогл-ar, band (бечёвка)с0о{a/o}; lissaжгл-a(á skóm) (на ботинке)
шнуро́к	Genшнурк|а́;plur~и́, ~о́в, ~а́мmsnórurмсогл-ar, (ботиночный) lissaжгл-a(á skóm); шнурки́ развяза́лись lissurnar eru farnar upp; завяза́ть шнурки́ (на ботинках) binda lissurnar
шныря́ть	ipftlm.vimsaaði, titaaði, snittaaði, snirraaði; шныря́ть глаза́ми kveitair(t)higar og hagar, skjótaслнey-u-oeyguni, rennaслнa-u-ueyguni
шов	Genшва;plurшвы́, швов, швамmseymurмсогл-s,-ir(samankoming), samankomingж0-ar(место соединения); сварно́й шов sveisiseymur; ло́пнуть по швам sprotna upp; чулки́ без шва seymaleysir sokkar;наложи́ть шов seymaaðisaman, setaur(t);ir(t)pentur í (sár); снять швы taka tráðin úr (sári), taka pentur úr sári@держа́ть ру́ки по швамstandaслнó-ó-arætt, standaслнó-ó-aí rættstøðuспорт.;трещи́т по всем швамtað losnar í súðunumперен.
шовини́зм	mchauvinisma [ʃoːviꞋnɪ-]интжгл-a; мужско́й шовини́зм manschauvinisma
шовини́ст	mchauvinistur [ʃoːviꞋnɪ-]интмсогл-ar
шовинисти́ческий	adjchauvinistiskur [ʃoːviꞋnɪ-]интсоглsk
шок	mskelkurмсогл-s,-ir, sjokkннкпроф.с0о; hvøkkurмсогл-s,-ir(от испуга и др.); не́рвный шок nervasjokkннк, nervaskelkurнп; э́то для неё большо́й шок hetta var eitt stórt sjokkннкfyri hana, hon fekk ein skelk av hesum; лече́ние шо́ком sjokkbehandling [-hanl-]ннкпроф., skelkviðgerð [-vɪtʃ-]лп
шо́кер	melektrosjokkvápn [-ˈlε-]с0о; ≈ streympistólurмсогл-ar, streympistólж0-ir
шоки́ровать	шоки́ру|ю, ~ешь, ~ютipf/pf Accsjokera [-Ꞌkʰeː-]ннкaðiВин, skelkaaðiВин
шо́ковый	adjsjokk-ннкпроф., skelk-лп=>терапи́я
шокола́д	m1.(изделие) sjokuláta [ʃoꞋklaː-], [ʃoːkʊꞋlaː-]жгл-a, sukurláta [-Ꞌlɔa-]жгл-aкн.,ред.; пли́тка шокола́да ein pláta av sjokulátu; шокола́да в пли́тках sjokuláta í plátum2.(напиток) kakao [kʰaꞋkʰaː]с0гл(drykkur)
шокола́дка	plurшокола́д|ки, ~ок, ~камmpetti av sjokulátu [ʃoꞋklaː-]; konfekt [-Ꞌfεʰkt]ж0-ir
шокола́дный	adj1.(кшокола́д) sjokulátu- [ʃoꞋklaː-], sjokuláta- [ʃoꞋklaː-]2.(о цвете) sjokulátatbrúnur [ʃoꞋklaː-]согл, sjokulátubrúnur [ʃoꞋklaː-]согл, sjokulátafarvaðurннкглaður@шокола́дное де́рево(Theobroma cacao) kakaotræ [kʰaꞋkʰaːo-]
шокотерапи́я	f síтерапи́я, шо́ковая
шо́мпол	plurшомпол|а́, ~о́в, ~а́мmlaðarstokkurмсогл-arуст.
шоп	mhandilм0осн-s,-ar(oftast við vesturlendskum sniði og vesturlendskum vørum)
шо́пинг	mshopping [ʃɔʰpː-]ж0-arнеформ.
шопинг-ту́р	minnkeypstúrurмсогл-ar;-s,-ir
шопинг-це́нтр	mshoppingcentur [ʃɔʰpːɪŋksε-]с0осннеформ.(ос. о нефарерских условиях), sølumiðstøðж0-ir
шо́ппинг	m síшо́пинг
шоппинг-ту́р	m síшопинг-ту́р
шоппинг-це́нтр	m síшопинг-це́нтр
шо́рник	msaðilmakariмгл-ari
шо́рный	adjsaðilmakara-
шо́рох	mskróvс0о
шорт-ли́ст	[шо-]Genшорт-листа́,plurшорт-лист|ы́, ~о́в, ~а́мm stuttur listi, stutt yvirlit yvir eitt úrval av fólki (í kapping o.ø.)
шо́рты	шорт, шо́ртамf plurshorts [ʃɔʂː]с0омн
шо́ры	шор, шо́рамf plurbotnurмсогл-ar(klaffur fyri eygum á rossum o.ø.); у него́ шо́ры на глаза́хfl.hann hevur botn fyri eygunumидиом.@держа́тького-л.в шо́рах {взятького-л.в шо́ры}gevaслнa-ó-io-mstutt boðидиом., havaнепрfast tamarhald áo-m
ШОС	[шос]m indeclШанха́йская организа́ция сотру́дничестваупотребляется англ. сокращениеSCO [εsː seː ˈoː]с нескл.(англ. Shanghai Cooperation Organisation) Shanghaisamarbeiðsfelagsskapurin [ʃaŋkhai-]
шоссе́	[-сэ́]n indeclhøvuðsvegurмсогл-ir{+}, landsvegur [lan̊sv-]мсогл-ir{+}
шоссе́йный	[-сэ́-]adj: шоссе́йная доро́гаsíшоссе́
шотла́ндец	Gen, Accшотла́нд|ца[-нц-];plur~цы , ~цев, ~цамmskotiмгл-i, skottariннкмгл-ari
Шотла́ндия	fSkotlandс0о{a/o}=>Но́вая
шотла́ндка	[-нк-] Iplurшотла́нд|ки, ~ок, ~камfskotiмгл-i, skottariннкмгл-ar(konufólk)
шотла́ндка	[-нк-] IIf(материя) (skotsk)ternut toy [tʰœi] (реже[tʰɔi])
шотла́ндский	[-нск-]adjskotskur [skɔsk-], [skɔʰtsk-]соглsk
шо́у	n indecl1.(представление) show [ʃɔu]ннкс0о{0<>i}проф.(sýning)2.fl.,atf.(нечто показное) show [ʃɔu]энкс0онеодобр.; полити́ческое шо́у eitt politiskt [-Ꞌlɪʰtː-] show
шоу-би́з	indecl-m tlm.showbusiness [ʃɔupɪsnɪs]ннкс0опроф.
шо́у-би́знес	indecl-mshowbusiness [ʃɔupɪsnɪs]ннкс0опроф.
шоуву́мен	[-мэн]f indeclsjónvarpsverturмсогл-ar(konufólk)
шоуме́н	[-мэ́н]mshowmaður [ʃɔʊm-]мнепр.публ.
шофёр	plurшофёр|ы, ~ов, ~амogóvkm.шофер|а́, ~о́в, ~а́мmsjaførur [-Ꞌføː-]ннкмсогл-ar, (bil)førariмгл-ari; шофёр такси́ taksasjaførur, hýruvognsførari
шофёрский	adjsjafør- [-Ꞌføː-]ннк, bilførara-
шпа́га	fkorðaжгл-а=>скрести́ть@
шпага́т	f1.(бечёвка) seglgarn [sεlkatn]с0о2.:ítr.(де́лать) шпага́т gera spagat [-Ꞌkaːt], fara niður í spagat [-Ꞌkaːt]
шпагоглота́тель	msvørðslúkariмгл-ari, sápilslúkariмгл-ari
шпа́жник	m síгладио́лус
шпаклева́ть	шпаклю́|ю, ~ешь, ~ютipf(pfзашпаклева́тьзашпаклю́|ю, ~ешь, ~ют)что-л.spartla [spaʂla]aðio-t, kitta [kʰɪ-]aðio-t(замазкой)
шпаклёвка	f1.(действие) spartling [spaʂl-]ж0-ar, kitting [kʰɪ-]ж0-ar2.(вещество) spartilс0осн; kitt [kʰɪ-]с0о(для окон)
шпа́ла	f1.(брус) timburstokkurмсогл-arundir jarnbanaskinnarum [janpaː-]2.tlm.(знак «въезд возпрещён»)ferðsluskeltið «innkoyring bannað»
шпале́ры	шпале́р, ~амf plur1.(решётки) espalier [εspaꞋʎjeː]с0гл(trærimar upp eftir veggi)2.(шеренги войск) espalier [εspaꞋʎjeː]0гл(rekkjur av hermonnum);выстра́иваться шпале́рами stilla upp í espalier3.(деревья,кусты по сторонам дороги)røð av trøum el. runnum fram við vegi4.gml.(обои) tapet [-Ꞌpʰeːt]с0о
шпана́	f oftast kollóvkm.,vanv.(хулиганы) vittuggirсгл-iмн, búllarмгл-iмн; pakkс0особир., harkaliðс0о{0<>i}собир., partaníggjс0о{0<>i}собир.(сброд,чернь)пренебр.
шпанго́ут	mspantмор.с0о
шпа́нский	adj: шпа́нская му́ха {му́шка} a) (Lytta vesicatoria) sponsk fluga; b) (пластырь) sponsk fluga (plástur)
шпарга́лка	plurшпарга́л|ки, ~ок, ~камftlm.1.(у учащихся)seðil at svika til próvtøku(við upplýsingum);по́льзоваться шпарга́лкой на экза́мене svikaaðitil próvtøku (við at brúka seðil har upplýsingar eru skrivaðir upp)2.(бумажка)pappír við røðu el.ø. skrivaðum frammandundan
шпа́рить	шпа́р|ю, ~ишь, ~ятipf1.Accошпа́ритьошпа́р|ю, ~ишь, ~ят(кипятком) skáldaаðiВин2.óvkm.(об быстром,энергичном дейтвии) drívaслнei-i-iá, koyrair(d)á; шпа́рить на гармо́шке spenna seg út at spæla upp á harmoniku; он так и шпа́рит по-ру́сски tað stendur ikki Ꞌ á at snakkaннкrussiskt hjá [tʃʰɔa]honum, hann snakkarннкrussiskt sum brentнеформ.; шпарь домо́й! skunda tær til hús!
шпа́риться	шпа́р|юсь, ~ишься, ~ятсяipf(pfошпа́ритьсяошпа́р|юсь, ~ишься, ~ятся) skáldaаðiseg
шпат	mspattс0огеол.; исла́ндский шпат íslendskt [-lεn̊st] tvíspatt; полево́й шпат feltspatt; плавико́вый шпат flusspatt
шпа́тель	m1.lækn.(медицинский инструмент) spatil [spaː-]м0осн-s,-ar2.(для шпаклёвки) spartilм0осн-s,-ar
шпенёк	Genшпенька́; plurшпеньк|и́, ~о́в, ~а́мmstiftж0-ir
шпига́т	mspygatt [spyː-]с0омор.
шпигова́ть	шпигу́|ю, ~ешь, ~ютipf(pfнашпигова́тьнашпигу́|ю, ~ешь, ~ют)1.что-л.(салом)síнашпигова́ть(салом)2.кого-л.fl.,tlm.(внушать) tyggjair(d){y/u}{+}niður í o-n, prentaaðiinn í o-n
шпик1	Im(сало) (saltað) svínafeittс0о
шпик2	IIGen, Accшпик|а́;plur~и́, ~о́в, ~а́мmtlm.,vanv.politispiónur [pʰoːliꞋtʰiː-]ннкмсогл-ar, sneytariмгл-ari(um politi); uppdagari [-Ꞌtεa-]мгл-ari, detektivur [teːtεʰkꞋtʰiː-]мсогл-ar(сыщик)
шпиль1	Imarkit.(на зданиях) spírс0о
шпиль2	IImskip.(лебёдка) spælс0о{æ/ø}(vinda við loddrøttum aksli), kappstanur [-staː-]мсогл-arмор.
шпи́лька	plurшпи́льки, шпи́лек, шпи́лькамf1.(для волос) hárnálж0-ir2.gml.(для шляп) hattanálж0-ir; prónurмсогл-ar(til hatt) (с головкой)3.(гвоздь) stiftж0-ir, stiftskrúvaжгл-a4.(вид каблука) stiletthælur [stiꞋlεʰtː-]мсогл-s,-ir;-ar5.(колкость) glósaжгл-а; отпуска́ть шпи́льки (в а́дреского-л.) skjótaслнey-u-o(o-n viðo-m), glósaaðio-n
шпина́т	(Spinacia oleracea) spinat [spiꞋnaːt]с0о
шпингале́т	m1.(оконный) sláж0-ir(til vindeygu, hurðar)2.óvkm.(о человеке) manstandurс0оснпрезр.
шпи́ндель	mtekn.spinnilм0осн
шпио́н	mnjósnariмгл-ari, spiónur [spiꞋɔun-]ннкмсогл-ar
шпиона́ж	mnjósningж0-ar, spionasja [spiːoꞋnaː-]ннкжгл-a(в пoльзу Gen - fyri Вин); промы́шленный шпиона́ж ídnaðarnjósning, industrispionasja [-Ꞌstɹiːspiːonaː-]ннк
шпио́нить	шпио́н|ю, ~ишь, ~ятipf1.(заниматься шпионажем) njósnastaði, spionera [spiːoꞋneː-]ннкaði2.за кем -л.óvkm.(выслеживать) skuggaннкaðio-n, njósnastнпaðiumo-n, útspioneraннкaðio-n
шпио́нка	plurшпио́н|ки, ~ок, ~камfnjósnariмгл-ari, spiónur [spiꞋɔun-]ннкмсогл-ar(konufólk)
шпио́нский	adjnjósnara-, spión- [spiꞋɔun-]ннк
шпио́нство	nnjósningж0-ar, spionasja [spiːoꞋnaː-]ннкжгл-a
шпиц1	Im(собака) spísshundurмсогл-ar
шпиц2	IImgml.síшпильI
Шпицбе́рген	mSvalbardс0{дат.0}, Spitsbergen [-kεn]с0{дат.0}, Svalbarð [svalpεaɹ]с0{дат.0}кн.
шпицру́тен	[-тэн]mgml.bargeilж0-arист.
шплинт	Genшпли́нтаogшплинта́msplittaжгл-aтехн., stiftж0-irтехн.
шпо́кнуть	шпо́кн|у, ~ешь, ~утpf кого-л.óvkm.1.(застрелить) skjótaслнey-u-oo-n2.(иметь половое сношение с кем-л.) fríggjaaðivið o-m, moggaaðio-mвульг., табу(um mannfólk)
шпон	m1.tekn.(лист древесины) finer [-Ꞌneːɹ]с0о(ikki samanlímað)2.prent.(в типографии) skjótingж0-arполиг.
шпо́на	f síшпон
шпо́нка	plurшпо́н|ки, ~ок, ~камf(rundur) tappurмсогл-ar, (rundur) naddiмгл-i; dyvil [tyː-]м0оснспец.(для соединеня предметов), blindnagliмгл-iспец., ред.(для соединеня предметов)
шпо́ра	f1.(металлический стержень) sporiмгл-i; дать шпо́ры коню́ spora ross, seta sporarnar í ross2.(у петуха и др.) hekilм0осн-s,-ar, hekl [hεkl]с0о, heglс0о(hjá hana)
шпо́рить	шпо́р|ю, ~ишь, ~ятipf AccsporaaðiВин, setaur(t);ir(t)sporan íВин
шпринг	mskip.springс0омор.(endi) =>постано́вка
шприц	plurшпри́ц|ы, ~ев, ~амogtlm.шприц|ы́, ~о́в, ~а́мmlækn.,tekn.sproyta [spɹœi-] (реже[spɹɔi-])жгл-a
шприцева́ть	шприцу́|ю, ~ешь, ~ютipf что.л.1.(вводить под кожу, в вену и др.) sproyta [spɹœi-] (реже[spɹɔi-])aðio-t(inn í æðr o.a.)2.(начинять) sproyta [spɹœi-] (реже[spɹɔi-])aðio-t (inn í kaku o.tíl),fylla [fɪtla]ir(t)o-t(við onkrum, kaku o.tíl.)
шприцева́ться	шприцу́|юсь, ~ешься, ~ютсяipfverða sproytaður [spɹœi-] (реже[spɹɔi-])глaður
шпрот	m(Sprattus) brislingurмсогл-ar
шпро́та	f síшпрот
шпу́лька	plurшпу́льки, шпу́лек, шпу́лькамfspoliмгл-i; нама́тывать на шпу́льку spolaaði
шпунт	Genшпунт|а́;plur~ы́, ~о́в, ~а́мm1.(выступ) plógkamburмсогл-ar; pløgingж0-ar, plógvс0о{+}(соединение)2.(свая) spunsс0о(peli o.tíl.)3.(пробка) spunsс0о, spunslс0о(í víntunnu)
шпунтово́й	adj: шпунтова́я сва́я spunspeli; шпунтова́я сте́нка spunsveggur
шпур	Genшпу́ра; plurшпу́рыogGenшпур|а́; plur~ы́, ~о́в, ~а́мmholс0о(til perlu o.a. at spreingja við), borihol [poːɹh-]с0о; бури́ть шпур bora hol (til spreinging)
шпыня́ть	ipf1.óvkm.(толкать)Acckoyrair(ir)ˈ undirВин, stumpaaðiˈ undirВин, skumpaaðiˈ undirВин2.fl., tlm.(укорять)кого-л.brigslaaðio-m o-t, kastaaðio-m o-t fyri; rýðair(d)o-m o-tum nasarидиом.(тыкать носом)
шрам	marrс0о
шрапне́ль	f1.(снаряд) shrapnel [ʃɹaʰpnεl]ж0-ir(slag av granat)2.koll(пули) shrapnel [ʃɹaʰpnεl]ж0-irсобир, granatflísar [-Ꞌnaː-]ж0-arмн3.tlm.(перловая крупа) perlugrýnс0о
Шри-Ла́нка	f1.(остров) Sri Lanka [sɹiꞋlaŋ̊ka]ж нескл.(oyggj)2.(государство) Sri Lanka [sɹiꞋlaŋ̊ka]с нескл.(land)
Шри-Ланка́	síШри-Ла́нка
шрифт	plurшрифт|ы́, ~о́в, ~а́мogшри́фт|ы, ~ов, ~амm1.(графическая форма букв) skriftж0-ir; све́тлый шрифт kløn skrift; жи́рный шрифт feit skrift; ме́лким шри́фтом við lítlari skrift; типографи́ческий шрифт prentaðir stavir; выдели́тельный шрифт tand skrift; разме́р шри́фта skriftstødd; набра́тьчто-л.жи́рным шри́фтом setao-tvið feitari skrift; выделе́ние шри́фтом tenjing av skrift2.koll(типографические литеры) skriftж0-ir, typur [tʰyː-]жгл-aмн; fonturмсогл-ar(ЭВМ)
шрифтово́й	adjskrift-; шрифтово́е выделе́ние tenjing av skrift
шт.	шту́ка stk., stykki
штаб	plurштаб|ы́, ~о́в, ~а́мogшта́б|ы, ~ов, ~амmstápurмсогл-arспец.(herleiðsla); leiðslaжгл-a, stápurмсогл-arпроф.(felag, flokkur o.a.)
штабели́ровать	штабели́ру|ю, ~ешь, ~ютpf/ipf что-л.stakkaaðio-t, stáplaaðio-t
шта́бель	plurштабел|я́, ~е́й, ~я́мogшта́бел|и, ~ей, ~ямmstápilм0осн, (fiska)stakkurмсогл-ar(солёной рыбы), (torv)luturмсогл-ir(торфа), (viðar)rankiмгл-i(древесины)
штаби́ст	m tlm.stápsoffiserurмсогл-ar
штаб-кварти́ра	f1.herm.(военного штаба) høvuðskvarterннкс0о, høvuðsstøðнпж0-ir2.fl.(главный пункт) høvuðssætiсгл-i, høvuðsstøðж0-ir, høvuðskvarterннкс0о
штабни́к	Gen, Accштабнка́; plurштабник|и́, ~о́в, ~а́мm tlm.stápsoffiserurмсогл-ar
штабно́й	Iadjstáps-IImstápsoffiserurмсогл-ar
штаб-офице́р	mgml.stápsoffiserurмсогл-ar(yvirmaður við tign frá majori og uppeftir)
штабс-капита́н	m gml.stápskapteinurмсогл-ar(yvirmaður í tign niðan fyri kaptein)
штаг	mstak [staːk]мор.с0о
штаке́тник	m1.koll(доски) stakittfjalar [-Ꞌkʰɪʰt-]ннкж0-ir{ø/a};-ar{ø/a}мнпроф., stakittrimar [-Ꞌkʰɪʰt-]ннкж0-arмнпроф.2.(забор) stakitt [-Ꞌkʰɪʰtː]ннкж0опроф., rimagarðurмсогл-ar{a/ø}кн.
шта́мбовый	adjvið longum stelki, langstelkaðurглaður; шта́мбовые ро́зы langstelkaðar rósur, rósur við longum stelki
штамм	mbiol.stammaжгл-a(av bakterium,virus o.ø.); штамм лосо́ся laksastamma
штамп	m1.(штемпель) stempulс0осн2.(форма) stansaжгл-a3.fl.(шаблон) klisjé [kʰlɪꞋʃeː]энкж0-irпренебр.(fortugd hugmynd)
штампова́льный	adjstansi-;
штампо́ванный	Ipartic avштампова́тьIIadj1.tekn.(изготовленный штамповкой) stansaðurглaður2.fl.(шаблонный) banalur [-Ꞌnaː-]ннксогл(банальный), fortugdur [-Ꞌtʰʊ-]согл(избитый, о высказываниаях и др.), klisjékendur [kʰlɪꞋʃeː-]энксоглпренебр.
штампова́ть	штампу́|ю, ~ешь, ~ютipf что-л.1.pfзаштампова́тьзаштампу́|ю, ~ешь, ~ют,pfпроштампова́тьпроштампу́|ю, ~ешь, ~ют(штемпелевать) stemplaaðio-t2.pfнаштампова́тьотштампу́|ю, ~ешь, ~ют, отштампова́тьотштампу́|ю, ~ешь, ~ют(изготовлять при помощи штампа) stansaaðio-t3.pfзаштампова́тьзаштампу́|ю, ~ешь, ~ютfl.(делать по трафарету) geraнепрo-tá samlibandi, spýtair(t)o-tút
штампо́вщик	m arbeiðariмгл-ari, ið fæst við stansing
шта́нга	f1.tekn.(стержень) stongж0-ur{o/e}2.(атлетическая) vektstongж0-ir(jarnstong við vektum); занима́ться шта́нгой íðka vektlyfting [-lɪʰtː-]3.(футбольная) tvørliggjariмгл-ari,tvørstongж0-ur{o/e}(горизонтальная) (í máli); málstongж0-ur{o/e}(вертикальная)
штангенци́ркуль	mskjótilæraжгл-a
штанги́ст	mvektlyftari [-lɪʰtː-]мгл-ari
штанда́рт	f1.(флаг главы государства) flaggс0о{a/ø}hjá ríkisleiðara (kongi,forseta)2.søg.(знамя кавалерийского полка) fániмгл-ihjá reiðliði
штани́на	fbrókж0-ur{ó/ø}
штани́шки	штани́ш|ек, ~камfstuttar buksurжгл-aдистр
штаны́	штан|о́в, ~а́мm plurbuksurжгл-aдистр; две па́ры штано́в tvinnar buksur; дли́нные штаны́ langar buksur; коро́ткие штаны́ stuttar buksur; наложи́ть {класть} в штаны́óvkm., óf.a) (испражняться в штаны) geraнепрí buksurnar, skítaслнei-i-ií buksгрубо, kukkaaðií buksдетск.;b) (от страха) veraслнa-ó-eum at skíta í buksurnarгрубо(av ótta)
шта́пель	m slag av syntetiskum tægrstoffi
штат1	Im(часть государства) statur [staː-]мсогл-s,-ir(partur av einum landi); штат Пенджа́б staturin Pundjab [pʰʊɲtʃap]; штат Теха́с staturin Texas [tʰεʰksas]; Шта́ты (США)tlm.USA [uː εsː Ꞌaː], Amerika [-Ꞌmeː-]@генера́льные шта́тыsøg.generalstatirnir [keːniꞋraːlstaː-]мсогл-s,-irмн(stættating í summum londum í miðøld og seinni) =>коле́блющийся
штат2	IIm1.(личный состав) starvsfólk(ið) с0о(опр), personali(ð) [pʰεʂːˈˈaː-]ннксгл-i(опр), stápurмсогл-arпроф.(ос. о постоянной или особой группе); arbeiðsfólkið с0омн опр(б.ч. рабочие на заводах и т.п.); быть в шта́те vera í føstum starvi, vera fastansetturннк; быть не в шта́тетжvera freelancari [fɹiːlan̊s-], arbeiða freelance [fɹiːlan̊s-] (о журналистах и др.); зачи́слитького-л.в штат setaur(t);ir(t)o-ní fast starv, fastansetaннкur(t);ir(t)o-n; с це́лым шта́томGenvið einum heilum hópiav Дат2.oftast plur síшта́тноерасписа́ние (síшта́тный1)@ ему́ по шта́ту поло́жено...hann hevur rætt til ... =>сократи́ть2,сократи́ться2,сокраще́ние2
штати́в	mstativ [staꞋtʰiːv]ннкс0о; fóturмнепр(ножка,подставка)
шта́тник	mslangamerikanari [ameːɹiꞋkʰa-]мгл-ari
шта́тный	adj1.(кштат II 1) fasturсогл{a/ø}(um starvssetan), fastansetturннксогл; шта́тный сотру́дник fastur medarbeiðari; на шта́тной до́лжности í føstum starvi, fastansetturннк; шта́тное расписа́ние starvsfólkayvirlit; шта́тный идео́логatf.breyðideologur [-iteːoloːk-]2.fakm.: шта́тная ситуа́ция reglulig støða, vanlig støða; рабо́тать б шта́тном режи́ме arbeiða sum ætlað, arbeiða eftir ætlanini
шта́тский	Iadjsivilur [siꞋviː-]согл; в шта́тском {пла́тье} sivilklæddur [siꞋviː-], í sivil, í vanligum klæðum (ikki í herklæðum)IImsivilur [siꞋviː-]мприл(ikki hermaður)
шта́тское	с: в шта́тском sivilklæddur [siꞋviː-], í sivil [siꞋviː-], í vanligum klæðum (ikki í herklæðum)@искусствове́д {экономи́стo.s.fr.} в шта́тскомsivilklæddur KGB-agentur,ið letst vera listafrøðingur,búskaparfrøðingur o.s.fr.
ште́вень	[штэ́-]Genште́вн|я;plur.~и, ~ей, ~ямmstevniсгл-i
ште́кер	[штэ́-]mel.stikkariмгл-ari
ште́ккер	[штэ́-]m síште́кер
штемпелева́ть	[штэ́-]штемпелю́|ю, ~ешь, ~ютipf(pfпроштемпелева́тьпроштемпелю́|ю, ~ешь, ~ют)что-л.(ставить штамп) stemplaaðio-t
ште́мпель	[штэ́-]plurштемпел|я́, ~е́й, ~я́мogште́мпел|и, ~ей, ~ямmstempulс0оснпочто́вый ште́мпель poststempul
ште́мпельный	[штэ́-]adjstempul-; ште́мпельная поду́шка stempulpúta
