Н	нью́тонmnewton [ɲjʉutʰɔn]ж0-ir
но́готь	Genно́гтя;plurно́гти, ногт|е́й, ~я́мmneglж0-ir, naglurмнепр@до ко́нчиков ногте́йút í odd og eggидиом.;с {от} млады́х ногте́йfrá barnsbeini [pan̊sp-];к но́гтю прижа́ть {взять}кого-л.óvkm.fáaслнe-i-io-nat akta =>врасти́,куса́ть1
НОД	m indecl, mНациона́льное освободи́тельное движе́ние Tjóðskaparliga frælsisrørslan (russiskur høgravendur politiskur felagsskapur)
Но́ев	adj=>ковче́г@
нож	Genнож|а́;plur~и́, ~е́й, ~а́мmknívurмсогл-ar(тж о режущем инструменте); столо́вый нож borðknívur@нож в спи́нуein knívur í ryggin;они́ на ножа́хtað er kríggj teirra millum [-tl-]; э́тоему́ нож о́стрыйhetta er ein pína fyri hann;идти́ {лечь} под ножleggja seg undir skurð;приста́ть с ножо́м к го́рлук кому-л.óvkm.gangaслнe-i-iá o-n, júkaaðiá o-n=>выкидно́й,заре́зать2,консе́рвный,складно́й,точи́ть@
нож-ба́бочка	Genножа́-ба́бочки;plurножи́-ба́бочки, ноже́й-ба́бочек, ножа́м-ба́бочкамmbutterfly-knívur [pɔʰtːεɹflai-]мсогл-ar
ножево́й	adjknívs-
но́женька	plurно́же|ньки, ~нек, ~енькамf dim, kel. tilнога́
но́жик	m dim avнож
но́жичек	Genно́жичка; plurно́жичк|и, ~ов, ~амm dim tilно́жик
но́жка	plurно́ж|ки, ~ек, ~камf1.dim avнога́2.(рюмки и др.) fóturмнепр(á glasi o.ø.)3.plant.(стебель) stelkurмсогл-ar, leggurмсогл-ir4.(циркуля и т.п.) beinс0о(á passara o.tíl.) =>ко́зий@,одёжка@,подста́вить@,рожо́к@
но́жницы	f plur1.(инструмент) saksurмсогл-ar; садо́вые но́жницы havasaksur [haː-]2.fl.(разрыв) gloppс0о; ósamsvarс0о(несоответствие)
ножно́й	adjfót-; ножна́я ва́нна fótbað; ножно́й то́рмоз fótbremsa
но́жны	но́жен, но́жнамf plurslíðriмгл-i@вложи́ть меч в но́жныhátíð.stingaнепрsvørðið í slíðrarnar
ножны́	ножо́н, ножна́мf plurgml.síно́жны
ножо́вка	plurножо́в|ки, ~ок, ~камfjarnsag [jansεa]ж0-ir(для металла)
ноздрева́тость	ftað at vera holutur, poknutur; feiminnsíноздрева́тый
ноздрева́тый	stfноздрева́т, ~а, ~о, ~ыadjholuturсогл(eis. um ost o.tíl.), poknuturсогл; feiminсоглосн(о снеге,)
ноздря́	plurно́здри, ноздр|е́й, ~я́мfnasagluggiмгл-i@ноздря́ в ноздрю́tlm.øksl móti øksl, síð um síð
Ной	mbíbl.Nóaм нескл.
нок	mnokkiмгл-i
нока́ут	mknockout [nɔʰkꞋaut]м0-ar(опр-ur)
нокаути́ровать	нокаути́ру|ю, ~ешь, ~ютipf/pf кого-л.sláaслнó-ó-io-nút, knockouta [nɔʰkꞋauta]aðio-nспец.
ноко́тница	f(Squalus acanthias) hávurмсогл-ar
ноктю́рн	mnokturna [-Ꞌtʰʏ-]жгл-a
нолево́й	adj síнулево́й
ноль	Genноля́m1.(число) nullс0о; в де́сять ноль-ноль klokkan tíggju null-null; они́ вы́играли со счётом два - ноль teir vunnu tvey - null; но́ль гра́дусов null gradir [-aː-]ннк, null stigнп; пять гра́дусов ни́же ноля́ fimm gradir [-aː-]ннкundir null, fimm kuldastigнп; на ноле́ á null (um vísarar o.tíl.) (о стрелке прибора)2.(о чём-л. бесконечно малом) eingin; в её рабо́те бра́ка ноль tað eru eingi brek í arbeiðnum hjá [tʃʰ-] henni; на́ши ша́нсы равны́ нолю́ vit hava ongar kjansir; vit hava null kjansirнеформ.; он для неё ноль hann er sum luft fyri hana; она́ на него́ ноль внима́ния hon legði [lεijɪ] yvirhøvur [-Ꞌhøː-] ikki merki til hansara3.(о ничтожном человеке) nullс0о(um fólk), eitt einkiс нескл.@ноль без па́лочкиnullс0о(eis. um um fólk), eitt einkiс нескл.;начина́ть с ноля́byrja frá ongum, byrja á berum;свести́ к нолю́gera til einkis;стричь под нольklippa snøggan, snøggklippa;на {в} но́леóvkm.sørurсогл(við ongum pengum), pengaleysurсогл
Нольсё	1.m indecl(остров) Nólsoyж0-ar{+}; Nólsoygginж0-ar{+}опр.; на о́строве Нольсё á Nólsoynni [nœl̥sɔi̯tnɪ]опр.2.m(посёлок) Nólsoy [nœl̥sɪ]ж0-ar(bygd); в (посёлок) Нольсё til Nólsoyar [nœl̥si:jaɹ]; в (посёлке) Нольсё í Nólsoy [nœl̥sɪ]
Нольсё-фьо́рд	mNólsoyarfjørður [nœl̥si:jaf-]мсогл-ir{ø/a/i}{+}; в Нольсё-фьо́рде í Nólsoyarfirði
номенклату́ра	f1.(совокупность,перечень названий) frøðiheitiсгл-iмн; skrá{+}ж0-iryvir frøðiheiti (перечень); nomenklaturur [-Ꞌtʰuː-]интмсогл-arспец.2.koll,alm.(номенклатурные работники) ≈ høgir embætismennмнепрмн; nomenklatura [-Ꞌtʰuː-]жгл-a(;0-ir)спец.(о советских условиях)
номенклату́рный	adj1.(кноменклатура 1) frøðisheiti-, nomenklatur- [-Ꞌtʰuːɹ-]2.(кноменклатура 2): номенклату́рный рабо́тник ≈ høgur embætismaðurмнепр
номенклату́рщик	mtlm.o-r, ið hoyrir til nomenklaturuna (síномнеклату́ра2)
но́мер	plurномер|а́, ~о́в, ~а́мm1.(число) nummarс0o{+}; но́мер до́ма húsanummar; у́лица Ле́нина, дом но́мер два Leningøtan (nummar) tvey; но́мер телефо́на telefonnummar [-Ꞌfoːn-]; по поря́дку номеро́в í talrøð2. (планка,ярлык) nummarс0o{+}(merki, seðil o.a.); nummarspjaldurс0осн{a/ø}(бирка,планка с номером;об автомашинеофиц.); nummarplátaжгл-a(планка с номером автомашины)3.tlm.(размер) nummarс0о{+}, støddж0-ir; он но́сит боти́нки но́мер 42 hann brúkar nummar 42 í skóm, hann brúkar skógvar nummar 424.(комната в гостинице) verilsiннксгл-iпроф., kamarс0о{a/ø}{+}(á hotelli)5.(газеты) nummarс0o{+}(blað), eintakс0о{a/ø}(экземпляр); вчера́шний но́мер (газеты) blaðið frá í gjár; ма́йский но́мер (журнaла) maiheftiðсгл-iопр., mainummarið (av tíðarriti)6.(часть концерта и т.п.) nummarс0o{+}(á konsert o.tíl.)7.óvkm.(поступок) skálkapussс0o, skálkabragdс0о{a/ø}, neisж0-ir@э́тот но́мер не пройдётóvkm.hatta gongur ikki; hasum sleppur tú ikki væl frá;но́мер оди́нnummar eitt (tað mest týðandi);вот так но́мер!halga trý!; dekan fari!;пусто́й но́мерóvkm.sum einki kemur burtuúr [-Ꞌʉuɹ] =>заво́дский,коро́нный@,набра́ть5,припи́ска1,регистро́вый
номерно́й	adjnummar-;номерно́й знак nummarplátaжгл-a, nummarspjaldurс0о{a/ø}офиц.
номеро́к	Genномерк|а́;plur~и́, ~о́в, ~а́мm1.dim avно́мер 42.(в гардеробе и др.) nummarс0о{+}(merki,í bíðirøð o.a.); гардеро́бный номеро́к garderobumerki [-Ꞌroː-]
номина́л	máljóðandi virðiсгл-iфин.
номинали́зм	mnominalisma [-ˈlɪ-]жгл-a
номинали́ст	mnominalistur [-ˈlɪ-]мсогл-ar
номина́льно	advav navni, nominelt [-ˈnε-]ннк, sum skal eitast at vera
номина́льный	stfномина́лен, номина́льн|а, ~о, ~ыadj1.bert lffíggj.(обозначенный на чём-л.) nominellur [-Ꞌnεlː-]соглфин., áljóðandiглandiфин.2.bert lftekn.: номина́льная мо́щность nominell [-Ꞌnεlː-] effekt [-Ꞌfε-]техн.3.(не фактический) av navni; sum skal eitast at vera
номина́нт	o-r,ið er innstillaður til o-t(heiðursløn o.tíl.)
номина́тор	mo-rsum instillar Вин, o-r, sum nominerar Вин
номини́ровать	номини́ру|ю, ~ешь, ~ютipf/pfкого-л.(на что-л.) stilla [-tla]aðio-ninn (til o-t),innstilla [-tla]aðio-n(til o-t)(til heiðursløn o.tíl.), nominera [-ˈneˑ]интaðio-n sum o-r(til o-t)
номини́роваться	номини́ру|юсь, ~ешься, ~ютсяipf/pf(на что-л.) verða innstillaður [-tl-]глaður(til o-t) (til heiðursløn o.a.), verða nomineraður [-ˈneˑ-]интглaður(til o-t) (til heiðursløn o.a.)
но́не	advóvkm.síны́не
но́нешний	adjóvkm.síны́нешний
нонконформи́зм	mnonkonformismaжгл-a
нонконформи́ст	mnonkonformisturинтмсогл-arред.
нонпаре́ль	fnonpareille [nɔŋkpʰaꞋrεi]ж нескл.полиг.
нонпро́фит	m, m indeclókommersiellur felagsskapurмсогл-ir, ikki kommersiellur [-ˈεlː-] felagsskapurмсогл-ir; non-profit [ˈnɔnpʰɹoˌfɪʰtː]ннкпроф.felagsskapurмсогл-ir, almannagagnligur felagsskapurмсогл-ir
нонпро́фитный	adjókommersiellurсогл, ikki kommersiellur [-ˈεlː-]согл; нонпро́фитная организа́циятжalmannagagnligurглigurfelagsskapur, non-profit [ˈnɔnpʰɹoˌfɪʰtː]ннкнескл проф.felagsskapur
но́нсенс	[-сэ-]mbókl.tvætlс0о, møsnс0о; vitloysi [vɪʰt-]сгл-i, høpisloysiсгл-i(бессмыслица); nonsensэнкс0о{0<>i}
нон-сто́п	[нон-]Im jarg. o-t, sum varir út í eitt(tiltak o.a.)IIadj indecl(безостановочный, осуществляемый без перерыва) sum er uttan steðg [stεkː], sum er uttan íhald, sum er uttan slit, non-stop [nɔnstɔʰpː]нескл неформ.IIIadv (безостановочно, без перерыва) uttan seðg [stεlː], uttan íhald, , uttan slit, non-stop [nɔnstɔʰpː]не(форм.; рабо́тать нон-сто́п arbeiða uttan slit, arbeiða non-stopнеформ.
нон-фи́кшен	m indecldokumentarbókmentir [-ˈtʰaːɹ-]нпж0-irмн, dokumentarlitteraturur [-ˈtʰaːɹ-]ннкмсогл-ar, heimildarbókmentirлпж0-irмн
нон-фи́кшн	m indecl síнон-фи́кшен
но́нче	advóvkm.síны́нче
нора́	Accнору́ogно́ру;plurно́р|ы, ~, ~амf1.(жилище животного) holaжгл-a(sum djór,fuglur heldur til í), bøliсгл-i(в форме норы)2.atf.(о тёмном,тесном помещении) holaжгл-a(vánaligt hús), kurpaliсгл-i(тесное помещение)
Норве́гия	fNoregс0оофиц.(часто произносится[nɔɹːa]и склоняется как следующее слово), Norraс нескл.неформ.
норве́жец	Gen, Accнорве́жц|а;plur~ы, ~ев, ~амmnorðmaðurмнепр
норве́жка	plurнорве́ж|ки,~ек, ~камmnorðmaðurмнепр(konufólk)
норве́жский	adjnorskurсоглsk; норве́жский язы́к norskt [nɔʂt]сприлskt=>ома́р
Норве́жское мо́ре	nNorskahaviðс0о{a/ø}опр.
норд	mskip.1.(север) norðurс0осн; на норд í ein norðan (курс); norðureftir [-tː-]; с но́рда norðaneftir [-tː-]2.(ветер) norðanж нескл.
норд-ве́ст	mskip.1.(северо-запад) útnyrðingur [ʏʰtnɪrɪnk-]мсогл-ar2.(ветер) útnyrðingur [ʏʰtnɪrɪnk-]мсогл-ar
норд-ве́ст-тень-ве́ст	mskip.vesturhallur [-tl-] útnyrðingur [ʏʰtnɪr-]мсогл-ar
норд-ве́ст-тень-но́рд	mskip.norðurhallur [-tl-] útnyrðingur [ʏʰtnɪr-]мсогл-ar
Но́рдкап	mNorðkap [-kʰaʰpː]м0{дат.0}
Нордка́п	síНо́рдкап
но́рд-норд-ве́ст	mskip.útnyrðingur [ʏʰtnɪr-]мсогл-arꞋ norðan
но́рд-норд-о́ст	mskip.landnyrðingur [lanːɪrɪ-]мсогл-arꞋ eystan
но́рдовый	adjskip.norður-
норд-о́ст	mskip.1.(северо-восток) landnnyrðingur [lanːɪrɪnk-]мсогл-ar2.(ветер) landnnyrðingur [lanːɪrɪnk-]мсогл-ar
норд-о́ст-тень-но́рд	mskip.norðurhallur [-tl-] landnyrðingur [lanːɪrɪ-]мсогл-ar
норд-о́ст-тень-о́ст	mskip.eysturhallur [-tl-] landnyrðingur [lanːɪrɪ-]мсогл-ar
но́рд-тень-ве́ст	mskip.vesturhallur [-tl-] norðurс0осн
но́рд-тень-о́ст	mskip.eysturhallur [-tl-] norðurс0осн
но́рка1	Iplurно́р|ки, ~ок, ~камf dim avнора́
но́рка2	IIplurно́р|ки, ~ок, ~камf1.(Mustela vison) minkurмсогл-ar2.(мех) minkurмсогл-ar(skinn), minkaskinnс0о
но́рковый	adj1.(кно́рка II 1) minka-2.(из меха норки) mink(a)-; но́рковая шу́ба minkpelsur
но́рма	f1.(общепринятое правило) normurмсогл-ar2.(установленная мера,размер) normurмсогл-ar; normalur [-Ꞌmaː-]мсогл-arспец.(средняя величина)3.шахм.normurмсогл-ar(í talvi); вы́полнить но́рму fáaслнe-i-iein norm@войти́ {прийти́} в но́рмуkoma aftur [aʰtː-] í tað gamla lagið; онв но́рмеtlm.hann er sum vant; hann er, sum hann plagar
нормалёк	predjargon,skemt.(tað er) fínasta slagнеформ., (tað er) fínar greiðurнеформ., (tað er) o.k. [ɔuꞋkʰεi]ннк
нормализа́ция	fnormalisering [-maːliꞋseː-]ж0-ar
нормализи́ровать	нормализи́ру|ю, ~ешь, ~ютipf/pf síнормализова́ть
нормализова́ть	нормализу́|ю, ~ешь, ~ютipf/pf Accnormalisera [-maːliꞋseː-]aðiВин
норма́ль	fmat.normalur [-Ꞌmaː-]мсогл-arмат.
норма́льно	Iadv1.(общепринято) normalt [-Ꞌmaː-]2.tlm.(так,как полагается) sum (tað) eigur at veraIIpredóvkm.(tað er) gott, (tað er) ikki so galið, (tað er) ikki verri enn ilt; ты как? - норма́льно! hvussu hevur tú tað? - ikki so galið!; einki at snakka umIIIinteróvkm.hygga síggj, (tað er) ikki so galið
норма́льность	f normalitetur [-liˈtʰeː-]ннкмсогл-s,-irпроф., rættvorðinskapurмсогл-irкн.
норма́льный	stfнорма́лен, норма́льн|а, ~о, ~ыadj1.(соответствующий нормам) normalur [-Ꞌmaː-]согл(sum er sbr. normum)2.(хороший, правильный) normalur [-Ꞌmaː-]согл, sumo-teigur at vera3.(психический здоровый) normalur [-Ꞌmaː-]согл; он не совсе́м норма́льный hann ikki heilt normalur; hann er ikki rættsiktaður; hann er ikki heilt í ordanнеформ., пренебр.; hann er ikki, sum hann eigur at vera
Норма́ндия	fNormandíið [-Ꞌtʊijɪ]с0оопр., Normandí [-Ꞌtʊi]лпс0о
норма́нны	m plursøg.normannar [-Ꞌma-]мгл-iмнист., normannarar [-Ꞌma-]мгл-ariмнист.
норма́нский	adjsøg.normanniskur [-Ꞌma-]соглskист., normannara- [-Ꞌma-]ист.
нормати́в	mnormurмсогл-ar, standardurмсогл-ar
нормати́вный	stfнормати́в|ен, ~на, ~но, ~ныadj1.(установленный в соответствии с нормативами) ásetturсогл, fyriskipaðurглaður2.(устанавливающий нормы) normativurсоглспец.=>НД
нормирова́ние	nnormering [-Ꞌmeː-]ж0-ar; standardisering [-Ꞌseː-]ж0-ar(стандартизация); skamtanж0-ir(продуктов,товаров)
норми́рование	síнормирова́ние
нормиро́ванный	Ipartic avнормирова́тьIIadjnormeraður [-Ꞌmeː-]глaður; нормиро́ванный рабо́чий день arbeiðsdagur við fastari arbeiðstíð
норми́рованный	adj síнормиро́ванный
нормирова́ть	нормиру́|ю, ~ешь, ~ютipf/pf что-л.normera [-Ꞌmeː-]aðio-t; standardisera [-Ꞌseː-]aðio-t(стандартизировать); skamtaaðio-t(о продуктах)
норми́ровать	норми́ру|ю, ~ешь, ~ютipf/pf síнормирова́ть
нормиро́вка	f síнормирова́ние
нормиро́вщик	m arbeiðsfólk, ið fæst við normering
нормировщица	f arbeiðsfólk, ið fæst við normering(konuolk)
но́рный	adj1.(живущий в норе) sum livir í holu (um djór)2.(о собаке) sum jagstrar í holum (um hund)
но́ров	m1.tlm.treiskniсгл-i(упрямство); ráðaríkiсгл-i(своеволие); челове́к с но́ровом treiskt [tʰrɔʰkst] fólk, stívrent fólk2.gml.síнрав1@что (ни) го́род, то но́ров, что (ни) дере́вня, то обы́чайorðt.sær er siður á landiпосл.
норови́стый	stfнорови́ст, ~а, ~о, ~ыadjtlm.treiskurсоглsk, stívrendurсогл(упрямый); ráðaríkurсогл(своевольный)
норови́ть	норовлю́, норов|и́шь, ~я́тipf + inftlm.(стремиться) stríðastir(d)fyri at + инф., strembaaðieftir[εʰtː-]at + инф.; roynair(d)at + инф.(пытаться)
норово́й	adj síно́рный
но́рочий	adj síно́рковый
нос	Genно́са, но́су, Prpо но́се, на {в} носу́;plurнос|ы́, ~о́в, ~а́мm1.(орган) nøsж0-ar{ø/a}2.(клюв) nevс0о{+}(á fugli)3.(судна,самолёта) gronж0-ir(á skipi,flogfari), stevniмгл-i(судна,лодки); nøsж0-ar{ø/a}(á flogfari) (самолёта); bógvurмнепр;мсогл-ar{+}(á skipi) (у судна,передняя часть); framrongж0-ur{o/a-e}, framstavnurмсогл-ar(у лодки)4.(носок) trónurмсогл-ar(á skógvi)5.(носик) túturмсогл-ar(á ílati)6.(мыс) nesс0о;с0о{+}(í nøkrum staðanøvnum í norðasta Russlandi)@держа́ть нос по ве́труveraслнa-ó-eein vingliskøltur; ≈ veraслнa-ó-esum tongul í brimiпог.,пренебр.;нос к но́суandlit [anl-] til andlits [anl-];быть на носу́tlm.vera fyri hond, stundaaðitil;пе́ред но́сом {по́д носом}у кого-л.beint framman fyri nøsiniá o-m;из-под но́сау кого-л.beint framman fyri nøsiniá o-m;с но́са {но́су}tlm.frá hvørjum;на́ носtlm.upp á hvønn; hvørjum, til hvønn;ве́шать носveraслнa-ó-eí ringum lag;не ви́деть да́льше своего́ но́саikki síggja fram um nøsina á sær sjálvum;оста́витького-л.с но́сомlumpaaðio-n;оста́ться с но́сомverðaслнa-ó-eso nakkalangurидиом.; (vera) snópinсоглосн, (vera) nipinсоглосн;подня́ть носkastaaðiupp á nakkaидиом.;показа́ть нос(где-л.) støkkaслнa-u-oinn (onkustaðni);пока́зывать носкому-л. seta tummilfingurin móti nøsini og við hinum fingrunum spreddum(sum merki um ósemju o.a.,fyri at arga o.a.) =>бу́льбовый,води́ть@,вороти́тьII @,задра́ть@,клева́ть@,ко́нчик,кровотече́ние,кровь1,крути́ть@,моро́з@,натяну́ть@,сова́ть@,ты́катьI @,утере́ть@
носа́стый	stfноса́ст, ~а, ~о, ~ыadjtlm.við stórari nøs, nasastórurсогл
носа́тик	mtlm.fólkс0оvið stórari nøs
носа́тый	stfноса́т, ~а, ~о, ~ыadjtlm.við stórari nøs, nasastórurсогл
носа́ч	Gen, Accносач|а́;plur~и́, ~е́й, ~а́мmtlm.fólkс0оvið stórari nøs (человек); nasastórt djórс0о(животное); fuglurмсогл-arvið stórum nevi (птица)
но́сик	m1.dim avнос 1, 22.(чайника и др.) túturмсогл-ar(á kannu o.tíl.)
носи́лки	носи́л|ок, ~камplurbøraжгл-a; санита́рные носи́лки sjúkrabøra [ʃʉuka-]
носи́льный	adj: носи́льное бельё undirklæðir; носи́льные ве́щи klæðir,o-rer í
носи́льщик	mberariмгл-ari
носи́тель	m1.чего-л.bókl.(тот,кто наделён чем-л.)o-r, ið bero-t(hevur við sær o.a.);носи́тель но́вых иде́й umboð fyri nýggjum hugskotum; носи́тель ру́сского языка́o-r,ið tosar russiskt (sum móðurmál), russisktalandiмприл; носи́тель да́нныхteld.datamedium [taː-]с0-um2.(инфекции и др.)o-r, ið bero-t(smittu o.tíl.); носи́тель зара́зы smittuberiмгл-i3.(ракета) berirakettж0-ir
носи́ть	ношу́, но́с|ишь, ~ятAccAindef síнести́ABipf1.что-л.(об одежде и др.) veraслнa-ó-eí o-m, gangaслнe-i-ií o-m, gangaслнe-i-ivið o-m, brúkaar(t)o-t(um pløgg o.tíl.); он но́сит очки́ hann gongur við brillum, hann brúkar brillur; носи́ть кольцо́ на па́льце havaнепрring á fingrinum, ganga við ringi á fingrinum; носи́ть дли́нные во́лосы havaнепрlangt hár; носи́ть бо́роду havaнепрskegg2.что-л.(имя,название) beraслнa-ó-oo-t(navn o.tíl.); она́ но́сит фами́лию му́жа hon hevur eftirnavnið [εʰtː-] hjá [tʃʰ-] manninum3.что-л.(характеризоваться) beraслнa-ó-omerkium o-t; носи́ть следы́чего-л.bera merkiav o-m4.tlm.(быть беременной) veraслнa-ó-evið barn [-tn], veraслнa-ó-eupp á Ꞌ vegin5.чем-л.óvkm.(тяжело дышать) tivaaði(við at blása bringu el. a. út og inn)@носи́тького-л.на рука́хberaслнa-ó-oo-ná hondumидиом., beraслнa-ó-oo-ná lógvumидиом.;едва́ {е́ле} но́ги но́сяткого-л. o-rfær valla [-tla] staðið á fótunum =>ору́жие,отпеча́ток3,решето́@,хара́ктер2
носи́ться	ношу́сь, но́с|ишься, ~ятсяАindef1.síнести́сьI 12.: носи́ться взад и вперёд tuskaaðiaftur [aʰtː-] og framBipf1.(о ткани,одежде) haldaслнe-i-ivæl (um klæðir,skógvar)2.с Insatf.(уделять много внимания) geraнепр(ov) nógvburtur úr[-Ꞌʉuɹ]Дат, geraнепрnógv hóvastákburtur úr[-Ꞌʉuɹ]Дат
но́ска	f1.(кноси́ть B 1) burðurмсогл-ir, tað at bera; tað at ganga í (klæðum o.tíl.)2.(кнести́ II) verpingж0-ar
носки́	m plur(singносо́кGen носка́) hosurжгл-aмн(í longd ikki upp um knøini); sokkarмсогл-arмн(б.ч. для женщин); hálvhosurжгл-aмн(тёплые,шерстяные); в одни́х носка́х á leistum
но́ский1	Istfно́сок, носка́ogно́ска, но́ск|о, ~иadj(прочный) haldgóður [halk-]гл{+}, slitsterkurсогл(um klæðir o.tíl.)
но́ский2	IIstfно́сок, но́ска, но́ск|о, ~иadj(о домашних птицах) sum verpur væl; но́ская ку́рица góð verpingarhøna
носово́й	adj1.(кнос 1) nasa-; nev- (о клюве); носова́я по́лость nasahola; носово́й плато́к lummaturrklæði2.mál.(образующийся в носу;о звуках) nasa-, nasal- [-Ꞌsaːl-]проф.; носово́й звук nasaljóð, nasalljóð [-Ꞌsaː-]проф., nasalur [-Ꞌsaː-]мсогл-arпроф.3.(у судна) bóg-; fram-; носова́я па́луба fordekk, framdekk; носова́я часть су́дна forskip =>лацпо́рт,подру́ливающий
носогло́тка	plurносогло́т|ки, ~ок, ~камfnasasvølgrúmс0о
носогре́йка	plurносогре́йки, носогре́ек, носогре́йкамftlm.stúgvurмсогл-ar{+}, knaviмгл-i(stutt pípa)
носо́к1	Im síноски́
носо́к2	IIGenноск|а́; plur~и́, ~о́в, ~а́мm1.dim avнос 1, 2; носо́к ла́пы я́коря oddurмсогл-ará akkersflíggi2.(передняя часть ступня,чулка) táжнепр(fremsti partur á hosu,fóti,skógvi); trónurмсогл-ar(á fótbúna) (обуви); на носка́х á tá
носопы́рка	plurносопы́р|ки, ~ок, ~камfskemt.,kel.nøsж0-ar{ø/a}
носоро́г	m(сем. Rhinocerotidae) nasahorn [-tn]ннкс0о, nashyrningur [-tn-]нпмсогл-ar
носо́чный	adihosu-
ностальги́ровать	ностальги́ру|ю, ~ешь, ~ютipf/pf по чему-л.tlm.følair(d)nostalgi [-Ꞌkiː-]eftir[εʰtː-]o-m
ностальги́ческий	adjnostalgiskur [-Ꞌstalk-]интсоглsk, afturtráandi [aʰtː-]лпглandi
ностальги́я	f1.bókl.(тоска по родине) heimlongsilм0осн-s,-ar, heimlangtanж0-irкн., heimtráж0-irкн.2.по чему-л.tlm.(тоска о прошлом,пережитом и т.п.) nostalgi [-Ꞌkiː]интж0-ir;с0оeftir[εʰtː-]o-m, afturtrá [aʰtː-]лпж0-ireftir[εʰtː-]o-m
НОТ	[нот]f indeclнау́чная организа́ция труда́ rationalisering [raːʃonaːliꞋseː-]ж0-ará vísindaligum grundarlag
но́та1	If1.(звук) tóniмгл-i; nótiмгл-i(знак)2.fl.(оттенок,тон речи) farriмгл-i, ferilм0осн-s,-ar; но́та неудово́льствия ein farri av ónøgd3.plur(текст,тетрадь) nótarмгл-iмн(nótahefti o.tíl.); игра́ть по но́там spæla eftir [εʰtː-] nótum
но́та2	IIfdipl.notaннкжгл-a, boðskrivлпс0о(diplomatiskt)
нотака́нт	m: нотака́нт Хе́мницаsíспиноши́пХе́мница
нотариа́льный	adjnotarial- [-tʰaːɹiꞋaːl-]; нотариа́льная конто́ра notarialkontór [-tʰaːɹiꞋaːl-], notarialskrivstova [-tʰaːɹiꞋaːl-]; нотариа́льная ко́пия kopi [-ˈpʰiː] váttað av notarius [-Ꞌtʰaː-]
нота́риус	mnotarur [-Ꞌtʰaː-]мсогл-ar, notarius [-Ꞌtʰaː-]м0-ar(опр-ur)(publicus [-lɪkʰʊs])
нота́ция1	If(нравоучение) moralprædika [-Ꞌraː-]жгл-a; formaning [-Ꞌmεa-]ж0-ar(поучение); átalaжгл-a, ábreiðslaжгл-a(выговор); чита́тькому-л.нота́цию haldaсоглe-i-ieina moralprædikufyri o-m; lataслнæ-ó-ao-nfáa Ꞌ av at vita (делать выговор)
нота́ция2	IIf(система обозначений) notatión [-Ꞌʃɔun]ж0-irспец.; teknskipan [tʰεkn-]нпж0-ir
но́тбук	m síно́утбук
но́тис	m: но́тис о гото́вности noticeж нескл.of readiness [nœutɪs ɔf rεtːinεsː]англ.,проф.
но́тка	plurно́т|ки, ~ок, ~камffarriмгл-i, ferilм0осн-s,-ar
но́тный	adjnóta-; но́тная бума́га nótapappír =>а́збука1
нотоле́пис	m(Arctozenus risso) lítla lakstobisж0-ar
нотоскопе́л	m(Notoscopelus kroyeri) mjái prikkafiskurмсогл-ar
ноутбу́к	mnotebook [nɔutpʊʰk]жнепр, notebooktelda [nɔutpʊʰkt-]жгл-a
ноутбу́чный	adjnotebook- [nɔutpʊʰk-], notebookteldu- [nɔutpʊʰk-]
но́у-ха́у	n indeclknow-how [nœuꞋhau]ннкс0гл(-inum)проф.; serkunnleikiмгл-i
ночева́ть	ночу́|ю, ~ешь, ~ютipf(pfпереночева́тьпереночу́|ю, ~ешь, ~ют) liggjaслнá-ó-inátt, veraсоглa-ó-enátt; gistair(t)nátt (б.ч. одну ночь - в чьём-л. доме); ночева́ть не до́ма ikki sovaслнa-ó-oheima við hús@(и) не ночева́лочто-л где-л. {у кого-л.}tlm.har var ikki ferilinav o-m onkrastaðni; со́весть у неё и не ночева́ла hon hevði [hεijɪ] ikki ferilin av samvitsku [-vɪskʊ] =>днева́ть
ночёвка	plurночёв|ки, ~ок, ~камfgistingж0-arir(t); оста́ться на ночёвку gista um náttina
ночле́г	m1.(место) tilhaldс0о, innivistж0-ir(eina nátt); датькому-л.ночле́г hýsair(t)o-m, gevao-minnivist (eina nátt)2.(ночёвка) gistingж0-ar
ночле́жка	plurночле́ж|ки, ~ек, ~камftlm.náttarherbergiсгл-i, náttherbergiсгл-i
ночле́жник	m1.tlm. (тот, кто пользуется временным ночлегом где-.л)o-r, sum gistir nátt onkustaðni2. (тот, кто ночует в ночлежном доме)o-r, sum liggur nátt a náttarherbergi
ночле́жный	adj: ночле́жный домgml.náttarherbergiсгл-i, náttherbergiсгл-i
ночни́к1	IGenночник|а́;plur~и́, ~о́в, ~а́мm(лампа) náttlampaжгл-a
ночни́к2	IIGenночник|а́;plur~и́, ~о́в, ~а́мmtlm.1.Acc ночника́(работник) náttarbeiðariмгл-ari2.(самолёт) náttflogfarс0о{a/ø}
ночни́ца	f síсо́вка2
ночно́е	nbit с0о(til ross um náttina), beitiсгл-i(til ross um náttina)
ночно́й	adjnátt-, náttar; ночно́е вре́мя náttartíð; в ночно́е вре́мя á náttartíð; ночна́я рабо́та nátt(ar)arbeiði; ночна́я сме́на náttarvakt; ночно́й сто́лик náttborð; ночна́я ба́бочка náttfirvaldurспец.,зоол.=>горшо́к2,руба́шка1,сто́рож
