к1	I коньtalvriddari
крупне́ть	ipf(pfпокрупне́ть) gerastнепр{verðaснa-ó-o, blivaслнei-i-i}stórur (становиться крупным), gerastнепр{verðaснa-ó-o,blivaслнei-i-i}størri (становиться крупнее), veksaннкслнa-u-o{a}, vaksaнпслнa-u-a(расти); скот крупне́ет neytini fara fram, neytini trilkast, neytini draga á holdini
кру́пно	advstórt, grovt@кру́пно поговори́тьс кем-л.tala eitt álvarsorðvið o-n;кру́пно брани́тьсяbanna og blóta; намкру́пно повезло́vit vóru svínaheldigэнк
кру́пно...	í samansstór-, grov-
крупнобло́чный	adj: крупнобло́чное строи́тельство elementbyggjarí [-Ꞌmε-]
крупнозерни́стый	stfкрупнозерни́ст, ~а, ~о, ~ыadjgrovurсогл, govkornutur [-tn-]соглгеоl.
крупнокали́берный	advvið stórum kalibri [-Ꞌliː-]
крупномасшта́бный	adj1.bert lf(имеющий крупный масштаб) í stórum málistokki, í stórum lutfalli [-tlɪ]лп; крупномасшта́бная ка́рта kort í stórum málistokki, kort í stórum lutfalliлп2.(значительный) umfatandiглandi, víðfevndurсогл; крупномасшта́бные пла́ны umfatandi ætlanir
крупнотонна́жный	adj fakm.við stórari tonnasju [-ˈnaː-]; крупнотонна́жное су́дно skip við stórari tonnasju
крупнояче́йный	adjfisk.stórmeskaður [stœɹ-]глaður
кру́пный	stfкру́пен, крупна́, кру́пно, крупны́ogкру́пныadj1.(состоящий из больших частиц) grovurсогл(við stórum kornum); кру́пный песо́к grovur sandur; кру́пный напи́льник grov fíl2. (большой) stórurсогл; stórvaksin [stœɹv-]соглосн(рослый); кру́пный шрифт stór skrift; кру́пные черты́ лица́ stórlig [stœɹl-] andlitsdrøg [anl-]; кру́пный мужчи́на stórvaksin maður; кру́пным ша́гом við longum fetum3.bert lf(большого масштаба;значительный) stórurсогл, stór-; кру́пная промы́шленность stórídnaður4.(сильный по влиянию,значению) merkis-, mæturсогл, stórurсогл; framúr [-Ꞌʉuɹ]нескл., framúrskarandi [-Ꞌskεa-]глandi(выдающийся); кру́пный учёный ein stórur vísindamaður5.(важный,серьёзный) týðandiглandi, stórurсогл; кру́пные собы́тия stórhendingar; кру́пный шаг týðandi stig; кру́пный успех stór framgongd; кру́пные неприя́тности stórar óbehagiligheitir [-Ꞌhεa-]ннк, álvarsligar óbehagiligheitir [-Ꞌhεa-]ннк@кру́пные де́ньгиstórir pengar;име́ть кру́пный разговоо́рс кем-л.a) (о ссоре) komaслнo-o-otil ilnarvið o-n; b) (о внушениu) tosaaðieitt álvarsorðvið o-n=>буржуази́я,игра́@,план6,рога́тый1
крупняко́м	adv tlm.(sum) nærmynd, (sum) nærbílæt; (sum) nærupptøka (съемка); upprættur (в полный рост)
крупо́зный	adj: крупо́зное воспале́ние лёгких betendilsi [-Ꞌtʰε-]ннксгл-ií lungablaði, bruniнпмгл-ií lungablaði
крупору́шка	plurкрупору́ш|ки, ~ек, ~камfgrýnmyllaжгл-a
крупча́тка	fhveitimjølс0оav besta slag
крупча́тый	adjgrýnuturсогл; kornutur [-tn-]согл(зернистый)
крупье́	m indeclcroupier [kʰɹuꞋpʰjeː]мгл-гл
крупяно́й	adjgrýn-
крутизна́	f1.(ккруто́й 1) brattleikiмгл-i2.(круча) brattiмгл-i3.(ккруто́й 2) tað at vera knappligur
крути́ть	кручу́, кру́т|ишь, ~ятipf1.pfзакрути́тьзакручу́, закру́т|ишь, ~ят что-л.snaraaðio-t, dreyaннкaðio-m, vindaслнa-u-uo-t; skrúvaaðio-tfyri (закрыть), skrúvaaðio-tfrá (открыть,кран и т.п.); snaraaðio-tí hondunum (бесцельно вертеть в руках); крути́ть ру́чку vinda hondtakið [hɔn̊t-], snara hondtakið [hɔn̊t-]; крути́ть колесо́ dreya hjulið [juː-]ннк, snara hjulinum [juː-]ннк, mala hjulið [juː-]ннкrunt, крути́ть кран skrúva kranan [kɹaː-] frá (включить), skrúva kranan fyri (выключить); крути́ть руль snara róðrinum, dreya róðrið; крути́ть голово́й snara høvdinum [hœtː-]2.что-л.(придавать вихревое движение) malaслнó-ó-ao-tí klingur; крути́ть пыль mala støv í klingur3.pfзакрути́тьзакручу́, закру́т|ишь, ~ят, скрути́тьскручу́, скру́т|ишь, ~ят что-л.rulla [-tla]aðio-t, balla [-tla]aðio-t; крути́ть папиро́су {самокру́тку} balla (sær) eina sigarett [siːkaꞋrεʰtː]; крути́ть пря́жу tvinnaaðigarn [-tn]; крути́ть верёвку snara eitt tog; leggjaнепрsnøri (леса); крути́ть усы́ snara yvirskeggið4.pfзакрути́тьзакручу́, закру́т|ишь, ~ят(пыль,снег) rúkaслнey-u-o, fúkaслнey-u-o(um støv,kava); mala í klingurнепер.,см.2; весь день кру́тит мете́льтжtað hevur verið kavarok í allan [atl-] dag5.кем-л.(распоряжаться) geraнепрvið o-n, sum ein vil; она́ кру́тит им, как хо́чет hon fer við honum, sum hon vil6.tlm.(быть неискренним) tosaaðiuttanum, skákaaðisær undan (svari), káklaaðiред.; говори́ пра́вду, не крути́ sig nú sannheitina, tosa ikki uttanum; sig nú sannheitina, kom ikki við undanførslum7.pfпрокрути́тьпрокручу́, прокру́т|ишь, ~ятóvkm.: прокрути́ть фильм koyrair(d)ein film, vísair(t)ein film8.óvkm.:крути́ть любо́вь {рома́н}с кем-л.fríggjaaðivið o-m9.pfпрокрути́тьпрокручу́, прокру́т|ишь, ~ятjarg.: крути́ть де́ньги spekulera [-Ꞌleː-]aðivið pengum@крути́ть ру́кикому-л.snaraaðiarmarnar aftur [aʰtː-] um baká o-m;крути́тькому-л.го́ловуgeraнепрo-ní ørviti;крути́ть но́сомóvkm.snerkjair(t)(at o-m);как ни крути́hvussu tú so roynir at snúgva tær =>яйцо́@
крути́ться	кручу́сь, кру́т|ишься, ~ятсяipf1.(вертеться,вращаться) malaслнó-ó-a, snaraaði, dreyaннкaði; крути́ться о́колокого-л.mala uttanum[ʊʰtːanꞋʊmː]o-n, mala fyri fótunumá o-m2. (о пыли,снеге) malaслнó-ó-aí klingur3.tlm.(постоянно бывать где-л.) rekastслнa-ó-i(onkustaðni)4.закрути́тьсязакручу́сь, закру́т|ишься, ~ятсяtlm.(быть в хлопотах) havaнепрnógv um at vera@как ни крути́сьhvussu tú so roynir at snúgva tær
кру́тка	fsnúningж0-ar; tað at leggja snøri (леса)
кру́то	comp кру́че adv1.(отвесно) snips, bratt; бе́рег кру́то обрыва́ется bakkin gongur snips niðurfyri [-Ꞌfiː-]2.(резко) knappliga; кру́то останови́ться steðga [stεkːa] knappliga3.(сурово) strangliga4.:кру́то разде́латьсяс кем-л. faraслнó-ó-aharðliga frammóti o-m5.jarg(отлично, здо́рово) óført, frálíkt; superжарг.@кру́то посоли́тьsalta ov [ɔ] nógv
круто́й	stfкрут, крута́, кру́то, круты́ogкру́ты; compкру́чеadj1.(отвесный) bratturсогл{a/ø}; reysturсогл(тж о лестнице и др.); крута́я скала́тжmeitilberg2.(резкий) knappligurглigur; круто́й перело́м brátt (um)skifti, knappligt (um)skifti; круто́й поворо́т eitt krapt sving3.(суровый) harðurсогл{a/ø}, strangurсоглng({a/o}); круты́е ме́ры hørð tiltøk, strong tiltøk; у него́ круто́й нрав hann er óviðeiriligurглigur, hann er ólagaligur [-Ꞌleː-]глigur4.(густой) tjúkkurсогл; крута́я ка́ша treysturсоглgreytur; круто́е те́сто fast deiggj5.óvkm.(крайний в проявлении свойств) harðligurглigur6.óvkm.(решительный,быстрый) sum ikki himprast@круто́е яйцо́harðkókað [haɹ̥k-] egg;круто́й кипято́кskáldandi heitt vatn
кру́тость	f1.síкрутизна́2.(характера) harðleikiмгл-i, strangleikiмгл-i
крутоя́р	m tlm.brattur bakkiмгл-i
крутя́щий	Ipartic pres akt avкрути́тьIIadj: крутя́щий моме́нтfys., tekn.dreyningsmomentтехн.
кру́ча	fbrattiмгл-i
круче́ние	n1.(вращение) snaringж0-ar; vindingж0-ar(ручки и т.п.)2.(скручивание) rulling [-tl-]ж0-ar, balling [-tl-]ж0-ar; snaringж0-ar, tvinningж0-ar(нитей и т.п.),sbr.крути́ть (русскому отглагольному сущ. в переводе часто или предпочтительно соответствует глагольная форма)
кручёный	adjtvinnaðurглaður, snúðraðurглaður@кручёная ни́ткаperlugarn [-tn];кручёный мячskrúvaðurглaðurbóltur
кручи́на	fmunn.harmurмсогл-ar, sútж0-ir
кручи́ниться	кручи́н|юсь, ~ишься, ~ятсяipfmunn.syrgjair(d){+}, harmastaði
круше́ние	n1.(авария) vanlukkaжгл-a; круше́ние по́езда tokvanlukka; круше́ние су́днаsíкораблекруше́ние; потерпе́ть круше́ние a) (о корабле) forlissa [-Ꞌlɪ-]ннкir(t)проф.,forlista [-Ꞌlɪ-]ннкir(t)проф.; farastслнó-ó-a; strandaaði(на мели, у берега и т.п.); b) (о поезде) veraслнa-ó-efyri vanlukku (um tok)2.fl.(гибель,утрата) undirgangurмсогл-s-ir, missurмсогл-ir; круше́ние наде́жд oyðilegging [-Ꞌlε-] av vónum; экономи́ческое круше́ние skrædlс0о(búskaparligt); потерпе́ть круше́ние dettaслнa-u-oniðurfyri [-Ꞌfiː-]идиом., faraслнó-ó-afyri Ꞌ bakka (планы и др.)идиом.; brestaслнa-u-o(надежды)
круши́на	ж(Rhamnus)slekt av runnum í Rhamnaceae-ættini(en.buckthorn; da.korsved)
круши́ть	круш|у́, ~и́шь, ~а́тipf Acchátíð.týnair(d)Вин, beinair(d)fyri Dat(истреблять); leggjaнепрo-tí oyði (разрушать); høggaur(d)Винniður (косить)
крыжо́вник	m1.(Ribes grossularia) stikkulsberjarunnurмсогл-ar2.koll(ягоды) stikkulsberс0о{+}мн
к-рый	síкото́рый
крыла́тка	plurкрыла́т|ки, ~ок, ~камf(Phoca fasciata)slag av kópi í Stillahavinum(en.ribbon seal)
крыла́тый	stfкрыла́т, ~а, ~о, ~ыadjveingjaðurглaður@крыла́тая раке́таkrússararakett;крыла́тое сло́воfloygt orð
крыло́	plurкры́ль|я, ~ев, ~ям(gml.,hátíð.крыл|а́, ~, ~а́м)n1.(у птиц, самолётов, летучих мышей, ветрогенераторов, мельниц и др.) vongurмсогл-ir{+};-s,-ir{+}; (стабилизатора) finnaжгл-aпроф.(á stabilisatori); крыло́ мо́стика brúgvarvongur (á skipi); бить кры́льями sláa við veingjunum; маха́ть кры́льями flagsa við veingjunum; лома́тькому-л.кры́льяbeinl.,fl.bróta veingirnará o-m2.(автомобиля и т.п.) skermurмсогл-ar(á bili o.tíl.)3.fisk.(на трале) vongurмсогл-ir{+};--s,-ir{+}(á troli)4.(часть здания) vongurмсогл-ir{+};-s,-ir{+}, armurмсогл-ar{a/ø}(á bygningi)5.(фланг) síðaжгл-a, liðж0-ir(hjá herdeild o.ø.)6.(в партии и т.п.) vongurмсогл-ir{+};-s,-ir{+}, floyurмсогл-ar(í politiskum flokki o.tíl.); в пра́вом кры́ле á høgra veingi@кры́лья но́саgluggavippaжгл-a, tjóvalopс0о;подре́зать {обре́зать, подсе́чь} кры́льякому-л.skerjair(d){+}o-n;опусти́ть кры́льяvera fyri ongum, falla [-tla]слнa-u-aí fátt =>подво́дный,распра́вить2,распростере́ть1
кры́лышко	кры́лыш|ки, ~ек, ~камn dim avкрыло́@под кры́лышкомGenundirпосс.veingjum, undirпосс.veingjabreiðiвыс.
крыльцо́	plurкры́льца, крыле́ц, крыльца́мnveranda [-Ꞌra-]жгл-a(yvirbygd); forstova (тж[fɔs-])жгл-a, inngongdж0-ir, vindfang [vɪnf-]с0о, dyrжнепрмн(крытое)
Крым	mKrim [kʰɹɪmː]ж нескл.; в Крым til Krim; в Крыму́ á Krim
кры́мский	adjkrim- [kʰɹɪmː-],síКрым=>тата́рин1
крымскотата́рский	adjkrimtatariskur [kʰɹɪmtʰatʰaːɹ-]соглsk; крымскотата́рский язы́к krimtatarisktсприлskt
крымско-тата́рский	adj síкрымскотата́рский
крымча́к	Gen, Accкрымчак|а́; plur~и́, ~о́в, ~а́мmupprunaíbúgviмгл-iá Krim [kʰɹɪmː]
крымча́нин	plurкрымча́не, ~, ахmkrimbúgvi [kʰɹɪm-]мгл-i, íbúgviмгл-iá Krim [kʰɹɪmː]
крымча́нка	plurкрымча́н|ки, ~ок, ~камfkrimbúgviм[kʰɹɪm-]гл-i, íbúgviмгл-iá Krim [kʰɹɪmː] (konufólk)
кры́нка	plurкры́н|ки, ~ок, ~камfleirkrukkaжгл-a(til mjólk)
кры́са	f(Rattus) rottaжгл-a; водяна́я кры́са (Arvicola terrestris) vatnrotta [vanr-]; се́рая кры́са (R. norvegicus) (brún) rotta; чёрная кры́са (R. rattus) svørt rotta@кры́сы бегу́т с (то́нущего) кoрабля́rotturnar fara av tí søkkandi skútuniпог.;канцеля́рская кры́саgml., niðr.pennasleikjariмгл-ariпренебр.=>церко́вный
крысёнок	Gen, Accкрысёнка;plurкрыся́т|а, -, ~амmrottuungi [rɔʰtːʊɲ-]мгл-i
крыси́ный	adjrottu-; крыси́ный яд rottugift
крысоло́в	mrottufangariмгл-ari
крысоло́вка	plurкрысоло́в|ки, ~ок, ~камf1.(капкан) rottufella [-tla]жгл-a2.(собака) rottuhundurмсогл-ar
крыся́т...	síкрысёнок
кры́тый	adjinnilokaðurглaður, yvirdekkaðurглaður, undir taki
крыть	кро́|ю, ~ешь, ~ютipf(pfпокры́тьпокро́|ю, ~ешь, ~ют)1.что-л.(накладывать кровлю) tekjair(t)o-t, leggjaнепрtak á; крыть дом ши́фером leggja skifurtak [skiː-] á húsið; крыть кры́шу tekja, leggja tak á2.что-л.(краской) málaaðio-t3.что-л.kort(в карточной игре) stingaслнa-u-uo-t4.Acctlm.(ругать) lataслнæ-ó-aВинfáa Ꞌ av at vita, skeldaaðiВинút@ему́не́чем крытьhann stendur púra býttur; hann veit ikki, hvat hann skal svara
кры́ться	кро́|ется, ~ютсяipfvera fjaldurсогл, liggjaслнá-ó-ií; здесьчто-токро́ется her býro-tꞋ undir; причи́на кро́ется в том, что ... orsøkin er tann, at ...; здесь кро́ется како́е-то недоразуме́ние her er onkur misskiljing; что кро́ется за э́тим отве́том? hvat liggur í hesum svarinum?
кры́ша	f1.(покрывающая часть строения;о доме,крове) takс0о{a/ø}; желе́зная кры́ша jarntak [jant-]; под са́мой кры́шей uppi undir sjálvum takinum; с высо́кой кры́шейтжvið høgari reisingж0-ar2.jarg.(охранное предприятие;преступная группировка) verjaжгл-a(hjá vinnulívsmonnum o.ø. móti pengavpressing o.tíl.)3.fl., jarg.(голова) knokkurмсогл-arнеформ.; skilс0о(рассудок)@под одно́й кры́шей(с кем-л.) undir sama taki (sum o-r);кры́ша ми́ра(Гималая) heimsins tak (Himalaya); убра́ть урожа́йпод кры́шуfáa skurðin til høldar; у него́пое́хала {потекла́} кры́шаslanghann er blivin spinnandi ørur, hann er púra gagg-gaggg [-Ꞌkakː]шутл., неформ.
крышева́ние	n jarg.veitanж0-irav verju (síкры́ша2)
крышева́ть	крышу́|ю, ~ешь, ~ютipf что-л. jarg.veitair(t)verju (síкры́ша2)
кры́шка	plurкры́ш|ки, ~ек, ~камflokс0о(на посуде и др.);tekn.deksilс0осн@ему́ кры́шкаóvkm.tað er úti við honum, hann er kaputt [-Ꞌpʰʊʰtː]энк
крюк	Genкрюка́ogкрю́ку; plurкрюк|и́, ~о́в, ~а́м(ogкрю́чь|я, ~ев, ~ям)m1.(Gen крюка́) krókurмсогл-ar; goggurмсогл-ar, krøkjariмгл-ari,goksurмсогл-ar, hakiмгл-iмор.(на длинном древке)2.(Gen крюка́; plur крюки́ o.s.fr.) krókurмсогл-ar(lossikrókur o.tíl.)3.(Gen крю́ку; plur крюки́ o.s.fr.) (окольный путь) krókvegurмсогл-ir, umvegurмсогл-ir; сде́лать крюк {дать крю́ку} faraслнó-ó-aein umveg
крю́чить	крю́читipf(pfскрю́читьскрю́чит)Acc óptlm.: его́ крю́чит от бо́ли hann ringirir(d)seg saman av pínu
крю́читься	крю́ч|усь, ~ишься, ~атсяipf(pfскрю́читьсяскрю́ч|усь, ~ишься, ~атся): крю́читься от бо́ли ringjair(d)seg saman av pínu
крючкова́тый	stfкрючкова́т, ~а, ~о, ~ыadjkrókuturсогл
крючкотво́р	mvanv.o-r, ið brúkar snildir (fyri at draga rættarmál o.tíl út);o-r, ið fløkir rættarmál (fyri at draga tað út o.a.)
крючкотво́рство	nvanv.snildirж0-irмн(fyri at draga rættamál o.a. út)
крю́чник	m søg. arbeiðsmaður, sum bar byrður á bakinum við einum serl. króki, í Russlandi frá 18.øld til fyrst í 20. ød
крючо́к	Genкрючк|а́; plur~и́, ~о́в, ~а́мm1.(стерженок) krókurмсогл-ar; hektiсгл-i(у одежды); knakiмгл-i(вешалка); krampiмгл-i(оконный,дверной); вяза́льный крючо́к hekklinálж0-ir; рыболо́вный крючо́к ongulм0осн-s,-ar, húkurмсогл-ar; спусково́й крючо́к stillipinnur [-tl-]мсогл-ar(í byrsu); крючо́к и пе́тля krókur og lykkja; закры́тьчто-л.на крючо́к setair(t);ur(t)krókin á, setair(t);ur(t)krampan á (lata aftur), krampaaðio-t2.síкрючкотво́р
крю́чь...	síкрюк
крюшо́н	m slag av køldum punsji
кря́ду	adv óvkm.uttan slit, uttan íhald
кряж	Genкря́жа;plurкра́жиo.s.fr.ogGenкряж|а́;plur~и́, ~е́й, ~а́мm1.(горный) fjallaryggur [-tl-]мсогл-s,-ir;-ir, fjallagarður [-tl-]мсогл-ar{a/ø}; rustж0-ir(в форме киля)2. (чурбан) stabbiмгл-i3.Gen, Acc кряж|а́; plur ~и́, ~е́й, ~а́мóvkm.(человек) køgguturсогл, tættbygdurсоглmaðurмнепр
кря́жистый	stfкря́жист, ~а, ~о, ~ыadjtjúkkurсогл(о дереве); tættbygdurсогл, køgguturсогл(о человеке)
кря́канье	n1.(утки) gvaggс0о(ljóð hjá dunnu)2.tlm.(о человеке) grælanж0-ir
кря́кать	ipf(momentкря́кнутькря́кн|у, ~ешь, ~ут)1.(об утке) gvaggaaði2.(о человеке) grælaaði
кря́ква	f(Anas platyrhynchos) villdunnaжгл-a
кря́кнуть	moment síкря́кать
кряхте́нье	nstunс0омн
кряхте́ть	кряхчу́, кряхт|и́шь, ~я́тipf tlm.1.(издавать звуки) stunaaði, eymkaaðiseg, venaaðiseg2.fl.(страдать) eymkaaðiseg, venaaðiseg
к/с	[ка-э́с]m indeclконосаме́нт b/l [peː εlː]ж непр., англ., проф.
КС	[ка-э́с]m indeclконституцио́нный суд
ксёндз	Gen, Accксендз|а́; plur~ы́, ~о́в, ~а́мmpresturмсогл-ar(polskur katólskur prestur)
ксено́н	mxenon [seː-]с0о({0<>i})
ксенофо́б	m bókl.xenofobur [seːnoˈfoːp-]интмсогл-ar
ксенофо́бия	ffremmandahaturс0осн, xenofobi [seːnofoꞋpiː]интж0-ir
ксенофо́бный	adjksenofobiskur [seːnoˈfoːp-]интсоглsk
ксе́рить	ксе́р|ю, ~ишь, ~ятipf что-л. tlm.kopiera [-ˈeː-]aðio-t, geraнепр{takaслнó-ó-i} kopi [-ˈpʰiː-]av o-m
Ксеркс	mXerxes [sεʂːεs]м0-ar{0<>i}
ксерогра́фия	f(foto)kopieringж0-ar, ljósritingлпж0-ar
ксерокопи́ровать	ксерокопи́ру|ю, ~ешь, ~ютipf что-л.kopiera [-ˈe-]aði{fotokopieraaði}o-t, geraнепрkopi [-ˈpʰiː]] {fotokopi}av o-m; geraнепрavritнпav o-m, avritaнпaðio-t; geraнепрtvítakлпav o-m
ксероко́пия	ffotokopiс0о, ljósritлпс0о
ксе́рокс	m1.síксерогра́фия2.(устройство) kopimaskina [-Ꞌpʰiː-]жгл-a3.síксероко́пия
ксерофо́рм	mxeroform [seːɹoˈfɔɹm]с0o
кси́ва	f1.jarg., krim.(записка, письмо) seðilмсоглосн{+}(boð), brævс0о{æ/ø}(boð)2.jarg., krim.(поддельный документ) falskt skjalж0o{a/ø}, falsað skjalж0o{a/ø}3.jarg.(удостоверение и т.п.) váttanж0-ir; samleikaprógvс0о{+}офиц., legitimatión [leːkitʰiːmaˈʃɔun]ннкж0-ir(удостоверение личности)
кси́вник	m jarg.hálspungurмсогл-ar
ксилогра́фия	f1.(искусство) xylografi [syːlokɹaꞋfiː]с0о(list)2.(произведение) xylografi [syːlokɹaꞋfiː]с0о(;0-ir)(listaverk)
ксилофо́н	mxylofon [syːloꞋfoːn]ж0-ir
КСМ	[ка-эс-эм]m indeclsovjet.Коммунисти́ческий сою́з молодёжи Kommunistiska [-Ꞌnɪ-] ungdómssambandið
кста́ти	Iadv1.(уместно) sum kemur væl við; í røttu løtu, í tøkum tíma (вовремя); быть о́чень кса́ти koma ógviliga væl við; э́то мне о́чень кста́ти hetta kemur mær ógviliga væl við; tað kundi ikki hóskað (mær) betur; прийти́ о́чень кста́ти koma í tøkum tíma; koma í tørviкн.; де́ньги пришли́ кста́ти pengarnir komu í tøkum tíma; она́ пришла́ не совсе́м кста́ти hon kom eitt sindur í ótíð, hon er komin eitt sindur ólagaliga [-Ꞌleː-]; кста́ти и некста́ти í tíð og úrtíð [ʏɹ̥-]; бы́ло бы́ кста́ти tað hevði [hεijɪ] ikki verið heilt av leið; как нельзя́ кста́ти tað kundi ikki hóskað betur, tað kundi ikki komið betur við2.(заодно) samtíðis; um eina leiðIIparentforrestin [-Ꞌrε-]ннк, annars
к/т	síкинотеа́тр
к-т	1.síкомите́т2.síкомбина́т
КТ	[ка-тэ́]f indeclкомпью́терная томогра́фияsíтомогра́фия
кто	{Gen, Accкого,Datкому́,Insкем,Prpо ком}pron1.interroghvør; кто э́то? hvør er tað?; кто ещё? hvør annar?; hvør afturat [aꞋtʰɹεat]?; кто бы мог ду́мать? hvør skuldi trúð tí?; кто из них? hvør av teimum?; кто он по национа́льности? hvat landsmaður [lan̊s-]er hann?; кто он тако́й? hvør er hann?; hvat er hann fyri ein?; кто вы таки́е? hvør eru tit?; не зна́ю, кто пришёл eg veit ikki, hvør kom; кому́ из вас пришло́ э́то в го́лову? hvør av tykkum fann upp á hetta?; кто бы э́то мог быть? hvør kann hetta vera?2.relat: тот {те}, кто ... tann {teirм мн, tærж мн, teyс мн}.sum ...; все, кто ... øll [œtl], sum ...; все, кто пришёл, смотре́ли фильм øll [œtl], sum komu, sóu filmin; кто ве́сел, тот смеётся tann, sum er glaður, flennir3.indeftlm.onkur; е́сли кто придёт .... um onkur kemur ...; не зна́ю, пришёл ли кто ... eg veit ikki, um nakar er komin ...4.:кто ... кто ... summi ... summi ...; кто пел, кро молча́л summi sungu, summi (sótu og) tagdu; onkur sang [saŋk], onkur (sat og) tagdi}5.:кто где сиди́т onkur situr her, og onkur (situr) har; кто куда́ идёт hvør fer sína leið; кто куда́, а я домо́й tit kunnu fara, hvar tit vilja, men eg fari til hús; кто как á ymsan hátt@кто что лю́бит, кому что нра́витсяhvør eftir [εʰtː-] sínum høvdi [hœtɪ]; so mangt er tykkið sum maðurinпог.; (уж) кто-кто́, аон э́то до́лжен знать er nakar, sum veit tað, so er tað hann; кого́-кого́, а я его́ ви́жу ча́сто er nakar, sum eg síggi ofta, so er tað hann;кто кого́? hvør vinnur?;кто бы ни былhvør tað so er; кто бы ни пришёл hvør (ið) so kemur;кто (его́) зна́етtað er ikki gott at vita;кто ни на естьsíестьII @ =>дрова́@,ино́й,иска́ть@,ма́лоI @,ниIII,уго́дноII,хотьII 4
кто́-либо	pron indef síкто́-нибудь
кто́-нибудь	Gen, Accкого́-нибудь, Datкому́-нибудь, Insке́м-нибудь,Prpо ко́м-нибудьpron indefnakar; onkur; einhvør; кто́-нибудь пришёл? er nakar komin?; скажи́ кому́-нибудь об э́том fortel [-Ꞌtʰeːl] onkrum um hetta; не кто́-нибудь ikki hvør sum helst, ikki ein og hvør
кто́-то	Gen, Accкого́-то, Datкому́-то, Insке́м-то, Prpо ко́м-тоpron indef(ein ókendur persónur) onkur; кто́-то ждёт тебя́ onkur bíðar eftir [εʰtː-] tær; кто́-то друго́й onkur annar
ку...	кую́o.s.fr. pres avкова́ть
Куа́ла-Лу́мпур	mKuala Lumpur [kʰuꞋaːlaꞋlʊm̊puːɹ]м нескл.
куб1	Iplurкуб|ы́, ~о́в, ~а́мogку́быo.s.fr. m1.plur ку́бы o.s.fr.(многогранник) terningurмсогл-ar2.plur ку́бы o.s.fr.(третья степень) kubikktal [-Ꞌpɪ-]с0о{a/ø}, rúmtalлпс0о{a/ø}; triði potensur [-Ꞌtʰε-]мсогл-ar; во́семь - э́то куб двух átta er kubikktalið av tvey3.plur куб|ы́, ~о́в, ~а́мtlm.síкуби́ческийметр =>возвести2
куб2	IIplurкуб|ы́, ~о́в, ~а́мmketilм0осн-s,-ar(котёл); destillatiónskar [test̆ɪlaꞋʃɔun-]с0o{a/ø}(сосуд для перегонки); heittvatnsbeholdari [-van̊s-]ннкмгл-ariпроф.(сосуд для горячей воды)
Ку́ба	f1.(остров) Kubaж нескл.(на + Prp - á + Дат) (oyggj)2.(государство) Kubaс нескл.(в,на+Prp-í,á+Дат) (land)
куба́нец	Gen, Accкуба́нц|а; plur~ы, ~ев, ~амmkubanbúgvi [-Ꞌpaː-]жгл-i; kubankosakkur [-Ꞌpaː-]мсогл-ar(казак),síКуба́нь
куба́нка	plurкуба́н|ки, ~ок, ~камf1.(жительница Кубани) kubanbúgvi [-Ꞌpaː-]мгл-i(konufólk),síКуба́нь2.(шапка)slag av seyðaskinshúgvu
куба́нский	adjkuban- [-Ꞌpaːn-], úr Kuban [-Ꞌpaːn]
Куба́нь	f1.(река) Kuban [-Ꞌpaːn]ж нескл.(á)2.(область) Kuban [-Ꞌpaːn]с0{дат.0}(на + Prp - í + Дат) (øki)
ку́барем	advtlm.(кувыркаясь) eftir [εʰtː-] høvdinum [hœtː-]; yvir háls og herðar (быстро); скати́ться ку́барем faraслнó-ó-abóltandi
кубату́ра	fkubikkinnihald [-Ꞌpɪ-]с0о, rúminnihaldс0о; кубату́ра (грузово́го) трю́ма lastakapasitetur [-kʰapʰaːsi-]мсогл-s,-irмор.; уде́льная погру́зочная кубату́ра stúvningsrúmfangс0омор., stúvningsfaktorurмсогл-arмор.
куби́зм	mkubisma [-Ꞌpɪ-]жгл-a
ку́бик	m1.(предмет в форме куба) terningurмсогл-ar; byggiklossurмсогл-ar, spælikubbiнпмгл-i(детская игрушка); бульо́н в ку́биках supputerningur;2.tlm.síкуби́ческийсантиме́тр
куби́нец	Gen, Accкуби́нц|а; plur~ы, ~ев, ~амmkubanari [-Ꞌpaː-]мгл-ari, kubani [-Ꞌpaː-]нпмгл-i
куби́нка	plurкуби́н|ки, ~ок, ~камfkubanari [-Ꞌpaː-]мгл-ari, kubani [-Ꞌpaː-]нпмгл-i(konufólk)
куби́нский	adjkubanskur [-Ꞌpaː-]соглnsk
куби́ст	mkubistur [-Ꞌpɪ-]мсогл-ar
куби́ческий	adj1.(имеющий форму куба) kubiskurсоглsk, terningsskapaðurглaður2.mat.(о степени числа) kubikk- [-Ꞌpɪʰk-]; куби́ческий ко́рень kubikkrót [-Ꞌpɪʰk-]; куби́ческое уравне́ние triðjagradslíkningнппроф., líkning av triðja stigiлп3.(о мерах) kubikk- [-Ꞌpɪʰk-]; куби́ческий сантиме́тр kubikksentimetur [-Ꞌpɪʰk-], rúmsentimeturлп; куби́ческие ме́ры rúmmál
ку́бковый	adjsteypa-; ку́бковый матч steypadystur
кубова́я	fketilrúmс0о
ку́бовый	adjindigobláur [intiːko-]гл, dimmbláurгл
