д.	1.день2.дере́вня3.долгота́4.домsíдом; ул. Панфёрова, д. 11 Panfjorovs [-Ꞌfjoː-] gøta 11
дрозофи́ла	f(Drosophila) bananfluga [-Ꞌnaːn-]жгл-a
дрок	m(Genista)slekt av runnum í ertnablómuættini(en.broom; da.visse)
дрон	mdronaжгл-a
дрон-камика́дзе	[-дзэ]m-нескл tlm. kamikazedrona [ˌkʰaːmiꞋkʰaːsε-]жгл-a
дро́ссель	mbil.chokari {kjokari} [tʃʰoː-]мгл-ari;el.drossilspoliмгл-i
дро́ссельный	adj: дро́ссельный кла́пан drossilspjellс0о
дро́тик	m1.søg. (копьё) kastispjótс0о2.ítr.(в дартсе) dartpílurмсогл-ar
дрофа́	plurдро́ф|ы, ~, ~амf(сем. Otididae) tvaglaжгл-a; дрофа́ обыкнове́нная (Otis tarda) stórtvaglaжгл-a
дрочёна	f slag av eggjakaku
дро́чить	дро́ч|у, ~ишь, ~атipf síдрочи́ть
дрочи́ть	дроч|у́, ~и́шь, ~а́тipf(pfпродрочи́тьпродрочу́, ~и́шь, ~ат)tabu!1.(заниматься мастурбацией) fleygaaðisærнеформ.(nøkta kynsliga); дрочи́ть себя́ fleygaaðisærнеформ.2.кого-л. (мастурбировать) fleygaaðio-mнеформ.(nøkta kynsliga)
дро́читься	дро́ч|усь, ~ишься, ~атсяipf(pfпродро́читьсяпродро́ч|усь, ~ишься, ~атся)с чем-л.(возиться)óv.bollastaðivið o-tнеформ., skítastслнei-i-ivið o-tгрубо,вульг.
ДРСМД	[дэ-эр-эс-эм-дэ́]m indeclДогово́р о ликвида́ции раке́т сре́дней и ме́ньшей да́льности INF-avtalan [iː εnː ˈεfː-] (англ. Intermediate-Range Nuclear Forces Treaty)
друг1	Iplurдрузь|я́, ~ей, ~я́мmvinurмсогл-ir, vinmaður [vɪn-]мнепр(мужчина); vinkona [vɪŋ̊k-]жгл-a(подруга); они ста́рые друзья́ teir eru gamlir vinmenn; оди́н мой друг ein av vinmonnunum hjá [tʃʰ-] mær; они́ бы́ли хоро́шими друзья́ми teir {tærж, teyс}vóru góðir vinir; слу́шай, друг!eis.hoyr, góði!; hoyr meg eitt orð!@будь дру́г(ом)!góðasti! (sum bøn); ver nú so fittur!;друг до́маein vinur av húsinum;ста́рый друг лу́чше но́вых двухorðt.≈ gamlar gøtur og gamlir vinir gloymast ikkiпосл.=>бли́зкий4,дорого́й3,де́тство,познава́ться,сто@
друг2	IIGen, Accдруг дру́га,Datдруг дру́гу,Insдруг(сo.s.fr.)дру́гом,Prpдруг(оo.s.fr.)дру́геpron: друг дру́га hvønn Ꞌ annanм а также часто об особaх разн. полов, hvørjа Ꞌ aðraж, hvørt Ꞌ annaðс; супру́ги лю́бят друг дру́га hjúnini [tʃʰ-] eru góð við hvønn Ꞌ annan, hjúnini [tʃʰ-] eru góð hvør við annanкн., hjúnini [tʃʰ-] eru góð hvørt við annaðкн.; они́ выруча́ли друг дру́га teir hjálptu [jɔl̥tʊ] hvørjum Ꞌ øðrum; tær hjálptu [jɔl̥tʊ] hvørji Ꞌ aðrari; tey hjálptu [jɔl̥tʊ] hvørjum Ꞌ øðrum; все тро́е ненави́дят друг дру́га allir [atl-] tríggir hata hvønn Ꞌ annan; жить друг без дру́га не мо́гут teir kunnu ikki liva uttan hvønn Ꞌ annan, teir kunnu ikki liva hvør uttan annanкн.; tær kunnu ikki liva uttan hvørja Ꞌ aðra, tær kunnu ikki liva hvør uttan aðra; tey kunnu ikki liva uttan hvørt Ꞌ annað, tey kunnu ikki liva uttan hvønn Ꞌannan; tey kunnu ikki liva hvørt uttan annaðкн.; они́ пи́шут друг дру́гу teir skriva til hvønn Ꞌ annan, tey skriva hvør til annanкн.; tey skriva til hvørt Ꞌ annað, tey skriva hvørt til annaðкн; tær skriva til hvørja Ꞌ aðra, tær skriva hvør til aðraкн.; далеко́ друг от дру́га langt burtur frá hvørjum Ꞌ øðrum, langt burtur hvør frá øðrumкн.; друг про́тив дру́га móti hvørjum Ꞌ øðrum, hvør móti øðrum; друг о́коло дру́га við síðuna av hvørjum Ꞌ øðrum; við síðuna av hvørji Ꞌ aðrari; друг за дру́гом hvør aftan [aʰtː-] á annan, aftan á [aʰtːanꞋɔa] hvørjum øðrum; друг с дру́гом við hvønn Ꞌ annan, hvør við Ꞌ annanкн.; við hvørja Ꞌ aðra, hvør við aðraкн.; við hvørt Ꞌ annað, hvørt við annaðкн.=>допо́лнить@
друг3	IIInum indecl síсам-
друга́н	Gen, Accдруга́на́; plurдруган|ы́, ~о́в,~а́мm jarg.vinurмсогл-ir, vinmaðurмнепр; kammeratur [-Ꞌraː-]ннкмсогл-ar
друго́й	Iadj1.(иной) annar; hin (тот); дай мне другу́ю ру́чку a) (какую-нибудь) gev mær ein annan penn; b) (вторую из двух) gev mær hin pennin; на корабле́ бы́ли и други́е ру́сские aðrir russarar vóru eisini á skipinum; кто-то друго́й onkur annar; никто́ друго́й, как … eingin annar enn ...; совсе́м друго́е nakað heilt annað; он стал совсе́м други́м челове́ком hann er blivin eitt heilt annað menniskja; всё ста́ло други́м alt er blivið øðrvísi; ду́мает одно́, а говори́т друго́е hann hugsar eitt, men sigur nakað annað; смотре́ть други́ми глаза́ми (на что-то л.) hyggja við øðrum eygum (at o-m); че́рез неде́лю - другу́ю um einar fjúrtan dagar; оди́н за други́м hvør eftir [εʰtː-] øðrum, ein fyri og annar eftir [εʰtː-], hvør í hølunum á øðrum; оди́н ничу́ть не лу́чше друго́го hvør er verri enn annar; на друго́м берегу́ реки́ hinumegin ánna; по-друго́му annarleiðis, øðrvísi; оди́н… друго́й… annar ... hin ...; одни́… други́е... summir ... summir.., summir ... aðrir ...{summar... summar ...ж; summar ... aðrar...ж; summi... summи ...с; summi ... onnur...с); nakrir... aðrir.. {nakrar... aðrar...ж, nøkur... onnur...с); одного́ зва́ли Ю́рием, друго́го Ви́ктором annar æt Jurij, hin Viktor; и то и друго́е bæði; (и) тот и друго́й báðir; ни тот, ни друго́й hvørgin; ни то, ни друго́е hvørki; тот или друго́й onkur; не тот, так друго́й ein og hvør, hvør sum helst; в друго́м ме́сте eina aðrastaðni, á einum øðrum stað; во мно́гих други́х места́х nógva aðrastaðni; в друго́й раз a) (когда-л.) onkuntíð (seinni [sai̯tnɪ]); b) (при другом случае) eina aðru ferð; раз - друго́й nakrar ferðir; в друго́е вре́мя eina aðru ferð; тепе́рь други́е времена́ tíðirnar eru øðrvísi nú; други́ми слова́ми við øðrum orðum; э́то друго́е де́ло tað er nakað annað, tað er annað mál, tað er nakað heilt annað; э́то не́что (совсе́м) друго́е hetta er nakað heilt annað, hetta er heilt øðrvísi; (лю́ди) совсе́м друго́го ро́да (fólk) av heilt øðrum slag2.(второй) næsturпревосх. отnærri,склоняется как прил.; на друго́й день dagin eftir [εʰtː-]IIm(иной, не сам) annar; друго́й бы благодари́л, а ты… onkur annar hevði [hεijɪ] sagt takk, men tú ...; забо́титься о други́х hava umsorgan fyri øðrum@друго́й раз(иногда)tlm.av og á, við Ꞌ hvørt, summar tíðir =>де́ло5,8,мне́ние,приня́ть18,спо́соб,сторона́1,2@,таба́к@
дру́жба	fvinalagс0о{a/ø}{0<>i}, vinskapur [vɪn-]мсогл-ir; (с Ins-við Вин;Gen и Gen,между Ins и Ins millum Вин og Вин); быть в дру́жбес кем-л.vera vinur viðo-n;@не в слу́жбу, а б дру́жбу(сде́латьчто-л.)tilt.gerao-tsum eina vinartænastu, gerao-tsum eina vinargerð;дру́жба дру́жбой, а слу́жба слу́жбойorðtvinskapur fyri seg og arbeiði fyri seg.;Дом дру́жбыsovjet.Vinahús (í størri sovj. býum,har ym. sløg av tiltøkum til frama fyri samband við onnur lond vóru) =>води́тьB 1,из5,свести́8
дружелю́бие	nvinsemiсгл-i;жгл-i
дружелю́бный	stfдружелю́б|ен, ~на, ~но, ~ныadj1.(дружеский) vinsamurсогл{a/o}, vinaligurглigur, blíðurгл2.teld.: дружелю́бный к по́льзователю brúkaravinaligurглigur
дру́жески	adv síпо-дру́жески
дру́жеский	adjvinaligurглigur, vina(r)-; дру́жеский посту́пок vinargerð; дру́жеская услу́га vinartænasta, vinargerð; дру́жеский приве́т vinarheilsan; с дру́жеским приве́том (в письмах и т.п.) vinaliga, vinalig heilsan (undir brøvum o.tíl.); быть на дру́жеской ноге́с кем-л.vera góður vinurvið o-n, vera vælvið o-n; дру́жеские отноше́ниятжgott vinalagс0о{a/ø}{0<>i}; мы с ним в дру́жеских отноше́ниях tað er gott vinalag okkara millum [-tl-]; датькому-л.дру́жеский сове́т gevao-meitt vinarráð; дру́жеская встре́ча, дру́жеский матчítr.vinadystur =>услу́га1
дру́жественный	stfдру́жествен, ~на, ~но, ~ныadjvinaligurглigur, vinaliga sinnaðurгл; дру́жественная поли́тика vinaliga sinnaður politikkur [pʰoːlɪꞋtʰɪ-]; дру́жественные стра́ны vinaliga sinnað lond; дру́жественные свя́зи vinasamband; дру́жественный визи́т vinavitjan; дру́жественный к по́льзователюsíдружелю́бный2
дружи́на	f1.søg.(в древней Руси,в средние векa) hirðж0-ir2.søg.(войсковая часть царской армии)tiltaksherdeild svarandi tilполкí tsaristiska Russlandi3.(группа,отряд): пионе́рская дружи́наsovjet.pionerfelagsskapur [-Ꞌneː-]мсогл-(t.d. á einum skúla); пожа́рная дружи́на sjálvboðið sløkkiliðс0о{0<>i}; доброво́льная наро́дная дружи́наsovjet.sjálvboðið [ʃɔlp-] vaktarliðс0о{0<>i}(sum m.a. patruljeraði í gøtum í býum)
дружи́нник	m1.søg.(в древней Руси, в средние векa) hirðmaðurмнепр2.(член народоной дружины) limur í sjálvbodnum vaktarlið, síдружи́на3
дружи́ть	дружу́, дру́ж|ишь, ~атipf с кем-л.veraслнa-ó-evinurvið o-n, veraслнa-ó-evælvið o-n; veraслнa-ó-e(væl í) mátкн.
дружи́ще	Gen, Accдружи́ща;plurдружи́щ|а, ~, ~амmtlm.(hin) gamli, (mín) gamli vinur (tá talað verður á o-n)
дру́жка1	Iplurдру́ж|ки, ~ек, ~камmgml.≈ brúðmaður [prʏm-]мнепруст.
дру́жка2	IIprontlm.síдругII; друг дру́жку hvønn Ꞌ annanм а также часто об особах разных полов, hvørjа Ꞌ aðraж, hvørt Ꞌ annaðс
дру́жно	adv1.(во взаимном согласии) í semju, vinaliga; дру́жно жить liva í sátt og semju, sitaслнa-ó-ivæl um sátt, veraслнa-ó-evæl í øgn; бесе́довать дру́жно tosa vinaliga saman2.(разом) samtíðis, saman; einmælt (единодушно); держа́ться дру́жно standaслнó-ó-asaman; де́йствовать дру́жно samvirkaaði; все дру́жно взяли́сь за де́ло allir [atl-] tóku tak saman; все дру́жно голосова́ли за него́ øll [œtl] atkvøddu einmælt fyri honum
дру́жный	stfдру́жен, дружна́, дру́жно, дру́жныogдружны́adj1.(сплочённый) samansjóðaðurглaður; дру́жная семья́ ein familja [-Ꞌmɪ-], sum situr væl um sátt2.(одновременный) samtíðisнар.; felagsнескл.(общий); дру́жными уси́лиями í samdrátti, við felags stríði; разда́лся дру́жный смех allir [atl-] skóru útúr [ʉuꞋtʰʉuɹ] (at flenna); весна́ была́ дру́жной tað tók brádliga at vára; дру́жная о́ттепель bráðkomið toybil3.: быть дру́жным скем-л.vera vinurvið o-n, vera vælvið o-n; они́ дру́жны teir eru vinmenn [vɪn-]
дружо́к	Gen, Accдруж|ка́;plur~ки́, ~ко́в, ~ка́мm1.dim avдруг2.tlm., oftaatf.(приятель) vinmaður [vɪn-]мнепр
друз…	друзья́o.s.fr. plur avдруг I
дру́за	fmin.krystallloki [kʰɹʏꞋstal-], [kʰɹɪꞋstal-]мгл-i
дру́зы	дру́з|ов, ~амm plurdrusarмгл-iмн(muslimskur bólkur í Miðeystri)
друи́д	mdruidi [-Ꞌiːtɪ]мгл-i
дры́гать	ipf(momentдры́гнутьдры́гн|у, ~ешь, ~ут)чем-л.tlm.: дры́гать нога́ми spjálkaaðivið beinunum, spraklaaðivið beinunum
дры́гаться	ipf(momentдры́гнутьдры́гн|у, ~ешь, ~утся)tlm.spjálkaaði, spraklaaði
дры́гнуть	momenttlm.síдры́гать
дры́гнуться	momenttlm.síдры́гаться
дры́згать	ipf(pfнадры́згать)óvkm.spruttaaði
дрын	m1.tlm.(палка, дубина) gassiмгл-i2.fl., jarg(мужской член) murturмсогл-arтабу, fansurмсогл-arтабу
дры́хнуть	дры́хн|у, ~ешь, ~ут;pretдрых, дры́хл|а, ~о, ~иogдры́хнулo.s.fr.ipfóvkm.,atf.sovaслнa-ó-o
дрю́чить	ipf síвздрю́чить
дря́блость	f1.(о мускулах) slappheitннкж0-ir(um vøddar)2.fl.(состояние без энергии и т.п.) dølskniсгл-i;жгл-i; deydligheitж0-ir(вялость); vinglс0о(безволие, колебание)
дря́блый	stfдрябл, дрябла́ogдря́бла, дря́бло, дря́блиadj1.(о мускулах) slappurннксогл, linurсогл(um vøddar); kvapsuturсогл, fulputurсогл(жирный,не упругий,о лице,теле)2.fl.(лишённый энергии) linurсогл, slakkurсоглнеформ.; veikurсогл, vingluturсогл(безвольный)
дря́зги	дря́зг, ~амf plurtlm.klandurм0осн, keglс0о, klammarí [-Ꞌrʊi]с0о
дрянно́й	stfдря́нен, дрянна́, дря́нно, дря́нныogдрянны́adjtlm.lúsaнескл.грубо, lortaнескл.грубо, skítнескл.вульг.; кака́я дрянна́я о́бувь! teir lúsa skógvar!; дрянна́я пого́да eitt skítвульг.veður; дрянно́й челове́кsíдрянь2
дрянь	ftlm.1.(хлам) lorturмсогл-arгрубо, óruslс0о2.(о человеке) lorturмсогл-arгрубо, lorthundurмсогл-arгрубо, lortendiмгл-iгрубо@де́ло дряньtað gongur eftir [εʰtː-] reyvнеформ., tað stendur illa [itla] til
дряхле́ть	ipf(pfодряхле́ть) verða karlagin [kʰaɹ-]соглоснg, verða skroypiligurглigur, verða ússaligurглigur;Nomдряхле́етИмversnar [vεsn-],Имfer aftur [aʰtː-], tað gongur afturá [aʰtː-] hjá [tʃʰ-]Дат, tað gongur afturá [aʰtː-] viðДат
дря́хлость	fskroypiligheitж0-ir, ússaligheitж0-ir
дря́хлый	stfдряхл, дряхла́, дря́хло, дря́хлыadjkarlagin [kʰaɹ-]соглоснg, skroypiligurглigur, ússaligurглigur
д/с	síдетса́д
ДСО	[дэ-эс-о́], [дэ-сэ-о́]с indeclдоброво́льное спорти́вное о́бщество ítróttarfelag [-ɔʰtː-]с0o{a/ø}{0<>i}
ДТП	[дэ-тэ-пэ́]с indeclдоро́жно-тра́нспортное происше́ствие ferðsluvanlukkaжгл-a
дуайе́н	mdoyen [twaꞋjεnː]м0-ar(опр-ur)спец.; aldursforsetiмгл-i(hjá diplomatum)
дуали́зм	m1.filos.(философское направление) dualisma [tuːwaꞋlɪ-]жгл-a2.(двойсвенность,раздвоенность) dualisma [tuːwaꞋlɪ-]жгл-a, tvíleikiлпмгл-i
дуали́ст	mdualistur  [tuːwaꞋlɪ-]мсогл-ar
дуалисти́ческий	adjdualistiskur [tuːwaꞋlɪ-]соглsk
дуб	plurдуб|ы́, ~о́в, ~а́мm1.(дерево) (Querqus) eikж0-ir, eikitræс0о{æ/ø}{0<>i}2.(древесина) eikж0-ir, eikiviðurмсогл-ir3.tlm.(тупой человек) neytс0о, dylhøvd [-hœtː]с0о, dólgurмсогл-ar@дать ду́баóvkm.doyggjaнепр, siglair(d){+}Ꞌ avидиом.,неформ.
Дуба́й	m1.(государство) Dubai [tuꞋpai]с0{дат.0}(land)2.(город) Dubai [tuꞋpai]м0{дат.0}(býur)
дуба́сить	дуба́шу, дуба́с|ишь, ~ятipftlm.1.pfотдуба́ситьотдуба́шу, отдуба́с|ишь, ~ят Acc(колотить) sláaслнó-ó-iВин, bukaaðiВин2.по чему-л., во что-л.(стучать) bankaaði(upp)á o-t, dukaaðiá o-t, bukaaði(upp)á o-t
дуби́льный	adjgarvi-; дуби́льная кислота́ garvisyra [-syː-]жгл-a, garvisýraнпжгл-a; дуби́льная кора́ barkс0о{a/ø}(at garva við)
дуби́льня	fgarvarí [-Ꞌrʊi]с0о, skinnvirkiсгл-i
дуби́льщик	mgarvariмгл-ari
дуби́на	f1.(толстая палка) gassiмгл-i, lurkurмсогл-ar, knippilннкмосн-s,-ar2.tlm.(дурак) býttlingurмсогл-ar, idiotur [iːtiꞋoː-]энкмсогл-ar, tjórneyt [tʃʰœɹ-]с0опрезр.
дуби́нка	plurдуби́н|ки, ~ок, ~камfgassiмгл-i, lurkurмсогл-ar; рези́новая дуби́нка gummigassi [kʊmːi-], gummilurkur [kʊmːi-]@вор у вора́ дуби́нку укра́лorðt.skálkurin lumpaði skálkin
дуби́тель	mevniсгл-iat garva við
дуби́ть	дублю́, дуб|и́шь, ~я́тipf(pfвы́дубитьвы́дуб|лю, ~ишь, ~ят)что-л.garvaaðio-t
дубле́ние	ngarvingж0-ar
дублёнка	plurдублён|ки, ~ок, ~камftlm.ruskinsfrakkiмгл-i
дублёный	adj1.(подвергшийся дублению) garvaðurглaður; дублёный полушу́бокsíдублёнка2.fl.(о лице и т.п.) veðurbardurсогл(andlit o.tíl.), dassleitturсогл
дублёр	m1.(замена) varamaðurмнепр, tiltaksmaður [tʰɪl̥tʰa-]мнепр, eykamaðurмнепр; води́тель-дублёр tiltakschaufførur [tʰɪl̥tʰaʰksʃaføː-]; дублёр космона́вта varamaður hjá astronauti [astɹoꞋnau-]2.sjónl.(заменяющий другого актёр) tiltakssjónleikari [tʰɪl̥tʰaʰks-]нпмгл-ari, dubleantur [tʊplɪꞋa-]ннкмсогл-arпроф., stand-in [stantꞋɪnː]ннкм0-ar({0<>i})проф.; stuntmaðurмнепр(на рискованных съёмках)3.sjónl.(актёр, читающий перевод) sjónleikariмгл-ari, ið lesur umsetingina av filmtalu
дубле́т	m1.(дублированный экземпляр) tvítakнпс0о{a/ø}, dublett [-Ꞌplεʰtː]ннкж0-ir2.(выстрелы) dupultskotс0о
дублика́т	mmakaskjalс0о{a/ø}спец., duplikat [tʊʰpliꞋkʰaːt]с0опроф.; kopi [-Ꞌpʰiː]ннкс0о(;0-ir), avritнпс0о(копия)
Ду́блин	mDublin [tʊplin]м0{дат.0}
дубли́ровать	дубли́ру|ю, ~ешь, ~ютipf1.pfпродубли́роватьпродубли́ру|ю, ~ешь, ~ют что-л.(делать параллельно) geraнепрsama arbeiðið, geraнепрtað sama; мне нет смы́сла дубли́ровать ва́шу рабо́ту tað er eingin grund til, at vit gera sama arbeiðið2.Accsjónl.(заменять испоняющую роль) dublera [-Ꞌleː-]aðiпроф.Вин; дубли́ровать актёра dublera ein sjónleikara; дубли́ровать роль dublera eina rolluннк3.что-л.(озвучивать) synkronisera [ˌsʏŋ̊kʰɹoːniꞋseː-]aðio-t; дубли́ровать фильм synkronisera ein film; фильм дубли́рован на фаре́рский [-рэ́р-] язы́к filmurin hevur føroyska [føːɹɪska] talu
дубль	m1.ítr.(двойная победа) greipaжгл-a, dupultsigurм0осн-s,-ar2.(съёмка) upptøkaжгл-aeina ferð afturat [aꞋtʰɹεat] (av tátti í filmi o.ø.)
дубля́ж	msynkronisering [ˌsʏŋ̊kʰɹoːniꞋseː-]ж0-ar(av filmi)
дубня́к	Genдубняк|а́;plur~и́, ~о́в, ~а́мmeikiskógж0-ir, еikiskógurнпмсогл-ir;-ar(лес); eikilundж0-ir(роща)
дубова́тый	stfдубова́т, ~а, ~о, ~ыadjbýttligurглigur, býttisligurглigur(туповатый); bulvirkisligur [pʊl-]глigur, óstortsligur [-Ꞌstɔʂl-]глigur(грубоватый,неуклюжий)
дубо́вый	adj1.(кдуб) eiki-, úr eik; дубо́вый лист eikiblað; дубо́вая ро́ща eikilund; дубо́вый стол eikiborð, borð úr eik2.tlm.(жесткий) harðurсогл{a/ø}, ikki etandiглandi; дубо́вые я́блоки hørð súreplir3.(неуклюжий) óstortsligur [-Ꞌstɔʂl-]глigur, klombruturсогл; óhølvaðurглaður(грубый); tápuligurглigur(тупой); дубо́вый стиль stirvinсоглоснstílur, knortluturсоглstílur; дубо́вый язы́к óliðiligt mál@дубо́вая голова́ {башка́}óvkm.tápulingurмсогл-ar, greytheiliмгл-i
дубоно́с	m: (обыкнове́нный) дубоно́с (Coccothraustes coccothraustes) kjarnbítur [tʃʰatnp-], [tʃʰanp-]мсогл-ar
дубра́ва	f1.(дубовый лес) eikiskógж0-ir, eikiskógurнпмсогл-ir;-ar; eikilundж0-ir(дубовая роща)2.skald.(лиственный лес) leyvskógж0-ir, leyvskógurнпмсогл-ir;-ar
дубро́вник	m(Emberiza aureola) bringugulurсоглspurvurмсогл-ar
Дувр	mDover [toːvεɹ]м0{дат.0}
дуга́	plurду́г|и, ~, ~амf1.(то,что имеет форму изогнутой линии) bogi [poːjɪ], [puːwɪ]мгл-i(o-t bogaskapað); вы́гнуть дуго́й спи́ну setaur(t);ir(t)ryggin upp úr [ʊꞋpʰʉuɹ] sær, skjótaслнey-u-oryggin upp úr [ʊꞋpʰʉuɹ] sær, kúlaaðiryggin upp úr [ʊꞋpʰʉuɹ] sær; бро́ви дуго́й eygnabrýr sum ein bogi2.mat.(часть круга) sirkulbogiмгл-i3.: электри́ческая {во́льтова} дуга́ ljósbogiмгл-i4.tlm.(трамвая) stongж0-ur{o/a/e}á sporvogni, sum streymur kemur ígjøgnum [-Ꞌtʃœknʊn]5.(часть упряжи)bogi til at festa vognarmar í bógtræið við(á rossatýggjum)6.fisk.: тра́ловая дуга́ gálgiмгл-i(til trol); дуга́ тра́ловой доски́ brakkс0омор.=>гнуть@,жа́берныйI
дугово́й	adjboga- [puːwa-]; дугова́я ла́мпа (kol)bogalampa
дугообра́зный	stfдугообра́з|ен, ~на, ~но, ~ныadjbogaskaptur [puːwa-]согл, bogaskapaður [puːwa-]глaður
дуда́	f1.(волынка) sekkjapípaжгл-a2.dial.síду́дка=>дуде́ть@,швец@
дуде́ть	дуди́шь, дудя́тipf 1. pers ikki brúktur1.(играть на дудке и т.п.): дуде́ть в ду́дку blásaur(t){+}á floytu [flœi-] (реже[flɔi-]); floyta [flœi-] (реже[flɔi-])aði, bríkslaaði(издавать звуки)2.fl.(повторять одно и то же) júkaaði, meylaaði, jabbaaði@дуде́ть в одну́ дуду́ {ду́дку}a) (действовать заодно) arbeiðair(d)saman; dragaслнó-ó-ieina línu í arbeiðiидиом.; b) (повторять одно и то же) sigaнепрupp í saman, júkaaði, meylaaði, jabbaaði
ду́дка	plurду́д|ки, ~ок, ~камf1.(музыкальный инструмент) floyta [flœi-] (реже[flɔi-])жгл-a(einfalt musikkinstrument)2.: бо́цманская ду́дка bátmansfloyta [-flœi-] (реже[-flɔi-])жгл-a=>пляса́ть
ду́дки	inter,tlm.lort heldurгрубо, tramanstíðгрубо, illanstíð [-tl-]
ду́дник	m: ду́дник, лесно́йsíдя́гиль, лесно́й
ду́жка	plurду́ж|ки, ~ек, ~камf1.dim avдуга́2.(часть предмета в форме дуги) stongж0-ur{o/e}; boyliмгл-i(у лыжного крепления); ду́жки очко́в brillustengur3.(ручка) honkж0-ur{o/e}
ду́й...	ду́й, ду́йтеimper avдуть
дука́т	mdukatur [-ˈkʰaː-]мсогл-ar
ду́ла	fdoula [tɔula]ж0-ir;жгл-a
ду́ло	n1.(отверстие) (byrsu)múliмгл-i, (byrsu)kjafturмсогл-ar2.(ствол) løpннкс0о, pípaнпжгл-a(á byrsu o.ø.); под ду́лом пистоле́та við pistólinum [-Ꞌstɔu-] fyri bróstið
ду́льце	plurду́льца, ду́лец, ду́льцамn1. dim tilду́ло2.mus.(отверстие духового инструмента) munnstykkiсгл-i(á blásiinstrumentum)
ду́ля	fóvkm.síку́киш
ду́ма	f1.hátíð., skald.(мысль) tanki [tʰaŋ̊tʃɪ]мгл-i, hugsanж0-ir2.(род стихотворения)slag av serl. ukrainskari episkari og lyriskari yrking3.søg.(орган) dumaжгл-a(kommunustýri í russ. býum framman undan 1917); боя́рская ду́маsøg.bojaraduma [pɔꞋjaː-],sí eis.боя́рин; Госуда́рственная ду́маsøg.ríkisdumaжгл-a, dumaжгл-a(russiska tjóðartingið 1905-1917); Госуда́рственная Ду́ма (Росси́йской Федера́ции) Ríkisdumaжгл-a(;0-ir)(í Russiska Samveldinum), Dumanжгл-a;(0-ir)опр.(undirhúsið í russiska tinginum)
ду́мать	ipf1.pfподу́мать (размышлять) (о Prp;над Ins) hugsaaði(umВин), teinkjair(t)(upp áВин); о чём ты ду́маешь? hvat hugsar tú um?; hvat teinkir tú uppá [ʊꞋpʰɔa]?; я всё ду́маю, до́ма ли он eg gangi og spekuleri [speːkuꞋleː-]ннкupp á, um hann man vera inni; он никогда́ не ду́мает о други́х hann hugsar ongantíð um onnur; ду́мать то́лько о себе́ bara hugsa um seg sjálvan; дума́ть над зада́чей hugsa um uppávuna; то́лько оPrpи ду́мать ikki hugsa um annað ennВин; я ча́сто об э́том ду́маю eg hugsi ofta um tað; ду́мать одно́, а говори́ть друго́е hugsa eitt, men siga nakað annað; а я-то ду́мал ... og eg sum helt...;sbr.про @2.что-л.(полагать,считать) haldaслнe-i-io-t; ду́маю, что да tað haldi eg, tað hugsi eg; ты(, действи́тельно,) так ду́маешь? heldur tú (virkuligaннк)?; man tað vera?; что ты ду́маешь об э́том? hvat heldur tú um hetta?; я, скоре́е, ду́маю, что… eg vildi heldur hildið, at...3.+ inf(намереваться) ætlaaði; я ду́маю оста́ться до́ма eg ætli mær at verða verandi heima4.(предполагать) væntaaði; я не ду́мал уви́деть тебя́ здесь eg hevði [hεijɪ] ikki væntað at sæð teg her5.pfподу́матьна Acctlm.(подозревать) havaнепрillgruna tilВин(til Род с личн. мест.,иначекн.,уст.), illteinkjair(t, misteinkjaннкir(t)Вин; я так и ду́мал! tað var tað, eg grunaði!; я ду́мал на неёeis.eg mistonktiннкhana, eg illtonkti hana, eg hevði [hεijɪ] illgruna til hennara@мно́го ду́мать о себе́haldaслнe-i-inógv um seg sjálvan;не до́лго ду́маяuttan at ivast, uttan himpr;тут и ду́мать не́чего(надо соглашаться) her er einki at ivast í, her er ikki at himprast;я ду́маю!tað vildi eg hildið!; он хорошо́ рабо́тает? - Я ду́маю! dugir hann væl at arbeiða? -Tað vildi eg hildið!;вот уж не ду́маюtað skuldi akkurát passa;не ду́маю!valla [-tla], tað man ikki vera, tað hugsi eg ikki;и не ду́маю!yvirhøvur [-Ꞌhøː-] ikki!; tað kemur mær ikki til hugs!; и не ду́маю+ inftað kundi ikki komið mær til hugs at +суп., eg kundi ikki droymt um at +суп.;что ты себе́ ду́маешь?a) (на что ты надеешься) hvat traminгрубоhugsar tú um?; b) (что ты воображаешь) hvat hugsar tú fyri tær?; hvat billar [-tl-] tú tær inn? =>гада́ть,какI 1,на́до@
ду́маться	ду́маетсяipf óp Дат1.(pfподу́маться) (казаться) haldaслнe-i-i, tykjastir(t){+}; мне ду́мается, что… eg haldi at..., mær tykir, atкн....2.: мне всё ду́мается о нём eg hugsi alla [atla] tíðina um hann; в лесу́ хорошо́ ду́мается tað er gott at hugsa í skógini
ду́мец	Gen, Accду́мц|а; plur~ы, ~ев, ~амmtlm.dumalimurмсогл-ir(síду́ма2)
ду́мка	plurду́м|ки, ~ок, ~камftlm.(lítil) koddiмгл-i, (lítil) høvdapúta [hœtː-]мгл-a
ду́мский	адй duma-
Дуна́й	mDonau [toːnau]ж нескл.
дуна́йский	adjdonau- [toːnau-]
дунга́нин	plurдунга́н|е, ~, ~амmdungani [-Ꞌkaː-]мгл-i
дунга́нский	adjdunganskur [-Ꞌkaː-]соглnsk; дунга́нский язы́к dunganskt [-Ꞌkaː-]сприлskt
дунове́ние	nfleyrс0о, ondж0-ir{o/a}(fleyr), lotс0о
ду́нуть	moment síдуть
