ф	1.ферзь frúgv, drotning (í talvi)2.фара́да F farad [faː-]
флеш-па́мять	[флэ-]fflash-goymsla [flaʃ-]жгл-a
флибустье́р	msjórænariмгл-ari
фли́гель	plurфлигел|я́, ~е́й, ~я́мoggml.~и ~ей, ~ямmvongurмсогл-ir{+};-s,-ir{+}(á húsum); armurмсогл-ar{a/ø}(á húsum)
фли́гель-адъюта́нт	msøg.adjutantur [-Ꞌtʰa-]мсогл-ar(hjá tsarinum)
флирт	mflirtur [flœɹ̥t-]ннкмсогл-ar
флиртова́ть	флирту́|ю, ~ешь, ~ютipf с кем-л.flirta [flœɹ̥ta]ннкaði
флокс	m(Phlox) floksс0о, flammublómaжгл-a
флома́стер	mfiltpennurмсогл-ar
фло́ппи-диск	mfloppy [flɔʰpːi] diskм0-ar(опр-ur)
флор	mdúrkс0о(serliga í maskinrúmi o.ø.)
фло́ра	ffloraжгл-a, gróðurс0осн(растение)
Флоре́нция	fFirenze [-Ꞌrεn̊sε] (тж[-Ꞌrεn̊tsε])м нескл., Florensм0{дат.0}уст.
Флори́да	f1.(полуостров) Florida [flɔrita]ж нескл.(hálvoyggj)2.(штат) Florida [flɔrita]м нескл.(statur)
флори́н	mflorin [-Ꞌriːn]ж0-ir
флот	mflotiмгл-i; морско́й флот havgangandi floti; вое́нно-морско́й флот (ВМФ) marina [-Ꞌriː-]жгл-a, herfloti; поступи́ть во флот fara upp í flotan, gerast marinari [-Ꞌriː-]; служи́ть в {на} фло́те vera marinari [-Ꞌriː-]ннк=>возду́шный2,торго́вый
флоти́лия	f1.(военные суда) flotadeildж0-ir(herfloti)2.(отряд судов) flotiмгл-i(fiskiskip o.a.)
флотово́дец	Gen, Accфлотово́дц|а; plur~ы, ~ев, ~амmhátíð.flotaovastiмгл-i
фло́тский	1.adj(кфлот) flota-, marinu- [-Ꞌriː-] (тк о военно-морском флоте)2.mtlm.(служащий во флоте) marinari [-Ꞌriː-]ннкмгл-ari
флэпс	síфлепс
флэш-па́мять	f síфлеш-па́мять
флюга́рка	plurфлюга́р|ки, }ок, ~камm1.(часть флюгера) veðurhaniмгл-i(um sjálvan tann partin,sum melur)2.(флажок) vimpilм0осн(á báti o.ø.)3.(над дымовой трубой) roykhettaжгл-а
флю́гер	1.plurфлюгер|а́, ~о́в, ~а́мoggml.флю́гер|ы, ~ов, ~амm(прибор) veðurhaniмгл-i2.fl.plurфлю́гер|ы, ~ов, ~амogtlm.флюгер|а́, ~о́в, ~а́мm(о человеке) vinglс0о, vingliskølturмсогл-arпренебр.
флюи́ды	m plurfl.útstrálingж0-ar
флюоресце́нтный	adjfluorescerandi [-Ꞌseː-]глandiспец.
флюоресци́ровать	флюоресци́ру|ю, ~ешь, ~ютipffluorescera [-Ꞌseː-]aðiспец.
флюорогра́фия	ffotografering [-Ꞌfeː-]ж0-irav mynd á skermi
флюс1	Im(опухоль) tannbúldннкж0-ir, tannsvullur [-tl-]лпмсогл-ar;согл-s,-ir
флюс2	IImtekn.flusс0о(til jarnsmelting, lodding o.tíl.), flusmiddilннкс0оснпроф.
фля́га	ffeltfløskaжгл-a; lummafløskaжгл-a, pisaжгл-aшутл.(fløska) (для водки и т.п.)
фля́жка	plurфля́ж|ки, ~ек, ~камf síфля́га
ФНПР	[фэ-эн-пэ-э́р]f indeclФедера́ция незави́симых профсою́зов Росси́и Sambandið av óheftum russiskum fakfeløgum [faː-]
ФНС	[фэ-эн-э́с]f indeclФедера́льная нало́говая слу́жба Føderala [-ˈraː-] skattatænastan (í Russlandi)
ФОБ	[фоб]n indeclСвобо́дно по бо́рту fob [fɔpː], FOB [fɔpː], Free On Boardангл.
фо́бия	ffobi [-Ꞌpiː]ж0-irспец.
ФОБС	[фобс]n indeclФОБ с погру́зкой fobs [fɔps], FOBS [fɔps], Free On Board Stowedангл.
фойе́	n indeclforhøll [-tl]ж0-ir{ø/a}, foyer [fwaꞋjeː]ннкмгл-гл
фок	mfokkaжгл-a
фок-ма́чта	fstórmastur [stœ-]ж0осн
фокстерье́р	[-тэ-]mfoksterriariмгл-ari
фокстро́т	mfoxtrot {fokstrott} [fɔʰkstʰɹɔʰtː]м0-ar(опр-ur)
фо́кус1	Im1.fys.,mat.(точка пересечения лучей) fokusс0о{0<i}, brennidepilнпм0осн-s,-ar2.foto(в фотографировании) fokusс0о{0<i}; наводи́ть на фо́кус setaur(t);ir(t)í fokus, fokusera [-Ꞌseː-]aði; сни́мок не в фо́кусе myndin er ikki í fokus3.lækn.(очаг воспаления) centrum [sε-]с0-um, miðdepil [miːt-], [mɪt-]нпм0осн-s,-ar(fyri bruna o.tíl.)4.fl.(средиточие) fokusс0о{0<>i}; miðdepil [miːt-], [mɪt-]м0осн-s,-ar(центр); в фо́кусе внима́ния í fokus, í brennideplinumкн.; фо́кус землетрясе́ния miðdepilin fyri jarðskjálvtan [jaʂʃɔl̥t-]
фо́кус2	IIm1.(трюк) tryllikunstur [-ʏlː-]ннкмсогл-s,-ir, gandakynsturс0оснкн.; пока́зывать фо́кусы vísa kunstir; ка́рточный фо́кус kortkunstur2.(сложность,секрет) kunsstykkiсгл-i, kunsturмсогл-s,-ir; в э́том-то и фо́кус tað er nettupp tað, sum er kjarnan [-tn-] í málinum; э́то не фо́кус hetta er eingin kunstur3.(уловка) snildж0-ir, hokupokus [ˌhoːkʊsꞋpʰoː-]с0o({0<>i})4.mest plur(капризы)tlm.grillaннкжгл-a, lúnurжгл-aмн, ríggjurжгл-aмн; он вы́кинул фо́кус tað skeytst upp á hann, tað stakst upp á hann
фокуси́ровать	фокуси́ру|ю, ~ешь, ~ютipf/pf(pf eis.сфокуси́роватьсфокуси́ру|ю, ~ешь, ~ют)что-л.1.foto,fys.(собирать лучи в фокус;устанавливать фокус) fokusera [-Ꞌseː-]aðio-t2.на чём-л.bókl.(ставить в центр) fokusera [-Ꞌseː-]ннкaðiupp á o-tпубл.
фо́кусник	m1.(артист) tryllikunstnari [-ʏlː-]ннкмгл-ari, gandakallur [-tl-]нпмсогл-ar{a/ø}2.tlm.(ловкач) fuppmakariмгл-ariпренебр., snýtariмгл-ari3.tlm.(капризный человек) lúnuskølturмсогл-ar
фо́кусничать	ipftlm1.(капризничать) vera lúnuturсогл2. (хитрить, лукавить) brúkaar(t)snildir3.(манерничать) vera tilgjørdurсогл, geraнепрseg Ꞌ til, geraнепрseg Ꞌ upp
фо́кусный	adj: фо́кусное расстоя́ние brennivíddж0-ir
фол	m ítr.brotс0оá reglur (í ítrotti)
фолиа́нт	mbókl.foliantur [-Ꞌa-]мсогл-ar
фолк	mfolk-tónleikur [fɔuk-]мсогл-s,-ir
фолк-гру́ппа	ffolk-bólkur [fɔuk-]мсогл-ar
фолк-кома́нда	ffolk-bólkur [fɔuk-]мсогл-ar
Фолкле́ндские острова́	Falklandsoyggjarnar [-lan̊s-]ж0-ar{+}мн опр.
фолк-му́зыка	ffolk-tónleikur [fɔuk-]мсогл-s,-иr, folk-musikkur [fɔuk-]мсогл-ar
фолк-ро́к	mfolk [fɔuk] rockur [rɔʰkː-] folk [fɔuk] {rokkur}мсогл-ar
фолли́кул	mfollikul [-Ꞌliː-]м0осн-s,-arспец.
фолло́вер	mfylgjariмгл-ari(á netinum o.a.)
фольга́	ffoliaжгл-a; silvurpappír [sʏlpʰapʰʊiɹ]с0о(тонкая для упаковки)
фо́льга	fgml.,fakm.síфольга́
Фо́лькетинг	mFólkatingiðс0oопр.(в Дании)
фолькло́р	mfólkaminniсгл-iмн, folklore [fɔl̥kloːɹ]с0о{дат.0}
фольклори́ст	mfólkaminnisfrøðingurмсогл-ar
фольклори́стика	ffólkaminnisfrøðiжгл-i
фолькло́рный	adjfólkaminnis-
Фома́	mbíbl.o.a.Tummasм0-ar{0<>i}@неве́рный {неве́рующий} Фома́tann vantrúni Tummas
фон1	Im1.(задний план) bakgrundж0-ir; botnurмсогл-ar, grundlitur [kɹʊnl-]мсогл-ir(основной цвет); на све́тлом фо́не á ljósari bakgrund, á ljósum botni; основно́й фон ковра́ grundliturin í teppinum; дом видне́ется на фо́не тёмного не́ба húsið dagar upp móti luftini; радиоакти́вный фон bakgrundsradioaktivitetur [-kɹʊn̊s-]2.(в приёмнике и т.п.) bakgrundsóljóð [-kɹʊn̊s-]с0о@на фо́нечего-л.viðo-mí huga; afturímóti [aʰtːʊɹʊiꞋmɔutɪ]o-m=>выделя́ться2
фон2	IImfys.(единица) fonс0о
фона́рик	m(lítil) lyktж0-ir; карма́нный {электри́ческий} фона́рик lummalykt
фона́рный	adjlykta(r)-; фона́рный столб lyktarpeli, lyktarsteyri
фона́рь	Genфонар|я́; plur~и́, ~е́й, ~я́мm1.(прибор) lyktж0-ir; lanterna [-Ꞌtʰε-]жгл-a(на судне); у́личный фона́рь gøtulykt, gøtuljósс0о; карма́нный фона́рь lummalykt2.arkit.(выступ в здании) karnappur [-Ꞌna-]мсогл-ar; yvirljósс0о(стеклянная крышка)3.tlm.,skemt.(синяк) blátt eygaсгл-a(av slag o.ø.); подста́вить {наста́вить} фона́рькому-л.gevaслнa-ó-io-meitt blátt eyga@мне э́тодо фонаря́óvkm. eg leggi ein lort í taðгрубо, eg skíti á taðгрубо;ты что, с фонарём?tlm.,atf.ert tú rættsiktaður? =>волше́бный@
фонд	m1.(денежные средства) grunnurмсогл-ar; фонд зарабо́тной пла́ты løngjaldingargrunnur2.(запас) goymslaжгл-a; фонд библиоте́ки bókagoymslurnar hjá [tʃ-] bókasavni, beholdningurin [-Ꞌhɔln-]ннкпроф.av bókum hjá [tʃʰ-] bókasavni; жили́щный фонд bústaðirмсогл-ir(meingið av húsum og íbúðum einum øki,landi); земе́льный фонд Росси́и jørðin í Russlandi (alt landið)3.plur(ценные бумаги) virðisbrøvс0о{æ/ø}4.(организация) grunnurмсогл-ar; Росси́йский фонд культу́ры tann russiski mentunargrunnurin; фонд иму́щества ognargrunnur (ið fæst við privatisering o.a. av almennari ogn)@золото́й фондa)beinl.(золотой запас) gullgoymsla; b)fl.(о ком-л.,чём-л. особенно ценном) tann dýrabarasta ognin =>резе́рвный
фо́ндовый	adj1.(кфонд 1, 2) gruns-2.(кфонд 3) virðisbræva-; фо́ндовая би́ржа virðisbrævabørsur, fondsbørsur
фоне́ма	[-нэ́-]ffonem [-Ꞌneːm]с0о
фонемати́ческий	[-нэ-]ffonem- [-Ꞌneːm], fonematiskur [-Ꞌmaː-]соглsk
фонендоско́п	[-нэ-]mstetoskop [-Ꞌskoːp]с0о
фоне́тика	[-нэ́-]f1.(звуковой строй) ljóðskipanж0-ir, fonetikk [-Ꞌtʰɪʰkː]ж0-irпроф.2.(наука) ljóðlæraжгл-a, ljóðfrøðiжгл-i, fonetikk [-Ꞌtʰɪʰkː]ж0-irпроф.
фонети́ст	[-нэ-]mfonetikari [-Ꞌneː-]мгл-ari, ljóðfrøðingurлпмсогл-ar
фонети́ческий	[-нэ-]adj1.(касающийся звукового строя) ljóð-, ljóðligurглigur, fonetiskur [-Ꞌneː-]соглskпроф.; фонети́ческий зако́н ljóðlóg2.(касающийся науки) ljóðfrøðiligurглigurспец., fonetiskur [-Ꞌneː-]соглskпроф.=>знак1
фо́новый	adjbakgrunds-; фо́новое излуче́ние bakgrundsstráling
фоногра́мма	fljóðupptøkaжгл-a(á diskli,plátu,bandi)
фоно́граф	mfonografur [-Ꞌkɹaː-]мсогл-ar
фонологи́ческий	adjfonologiskur [-Ꞌloːk-]соглsk, ljóðskipanarligurлпглigur
фоноло́гия	ffonologi [-Ꞌkiː-]ж0-ir, ljóðskipanarlæraлпжгл-a
фоноте́ка	fljóðbandasavnс0o{a/ø}, upptøkusavnс0o{a/ø}
фонт	mteld.fonturмсогл-ar
фонта́н	m1.(сооружение) springvatnс0о{a/ø}, gosbrunnurнпмсогл-ar2.(струя жидкости) sprænurмсогл-s,-ir; фонта́н не́фти oljusprænur; кровь бьёт фонта́ном из ра́ны blóðið sprænir úr sárinum; фонта́н (от) кита́ blásturм0осн-a,-ar;-ar,-arhjá [tʃʰ-] hvali3.fl.,tlm.,atf.(поток) floymurмсогл-ar, flóðж0-ir; фонта́н красноре́чия ein flóð av tungusnildi; фонта́н слёз táraflóð@бить фонта́номsprænair(d), spríkjair(t);заткни́ фонта́нtlm.,skemt.tig onkuntíð við tær;э́то не фонта́нtlm.,skemt.hetta hevur lítið upp á seg
фонтани́ровать	фонтани́ру|ет, ~ютipfsprænair(d)(upp), spríkjair(t)(upp)
фо́ра	f: дать фо́рукому-л.a) (дать преимущество) gevao-mfyrimun; b)fl.(превзойти) leggjaнепрo-naftur um [aʰtːʊrꞋumː] seg, faraслнó-ó-afram Ꞌ umo-n
фораминифе́ра	f(подтип Foraminifera) holberiмгл-iбиол.
фо́рвард1	Im ítr.(в футболе) forward [fɔːɹvɔɹt]м0-ar(опр-ur), framherjiмгл-i
фо́рвард2	IIm fíggj.(сделка, документ) forwardsáttmáli [fɔːɹvɔɹt-]мгл-iфин., terminssáttmáli [-ˈmiː-]мгл-iфин.
фо́рвардный	adj: фо́рвардный контра́ктsíфо́рвардII
фордеви́нд	[-дэ-]mfordevind [-Ꞌvɪnt]м нескл.(б.ч. о судах), undangongaжгл-a; идти́ в фордеви́нд siglair(d){+}undan, siglair(d){+}fordevind (б.ч. о судах)
фордыба́чить	фордыба́ч|у, ~ишь, ~атipfóvkm.síфордыба́читьСЯ
фордыба́читься	фордыба́ч|усь, ~ишься, ~атсяipfóvkm.vera tvørurсогл, vera treiskurсоглsk
форе́йтор	m søg. reiðmaður, ið situr á fremsta rossi í toymi
форелево́дство	(eis. [-рэ́-])nsílaalingж0-ar
форе́левый	(eis. [-рэ́-]) adjsíla-
форе́ль	(eis.[-рэ́-]) f(Salmo trutta) sílс0о, eyrriði [εɹjɪ]мгл-i; европе́йская форе́льsíку́мжа; го́рная форе́ль (Salvelinus alpinus) bleikjaжгл-a; ра́дужная форе́ль (Oncorhynchus mykiss) ælabogasíl
фо́рзац	mprent.forsatsurмсогл-s,-ir
фо́ринт	mforint [-Ꞌrɪ-]ж0-ir
фо́рма	f1.(внешнее очертание,вид) skapс0о, formurмсогл-ar(фигура и т.п.); sniðс0о, líkiмгл-i; квадра́тный по фо́рме fýrkantaður av skapi; стол кру́глой фо́рмы eitt runt borð; име́ть фо́рму ша́ра vera skaptur sum ein kúla, vera sum ein kúla av skapi; в фо́рме ша́ра í kúlulíki, av skapi sum ein kúla, kúluskaptur; с краси́выми фо́рмами við vøkrum formum (о фигуре); изо́гнутой фо́рмы boygdur [pɔkt-]согл; принима́ть всевозмо́жные фо́рмы fáa alskyns skap; спор при́нял о́струю фо́рму orðadrátturin harðnaði2.(тип) slagс0о{a/ø}{0<>i}; líkiсгл-i(способ выражения); в пи́сьменной фо́рме skrivliga, í skrivligum líki; в фо́рме письма́ sum bræv; тяжёлая фо́рма диабе́та ein álvarslig typa [tʰyː-] av sukursjúku3.(система, совокупность приёмов) slagс0о{a/ø}{0<>i}, skipanж0-ir; formurмсогл-ar(stjórnarlag o.tíl.); фо́рма и содержа́ние formur og innihald (í list); фо́рмы рабо́ты sløg av arbeiði; фо́рмы эне́ргии sløg av orku, orkuformar; фо́рмы стиха́ yrkingaformar; национа́льный по фо́рме tjóðskaparligur í skapi; фо́рма правле́ния stýrislag4.tekn.(приспособление) formurмсогл-ar; отли́тый в фо́рме stoyptur í formi; лите́йная фо́рма stoypiformur5.(одежда) uniformur [-Ꞌfɔ-]ннкмсогл-ar, eyðkennisbúni [εʰtʃ-]нпжгл-iофиц.; búniжгл-i(б.ч. у скаутов,спортсменов и т.п.); шко́льная фо́рма skúlauniformurннк; офице́рская фо́рма offisersuniformur [-Ꞌseː-]ннк; носи́ть фо́рму ganga í uniformiннк6.mál.(средство внешнего выражения) formurмсогл-ar; фо́рмы словоизмене́ния bendingarformar, bendingarsnið; основны́е фо́рмы глаго́ла grundformarnir hjá [tʃʰ-] sagnorðinum7.(образец) forskriftж0-ir, fyriskipanж0-ir8.(бланк) oyðublaðс0о{a/ø}{0<>i}, blankett [-ˈkʰεʰtː]ннкж0-ir; formularur [-ˈlaː-]мсогл-arпроф.9.ítr.(состояное человека) formurмсогл-ar, konditión [-Ꞌʃɔun]ж0-ir; не в фо́рме ikki í formi; он в хоро́шей фо́рме hann er í góðum formi@по {во} всей фо́рмеsoleiðis, sum gerast skal =>вое́нный2,вну́тренний@,прилага́тельное
формали́зм	m1.(соблюдение внешней формы) formalisma [-Ꞌlɪ-]жгл-a2.bókm.,list(направление в искусстве и др.) formalisma [-Ꞌlɪ-]жгл-a
формали́н	mformalin [-Ꞌliːn]с0о({0<>i})
формали́ст	m1.(соблюдающий внешние формы человек) formalistur [-Ꞌlɪ-]мсогл-ar2.bókm.,list(кформали́зм 2) formalistur [-Ꞌlɪ-]
формали́стика	ftlm.,atf.formalisma [-Ꞌlɪ-]жгл-a(формали́зм 1), formalitetir [-Ꞌtʰeː-]мсогл-s,-ir
формалисти́ческий	adjformalistiskur [-Ꞌlɪ-]соглsk
формали́стский	adj síформалисти́ческий
формальдеги́д	[-дэ-]mformaldehyd [-Ꞌhyːt]с0о({0<>i})
форма́льно	advformelt [-Ꞌmε-]ннк, formliga; sum eitt eiti, proforma [-Ꞌfɔ-]ннк(только по названию)
форма́льность	f1.(кформа́льный 1) formalitetur [-Ꞌtʰeː-]мсогл-s,-ir2.(то,что нужно для оформления) formalia [-Ꞌmaː-]с нескл. мн, formalitetir [-maːliꞋtʰeː-]мсогл-s,-irмн
форма́льный	stfформа́лен, форма́льн|а, ~о, ~ыadj1.(официальный, законный) formellur [-Ꞌmεlː-]согл, formligurнпглigur; форма́льный отка́з formelt nei, formligtнпnei; в форма́льном отноше́нии formelt, formligaнп2.(об отношении к делу) formalistiskur [-Ꞌlɪ-]соглsk, bureaukratiskur [pyːɹoꞋkʰɹaː-]соглsk3.(по видимости) at síggja til, sum eitt eiti@форма́льная ло́гикаformellur [-Ꞌmεlː-]соглlogikkur [-Ꞌkɪ-]
форма́т	mformat [-Ꞌmaːt]с0о(stødd á blað,bók o.tíl.), støddж0-ir(á blað,bók o.tíl.)
формати́рование	nteld.formatering [-Ꞌtʰeː-]ж0-ar
формати́ровать	формати́ру|ю, ~ешь, ~ютipf/pf что-л.teld.formatera [-Ꞌtʰeː-]aðio-t
форма́ция	f1.:обще́ственно-экономи́ческая форма́ция samfelagsskipanж0-ir2.bókl.(тип,структура)o-t, sum verður skapt;o-t, sum verður myndað3.jarðf.(о горных породах) formatión [-Ꞌʃɔun]ж0-irгеол.
фо́рменка	plurфо́рмен|ки, ~ок, ~камftlm.,skip.(uniforms)blusa [-Ꞌfɔ-]жгл-a
фо́рменный	adj1.(установленного образца) uniforms- [-Ꞌfɔ-]ннк, eyðkennis- [εʰtʃ-]нп; фо́рменная фура́жка uniformskaskett [-Ꞌfɔ-]2.tlm.(сущий) ordiligurннкглigur, sannurсогл{a/o}, rætturсогл{æ/ø}; фо́рменный бой rættiligur bardagi; фо́рменным о́бразом reiðiliga; он стал фо́рменным специали́стом hann er blivin ein rættur serfrøðingur
формирова́ние	n1.(действие) gerðж0-ir, myndanж0-ir; формирова́ние прави́тельства skipanж0-irav stjórn [stjœtn]2.(воинская часть) samansetingж0-ar, skipanж0-ir(av herdeild o.t.)3.(отряд) (her)deildж0-ir
формирова́ть	формиру́|ю, ~ешь, ~ютipf(pfсформирова́тьсформиру́|ю, ~ешь, ~ют)что-л.1.(создавать,составлять) setaur(t);ir(t)o-tsaman, myndaaðio-t; формирова́ть прави́тельство skipa stjórn [stjœtn]; формирова́ть полк seta eitt regiment [reːkiꞋmε-] saman2.fl.(придавать определённую форму) skapaaðio-t, formaaðio-t, myndaaðio-t; формирова́ть мировоззре́ние skapa eina heimsáskoðan, forma eina heimsáskoðan
формирова́ться	формиру́|юсь, ~ешься, ~ютсяipf(pfсформирова́тьсясформиру́|юсь, ~ешься, ~ются)1.(слагаться) skapastaði;ar(t), myndastaði2.bert 3. pers brúktur(составляться) verða setturсоглsaman3.(развиваться) búnastaði
формова́ть	форму́|ю, |ешь, ~ютipf(pfсформова́тьсформу́|ю, ~ешь, ~ют, отформова́тьотформу́|ю, ~ешь, ~ют)что-л.1.(придавать форму) formaaðio-t, evnaaðio-ttil; modellera [moːtɪꞋleː-]ннкaðio-t2.(литейную форму) geraнепр(stoypi)form
формо́вка	fformingж0-ar, tilevningж0-ar; modellering [moːtɪꞋleː-]ннкж0-ar(из пластичного материала и т.п.)
формово́й	adj1.síформо́вочный2.(пригодный для отливки) klárurсоглat koyra í form3.(сделанный в форме) forma-; формово́й хлеб formabreyð
формо́вочный	adjform-, forma-
формо́вщик	mformariмгл-ari
Формо́за	fFormosa [-Ꞌmoː-]ж нескл.,síТайва́нь
формообразова́ние	nmyndanж0-irav formum (sløgum o.ø.)
формообразова́тельный	adjmál.formmyndandiглandi, orðmyndandiглandi
фо́рмула	mformilм0осн-s,-ar
формули́ровать	формули́ру|ю, ~ешь, ~ютipf(pfсформули́роватьсформули́ру|ю, ~ешь, ~ют)что-л.orðaaðio-t, formulera [-Ꞌleː-]ннкaðio-t
формулиро́вка	plurформулиро́в|ки, ~ок, ~камf1.(действие) orðingж0-ar, formulering [-Ꞌleː-]ннкж0-ar2.(выражение) orðalagс0о{a/ø}, orðingж0-ar, formulering [-Ꞌleː-]ннкж0-ar
формуля́р	m1.(библиотечная карточка) lánarakortс0о(читателя); útlánskortс0о(книги)2.(машины и т.п.) maskinbók [-Ꞌʃiː-]ж0-ur{ó/ø}, maskinjournal [-Ꞌʃiːnʃʊɹnaːl]ж0-ir, loggbókж0-ur{ó/ø}(har upplýsingar um brúk o.a. verða førdar inn)3.gml.(послужной список) tænastubókж0-ur{ó/ø}(hjá embætismonnum o.ø til 1917)
форпи́к	mskip.forpeakur [-pʰiːk-]мсогл-arмор., forpikkurмсогл-arмор.
форпо́ст	m1.(передовой пост) forposturмсогл-ar2.fl.(передовой пункт) forposturмсогл-arперен.,неформ.
форс	móvkm.:для фо́рсу fyri at vísa seg, fyri at gera seg upp =>сбить@
форси́рование	n1.(ускорение) økingж0-ar(av ferð o.tíl.); tað at skunda undir2.(кфорси́ровать 2) tað at bróta seg yvir um, tað at bróta seg,síфорси́ровать(русскому отглагольному сущ. в переводе часто или предпочтительно соответствует глагольная форма)
форси́рованный	Ipartic avфорси́роватьIIstfфорси́рован, ~на, ~но, ~ныadj: форси́рованный марш snarmarsjur, sprongdarmarsjur; форси́рованными те́мпами við miklari ferð, av grimd
форси́ровать	форси́ру|ю, ~ешь, ~ютipf/pf что-л.1.(темп) økjair(t)umo-t, setaur(t);ir(t)o-tupp (ferð); skundaaðiundiro-t, hurtaaðiundiro-t; koyrair(d)undiro-t(наступление события и др.); форси́ровать ве́чный шахtalvforcera {forsera} [-Ꞌseː-]aðiævigt skákшахм., framtvingaaðiævigt skákшахм.2.herm.(водный рубеж и др.) brótaслнey-u-oseg yvir Ꞌ umo-t(на другую сторону чего-л.), brótaслнey-u-oseg gjøgnumo-t(через что-л.)
форси́ть	форшу́, форс|и́шь, ~я́тipfóvkm.geraнепрseg Ꞌ upp, erpaaðisær
форс-мажо́р	mforce majeure [fɔʂmaꞋʃøːɹ]с0оспец., торг.
форс-мажо́рный	adjforce majeur- [fɔʂmaꞋʃøːɹ-]; форс-мажо́рные обстоя́тельства force majeur [fɔʂmaꞋʃøːɹ] umstøðurторг.
форсу́нка	plurфорсу́н|ки, ~ок, ~камfdysa [tyː-]жгл-a
форт	Prpо фо́рте, в форту́; plurфорты́, ~о́в, ~а́мmfortннкс0о, skansiмгл-i, virkiсгл-i
фо́рте	[-тэ]IadvforteIIn indeclforteс нескл.
фо́ртель	mtlm.páfunnннкс0о, innskotс0о; вы́кинуть фо́ртель takaслнó-ó-io-ná bóli
фортепья́нный	[-тэ-]adjklaver- [-Ꞌveːɹ-], piano- [-Ꞌaː-]; фортепья́нный конце́рт klaverkonsert [-Ꞌveːɹ-]
фортепья́но	[-тэ-]n indeclklaver [-Ꞌveːɹ]с0о, piano [-Ꞌaː-]с0гл(-inum)
форти́ссимо	advfortissimo [-ˈtʰɪ-]
фортификацио́нный	adjfestnings-ннк, virkis-; фортификацио́нное сооруже́ние virkiсгл-i, skansiмгл-i; verndarvirkiсгл-i
фортифика́ция	f1.(наука) virkisgerðж0-ir, skansagerðж0-ir2. (фортификационное сооружение) virkiсгл-i, skansiмгл-i, verndarvirkiсгл-i3.(фортификационные работы) skansaarbeiðiсгл-i, arbeiðiсгл-iupp á virki
фо́ртка	plurфо́рт|ки, ~ок, ~камf síфо́рточка
Форт-Лами́	m indeclFort-Lamy [-Ꞌmiː]м нескл.,síНджаме́на
фо́рточка	plurфо́рточ|ки, ~ек, ~камftrekkrúturмсогл-ar;-s,-ir, trekkvindeyga [-vɪnta] (реже[-vintεija])сгл-a
Форту́на1	Ifmyt.Fortuna [-Ꞌtʰuː-]жгл-a
форту́на2	IIfgml.eydnanжгл-aопр.; lagnanжгл-aопр., forløgс0o{a/ø}мнбалл., выс.(судьба) =>колесо́@
фо́рум	m1.søg.(площадь) forumс0o({0<>i})(opið pláss)2.(собрание) (ráð)stevnaжгл-a, (fjøldar)fundurмсогл-ir
форшма́к	Genфоршмака́m hakkað sild el. kjøt bakað saman við eplum
форште́вень	[-штэ́-]Genфорште́вн|я;plur.~и, ~ей, ~ямmframstevniс0о, framstavnurмсогл-ar
фосге́н	mfosgen [-Ꞌkeːn]с0о({0<>i})
фосфа́т	mfosfat [-Ꞌfaːt]с0о(;0-ir)({0<>i})
фо́сфор	mfosforс0о({0<>i})
фосфоресце́нция	ffys.fosforescensur [-Ꞌsε-]мсогл-arспец., tað at vera sjálvvlýsandi [ʃɔl-]
фосфоресци́ровать	фосфоресци́ру|ет, ~ютipfvera sjálvlýsandi [ʃɔll-]глandi, fosforescera [-Ꞌseː-]aðiспец.
фосфоресци́рующий	adjsjálvlýsandi [ʃɔl-]глandi, fosforescerandi [-Ꞌseː-]глandi
фосфори́т	fosforitt [-Ꞌrɪʰtː]с0о({0<>i})
фосфори́ческий	adjsjálvlýsandi [ʃɔl-]глandi, fosforescerandi [-Ꞌseː-]глandiспец.
фо́сфорный	adjfosfor-; фо́сфорная бо́мба fosforbumba
фо́тик	m óvkm.fotografiapparat [-ˈfiːaʰpːaraːt]ннкс0о, fototólнпс0о; kamera [kʰaː-]с0огл-аспец.
фо́тка	plurфо́т|ки, ~ок, ~камf óvkm.fotografi [-ˈfiː-]с0о, fotomyndнпж0-ir, fotoс0гл(-num)
фо́ткаться	ipf óvkm.fotografera [-ˈfeː-]aðiseg, takaслнó-ó-ifotografi [-ˈfiː] av sær, verða fotograferaður [-ˈfeː-], lataслнæ-ó-aseg fotografera [-ˈfeː-], lataслнæ-ó-aseg av avmynda
фо́то	n indecltlm.fotografi [-Ꞌfiː]ннкс0о, fotomyndнпж0-ir, fotoс0гл(num)
фотоаппара́т	mfotografiapparat [-Ꞌfiːaʰpːaraːt]ннкс0о, fototólнпс0о; kamera [kʰaː-]с0гл-aспец.
фотоателье́	[-тэ-]n indeclfotoatelier [-atʰeːlieː]ннкс0опроф., myndastovaлпжгл-a
фотобума́га	ffotopappírс0о
фотогени́чный	stfфотогени́ч|ен, ~на, ~но, ~ныadjfotogenur [-Ꞌkeː-]ннксогл
фото́граф	mfotografur [-Ꞌkɹaː-]мсогл-ar, ljósmyndariлпмгл-ari, myndatakariлпмгл-ari
фотографи́рование	nfotografering [-Ꞌfeː-]ж0-ar, ljósmyndanлпж0-ir
фотографи́ровать	фотографи́ру|ю, ~ешь, ~ютipf(pfсфотографи́роватьсфотографи́ру|ю, ~ешь, ~ют)Accfotografera [-Ꞌfeː-]aðiВин, takaслнó-ó-ieina (foto)myndav Дат
