U1	(bókstavurin) u
unintermittent	støðugur, óslitin, áhaldandi, samfeldur, samfastur
unintermitting	støðugur, óslitin, áhaldandi, samfeldur, samfastur
uninterrupted	1støðugur, javnur, áhaldandi (t.d.stream)2(um útsýni) góður
uninucleate	(lívfr.) einkjarnaður, einkyknukjarnaður, sum hevur bara ein kyknukjarna
uninventive	óuppfinningarsamur, sum hevur lítið hugflog
uninvited	sjálvboðin, sjálvkravdur, ókravdur, av sær sjálvum, óbiðin, óboðin, sjálvbiðin; óboðin (t.d.guest)
uninviting	ótespiligur, sum sær lítið tespiligur út, ódámligur
uninvolved	(serst.um kenslur) sum lítlan og ongan áhuga vísir, ikki partur av (e-m), sum onga støðu tekur, sum leggur líka lag í, sum ikki er uppií (sjálvur), áhugaleysur
Union	the Union1[studentafelag á ávísum fróðskaparsetrum]2[sameining Onglands og Skotlands í eitt ríki í 1707]3[sameining Írlands við Stórabretland í 1801]4(am.) Sambandsríkini Amerika (USA) (t.d.the President’s message on the state of the Union)
union1	1felag, felagsskapur, samskipan, samgonga, samtøka2(av ríkjum) samríki, samveldi (t.d.the European Union); union of crownskongsfelagsskapur3hjúnalag, gifta (t.d.a happy union)4(fl.m.)samljóð, samlyndi, sátt, góðsemi (t.d.they lived in perfect union)5(trade union)yrkisfelag, fakfelag6(tøkn.)rørsamanbinding7(støddfr.)sammongd8(vevnaðiviðv. serst.)hálvlørift, hálvlínklæði (samansett av tveimum sløgum av vevnaði)9(gl.)fátækrabýlingur; fátækraheim (t.d.go(fara)on the union)
union2	1felags- (t.d.union catalogue);sambands-, samveldis-, samríkis-2(um arbeiðsfólk) skipaður (í yrkisfelag) (t.d.union labour; union man)3(um tilfar) sum er av tveimum sløgumt.d.ull og bummull (t.d.union cloth, union material); union linenhálvlørift, hálvlínklæði
union catalogue	(bókas.)felagsbókalisti
union contract	arbeiðssáttmáli
union dues	yrkisfelagsgjald, fakfelagsgjald
Unionism	(stjm.)[tann sannføring, at Norðurírland skal/eigur at vera partur av Bretlandi]
Unionist	1norðurírskt sambandsfólk2(am., sø.)fólk, ið stuðlaði Sambandsríkjunum Amerika í innanlandskrígnum 1861-65)
unionist	1fakfelagslimur, yrkisfelagslimur2[fólk ið stuðlar fakfelagsrørsluni]
unionization	(av verkafólki) skipan í yrkisfeløg, yrkisfelagsskipan
unionize	skipa í yrkisfelag
Union Jack	[bretska tjóðmerkið/tjóðarflaggið]
union linen	hálvlørift, hálvlínklæði
union school	(am.) meginskúli
union shop	[virki sum hevur yrkisfelagsskipaða arbeiðsmegi]
union suit	(am.)slag av undirklæðum
uniparous	1(dý.)sum fær ein unga í hvørjari løgu2(plfr.)sum hevur ein legg
unipartite	óbýttur, ikki sundurbýttur, ikki býttur
unipetalous	(plfr.) sum hevur bara eitt krúnublað
uniplex network	(málfr.)eintáttað netverk
unipolar	einpólaður
unique	sum er eindømi, bara ein til av slagnum, sum er øðrvísi enn øll onnur, frálíkur, framúrskarandi, framúr, einskilaður, einskila-, einsýna, hendinga, makaleysur, tikin úr leikiel.leikum, sum ber av øllum
uniracial	a uniracial societysamfelag av einsháttaðum ættarslag
uniserial	á einum rað, einraðaður (t.d.the teeth are uniserial on both jaws)
unisex	kynsjavnur, eins fyri bæði kyn
unisexual	(plfr.) einkynjaður (sum er antin kall-el.kvennblóma)
unison	11(tónl.) einklongur; einraddaður songur2(fl.m.) samlyndi, samljóð;in unisoní semju, einmæltir íel.um
unit	1(eis. teld)eind2(av brennivíni) glas, snapsur (t.d.five units of alcohol a day)3(ísamb.við fyritøku, sjúkrahús) deild4(herm.)eind5(í íbúðahúsum) íbúð6(í lærubók) partur, deild, kapittul7(tøkn.)eind, aggregat (t.d.propulsion)8(byggl.)eind, luteind (t.d.kitchen unit)9(stfr.)talið 110(í íløgufelag) lutabræv, lutaprógv
unit area	víddareind, fermetur (skrivað sum m2)
Unitarian1	(átr.)unitari, unitarur (gudsjáttari ið tekur ikki undir við tríeindini)
Unitarian2	unitarskur, unitariskur, unitar-
unitary	eindar-
unite	1fylkja, sameina, savna, renna saman, semjast2(við ongum ávirki) fylkjast, sameinast, savnast, renna saman; semjast3ganga saman (í hjúnalag)
united	1sameindur (t.d.a united Germany)2felags (t.d.effort; front)3samdur, samdir(flt)(t.d.we’re united on that issue)
United Arab Emirates	(landafr.)the United Arab EmiratesSameindu Emiríkini (land í Vesturasia á eystaru síðu á arabisku hálvoynni)
United Kingdom	the United KingdomSameinda kongsríkið (Ongland, Skotland, Wales og Norðurírland);(st.)UK; sí eis.Great Britain
United Nations	the United NationsSameindu Tjóðir
United States	the United StatesSambandsríkini Amerika
unit furniture	byggimøplar
unitism	(heimsp.) monisma, einhyggja (eindarlæran, læran um at alt stavar frá eini grundreglu,móts.dualismu og pluralismu)
unitize	1samskipa í eind; sjóðael.sveisa saman2nýta allan sum hann er, troyta (t.d.unitize an oilfield)3býta sundur í eindir
unit labour costs	(bú)eindarlønarkostnaður
unit load	standardløðing
unit price	(handilsm.)prísur fyri hvørja eind sær, stykkjaprísur
unit pricing	at prísmerkja hvørja eind sær
unit trust	íløgufelag
unity	1eind; heilleiki, tað at vera heilur2samljóð, samhugi, semja3(stfr.)taleindin 1
univalent	(evnafr.) eingildur
universal1	(heimsp.)algiltel.algongt hugtak; (í skilvísiel.logikk[i]) algongdur, algildur, alfevndurel.altøkur setningur (t.d.all men are mortals)
universal2	1vanligur (t.d.universal suffrageatkvøðurættur), almennur2fjølbroyttur, margbroyttur3algongdur, algildur, alfevndur, altøkur; alheims-
universal church	katólska kirkjan
universality	1vanlig útbreiðsla (t.d.the universality of the religious impulse)2algildi, at vera algildurel.algongdur
universal joint	(tøkn.)alliður, universalliður
universal language	heimsmál
universal partnership	(løgfr.) felagsogn (ánarnir fáa vinning og bera tap í felag)
universal suffrage	javnbjóðis og vanligur valrættur; vanligur atkvøðurrættur
universe	alheimur
university	lærdur háskúli, fróðskaparsetur, universitet;university manakademikari;The University of the FaroesFróðskaparsetur Føroya
university extension	fólkauniversitet [undirvísingarstovnur har universitetslærarar undirvísa fólki, ið eru ikki innskrivað á universiteti]
university wits	[bólkur av rithøvundum ta tíðina Elisabeth 1 var drotning, f. 1533, dr. 1558-1603]
unjust	órættvísur
unjustifiable	sum ikki kann rættvísgerast, sum ein ikki kann bera í bøtuflaka við, ógrundaður, við ongum rætti, av órøttum
unjustified	ógrundaður (t.d.optimism)
unkempt	1ófantaligur, óhampiligur2ógreiddur
unkemt	1 (hár) í andarisi; ófataligur, ótrivaligur (t.d.appearance)2 fúlur, frekur, ólætin, ótelgdur, ónærisligur, ótespiligur, ófólkaligur (t.d.manners)
unkind	óblíður, óvinaligur, ófryntligur, sum ikki er fyrikomandi; ódámligur
unkink	loysa kink el. fløkju í jarntráði
unknit	1loysa (t.d.unknit a knot)2(eis.íflm.) rekja upp(tátrakti upp)
unknowable	(forml.)sum ikki ber til at vita; ókendur
unknowing	(skaldsk.)óvitandi, óavvitandi, sum veit av ongum
unknowingly	(skaldsk.)óavvitandi, uttan at ein veit av tí, sum kemur óvart á ein
unknown1	(stfr.) ókendur (t.d.equation with two unknowns)
unknown2	ókendur, ókunnigur, ókunnu-;unknown to himsum hann ikki visti av (t.d.unknown to him, his wife had sold it); she is unknown to meeg kenni hana ikki
unknown quantity	(stfr.)ókend nøgd; ókendur faktorur
Unknown Warrior	the Unknown Warriorókendi hermaðurin
unlaboured	ikki strævið, stríggiðel.tvørligt, lættur; natúrligur (t.d.style)
unlace	loysa stimael.lissur, loysa upp
unlade	(gl.) skipa upp, lossa, landa(t.d.fisk), taka av, tøma(t.d.vogn)
unladen	(flm.) ikki tyngdur, ódarvaður
unlaid	ikki borðreitt, ikki dúkað (t.d.table)
unlamented	ósyrgdur, sum eingin grætur um
unlatch	lata klinkuna upp
unlawful	ólógligur, óløgligur; viðel.av órøttum, við ongum rætti
unleaded	(um bensin) óblýggjaður, blýleysur, blýfríur
unlearn	venja seg av við (t.d.it took him a long time to unlearn the puritanism of his childhood),gloyma, loysa seg úr
unlearned	1ólærdur, óskúlaður, ómentaður2óvitandi;the unlearnedóvitandi fjøldin3óvísindaligur (t.d.it was a remarkably unlearned comment for a professor to make)
unleash	1sleppa (hundi) leysum, beita (t.d.unleash the army on the city)2berael.hava við sær, enda við, hava sumel.til úrslit, spyrjastel.koma burturúr, standast av (t.d.the government’s proposal -ed a storm of angry protests)
unleavened	ósúrgaður (unleavened bread)
unless	uttan (so at), uttan (so er) at
unlettered	1ólærdur, óskúlaður, ómentaður, óupplýstur, lítið vitandi, lítið lærdur2sum ikki dugir at lesa og skriva, ólesin
unlicenced	1sum ein onga heimild hevur til (t.d.weapon)2(um matstovu) sum ikki hevur skeinkiloyvi
unlicked	(fl.m.)óbúgvin, óroyndur, grønur;an unlicked cubfrekur stavnur, óveningur
unlike1	(skaldsk.)ólíkur, ójavnur, ymiskur (t.d.they are completely unlike); be unlikeikki líkjast, kennastel.líkjast burturúr
unlike2	mótsettel.øvut (einum) (t.d.unlike his brother he is very tall); it is unlike himtað er ikki honum líkt;it is not unlike the one I sawtað er ikki so ólíkt tí, eg sá; tað líkist tí, eg sá
unlikely	1lítið eftirfarandi, sum eingi líkindi eru til, ósannlíkur2(um par, hjún) ólík, óparalig (á mangan hátt)3[íyms. samb.]in the unlikely event thatskuldi tað óhugsandi hent, at;it is unlikely to happentað skuldi/hevði verið løgið, um tað hendi
unlimited	1óavmarkaður, markleysur, óendaligur (t.d.the unlimited expanse of the ocean)2óavmarkaður, treytaleysur (t.d.power)
unlimited company	(handilsm.) handilsvirki har hvør luttakari sær hevur  óavmarkaða ábyrgd
unlink	taka (t.d.ketu) sundur, loysa, skilja sundur
unlinked	ikki bundin saman, sum ikki eru tongd/greipað saman, sum einki samband hevur hvørt við annað;three previously unlinked murderstrý dráp sum higartil ikki hava verið greipað saman
unlisted	1sum er ikki skrásetturel.tilskilaður, sum stendur ikki á listanum (í skránni);unlisted number (am., tlf.)ikki skrásett nummar; loyniligt nummar2(um hús) ikki friðaður3(handilsm.:um virki) ikki skrásettur, ikki noteraður
unlisted number	(am.)ikki skrásett nummar, loyniligt nummar, bundið nummar
unlit	1myrkur, ólýstur, svartur (t.d.street)2ikki tendraður, ikki festur í (t.d.an unlit cigarette)
unload	1lossa, skipa upp, landa(t.d.fisk), taka av (vogni), tøma2(handilsm., tlm.)sleppa sær av við (vørur, virðisbrøvo.tíl.)3siga einum eitt og soleiðis lætta samvitskuna4[íyms. samb.]unload a camerataka filmin úr ljósmyndatóli;unload on toskumpa yvir á;unload a gunavløða byrsu
unlocated	ikki staðfestur
unlock	1lata upp2(fl.m.)lata upp fyri (t.d.opportunities)3(um gátu, loyndarmál) loysa, gita
unlooked-for	óvæntaður (t.d.guest; success)
unloose	1(skaldsk.)loysa, lata leysan, sleppa leysum2(skaldsk.:um eitt ið er bundið) loysa, loysa upp
unlovable	sum tað er ringt/torført at vera góður við
unlovely	(skemt.)misháttur, ófríður, ljótur, ódámligur, ófittur(eis. t.d.tað hevði verið synd at sagt, at hann//hon er vakur//vøkur)
unloving	ófittur, óblíður, óvinaligur, óalskin, kaldligur, kaldur, ikki góður
unlucky	óheppin, óeydnu-, óeydnis-;it is unlucky totað hevur óeydnu við sær (t.d.walk under ladders)
unmachined	ótilvirkaður, óviðgjørdur, ótilevnaður
unmade	1unmade bedóreidd song2(um veg) ikki asfaltslagdur
unmake	1(um lóg) ógilda, strika, seta úr gildi2(um illgitingaro.tíl.)beina fyri3oyðileggja, týna, oyða4broyta fullkomiliga (t.d.unmake one's mind)
unman	gera máttlítlan, mótleysan, dirvisleysanel.veikan, fáa at falla í fátt, gera at ein verður fyri ongum; taka dirvið frá, gera ómansligan; gelda; (sí eis.unmanned)
unmanageable	1óhandigur, óviðføriligur2(um fólk) óstýriligur; óviðeiriligur, ringur at fáast við3(sigl.)sum ikki aktarel.virðir stýrið, sum er ikki stýrandi
unmanly1	ómansligur, kventlasligur, kventlutur; ræddur
unmanly2	1ómenniskjansliga2sum eitt ódjór3ómansliga
unmanned	1ómannaður (t.d.unmanned space ship)2ómansgjørdur
unmannered	ómentaður, ófólkaligur, grovur, óvandur
unmannerly	óskikkiligur, ófólkaligur, óhøviskur, óflongdur, óvandur, grovur, óhøviligur, ósømiligur, óvaskaður
unmanufactured	ótilvirkaður (t.d.silk; material)
unmapped	ikki kortlagdur (t.d.go to wild and almost unmapped places)
unmarked	1ómerktur, ómarkaður (t.d.an unmarked road)2reinur (t.d.an unmarked copy of the report)3(í fótbólti, handbóltio.tíl.)fríur, óvardur (t.d.alone and unmarked in the penalty area)4navnleysur (t.d.an unmarked grave)5óansaður, ógáaður, sum ein hevur ikki givið sær far um, sum ein hevur ikki givið gætur, sum ein hevur ikki varnast (t.d.the mistakee passed unmarked)
unmarketable	óseljandi, sum kann ikki seljast
unmarried	ógiftur, stakur
unmask	1taka gekkaskortel.grímu av (t.d.the guests -ed at midnight)2(fl.m., serst. skaldsk.)avdúka, vísa sítt sanna andlit
unmatched	1sum hevur ikki sín javnlíka, makaleysur, framúr góður, einskilaður, sum ber av øllum, sum tikin úr leikum (t.d.an achievement that remains -ed to this day)2ómakaður (t.d.pieces of dinnerware)
unmatching	sum ikki hóska saman (t.d.the furniture was old, unmatching)
unmatured	(t.d.um vín; nýtt vín) sum hevur ikki ligið á goymslu
unmeaning	høpisleysur, tómur, innantómur
unmeant	sum ikki er ætlaður, ótilætlaður, ikki við vilja
unmeasured	1ómáldur, ikki máldur2ríkligur, ríviligur, ivaleysur, ov nógv avgjørdur, ov mikil, markleysur (t.d.tracts of desert)
unmemorable	ikki verdur//vert at minnast
unmentionable	sum ikki kann takast upp á tungu, ónevnandi
unmerciful	1 eirindaleysur, náðileysur2 ræðuligur (t.d.a sermon of unmerciful length)
unmet	an unmet needónøktaður tørvur
unmethodical	óskipaður, ikki reglubundin, ikki miðvísur
unmindful	1gloymskur, gáloysin;unmindful ofsum ikki hugsar um, sum er líkasælur, sum leggur ikki lag í2sum lurtar ikki eftir, sum fylgir ikki við
unmissable	(um framsýning, sýning) sum ein avgjørt eigur at síggja
unmistakable	sum eingin ivi kann vera um, týðiligur, eyðsæddur
unmitigated	fullkomin, fullfíggjaður, bari og turri, einki annað enn (t.d.life there was unmitigated hell),reinur, rættur, gjørdur;an unmitigated rascalgjørt bakbeist
unmixed	óblandaður, ótyntur (t.d.wine);  reinur, ektaður, sannur (t.d.pleasure);of pure Spanish descent, unmixed with Indian bloodav reinari spanskari ætt við ongum indianablóði í æðrunum
unmodish	farin úr nýtsluel.av móta, ótíðarhóskandi, avlagdur, burturoldaður, ómodernaður
unmoor	sleppa teyminumel.ketuni, dragael.taka akkerið upp, hiva inn
unmoral	siðleysur, amoralskur
unmotivated	ógrundaður (t.d.behaviour), áhugaleysur, sum ongan áhuga hava í (t.d.politically conscious, but unmotivated people)
unmounted	1til gongu, ikki á rossabaki (t.d.police)2sum er ikki settur í umgerð, umgerðarleysur (t.d.jewel), sum er ikki í rammu, rammuleysur (t.d.picture), ikki uppklistraður (t.d.photograph)
unmourned	ósyrgdur, sum eingin grætur/syrgir um
unmoved	órørdur, kaldur, kensluleysur, sum ikki letur við seg koma; sum vikast ikki
unmuffle	vinda hálsaturriklæði av
unmuffled	ódoyvdur, harður (t.ddrums); ikki umvavdar (t.d.oars); við ongum ljóðdoyvara (t.d.motor cycles)
unmurmuring	uttan at gremja seg um, uttan at grenja/knarra
unmuzzle	taka kjaftband/kjaftbinding av (hundi);-d (fl.m., t.d.um bløðini) loyva bløðunum at skriva ótarnað
unnamed	ónevndur, sum er ikki nevndur, navnleysur
unnatural	1ónatúrligur, sum gongur ímóti natúruni2spiltur, avlagaður, rangvørgur, rangsnúgvaður, perversur(serst. viðv.kynshugi)3ómenniskjansligur
unnavigable	ósiglandi, ófarandi, sum er ikki siglandi
unnecessary	1óneyðugur2tarvleysur (t.d.question)
unneeded	óneyðugur, sum eingin tørvur er á, sum er ikki fyri neyðini; óynsktur
unnegotiable	(handilsm.) óumsetiligur
unnerve	fáa at falla í fátt, gera mótleysan, fáa at stúra; gera, at ein verður fyri ongum (av)
unnerving	hættisligur, hóttandi, ørkymlandi, ræðandi, sum ger ein mótleysan, sum fær ein at falla í fátt
unnoticeable	evarska lítil, hárfínur, sum ikki merkistel.sæst, sum ongan mun ger, sum ein ikki varnast
unnoticed	óansaður, ógáaður, sum eingin hevur givið sær far um, sum eingin hevur givið gætur, sum eingin hevur varnast
unnumbered	1ikki talmerktur, ótalmerktur(t.d.blaðsíðurnar eru ikki talmerktar); ótaldur2óteljandi, margtýriligur, í murlutali, í ovurtali, sum murran
UNO	United Nations OrganizationSameindu Tjóðir, Felagsskapur Sameindu Tjóða
unobjectionable	sum ikki ber til at finnast at, ólastandi, sum ikki er at finnast at, lýtaleysur, haldgóður, sum ikki rekst aftur, sum ikki kann lastast; (um fólkeis.) skikkiligur
unobliging	óbeinasamur, meinskur, malsjønskur, tvitin
unobservant	you are so unobservanttú gevur tær ikki far um nakað, tú leggur einki til merkis
unobstructed	óhindraður, ótarnaður;unopstructed sailingótarnað sigling
unobtainable	1órøkkandi, sum ikki fæst faturel.hendur á, ófáiligur, sum ikki fæst, sum ikki kann fáast2(um telefonnummar) sum ikki fæst samband við
unobtrusive	1(forml.) lítillátin, lítillátur, spakførur, sáttligur, góðsligur, lítið framførur, lítillátaður, smæðin, afturhaldin, stillførur, stillfarandi, spakur, spakførur2(um bygningsverk) ikki áleypandi, ikki ágangandi
unoccupied	1(um hús, íbúð) sum standa//stendur tóm, sum eru/er tóm, sum eingin býr í2(um starv) leysur, ósettur; (um stól) leysur, tøkur3(um land, øki) ikki hersettur
unoffending	sakleysur, meinaleysur, óskaðiligur, góðvarin, fittur, hampiligur, skikkiligur (t.d.onlookers)
unofficial	óalmennur
unopened	1óupplatin2(um bók) óuppskorin
unoperated	(maskintólumviðv.) ikki í brúk, ónýttur
unopposed	1(herm.)sum fær/møtir ikki mótstøðu2(viðv.vali) sum einki mótvalevni hevur, sum eingin býður seg fram ímóti; sum møtir ikki mótstøðu: óheftur av vanahugsan
unorganized	1 óskipaður2 sum er ikki ein samfeld heild;unorganized ferments(evnafr.) kveikar, ensym
unorthodox	1fríkirkju-2óvanligur, sum fer aðrar leiðir, sum brýtur upp úr nýggjum, sum ikki er vanabundin, ikki bundin at siðvenju, ótraditionellur
unostentatious	kravlítil, stillfarandi, stillisligur, lítillátin, smákrevjin, uttan nógv hávasták/hóvasták, sum ikki er áleypandiel.ágangandi (t.d.unostentatious elegance)
unowned	1sum ongan eigara hevur2ikki viðgingin
unpack	1taka upp úr (t.d.a trunk), pakka upp (t.d.package)2(fl.m.)greiða frá3(teld.)avstúgva
unpaged	ótalmerktur, ikki talmerktur(t.d.blaðsíðurnar eru ikki talmerktar)
unpaid	1ógoldin (t.d.bill), ikki godin, ikki afturgoldin (t.d.debt);unpaid balance of taxes(, rates) skattaeftirstøða2óløntur (t.d.secretary; work)
unpaired	stakur, ómakaður;unpaired fins(á fiski) stakfjøður
unpalatable	1(um mat, heilivág) sum smakkar illa2(fl.m.)lítið høviligur, ódámligur, óhøviligur; ófjálgur, ótespiligur, beiskur (t.d.fact; truth)3(um uppskot, hugskot) sum ikki kann góðtakast, sum gevur (einum) ringan smakk
unparalleled	makaleysur, sum er eindømi, sum hevur ikki sín javnlíka
unpardonable	ófyrigevandi, ófyrigeviligur, sum ikki kann fyrigevast
unparented	foreldraleysur, sum hevur eingi foreldur, faðir- og móðurleysur
unparliamentary	sum er ikki í samsvari við góðan tingsið (t.d.language)
unpartisan	óvildarligur, uttanveltaður, uttanparta, óvildar-, óheftur, lutleysur,(tlm.)ópartískur,
unpatriotic	ótjóðskaparligur, ikki tjóðskaparligur (t.d.conductupptraðkan, hugburður)
unpeg	1toga trænaglarel.tøppar úr2loysa; seta úr gildi, strika (t.d.(prís)bindingar); lata leysan
unpeople	avfólka
unpeopled	óbygdur, oyðin, manntómur
unperceived	óansaður, ógáaður, sum ein hevur ikki givið sær far um, sum ein hevur ikki givið gætur, sum ein hevur ikki varnast
unperformed	ikki greiddur úr hondum, íkki gjørdur, ólokin; ógjørdur, (tlm.) óuppfyltur, ikki uppfyltur (t.d.contract; obligations)
unperson	(stjm.)[kent fólk sum er skumpað til viksel.trokað burtur, og sum verður ikki tikin í álvara longur]
unperturbed	ótarnaður, óhindraður, friðarligur, róligur, ónervaður, sum einki var(t.d.hann helt fram, sum einki var), sum ikki letur við seg koma, í frið og náðum
unperturpedly	uttan at lata seg órógva, róliga, sinniliga
unpick	1(um eitt ið er seymað) spretta upp2(eis. fl.m.)pilka sundur, rekja upp
unpickable	tjóvhaldin, sum kann ikki verða lirkaðurel.dirkaður upp
unpin	(loysa við at) taka stiftirel.nálir úr
unpitying	samkensluleysur, sum onga samkenslu hevur, miskunnarleysur, harðhjartaður, kaldur, harður, grótharður, jarnharður, eirindaleysur, náðileysur
unplaced	(í kappleiki) sum hevur ikki fingið plássel.støðu
unplait	loysa flættu
unplanned	sum er ikki lagt til rættis, sum eingin ætlan er gjørd um; illa fyrireikaður
unplanted	ikki gróðursettur
unplayable	1(um bólt) sum ikki kann sendast aftur2(um tónaverk) sum ikki kann spælast3(um vøll) sum er ómøguligur at spæla á
unpleasant	ódámligur, ótespiligur, ófjálgur, óheimligur, lítið hugaligur, óhugaligur, ófýsin, ófryntligur; ringur (t.d.unpleasant smoke)
unpleasantness	1at eitt er ófjálgt, óunniligt, ódámligt, ófýsið, óhugaligt, óheimligtel.ófryntligt2harmilig hending, harmiligur tilburður3(klandur) rok, roks (t.d.he did it to avoid unpleasantness);mislag, kaldlig viðurskifti; smádeila
unplug	unplug the fridge//phonetaka stikkið úr
unplugged	(tónl.)við ongum elektriskum styrkjara
unplumbable	sum kann ikki loddast
unplumbed	ikki loddaður; (fl.m.) botnleysur (t.d.unplumbed depths of ignorance); ikki kannaður út í æsir (t.d.unplumbed potentialities)
unpointed	við ongum (skrivaðum) sjálvljóðum (t.d.unpointed Arabic)
unpoliceable	sum ber ikki til at hava eftirlit við, sum ikki kann fremjast
unpolished	óbustaður, óblankaður;(fl.m.)óbrýndur
unpolled	unpolled voteikki greidd atkvøða;unpolled votersveljarar ið hava ikki greitt atkvøðu
unpopular	illa dámdur, lítið umhildinel.avhildin, illa lýddur, illa umtóktur, illa kendur
unpossessable	ófáiligur, sum ikki fæst, sum ikki kann fáast, sum ikki kann røkkast (t.d.dream)
unposted	1ikki sent, ósent (t.d.letter)2ikki kunnaður, illa upplýstur3óbókaður, ikki bókaður, ikki innførdur (t.d.bill)
unpractised	1ikki framdur/útintur í royndum2ikki vandur (upp í einum); óroyndur, grønur
unprecedented	sum einki fordømi hevur, fordømisleysur, óhoyrdur, sum er eindømi, sum eingin veit um (t.d.unprecedented rainfall, unprecedented price increases)
unpredictable	1sum einki kann sigast um frammanundan, sum einki ber til at siga nakað um frammanundan, sum kann ikki roknast út2óútrokniligur (t.d.he is emotional and unpredictable)
unprejudiced	fordómaleysur, sum heldur við hvørgum parti, óheftur, óvildarligur, óvildar-, ópartískur
unpremeditated	óætlaður, ikki tilætlaður, óviljaður, sum ikki er við vilja
unprepared	ófyrireikaður, gjørdur í skundi;you caught me unpreparedtú tókst meg á bóli
unprepossessing	1(forml.)ódámligur2(forml.;um útsjónd) misháttur
unpretending	1lítillátin, lítilátaður, lítillátur, smákrevjin2óhátíðarligur
unpretentious	sum fólk flest, lítillátaður, lítillátin, smákrevjin, vanligur (t.d.style, dress); kravlítil; óhátíðarligur
unprincipled	støðuleysur; ómoralskur; samvitskuleysur;he is absolutely unprincipledhann hevur ongan moral;unprincipled insum dugir ikki reglurnar fyri
unprintable	sum ikki ber til at endurgeva á prenti, sum ikki ber til at prenta
unprivileged	(am.)sum er teirra millum ið eru ringast/verst fyri í samfelagnum
unproblematic	lættur, greiður, ivaleysur, sum er lætt at fáa skil áel.at greiða
unprocurable	sum kann ikki útvegast, sum ikki fæst
unproductive	1úrslitaleysur, til fánýtis, ógagnligur, fánýtur, til einkis, til onga nyttu, ónyttigur, nyttuleysur2(um jørð) ófruktbarur, fruktalítil, gróðrarlítil(eis.rakjørð, gaddur, gaddajørð, harðskøltur)
unprofessional	sum sømir seg ikki (fólki í embætiel.í trúarstarvi), sum ikki hevur lært handverk, ikki yrkislærdur, ófaklærdur, óprofessionellur;the unprofessional classesverkamannastættin
unprofitable	1sum loysir seg ikki, sum kastar ov lítið av sær, sum gevur hall2nyttuleysur, gagnleysur, sum einki gagn er í, sum er til fánýtis, virðisleysur; úrslitaleysur
unprogressive	afturhalds-, afturhaldshugaður, ikki framtakshugaður, ikki framburðarhugaður
unpromising	1sum gevur ikki góðar vónir2ikki evnagóður
unpromted	(forml.)sjálvboðin, sjálvkravdur, ókravdur, av sær sjálvum, óbiðin, óboðin, sjálvbiðin, av sínum eintingum, av sjálvsheintingum
unpronounceable	sum er ómøguligur at siga/bera fram/úttala
unprop	taka skorðu(r) undan
unpropertied	ognarleysur, fæleysur;unpropertied classesognarleysa stættin, fæloysingastættin
unpropitious	óheppin, ólagaligur (t.d.time; moment)
unproteced	óvardur; berur
unprotected file	(teld.)óvard fíla
unproven	1óprógvaður (t.d.unproven allegations)2sum ikki er prógvaður at vera gagnligur (t.d.unproven treatment)
unprovided	1ikki útgjørdur2ófyrireikaður3óvæntaður;unprovided foróhjálpin(t.d.eftir sita einkja og trý óhjálpin børn)
unprovoked	ógrundaður, av ongari orsøkel.grund (t.d.unprovoked violence)
unpublished	1óprentaður, ikki útgivin2ikki almannakunngjørdur (t.d.news)
unputdownable	(um bók) sum ein ikki kann leggja frá sær
unpuzzle	loysa, ráða, týða loyniskrift
unqualified	1óskikkaður, sum hevur ikki førleika, sum ikki er skikkaður; sum hevur ikki ta skúling/tær royndir ið krevst/krevjast2avgjørdur, treytaleysur, av fullum huga (t.d.unqualified praise)
unquantifiable	ómálandi, sum kann ikki málast
unquenchable	ósløkkjandi (t.d.thirst); sum ikki kann haldast niðri
unquestionable	ivaleysur, óreingiligur, sum noktast ikki, sum ryggjast ikki, sum svitast ikki
unquestioned	avgjørdur, ivaleysur, óreingiligur
unquestioning	treytaleysur, blindur (t.d.unquestioning obedience)
unquiet1	órógv, ófriður; ótti, ampi
unquiet2	óróligur, ófriðarligur
unquote	1(í fyrisøgn) gásaeygu enda2(í røðuo.tíl.)uppafturtøkanel.sitatið endar;quotesíquote2
unquoted	1 ikki endurgivið, ikki víst til. ikki siteraður2 (á børsini) ikki listaður, ólistaður, ónoteraður
unravel	1greiða(t.d.fløkju)2(ísamb.við stokkareis.)rekjael.draga upp3(fl.m.)greiða, rekja upp; fáa greiðu á, avdúka, loysa (t.d.unravel a mystery)4(um knút) loysa upp5(við ongum ávirki) travna, travsast (t.d.the sweater started to unravel)6(um ætlan) detta sundur, verða av ongum (t.d.the peace process began to unravel)
unreachable	órøkkandi
unread	ólisin; sum hevur lisið lítið
unreadable	1ólesiligur2(um andlitsbragd) sum avdúkar einki, sum kann ikki lesast
unready	1ikki tilbúgvin, ikki til reiðar2ófyrireikaður3ráðaleysur, ráðavillur
unreal	1óveruligur2óveruleikakendur, veruleikafjarur, sum í royndum ikki ber til, ógjørligur, órealistiskur3(tlm.)ótrúligur, ófatiligur (t.d.the film was unreal!)
unrealistic	sum ber ikki til; veruleikafjarur, óveruleikakendur, órealistiskur
unreality	óveruleki
unrealizable	ógjørligur, sum gerst ikki, sum kann ikki gerast í verki
unrealized	1 óuppfyltur (t.d.hopes), sum kann ikki ganga út2 ikki framdur, ikki greiddur, ikki gjørdur (t.d.project)
unreason	skilaloysi, óskynsemi; býttisskapur, býttheit
