w.	(st.)1weight2with
withal	(gl.)annars, harafturat, somuleiðis, eisini
withdraw	1taka aftur, taka seg aftur, hopa undan (t.d.troops; banknotes; a sentry)2taka til sín (t.d.withdraw one’s hand);taka uppúr, taka fram (t.d.he opened the drawer and withdrew a large envelope)3kalla inn, seta úr gildi, ógilda; (um embæti og stovn) taka av, leggja niður; (t.d.withdraw a lightship)4(í banka) taka út5(fl.m.)taka aftur, ógilda (t.d.a permission; a pension)6taka (lyfti) aftur (t.d.withdraw a promise),taka (orðini) aftur (t.d.withdraw a remark),taka aftur (t.d.withdraw an accusation),sleppa7(við ongum ávirki) taka seg aftur, fara úr; fara burtur úr(from)8taka orðini aftur (t.d.he called the man a traitor and refused to withdraw)9(stjm.)taka uppskotið aftur; sí eis.withdrawn10[íyms. samb.]she withdrew her handhon tók hondina til sín11[ísamb.viðfs)withdrawfrom 1taka seg úr, fara úr, fara burtur úr (t.d.the troops withdrew from the country; he withdrew from the race)2(um felagsskap) taka seg úr, fara úr (t.d.the EU)3(við ávirki) taka aftur, taka úr (t.d.troops from the border//the country; a candidate from an election; a product from the market)4(forml. smb. 2)taka upp úr, taka fram (t.d.he withdrew a book from his pocket); withdrawintobinda alt inni við seg sjálvan, leggjast upp í snoð, halda seg á partna, halda seg fyri seg sjálvan;we withdrew into her officevit fóru inn á skrivstovuna hjá henni
withdrawal	1(herm.)afturtøka, at taka seg aftur, at halda undan, undanhald, at hopa undan2ógilding, striking, avtøka3(í banka) at taka út (t.d.from an accountav eini kontu)4(um eitt, ið er sagt) at taka aftur5(um felagsskap) at fara burturúr, at taka seg burturúr (t.d.NATO)6(úr kapping) tað at siga seg burtur úr (einum), útmelding(fromúr; t.d.championship)7(viðv.narkotika) frávenjingarskeið7(um atburð hjá fólki) at vera innanhokin; sí eis.withdrawn
withdrawal symptoms	(lækn.)uppiseturseyðkenni, frávenjingareyðkenni;(tlm.)abstinensir
withdrawn	(fl.m.)innitokin, innanhokin, undirtrútsligur, sjálvskoðandi, fjarur, innfjarur, tigandi, inntonktur, hulin, dylin,(staðb.)dulin
withe	viðja
wither	1følna, visna2(fl.m.)fána (burtur), hjána burtur, træna burtur (av verðini), sjúkna, sjúklast3(við ávirki) turka eitt upp; lata (eitt) følna;the draught -ed the grassturkurin píndi grasið4(fl.m.)fara illa við, teppa
withered	følnaður, visnaður
withering	knúsandi, týnandi, lemjandi (t.d.look; criticism)
withers	(t.d. á rossi)háryggur;my withers are unwrungeg leggi ikki petti í tað, tað ger mær ikki mun
withershins	ímóti sólini, øvutan veg
withhold	1halda aftur2(góðkenningviðv.)sýta (t.d.she withheld her consent)3(upplýsingumviðv.)dylja, loyna, halda duldan, halda loyniligan(fromfyri; t.d.withhold evicence from the police)4[íyms. samb.]withhold sth from sby (eis.)halda einum aftur, ikki siga einum eitt (t.d.withhold information from him); withhold taxdraga skatt burtur av (lønini)
withholding tax	(serst. am.)kelduskattur; sí eis.tax deducted at source, pay-a-you-earn tax system, PAYE
within1	innvortis, innanhýsis, innan (t.d.inquire within; within, the hotel is simple and friendly),innanfyri;from withininnanífrá
within2	1innan í, í, inni í (t.d.within the building);innan fyri (t.d.the walls; the organization)2(um tíð) innan, áðrenn, áður enn(t.d.ein tími var farin) (t.d.within two hours)3[íyms. samb.]within this half-hour1fyri sløkum hálvum tíma síðan(i)2um ein slakan hálvan tíma;within three milesofthe hospitalknappar 5 kilometrar frá sjúkrahúsinum;within a year of being infectedminni enn eitt ár eftir at ein er vorðin smittaður;she came within seconds of beating the recordtað snúði segt bara um nøkur fá sekund, so hevði hon sett met
with-it	(heldurgl., tlm.)vakin, snildur, smartur, (sum er) á øðrum træði/træðri/tráði
without1	1við ongum, uttan (t.d.if we can’t get any bread, we’ll have to manage without)2(gl.)uttanfyri (t.d.he stands without); from withoututtanífrá
without2	uttan (t.d.without doubtivaleyst)
withstand	standa ímóti, veita mótstøðu
withy	(plfr.)viðja (píli)
witless	1óskynsamur, óhyggin, býttisligur, tápuligur, fávitskutur2[íyms.samb.]scare sby witlessgera, at ein verður frá sær sjálvum av ræðslu; gera ein hjartkiptan/hjartkleptan; gera ein ræðsluslignan
witness1	1(um fólk) vitni2(løgfr. viðv.skjali: fólk, sum við undirskrift váttar, at skjal er ektað) sannanarvitni, sannvitni (t.d.witness to the signature); witness (in judicial proceedings)rættarvitni3(átr.um tekin) vitnisburður4[íyms. samb.]be witness to (forml.)1vera vitni til, uppliva2(fl.m.)bera vitnisburð um (t.d.bear witness to); call -eshava vitnir um eitt;in witness whereoftil tess at staðfesta/vátta hetta
witness2	1síggja sjálvur, uppliva sjálvur, sjálvur vera vitni til2(undirskrift) staðfesta, vátta, sanna, prógva3(fl.m.)vitna um, prógva4(í inngangsorði í kjaki,uml.)samanber//ið, hygg//ið bara eftir (t.d.this is impossible, witness the recent attempts)5(átr.,við ongum ávirki) bera vitnisburð um6[íyms. samb.]the past few years have -edtey seinastu árini hava vit upplivað, at…;witnesstosanna/vátta;witness Heaven! (gl.)Gud skal vera mítt vitni!; Gud veit, at…;in witnesswhereofog til tess at staðfesta/vátta hetta
witness box	(løgfr.)vitnisbásur (í rættarhøli)
witness stand	(am.)síwitnessbox
wits	1vit, skil, gløggskygni, hygni, skynsemi, klókskapur, gløggleiki; sí eis.wit2[íyms. samb.]be at one’s -’ endikki vita hvørki út ella inn, vita sær eingi ráð; vita hvørki til høvur ella hala; einki vita;quick witsvera næmur, hava góðar gávur3[ísamb. viðs]collect/gather one’s witssumma seg, savna seg um eitt;have/keep one’s wits about onevera vakin;frighten/scare him out of his witsloypa ræðuligan hvøkk á ein, gera ein hjartkiptan/hjartkleptan;live by one’s -skritla, vinna pening við at nýta snildir, lívbjarga sær sum best
witter	(tlm.)roksa, møsna, tvætla
witticism	(forml.)skemt; skemtiligt innskot
wittingly	(forml.)av fyrisettum ráði, við vilja
wittol	[maður ið veit um og letur um seg ganga, at konan er ótrúgv]
witty	1skemtingarsamur, skemtiligur, stuttligur2andríkur, andborin
wizard1	1(í ævintýri) gandakallur2(fl.m.)gandakallur, flogvit (t.d.a chess wizard)
wizard2	(gl., tlm.)frálíkur, óførur, frálíka góður, avburðar-
wizardry	1(í ævintýri) gandur, gandakynstur,(gl.)galdur2(fl.m.)framúrskarandi dugnaskapur3(um lut) eindømi, undur
wizen	fáa at følnael.visna, fáa at skropnael.hjána burtur
wizened	1(um fólk) rukkutur, (saman)skropnaður, diddarak, uppturkaður2(um frukt) skorpnaður, uppturkaður, snerktur
WLTM,wltm	(st.)would like to meet
Wm	(st.)William
WMD	(st.)weapon of mass destruction hóptýningarvápn
WMO	(st.)World Meterological Organization [alheimsstovnur, ið hevur sum setning at fáa veðurupplýsingar skjótt millum lond]
windowbar	1(vindeyga)sprossi2window barsrimaverk fyri vindeyga
WNW	(st.)west north west
wo	síwhoa
wobble1	1ruggan, at rugga, vaggan, at vagga, skelvan, at skelva2sløðran, at sløðra, skinklan, at skinkla, vinglan, at vingla3(um eitt, ið gevur eftir,t.d.feitt, lopi/gele) at dilla /-ll-/; (um rødd) pipran, at pipra4at vera í iva, at vera gjánkaligurel.vinglutur, óvissa, at draga á bæði, at mala á hælinum, støðuloysi5(tøkn.)skinkl, gidd, sløð(u)r
wobble2	1(um møplar) skinkla, riða, rinka, ridla (t.d.the table//ladder -d)2(sum geleel.lopi) dilla /ll-/ (t.d.his fat thighs -d; wobbling jellydillandi lopi/gele); pipra, biva, skelva (t.d.her voice -d on the high notes)3(um fólk) sløðra, vingla (t.d.wobble around on crutches; wobble along on a bycycle)4(fl.m.,um fólk) ivast, vingla, vera gjánkaligur, draga á bæði, mala á hælinum (t.d.their resolve began to wobble);ridla (t.d.a wobbling economy)5(við ávirki) rugga (t.d.wobble the table);fáa at skinkla, rista6[íyms.samb.]his legs began to wobble (under him)beinini vildu ikki bera hann
wobbler	1(um fólk) vingliskøltur2(hjá síla-, laksafiskarum) [beita ið er dánað sum fiskur; úr plastiel.viði), vobblari
wobbly1	throw a wobbly gerast karvandi/spinnandi óður (í høvdinum), verða í øðini, vera púra frá sær sjálvum; ikki óður, men galin
wobbly2	vinglutur, skinklutur;wobbly toothleys tonn
Wodehouse	
Woden	(sern., gudal.)Óðin
wodge	1(tlm.)tjúkk breyðflís, klumpur, stórt petti (t.d.of cake)2(tlm.)stór rúgva (t.d.of papers; of banknotes)
woe	1(skaldsk.)vei, harmur, sorg, vanlukka, óeydna2[íyms. samb.]-svanlukkur, líðingar, tvørleikar;to add to her -shennara tvørleikar gjørdust bara hvaðna verri;woe is me (skemt.)vei mær, eya meg;woe (be) to himvei honum
woebegone	(bókam.) sorgarbundin, syrgin, ólukkuligur, óeydnusamur; harmur, syndarligur, frá sær sjálvum (av sorg); sídowncast, depressed
woeful	1(skaldsk.)syndarligur (t.d.fate),harmiligur, sorg(ar)ligur, syrgiligur, vanlukkuligur, vanlukku-, sorgarborin2syrgin, dapur, óglaður, ólukkuligur, syrgiligur, syndarligur, grøtiligur, syndarligur (t.d.lack of funding)
wog	(óvand., niðr.)[eyknevni á døkkleittum útlendingum]
woggle	(til hálsaturriklæði hjá skóta) ringur
wok	vokk (kinversk grýta við kúputum botni)
woke1	tátavwake
woke2	(am)vakin, tilvitandi (politiskt, sosialt);I do think that I am pretty woke about sexismeg haldi eg eri rættiliga tilvitandi um kynsmismun;he is woke about the issues surrounding racehann er tilvitandi um mannamun grundaðan á rasu
wolds	ódyrkað skógarleyst hálendi, háslætti
wolf1	1(dý.)úlvur(Canis lupus)2(tlm.)konufólkarevur, revur, slettingur, rælari, gentusnøkil, konufólkalókur, konufólkanálgur3[íyms. samb.]have a wolf by the ears (fl.m., t.e.)vera í hættisligari støðu;cry wolfgeva skeiva ávaring, rópa til glens at úlvurin kemur;keep the wolf from the doorlívbjarga sær sum frægast;a wolf in sheep’s clothingúlvur í roði;throw sby to the wolves (fl.m.)tveita ein fyri leyvurnar
wolf2	slúka, gloypa (einum), skræða í seg, kíka í seg, fylla í seg, koyra í seg, stappa í seg, ríva í seg, eta grammliga;wolf downsíwolf
wolf call	at bríksla eftir gentu
wolf cub	úlvshvølpur
wolffish	(dý.)steinbítur(Anarhichas lupus)
wolfhound	úlvahundur
wolfish	1líkur úlvi, úlvsligur, úlvs-2(fl.m.)grammur, slúkin, átufrekur, glúpskur
wolfsbane	(plfr.)símonkshood
wolf-whistle	bríksla (eftir gentu) (t.d.they wolf-whistled at me, and I was so embarrassed I tripped up; fans wolf-whistled her as she took of her jacket)
wolfwhistle1	bríksl (eftir gentu) (t.d.the last time she went out wearing those ripped jeans she got several wolf whistles)
Wolsey	
wolverene el.wolverine	(dý.)jarvur(Gulo gulo)
wolverine	(dý.) jarvur (Gulo gulo)
wolves	avwolf
woman	1kona, konufólk (t.d.my good woman),kvinna, dama (t.d.he looked round at the women in the theatre; a tall dark-eyed woman)2vaksin, vaksin kvinna (t.d.my daughter will soon be a woman)3(íbreið. merk.)konufólk, kvennkyn4(tlm.;um sprundið hjá einum) genta, dama (t.d.have you met his new woman?)5(í ófólkaligari tiltalu) kona (t.d.my good woman; shut up, woman!)6(framman fyrin)kvinnuligur (t.d.woman doctor//novelist//priest//president)7[íyms. samb.]old woman(um mannfólk) gamalt grenj;play the womanvera ómansligur;born of womandeyðiligur; (sí eis.honest); she is her own womanhon er sín egin harri
woman-chaser	konufólkarevur, revur, slettingur, rælari, gentusnøkil, konufólkalókur, konufólkanálgur
woman clerk	skrivstovukvinna
woman doctor	kvinnuligur lækni
woman hater	konufólkahatari, maður ið vanvirðir konufólk
womanhood	1konufólkaskapur, tað at vera konufólk2(eginleiki) kvinnuleiki, kvennleiki, kvennsemi (t.d.an ideal of womanhood)3konufólk, kvinnur, kvennkynið (t.d.it was an insult to womanhood); grow into womanhoodverða tilkomið konufólk
womanish	1(niðr.) hóskandi fyri kvinnurel.sermerkt fyri kvinnur (t.d.she liked womanish things, like dresses and dances)2(niðr.um mannfólk) kventlasligur, lítið mansligur (t.d.John thought him a weak womanish fool)
womanize	1gera konufólkaligan, gera kventlasligan2(tlm.) fara eftir konufólki
womanizer	konufólkarevur, revur, slettingur, rælari, gentusnøkil, konufólkalókur, konufólkanálgur
womanizing	at fara eftir konufólki, at fríggja við nógvum konufólkum
womankind	kvennkynið, konufólk
womanlike	sum eitt konufólk, sum hóskar einum konufólki
womanliness	[tey serkenni ið eyðkenna konufólk (tað at vera konufólkalig, vakurleiki, blíðskapur, hugsanarháttur og annað sum fólk vanliga seta í samband við konufólk)]
womanly	kvinnulig, konufólkalig
woman named	(løgfr.) triði partur (her: kvinna) (triði partur stevnd/ur í hjúnaskilnaðarrættargangi)
woman police	løgreglukvinna
woman power,womanpower	1woman-powerkonufólk sum arbeiðsmegi/arbeiðsorka2konufólkavald (økt sjálvsálit og vaksandi førleikar)
woman's rights	síwomen's rights
woman suffrage	(sø.) javnstøða viðvíkjandi valrætti, vælrættarjavnstøða
woman suffragist	(sø.) kvinna ið stríddist fyri valrætti til konufólk, javnrættindakvinna, javnstøðukvinna
womb	lívmóðir;in the womb of timetað ið framtíðin ber við sær
wombat	(dý., avstr.)vambi, posadýraslag(Vombatidae)
womb-to-tomb	úr vøggu í grøv, frá vøggustabba og til gravarbakka
women	avwoman; Women’s Lib(rørsla sum stríðist fyri javnrættindunum hjá konufólki, konufólkafrælsisrørsla)
womenfolk	konufólk;one’s womenfolk (gl.)konufólkini í húsunum (í familjuni)
womenfolk,womenfolks	1kvinnur, konufólk2my(his)womenfolk(s)konufólkini í mínari (hansara) familju
women’s	(í smst.)konufólka-, kvinnu- (t.d. group; movement); konufólka-, kvinnu-, damu- (t.d.magazine)
women’s lib	konufólkafrælsisrørsla, rørsla sum stríðist fyri konufólkajavnrættindum
women’s libber	(gl., tlm.)reyðsokkur, feministur
women's rights	kvinnujavnrættindi(r), kvinnujavnstøða
won1	tát og lh tátavwin
won2	(gl. el. staðb.) liva, búgva
wonder1	1undur (t.d.technological -s; he is a wonder);undurverk (t.d.the seven wonders of the World);sí eis.nine2(smb.wonder2)undran, bilsni (t.d.it filled me with wonder)3(sum hendir) undurverk, kraftagerð, undur, kraftaverk, undurgerningur; undurgerð, guddómsverk4[íyms. samb.]signs and -stekin og kraftagerðir;-s will never cease! (skemt.)undur henda enn, skilji eg á lagnum;in wonderbilsin;it is a wonder thattað er løgið at;it’s a wonder that he refusedtað vardi meg ikki, at hann fór at sýta; eg hevði ikki væntað, at hann fór at siga nei;how in the name of wonder !hvussu í Guðs garði!, hvussu (hvat, hvar) í víðu verð?;for a wondertað kann tykja løgiðel.margháttligt;work/do -sgera undurverk
wonder2	1hugsa um, grunda (t.d.he -ed what had happened//how he could begin//where they were going);hugsa (t.d.“How did they know?”)2(við ongum ávirki) undrast (t.d.it made me wonder)3(framman fyri eykasetningi) tað var løgið (t.d.I wonder that he refused)4[íyms. samb.]Iwonder1meg lystir at vita (t.d.what has happened; why he did it)2ja man tað ikki vera? (spyrja fólkaliga) heldur tú//halda tygum, at (t.d.I wonder if/whether you could help me),man tað vera (t.d.I wonder if/whether it would be wise?);Gud viti, um hann//hon fara atel.man hann//hon... (t.d.I wonder if/whether she will come); I shouldn’t wondereg hevði ikki verið kløkkur (um);I wonder thattað tykir mær løgið at, tað var løgið at (t.d.I wonder that he refused)5[ísamb. viðfs//hj]wonderatundrast á, løgið er tað, meg undrar (t.d.her strange behaviour); wonderabouthugsa um (t.d.the best procedure; the effect it would have); wonderout loudhugsa hart, tosa við seg sjálvan
wonder child	barn við serstøkum gávum, undurbarn
wonder drug	undurheilivágur, undurmedisin
wonderful	undursamur, undurfullur; ótrúligur
wonderland	leikaland, ævintýraland, ævintýraheimur
wonderment	1undran; bilsni; virðing (t.d.John shook his head in silent wonderment)2sonn fragd, eitt ið er ógvuliga hugaligt og forvitnisligt
Wonder State	Arkansas
wonderstruck,wonder-stricken	málleysur av undran
wonder-worker	kraftaverkafólk
wondrous1	undursamur, frálíkur, undurvakur, undurfagur, undurvænur, yndisligur, undurfullur, undursamur (t.d.this wondrous city)
wondrous2	(gl.) ómetaliga, avbera (t.d.she is grown wondrous pretty)
wonga	Spengar
wonk	1(am.S)nørdur (t.d.a computerwonk;the policy wonks in the government);bókafólk2fólk, ið arbeiðir upp á rós fyri at toknast arbeiðsgevarael.fyri at vera væl lýtt av arbeiðsgevara
wonky	1(tlm.)skeivur (t.d.you have a wonky nose and a crooked mouth)2(tlm.,um lut) skinklutur, skirvisligur, skroypiligur, brákaligur,(gl.)laparsligur (t.d.they sat drinking, perched on the wonky stools)3(tlm.,um fólk) móður, ússaligur, linur, linur í kongunum (t.d.your sense of judgment is a bit wonky at the moment)
won’t	(st.)will not
wont1	(forml.) as is his wontsum hann plagar, sum er honum líkt
wont2	(forml.) be wont toplaga at
wonted	(forml.)vanligur (t.d.my wonted place)
woo	1fríggja til (t.d.women voters);royna at fáa fatur á (t.d.pop stars are being wooed by film companies eager to sign them up)2(gl.)fríggja til, bera upp bønarorð, stíga upp í veingin
wood	1skógur,(tlm.tíðum) skóg(kv.)2(til bál; at kynda við) brenniviður, pinnabrenni3timbur, viður (t.d.made of wood)4(til vín, bjór) tunna, fat5the wood (tónl.)træblásarar6[íyms.samb.]-sskógur,(tlm.tíðum) skóg(kv.); be out of the wood(am.woods) (fl.m.)vera komin úr trupulleikum;don’t halloo till you are out of the wood(am.woods)frø teg ikki ov tíðliga;beer from the woodøl úr fati7[ísamb. viðs]chop woodhøgga brennivið/pinnabrenni;he cannot see the wood(am.woods) for the treeshann sær ikki skógin fyri trøum, hann sær ikki heildina fyri smálutum;touch woodbanka upp undir borðið (á føroyskum verðurvanlsagt: “lat meg ikki hava orðið á tí”)
wood alcohol	træspritt
wood ant	(dý.)skógarmeyra(Formica rufa)
wood avens	(plfr.)fepurneliksrót(Geum urbanum)
wood bin	kassi til brenniviðel.pinnabrenni, brenniviðarkassi
woodbine	1(plfr.)geitarblað(Lonicera periclymenum)2(am.)sívirginiacreeper3(bílig sigarett)4(am.)villsvín
woodblock	1viðarbuttur, viðarstabbi, klóta2(prent.)viðarpláta3(mynd) træskurður
wood-burning stove	brenniovnur
woodcarver	træskeri, træskurðarfólk
woodcarving	1træskurður, træskurðarlist2(verkið) træskurður, træskurðarmynd
woodchat	(dý.)skúlvtyrningur(Lanius senator)
woodchat shrike	síwoodchat
woodchip	flís, træflís
wood chisel	høggujarn
woodchuck	(am., dý.)skógarmurmildýr(Marmota monax)
wood coal	trækol, viðarkol
woodcock	(dý.)skógsnípa, vendisnípa(Scolopax rusticola)
woodcraft	1skógmansskapur; at duga væl at ferðast ó skógi2at duga væl at telgja, at duga væl træsmíð
wood cranesbill	(plfr.)litingarsortugras(Geranium sylvaticum)
wood crowfoot	(plfr.)gullsólja(Ranunculus auricomus)
woodcut	1træskurður (sum prentað verður eftir)2mynd prentað eftir træskurðarmynd
woodcutter	1viðarhøggari, skóghøggari2(listafólk) træskeri, træskurðarfólk
wood duck	(dý.)brúðuront(Aix sponsa)
wooded	skógvaksin, trævaksin, skógargrógvin, skógmikil;wooded landskógarland;wooded landscapeskógarlandslag;wooded tractskógarøki
wooded meadow	ong við trævøkstri
wooded pasture	bit við spjaddum trævøkstri
wood-embosomed	(skaldsk.) skógrandaður, randaður av skógi, skógumgirdur, umgirdur av skógi
wooden	1træ-, timbur-, viðar-, úr viði2(fl.m.)stívur, stirvin (t.d.smile)3skróvturrur4(fl.m.)deyður, tómur, deydligur, yvirbragdsleysur, frostkendur;a wooden stareat hyggja/stara tómoygdur
wooden bird call	træfloyta sum ljóðar sum fuglalát
wooden-head	(gl., tlm.) býttlingur, tápulingur, greytheili
wooden-headed	seinur, tornæmur, smalur, býttur
wooden horse	(sø.,píningartól) træhestur (smb.spískastein sum var úti í Tinganensi)
wooden spoon	træspónur;get/take the wooden spoonverða síðstur
wood fibre	viðartrevja, viðartægr
wood grouse	(dý.) skógarorri (Tetrao tetrix)
wood horsetail	(plfr.)bjølgabjølluvísa(Equisetum sylvaticum)
woodland1	skógarlendi, skógur, skógarøki, skógarstrok
woodland2	skógar-, skógarlendis-
woodland limit	skógarmark, skógarnám
woodland pink	(plfr.)skógarnelikur (Dianthus sylvestris);eis.wood pink
woodlark	(dý.) trælerkur (Lullula arborea)
wood lot	smáskógur
woodlouse	(dý.)grátt undir steini(Oniscoidea)
woodman	1viðarhøggari, skógarhøggmaður, skógararbeiðsmaður; veiðimaður2skógarvørður3skógarbúgvi
woodman's axe	viðarøks, skógarøks
wood meadowgrass	(plfr.)urðarhúsagras(Poa nemoralis)
wood nymph	(fólkatr.) skógardís
woodpecker	(dý.)spæta(Picidae); green woodpeckerspónspæta(Picus viridis)
wood pigeon	(dý.)mánadúgva(Columba palumbus)
woodpile	brenniviðarflógv, pinnabrennislað; (fl.m.)there is a nigger in the woodpileokkurt býr undir, har er flím í
wood pimpernel	(plfr.) lundaarmingi (Lysimachia nemorum)
wood pink	(plfr.)skógarnelikur (lat.Dianthus sylvestris); eis.woodland pink
wood player	(tónl.) træblásari
wood pulp	(til pappírsframleiðslu) viðarmeyk
woodruff	(plfr.)[slag av steinbrá](Galium odoratum)
woodrush	(plfr.)ryski;great woodrushstórryski(Luzula sylvatica); many-headed woodrushmargblømt ryski(L. multiflora); spiked woodrushaksaryski(L. Spicata)
wood sandpiper	(dý.)vaðstelkur(Tringa glareola)
woodscape	skógarmálningur, málningur ið lýsir skóg
woodshed	brenniviðarskúr, brenniviðarskúrur,take sby into the woodshed (am.)hølva ein av
woodskin canoe	barkarbátur, barkarkano
woodsman	1skógarmaður; skógarbúgvi; skógarkønur maður2skógararbeiðsmaður
woodsmoke	roykur av skógareldi; roykur av brenniviði, brenniviðarroykur
wood sorrel	(plfr.)skarðssýrusmæra(Oxalis acetosella)
wood spirit	træspritt
wood spoon	síboobyprize
woodstone	(jarðfr.) steinrunnin trækubbi, steinrunnin viður
wood stove	brenniovnur
woodsy	(am., tlm.)skógar-, skógarkendur
wood tar	viðartjøra, finsk tjøra
wood thrush	(dý.)sprøklutur trøstur(Hylocichla mustelina)
wood tick	(dý.; norðuram.) blóðmotta (Ixodidae)
woodturner	(handv.)dreyari
woodwarbler	(dý.)grønljómari(Phylloscopus sibilatrix)
woodwasp	(dý.)trævespa(Sircidae)
woodwind	træblásiljóðføri;the woodwindstræblásararnir (í orkestri)
woodwool	(bjálving) træull
woodwork	1træverk2træsmíð3[íyms.samb.]the -s (fótb.)málstengurnar;come out of the woodworkkoma fram í ljósið; daga undan
woodworker	(maður í smíðar stólaro.a.m.) snikkari, træsmiður
woodworking	(eis. skúlam.)træsmíð
woodworking factory	(maskin)snikkaravirki
woodwork room	(skúlam.) smíðstova
woodworm	[træátin ormvera hjá ymsum klukkusløgum]
woody	1skógmikil; skógvaksin, avvaksin við skógi, skógar-2úr viði, træ-3trækendur, viðarkendur, trænaður;woody plantviðarplanta
woodyard	timburgoymsla
woody plants	(plfr.)viðarvøkstur
wooer	fríggjari, biðil
woof1	1(um hund) vuff, vovv2veftur (í veving)
woof2	goyggja
woofer	basshátalari
woofly	við djúpari, rungandi rødd
woofy	(um ljóð) djúpur, rungandi
wooingly	á tølandi, sannførandiel.yvirtalandi hátt
wooing,wooings	(eis. pol.) at fríggja til
wool1	1ull2tógv3rót (á seyði)4ullint klæðiel.plagg5S(ull)hár(serst.tætt, purlut hár sum hjá nekarum)6[íyms. samb.]keepyour wool on!sissa teg; øs teg ikki upp!;loseone’s woolverða illur, verða í øðini, gerast vindandi óður;pullthe wool over sby’s eyesbera blak fyri eyguni á einum, blása torvmold í eyguni á einum; (sí eis.cry2ogdye)
wool2	ullar-, ull-, úr ull
wool clip	ullarframleiðslan (ársframleiðslan av ull í ávísum øki)
woolen	(am.)síwoollen
wool fat	(í óvaskaðari seyðarull) ullarfiti, ullartálg, lanolin
wool fell	seyðaskinn (við ullini á)
woolgathering1	at vera burtur í øðrum heimi, at sita og bína; at droyma seg burtur í annan heim, dreymar;go -gatheringhava giftingarhug
woolgathering2	burtur í øðrum heimi, droymandi
wool grease	ullarfiti
woolgrower	seyðbóndi, bóndi ið hevur seyð(serst.fyri ullina)
wool growing	ullarframleiðsla
woollen	ull-, ullar-, úr ull, ullintur
woollens	ullint plagg, ullint klæði; ullvørur, tógv;woollens draperullvørusølufólk;woollens yarnrísið tógv (tógv, gjørt rísið við karðum), karðað garn (av ull, sum er karðað)
woollies	1bundin klæði, ullint klæði2(am.)ullint undirklæðir3(í vestara parti av USA ogavstr.)seyður
woolly1	(gl.)ullint troyggja;woollies1bundið klædnaplagg, ullarklæðir2(am.)ullint undirklæðir
woolly2	1ullintur, ull-, ullar-, úr ull2ullarkendur, sum líkist ull3ullhærdur4(fl.m.)ullintur, óklárur, ógreiður, óneyvur
woolly-headed	1ullhærdur2(fl.m.)ørkymlaður
woolly-minded	ørkymlaður, í ørviti, óklárur; (um hugsanarhátt) ógreiður, gruggutur
woolly soft grass	(plfr.) legugras (Holcus lanatus)
woollywillow	(plfr.)loðpílur(Salix lanata)
woolman	ullarsølumaður, maður ið er í ullarvinnuni
wool nut	tápulingur, býttlingur, greytheili, dylhøvd, apukattur, dólgur, neyt
woolsack	1ullarposi2the woolsacksæti hjá tingformanni yvirhúsins(the Lord Chancellor)
woolshed	[hús har áseyðaroyting fer fram]
woolskin	lambs-el.seyðaskinn
woolwax	(sum søluvøra) ullarfiti, lanolin
Woolwich	
woopie	(st.)well-offolderperson(serst. am. tlm.)múgvandi pensiónistur, eftirlønarfólk sum er fíggjarliga væl fyri
woorali	kurare, ørvaeitur
wooziness	at eitt er tokut, óskiljandiel.óklárt;verbal woozinesstokutala, møsn
woozy	(tlm.)sindur í ørviti; sum tað melur fyri, ørkymlaður; linligur, møsnutur, ógreiður (t.d.the Minister's woozy statement)
wop	(am.S, niðr.)lágur dimmleittur itali/italiariel.suðurlendingur
wopsy	(um hár) frísutur
Worcester	
