E.	(st.)East India(n); East Indies
exchangee	luttakari í skiftisætlan (ætlað studentumo.ø.)
exchangelist	gjaldoyralisti, kurslisti
exchangerate	gjaldoyrakursur, gjaldoyragangvirði;exchange rates atgjaldoyrakursur tann
exchangeteacher	skiftislærari
exchequer	landskassi;(sø.)skattkamar;the Exchequerstatskassin; fíggjarmálaráðið;the Chancellor of the Exchequerfíggjarmálaráðharri
exchequer bond	(rentuberandi) statsskuldarbræv
excide	skera sundur (í smærri bitar)
excipient	(í heilivágsfrøði) burðarevni, bindievni; (í salvu) salvugrundarlag
excise1	1nýtsluskattur, nýtslutollur, nýtslugjald2(gl.)gjaldstova
excise2	leggja avgjald á
excise3	(lækn.) skera burtur, beina burtur, umskera
exciseable	sum nýtslugjald er lagt á; sum nýtslugjald kann leggjast á
exciseduty	nýtslugjald, framleiðslugjald
exciseman	[starvsmaður sum heintar inn og hevur eftirlit við nýtslugjøldum]
excisetax	punktskattur, punktavgjald
excision	(lækn.) umskurður, burturskurður, burturbeining;femaleexcision umskurður av konufólki
excitability	tykni; fjáltur; bráðlyndi, viðkvæmi
excitable	smásárur, tykkin, skjótur fyri nøsini; fjálturstungin, støkkin; viðkvæmur
excitant1	kveikingarevni, stimbrandi evni; eggjanarevni
excitant2	sum stimbrar, sum kveikir, upplívgandi; sum eggjar
excitation	1øsing; eggjan; argilsi2(ravm.)(rav)sigulmagnan, magnetisering
excitatory	eggjandi, øsandi
excite	1vekja, birta í, spinna í, elva til, kveikja (t.d.hatred, curiosity)2(serliga um persón) øsa, reita; eggja; (um nervu) øsa, stimulera3(ravm.)(rav)sigulmagna
excited	1(upp) østur, uppi á gosi, illur (t.d.it is nothing to get excited about);spentur, óróligur, fjálturstungin; hugtikin, bergtikin; í góðum lag, fróur2sigulmagnaður
excitement	øsing, sinnisrørsla (t.d.in his excitement, he forgot …);spenningur (t.d.the excitements of the journey);órógv; spennandi hending
exciting	spennandi (t.d.just at the most exciting moment; exciting colours);øsandi, hugtakandi;the exciting causebeinleiðis orsøkin
excl.	exclamation; excluding; exclusive(ly)
exclaim	1siga; bresta út úr einum; rópa út, rópa (t.d.‘Never!’ he exclaimed)2she exclaimed over my new hat (uml.)hon var púra burtur í mínum nýggja hatti3exclaim againsttala harðliga at, mótmæla harðliga
exclamation	útbrot, róp;exclamation markrópitekn
exclamatory	rópandi
exclave	landoyggj (t.d.Berlin was an exclave of West Germany)
exclosure	avbyrgt øki ið ( við girðingel. tíl.)
exclude	1steingja úti (t.d.the air, the sun);halda uttanfyri (t.d.measures to exclude foreign competitors; exclude him from the talks)2taka undan, ikki taka upp í, seta eftir3beina fyri (t.d.all possibility of doubt);útiloka (t.d.one cannot exclude the possibility that he is dead)
exclusion	útisteinging, útblaking; undantak,to the exclusion ofundantikið
exclusion order	(løgfr., uml.)uppihaldsbann
exclusion principle	útihýsingarmeginregla
exclusive	1ikki fyri ein og hvønn (t.d.club)2einasti; eina- (t.d.agent); have an exclusive contract forhava sáttmála um einkarrætt til;have the exclusive right(el.privilege) of sellinghava einkarrætt at selja; serligur, serstakur, ser- (t.d.privileges)3(um persón) snubbutur, ikki fagurlátin (t.d.he is rather exclusive in his manner; an exclusive attitude);mætur, stórmansligur4mutually exclusivesum útihýsa hvør øðrum, ósambæriligur (t.d.two mutually exclusive qualities)5exclusive ofikki íroknaður; frároknaður (t.d.the price, exclusive of expenses, is £5)
exclusiveeconomic zone	serbúskaparøki
exclusively	einans, bara, bert
exclusiveness	stórlátað afturhaldni, snubbutur hugburður
excogitate	hugsa upp, úthugsa; finna upp á
excogitation	uppfinning, úthugsan
excommunicable	sum kann verða bannsettur/útihýstur; sum hevur uppiborið at verða bannsettur/útihýstur
excommunicate	seta í bann, bannseta, bannføra; útihýsa úr kirkjusamfelag
excommunication	bannseting, bannføring; útihýsing úr kirkjusamfelag
ex-con	= ex-convict
excoriate	1skursla, skrava, klóra; fletta, flæsa (t.d.her palms were excoriated by the hard labour of shoveling)2(fl.m.)finnast náðileyst at, húðfletta (t.d. he was excoriated for his mistakes); excoriated (eis.)húðarleysur
excoriation	1skursl, skeina; flæsan2náðileys atfinning, húðfletting
excrement	1skarn, lortur, skittur, (manna) trekkur, kukkur2excrements fltrusk- og spillevni (t.d.poisonous factory excrements)
excremental	skarns-, lorta-
excrescence	vøkstur, útvøkstur
excrescent	útvakstrar-, útvaksandi; óneyðugur, tarvleysur
excreta	úrskiljingartilfar (serst.skarn, skittur, mannatrekkur)
excrete	(lívvfr.) úrskilja, geva frá sær (t.d.excrete deleterious products from the body)
excretion	úrskiljing, fráskiljing; úttøming
excretory	úrskiljingar-, útømingar-
excruciate	(serst. flm.)  plága, pína
excruciating	pínandi; kvalafullur;excruciating painótolandi pína
excruciation	tað at pínast, pínsla, pína; líðing, kvøl
exculpate	fríkenna; rættvísgera;exculpate sbyprógva at ein er ósekur;exculpate sby from a chargereinsa ein fyri ákæru
exculpation	fríkenning; rættvísgerð
exculpatory	rættvísgerandi, sum prógvar at ein er ósekur
excurrent	(um vætu í ílatiel.opi) sum rennur út, sum vellir út
excursion1	11útferð2rundferð3útferðarfólk; ferðalag2(fl.m.)slank (t.d.an excursion into politics), el.frá evninum; frávik (frá umrøðumálinum)3(gl. herm)álop, útrás, árás
excursion2	fara útferð
excursion3	útferðar- (t.d.steamer; train)
excursionist	útferðarluttakari, ferðamaður
excursionize	fara útferð
excursive	skemtiferðar- útferðar-;excursive tripsútferðir (stuttir túrar); leypandi, víðsveimandi, langrøkjutur
excursus	1uppískoyti (ið lýsir ein part í einum verki)2stutt frávik (frá høvuðsevninum)
excusable	fyrigevandi, sum kann fyrigevast
excuse1	1umbering, orsakan; undanførsla (t.d.his headache is only an excuse for not working);avboð;an excuse for a novel (tlm.)okkurt ið illa kann kallast skaldsøga;ignorance of the law is no excuse (uml.)tvørrandi lógarkunnleiki sleppur einum ikki undan revsing;a poor excuseein vánalig umbering;send an excusesenda avboð;without excuse (eis.)uttan grund2høvi (t.d.I was glad of an excuse to spend a night out of town)
excuse2	1orsaka, fyrigeva, umbera (t.d.excuse my being late; I cannot excuse his conduct); excuse me!orsakið meg! haldið mær til góðar! (t.d.excuse me, are you Mr. Brown?); excuse me coming, excuse my coming, excuse me for comingorsaka at eg komi;excuse me from comingslepp mær undan at koma2sleppa einum frá (t.d.excuse him from attending classes);geva frí (t.d.the class is excused for the rest of the afternoon);sleppa einum undan (t.d.excuse his fine (, excuse him the entrance fee); be excused (serst.skúlamál) fara á ves;ask to be excusedbiðja sær frí;you are not excused yettú sleppur ikki (, kanst ikki fara) enn3excuse oneself frombiðja seg undan
ex-directory number	(tlf.)nummar, ið ikki er í telefonbók, loyninummar
exeat	1bráðfeingis fráveruloyvi (t.d.from a college or a monastery)2loyvisbræv sum loyvir presti at flyta úr einum biskupsdømi í annað
exec.	executed; execution; executive; executor
execrable	andstyggiligur (t.d.crimes);ússaligur, ræðuligur (t.d.weather)
execrate	1hava andstygd fyri; banna2(gl.)biðja ilt fyri einum
execration	andstygd; vanbøn, illbøn
execratory	vanbønar-
executant	virkandi listafólk;the executantstey leikandi
execute	1gera, greiða; fremja, útinna (t.d.an order, a judgement); (teld.)inna; fullgera2bera fram, siga fram, spæla, syngja (t.d.a song)3(um skjal) seta saman, skriva, greiða úr hondum; skriva undir, gera rættargildan (við at skriva undir, innsiglaosfr.)4(um deyðadømdan) avrætta, taka av døgum
execution	1(smb. execute)útinning; fremjan, greiðsla;carry into executionfremja2(teld.)inning3tala, fyrilestur4(tøkn.)framførsla5(løgfr.)dómsfullgerð; lóggilding; undirskriving;levy execution (løgfr.)gera úttøku(el.fremja dóm)6avrætting, útinning av deyðadómi7(tlm.)oyðing, oyðilegging;do great executionhava stóra ávirkan; elva stóran skaða (, stórt mannfall)
executioner	bøðil, (sø.) skarprættari
executive1	1stjóri, leiðari, persónur í leiðandi starvi;chief sales executivesølustjóri2høvuðsstjórn, stýri, leiðsla (t.d.of a labour union; of a party)3(pol.) the executiveútinnandi valdið (, myndugleikin)
executive2	1útinnandi (t.d.power)2fyrisitingar-; leiðara- (t.d.ability)3høvuðs-;executive architecthøvuðsarkitektur
executivecommittee	starvsnevnd; høvuðsstjórn
executivepower	(stjmfr.) útinndandi vald
executor	búskiftari, skiftastjóri, skiftisstjóri
executrix	kvinnuligur búskiftariel.skiftisstjóri
exegesis	tulking, útlegging(serst.bíbliutulking)
exegete	skriftútleggjari, skrifttulkari, skrifttýðari
exegetic	tulkandi
exellency	(tignarheiti) hávirðileiki;Your Excellencytygara hávirðileiki (serst.um sendiharrar pávakirjunnar)
exemplar	mynstur, fyrimynd; (fyrimyndarligt) dømi; eintak
exemplary	fyrimyndarligur (t.d.conduct);øðrum til ávaringar (t.d.punishment);sum virkar sum dømi (t.d.exemplary passages)
exemplification	1lýsing við dømum; dømi, livandi dømi2(løgfr.)váttað avrit
exemplify	1lýsa við dømum, geva dømi um, vera dømi um, lýsa2(løgfr.)geva frá sær váttað avrit av einum almennum skjali
exempt	1sleppa (einum) undan(fromundan,t.d. military service)2lundantikin (t.d.these goods are exempt from taxes)
exemption	undantøka; skattalætti;exemption from dutytollfrælsi;exemption from tax liabilityat vera undantikin skattskyldu, at sleppa undan at gjalda skatt
exequator	[stjórnarviðurkenning av útlendskum konsli]
exequatur	stjórnargóðkenning av fremmandum konsli
exequies	jarðarferð
exercisable	sum kann verða framt (í verki) (t.d.powers exercisable by the Crown)
exercise1	1venjing (t.d.gymnastic exercises; practise exercises on the piano; the army took part in a NATO exercise)2kropsvenjingar, mýkingar (t.d.take exercise)3uppgáva, verkevni, stílur4(átr.)bønarhald5(smb. I exercise)útinnan, brúk, nýtsla;it requires the exercise of imaginationtað krevur hugflog;the exercise of patience is necessarytað er neyðugt at sýna tolsemi6(í skúla) venjing (t.d.spelling exercises)verkevni (t.d.there are exercises at the end of each chapter);stílur7exercises flt (am.)halgisiður (t.d.opening exercises),hátíðarhald
exercise2	1útinna (t.d.authority),nýta, taka í nýtslu, brúka (t.d.all one’s strength);sýna (t.d.caution, patience)2íðka, venja (t.d.a muscle; a dog, a horse)3fáast við, hugbinda (t.d.their minds);geva nóg mikið at hugsa um; stúra fyri, kvíða fyri (t.d.I am very much exercised about his future)4(óáv.)íðka (t.d.you don’t exercise enough)
exercisebike	kondisúkkla
exercisebook	stílabók, skrivihefti, venjingarhefti
exerciser	mýkingartól, motiónstól
exerciseyard	klivagarður, gongugarður (í fongsli)
exercising apparatus,exercising machine	kondimaskina
exergue	baksíða (á mynti)
exert	1brúka (t.d.one’s will power);inna, útinna, gera, fremja (t.d.exert one’s influence)2exert oneselfkýta seg, gera sær ómak;exert oneself on his behalfkýta seg hansara vegna;exert all one’s strengthleggja alla megi í
exertion	1brúk, nýtsla (t.d.of authority);útinning2stríð, strev, kýting, at kýta seg,in spite of all his exertionssama hvussu hann kýtti seg;by one’s own exertionsvið egnari hjálp
exes	=expensesútreiðslur (serst.um frádráttarbærar útreiðslur)
exeunt	teir fara út;exeunt omnesallir út
exfoliate	flusna
exfoliation	flusnan
ex gratia	sjálvboðin, (um peningajáttan, ið verður givin av góðsemiel.av náði og ikki av skyldu)
exhalation	útblástur; útanding; roykur;noxious exhalationseitrandi dampur
exhale	anda út, blása út (t.d.air from the lungs),senda út, rúka
exhaust1	1útblástur; floymur av avlopsdampi2útblástursrør3útblástursgass; avlopsdampur
exhaust2	1tøma, troyta (t.d.a well);brúka upp (t.d.the ammunition);tøma(offyri)2lúgva, pøsa, møða,exhaust oneselfpøsa seg;exhaust one’s healthoyðileggja sær heilsuna; slíta seg upp3tøma;exhaust a subjecttøma eitt evni;exhaust a tube of airtøma luft úr einum røri;open exhaustfríur útblásturexhaust the soilpína jørðina
exhaust fan	ventilator
exhaust gas	útblástursgass, útstoytsgass
exhaust gas boiler	(sigl.)spillhitaketil
exhaustible	sum kann tømast
exhausting	møðsamur, strevin, stríggin
exhaustion	troyting, tøming; armóð, máttloysi, møði
exhaustive	tømandi (t.d.comments, studies);djúptøkin (t.d.definition; treatment of a subject),nágreiniligur (t.d.the police made exhaustive inquiries)
exhaustless	ótømandi, sum tømist ikki
exhaust pipe	útblástursrør
exhaust steam	avlopsdampur
exhaust water	spillvatn
exhibit1	1framsýningarlutur; framsýning2(løgfr.) próvlutur3(løgfr.) ískoytisskjal, viðfesti (í rættarmáli)
exhibit2	1sýna (fram) (t.d.paintings, flowers; he first exhibited at the age of 14);vísa (t.d.a film);vísa fram2lýsa, greiða frá3(løgfr.)leggja fram (sum) próvtilfar4(um heilivág) geva
exhibition	1framsýning (t.d.art exhibition; industrial exhibition); be on exhibitionvera til framsýningar2sýning, tað at sýna (t.d.of bravery; of one’s knowledge)3(løgfr.)framløga av próvtilfari4(løgfr.)fylgiskjal5(til lesandi) lestrarstyrkur(serst.vunnið í kapping og minni ennscholarship)6be made an exhibition ofverða hildin fyri spott; vera til láturs;make an exhibition of oneselfgera skommina um seg, vera til láturs7(um heilivág) tað at geva inn
exhibitioner	styrktakari
exhibitionism	sýningartrongd
exhibitionist	maður við sýningartrongd
exhibitor	framsýnari
exhilarate	gleða, lívga, líva upp
exhilarated	kátur, glaður, við kenning
exhilarating	upplívgandi;exhilarating novelupplívgandi skaldsøga
exhilaration	kæti, gleði, ovurfegni, gott lag, góður hýrur; hugtøka
exhort	minna á, leggja eina við; eggja
exhortation	áminning, ávaringar; eggjan
exhortative	áminnandi, ávarandi
exhortatory	síexhortative
exhumation	uppgrevstur (serst.av líki)
exhume	grava upp (lík);(fl.m.)draga fram í ljósmála
exigeant	(franskt) krevjandi, strevin, stríggin, møðsamur
exigence	síexigency
exigency	1átrokandi mál, neyð; kreppustøða2exigencies fltkrøv (t.d.the exigencies of the situation)
exigent	1átrokandi, ágangandi2krevjandi (kall, starv); órímiligur í sínum krøvum
exigible	sum kann krevjast
exiguity	lítilleiki, lítilsvirði; fínleiki; sparsemi
exiguous	lítil, lítilsverdur; fínur; sparin
exile	1nútlegd;go into exilefara í útlegd2lútlagin3sgera útlagnan, koyra í útlegd
exine	(plfr.)uttara lag á blómusáð
exist	1vera, vera til (t.d.it has ceased to exist; do you believe that God exists?; such animals do not exist),liva (t.d.we cannot exist without oxygen); I cannot exist on my earningseg kann ikki liva av míni løn; finnast2vera til, vera til taks, vera fyri hendi, vera til skjals (t.d.in cases where a right of appeal exists);vera (t.d.as long as a state of war exists between them)
existence	1tilvera, lív (t.d.lead a happy existence); justify one’s existenceprógva sín tilverurætt;come into existenceverða til;in existencesum finst, sum er til (t.d.it is the largest house in existence)2tað at vera til staðar; vera
existent	sum er til, verandi; núverandi
existential	tilveru-
existentialism	(heimsp.)tilverustevna, eksistentialisma
existentialist1	eksistentialistur (persónur, ið tekur undir viðexistentialism)
existentialist2	eksistentialistiskur
existing	1sum eru, eru til, sum liva nú (t.d.the existing species of birds)2sum er (t.d.on the existing basis; in the existing circumstances);galdandi, í gildi (t.d.agreements; legislation);sum er til taks (, fyri hendi, til skjals)
exit1	1útgongd(eis.íteld.);(í flogfari) neyðdyr2útdyr3deyði4(frá motorvegi) frákoyringarvegur;make one’s exitfara út, fara burtur
exit2	(sjónl.)(hannel.hon) fer út, út (t.d.exit HamletHamlet út)
exit line	(sjónl.) útgonguorð
exit permit	útferðarloyvi
exit poll	valstaðarkanning, eftirvalskanning, útgongukanning
exit road	høvuðsvegur (út úr stórum býi)
exit turn	frákoyringarvegur
exit visa	útferðarloyvi
ex libris	ognarmerki (listaliga tilevnað ognarmerki í bókum)
Exmouth	
exobiology	handanjarðlig lívfrøði [náttúruvísindagrein sum snýr seg um møguligt lív í rúmdini, og hvat skap og natúr slíkar lívverur hava (hugsandi kundu havt)]
exocarp	(plfr.)uttara lag á fruktveggi
exodus	burturferð, flýggjan;the rural exodusburturflytingin av bygd, bygdaavtofting;Exodusonnur Mósebók
ex officio	embætis vegna; føddur (t.d.the sheriff is ex officio returning officer for the county)
exogamy	hjúnalag uttan fyri ættarbólk
exogenous	1av fremmandum uppruna2(lækn.) av orsøkum/ávum ið koma uttanífrá
exomic	útoygdur
exomic goiter	(lækn.) basedowssjúka
exonerate	1loysa (t.d.exonerate him from the responsibility (, his duties))2(viðv.ákæru) fríkenna, reinsa,exonerate himprógva hansara sakloysi; fríkenna hann(fromfyri)
exoneration	loysn; reinsan, fríkenning
exoplanets	[klótur sum hava ringrás um stjørnuel.stjørnur uttan fyri okkara sólskipan]
exor.	executor
exorbitance,exorbitancy	óhóvsemi
exorbitant	óhóvsamur, alt ov høgur (t.d.an exorbitant price);órímiligur; ómetaligur;exorbitant price (eis.)okursprísur
exorcise	svørja; reka út (illan anda),mana niður
exorcism	manan, tað at reka illan andael.djevul út
exorcist	andamanari, ein ið rekur illar andar út
exordial	(forml.) inngangs-, byrjanar-, innleiðandi, formælis-
exordium	upphav, byrjan; inngangur, inngangsorð, formæli
exoskeleton	(dý.)ytra beinagrind (hjá skordýri)
exoteric	almennur, alkunnur, gerandisligur
exotic	óvanligur, fremmandur, útlendskur
exp.	expenses; export(ed); express
expadiation	1tað at tosa ov leingiel.ov nógv um eitt2langrøkjut frágreiðing
expand	1vaksa um (t.d.one’s business);rúmka(st) (t.d.one’s mind),vaksa (t.d.heat expands metal)2spreiða, breiða (t.d.wings)3(stfr.)loysa, liða sundur4(teld) víðka5(óáv.)víðkast, vaksa (t.d.our trade has expanded)6lata seg upp (t.d.the flower expanded in the sunshine); (fl.m.um persón) livna upp, “tiðna” (t.d.he expanded after two or three glasses of wine)7expand oneselfflotta sær8expand one’s cheststinga bringuna fram úr sær9expand onviðgera nágreiniligari, fara gjølligari um10my heart expands with joyhjarta mítt titar av frøi
expanded	1útspentur (t.d.with expanded wings);útbreiddur (t.d.the country lay expanded like a map beneath us);víðkaður (t.d.programme); expanded metaltoyg(gið) metal2(máll.) the expanded present (, preterite)víðkað nútíð (, tátíð)3(prent.)breiður
expanded form	(máll.)víðkað snið
expanded memory	síextended memory
expanded tense	(máll.)víðkað tíð
expanding	1sum er í ferð við at víðkast, rúmkast, vaksa, økjast2sum kann víðkast, rúmkast, tambast, vaksael.økjast
expanding table	draguborð (borð við plátum ið kunnu dragast út)
expanse	1vídd, flati (t.d.a huge expanse of water)2the expansehimnahválvið;the blue expanseblái himmalin, himinbláin
expansibility	víðkanarevni
expansible	sum kann víðkast
expansile	sum kann víðkast; víðkanar-
expansion	1útbreiðsla2víðkan (t.d.theexpansion and contraction ofblood vessels), rúmkan, øking (t.d.German expansion in the 1930s.), vøkstur (t.d.the rapid expansion of  suburban London;the expansion of the company),leinging, toygging3víður flati4(stfr.)sundurliðing
expansionary policy	víðkanarpolitikkur
expansion bolt	víðkanarboltur;(tlm.)ekspansjónsboltur
expansionism	víðkanarpolitikkur
expansion tank	víðkanartangi;(tlm.)ekspansjónstangi
expansion valve	víðkanarventilur;(tlm.)ekspansjónsventilur
expansive	1víðkandi; sum kann tambast2víðfevndur3(fl.m.um persón) opin, opinskáraður, prátingarsamur,when he becomes expansivetá ið hann rættiliga kemur í lagið4víðkanar-
ex parte	1(løgfr.)[við fyriliti fyri bara øðrum partiel.bara við áhugamálum hjá øðrum parti í hugael.við atliti hjá parti ið er ikki partur í málinum]2(fl.m.) parthallur, partískur
expat	síexpatriate2
expatiate	1breiða seg(onum);expatiate on the matterúttala seg um málið2menna nágreiniliga (t.d.the benefits of the scheme)
expatriate1	reka úr landi, gera útlagnan;expatriate oneselfflyta í onnur lond; fara í útlegd
expatriate2	1nútlagin, útiseti2luttanlendis (t.d.an expatriate Faroese)
expatriation	útlegd
expatriation allowance	(fólk ið starvast uttanlands) útiviðbót, burturviðbót, útisetursviðbót, útisetuviðbót, útivistarviðbót
expect	1vænta (t.d.I expected you yesterday; I am expecting a letter from her; expect me when you see me); I expect there will be (el. I expect there to be) troubleeg vænti, har verður rumbul2halda (t.d.I expect I shall be back soon),rokna við (t.d.expect the worst; you cannot expect anything better)3krevja (t.d.they cannot expect that of us I expect you to be punctualeg krevji av tær at tú ert rættstundis)4(tlm.)halda, ætla, gita (t.d.I expect you are tired now)5she is expecting (tlm.)hon er við barn
expectable	it is expectable væntast kann
expectably	sum væntandi var
expectance	síexpectancy
expectancy	1vón, vónir, vánir;with a look of expectancyvið vóngóðum bragdi;be in expectancysee expectation2(trygg.): life expectancyætlaður livialdur
expectant	1bíðandi; væntin;be expectant ofvænta sær, rokna við (t.d.success)2við barn,expectant motherein komandi mamma3sum útlit eru til4expectant treatment (lækn.)bíðanarviðgerð
expectation	1vánir, vónir;expectations fltvónir; framtíðarútlit;have great expectations ofvænta sær nógv av,any expectation oferu tað nøkur útlit fyri;have great expectationshava útlit til stóran arv2expectation of lifeætlaður livialdur3[íyms.samb.]according to expectation(s)sum væntað;against(el.contrary to) expectation(s)øvut av tí ið væntað varð;answer(el.come up to) one’s expectation(s)svara til tað ið væntað var;beyond expectation s)nógv meira (, betri) enn væntað;not come up to(el.fall short of) one’s expectation(s)ikki svara til vónirnar;exceed(el.surpass) one’s expectation(s)nógv meira (betri) enn vónað varð;(bíbl.) my expectation is from himfrá honum kemur vón mín;his expectations from ittær vónir hann hevði um tað;we have great expectations of youvit vænta okkum nógv av tær;have great expectationshava útlit til stóran arv;be in expectationkunna væntast; vera í útliti;in expectation ofí vónini um
expectative	eitthvørt sum útlit eru til
expected	væntaður (t.d.profit); it is not to be expectedtað kann ikki væntast;better than might be expectedbetri enn væntað;the result was as might be expectedúrslitið var hareftir;you are expected[øll vænta at tú]to know all about it; the eagerly expected rainregnið sum bíðað hevði verið eftir við longsli
expectorant	1lslímloysandi2nslímloysandi evni
expectorate	hosta upp, spýta upp; spýta
expectoration	hosti; ráki; spýtt
expedience	gagnsemi; sjálvsøkni (t.d.act from expedience); the expedience of doing ittað gagnliga í tí, tað henta við tí
expediency	síexpedience
expedient	1lhentur, hóskiligur, hóskandi (t.d.such conduct is hardly expedient[hóskiligur]under the circumstances),gagnligur, líkligur; til fyrimunar2nevni, útvegur, ráð (t.d.try every possible expedient)
expedite	1framskunda, skunda undir2fremja; fáa skjótt frá hondini3(handilsm.)útflýggja, avgreiða
expedition	1skjótleiki2rannsóknarferð (t.d.an expedition to the South Pole)3herferð4veiðiferð
expeditionary	rannsóknarferðar- , herferða- , veiðuferðar-;expeditionary force (herm.)lið, ið ger tænastu í fremmandum landi
expeditious	skjótur, kvikur
expel	1trýsta út (t.d.air from the lungs)2dríva út (t.d.a poison from the body)3(um persón) reka burtur, jagstra burtur (t.d.an invader);vísa burtur (t.d.an undesirable alien);blaka út, koyra út (t.d.he was expelled from the party (, club));(frá skúla) burturvísa (t.d.expelled from the school)
expellee	burturrikinel.tvingsilsfluttur (persónur)
expend	brúka, lata (av hondini) (t.d.money);nýta (t.d.time);brúka upp (t.d.one’s ammunition)
expendable	til brúk,the expendable incomeinntøkupartur til brúks; sum kann brúkast upp;(serst. herm.)sum loysir seg ikki at bjarga, tí tað verður ov kostnaðarmikið (ov mangir fara at falla fyri at bjarga fáum)
expenditure	útreiðsla; nýtsla (t.d.of energy); private expenditureeginnýtsla
expense	1útreiðsla, kostnaður; útløga;at the expense of the insurersfyri tryggingarfelagsins kostnað, fyri tryggingarfelagsins rokning;at the expense ofat svíða fyri;go to the expense ofnýta pengar til;go to some expensespenna seg fyri (t.d.to obtain the book); put sby to expensegeva einum útreiðslur;hang the expensesektin liggur á hvat tað kostar;they laugh at my expensetað svíður at mær tað tey flenna at2expenses fltútreiðslur (t.d.defray the expenses of the trip); expensessamlaður kostnaður í skeiðnum
expenseaccount	kostnaðarkonta, útreiðslukonta (sum verður afturrindað av virkinumo.s.fr.)
expensive	kostnaðarmikil, dýrur;it is an expensive businesstað er ein dýr søga;he has expensive habitshann hevur dýrar vanar
experience1	1roynd(ir) (t.d.have experience in teaching; in my experience; have you had any previous experience?; I know it from personal experience… av egnum royndum;wide experiencegóðar royndir);gain experiencefáa royndir;profit by experiencelæra av royndum; taka við læru2life experiencelívsroyndir3uppliving (t.d.it was an experience to remember; he related his personal experiences)
experience2	1royna; uppliva (t.d.we experienced a thrilling moment; experience poetry); from (el. by) experienceav royndum2vera fyri (t.d.difficulties)3kenna, føla, hava varhuga av; fáa at kenna; fáa (t.d.it has experienced a renaissance; we experienced a strong southerly breeze (sigl.);frætta (t.d.I have experienced that …)
experienced	royndur (t.d.teacher);vanur (t.d.speaker); be experienced invera royndur í; hava royndir við
experienceeconomy	upplivingarbúskapur
experiential	av royndum, við royndum, royndar-; empiriskur
experiment1	royna, gera royndir (t.d.he is experimenting with new methods); experiment on animalsgera royndir við dýrum
experiment2	1nroynd2lroyndar- (t.d.experiment farm)
experimental	1royndar- (t.d.in the experimentalá royndarstigi;experimental animal; experimental farm; experimental psychology; experimental station; experimental theatre; experimental stage2grundaður á royndir (t.d.science; knowledge)
experimentalist	ein ið fæst við royndir
experimentally	sum roynd, við royndum
experimental object	royndarfólk (fólk sum sjálvboðið er við í sálarfrøðiligum royndarkanningum)
experimental stage	royndarstig;in the experimental stageá royndarstigi
experimentation	royndarvirksemi
experiment station	royndarstøð
experiment subject	royndarfólk
expert1	1serfrøðingur, serkønur maður, faklærdur maður; serfrøðingur(oní);experts are of the opinion thatserkøn halda at, yrkiskøn halda at;with the air (, eye) of an expertvið gløggum eygum;expert’s reportserfrøðingafrágreiðing2(the) experts flt (eis.)serkunnleikin
expert2	vandur, royndur, kønur, fullkønur, dugandi, serkønur;expert opinion (løgfr.)responsum frá serkønum;an expert opinionmeting hjá serkønum
expertise	serkunnleiki; serkøn meting; serkunnleikaváttan, serfrøðingaútsøgn
expert knowledge	serkunnleiki
expertly	dugnaliga, hegnisliga
expertness	roynd; dugnaskapur
expert opinion	give an expert opiniongeva serkøna meting
expert valuer	serkønur metingarmaður
expiable	sum bøtast kann fyri
expiate	bøta fyri, gjalda sekt fyri;expiate one’s crime with one’s lifebøta við lívinum fyri brotsverk
expiation	bót, sekt;in expiation ofsum bót fyri
expiration	1útanding;(gl.)seinasti andadráttur, deyði2(um tíðarskeiðosfr.)endi, slit, lok; (um sáttmálao.s.fr.) farin úr gildi
expire	1anda út (t.d.air is expired from the lungs)2andast, doyggja3(um eld) slokna4(um tíðarskeiðosfr.)renna út, enda5fara úr gildi (t.d.the passport (, the treaty) expired on May 1)
expiry	endi, slit, lok
expiry date	lokadagur
explain	1greiða frá (t.d.a proposal, the situation, a scheme; explain the phenomenon);siga (frá) (t.d.he explained that he came from London); explain awaykoma við uttanumtosiel.kákli;explain oneselffáa orðað seg;it takes some explainingtað er torført at greiða frá2greina, útleggja, tolka (t.d.a text to students),lýsa, grundgeva, rættvísgera (t.d.when he has done wrong he never explains)
explainable	sum kann greinast
explanation	frágreiðing, greining, útlegging, tolking;come to an explanation withkoma til sættis við
explanatory	greinandi, upplýsandi
expletive1	ífylluorð, útbrot, illbøn
expletive2	útfyllandi; óneyðugur
explicable	skiljandi
explicate	tolka, leggja út, greiða frá; (um ástøðiosfr.)menna
explication	útlegging, tulking, frágreiðing; menning
explicative	greinandi
explicatory	síexplicative
explicit	1týðiligur, skilligur, klárur (t.d.a clear and explicit statement); be explicitmálbera seg týðiliga;be more explicit (in one’s statements)greiða gjølligari frá;could you not be a little more explicit?kanst tú ikki greiða gjølligari frá hesum?2avgjørdur; opinskáraður;he was quite explicithann var rættiliga opinskáraður3neyvur, nærkvæmur;(serst.í skilvísi ogstøddfr.)beinvegis, nákvæmur
explicitly	týðiliga, skilliga, klárt, bersøgið
