d-	(st.)damn
dog’s nose	[heitt øl við ginel.romm]
Dog Star	the Dog StarSirius, Hundastjørnan
dog tag	hundatekn(eis. fl.m.um samleikamerki)
dog-tired	deyðamóður
dog tooth	prýði úr hundatonnum
dog track	hundarennibreyt
dog trimmer	hundaklippari
dog trot	hóvlig renning
dog violet	(plfr.) = common dog violet
dog watch	vakt á skipi;first dog watchvakt frá kl 16-18;second dog watchvakt frá kl 18-20
dog wood	(plfr.) (Cornus)
doily	lítil dúkur; serviettur
doing	1gerð; verk (t.d.it is his doing); it takes a lot of doingtað er ikki so einfalt, hatta er ikki bara-bara;doingsgerðir, gerningar2veitsluhald, gildi, hátíðarhald (t.d.the princess came, and there were great doings)
doit	minsta petti; smáupphædd (upprunaliga heiti á gomlum hálendskum koparpeningi)
do-it-yourself kit	samlisett, byggisett
DOJ	(am.)Department of Justiceløgmálaráðið
doldrums	the doldrumslognarbelti, (stilla beltið við miðjarðarlinjuna);be in the doldrumsvera í ringum skørum; (um virki) liggja stilt
dole1	1arbeiðsloysisstuðul;be on the dolefáa arbeiðsloysisstuðul2gáva, olmussa, smápengar; doleoutbýta út(serst.við ringum tannabiti og smábýtt), skamta
dole2	(gl. skaldsk.)sorg, neyð, harmur, kvøl
dole3	(klæðir, matv.m.) býta/luta út (t.d.the scanty portions of food doled out to them)
doleful	syrgiligur; harmiligur; sorgarbundin, tungur í huga, hugtungur
dolichocephalic	langskallaður
Doll1	kelinavn fyri Dorothy
doll2	dukka;Sgenta
doll3	doll uppynta seg, meiggja seg út;be dolled up (eis.)vera í fínasta pussi; vera uppsnollaður
dollar	dollari
doll baby	dukkubarn
doll buggy	dukkuvognur
doll carriage	dukkuvognur
doll face	dukkuandlit
dollop	klumpur, slettur, klíningur (t.d.of whipped cream);stórur verður
doll’s house	dukkuhús; lítið hús, „dukkuheim“
doll’s pram	dukkuvognur
dolly1	1dukka;(tlm.)=dolly bird2(tøkn.)amboð at halda fyri við tá ið klinkað verður3(film.)myndtólavognur4s (film.):dollyin (, out)koyra myndatólið aftur og fram
Dolly2	
dolly bird	(tlm.)fitt genta; „leskilig steik“
dolly-mountedcamera	(film.)koyrandi myndatól
dolly shot	(film.)upptøka við koyrandi myndatóli
dolly wheel	stuðulshjól
dolman	dolman (turkiskur kyrtil; husartroyggja; kápa)
dolmen	steindys, dys
dolor	nívandi sorg
dolorous	syrgiligur; harmiligur; tunglyntur
dolour	(skaldsk.)sorg, harmur, kvøl
dolphin	1(dý.)delfin, springfiskur(Delphinidae)2(sigl.)duc d’albe (stabbi at binda skip í, gjørdur av pelum sum eru festir í botn)
dolt	býttlingur, dylhøvd
doltish	býttisligur; klombrutur
domain	1ríki, veldi, øki, landaøki, arbeiðsøki, virkisøki,(í teld.)umdømi, øki2eminent domainognartøkuheimild
domain name	(teld.)økisnavn
dome	1nkúpa, hválv(eis. S =heysur)2shválva seg
dome lamp	(í bili) loftslampa
Domesday	DomesdayBook(jarðarbók Onglands, skráseting av øllum jarðarognum Onglands um 1080)
domestic1	húshjálp;domestics flttænastufólk
domestic2	1hús-, húsligur;be in domestic servicevera úti og tæna2(um dýr) tamur, spakur3(pol. osfr.)heima-, innanríkis-, innanlands-, innlendis-
domestic animal	húsdýr, heimadýr, alidýr
domestic appliances	búnýti
domestic architecture	bústaðarbyggilist
domesticate	knýta tætt at heiminum, fáa at vera góð við heimið; gera húsligan; siðmenna; (um dýr) temja
domesticated	húsligur; (um dýr) tamur
domestication	tilknýti til heimið; temjing, speking, ílending; spakleiki, tamleiki
domestic balance	húsarhaldsvekt
domestic barometer	stovubarometur
domestic building	sethús;the construction of domestic buildingssethúsabygging
domestic economy	húsarhaldsbúskapur, peningur at húsa við
domestic fowls	flogfenaður
domestic industry	húsídni; heimaídnaður; heimavirki
domesticity	1familjulív, heimalív;domesticities fltheimamál, heimligirel.húsligir spurningar; kærleiki til heimið2trivni, røkjuskapur3spakleiki, tamleiki
domestic pig	heimasvín
domestic receiver	útvarpslurt, útvarpstól, radio
domestic relations	law of domestic relationsfamiljurættur
domestic relations  court	(løgfr.;am.) familjudómstólur
domestic science	(sum lærugrein í skúla) húsarhaldslæra, heimkunnleiki; matgerð
domestic science adviser	húsarhaldsráðgevi
domestic science teacher	húsarhaldslærari, húsarhaldslærarinna
domestic staff	tænastufólk, tænastumanning
domestic utensils	búnýti, búnyttur
domestic violence	húsaófriður, harðskapur við hús
dome tomb	(fornfr.) hválvgrøv
domicile1	1bústaður, heimstaður; eis.place of residence2heimstaðarrættur;domicile by birth (løgfr.)heimstaður sambært føðibrævi
domicile2	búseta(st), búgva;be domiciled in Londonhava fastan bústað í London
domiciledbill	(sum er góðkendur avt.d.banka sum gjaldoyra) gildur veksil, góðkent skuldarbræv
domiciliary	hús-, bústaðar-; heimligur; domiciliary confinementheimaføðing; domiciliaryvisithúsarannsókn
dominance	ræði, yvirræði
dominant	1lráðandi; høvuðs-;vanligur, vanligastur; áleypandi; ráðaríkur2n (tónl.)fortóni, dominantur
dominate	1ráða yvir, stýra (t.d.we must dominate our passions);dominate(over)hava tamarhald á; leika í2hevja seg yvir(el.upp um), stinga upp um (t.d.the castle dominates the village; the whole valley is dominated by that high mountain);hava útsýni yvir
domination	vald, yvirvald, ræði
domineer	vera ráðaríkur; ráða bøðilsliga; hevja seg yvir; domineeroverkúga, trælka
Dominica	(landafr.) Dominika (oyggjaland í Karibiahavi); síDominican1 og 2
dominical	sum viðvíkur Harranum, sum viðvíkur sunnudegi; dominicallettersunnudagsbókstavur
Dominican1	dominikari, dominiki; síDominicaogDominican Republic
Dominican2	dominikskur; síDominicaogDominican Republic
Dominican3	svartmunkur, dominikanari
Dominican4	svartmunka-, dominikanskur
Dominican Republic	(landafr.) Dominikalýðveldið (oyggjaland í Karibiahavi), síDominican1og 2
dominie	1(skotskt)skúlalærari2(am.)prestur (í lutersku kirkjuni)
dominion	vald, yvirvald, ræði; sjálvstýrandi land í bretska heimsveldinum
domino1	domino (búni); hálvgríma; dominofólk;dominoesdomino (spælið)
domino2	(spælið) domino
don1	1limur í lærarahópinum á universitetinum í Oxford og Cambridge, eldri universitetslærari2don; harri; spanióli
don2	lata seg í, klæða seg (t.d.one’s robes of office)
dona(h)	S genta
Donald	DonaldDuckDunnaldur
donate	geva, veita
donation	gáva; gávubræv,(løgfr.) donation in one’s lifetimegáva í livandi lívi; veiting; skonkur
donator	gevari
donatory	ein ið fær gávu, gávumóttakari; eis.donee
done	1gjørdur; liðugur (t.d.the work is done); what is done cannot be undonegjørd gerð fær onga vend;well begun is half donevæl byrjað er hálvavegna fullført2t lhav (t.d.the day is done)3(full)steiktur (t.d.the meat is done; a well- done chop)4(deyð) givin, fyrilagstur5lumpaður (t.d.I have been done)6done !samtykt!; tað er ein avtala7[íyms.samb.]it is not donetað sømir seg ikki; tað ber ikki til;he is doneforhann er liðugur, hjá honum er einki at gera;have done eatingvera liðugur at eta;doneinlúgvaður, pøstur;it’s the donethingsoleiðis verður gjørt; donetoa turn (el. a nicety)júst nóg mikið steiktur;doneupfyrilagstur; liðugur; oyðilagdur; nógv smurdur;(over and) donewithliðugt;get (, have) done with itverða liðugur við, gera eitt burtur av sær; (síeis.undo)
donee	gávumóttakari; eis.donatory
dongle	(teld) dongul (k), dongla (kv)
donjon	borgartorn
Don Juan	
donkey	ásin, asni, esil; býttlingur;talk the hind leg off a donkeytosa ein í ørviti;I have not seen him for donkey’s yearseg havi ikki sæð hann í mong Harrans ár
donkey boiler	hjálparketil
donkey engine	hjálparmotorur
donkeyman	(sigl.)hjálparmaður, elsti kyndari
donkeywork	trælaarbeiði (t.d.I do the donkeywork)
donnée	(franskt)n (rá)tilfar (t.d.we must grant the artist his subject, his idea, his donnée. Our criticism is applied only to what he makes of it)
donnish	(smb. don 1) (uml.)professarakendur; putlutur
donnybrook	vanligur bardagi; levint, gangur; skeld, harður orðadráttur
donor	gevi, gávugevi, gávugevari, góðgerðarfólk, donorur(blood donor),blóðgevi
donor country	gevaraland
do-nothing	1nónytta, letingi, daggari2lvirkisleysur, latur, deyðsamligur (dessaligur)
Don Quixote	
don’t	forboð (t.d.don’ts for tool smiths); do’s and don’tsráð og ávaringar
don’t-know	(í meiningarkanningum)there were 25% don’t-knowstað vóru 25% veit-ikki
doodah	(tlm.)smálutur;all of a doodahfarin púrasta av vitinum
doodle1	rusl, krutl
doodle2	rusla, rísla, krutla, maksa
doodlebug	flúgvandi bumba; lítil traktorur;(dý.) (am.)síantlion
doodlesack	sekkjarpípa; eis.bagpipes
doofer	1Ssigarettstubbi2Stýdningarlítil smálutur3Sskemtari
doolie,dooly	(í India) frumkend børa (til særd)
doom1	1lagna, forløg2undirgangur, undirgongd, vanlukka;(gl.)dómur; dómadagur(t.d. the day of doom); till the crack of doomtil dómadagsbasúnir ljóða
doom2	døma sekan; fordøma; dómfella; víga (til undirgang)
doomed	sum býður ikki bøtur, sum ikki stendur at bjarga, sum bjargast ikki, óbjargandi
doom metal	(tónl.)dómadagsmálmur
doomsday	dómadagur;Doomsday Book,síDomesday
doomwatcher,doomster	vanlukkuprofetur
doomy	1dapur í huga, hugtungur, hugdapur2hugtyngjandi
door	hurð, dyr;lay itathis doorkasta honum fyri, geva honum skyldina av tí;the change must be laid at her doorbroytingarnar eru henni fyri at takka;the fault lies wholly at my doorskyldin er øll mín;atdeath’sdoorá gravarbakka, á deyðans gátt;get one’s footinthe doorfáa fótin innum;he livesnextdoorhann býr við síðuna av;openthe door to (, shut the door on) (fl.m.)lata hurðina upp (aftur) fyri;beout ofthe doorvera uttanduraður;out ofdoorsúti, uttanfyri, uttandura;a doortosuccessein vegur til viðgang;withindoorsinnandura
doorbell	duraklokka;there’s the doorbelltað ringir uppá
doorcase,door frame	hurðarkarmur
do-or-die	sum verður gjørt sama hvat tað kostar
door handle	hurðarhandtak
door jamb	síðustykki, síðukarmur
doorkeeper	duravørður
door-key child	lyklabarn
door knob	hurðarhandtak
doorman	duravørður
doormat	1duramotta2(fl.m.)ein ið letur alt um seg ganga
door money	atgongugjald
doornail	as dead as a doornailsteindeyður
doorplate	navnaskelti (á hurð),hurðarskelti
doorpost	durastavur
doorsill	gátt
door spring	hurðarfjøður
doorstep1	1trapputrin (uttan fyri húsini), trappusteinur;he left the packageonthe doorstephann legði pakkan á trappuna;2(myndatala) we need to be more proactive and seek out dangers before they’re on our doorstepvit mugu vera varnari og síggja vandarnar áðrenn teir eru á gáttini;he is always on the doorstephann gongur her og melur í heilum;lay all the problems at his doorsteptveita alt í føvningin á honum
doorstep2	banka á dyrnar, koma rennandi á dyrnar (t.d.he complained about being doorstepped by the press)
doorstrip	tættingarlisti
door-to-door	dyr-til-dyr
doorway	dyr;in the doorwayí durunum
do-over	1[eitt ið skal gerast umafturel.fáa nýggja viðgerð]2viðgerð á vakurleikastovu
dope1	1eggjanarevni, doyvingarevni,S(nýtt um ymisk sløg av narkotiskum evnum),opium (t.d.he held that religion was dope to the millions);alkohol2smyrjiolja, smyrsl3lakk, fernisolja4(lmynd.)framkallingarløgur5upplýsingar, frágreiðingar, ábending;hand (out) the dope Sgeva (neyðugar) upplýsingar;get some dope on himútvega sær upplýsingar um hann;that’s the dope ! Stað er tað, vit skulu hava fram! hatta er nakað av tí rætta!6(um persón) býttlingur
dope2	1Ssmyrja, strúka útyvir2viðgera við onkrum3nýta doyvandiel.eggjandi evni, doyva, eitra4lumpa, snýta; falsa5dopeoutfinna út av, varnast, verða varugur við6tippa (t.d.a racehorse); he doped it out that Bandit Prince would win
dope addict,dope fiend	evnismisnýtari, narkomanur
dope peddler	narkotikasølumaður
dope runner	narkotikasmugglari
dopester	(am.) inside dopester (uml.)valprofetur, valspámaður
dope story	djúptøkin (blað) grein
dopey	(tlm.)býttligur, fjákutur; dólskur (av rúsevnismisnýtslu)
dor	(dý.)sídorbeetle
Dora =D.O.R.A	(st.)Defence of the Realm Act verjulóg frá august 1914
dorbeetle	(dý.)køstaklukka(Geotrupes)
Dorian	1ndoriari2doriskt (norðurensk og skotsk máliska)3doriskur
Doric	1ndoriskt, bygdarmál(niðr.); speak one’s native Dorictala sítt egna bygdarmál2ldoriskur (byggistílur)
Dorking	dorkinghøna
dorm	(tlm.)sovisalur; vanl.dormitory
dormancy	dvali, hvíld; atgerðarloysi, doyvd
dormant	dúrandi, hvílandi; ónýttur, óvirkin (t.d.a dormant volcano); lie dormantliggja í dvala; dormantpartnersamánari sum ikki arbeiðir á virkinum
dormant partner	óvirkin samánari (fólk ið eigur í fyritøku men er ikki við í rakstrinum)
dormer	kvistur;dormer windowkvistvindeyga
dormice	avdormouse
dormie house	(hjá golfklubba) gistingarhús (fyri náttina)
dormitory	1sovisalur2dormitory suburbsovibýlingur, sovibýur
dormitory suburb	(am.;har fólk koyra langan veg frá bústaði til arbeiðsplássið) soibýlingurm sovibýur
dormouse	(flt dormice)sjeysovari, svøvnhít, svøvnskarvur
Dorothea	Dorothy
dorp	bygd
dorsal	rygg-, ryggjar-;dorsal fin(á fiski) rygg(jar)fjøður, (á hvali) horn;(plfr.)baksettur
Dorset	
dorsifixed	(plfr.)bakfestur
dorsiventral	(plfr.)við bak- og búksíðu
dory1	doria (lítil flatbotnað jolla)
dory2	(dý.) John dory, target dory (fish)sankta pætursfiskur(Zeus faber)
DOS	(teld.) (st.)Disk Operating System stýriskipan
dosage	(lækn.) skamtur
dose1	skamtur;(tlm., fl.m.)partur (t.d.a stiff dose of flattery); give him a dose of his own medicinelat hann steikja í egnum feitti
dose2	geva heilivág, geva skamt, skamta;give sby a doseSsmitta ein við dryppara (kynssjúka)
dosemeter	geislamátari (til at máta geislavirkni)
dosh	pengar
doss1	ból, vánalig song (t.d.the living room couch was my doss for the weekend)
doss2	sova (t.d.he was too old to doss on furniture night after night);doss (down)fáa sær ein lúr; liggja í bóli
dosser	bumsur, ólukkudýr, ein ið ongan góðan hevur
dosshouse	bíligt gistingarhús
dossier	1skjalaumslag, málsskjøl, mál2(lækn.)(sjúklinga-el.sjúkra) dagbók, læknaupptekningar, journal
dossy	Ssmartur, pyntaður, uppsnollaður
dost	(gl.)
dot1	110.15onthe dotakkurát kl 10 15; kl 10 15 stundisliga;in theyeardot Sí nítjanhundraðoggrønkál;since the year dot Sfrá tíðarinnar morgni; (síeis.dotted)2prikkur (t.d.the dots and dashes of the Morse code);depil, punkt; heimanfylgja;beoffone’s dotvera óður í høvdinum
dot2	(løgfr.)heimanfylgja
dot3	1prikka, gera prikkar; dotone’s i’sseta prikk yvir i’ini, vera sera neyvurel.nágreiniligur; dotthe i’s and cross the t’s (fl.m.)gera eitthvørt greitt og skilligt; vera vandinel.røkinel.nærlagdur; snikka eitthvørt endaliga til seta prikk yvir2stroya við; sløðast (t.d.the countryside is dotted with houses); people dotted the fieldsfólk sóust um allan bøin3dothim oneleggja til hansara
dotage	barndømi, senilitetur;he is in his dotagehann er í barndømi
dotal	heimanfylgju-
dot-and-dash-code	morsestavrað
dot-and-dash -line	brotastrika
dotard	1ein ið gongur í barndømi2oldingi, gamalmenni, ellimenni (t.d.these governments of political dotards)
dote	ganga í barndømi; dote(up) onvera býttur av, tilbiðja
doth	(gl.)= does
Dotheboys	DotheboysHallein skúli í skaldsøguni Nicholas Nickleby eftir Dickens(dosvika, lumpa)
doting	1sum gongur í barndømi, ellifarin2tilbiðjandi
dot pattern	(lmynd., prent.)(avís) rastir
dotted	prikkutur; prikka- (t.d.a dotted line); sign on the dotted line (fl.m.)skriva undir uttan hóvasták, góðtaka uttan himpr; dottedwith housesvið húsum sløddum ymsastaðni; dottedon the beanklikkaður
dottedline	brotastrika (––––)
dotterel	(dý.)kviðreyð lógv(Charadrius morinellus)
dottle	hálvbrunnið tubbak í pípu (t.d.he banged the dottle out from his pipe)
dotty	1prikkutur2Sfjákutur, fávitskutur, klikkaður, í ørviti;dotty about a girlbýttur av eini gentu, burtur í eini gentu
doty	sum rotsoppur er komin í (serst.um timbur)
double act	undirhald við tveimum skemtarum
double bluff	[siga sum er og vænta at eingin trýr tí]
double1	1tvítak, kopi2tvífari, dupulgangari3krøpp sneiðing4(sjónl.)tvíleikari, varaleikari5(í filmi) varamaður6(í bridge) dupling7tvífaldað vedding8(í tennis) tvíbrek (síeis.doubles)9(fótb.)greipa10at the double, (am.) on the doubleí skundi, tvísporandi11doubleor quitsalt ella einki
double2	1tvífalda (t.d.one’s income; one’s exertions; double a recipe); prices have doubledprísirnir eru tvífaldaðir2leggja dupult, leggja saman; (t.d.let me double[leggja]the blanket round you)3boyggja saman;double one’s fistsknýta nevarnar4(sigl.)sigla um, fara um (t.d.Cape of Good Hope) Hornið5(í kortspæli) duplael.tvífalda6(sjónl.)tvíleika, varaleika; doublethe parts of A and Bbæði hava leiklutin sum A og sum B7(um tógv) tvinna8(óáv.)tvífaldast, tvífalda seg; skunda sær, spenna av stað9[ísamb. viðhj]doublebackleggja saman (t.d.bed sheets);knappliga snúgva sær á og ganga somu leið aftur;doubledown[styrka sína sannføring um, hvat eigur at verða gjørt, títt og ofta váðaligt] (t.d.he decided to double down and escalate the war);doubleinboyggja inn;doubleupleggja saman; krøkja seg saman; (fáa at) falla saman; hava kamar (song) saman við;double him upfáa hann at krøkja seg saman av pínu (, látri);his legs doubledunderhimbeinini fóru undan honum
double3	1tvífaldur, (t.d. advantage; bottom; doors; function; his income is now double [tvífalt tað] what it was); dupultur (t.d. bottom; doors; function, a double track); double the number of expected applicants tvífalt so nógvir umsøkjarar sum væntað2tvítáttaður; falskur, tvítýddur3ride double tvey ríða á sama rossi
double act	skemtiundirhald við tveimum ólíkum skemtarum
double-action	tvívirkin
double agent	tvínjósnari
double-banked	(sigl.) (um róðrarbát) tvíbekkur
double-barrelled	tvípípaður;(fl.m.)tvítýddur;double-barrelled nametvíliðað navn (við bindistriku) (t.d.Franco-German)
double-barrelledname	tvey eftirnøvn við bindistriku
double bass	(tónl.)kontrabassur
double-bedded	við tveimum songum, við dupultsong
double bill	(sjónl.) tvær ymsar framførslur, tvíframførsla (t.d.a doble bill of pianist Donegan and alto sax star Woods)
double bind	tvístøða
double-bitted	tvíeggjaður (t.d.axe)
double bluff	[siga sum er og vænta, at eingin trýr tí]
double-book	(um ferðaseðil, rúm) selja tvær reisir, gera tvær bíleggingar
double bottom	lastbilur við tveimum eftirvognum
double-bottomed	(sigl.)tvíbotnaður;(fl.m.)falskur, óreiðiligur
double-breasted	tvíkneptur (t.d. frakki)
double-check	kanna eftir tvær reisir
double chin	undirhøka
double-click	(teld.)tvíklikk
double-click	(teld.)tvíklikkja
double-column page	tvíteigað síða
double cream	pískirómi
double-cross	snýta, lumpa, svíkja
double-dealer	ein ið leikar tvíleik; svíkjari
double-dealing1	tvíleikur, svik, fals
double-dealing2	óreiðiligur, við tveimum tungum
double-deck,double-decked	tvídekkaður
doubledecker	tvídekkað skip; tvídekkari
double-edgedsword	(eis.ífl.m.) tvíeggjað svørð
double-density	(teld.)tvífaldur tætti
double-digit	tvísiffraður
double-dip1	(am.) vafla við tveimum ískúlum
double-dip2	1(am.) hava tvær inntøkur2(am.) fáa bæði pensión og løn frá tí almenna
double-dipper	(am.) [ein ið fær bæði pensión og løn frá tí almenna]
doubleDutch	(tlm.)møsn, tvætl, svass, óskiljandi mál, óskilligt tos, ørvitistos, mjørkatos, krákumál
double-dyed	litað tvær ferðir; sannur, rættur, gjørdur (t.d.scoundrel)
double eagle	amerikanskur gullmyntur (= 20 dollars)
double-edged	1tvíeggjaður2(um framsøgn) tvískiljandi, tvítýddur, tvískildur; ullintur
double ender	(sigl.)lítið skip sum er spískt í báðar endar
double entendre	(franskt)tvímæli
double entry	dupult bókhald
double-faced	1(um ur) við tveimum skivum2(um fólk) falskur
double fault	(í tennis) dupultur feilur, dupultfeilur
double feature	(í biografi) tvískrá, skrá við tveimum filmum í fullari longd
double figures	in double figures(um upphædd) tvísiffraður
double glazing	vindeygu við dupultum rútum
doubleheader	1(am.) baseballskrá við tveimum dystum2(am.) tok drigið av tveimum lokomotivum
double helix	tvísnyril, dupultur snyril, tvíspiralur, dupultur spiralur
double-hulled	tvískrokkaður;double-hulled shiptvískrokkað skip
double-humped	tvíkúlutur;double-humped cameltvíkúlutur kamelur
double jeopardy	tað at skula møta tvær ferðir í rættinum fyri sama lógarbrot
double-jointed	(við liðum ið kunnu liðast báðar vegir) liðaleysur
double-lock	læsa við at snara lykilin tvær ferðir, tvílæsa
double-minded	tvísinnaður
double-page spread	tvísíðulýsing
double-park	tvíbása, dupultparkera
double-pitch roof	mønutak, mønutekja
double-precision	(teld.)tvífalt nákvæmi
double-quick	1nkvikgonga2hjí kvikgongd
doubles	(í tennisosfr.)tvímansleikur
double sculler	(ítr.)tvískullari
double side-band	(stytt DSB)tvinnanda liðband
doublespeak,	sídouble-talk
double standard	dupultmoralur
doublet	1trong mannfólkatroyggja (nýtt í Europa í 15, 16 og 17 øld)2tvítak3orð av somu rót4tvístig
double take	(okkurt óvæntað hendir) seinkað reaktión, at summa seg eina løtu;John glanced at her, then did a double takeJohn hugdi at henni, so summaði hann seg eina løtu
double-talk	tað at tala við tveimum tungum;use double-talkmeina tað øvuta av tí ein sigur
double taxation	tvískatting, dupulskatting
doublethink	tvíhugsan (hava tvær ósambæriligar hugsanir um somu tíð)
double-tongued	við tveimum tungum
double track	tvírás
double-tree,doubletree	tvørtræ í aktýggjum sum dráttardýrini eru fest í
doubling	1tvífalding; dupling(osfr., smb double2);(um garn) tvinning2snild, listarbragd
doubly	tvífalt, dupult so nógv
doubt1	ivi, ivingur, óvissa;beyonddoubt ivaleysur, uttan nakran iva;beindoubtvera í iva;the result is still in doubtúrslitið er framvegis ivasamt;nodoubtóivað, uttan iva, ivaleyst;throw doubtonivast um;without(a)doubt uttan iva; heilt vist
doubt2	ivast (í einum);I doubt iteg ivist;I don’t doubt thateg ivist ikki í at;I doubt whether(el.if)eg ivist í um;(gl.)óttast fyri
doubter	ivamaður
doubtful	1ivingarsamur, ivasamur (t.d.the result is doubtful);ivandi, í iva (t.d.I’m doubtful (as to) what to do);doubtfuldebtsóviss krøv;in doubtful tastehóskar illa;a doubtful pleasureblandað kensla2(gl.)hættisligur; óttafullur
doubting	ivandi, ivingarsamur;doubting headsivafólk, mong sum ivast (t.d.when he announced his intention of climbing Mount Everest, there were many doubting heads)
doubting Thomas	vantrúni Tummas, ivamaður
doubtless	uttan iva; óivað, ivaleyst
douce	róligur, sinniligur, spakligur
douceur	finningarløn, bjargingarløn, ómaksløn; mutur
douche1	1brúsubað, sirmbað, stoytibað2(lækn.)(út)skoling
douche2	fáa sær brúsubað/sirmbað/stoytibað, fara undir brúsuna
douchebag	1kløn sproyta at skola móðurskeiðina við (serst.sum gitnaðarforðandi tiltak)2(am. serst.um mannfólk) ódámligurel.vanvirðisligur persónur
dough	1deiggj (t.d.he made a big portion of dough for bread rolls)2Spengar (t.d.he only did it because he needed the dough)
doughboy	1(am., tlm.)gonguhermaður2(í matgerð) mjølbolli
doughnut	kleynuringur
Doughnut economics	eis.the Doughnut[búskaparfrymil sum í størri mun leggur upp fyri veðurlagsbroytingum og burðardyggari menningargongd, enn klassiski vakstrarbúskapurin ger]
doughty	(gl.)djarvur, mansligur
doughy	deiggjutur, kleiggjutur; kleimin
Douglas	Douglasfirdouglasgrann, sífir
doula	nærkona (kona ið hjálpir til við føðing)
dour	1harður, óboyggjandi, treiskur, seigur (t.d.resistance);eitrandi, rúkandi (t.d.anger)2álvarsamur (t.d.the islanders were dour, silent, but not unfriendly);strangur
douse	1oysa við vatni, sletta á, sprutta á; drepa í vatn2(um ljós) sløkkja
dove1	(eis. fl.m.)dúgva, dúva(Columbidae)
dove2	(am.) tátavdive
dove´s-foot cranes-bill	(plfr.)loðið sortugras(Geranium molle)
dovecot(e)	dúvubúr;flutter the dovecotesfáa øsing í; elva til ófrið; skapa órógv
dovedale moss	(plfr.)kletta-steinbrot(Saxifraga hypnoides)
dovekie	(am. dý.)fulkubbi(Plautus alle);teisti(Cepphus grylle)
Dover	1býur í Suðuronglandi2(st.) síDoversole
Dover sole	(fisk.) leistur(Solea vulgaris)
dovetail1	1(á snikkaravirki) sýling, felling
dovetail2	1sýla saman, fella saman2(fl.m.við ongum ávirki) hóska saman, passa saman, fella væl saman; passa akkurát(into, withinn í)
Dow	(st.)the Dow=Dow Jones Index
dowager	mætel.rík einkja;(tlm.)hábærslig eldri kona;queen-dowagereinkjudrotning
dowdy1	ófantaliga klødd kona, fesj, kloddafyl
dowdy2	ótíðarhóskandi, ófantaligur; ófantaliga klæddur
dowel	1blindnagli, blindingur2(tøkn.)stýristift
dowel pin,	sídowel
dower1	1einkjuogn, einkjusæti2heimanfylgja3gløggskygni, gávur, viðføddur eginleiki
dower2	(gl.) geva einum (t.d.peningahjálp); gera (ein) út, búgva (ein) til(with);(t.d.he was so short of money that he could not even dower his sister)
dower house	einkjusæti
Dow Jones Index	[partabrævavísitøl á børsini í New York]
dowlas	dólas (grovt lørift)
down1	dún,down quiltdúnteppi;in the downdúnutur [um fuglaunga]; pu, fon, dust
down2	herða, hædd; sandheyggjur, sandfonn;the Downsherða í Suðuronglandi; havið millumGoodwin Sandsog bretsku strondina
down3	1niðurgongd;ups and downsuppgongd og niðurgongd;things are on the downtað gangur aftur á hond2have a down on himhava eitt horn í síðuni á honum
down4	1sláa niður (t.d.he’s downed the police constable);skjóta niður (flogfar)2skola niður, hella í seg (t.d.a glass of beer)3down toolsleggja arbeiðið niður, fara í verkfall
down5	1ónæriligur, óreinur2lækkandi, versnandi, minkandi3pøstur, lúgvaður4langt niðri, dapurel.tungur í huga5(handilsm.)niðurskrivaður; í hondina, sum útgjald, kontant6[íyms. samb.]down!(við hund) legg teg!;breadis downbreyðið er fallið í prísi;cashdowní hondina;twogoalsdowntvey mál aftanfyri; downthe streetniðri í gøtuni; downtherehar niðri; downwindundan vindinum; (síeis. boil2, come1, go1, let2, run1 osfr.)
down6	oman eftir (t.d.walk down a hill; sail down a river);ígjøgnum (t.d.the ages tiderne);niðri í (t.d.down the cellar);fram við (t.d.ride down the front);oman yvir (t.d.the water poured down my hands); down the hatch! Sskál!;down (the) windundan vindinum;downfrom(um tíð) heilt frá; (um stað) (burtur) frá;downinthe worldfarin í hundarnar;be downonsbyverael.liggja eftir einum;have a down on sbyhava ilt inni við ein, hava okkurt ímóti einum;down andoutfokin, skrædlaður, oyðilagdur; fyri ongum;downthroughthe agesgjøgnum tíðina;downtoheilt til (t.d.down to the time of Elizabeth); downunderhinumegin knøttin (í Avstraliaosfr.);upand downupp og niður, aftur og fram;ups and downsviðgangur og mótgangur;be downwithinfluenzaliggja við krími
down-and-out1	heimleyst fólk
down-and-out2	heimleysur, farin í hundarnar
down-at-heel	slitin, ófantaligur
downbeat1	(tónl.)niðurslag
downbeat2	1(tlm.) róligur, stillur, sinniligur, friðsamur, hóvligur, hóvsamur, sáttligur, siðiligur, spakur, kyrrlátur2svartskygdur, nívdur
downcast	1sorgarbundin, syrgin, ólukkuligur, óeydnusamur; harmur, syndarligur, dapur í huga;2(um eygu) ikki hyggja uppúr
downdale	undan brekku
downdraught	niðursláttur (í skorsteini), at sláa niður
downer	1(tlm.)sorgarroynd, syrgilig uppliving, syrgiligt upplivilsi2avgerandi høgg; avgerandi grundgeving3(lækn.) sissandi miðal
downfall	fall, døttur; undirgangur, undirgongd; (kavi, regn) avfall;(am.) = deadfall
downgrade	skrái, halli, brekka, slakki;(jarnbr.)fall;slækka í tign, seta lægri; høgga niður á, spilla út;on the -gradeí niðurgongd, niðurgangandi, í afturstigi
downhaul	(sigl.)niðurhálari
downhearted	mótfallin, hugfallin, hugbrotin, fáligur, stúrin
downhill1	(á skíðum) strok
downhill2	hallandi, (sum gongur) oman brekku
