O.	(st.)1Officer2Order
outrange	røkka longur enn
outrank	hava hægri tign(arstøðu) enn
outreach1	1at røkka;the crane has an outreach ofkranin røkkur…2[felagsskapur sum veitir nærumhvørvinum tænastu og ráð] útivirksemi (t.d.outreach youth workers in remote rural areas)
outreach2	røkka út yvir, fevna út yvir, uppleitandi (t.d.staff, worker); røkka longur enn
outré	(niðr.)løgin, margháttligur (og skelkandi) (t.d.outré dress);løgin og óhóskandi (t.d.outré behaviour)
outride	ríða framum, ríða skjótari enn; ríða betur enn;(fl.m.) outride the stormvinna á bakkasti
outrider	1varðmaður á motorsúkklu (ísamb.við bilafylgi);-s flt (eis.)løgreglumenn á motorsúkklu2reiðmaður ið ríður framman fyri (einum)
outrigger	1(viðv.bátum) útriggarabátur2(á krana, fyri at gera hann tryggan) bremsudragari3(segl) studningsstong4kappróðrarbátur við røðunum uttanstokka
outright1	1fullkomin, avgjørdur, gjørdur, føddur (t.d.outright scoundrel)2beinleiðis (t.d.outright denial; outright opposition)
outright2	1beinleiðis, bart út, beint upp í eyguni (t.d.tell him outright)2beinanvegin, straks, á staðnum;buy outrightkeypa og gjalda í hondina3heilt, fullkomiliga (t.d.destroy it outright)
outrival	bera av einum, vera stinnari enn ein
outro	endi, lok
outrun	1fara framum, kollganga, renna skjótari enn, renna frá (hinum)2(fl.m.)mennast skjótari enn, vera størri enn (t.d.demand for the new model is -running supply)
outs	(am.)on the outs óvinir
outsail	sigla framum, sigla skjótari enn
outsell	1(um vøru) sum verður meira seld enn2(um fólk) selja meira enn
outset	byrjan;from the -setfrá fyrstan tíð, frá byrjanini
outshine	bera av, vera nógv betri (t.d.he -shone the rest of the class)
out side	1(ítr.)lið ið er úti (ikki á vøllinum)2(stjm.)andstøðuflokkur, flokkur ið ikki hevur stjórnarvaldið
outside1	1útsíða;open the door from the outsidelata hurð upp uttanífrá;the outside of the houseútsíðan á húsunum, húsini uttan;on the outsideuttaná, uttanfyri2síoutsidelane3[íyms. samb.]the outside of (eis.)útsíðan á (t.d.the house)4[ísamb. viðfs]atthe outsideí mesta lagi (t.d.it will take a year at the outside);fromthe outsideuttanífrá (t.d.open the door from the outside);onthe outsideuttaná, uttanfyri
outside2	1útsíðu- (t.d.outside measurements);út- (t.d.wall)2uttandura, úti (t.d.temperature//toilet)3sum kemur uttanífrá (t.d.outside help); outside jobútiarbeiði, útivinna;outside pressuretrýst/ágangur uttanífrá4(um avmarking) ytstur (t.d.limit);hægstur (t.d.outside price);hámarks- (t.d.estimate)5[íyms. samb.]an outside chanceein ógvuliga lítil møguleiki, smá líkindi;outside broadcastbeinleiðis frásøgn, beinleiðis sending;the outside worldheimurin uttanfyri;outside of (am. tlm.)1uttan fyri2ikki uppíroknaður, undantikin, frátaldur, umframt;get outside of1(tlm.)eta2(am.)skilja, fata;outside of a horse (tlm.)á hestbaki
outside3	1(móts.inni) úti, uttanfyri (t.d.wait outside)2(móts.innandura) uttandura (t.d.work outside)3(móts.innanundir) uttaná (t.d.red outside)
outside4	uttan fyri, uttan
outside broadcast	beinleiðis útisending, beinleiðis frásøgn (á staðnum)
outside callipers	bogapassari (at mála tjúkt við)
outside edge	1útjaðari, útryðja, brún, úthorn, útsíða2(í skoyturenning) útsíðusneiðing;do the outside edge edgegera útsíðusneiðing;that is the outside edge edge (tlm.)eg havi ikki vitað so skaft(el.sovorðið)
outside examiner	(skúlam.) fremmandur próvdómari, próvdómari ið kemur uttanífrá
outside lane	1(á vegi) ytra breyt;(serst. am.)innbreyt, innara breyt2(á kapprenningarbreyt) ytra breyt
outside left	(í fótbólti, gl.)ytri vinstri, vinstri vongur
outside line	(tlf.)linja út úr húsinum
outsider	1uttanstrok; ein, ið kemur uttanífrá; ein, ið ikki er við (í einum); ein, ið erel.stendur uttanfyri, fremmandafólk (t.d.we will need the help from an outsider)2ein, ið ikki er góðkendur (av bólkinum); ein ið er forfjónaður; (t.d.although she had lived there for ten years, the neighbours still treat her as an outsider)3(í kapprenning) [ross, ið kann vinna, sjálvt um tað ikki verður hildið sannlíkt]
outside right	(fótb., gl.)ytri høgri, høgri vongur
outside track	(við tveimum breytum sama veg) ytra breyt
outside treatment	(lækn.) sjúklingaviðgerð á dagdeild
outside wall	útveggur
outsing	syngja harðari enn, køv/doyva (við at syngja harðari)
outsit	sita longur enn, halda longur á
outsize1	stór stødd
outsize,outsized2	1ovurstórur, óvanliga stórur2(um klæðir) sera stórur/víður(t.d.sera stór stødd);-size gownfrúarkjóli, frúukjóli (stórur/víður kjóli til prúða konu)
outskirts	útjaðari, útryðja;on the -skirts of the towní útjaðara býarins
outsmart	(am.)lumpa, lokka (fyri einum), vera snildari ella snúnari enn
outsole	(á skógvi) slitsóli
outsource	1(handilsm.)(um staklutir, komponentar; tilfarsliður) útveita [fáa gjørdarel.smíðaðar á øðrum stað (av undirveitara)]2(teld.)útveita
outsourcer	útveitari
outsourcing	(handilsm.)útveiting, útveitan(teld.)útveiting
outspan1	1(SuA.)hvíldarpláss (har týggini verða tikin av oksunum)2(SuA.)graslendi, beitislendi, bithagi, beiti
outspan2	1(SuA.)taka týggini av (rossi, oksa)2(SuA.)hvíla seg
outspoken	opinskáraður, sum sigur (eitt) bart út
outspread	útbreiddur (t.d.with -spread wings)
outstanding1	(flt) outstandingsútistandandi upphædd//upphæddir
outstanding2	1(um góðsku) óvanligael.avbera góður, framúrskarandi (t.d.outstanding bravery//personality)2sjónskur (t.d.outstanding characteristic)3útistandandi, sum ein eigur á, ógoldin (t.d.outstanding accounts//debts);óloystur;outstanding problemóloystur spurningur;outstanding rentsrentur faldnar til gjaldingar4framstandandi, sum peiggja, út-;he has outstanding earshann hevur kálvaoyru
outstay	vera verðandi longur enn;outstay one’s welcomevitja longur enn væl er, misnýta gestablídni
outstep well	(oljuv.)uttanleiðarbrunnur
outstretched	útbreiddur, víður um; sum liggur barðlangur (t.d.lie outstretched on the grass)
outstrip	1fara framum, vera betri enn, renna skjótari enn (t.d.advance in step with national production but not outstrip it)2(fl.m. eis.)bera av (einum), betra (t.d.outstrip a previous record)
out-take	burturklipping (av filmi), vrakað upptøka
outtalk	vera tungusnjallari, vera betur skorin fyri tungubandið; fáa at tiga, teppa
out-to-out	its out-to-out measurementsmálini á tí allar tríggjar vegir (longd, breidd og hædd)
out tray	bakki við posti, sum skal sendast (á skrivstovu)
outvote	ikki samtykkja, fella (uppskot), fáa ov fáar atkvøður;be -voted (eis.)koma í minniluta, verða feldur
outward1	1á útleið, á burturferð (t.d.our luggage got lost on the outward journey)2útvortis, uttan, at síggja til (t.d.there were no outward signs that the house was being lived in; outward appearance)3útgangandi, sum skal sendast (t.d.outward correspondence)
outward2	úteftir, út, útá
outward bound	(sigl.) á burturferð, á útferð
outwardly	í útsjónd, at síggja til (t.d.outwardly calm)uttan, útvortis, sum snýr út, sum horvir út, sum vendir út, uttaná, úteftir, uttantil (t.d.outwardly visible)
outwardopening	(hurð) sum gongur úteftir
outwards	úteftir, út, útá
outwash	(jarðfr.;tilfar boriðt.d.av jøkulsá) áløga
outwash plain	(jarðfr.) áarslætti (íkomin av jøkulsáar áløgu)
outwear	vera drúgvari enn, vara longur enn
outweigh	viga meir enn, standa meir enn, vera tyngri (í vekt, virði, týdningi) enn, vera týdningarmeiriel.virðismeiri enn; meir enn viga uppímóti
outwit	lumpa, vinna við at vera gløggari og snúnari
outwith	(skotskt.) uttan fyri
outwork1	1útiarbeiði, arbeiði gjørt av undriveitara2(herm.)framvirki (verndarvirki, ið liggur framman fyri sjálvan skansan)
outwork2	arbeiða betur enn
outworker	starvsfólk ið arbeiða heimanífrá, starvsfólk ið hava heimaarbeiðspláss (t.d.gjøgnum alnetið)
outworker system	heimaarbeiði  (sum vinnuskipan); eis.outworking
outworking	heimaarbeiði  (sum vinnuskipan); eis.outworker system
outworn	1slitin á hol, slitin2(fl.m.)innantómur, tugdur og tanlaður, fótatraðk (t.d.outworn quotation)3avlagdur (t.d.outworn method)
ouzel	(dý.)kvørkveggja(Turdus torquatus)
ouzo	uso (grikskt brennivín)
ova	(flt av ovum)flt egg(flt)
oval	avlangur, eggrundur, eggvaksin, eggklingrutur;the Ovalkrikkettvøllur í London
OvalOffice	skrivstova amerikanska forsetans (í Hvítu húsunum)
ovarian	(likam.)eggrótar-;an ovarian cystsvullur á eggrótini
ovary	1(likam.)eggrót2(plfr.)egglega
ovate	(plfr.)eggvaksin
ovation	fagnaður (t.d.enthusiastic ovation)
oven	ovnur; (sí eis.bun)
ovenbird	(dý.)brúnsvartur vætutrøstur(Seiurus aurocapillus)
ovenproof	ovndyggur (sum tolir at verða settur í heitan ovn)
oven-ready	(eis. íflm.) ovnklárur, grýtuklárur
oven-to-table pot	borðreiðingargrýta, borðreiðslufat
ovenware	ovndyggir talerkarel.ovndygt steintoy (sum tolir at verða settir í heitan ovn)
over-	1alt ov, yvir- (t.d.anxious; polite)2(eftir nokting) serliga, einki til tað, einki at reypa av (t.d.not -pleased; not -punctutal)
over1	1(í krikket) skot, ið fer upp um málið2-s flt (prent.)avlop, eyka eintøk (av bókum)
over2	1(úr Føroyum) suðurel.niður til (t.d.over to England)2farin (t.d.those days are overhasir dagarnir eru farnir, soleiðis er tað ikki longur)3til avlops, eftir (t.d.if you have money over)4dettael.fara um koll (t.d.fall over);renna um koll (t.d.knock over)5(gjølla) (lesa) ígjøgnum (t.d.over read the letter over);tosa saman um (t.d.talk the matter over)6(um endurtøku) aftur, umaftur (t.d.count the money over)7[íyms. samb.]over!1(útvarpssamskifti) yvir!2(í krikket) skift//skiftið!;all over1allastaðni2liðugt; (sí eis.all);andover(um børn) og eldri) eldri, yvir (t.d.children of 14 and over); over and overaftur og aftur, umaftur og umaftur, ferð eftir ferð;roll over and overrulla runt og runt;easy over(el.over easy)(um steikt egg) steikt á báðum síðum8[ísamb. viðfs]overagainumaftur;overagainst(beint) yvirav, sammett við, samanborið við; fyri uttan;over andaboveútyvir, umframt,overhereher, her hjá okkum;overtherehar, har yvir(i);(eis.um USA)
over3	1yvir, yviri2hinumegin, handarumegin (t.d.over the river)3meðan vit fáa okkum…(t.d.let us discuss it over a cup of tea)4fáa sær (t.d.they sat over a glass of wine)5(um orsøk, grund) fyri, vegna (t.d.risk a war over Sarajevo)6av tí at, vegna tess at, viðvíkjandi, um (t.d.they disagreedel.quarrelled over the colour)7(um tíð) í, á (t.d.over the last year or two); can you stay over Christmaskanst tú haldael.tú heldur jól hjá okkum, kanst tú vera hjá okkum á jólum;you must stay over my birthdaytú fert ikki, fyrr enn eg havi hildið/havt føðingardag;over the nightalla náttina;over a period of three yearsí eitt tríáraskeið8(am. eis.)heldur enn (t.d.he chose the shorter route over the more beautiful)9over the signature Smithundirskrivað Smith10[íyms. samb.]over a period of three yearsí einum tríára skeiði
overachieve	avrika meira enn væntað
overachiever	ein ið avrikar meira enn væntað
overact	overact (in) a partyvirspæla leiklut
overall1	1arbeiðskittil21overallsyvirals2(am.) smekkubuksur
overall2	1til samans, tilsamans (t.d.the overall membership is 83)2(støðan), sum hon er, almennur (t.d.the overall situation); overall majorityavgjørdur meiriluti;the overall objectiveyvirskipaði setningurin, yvirskipaða málið
overall3	alt samanlagt, sum heild, allastaðni;be dressed overall (sigl.)vera flaggskrýddur
overalled	yviralsklæddur (t.d.overalled workers)
overall plan	heildarætlan
overalls	1yvirals2(am.)smekkubuksur
overanxious	1ovurstúrin, ovuróttafullur, ógvuliga stúrinel.óttafullur2ovuríðin, ovurágrýtin
overarch	1hválvast yvir, skjótast saman uppi yvir (einum) (t.d.trees overarch the road)2yvirskipa
over-arching	yvirskipaður (t.d.principle; strategy);høvuðs-, megin-; sum gongur fram um alt, sum ber av øllum, sum liggur fremst av øllum, sum hevur størri týdning enn alt annað (t.d.theme); the -ing themes of race, violence and disorderspurningarnir um rasu, harðskap og ófrið, sum hava størri týdning enn alt annað
overassess	leggja ov høgan skatt á, álíkna ov høgan skatt
overawe	kúga, halda niðri, ræða; vekja ærufrykt/virðingarótta
overawed	be overawedlata seg imponera//ræða//kúga;overawed bykennael.føla ærufryktel.virðingarótta
overbalance1	ávøga, yvirrið; avlop
overbalance2	ríða um, fáa ávøgu, ríða yvir, koma sløður á, hvølva (t.d.if you stand up you’ll overbalance the canoe)
overbear	halda niðri, kúga, fáa bilbugt við (einum), vinna á, sláa niður
overbearing	ráðaríkur, stórlátaður, erpin, dramblátur; framligur, áleypandi
overbid1	hægri boð; (kortsp.) hægri meld, yvirmeld
overbid2	1bjóða hægri, bjóða (einum) av2(kortsp.)melda hægri, melda yvir
overbite	yvirbit
overblown	1følnaður (t.d.overblown roses)2(forml.)háfloygdur og innantómur, ov nógv avgjørdur, sum er gjørdur ov nógv bururúr (t.d.the usual overblown hype on the book cover)3(um konufólk) førligt og grefligt
overboard	1fyri borð; uttanborðs, uttanborða2[íyms. samb.]go overboardgera nógv av, skrøgga, ikki kunna sær hógv;(tlm.) go overboard about/forvera púra burtur í (einum), vera uppgløddur
overbold	gjøðin, dittin, forsin, ov djarvur; framligur, frekur, nasadjarvur
overbook	yvirbóka; taka viðel.ímóti fleiri bíleggingum, enn pláss eru fyri
overbrim	renna yvir
overbrimming	dekan og ..., í meira lagi, alt ov ..., órímiligur (t.d.overbrimming confidence)
overbuild	byggja í trunka, trunkabyggja, byggja ov tætt;overbuild oneselfbyggja meira(el.størri) enn ein er mentur (at gjalda)
overburden1	lag ið liggur ovast (jørð)
overburden2	ovfylla, ovlaða, ovtyngja, ovferma;overburden the markettroðfylla marknaðin;they were overburdened with luggagetey høvdu alt ov nógv viðføri við sær
overburdened	1ovbyrjaður, ovlaðaður, ovtyngdur, lagt ov mikið áel.fyri ein, undirdíktur í2undirdíktur í, borin undir í (t.d.duties); be -ed by guiltvera nívdur av skuldarkenslu
overbusy	ovbyrjaður, sum hevur úr at gera, sum hevur (ov) nógv at gera, strongdur (t.d.their overbusy lives)
overbuy	ovkeypa (seg), keypa ov nógv, keypa meira enn e-m tørvar (the tendency to overbuy software)
overcall	(kortsp.)melda hægriel.yvir
overcapacity	ov stór framleiðsluorka (t.d.problems of overcapacity in the car industry)
overcapitalize	yvifíggja, leggja ov nógvan pening í, yvirkapitalisera
over-careful	ov umhugsin, ov umhyggin, ov nærlagdir; (ov samvitskufullur)
overcast1	1myrkja2(í handarbeiði) kasta um
overcast2	samdrigin (luft)
overcasting	(bókb.)síðuhefting
overcharge1	1ov stór/tung byrða, ov stór/tung last, ov stórt/tungt lass, ovbyrjing2(excessive price) ovurprísur, ov høgur prísur
overcharge2	1ovlaða, ovfylla2(skotvápn) løða ov nógv3krevja ov høgar prísir; (t.d.the landlord -d me £20; I was -d for the meal); I was overchargedeg rindaði ovurprís4gera ov nógv av, gera ov nógv burturúr (t.d.overcharge a report)
overchoice	ørgrynni/hópur av valmøguleikum
overclothes	yvirklæði(r)
overcloud	hann dregur á luftina; myrkja
overcoat	(tjúkkur og heitur) frakki
overcome	1basa (einum), fáa bilbugt við (einum) (t.d.overcome difficulties)2sigra á (t.d.overcome illness, the enemy)3(við ongum ávirki) sigra, hava yvirlutan á, vera við yvirlutan4[íyms.samb.]be overcome by1leggjast fyri av(t.d.fatigue); komin á trota av, avmaktaður av(t.d.hunger)2(um kenslu[r]) vera yvirtikin av, vera frá sær sjálvum av, vera sorgarbundin, vera sinnisrørdur (t.d.grief)
overcook	kóka ov leingi(t.d.eplini eru sundurkókað/kókað upp í lumbur/upp í murtn/upp í dugg)
overcrop	(um jørð) útarma, útpína
overcrowd	ovfylla, vera ovfólkaður
overcrowded	ovfyltur, rokafullur, floytifullur, kjokkfullur, troðfullur, á tremur, yvirfyltur (t.d.schools);ovfólkaður, ovbýldur, ov nógvir íbúgvar; ovmannaður;overcrowded areaovfólkað øki, ovbýlt øki
overdecorated	avtaglaður, ovurprýddur, avtakin, týggjaður (t.d.overdecorated roomovurprýtt rúm)
overdo	1gera ov nógv burturúr, ikki kunna sær hógv; overva seg (t.d.-do it)2kókael.steikja ov leingi(t.d.eplini eru sundurkókað, eru kókað upp í lumbur, í murtnel.í dugg)
overdone	(um mat) ov nógv steikturel.kókaður
overdose1	ov stórur heiliverður, ov stór dosis, yvirdosis
overdose2	gevael.taka ov stóran heiliverð(serst.av narkotika)
overdraft	1(bankam.)yvirdráttur (á kontu)2kassakredittur
overdraw	1taka ov nógv út av kontu (enn stendur inni á bókini)2gera ov nógv av
overdrawn	be overdrawn1tikið meira út enn á kontuni stendur2(um fólk) sum tekur meira út enn á kontuni sendur(byvið)
overdressed	(niðr.)ov væl ílatin, ov væl klæddur, ovuruppsnollaður (til høvið)
overdrive	1(t.d.í bili) yvirgervi, yvirgir2[íyms. samb.]be in overdrive (fl.m.)overva seg, kýta seg;go into overdrive (fl.m.)gera ov nógv av, kýta seg ov nógv, overva seg; vera ov rokuturelrokmikil, gerast ovlátaður
overdue	1seinkaður (t.d.the train is overdue)2(um skuld) fallin til gjaldingar fyri langari tíð síðan (t.d.overdue bill)3[íyms. samb.]a reform is overdueábót átti at verið gjørd fyri langari tíð síðan;overdue bookbók, ið ein hevur havt liggjandi, eftir at lánitíðin er úti (av bókasavni);she is two weeks overdue(um konu, ið er upp á vegin) hon hevur gingið tvær vikur yvir tíðina
over-eager	altráur (t.d.over-eager to win; over-eager for success)
over-easy	(um steikt egg) vent og steikt á hinari síðuni
overeat	oveta (seg), eta seg um rygg
overeating	ovát
overegg	overegg the pudding gera ov nógv burturúr (burtur úr einum)
overemphasis	ót ov stórur denturel.áherðsla (t.d.an overemphasis on arts subjects)
overemphasize	leggja ov stóran dentel.áherðslu á
overestimate1	yvirmeting, at vænta ov nógv (t.d.I’m expecting about 100 people but that may be an overestimate)
overestimate2	yvirmeta, meta (eitt/ein) ov mikið (t.d.the importance of these findings cannot be -d)
overexpose	(lmynd.)ovlýsa
overextend	overextend oneself1leggja ov nógv fyri seg (um arbeiði)2(fíggjarliga) binda seg til ov stóra lánsbyrðiel.skuld
overextended	bundin til ov stóra skuld; komin undir ov stór krøvel.ov stóra skuld
overfeed	gøða ov nógv
overfish	ovfiska, trároyna
overfishing	ovfisking, trároynd
overflow1	1vatnflóð2(tøkn.) yvirfall; síyvirfalsrør3(av vatnit.d.í baðikari) at renna/flóta yvir; yvirfall, (rør) yvirfalsrør; síoverflowpipe4(fl.m.)yvirflóð5(teld.)yvirflot6(um fólk) avlop, tey, ið ikki rúmast inni;overflow meetingfundur fyri tey, ið fingu ikki pláss til sjálvan høvuðsfundin
overflow2	1renna yvir, flóta yvir2(um á) fløðael.fara upp um áarbakkarnar; ganga eftir bøkkunum; fløða (oman)3vera stoppfullur/rokafullur/troðfullur/trokafullur/lokaf-ullur/stúvstappaður/pinnpakkaður/stappandi fullur,(óvand.)á kjaft4(um fólk) vera ov mong í tali fyri/til tess at kunna rúmast inni (t.d.they -ed the room)5(fl.m.)vinda seg upp (t.d.suddenly his anger -ed)6[íyms. samb.]the crowd was -inginto/ontothe streetgøtan varð/gjørdist stappandi full av fólkum, fólk tustu út á gøtuna;full tooverflow1(um ílat) á tremur2(um stað) pinnpakkaður, stappandi fullur;be -ingwith 1á tremur við (t.d.the trash can was -ing with papers);stúvstappaður av (t.d.his room was -ing with books)2(um fólk) vera fullur av, vera á tremur við (t.d.emotion),vera á tremur við (t.d.good ideas);stroyma yvir við (t.d.my heart
overflow energy	ovurorka
overflowing	1sum flýtur undir í vatni, sum rennur yvir (t.d.an owerflowing river swamped dozens of villages)2(um ílat) ovfullur, ovfyltur (t.d.an overflowing ashtray)
overflow pipe	yvirfalsrør(t.d.burturveitingarrør í tanga/vatbrunni, sum syrgir fyri, at vatn/oljao.tíl.fer ikki upp um ávísa hædd)
overfull	ovfullur, ovfyltur, rokafullur (t.d.an overfull cup of tea)
overground	sum er oman á jørð (t.d.the overground portion of a plant); still overground (fl.m.)enn á lívi, sum livir enn
overgrow	1verða avvaksin; grógvael.vaksa ov skjótt2(sí eis.outgrow); overgrow oneself(el.one’s strength)renna upp í slokk
overgrown	1avvaksin, undirgrógvin, undirvaksinel.alvaksin2tognaður, sum er vaksin ov skjótt, loftskotin (t.d.an overgrown boy)
overgrowth	ov skjótur gróður; gróðrarmegi, fruktagóðska, yvirflóð
overhair	1(á seyði) broddur2(um einstakt hár) broddhár, broddahár
overhand	(serst. am., ítr.)yvirhandar- (t.d.overhand throw)
overhang1	1loft (í bergveggi)2(á tekju) takskegg3(sigl.)útavhang
overhang2	1slúta, hanga útyvir, stinga upp um, skjótast saman (uppiyvir), hanga niðuryvir(t.d.mjørki)2(fl.m.)koyra undir ein, vera á kroppinum á einum, díkja á ein
overhanging	1lútandi, sum stendur framúr, framstandandi, hallandi, sum hongur niðuryvir(t.d.mjørki)2(fl.m.)hóttandi, sum stendur fyri durum
over-hasty	bráðræsin, skundigur, ov skjótur
overhaul1	1(nágreiniligt) eftirlit og umvæling, yvirháling, (neyv) kanning;complete overhaulhøvuðsumvæling2(fl.m. eis.)neyv gjøgnumgongd, viðgerð
overhaul2	1(um amboðo.tíl.)kanna og væla um;overhaul completelyhøvuðsumvæling2(um fólk) kanna (gjølla) (t.d.be -ed by a doctor)3(fl.m. eis.)lesael.ganga nágreiniliga ígjøgnum4(eis. fl.m.)fáa aftur, leggja afturum (t.d.the Dutch have -ed us in tennis)
overhead1	sum er oman fyri høvdið (t.d.the sun was directly overhead);luft-, loft- (t.d.overhead power cables
overhead2	oman fyri høvdið, uppiyvir, omanfyri, uppiá, uppi í luftini (t.d.a helicopter buzzed overhead)
overhead3	rakstrargjald (t.d.research conducted in space requires more overhead)
overhead charges	fyrisitingarkostnaður
overhead garage door	riðportur/-hurð, vøguportur/-hurð(t.d.í bilhúsi)
overhead kick	(ítr.)saksaspark
overhead light	omanljós
overhead projector	uppvørpa
overhead railway	hábreyt
overheads	(handilsm.)fastar útreiðslur; fastur kostnaður, fyrisitingarkostnaður
overhead suspension	at eitt er hongt upp undir (eitt), uppundirheinging
overhead valve	(tøkn.)toppventilur
overhead weld	(tøkn.)uppundirsjóðing, uppundirsveising
overhear	hoyra samrøðu av tilvildel.óvart
overheat	1ovhita, hita ov nógv2ganga heitur(t.d.um kúlulegu)
overheated	1(fl.m.)ógvuliga kensluborin, kenslusamurel.kensluløddur; uppøstur (t.d.debate)2(fl.m.,um búskap) ov nógvur (ov nógv virksemi), yvirupphitaður
overhype1	ov ógvislig umrøða ella lýsing av e-m;were the media more rational about it, the unmistakeable taste of overhype would not be so stronghøvdu fjølmiðlarnir verið meira skynsamir, hevði hesin hugurin at gera ov nógv burturúr ikki verið so algongdur/vanligur
overhype2	gera ov nógv av, lýsa ov ógvisliga fyri e-m (t.d.a product, idea, or event), arbeiða/virka ov nógv fyri e-m;it would appear that the organizers overhyped the crowd sizetað tóktist, sum fyriskipararnir gjørdu dekan og nógv av, viðvíkjandi hvussu stór mannfjøldin var
overindulge	1(viðv.børnum) spilla við eftirlætum, spilla,(tlm.)forkela2(viðv.matio.tíl.)eta ov nógv, drekka og roykja ov illa
overindulgence	1(viðv.børnum) eftirlæti,(tlm.)forkeling2(viðv.matio.tíl.)ovurnýtsla(inav), ovát, marglæti, fyllskapur, drykkjuskapur, ovdrykkja
overinsure	(trygg.) ovtryggja, ovurtryggja, tryggja (eitt) ov høgt
overjoyed	ovurglaður, hugfangaður, ovurfegin, findarglaður, hjartans glaður; sum fuglur á ljósum degi; sum letur bæði við veli og veingjum, sum er upp í loft
overkill	1(niðr.)at gera ov nógv burturúr, at endurtaka ov ofta2[týningarmáttur, ið er størri enn tann, ið nýtist til at oyða fíggindavald]
overladen	1ovfyltur, kavlaðin, søkklaðin, ovlaðaður2(fl.m.)ov nógv fyltur, ovskrýddur ov nógv pyntaður, ovsnákaður, ovurprýddur; týggjaður, avtaglaður
overlaid	be overlaid1lagdur við, settur við, prýddur við (t.d.gold; silversilvurlagdur, silvurprýddur, silvursettur)2lagdur omaná, huldur
overland1	land-, landrutu- (t.d.the overland route)
overland2	eftir landi, yvir land(t.d.fara yvir land til Klaksvíkar)
overlap1	1umskaring2eitt ið er lutvíst fjalt
overlap2	1umskarast2sum er samstundis, vera í senn;our visits overlappedeitt skifti vóru vit har samstundis
overlay1	1at eitt er lagt við onkrum (t.d.gold overlay)2áklæði3lítil dúkur, ljósadúkur4(teld.)álag
overlay2	1leggja (við einum), klæða2(jarðfr.)hylja, leggja omaná3avrit, kalkering(serst.á gjøgnumskygdum pappíriel.lørifti, sum er lagt á pappír, sum skal teknast av)
overleaf	á hinari blaðsíðuni, hinumegin (á pappíri), hinumegin á blaðnum, á næstu blaðsíðu
overleap	leypa um, eggja burturíillum; leypa ov langt;overleap oneselfovtaka seg, fáa slysni, taka ryggverk á seg; gera ov nógv av
overlie	1(um lag) liggja omaná2(um unga) liggja í hel
overload1	ovfylling, ovferming, ovurløðing, ovbyrjan;server overloadambætari ovbyrjaður
overload2	ovlaða, ovferma, ovfylla, ovtyngja, ovurløða, ovbyrja
overlook1	(am.)útsýnisstaður
overlook2	1ikki síggja (eitt), ikki geva sær far um (eitt), ikki ansa eftir (einum), ikki gáa eftir (einum), ikki geva (einum) gætur (t.d.you have -ed several mistakes)2(við vilja) látast ikki at síggja, lata (eitt) um seg ganga, ikki látast um vón, lata sær (eitt) lynda (t.d.I’ll overlook it this time!; I cannot overlook that kind of behaviour)3verða umlopin, verða skúgvaður til viks (t.d.she has repeatedly been -ed for the job)4(um rúm) hava útsýni yvir, vendael.horva ímóti (t.d.overlook the room -s a garden); -ing the seavið útsýni yvir sjógv; líta út yvir; hyggja ígjøgnum, hyggja í (t.d.overlook a map)5hava eftirlit við, ansa eftir6(gl.,í pátrúgv) hyggja at við illum eygum, bola
overlooker	umsjónarfólk, eftirlitsfólk
overlord	1hægsti valdshavi2(sø.)lensharri, yvirharri
overly	(am.)alt ov, ovur- (t.d.overly anxious)
overman1	arbeiðsformaður(serst.í kolanámi)
overman2	hava ov mong starvsfólk (t.d.the company was vastly overmanned)
overmanned	ovmannaður
overmanning	ov stór manning, at vera ov væl mannaður
overmark	geva ov høg próvtøl, geva ov mong stig
overmaster	1(skaldsk.)vinna á, sigra á;an overmastering passionbrennandi tokki ið vinnur á øllum2kúga
overmatch	1vera (einum) ov sterkur; bera av einum, hava yvirluta yvir einum, vera stinnari enn ein2(t.d.í nevaleiki) lata tveir kappast, ið eru ikki javngóðir
overmatched	(am.)sum er minni mentur, sum er veikari
overmorrow	ovurmorgin (t.d.I've heard that tomorrow and overmorrow may bring exceptionally high waves; if we leave overmorrow we should not miss a day of the festival)
overmuch	í alt ov stóran mun, alt ov mikið;not overmucheinki serliga nógv, ikki alt ov nógv
overnight1	1alla náttina, náttar- (t.d.accomodation)2eftir einum degi, knappiliga (t.d.such reforms cannot be made overnight); overnight successgerast kendur eftir einum degi3[íyms. samb.]overnight staygisting, tað at liggja nátt, tað at fáa innivist fyri eina nátt, tað at gista nátt, tað at verða hýstur; (t.d.three overnight stays); the couple were planning on an overnight stay)
overnight2	1náttinael.kvøldið fyri (t.d.he told a story he heard overnight);sum náttin leið, eftir einari nátt (t.d.the mushrooms sprang up overnight)2(tlm.)frá degi til dags, eftir einum degi (t.d.such reforms cannot be made overnight); stay overnightgista nátt
overnight bag	vikuskiftistaska
overpass	(um veg) yvirumkoyring(t.d.brúgv, ið spennir um høvuðsveg)
overpay	1gjalda ov nógv (fyri eitt)2(um fólk) geva ov góða løn
overpeopled	ovfólkaður, ovbýltur, ovmannaður
overplay	1meta týdningin av einum ov høgt2(sjónl.)yvirspæla, gera ov nógv av;overplay one’s hand (fl.m.)fara longur út enn ein grynnur, vága ov nógv, leggja ov nógv fyri, spenna streingin ov nógv, spæla ov høgt spæl, ditta sær til
overpleased	not overpleasedheldur misnøgdur, ikki serliga væl nøgdur, ónøgdur
