a’	(skotskt.) =all(t.d.for a’ that)
arrival lounge	(á flogvølli) komuhøll
arrive	1koma(at, intil) (t.d.arrive at Oxford (, at the station); arrive in England (, in London)), koma (t.d.we arrived on Sunday; the news arrived today; a letter (, assistance) arrived; the news arrived only todayboðini komu ikki fyrr enn í dag), lenda, náa(at)(t.d.the school age)2arriveatkoma (fram)á (t.d.the truth);koma til (t.d.an understanding); arrive at a decisiontaka eina avgerð3hava eydnu við sær, skapa sær eitt navn, koma fram (t.d.an author who has arrived)
arrivé	(franskt)n(niðr.)nýlingur, uppstrembingur
arrivisme	(franskt)n stremban
arrivist(e)	(niðr.)nýlingur, uppstrembingur
arrogance	stórlæti, hugmóð, dramblæti (t.d.youthful arrogance),erpni, tað at vera innbilskur
arrogant	hugmóðigur, hástórur, stórlátin, dramblátur, braneggjaður, innbilskur, erpin
arrogate	arrogate to oneself taka til sín, ræna sær; krevja við órættum (t.d.powers to which one is not entitled)
arrogation	ágongd, krav við ongum rætti
arrow	píl(ur), ørv(ur);the broad arrowbreiði ørvur (merki á ríkisogn,eisá fangabúnum);straight as an arrowsnórabeinur
arrowhead	ørvaroddur;(plfr.) (Sagittaria sagittifolia
arrow image	pílamynd
arrow poison	ørvareitur
arrowroot	ørvarrót
arse	1n (óvand.)reyv;he doesn’t know his arse from his elbowhann hevur ikki minstu hilling á nøkrum, hann hevur ikki dul ella dreym um nakað2s: (óvand.) arse aboutganga og mala;my arse !renn meg í reyvina!arse over tip Sfram eftir rommum
arsehole	reyvarhol;from arsehole to breakfast timeallan vegin; í tíð og úrtíð
arsenal	1vápnagoymsla2(fl.m)goymsla3vápnasmiðja
arsenic1	(evnafr.)arsenikk
arsenic2	sum hevur arsenikk í sær, arsenikkkendur
arson	ífesting, íkveiking, eldáseting
arsonist	brennivargur
art.	(st.)article; artificial; artillery; artist
art1	1list (t.d.art is long, life is short; art for art’s sake; Chinese art; go to Rome to study art), she has brought (el. carried) cooking to a fine arthon hevur gjørt matgerð til list, hon er listafólk tá tað snýr seg um mat2kynstur, listir, snildir (t.d.he had to use all his art to persuade her); arts fltsnildir, brøgd3arts flt (gl.)hugvísindi;arts and craftslist og handverk;the Arts Facultyhugvísindadeildin4the (fine) artsfagurlist5(í bløðum.)(uml.)tekningar6have no art nor part in it (gl.)ikki eiga lut í tí
art2	art up pynta upp á (t.d.art up a story)
art3	(gl.):thou arttú ert
art4	(brúkt sum l)list-, lista- (t.d.appreciationfatan;critic, history)
art cinema	„listbiografur”
art director	listastjóri
artefact	= artifact
arterial	lívæðra-;arterial roadhøvuðsvegur, høvuðsferðsluleið
arteriosclerosis	æðrakálking
artery	lívæðr; høvuðsvegur, høvuðsferðsluleið
artesian	artesiskur;artesian wellboraður brunnur
art form	listaslag; listasnið; listagripur
artful	1snúin, lúrin2(gl.)kynsturligur3kunstigur (t.d.his style is too artful)
art gallery	listasavn, listaskáli
art historian	listsøgufrøðingur
arthritic	arthriticswellinggiktarrunnur
arthritis	liðagikt, liðabruni
arthropathy	(lækn.)liðasjúka
artic	(tlm.)setivognur;(st. articulated lorry)
Artic1	the Articnorðpólsøki
Artic2	norðpóls-
Artic fox	(dý.) hvítrevur, fjallrevur
artichoke	(plfr.)artiskokkur (grønmetisurt)(Cynara scolymus)
article1	1lutur; vøra (t.d.article of clothing; there is a tax on such articles); the genuine articletann ektaða vøran2(í blaðosfr.)grein3(í skjali, sáttmálaosfr.)grein, punkt;the Thirty-nine A articlestær 39 trúarjáttanargreinirnar hjá bretsku ríkiskirkjuni4articles flt (eis.)sáttmáli;articles of apprenticeshiplærubræv, lærusáttmáli5articles of association (of a company)partafelagsviðtøkur6(máll.)kenniorð7„vinur” (t.d.I don’t know, my dear old article);knevil, knassi8náttpottur
article2	1seta í læru (tohjá),be articled tokoma (, verða settur) í læru hjá;articled clerkadvokatfulltrúi2seta upp í punktum
articles	(hjá partafelag) viðtøkur, reglugerð; sí eis.regulationsogrules
articles ofassociation	viðtøkur/reglugerðir/lógir hjá partafelagi
articular	liða-;articular rheumatismliðagikt
articulate1	1bera fram (t.d.he does not articulate his words distinctly);orða (t.d.the ideas)2sambinda við liðum; samskipa (t.d.the educational system); articulate withvera samskipaður við; samanhangandi; samlaður (t.d.an articulated system of philosophy); hava samband við (t.d.the river and the canals that articulated with it)
articulate2	1týðiligur, greiður, skilligur, klárur, (um persón) hava týðiligan framburð; sum dugir væl at málbera seg, sum er væl skorin fyri tunguband, sum dugir at venda sær2(likam, plfr.)liðaður (at liður er á)
articulated bus	liðbussur
articulated tram	liðsporvognur
articulation	1ljóðgerð; framburður, týðiligur framburður;(ljóðl.)framburður, artikulasjón (t.d.his articulation is slurred)2(likam.)liður
articulative	ljóðgerðar-, ljóðgerðarligur
artifact	(fornfr.)fornlutur, mentalutur, mentagripur
artifice	snild, snildarbragd, bragd
artificer	1smiður, handverkari, teknikari, mekanikari2uppfinnari, skapari
artificial	1tilgjørdur, manngjørdur (t.d.respirationandadráttur)2kunsturligur, tilgjørdur (t.d.smile); artificial silksilkilíki
artificial insemination	ísáing
artificial intelligence	(teld.)tilgjørdur vitleiki, vitlíki
artificial language	(teld.)tilgjørt málleiki, mállíki
artificial person	(løgfr.)løgfrøðiligur persónur
artillerist	skotherdeildarmaður
artillery	stórar kanónir, skotherdeild
artilleryman	skotherdeildarmaður
artisan	handverkari
artist	1listafólk2(avstr.S)jassur;booze artistbrennivínshít, rukka;bullshit artistmøsn
artist-craftsman	listahandverkari
artiste	listafólk
artistic	1listaligur; listaáhugaður;be artistichava listagávur2hjartistically
artist of residence	búlistafólk
artistry	listaligur dugnaskapur; listarligt virði
art journal	listtíðarrit
artless	ótilgjørdur, einfaldur, natúrligur; góðtrúgvin, góðvarin
art master	teknilærari; evningslærari
art nouveau	(fr.;byggl.,uml.) jugenstílur, Jugendstílur (byggistílurin var frammiserst.í tíðini 1890 til 1910 í Evropa og Norðuramerika)
art object	listgripur
art of poetry	the art of poetryskaldskaparlist
artotype	ljósprent
art paper	pappír til listprent
Artsand Crafts	listhandverk
Arts Faculty	filosofiska(el.humanistiska) fakultetið
arts men	(uml.)humanistar
art subjects	musiskar lærugreinir
art teacher	síartmaster
art union	1listasamband2(avstr.,nýsæl.)happadráttur
artware(s)	listhandverk
artwork	1(uml.)listhandverk2skreyting, fríðkan3margframleiddar listavørur
arty	tilgjørdur; sum hevur hug at gera seg upp, listasnobbutur
arty-crafty	tilgjørdur modernistiskur
arum	(plfr.)danskt ingifer(Arum maculatum)
arum lily	(plfr.)kalla(Zantedeschia aethiopica)
arvo	seinnapartur (t.d.on Monday arvo)
AR W	(st.)Air Raid Warden
Aryan1	ariari (fatar um tjóðir sum hava felags indoevropeiskan máluppruna)
Aryan2	ariskur, indoevropiskur
as	1sum, ið, eins og (t.d.he is not as clever as you are; I had the same problem as you; she greeted him as an old friend; he worked as a journalist; as anyone can see this is an apple; they rose as one man)2tá, tá ið (t.d.(just) as he was speaking a shot rang out; just as we were about to start it began to rain)3av tí at, við tað at (t.d.as you object we won’t go; as you apologize I’ll forgive you; accustomed as I am to this place I cannot live anywhere)4so satt5so hvørt sum; í meðan (t.d.we can talk it over as we walk; she smiled as she danced; as he walked on he got more and more tired)6eins, so sum; sum; sum til dømis;as soon as, as well as osfr.so skjótt sum, eins væl ogosfr.7[ísamb. viðs]old as I amso gamal sum eg eri, hóast eg eri gamal;as isí tí standi tað er;it is bad enough as it istað er nóg ringt sum er;as it wereso at siga;as it were to meetsum fyri at møta;as you were!um aftur!help such as are poorhjálp teimum ið fátæk eru;as I liveso satt eg eri á lívi8[íyms.samb.]asforhvat viðvíkur;as for mehvat mær viðvíkur;asfromfrá … at rokna (t.d.it began as from May 1); asifsum, eins og;it is not as iftað er ikki tí;as if tosum fyri at;justaseins (t.d.I am just as tall as you are; children can be just as interested in the remote past as can adults);júst sum (t.d.it was just as you described it); I thought asmuchtað mundi eg hugsa, eg hugsaði so;asofJuly 11 juli;aspersambært (t.d.as per agreementavtalu);astohvat viðvíkur, viðvíkjandi;so as tofyri at, so at;be so kind as toger so væl at;asthoughsum, eins og;aswelleins væl; somuleiðis, eisini;asyetenn, higartil (t.d.I haven’t done it as yet; never as yetongantíð enn;the as yet unborn National theatre; the as yet unanswered question)
ASA	(st.)American Standards Association
asafoetida	(plfr.)devlamjøður(Ferula asafoetida)
asap	(st.) as soon as possibleskjótast til ber
asbestos	asbest
asbestosis	(lækn.)asbestosa (lungnasjúka av asbeststøvi)
ascend	stíga, rísa, hækka, standa upp úr (t.d.mists ascending from the valley);hevja seg; fara upp ígjøgnum (t.d.the stairs);ganga(el.farael.klíva) niðan á
ascendancy,ascendency	(yvir)vald, ræði (t.d.they were struggling for the ascendancy); have (, gain) an ascendancy over;hava (fáa) valdið á (t.d.she had a great ascendancy over him); gain ascendancy, ascendency overfáa takið á (t.d.gain ascendancy over one’s rivals); military ascendancyhernaðarligt ræði
ascendant,ascendent	(stjfr.)stígandi, rísandi, sum kemur upp; valdandi, ráðandi;be in the ascendant, ascendentvera á veg upp(el.framel.til valdið); hava ræðið
ascending	1(plfr.)uppbendur2(teld.)hækkandi3rísandi, sum rísur, hækkandi, sum hækkar
ascension	(átr.)himmalsferð;Ascension DayKristi Himmalsferðardagur
ascent	1uppgongd (t.d. the ascent of the mountain); brekka2hall (t.d.an ascent of six degrees),hækking3(um skyldskap)in the direct line of ascent, in lineal ascentí rísandi(el.stígandi) ættlegg4ascent of sap (plfr.)sevjurís
ascertain	sanna, staðfesta, konstatera; vissa sær, fáa sær vissu fyri (t.d.I have ascertained that it can be done; whether a piece of news is true)
ascetic1	sjálvsagari, asketur
ascetic2	sjálvsagandi, asketiskur
asceticism	sjálvsagan, askesa
ascorbicacid	ascorbinsýra, c-vitamin
Ascot	kappríðing áAscot Heath
ascribable	is ascribable to kann kannast, stavar frá
ascribe	ascribe tokanna (einum) (t.d.ascribe selfish motives to him);leggja (ein) undir; vísa til (ein);he ascribed the phenomenon to the force of gravity (eis:)hann helt tyngdarmáttin vera orsøkina til fyribrigdið
asdic	(st.)Anti Submarine Detection Investigation Control (undirvatnslurtitól)
asepsis	(lækn.)aseptikk
aseptic	bakteriusørur,(eis. fl.m.)lívsørur, ókykur
asexual	kynsleysur; asexualreproductionókynjað nøring
asexuality	kynsloysi
ash1	(plfr.)askur; askviður(Fraxinus excelsior)
ash2	1øska (t.d.cigar ash);(oftast íflt ashes)(t.d.the house was burnt to ashes; lay in ashes; his ashes are in Westminster); ashes to ashes, dust to dustúr jørð ert tú komin, at jørð skalt tú aftur verða;lay in ashesleggja í øsku;in sackcloth and ashesí sekk og øsku2the Ashes(um sigur í krikketdysti millum Ongland og Avstralia);bring back (el. recover) the Ashesvinna aftur á Avstralia
ashamed	1foyur, forskammaður (t.d.I am ashamed that you should see me thus);skammfuktaður;be ashamedskammast(ofum)2[íyms.samb.]I felt ashamed for him egskammaði meg hansara vegna;be ashamed ofskammast um;there is nothing to be ashamed of in that (eis:)tað er einki at skammast um;you ought to be ashamed of yourself!tú mátti skammast!;be ashamed toskamma seg um at (t.d.he was ashamed to confess that he had no money); I am ashamed to say that I forgot it (eis:)tað er skammiligt at siga frá men eg gloymdi tað
ashamedly	foyur, smæðin; forskammaður
ash-bin	ruskspann
ash box	øskuskuffa
ash cone	(jarðfr.) øskugosfjall
ashen	øsku-; øskugráur (t.d.his face was ashen with rage)
ashfall	øskuregn
ash key	fruktin av aski
ashlar	byggisteinur
ashman	(am.)ruskmaður
ash of roses	gráliga ljósareytt
ashore	(upp) á land; á landi;run ashorerenna á land, sigla á land
ashpan	øskuskuffa
ashram	(serst.í Suðurasia) átrúnaðarligt einbýli; kleysturfelagsskapur
ashtray	øskubikar, øskutrygil
Ash Wednesday	øskudagur
ashweed	tásársgeitarkál
ashy	øskulíkur, øskukendur, øskugráur; fullur av øsku
Asia	Asia
AsiaMinor	Lítla Asia
Asian,Asiatic	1nasiati, asiamaður2lasiatiskur
aside1	(sjónl.)tilsvar ætlað áskoðarunum; viðmerking (t.d.the auctioneer indulged in witty asides)
aside2	1til síðis, til viks (t.d.step aside; draw the curtains (, him) aside); joking asideskemt til viks2burtur; avsíðis3aside fromburtur frá;(am.)umframt tað; (síeis. Ilay,put, Iset);burtursæð frá (t.d.exceptional cases aside, this is the general procedure; aside from its practical use it is pleasant to look at)
asinine	asnalíkur, býttur, fjákutur, fávitskutur
asininity	býttiskapur; fávitska
ask	1spyrja; spyrja eftir (t.d.I asked for the manager; ask (him) what his name is; ask his name; ask the price; ask his opinion; ask him the way …)2biðja; biðja um (t.d.he asked for some money; he asked them to be quiet; she asked help from her teacher)3bjóða (t.d.I wasn’t asked; he asked me to dinner; he asked me in)4krevja (t.d.he asked £75, 000 for that house)5[íyms.samb.]ask aboutspyrja um (t.d.I asked about his trip; I’ll go and ask about the trunks; I asked about his brother; he asked me all about my work);ask afterspyrja eftir (t.d.sby’s health); ask sby backbjóða aftur;ask forbiða um, fregnast eftir (einum), spyrja um; krevja;you have been asking for ittað er sjálvgjørt; tú hevur sjálvur biðið um tað; hasum kundi tú verið sloppin undan;ask the bannslýsa fyri hjúnum; asksby’s leavebiðja um loyvi;ask offbiðja sær frí;ask a questionseta ein spurning;ask one’s wayspyrja seg fram, spyrja um veg;I ask you!hava tygum hoyrt so skaft!if you ask mespyrt tú meg; vilt tú hoyra mína meining; eg haldi; mín meining er
askance	á skák, á liðina, á aðra síðuna;she looked at me askancehon kveitti yvir á meg;look askance at (eis.)renna eyguni eftir
askew	skeivur; bogin; á skák, á skeivan, á glæ (t.d.she had her hat on askew; the curtain hung askew)
asking	get it for the asking fáa tað uttan himpr;it is his for the askinghann fær tað bara hann vil;everything is hers for the askinghon fær alt hon peikar á;that’s askingtað sigi eg ikki; tað vóru ikki míni orð!;asking priceprískrav
aslant	1hjá halli, á skák2fsá skák yvir
asleep	í svøvni; sovandi;fall (fast) asleepsovna;be asleepsova (t.d.the child is asleep; my arm is asleep); fast asleepí fasta svøvni
aslope	hallandi, skráandi
ASM	(st.)Acting Sergeant Major; Air-to-Surface Missile; Assistant Stage Manager
asp1	(skaldsk.) = aspen, øsp
asp2	(dý.)eiturormur(Naja haje), snákur av høggormaslag(Viperinae)
asparagus	(plfr.)aspars(Asparagus)
asparagus point	asparshøvd
asparagus server	asparsskeið
aspect	1útsjónd, ásjón (t.d.the fierce aspect of the natives)2áskoðan; síða (av einum máli), sjónarmið, sjónarhorn, aspekt (t.d.a question having many aspects; the legal aspect of the matter; consider the matter in all its aspects)3(stjfr.)sínámillum støða hjá himmalknøttunum4(máll.)leiti, aspekt5(um húsosfr.)hvar tað stendur;have a southern aspectvendael.horva suðureftir
aspect ratio	(sjónv.)støddlutfall
aspen	(plfr.)blaðøsp(Populus tremula);aspenleafaspaleyv
Aspergers syndrome,Asperger's syndrome	(menningarólag í heilanum) Asperger syndrom
aspergillum	(átr.)vígslukvistur, vígslustøkkul
asperity	ótýdleiki, harðlyndi, harðleiki, hvassleiki
asperse	1baktala, bíta í bak, spilla út, leggja ilt fyri2(átr.)sletta á (við vígdum vatni)
aspersion	1(átr.)ástøkking, tað at sletta vígt vatn á2(smb. asperse)baktala, bakbit, útspilling;cast aspersions ontala niðrandi um, bíta í bak, spilla út
aspersorium	(átr.)vígsluker, vígivatnsker
asphalt	1nasfalt, jarðbik2sasfaltera
asphodel	asfodel (tekin um trúskap)
asphyxiate	kolsýrniseitra, kvala
aspic	stirðnað soð, slupur
aspidistra	(plfr.)aspidistra(Aspidistra)
aspirant	(el. for)honoursan aspirant to ein ið strembar eftir heiðursteknum
aspirate1	1(ljóðl.)blásturljóð, aspirerað hjáljóð2h
aspirate2	1(ljóðl.)bera fram við blástri, blása á, aspirera;(tøkn.)súgva inn2(lækn.)súgva burtur
aspiration	1blástur (í framburði)2stundan, tráan
aspire	1stunda, tráa(toeftir) (t.d.aspire to higher things)2(gl., fl.m)rísa, hevja seg
aspirin	® aspirin
asquint	skeitandi, rangoygdur
ass1	1asni ásin, esil2(fl.m.)neyt, býttlingur, tápulingur, tápugás (t.d.that ass of a young man;a pompous ass); make an ass of oneselfgera sær fyri skommum;talk someone's ass offtvætla býtt, møsna3(am. óvand)reyv4a piece of ass (am., óvand)sletta, flogsa, ein eiggilig genta, fjøl
ass2	ass aroundganga og mala, mala fyri einki
assagai,assegai	(SuA.)spjót
assail	1leypa á, leggja fram at (einum), søkja at (einum)2oysa undir (t.d.assail sby with reproaches); assail sby with questionsdíkja ein undir við spurningum3assailed with(el.by) (eis.)píndur av, nívdur av (t.d.doubts)
assailant	álopsmaður, áleypari, atsøkjari (t.d.a policeman tried to arrest the assailant)
assassin	drápsmaður, morðmenni, myrðari
assassinate	myrða, beina fyri
assassination	morð, dráp, fyribeining
assault1	1ógvusligt álop;(herm.)snarálop, atsókn2(løgfr.): assault and batterylikamsárás, meiðsl, likamlig meiðing; harðskapur;carry by assaulttaka við hørðum
assault2	(herm.)leypa á, herja á, søkja at; (um brotsverk) leypa á (t.d.the mob assaulted the policeman);gera seg inn á (t.d.he assaulted women in cinemas),neyðtakasexually(el.indecently) assaultroyna at neyðtaka;(fl.m.)herja ógvusliga á, leypa á
assaulter	brotsmaður
assault food packet	(herm.)neyðskamtur
assaultive	stríðshugaður, áleypandi, ágangandi, klandrutur, avbjóðandi
assault party	(herm.)álopseind
assault wave	(herm.)álopsbylgja
assay1	royna, prógva, greina, kanna gildi, meta(viðv.dygd,t.d.gull)this ore assays high in gold… sýnir stórt gullinnihald
assay2	roynd, prógv, kanning, meting, greining
assayer	málmmetari, metalmetari
assay master	myntmetari
assemblage	savn, samkoma (t.d.a strange assemblage of persons);(í maskinuosfr.)samanseting, uppseting, montering
assemble	1savna, kalla saman; savnast, koma saman2(maskinaosfr.)seta saman (t.d.a machine gun),montera;assembled (eis:)liðugt samlaður
assembler	(teld.)savnari
assembly	1samkomafreedom of assemblysamkomufrælsi2fundur, ting;consultative assemblyráðgevandi ting;place of assemblyfundarstaður;plenary/general assemblyaðalfundur; The General Assembly of the United NationsAðalfundur Sameindu Tjóða3(herm.)savnaðarkall4(í skúlauml=) morgunsangur
assemblyarea	(herm.)fyribúnaðarøki
assembly hall	samkomuhøll, gildisskáli; aula
assembly kit	samlisett
assembly language	(teld.)ímyndarmál, savnaramál (ímyndað teldumál)
assembly line	flutningsband
assemblyman	(am.)limur í lóggevandi tingi
assembly plant	savningarverksmiðja
assembly point	fundarstaður, savningarstaður
assembly room	1veitsluhøli, gildisskáli, fundarhøli;assembly room roomsveitsluhøli2(tøkn.)samliverkstaður
assembly shop	savningarverkstaður
assent1	1samtykki (t.d.give one’s assent to the plan), give a nod of assentnikka samtykkjandi;by common assenteftir alra meining;the Royal Assentkonglig staðfesting (av lóg)2undirtøka, váttan
assent2	samtykkja(toí); taka við(el.ímóti) einum; assentto (eis.)taka undir við, vátta
assert	siga vist, halda fram, standa(el.halda) fast við, halda upp á(eis.íteld.)(t.d.his friends asserted that he was innocent);verja;assert itselfgera seg galdandi;assert oneselfgera seg upp, alboga seg fram
assertion	1uppáhald (t.d.a baseless(el.ill-founded) assertionleyst uppáhald), framhalding2(teld.)viðstøða
assertive	tvørur, pásetligur, uppáhaldin; sjálvklókur, kategoriskur (t.d.statement, tone)
assess	1meta um (t.d.the test results; their merits as leaders; we cannot yet assess the importance of it)2virðismeta3avgera, áseta (t.d.the fine, the damages)4assess taxesskatta, leggja skatt á, álíkna skatt (t.d.assess him at[av]£6, 000); assess him at a higher figureseta hann í hægri skatt;the tax at which he is assessed (eis:)skatturin sum er álíknaður honum5gera upp,assess the damage(el.loss)gera skaða(el.miss) upp
assessable	assessable to income tax (uml.)skattaskyldugur
assessment	1skatting, skattaálíkning2áseting (t.d.of the fine)3skattur, avgjald, bót4meting (t.d.of evidence; of his ability);virðismeting;preliminary assessmentundanmeting
assessment of taxes	skattaálíkning
assessor	1líkningarmaður2(trygg.)metingarmaður3(løgfr, sø)hjásitari
asset	1ogn (t.d.assets are booked at nominal value),áogn, virði, búgv;(bú.) financial assetsfíggjarlig støðisogn2fyrimunur, ágóði,assets (eis.)góðar síður, eginleiki (t.d.good health is a great asset; her charm was her chief asset)3assets (handilsm.)ognir, íløgur, peningabinding, virði (t.d.Britain possessed enormous assets in Africa);fixed assetsstøðisogn;tangible fixed assetsmateriell støðisogn;gross assetsheildarogn;assets and liabilitiesognir og skuldir;ogn Føroya fólksassets of the Faroese people
assetallocation	(handilsm.) ognarbýti
asset management	(handilsm.)ognarrøkt
asset stripper	virkistømari
asset-stripping	(handilsm.)virkistøming
asseverate	vátta hátíðarliga, leggja dýran við
asseveration	hátíðarlig váttan, hátíðarlig yvirlýsing
asshole	(óvand.) reyvarhol (t.d.there's no way for me to say this without sounding like a complete asshole)
assiduity	ídni, ágrýtni, áræsni, starvsemi
assiduous	íðin (t.d.an assiduous reader of our magazine),ágrýtin, starvsamur
assign1	(løgfr.)triðimaður, sum krav er avhent til
assign2	1gera av, áseta (t.d.a day for the meeting)2vísa á, ávísa, tilluta(eis.íteld.)(t.d.assign land to the colonists; assign billets to the refugees)3(serst.am.) geva fyri (t.d.I assigned the next two pages of the text)4lata einum upp í hendur (t.d.the duties assigned to him; assign a task to him; the duty of guarding the bridge was assigned to him)5tilnevna, útnevna (t.d.I was assigned to watch the road);seta til (t.d.assign two pupils to sweep the floor)6geva (t.d.a reason for it)7leggja í (t.d.the importance assigned to it)8føra fram (t.d.jealousy was assigned as the motive for the crime; assign a reason for it);leggja í (t.d.the importance he assigned to the matter)9kanna einum (t.d.the poem must be assigned to Marlowe)
assignable	sum kann tillutast;for no assignable reason, without assignable reasonuttan nakra ítøkiliga grund
assignation	1stevnumøti, ástarfundur, loynifundur2ávísing; tillutan(eis.íteld.)3avhending
assignee	(løgfr.)fulltrúi, ein sum krav er avhent til
assignment	1avhending2tilluting (t.d.of land to veterans)3útnevning (t.d.his assignment to an important post)4ásetan (t.d.of a date)5ávísing, (t.d.of these reasons)6uppgáva, arbeiðs)setningur, fyrisetningur;(serst. am.) uppgáva, verkevni, starv, (í skúla) heimaarbeiði
assimilate	1takael.súgva (upp í seg)2(um føði) sodna3ogna sær4fáa at líkjast, fara at líkjast, gera um í líkskapi við(to)5(ljóðl.)ljóðlíkja6(am.)verða tikin upp í samfelagið
assimilation	1líkleiki, líkskapur; eftirlaging2(ljóðl.)ljóðlíking, assimilasjón3(samfr.) samlíking4(jarðfr.) samruni
assist	hjálpa (t.d.assist him in the shop),styðja (upp undir), stuðla(eis.íteld.)(t.d.a person, an undertaking);fremja;assist atvera til hjálpar (t.d.his wife and daughter assist at the harvest; he assisted at the interview between them),vera uppi í;assist inhjálpa við, taka lut í
assistance	hjálp (t.d.with the assistance of Mr Brown),stuðul, styrkur, dugnaður;lend assistanceveita hjálp
assistant	nhjálparfólk, hjálpari, hjálparmaður, hjálparkvinna, atstøðingurl(í heitum ofta) vara-, hjálpar-, - hjálpari;assistant director(film) hjálparleikstjóri;assistant engineerhjálparverkfrøðingur; maskinatstøðingur
assistant coach	(ítr.)hjálparvenjari
assistant editor	hjálparblaðstjóri
assistant matron	(uml.)deildarsjúkrasystir
assistant referee	(ítr.)hjálpardómari
assistant secretary	(uml.)deildarstjóri, skrivstovustjóri [á eini ráðharrastovu]
assistant teacher	(am.)stuðulslærari
assizes	(sø,UK) rættarting; nevningamál
associate1	1vinmaður, felagi; arbeiðsfelagi, starvsbróðir; partamaður;(løgfr.)hjálpardómari2(handilsm.)limur við avmarkaðum rættindum3associate professor (am. uml.:)dosentur
associate2	1sambinda, sameina; binda saman(with);seta í samband við (t.d.we do not associate the same thing with that idea; associate it with something nice; I associate it with something unpleasant)2associate withkoma saman við, hava samband við;associate oneself withgeva seg í part við, fara uppí (t.d.the declaration, the protest)3knýta at, vera partur av (t.d.he was associated with the editorial staff)
associate3	1sambundin, sameindur; knýttur at2sam-, med- (t.d.editor)
associated country	(stjm.) atland (t.d.13 countries have EU status as associated countries)
association	1felag; felagsskapur, klubbi2samband, sameining3hugasamband (t.d.the associations of the word de associationer); association of ideashugmyndasamband4[íyms.samb. ]articles of associationpartafelagsviðtøkur;free associationleyst tilknýti;memorandum of associationpartafelagsfráboðan;work in close association witharbeiða tætt saman, hava tætt samstarv við
association football	fótbóltur (tað vanliga slagið her)
associative	sambundin, ið elur hugasambond
assoil	(gl.)fyrigeva; fríkenna; loysa; bøta fyri
assonance	hálvrím, assonansur
assort	(gl.)skipa, flokka, skilja;assort withhóska saman við; vera ímillum
assorted	úrvaldur, í úrvali, blandaður (t.d.assorted chocolates; assorted candies; assorted fruits);alskyns, ymiskir (t.d.assorted herrings; assorted sheepskin coats); an ill assorted paireitt par sum hóskar illa saman
assortment	raðskipan, flokkan; blandað úrval, blandingur;assortment/range of articles/productsvørusløg
assuage	linna (t.d.the pain, the sorrow);lætta, sissa, stilla (t.d.his rage);svala (t.d.his thirst)
assume	1taka, taka sær (t.d.power)2átaka sær, taka upp á seg (t.d.the blame; new obligations; a role)3taka við (t.d.he assumed the presidency of the college; assume the command (, the role, power, his debts))4halda (t.d.he is assumed to be richhann verður hildin at vera); ganga út frá (t.d.if we assume that it is so; if we assume the truth of his statement)5kanna sær (t.d.a right; the praise)6lata seg í, klæða seg í; fáa sær (t.d.assume a look of innocence; assume an air of cheerfulness; assume another name);látast (at vera) (t.d.assume friendliness (, piety etc.))7taka uppí (t.d.assume him as a partner)
assumed	hildin, ætlaður (t.d.the assumed reason);tilgjørdur, uppgjørdur (t.d.cheerfulness);tikin (t.d.name)
assuming	1erpin; framligur; dittin, stórlátin, hugstórur, dramblátur2assuming thattreytað av, við teirri fyritreyt at
assumption	1hugsan, niðurstøða (t.d.their assumption proved wrong);áskoðan (t.d.childish assumptions)2fyritreyt (t.d.on the assumption that ...við teirri fyritreyt at)3ætlan, varhugi, ætl (t.d.this is a mere assumption)4tøka, yvirtøka (t.d.assumption of powervaldstøka)5the Assumption (átr.)mariumessa (himmalsferð Mariu, 15 august)6with an assumption of indifferencevið tilgjørdari líkasælu
assumptive	1síassumed2síassuming
assurance	1(full) vissa (t.d.said with assurance); in the confident assurance thatfullvísur í at;to make assurance double sure (uml.)fyri at vera heilt vísur í sínum máli; tilsøgn (t.d.appropriate assurances were given; assurances of support came pouring in)2trygd3(hjá persóni) sjálvsálit(eis. niðr.); lie with cool assurancelúgva beint upp í eyguni;he had the assurance to say that I was lyinghann dittaði sær at siga at eg leyg4(trygg.)trygging
assure	1vissa (ein um) (t.d.assure oneself that it is so)2vátta, tryggja (t.d.does hard work usually assure success?; it assured the victory; assure us against unpleasant consequences; an assured income)3sannføra (t.d.they tried to assure me that everything was all right)4eggja til, styrkja5(trygg.)tryggja
assured	1tryggur (t.d.the Act gave the farmers an assured market; his achievement has brought him an assured position);tryggjaður (t.d.an assured minimum wage of …)2sannførdur3við sjálvsáliti (t.d.he behaved like a junior colleague, modest but assured);(niðr.)erpin, pretin, stoltur4(trygg.): the assuredtann tryggjaði, tryggingartakarin
assuredly	(heilt) vist, við vissu, ivaleyst, vissuliga; sannførandi
assuredness	(sjálvs)álit
Assyria	Assyria
AST	(st.)Atlantic Standard Time
aster	(plfr.)astir(Aster)
asterisk	(prent og teld)stjørna
astern	1(á skipi, báti) bak, aftan; afturúr;from asterninn aftan, aftanífrá;asternofaftan fyri (t.d.the ship was astern of us);aftur um (t.d.go astern of the ship)2drop asterndragna afturúr;go asternbakka;the engines are going asternmotorarnir bakka3leave him asternsigla undan honum
asteroid	(stjfr.)smágongustjørna
asthenic	(lækn.)máttleysur, linligur
asthenosphere	(jarðfr.) linhválv
asthma	(lækn.)bróstmøði, brósttrongd, astma
asthmatic	1l (lækn.)trongur, við bróstmøði, astmatiskur2nastmatikari
